flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20230309153640,15:36:40,2023-03-09,PFA-00474,PSA-00486,PSF-00438,0.000000,0.000000,0.000000,357.212067,162.581207,0.544861,601.159912

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,248.844620,6995.495117,1
0.010000,310.005432,6995.495117,1
0.020000,330.753204,6995.495117,1
0.030000,336.763489,6995.495117,1
0.040000,338.727600,6995.495117,1
0.050000,339.668152,6995.495117,1
0.060000,340.271118,6995.495117,1
0.070000,340.744965,6995.495117,1
0.080000,341.102234,6995.495117,1
0.090000,341.376190,6995.495117,1
0.100000,341.599335,6995.495117,1
0.110000,341.733459,6995.495117,1
0.120000,341.859344,6995.495117,1
0.130000,341.929779,6995.495117,1
0.140000,341.983429,6995.495117,1
0.150000,342.054596,6995.495117,1
0.160000,342.087158,6995.495117,1
0.170000,342.127197,6995.495117,1
0.180000,342.150818,6995.495117,1
0.190000,342.180145,6995.495117,1
0.200000,342.226990,6995.495117,1
0.210000,342.219116,6995.495117,1
0.220000,342.225922,6995.495117,1
0.230000,342.229858,6995.495117,1
0.240000,342.220184,6995.495117,1
0.250000,342.203735,6995.495117,1
0.260000,342.172974,6995.495117,1
0.270000,342.166901,6995.495117,1
0.280000,342.153320,6995.495117,1
0.290000,342.137573,6995.495117,1
0.300000,342.142578,6937.205566,2
0.310000,342.001678,6878.916016,2
0.320000,341.942657,6820.626465,2
0.330000,341.806763,6762.336914,2
0.340000,341.754547,6704.047363,2
0.350000,341.596497,6645.757812,2
0.360000,341.521393,6587.468262,2
0.370000,341.297852,6529.178711,2
0.380000,341.209534,6470.889160,2
0.390000,341.018921,6412.599609,2
0.400000,340.810791,6354.310059,2
0.410000,340.723511,6296.020508,2
0.420000,340.525757,6237.730957,2
0.430000,340.453491,6179.441406,2
0.440000,340.276123,6121.151855,2
0.450000,340.032928,6062.862305,2
0.460000,339.984283,6004.572754,2
0.470000,339.798676,5946.283203,2
0.480000,339.583038,5887.993652,2
0.490000,339.480743,5829.704102,2
0.500000,339.277618,5771.414551,2
0.510000,339.019073,5713.125000,2
0.520000,338.907135,5654.835449,2
0.530000,338.678589,5596.545898,2
0.540000,338.414307,5538.256348,2
0.550000,338.150024,5479.966797,2
0.560000,338.036652,5421.677246,2
0.570000,337.829956,5363.387695,2
0.580000,337.592468,5305.098145,2
0.590000,337.342133,5246.808594,2
0.600000,339.854828,6995.495117,3
0.610000,340.437775,6995.495117,3
0.620000,340.487823,6995.495117,3
0.630000,340.457794,6995.495117,3
0.640000,340.398804,6995.495117,3
0.650000,340.337280,6995.495117,3
0.660000,340.281128,6995.495117,3
0.670000,340.200317,6995.495117,3
0.680000,340.137360,6995.495117,3
0.690000,340.048309,6995.495117,3
0.700000,339.991821,6995.495117,3
0.710000,339.889160,6995.495117,3
0.720000,339.795837,6995.495117,3
0.730000,339.713226,6995.495117,3
0.740000,339.620239,6995.495117,3
0.750000,339.546906,6995.495117,3
0.760000,339.459290,6995.495117,3
0.770000,339.388123,6995.495117,3
0.780000,339.309814,6995.495117,3
0.790000,339.210388,6995.495117,3
0.800000,339.110962,6995.495117,3
0.810000,339.025146,6995.495117,3
0.820000,338.928223,6995.495117,3
0.830000,338.854553,6995.495117,3
0.839999,338.763367,6995.495117,3
0.849999,338.673950,6995.495117,3
0.859999,338.555573,6995.495117,3
0.869999,338.459381,6995.495117,3
0.879999,338.360657,6995.495117,3
0.889999,338.265167,6995.495117,3
