SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,08:51:49,3/9/23,Auto gsw+F,LI-COR Default,,1,,,0.024761,2.921265,0.024552,0.364733,1.109898,1.100717,2.425995,1.316096,12.181096,12.282697,26.847288,0.441786,PSF-00438_20230309085149,0,0,0,65.132973,167.94548,0.612178,0.5,0.8,38.352161,36.68,36.37,24.17,20.54,90.36,156.6,156.9,-0.2,157,3.774,08:50:34,3/9/23,-0.11,0,0.001,-9999,-0.991,-0.502,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,162.883759,25,-3.801962,161.723969,162.510605,-0.786636,2.449175,2.4638,1.655035,0.938577,0.281885,-0.039765,0.278179,0.248193,65.132973,0.00024,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309085149,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
2,08:52:18,3/9/23,Auto gsw+F,LI-COR Default,,2,,,0.028245,2.921579,0.027975,0.492877,1.164831,1.152435,2.722626,1.557795,12.753646,12.890824,30.130459,0.441786,PSF-00438_20230309085218,0,0,0,104.450943,250.595352,0.583189,0.5,0.8,28.466,38.58,38.17,24.13,22.42,90.36,156.7,156.9,-0.2,122,3.734,08:50:34,3/9/23,-0.11,0.001,0.001,-9999,-0.432,-0.023,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,245.868439,25,-4.055305,243.729111,244.798325,-1.069214,2.451692,2.466485,1.655364,0.938639,0.28232,-0.01868,0.279927,0.217073,104.450943,0.000241,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309085218,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
3,08:55:14,3/9/23,Auto gsw+F,LI-COR Default,,3,,,0.013326,2.921385,0.013266,0.18398,1.153297,1.148669,2.381893,1.228596,12.71302,12.76424,26.361856,0.441786,PSF-00438_20230309085514,0,0,0,75.184464,113.606186,0.338201,0.5,0.8,32.700249,39.5,39.34,23.58,20.24,90.35,156.7,153.8,1.8,242,3.765,08:50:34,3/9/23,-0.11,0,0,-9999,0.3,-0.695,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,111.533401,25,-1.430748,111.341713,111.560944,-0.219231,2.453434,2.467891,1.655161,0.930746,0.288687,-0.036278,0.292349,0.324746,75.184464,0.000236,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309085514,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
4,08:56:46,3/9/23,Auto gsw+F,LI-COR Default,,4,,,0.046179,2.922282,0.045461,0.726895,1.21248,1.19422,2.626511,1.414031,13.217016,13.419106,29.068876,0.441786,PSF-00438_20230309085646,0,0,0,84.620117,220.479675,0.6162,0.5,0.8,102.548447,42.26,41.62,23.29,21.83,90.35,156.8,147.4,6,416,3.762,08:50:34,3/9/23,-0.11,0,-0.001,-9999,0.481,1.394,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,215.138916,25,-3.68896,215.545532,215.206345,0.339188,2.456634,2.471779,1.6561,0.914526,0.292041,-0.015652,0.29974,0.481568,84.620117,0.000239,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309085646,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
5,08:57:54,3/9/23,Auto gsw+F,LI-COR Default,,5,,,0.024638,2.922542,0.024432,0.425957,1.245504,1.23481,2.785628,1.540125,13.666469,13.784824,30.830418,0.441786,PSF-00438_20230309085754,0,0,0,135.85675,321.153534,0.576973,0.5,0.8,65.239746,43.83,43.45,23.13,22.8,90.35,156.8,149,5,283,3.759,08:50:34,3/9/23,-0.11,0,-0.002,-9999,0.027,3.204,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,309.602386,25,-8.354839,306.357269,309.210358,-2.853088,2.459165,2.473969,1.656373,0.918558,0.29389,-0.003159,0.305151,0.361592,135.85675,0.000238,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309085754,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
6,08:58:15,3/9/23,Auto gsw+F,LI-COR Default,,6,,,0.003717,2.921554,0.003712,0.069265,1.229145,1.227405,2.876666,1.647521,13.584435,13.6037,31.837814,0.441786,PSF-00438_20230309085815,0,0,0,95.438004,249.693039,0.617779,0.5,0.8,55.077259,43.36,43.3,23.09,23.33,90.35,156.7,130.3,16.9,223,3.759,08:50:34,3/9/23,-0.11,0,0,-9999,0.528,0.342,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,236.370926,25,-10.469066,231.213562,234.7276,-3.514038,2.458969,2.47334,1.655338,0.872354,0.294385,0.003261,0.306683,0.307801,95.438004,0.000239,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309085815,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
1,11:28:22,3/9/23,Auto gsw+F,LI-COR Default,,ely_can24_t4_ch4,,,0.010798,2.922285,0.010758,0.217009,1.334246,1.328801,3.11247,1.778223,14.702991,14.763242,34.439018,0.441786,PSF-00438_20230309112822,0,0,0,99.737045,164.15889,0.392436,0.5,0.8,82.747192,45.11,44.92,23.79,24.64,90.38,156.8,152.4,2.8,527,4.108,11:25:40,3/9/23,-0.15,0,-0.001,-9999,-1.227,-0.791,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,150.936127,25,-10.847257,143.494247,148.652832,-5.158585,2.461013,2.475622,1.656104,0.92716,0.286189,0.01009,0.089157,0.581498,99.737045,0.000239,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309112822,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
2,11:29:55,3/9/23,Auto gsw+F,LI-COR Default,,2,,,0.048945,2.921755,0.048138,0.952745,1.414706,1.390811,3.158244,1.743537,15.388437,15.652828,34.943958,0.441786,PSF-00438_20230309112955,0,0,0,106.943604,172.949112,0.381647,0.5,0.8,123.43335,46.66,45.87,24.2,24.89,90.38,156.7,135.7,13.4,809,4.103,11:25:40,3/9/23,-0.15,0,-0.002,-9999,1.523,-3.731,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,170.85994,25,-1.525524,170.661087,170.768387,-0.1073,2.4622,2.477635,1.655548,0.885651,0.281525,0.008195,0.102154,0.834653,106.943604,0.000241,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309112955,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
3,11:32:08,3/9/23,Auto gsw+F,LI-COR Default,,3,,,0.010135,2.92379,0.0101,0.202976,1.506886,1.50181,3.274919,1.768032,16.618544,16.674721,36.239204,0.441786,PSF-00438_20230309113208,0,0,0,92.143539,227.689407,0.59531,0.5,0.8,101.721642,47.8,47.64,24.86,25.5,90.37,157,133.5,15,427,4.1,11:25:40,3/9/23,-0.15,-0.001,-0.001,-9999,0.378,-0.257,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,217.96846,25,-6.880349,216.370941,217.854004,-1.483063,2.464421,2.479021,1.657685,0.880115,0.274301,0.007719,0.119863,0.491578,92.143539,0.000243,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309113208,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
4,11:33:33,3/9/23,Auto gsw+F,LI-COR Default,,4,,,0.082706,2.921524,0.080429,1.485817,1.553738,1.516525,3.179609,1.625871,16.779894,17.191645,35.181427,0.441786,PSF-00438_20230309113333,0,0,0,142.482513,369.97226,0.614883,0.5,0.8,148.655792,48.07,46.92,25.27,25,90.38,156.7,135.8,13.3,604,4.099,11:25:40,3/9/23,-0.15,-0.001,0,-0.003,1.311,4.554,12.011,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,352.756622,25,-12.756439,348.78479,351.73703,-2.95224,2.463365,2.479289,1.655307,0.88589,0.269763,-0.002735,0.130609,0.651006,142.482513,0.000242,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309113333,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
5,11:37:08,3/9/23,Auto gsw+F,LI-COR Default,,5,,,0.006637,2.923076,0.006622,0.147294,1.656136,1.652456,3.608089,1.951953,18.282764,18.323484,39.919891,0.441786,PSF-00438_20230309113708,0,0,0,132.505417,216.22319,0.387182,0.5,0.8,71.244354,47.96,47.85,26.39,27.14,90.38,156.9,153.9,1.9,460,4.091,11:25:40,3/9/23,-0.15,0.002,0.001,-9999,2.963,1.491,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,206.923843,25,-6.925914,204.550629,206.322662,-1.772034,2.464347,2.478865,1.656933,0.930845,0.258016,0.008947,0.156615,0.521119,132.505417,0.000242,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309113708,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
6,11:39:00,3/9/23,Auto gsw+F,LI-COR Default,,6,,,0.012177,2.921824,0.012126,0.318385,1.684466,1.676504,3.983375,2.298909,18.546991,18.635073,44.067665,0.441786,PSF-00438_20230309113900,0,0,0,108.379128,179.562973,0.396428,0.5,0.8,117.237045,46.59,46.37,27.17,28.83,90.39,156.7,134.9,13.9,739,4.09,11:37:43,3/9/23,-0.11,0.002,0,-9999,-2.592,1.767,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,167.727478,25,-9.153142,163.159851,166.478638,-3.318787,2.462193,2.47679,1.65562,0.883607,0.250139,0.019758,0.169313,0.772382,108.379128,0.000245,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309113900,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
7,11:40:53,3/9/23,Auto gsw+F,LI-COR Default,,7,,,0.039223,2.922348,0.038704,1.069603,1.648765,1.622019,4.067739,2.418973,17.944822,18.240723,45.002457,0.441786,PSF-00438_20230309114053,0,0,0,82.480072,162.911041,0.493711,0.5,0.8,137.337189,44.02,43.31,27.78,29.2,90.39,156.8,156.3,0.3,695,4.086,11:37:43,3/9/23,-0.11,0,-0.002,-9999,0.855,1.532,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,157.935623,25,-3.56958,157.579773,157.808365,-0.228592,2.457952,2.473181,1.65617,0.937154,0.244221,0.016971,0.18175,0.732891,82.480072,0.000243,2.38896,-0.000025,1,2.402765,-0.000034,1,0.600816,0.600971,0.107301,0,PSF-00438_20230309114053,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
