ID,ps_pathway,leaf.biomass,leaf.d13c.mass(mg),leaf.d13c,co2,biomass(g)
pas_smi1_t1_ch2,C3,0.08,3.09,-27.31,AC,2.22
pas_smi2_t1_ch2,C3,0.04,3.11,-27.06,AC,2.23
pas_smi3_t2_ch2,C3,0.28,2.73,-26.5,AC,1.17
pas_smi4_t2_ch2,C3,0.12,3.25,-27.78,AC,1.44
pas_smi5_t3_ch2,C3,0.13,3.25,-28.28,AC,2.18
pas_smi6_t3_ch2,C3,0.15,3.24,-27.51,AC,2.88
pas_smi7_t4_ch2,C3,0.18,2.986,-27.01,AC,2.11
pas_smi8_t4_ch2,C3,0.18,2.82,-25.81,AC,1.31
ely_can1_t1_ch2,C3,0.01,3.104,-25.35,AC,1.19
ely_can2_t1_ch2,C3,0.01,2.825,-25.98,AC,0.93
ely_can3_t2_ch2,C3,0.02,2.806,-28.02,AC,1.09
ely_can4_t2_ch2,C3,0.02,2.813,-27.87,AC,0.95
ely_can5_t3_ch2,C3,0.06,2.791,-27.52,AC,1.54
ely_can6_t3_ch2,C3,0.03,2.866,-26.71,AC,1.32
ely_can7_t4_ch2,C3,0.02,2.778,-26.61,AC,1.28
ely_can8_t4_ch2,C3,0.04,2.833,-24.89,AC,0.9
poa_pra1_t1_ch2,C3,0.01,2.961,-25.13,AC,0.72
poa_pra2_t1_ch2,C3,0.03,2.918,-24.72,AC,0.7
poa_pra3_t2_ch2,C3,0.01,2.834,-26.3,AC,0.48
poa_pra4_t2_ch2,C3,0.03,2.918,-27.38,AC,0.62
poa_pra5_t3_ch2,C3,0.05,2.789,-25.86,AC,0.53
poa_pra6_t3_ch2,C3,0.03,2.907,-25.45,AC,0.79
poa_pra7_t4_ch2,C3,0.06,2.983,-25.43,AC,0.53
poa_pra8_t4_ch2,C3,0.05,3.004,-25.43,AC,0.6
bou_cur1_t1_ch2,C4,0.02,2.898,-6.93,AC,0.77
bou_cur2_t1_ch2,C4,0.09,2.904,-7.27,AC,0.75
bou_cur3_t2_ch2,C4,no growth,NA,NA,AC,NA
bou_cur4_t2_ch2,C4,0.03,2.801,-9.65,AC,0.16
bou_cur5_t3_ch2,C4,0.07,2.884,-9.64,AC,0.23
bou_cur6_t3_ch2,C4,0.05,2.874,-8.99,AC,0.17
bou_cur7_t4_ch2,C4,0.07,2.993,-9.46,AC,0.73
bou_cur8_t4_ch2,C4,no leave,NA,NA ,AC,NA
sch_sco1_t1_ch2,C4,no growth,NA,NA,AC,NA
sch_sco2_t1_ch2,C4,0.02,2.881,-7.42,AC,0.25
sch_sco3_t2_ch2,C4,0.01,2.89,-7.67,AC,0.123
sch_sco4_t2_ch2,C4,0.02,2.902,-7.39,AC,0.25
sch_sco5_t3_ch2,C4,0.02,2.875,-7.72,AC,0.22
sch_sco6_t3_ch2,C4,no growth,NA,NA,AC,NA
sch_sco7_t4_ch2,C4,0.04,2.845,-7.89,AC,0.1
sch_sco8_t4_ch2,C4,0.2,NA,NA,AC,NA
sor_nut1_t1_ch2,C4,0.05,2.881,-7.29,AC,1.16
sor_nut2_t1_ch2,C4,0.1,2.823,-8.32,AC,0.93
sor_nut3_t2_ch2,C4,0.12,2.926,-8.12,AC,0.7
sor_nut4_t2_ch2,C4,0.11,2.786,-8.46,AC,0.44
sor_nut5_t3_ch2,C4,0.06,2.778,-8.19,AC,0.34
sor_nut6_t3_ch2,C4,0.02,2.832,-8.46,AC,0.31
sor_nut7_t4_ch2,C4,0.05,2.78,-8.2,AC,0.26
sor_nut8_t4_ch2,C4,0.2,2.83,-9.46,AC,0.81
pas_smi25_t1_ch5,C3,0.06,2.889,-28.57,EC,1.81
pas_smi26_t1_ch5,C3,0.1,2.768,-28.49,EC,1.18
pas_smi27_t2_ch5,C3,0.25,3.108,-28.7,EC,1.32
pas_smi28_t2_ch5,C3,no leave,NA,NA,EC,1.63
pas_smi29_t3_ch5,C3,0.1,3.172,-29.14,EC,1.42
pas_smi30_t3_ch5,C3,0.07,2.805,-30.03,EC,0.95
pas_smi31_t4_ch5,C3,0.02,3.135,-29.97,EC,1.72
pas_smi32_t4_ch5,C3,0.06,2.9,-29.72,EC,2.14
ely_can25_t1_ch5,C3,0.02,2.901,-30.03,EC,1.09
ely_can26_t1_ch5,C3,0.01,2.975,-28.68,EC,1.37
ely_can27_t2_ch5,C3,no leave,NA,NA,EC,0.78
ely_can28_t2_ch5,C3,0.02,2.975,-28.91,EC,1.07
ely_can29_t3_ch5,C3,0.01,2.952,-29.91,EC,2.11
ely_can30_t3_ch5,C3,0.01,NA,NA,EC,1.24
ely_can31_t4_ch5,C3,0.04,2.846,-30.34,EC,1.85
ely_can32_t4_ch5,C3,0.01,2.762,-30.59,EC,2.43
poa_pra25_t1_ch5,C3,0.03,2.98,-29.28,EC,0.71
poa_pra26_t1_ch5,C3,0.01,2.909,-30.23,EC,0.78
poa_pra27_t2_ch5,C3,0.01,2.933,-31.5,EC,0.73
poa_pra28_t2_ch5,C3,0.04,2.902,-29.88,EC,0.62
poa_pra29_t3_ch5,C3,0.01,2.733,-27.66,EC,0.99
poa_pra30_t3_ch5,C3,0.04,2.951,-27.23,EC,0.93
poa_pra31_t4_ch5,C3,0.02,2.874,-29.88,EC,0.92
poa_pra32_t4_ch5,C3,0.03,2.971,-29.25,EC,0.88
bou_cur25_t1_ch5,C4,0.01,NA,NA,EC,0.17
bou_cur26_t1_ch5,C4,no leave,NA,NA,EC,NA
bou_cur27_t2_ch5,C4,no leave,NA,NA,EC,NA
bou_cur28_t2_ch5,C4,no leave,NA,NA,EC,NA
bou_cur29_t3_ch5,C4,0.01,2.915,-9.08,EC,
bou_cur30_t3_ch5,C4,0.02,2.764,-10.02,EC,0.45
bou_cur31_t4_ch5,C4,0.02,2.814,-10.43,EC,0.16
bou_cur32_t4_ch5,C4,0.03,2.914,-8.61,EC,0.68
sch_sco25_t1_ch5,C4,0.01,2.778,-8.09,EC,0.42
sch_sco26_t1_ch5,C4,0.01,2.99,-6.34,EC,0.46
