,ID,species,ps_pathway,chamber,trt,tray_number,planting.date,germination_date,Thinning_date,measurment_date,growth_co2,growth_temp,common.temp,leaf.biomass,leaf.13c.mass.mg.,leaf.d13c,leaf.d15NAir,focal.area,vcmax20,vpmax20,jmax20,tpu20,rd20,amaxLA20,vpmaxLA20,vcmax27.5,vpmax27.5,jmax27.5,tpu27.5,rd27.5,amaxLA27.5,vpmaxLA27.5,vcmax35,vpmax35,jmax35,tpu35,rd35,amaxLA35,vpmaxLA35
1,pas_smi1_t1_ch2,Pascopyrum Smithii,C3,2,AC+LT,1,12/26/22,1/7/23,NA,NA,420,20,27.5,0.08,3.09,-27.31,19.43,17.72,48.42560401,NA,111.7126771,8.091264214,0.666192428,NA,NA,85.71050064,NA,166.236412,11.13131932,1.011417287,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,pas_smi2_t1_ch2,Pascopyrum Smithii,C3,2,AC+LT,1,12/26/22,,NA,NA,420,20,27.5,0.04,3.11,-27.06,16.32,11.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,pas_smi3_t2_ch2,Pascopyrum Smithii,C3,2,AC+LT,2,12/26/22,1/11/23,NA,NA,420,20,27.5,0.28,2.73,-26.5,18.59,44.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,pas_smi4_t2_ch2,Pascopyrum Smithii,C3,2,AC+LT,2,12/26/22,,NA,NA,420,20,27.5,0.12,3.25,-27.78,19.64,17.722,45.39259455,NA,106.1939332,NA,1.146801222,NA,NA,81.54947156,NA,154.6379659,10.69487811,1.573916337,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,pas_smi5_t3_ch2,Pascopyrum Smithii,C3,2,AC+LT,3,12/26/22,,NA,NA,420,20,27.5,0.13,3.25,-28.28,18.69,23.523,31.7330736,NA,77.65381897,NA,0.687303573,NA,NA,59.26237348,NA,108.1729845,NA,1.350363213,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,pas_smi6_t3_ch2,Pascopyrum Smithii,C3,2,AC+LT,3,12/26/22,1/5/23,NA,NA,420,20,27.5,0.15,3.24,-27.51,17.39,26.764,36.92879628,NA,91.28350305,6.758868551,1.18243723,NA,NA,64.20432091,NA,123.8814375,8.623242334,0.861727572,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,pas_smi7_t4_ch2,Pascopyrum Smithii,C3,2,AC+LT,4,12/26/22,1/6/23,NA,NA,420,20,27.5,0.18,2.986,-27.01,15.06,28.628,20.85588162,NA,52.55780128,3.740464776,0.676338847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,pas_smi8_t4_ch2,Pascopyrum Smithii,C3,2,AC+LT,4,12/26/22,1/11/23,NA,NA,420,20,27.5,0.18,2.82,-25.81,19.71,29.544,42.62730758,NA,87.95167247,6.194054226,0.647385041,NA,NA,79.37426785,NA,134.1800761,8.809605024,1.174948788,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ely_can1_t1_ch2,Elymus Canadensis,C3,2,AC+LT,1,12/26/22,,NA,NA,420,20,27.5,0.01,3.104,-25.35,15.05,8.268,24.34024116,NA,58.49668718,NA,0.357488917,NA,NA,49.54371971,NA,85.63483231,5.756954816,0.633142714,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ely_can2_t1_ch2,Elymus Canadensis,C3,2,AC+LT,1,12/26/22, ,NA,NA,420,20,27.5,0.01,2.825,-25.98,14.18,5.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ely_can3_t2_ch2,Elymus Canadensis,C3,2,AC+LT,2,12/26/22,1/5/23,NA,NA,420,20,27.5,0.02,2.806,-28.02,16.76,10.614,NA,NA,NA,NA,NA,NA,NA,46.00213032,NA,83.23771354,5.730300638,0.887431595,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ely_can4_t2_ch2,Elymus Canadensis,C3,2,AC+LT,2,12/26/22,1/4/23,NA,NA,420,20,27.5,0.02,2.813,-27.87,16.45,7.555,24.75195798,NA,58.34453356,4.34690116,0.324305524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,ely_can5_t3_ch2,Elymus Canadensis,C3,2,AC+LT,3,12/26/22,1/5/23,NA,NA,420,20,27.5,0.06,2.791,-27.52,15.06,14.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ely_can6_t3_ch2,Elymus Canadensis,C3,2,AC+LT,3,12/26/22,1/5/23,NA,NA,420,20,27.5,0.03,2.866,-26.71,17.36,10.823,23.16311119,NA,55.08843946,4.070960713,0.395924161,NA,NA,38.07521471,NA,68.81507415,4.808958256,0.695876595,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,ely_can7_t4_ch2,Elymus Canadensis,C3,2,AC+LT,4,12/26/22,1/6/23,NA,NA,420,20,27.5,0.02,2.778,-26.61,17.25,8.69,34.32999363,NA,59.18928097,NA,0.278152535,NA,NA,52.14248166,NA,64.43861847,3.00021445,0.769336473,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,ely_can8_t4_ch2,Elymus Canadensis,C3,2,AC+LT,4,12/26/22,1/7/23,NA,NA,420,20,27.5,0.04,2.833,-24.89,13.78,10.321,18.07121913,NA,45.28671334,3.30815213,0.57429562,NA,NA,45.35893814,NA,79.25599747,5.362157316,0.987965861,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,poa_pra1_t1_ch2,Poa Pratensis,C3,2,AC+LT,1,12/26/22,1/6/23,NA,NA,420,20,27.5,0.01,2.961,-25.13,14.77,19.106,40.30534352,NA,96.09444652,NA,0.696928543,NA,NA,71.70287362,NA,128.3441824,NA,1.27635899,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,poa_pra2_t1_ch2,Poa Pratensis,C3,2,AC+LT,1,12/26/22,,NA,NA,420,20,27.5,0.03,2.918,-24.72,20.47,NA,NA,NA,NA,NA,NA,NA,NA,58.00940236,NA,117.3133765,NA,1.44191293,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,poa_pra3_t2_ch2,Poa Pratensis,C3,2,AC+LT,2,12/26/22,,NA,NA,420,20,27.5,0.01,2.834,-26.3,19.06,11.351,NA,NA,NA,NA,NA,NA,NA,56.43826277,NA,90.20371951,5.372243801,1.12471926,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,poa_pra4_t2_ch2,Poa Pratensis,C3,2,AC+LT,2,12/26/22,1/5/23,NA,NA,420,20,27.5,0.03,2.918,-27.38,20.82,14.647,28.56138067,NA,89.93515047,6.622454408,0.911833445,NA,NA,53.07629729,NA,110.0499416,NA,1.383660694,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,poa_pra5_t3_ch2,Poa Pratensis,C3,2,AC+LT,3,12/26/22,1/11/23,NA,NA,420,20,27.5,0.05,2.789,-25.86,19.61,21.347,38.90597586,NA,101.0494834,NA,0.745505962,NA,NA,68.24589034,NA,137.6116333,NA,1.049323006,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,poa_pra6_t3_ch2,Poa Pratensis,C3,2,AC+LT,3,12/26/22,,NA,NA,420,20,27.5,0.03,2.907,-25.45,20.16,16.569,28.85941867,NA,74.83238561,NA,0.653525649,NA,NA,48.67728487,NA,91.95936675,6.158360248,1.071124254,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,poa_pra7_t4_ch2,Poa Pratensis,C3,2,AC+LT,4,12/26/22,,NA,NA,420,20,27.5,0.06,2.983,-25.43,18.48,24.428,35.92722705,NA,97.13198258,NA,0.49139865,NA,NA,67.75925714,NA,133.7986178,8.807431801,1.204850058,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,poa_pra8_t4_ch2,Poa Pratensis,C3,2,AC+LT,4,12/26/22,,NA,NA,420,20,27.5,0.05,3.004,-25.43,20.5,29.953,33.78860764,NA,81.98075697,NA,0.780138069,NA,NA,63.04111151,NA,120.4574462,NA,1.068269167,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,bou_cur1_t1_ch2,Bouteloua Curtipendula,C4,2,AC+LT,1,12/26/22,1/3/23,NA,NA,420,20,27.5,0.02,2.898,-6.93,23.95,7.263,61384154.21,32.05603859,NA,NA,1.333214232,22.57564899,34.82487916,35.53293798,37.49304484,NA,NA,1.871916531,116.8163884,65.39396117,NA,NA,NA,NA,NA,NA,NA
26,bou_cur2_t1_ch2,Bouteloua Curtipendula,C4,2,AC+LT,1,12/26/22,1/4/23,NA,NA,420,20,27.5,0.09,2.904,-7.27,19.25,15.947,NA,NA,NA,NA,NA,NA,NA,22.28568916,15.75372586,NA,NA,1.833123373,19.75061531,28.96642462,NA,NA,NA,NA,NA,NA,NA
27,bou_cur3_t2_ch2,Bouteloua Curtipendula,C4,2,AC+LT,2,12/26/22,no growth,NA,NA,420,20,27.5,no growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,bou_cur4_t2_ch2,Bouteloua Curtipendula,C4,2,AC+LT,2,12/26/22,1/9/23,NA,NA,420,20,27.5,0.03,2.801,-9.65,16.75,8.221,1105.161141,14.78388942,NA,NA,1.160831499,23.25550744,24.00075283,153.3285984,11.37211093,61.41784444,NA,2.097541536,13.62250392,16.33178597,NA,NA,NA,NA,NA,NA,NA
29,bou_cur5_t3_ch2,Bouteloua Curtipendula,C4,2,AC+LT,3,12/26/22,1/11/23,NA,NA,420,20,27.5,0.07,2.884,-9.64,21.84,14.519,8260.900033,35.80377466,NA,NA,1.30405,38.68819013,53.05813847,224.7752756,25.66755608,118.777901,NA,2.146954005,47.45230056,57.31809388,NA,NA,NA,NA,NA,NA,NA
30,bou_cur6_t3_ch2,Bouteloua Curtipendula,C4,2,AC+LT,3,12/26/22,1/9/23,NA,NA,420,20,27.5,0.05,2.874,-8.99,23.74,7.565,NA,NA,NA,NA,NA,NA,NA,46.38038764,4.502542619,31.6053493,NA,2.477200964,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,bou_cur7_t4_ch2,Bouteloua Curtipendula,C4,2,AC+LT,4,12/26/22,1/8/23,NA,NA,420,20,27.5,0.07,2.993,-9.46,19.96,20.289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,bou_cur8_t4_ch2,Bouteloua Curtipendula,C4,2,AC+LT,4,12/26/22,1/11/23,NA,NA,420,20,27.5,no leave,NA,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,sch_sco1_t1_ch2,Schizachyrium Scoparium,C4,2,AC+LT,1,12/26/22,no growth,NA,NA,420,20,27.5,no growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,sch_sco2_t1_ch2,Schizachyrium Scoparium,C4,2,AC+LT,1,12/26/22,1/11/23,NA,NA,420,20,27.5,0.02,2.881,-7.42,19.2,NA,586.756392,15.06372863,NA,NA,0.758144337,69.25579897,59.75106949,860.5970984,19.05411792,NA,NA,1.734448163,117.3080531,85.85779636,NA,NA,NA,NA,NA,NA,NA
35,sch_sco3_t2_ch2,Schizachyrium Scoparium,C4,2,AC+LT,2,12/26/22,,NA,NA,420,20,27.5,0.01,2.89,-7.67,17.12,9.74,1032.408411,13.74528227,NA,NA,0.66056637,29.70040397,25.13364812,1115.258711,14.40620828,NA,NA,1.659671506,35.13548239,54.24803981,NA,NA,NA,NA,NA,NA,NA
36,sch_sco4_t2_ch2,Schizachyrium Scoparium,C4,2,AC+LT,2,12/26/22,,NA,NA,420,20,27.5,0.02,2.902,-7.39,17.32,9.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,sch_sco5_t3_ch2,Schizachyrium Scoparium,C4,2,AC+LT,3,12/26/22,,NA,NA,420,20,27.5,0.02,2.875,-7.72,20.08,14.099,3304.636948,4.945570872,NA,NA,1.07713128,11.22329011,23.66784737,31750847.22,4.175961591,42.64089359,NA,2.291498787,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,sch_sco6_t3_ch2,Schizachyrium Scoparium,C4,2,AC+LT,3,12/26/22,no growth,NA,NA,420,20,27.5,no growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
