id,pathway,Vcmax,Jmax,Rd,TPU
ely_can1_t1_ch2,C3,24.34024116,58.49668718,0.357488917,NA
ely_can1_t1_ch2_27.5,C3,49.54371971,85.63483231,0.633142714,5.756954816
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
ely_can3_t2_ch2,C3,20.52795915,54.24924664,0.091233844,NA
ely_can3_t2_ch2_27.5,C3,46.00213032,83.23771354,0.887431595,5.730300638
ely_can4_t2_ch2,C3,24.75195798,58.34453356,0.324305524,4.34690116
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
ely_can6_t3_ch2,C3,23.16311119,55.08843946,0.395924161,4.070960713
ely_can6_t3_ch2_27.5,C3,38.07521471,68.81507415,0.695876595,4.808958256
ely_can7_t4_ch2,C3,34.3299936,59.23735185,0.278152535,NA
ely_can7_t4_ch2_27.5,C3,52.14248166,64.43861847,0.769336473,3.00021445
ely_can8_t4_ch2,C3,18.07121913,45.28671334,0.57429562,3.30815213
ely_can8_t4_ch2_27.5,C3,45.35893814,79.25599746,0.987965861,5.362157316
pas_smi1_t1_ch2,C3,48.42560401,111.7126771,0.666192428,8.091264214
pas_smi1_t1_ch2_27.5,C3,85.71050064,166.236412,1.011417287,11.13131932
pas_smi4_t2_ch2,C3,45.39259455,106.1939332,1.146801222,NA
pas_smi4_t2_ch2_27.5,C3,81.54947156,154.6379659,1.573916337,10.69487811
pas_smi5_t3_ch2,C3,31.73307361,77.65381897,0.687303573,NA
pas_smi5_t3_ch2_27.5,C3,59.26237348,108.1729845,1.350363213,NA
pas_smi6_t3_ch2,C3,36.92879628,91.28350305,1.18243723,6.758868551
pas_smi6_t3_ch2_27.5,C3,64.20432091,123.8814375,0.861727571,8.623242334
pas_smi7_t4_ch2,C3,20.85588162,52.55780128,0.676338847,3.740464776
NA,NA,NA,NA,NA,NA
pas_smi8_t4_ch2,C3,42.62730758,87.95167247,0.647385041,6.194054226
pas_smi8_t4_ch2_27.5,C3,79.37426785,134.1800761,1.174948788,8.809605024
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
poa_pra2_t1_ch2_27.5,C3,58.00940236,117.3133765,1.44191293,NA
NA,NA,NA,NA,NA,NA
poa_pra3_t2_ch2_27.5,C3,56.43826277,90.20371951,1.12471926,5.372243801
poa_pra4_t2_ch2,C3,28.56138067,89.93515047,0.911833445,6.622454408
poa_pra4_t2_ch2_27.5,C3,53.07629729,110.0499416,1.383660694,NA
poa_pra5_t3_ch2,C3,38.90597586,101.0494834,0.745505962,NA
poa_pra5_t3_ch2_27.5,C3,68.24589034,137.6116333,1.049323006,NA
poa_pra6_t3_ch2,C3,28.85941867,74.83238561,0.653525649,NA
poa_pra6_t3_ch2_27.5,C3,48.67728487,91.95936675,1.071124254,6.158360248
poa_pra7_t4_ch2,C3,35.92722705,97.13198258,0.49139865,NA
poa_pra7_t4_ch2_27.5,C3,67.75925714,133.7986178,1.204850058,8.807431801
poa_pra8_t4_ch2,C3,33.78860764,81.98075697,0.780138068,NA
poa_pra8_t4_ch2_27.5,C3,63.04111152,120.4574462,1.068269167,NA
