ID,Vcmax,Vpmax,Jmax,Rd0,VcmaxSE,VpmaxSE,JmaxSE,RMSE,trans_pt,ci_trans,emp_RMSE,AmaxLA,VpmaxLA
bou_cur29_t3_ch5,32.85890211,21.33558559,NA,1.134411864,1.578135117,0.432002706,NA,0.446586837,NA,NA,0.617690733,8.421721907,15.87380039
bou_cur29_t3_ch5_27.5,24.4946177,26.2349195,81.34753602,1.726342049,2.264319775,1.224675317,0.224154854,0.624407029,31,268.108028,0.471031749,68.69133268,28.08320816
bou_cur30_t3_ch5,37.18061612,18.19300827,NA,0.961226553,6.513430075,0.827408787,NA,0.76060648,NA,NA,1.464695613,73.61914825,25.9602467
bou_cur30_t3_ch5_27.5,63.80327262,14.54619424,63.08921051,1.292040811,217.5898042,3.369352605,0.244690224,0.776571235,40,328.7921929,1.579262347,23.94743177,25.98665457
bou_cur31_t4_ch5,401.1313006,14.88149566,NA,0.581594805,27349.60544,10.06068679,NA,4.008281093,NA,NA,3.407962367,21.94750383,27.21621633
bou_cur31_t4_ch5_27.5,396.333419,23.37363241,NA,1.337349922,15323.19641,7.984950462,NA,2.306902678,NA,NA,1.238012939,54.70247843,64.85137081
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bou_cur32_t4_ch5,1700.561208,29.53974281,NA,1.424664681,857773.1751,31.28319602,NA,6.100476384,NA,NA,2.071353036,40.92184678,45.29537289
bou_cur32_t4_ch5_27.5,3852.813826,30.96893812,NA,1.328604876,1280233.553,8.448173568,NA,1.321934868,NA,NA,1.523842006,35.21238575,55.24026877
sch_sco25_t1_ch5,21.11530562,52.38111469,NA,2.541671561,0.506277618,3.354749944,NA,2.470797171,NA,NA,0.956827594,17.02858257,14.28760366
sch_sco25_t1_ch5_27.5,54.39593424,21.81584365,NA,1.792789356,29.83106606,1.608705958,NA,3.308167884,NA,NA,2.643995644,20.2187436,4.38706407
sch_sco26_t1_ch5,37.01571442,40.50260543,NA,1.465243978,0.267683223,0.355500623,NA,0.72216376,NA,NA,0.709700237,37.97889548,48.90675428
sch_sco26_t1_ch5_27.5,281.290977,15.8382788,NA,1.444596606,23108.6844,16.81300547,NA,5.662438835,NA,NA,0.762669286,29.01621723,21.92668827
sch_sco28_t2_ch5,43.4826682,34.33441949,NA,2.802225016,1.152723845,0.684946545,NA,1.661523681,NA,NA,1.194120243,35.06351424,31.15705952
sch_sco28_t2_ch5_27.5,251.5746933,35.94967881,157.733017,1.539673561,8001.654414,17.11535277,0.511189139,2.229962974,35,309.0330112,1.755711803,139.0584091,101.0127953
sch_sco29_t3_ch5,637.5715965,15.349434,NA,1.24204462,106263.1496,15.806287,NA,5.246459259,NA,NA,2.863047298,29.85973908,34.02783895
sch_sco29_t3_ch5_27.5,298.5892624,30.93007203,159.142318,2.671163672,6867.409504,9.002713497,0.384275749,2.505876826,74,565.9895008,1.037140953,95.27985623,89.97185767
sch_sco30_t3_ch5,13930.58102,14.80292716,NA,0.886079034,67426646.55,19.81727617,NA,8.403584075,NA,NA,1.382437417,48.07422163,33.89781862
sch_sco30_t3_ch5_27.5,272.5729684,28.68009705,NA,2.035912671,3694.447845,5.5447603,NA,2.579470545,NA,NA,1.020477547,90.56946283,77.85863351
sch_sco31_t4_ch5,10868.43961,36.39255563,NA,0.981783937,28618696.08,30.1678407,NA,6.311446872,NA,NA,2.622577471,131.6421877,89.46398129
sch_sco31_t4_ch5_27.5,389.9882565,42.0899079,213.6185954,1.738391056,16309.58806,16.57447714,0.569352274,3.711743622,58,526.9495056,2.061861498,178.4542966,134.0435812
sch_sco32_t4_ch5,11685154.41,30.55844694,186.4068985,1.005851823,185749394.5,0.481032862,1.293273129,2.295323601,77,1135.996274,1.706538061,97.66386881,71.21973727
sch_sco32_t4_ch5_27.5,259.8392501,28.0021895,133.9087952,2.103087059,10689.05063,16.46032439,0.713313529,3.063389045,55,422.9259293,4.302617076,138.3757363,126.0691893
sor_nut25_t1_ch5,344.5523637,14.37802064,NA,0.800736284,15120.29965,7.590571828,NA,3.545181091,NA,NA,4.749515165,21.26299971,18.88608367
sor_nut25_t1_ch5_27.5,159.6093533,23.16053435,122.8941809,1.671130529,834.2699453,3.104513078,0.568975148,1.146774281,61,736.428117,0.714413721,33.38747048,49.874004
sor_nut26_t1_ch5,7180.718578,3.30553613,NA,1.374206116,1729062.485,0.821370092,NA,0.842304194,NA,NA,2.309930252,408.6108294,8.700268939
sor_nut26_t1_ch5_27.5,29410735.34,9.127416015,53.08391762,2.082540661,82324427.77,0.164015263,0.324997161,1.010933927,58,568.5705251,1.284160988,18.14382109,14.96292347
sor_nut27_t2_ch5,138.6550839,12.42733973,72.16008773,0.833735795,1197.372026,4.197168862,0.380907016,0.763623697,44,362.7294525,0.669103372,24.0910038,33.11428792
