ID,machine.x,A,Ci,Ca,gsw,CO2_s,CO2_r,H2O_s,H2O_r,Qin,VPDleaf,Flow,Tair,Tleaf,chamber,machine.y,Rd,keep.row
bou_cur17_t1_ch4_27.5,stan,6.667775449,266.6371745,419.022869,0.075303455,419.022871,420.0082903,24.65717742,24.48190968,1999.969677,1.491969667,999.9715484,26.86960968,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.475215579,268.2344281,418.9969291,0.073971509,418.996931,419.8363448,24.64971034,24.47492069,1999.986207,1.492483635,999.9867586,26.86830345,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.445865514,267.4328401,418.0345696,0.073705096,418.0345714,417.6291071,24.64678929,24.47547857,1999.960714,1.492386652,999.9850357,26.8688,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.824149375,256.4393899,414.1815165,0.074173885,414.1815185,411.3671111,24.64728889,24.47738148,1999.985926,1.492711459,999.9761111,26.86935556,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.360914903,259.8863593,406.6921053,0.074611864,406.6921071,401.2613214,24.64820714,24.47737143,1999.995714,1.493069915,999.9845714,26.86793929,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.965580368,235.5033022,394.4358869,0.074836131,394.4358889,386.8693333,24.64886667,24.4777037,2000.029259,1.494199985,999.9974074,26.86641111,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.701523298,226.6561834,381.0721766,0.074068631,381.0721786,372.5405357,24.64903214,24.477975,2000.0225,1.494207119,999.9998929,26.86583571,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,7.094814338,204.0113929,364.8793683,0.074837338,364.8793704,355.8046296,24.64880741,24.47741481,2000.013704,1.493917846,999.9938889,26.86662963,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.276147761,205.7616025,349.847141,0.074254512,349.8471429,340.5531786,24.64409286,24.46599286,2000.009286,1.493876562,999.9946786,26.86608571,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,6.368064702,191.4463163,332.7481463,0.076684383,332.7481481,323.3172593,24.63328148,24.45155556,1999.993333,1.494595243,1000.003185,26.86498519,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,5.469866525,192.4221473,317.4062841,0.074860128,317.4062857,307.8803571,24.62221429,24.44007857,1999.984643,1.49536471,999.9890714,26.86367857,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,5.244263294,180.7211866,300.1662577,0.075043896,300.1662593,290.5445185,24.6137037,24.43793704,1999.965926,1.495501915,999.9952222,26.86332963,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,5.188032792,166.3455368,284.7590342,0.07464487,284.7590357,275.0776071,24.61195,24.43865,1999.992143,1.495497043,999.98975,26.86253214,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,5.375892673,145.8528249,267.452554,0.074872536,267.4525556,257.7547778,24.61196296,24.43955926,2000.017778,1.495805324,999.9967037,26.86061111,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,5.456842543,129.8455017,252.003927,0.075355585,252.0039286,242.29175,24.61270357,24.44021786,2000.040714,1.495405118,999.9855357,26.85968214,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,4.261575341,138.9078424,234.6931469,0.075910718,234.6931481,224.9918889,24.61341852,24.44058889,2000.015926,1.495160973,999.9917407,26.85936296,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,4.50574849,118.2055609,219.3129987,0.075408619,219.313,209.53375,24.61441786,24.44095,2000.008214,1.495160463,999.9916786,26.86029643,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,4.085872336,112.3022127,202.0152951,0.077268511,202.0152963,192.1738148,24.61566667,24.44113704,1999.97963,1.495080303,1000.003259,26.85963704,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,3.751454817,104.0953318,186.5938918,0.077170582,186.5938929,176.6773571,24.617575,24.44219643,1999.98,1.495066538,1000.008893,26.85998571,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,3.430511976,92.60812533,169.2024064,0.07588206,169.2024074,159.2411481,24.61953704,24.44357037,1999.994444,1.495466189,1000.014259,26.86087037,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,3.020317983,86.13258443,153.7355705,0.075840657,153.7355714,143.7293929,24.6204,24.44522857,2000.016786,1.496710525,1000.008464,26.86235,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,2.812543858,73.52950595,136.3154436,0.075814586,136.3154444,126.2097407,24.62117407,24.44684074,2000.013333,1.497452855,999.9999259,26.86261852,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,1.369591758,88.55499412,120.799521,0.075341575,120.7995214,110.6060786,24.62183571,24.44789643,2000.005714,1.49656142,999.9938214,26.86189643,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,1.5354357,68.07113943,103.3150144,0.0753965,103.3150148,92.98392963,24.62336296,24.44954074,1999.982963,1.495730742,999.9961481,26.86070741,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,7.801123673,262.5404041,418.8638687,0.085815657,418.863871,420.003871,24.64837097,24.45865806,2000.009355,1.494303064,999.9951935,26.8674871,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,8.364918504,250.4749425,418.9096527,0.084912565,418.9096552,420.2279655,24.64291724,24.44877241,2000.002414,1.495142016,999.9904828,26.86647931,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,5.893052882,296.4004023,419.9755155,0.083766807,419.9755172,422.6166207,24.63483103,24.43835862,1999.997586,1.494354047,999.995069,26.86593793,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,7.821137052,263.7992203,424.0411763,0.083826824,424.0411786,429.0884643,24.62563929,24.43015714,2000,1.493173741,999.9798929,26.86666786,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,8.050162051,269.734068,432.1767477,0.085157126,432.17675,440.0504643,24.62234286,24.42879286,2000.016429,1.492264996,999.9948214,26.86658929,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,8.520422865,272.9753537,444.2510332,0.085321081,444.2510357,454.1473571,24.62193214,24.42793571,2000.003571,1.493356675,999.9958571,26.86704286,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,7.2684877,311.3019644,459.5744423,0.085356157,459.5744444,470.6259259,24.62247037,24.42775556,1999.978889,1.495156627,1000.009185,26.86731111,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,8.145038232,306.2594122,474.4295333,0.083623502,474.4295357,485.8406786,24.622725,24.42832143,1999.970357,1.496088083,1000.00975,26.86793214,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,7.467844911,336.9674476,491.47722,0.084358017,491.4772222,503.0488889,24.62244444,24.42894815,1999.974444,1.49612933,1000.004926,26.86822593,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,7.806145516,344.5965352,506.8642834,0.083818793,506.8642857,518.5172857,24.62199643,24.42926429,1999.995,1.496948124,999.99525,26.86945714,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.413445441,330.3487383,524.2282565,0.08354704,524.2282593,536.0787037,24.62154074,24.42948889,2000.01,1.498195792,999.9935556,26.87115556,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.603115239,338.9062141,539.9291758,0.082145348,539.9291786,551.9431071,24.62082857,24.42940357,1999.995357,1.498337815,999.9876786,26.87271071,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,8.729969413,373.3273748,557.6603308,0.082260676,557.6603333,569.7766667,24.6201963,24.4298963,2000.001481,1.497113709,1000.007444,26.87272593,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.847330415,367.7700155,573.5220328,0.082542095,573.5220357,585.6971071,24.61974286,24.42975,1999.999643,1.496384327,1000.010714,26.87299286,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.278080528,396.7633321,591.3385158,0.082860424,591.3385185,603.5519259,24.62031111,24.43037778,2000.008519,1.496465853,1000.007556,26.87234074,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,8.789357778,423.212266,607.2397117,0.08365832,607.2397143,619.4663571,24.62088929,24.43001071,2000.005714,1.497322977,1000.0035,26.87190357,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.270719037,427.8167219,625.080738,0.081983219,625.0807407,637.2823704,24.62075185,24.42971852,2000.002222,1.498093132,1000.001074,26.87042593,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.727237995,434.0849238,640.9737829,0.081845022,640.9737857,653.1721071,24.61924643,24.42890357,2000.007857,1.498416156,1000.006821,26.86998929,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.688798083,453.0140028,658.7764416,0.082226559,658.7764444,671.01,24.61754074,24.42811111,2000.003333,1.498431067,999.9991111,26.86986667,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,11.27380792,437.117149,674.6422467,0.081989132,674.64225,686.8649643,24.61623571,24.42709286,1999.996786,1.498250289,1000.011214,26.86938571,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,9.678435043,483.8018842,692.3502194,0.081319004,692.3502222,704.6248148,24.61532222,24.42634444,1999.991111,1.497659697,1000.014296,26.86954815,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,10.44107974,484.8283006,707.2905525,0.081896263,707.2905556,719.5825556,24.61449259,24.42587037,1999.987778,1.497365679,1000.012,26.86973333,27.5,4,stan,1.444596606,yes
bou_cur17_t1_ch4_27.5,stan,11.04954655,488.8968794,724.1105894,0.081719076,724.1105926,736.4932593,24.61368519,24.42567407,1999.984444,1.496814098,1000.001926,26.87022593,27.5,4,stan,1.444596606,yes
