"id","machine.x","A","Ci","Ca","gsw","CO2_s","CO2_r","H2O_s","H2O_r","Qin","VPDleaf","Flow","Tair","Tleaf","chamber","machine.y","rd","keep.row"
"bou_cur25_t1_ch5","stan",15.34377042,43.32530564,415.2246404,0.067653958,415.2246452,420.018,9.340082258,8.993467097,1999.953871,1.502803404,500.0516129,19.07722581,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",15.97382881,34.86948495,415.2303054,0.068827188,415.2303103,419.82,9.343568966,8.999895517,1999.946207,1.502676116,500.0332069,19.0778931,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",14.91197218,62.08917312,414.6528168,0.069485173,414.6528214,416.7383571,9.348187857,9.00428,1999.958929,1.503280767,500.0435714,19.08288929,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",14.82329673,60.25646893,411.6121065,0.069299935,411.6121111,408.4034074,9.351150741,9.002832963,1999.98,1.50384535,500.0448519,19.08663704,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",14.44659533,61.88070878,405.0166741,0.069172784,405.0166786,395.7658571,9.351258929,9.0014675,1999.975714,1.504245934,500.0561429,19.08917857,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",14.2117061,56.93752873,393.5009586,0.069356795,393.500963,378.9494815,9.350087407,9.000088519,1999.966667,1.504112926,500.0477407,19.08985926,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",13.76662418,55.13536893,380.4241386,0.069515572,380.4241429,363.4012857,9.349083929,8.998556429,1999.957143,1.504708864,500.0514286,19.09387857,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",13.66104769,42.76510816,364.3560328,0.069707782,364.356037,345.8687037,9.34817,8.996898889,1999.95,1.50574755,500.0513333,19.09657407,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",13.07481693,42.88415493,349.3483174,0.070025878,349.3483214,330.2452143,9.347801071,8.995458929,1999.948571,1.506165864,500.0419286,19.1003,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",12.6252646,33.31753079,332.2361072,0.069264011,332.2361111,312.7121111,9.347594074,8.99954963,1999.947037,1.505529118,500.0547037,19.1041963,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",12.35291284,12.73795657,317.7294777,0.066269474,317.7294815,298.0648889,9.350425185,9.012005185,1999.941852,1.504106847,500.0494444,19.1070963,20,5,"stan",1.6684325968268,"yes"
