"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccH2O_des","AccCO2_soda","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1680543734,0,"20230403 12:42:14","12:42:14",5,"pas_smi6_t3_ch2","gibson",1680543726.25,0.00275938060883467,2.75938060883467,11.6280390456362,412.371692945526,289.171244869455,26.0610618655032,37.1642906828004,0.167239575414032,3.55294320319769,0.162986156560862,0.102239490454568,321.5202028,20.7677127184837,19.9911366666667,2.34532542728439,36.5699086686161,0.846543856599824,2.31486456329687,1.49878157068457,-121.688684849609,-40.4015785934984,-2.28357734781729,157.146362009075,11.7942003187633,2.77702157498531,11.6280390456362,423.314920503327,416.334490909091,0.00920046381913778,67.2464107509156,2.75938060883467,7.7589959929469,9.37655218181818,-1.1861084420435e-06,125.291099753438,8,2,1,0,48783,2000.02633333333,1681.22212,0.840599992100104,0.160757984753201,2.96,0.5,"0: Broadleaf",2,"True",1680543726.25,412.3717,420.028533333333,9.393176,7.765317,410.949433333333,9.47995633333333,500.2136,90.0232766666666,0.100006086666667,19.7802133333333,19.9911366666667,999.9,0,0,10001.498,0,11.2397,-7.656833,416.2819,423.315566666667,1.627858,420.028533333333,7.765317,0.845604366666667,0.699059233333334,4.49680366666667,1.807587,2000.02633333333,0.9800014,0.0199984066666667,0,2.71589,0,6510.095,16705.6333333333,40.8853333333333,43.125,42.0746,41.187,40.125,1960.02633333333,40,0,1680543763.9,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,-7.63376675,-0.293709455909921,0.0811525567184269,0,1.619834,0.0820721200750422,0.015667444558702,1,1,2,"1/2",2.87966,2.71006,0.089776,0.0912022,0.0517271,0.0444955,25552.5,22365,25112.2,23958.6,40631.4,37870,45357,42702.1,1.8004,1.88045,0.0285655,0,19.5135,999.9,25.931,28.127,11.0129,53.9368,46.2099,1,-0.159604,3.72627,20.2076,5.23346,11.986,4.9562,3.30395,9999,9999,9999,999.9,1.86813,1.86385,1.87149,1.86218,1.86172,1.86813,1.85823,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.422,-0.0871,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1208.6,1208.6,1.0437,2.34131,1.44775,2.30713,1.44409,2.44873,32.5539,16.0233,18,420.749,454.092,15.4516,25.1898,30.0001,25.2159,25.1867,20.9376,27.6478,15.982,15.4551,413.272,7.77285,96.0273,100.426,NA,2
2,1680543739,5,"20230403 12:42:19","12:42:19",5,"pas_smi6_t3_ch2","gibson",1680543731.15517,0.00274860760935275,2.74860760935275,12.1843188204332,412.373268436254,283.272896310305,25.5293280760134,37.1642066601205,0.16647953665749,3.55136817553475,0.162262346936327,0.101783966807882,321.521118206897,20.7743581636055,19.989,2.3450151044769,36.5126821016678,0.845422572559548,2.3154217217062,1.49959253191735,-121.213595572456,-39.2317533083548,-2.21845973043565,158.85730959565,11.579473924345,2.76534712716509,12.1843188204332,423.361736318256,416.202381818182,-0.0216004888783973,67.2464107509156,2.74860760935275,7.7578149518299,9.36912484848485,-7.59765237522375e-07,125.291099753438,8,2,1,0,48591,2000.03206896552,1681.22693793103,0.840599990379465,0.160757981432367,2.96,0.5,"0: Broadleaf",2,"True",1680543731.15517,412.373275862069,419.900482758621,9.38079137931034,7.75969448275862,410.951068965517,9.46777103448276,500.19475862069,90.0227310344828,0.100003644827586,19.7840931034483,19.989,999.9,0,0,9995.23482758621,0,11.2397,-7.52717379310345,416.278344827586,423.184103448276,1.62109620689655,419.900482758621,7.75969448275862,0.844484482758621,0.698548862068965,4.47787620689655,1.79738827586207,2000.03206896552,0.980001448275862,0.0199983551724138,0,2.5990724137931,0,6509.75344827586,16705.6827586207,40.8942413793103,43.125,42.0793793103448,41.187,40.125,1960.03206896552,40,0,1680543769.3,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,-7.58897219512195,0.855281393728221,0.230563184837689,0,1.62379097560976,-0.0563243205574896,0.00921752779005198,1,1,2,"1/2",2.87976,2.71021,0.0897361,0.0907947,0.0516949,0.0444852,25553.5,22375.5,25112.1,23959.2,40632.6,37871,45356.8,42702.8,1.8,1.88017,0.0283644,0,19.5144,999.9,25.955,28.147,11.0358,54.4268,46.3462,1,-0.160158,3.72754,20.2075,5.23316,11.9864,4.9562,3.3039,9999,9999,9999,999.9,1.86814,1.86386,1.87149,1.86218,1.8617,1.86813,1.85823,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.422,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1208.7,1208.7,1.01685,2.33765,1.44775,2.30835,1.44409,2.46948,32.5761,16.0146,18,420.518,453.912,15.4563,25.1896,30.0001,25.2145,25.1854,20.4129,27.6478,15.982,15.4664,399.793,7.77285,96.0268,100.428,NA,2
3,1680543744,10,"20230403 12:42:24","12:42:24",5,"pas_smi6_t3_ch2","gibson",1680543736.23214,0.00274984613680383,2.74984613680383,11.5918480750436,411.967992983605,288.597133701942,26.00841134393,37.1266092792063,0.166452592173817,3.54985877161121,0.162235005158433,0.101766910774103,321.520389,20.7783341998656,19.9903392857143,2.3452096139516,36.473984118536,0.844728426189146,2.31597519877149,1.50048118776245,-121.268214633049,-38.7339421857477,-2.19129931774309,159.32693286346,7.74821826581973,2.75550711128807,11.5918480750436,416.921605398639,413.346321212121,-0.671738068573281,67.2464107509156,2.74984613680383,7.75683985392931,9.36883672727272,9.60728159189654e-08,125.291099753438,8,2,1,0,48954,2000.0275,1681.2231,0.840599991750113,0.160757984077719,2.96,0.5,"0: Broadleaf",2,"True",1680543736.23214,411.968,417.224821428571,9.37336,7.75805107142857,410.546285714286,9.46045928571429,500.204571428571,90.0201392857143,0.0999911892857143,19.7879464285714,19.9903392857143,999.9,0,0,9989.46357142857,0,11.2397,-5.25680775,415.866071428571,420.486928571429,1.61530857142857,417.224821428571,7.75805107142857,0.84379125,0.698380785714286,4.46614857142857,1.79402607142857,2000.0275,0.9800015,0.0199983,0,2.64050714285714,0,6509.67,16705.6428571429,40.9015714285714,43.125,42.07325,41.187,40.125,1960.0275,40,0,1680543774.1,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,-5.936706175,24.8009914333959,3.12538002338733,0,1.618643,-0.070549418386494,0.00715511537293423,1,1,2,"1/2",2.87958,2.71026,0.0891786,0.0886187,0.0516935,0.0444806,25569.2,22429,25112.1,23959.1,40632.6,37871.2,45356.7,42702.9,1.7999,1.88017,0.028871,0,19.5165,999.9,25.955,28.147,11.0368,54.4068,45.645,1,-0.160137,3.69475,20.2082,5.23346,11.9861,4.95605,3.30395,9999,9999,9999,999.9,1.86813,1.86385,1.87149,1.86218,1.86171,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.418,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1208.8,1208.8,0.986328,2.35474,1.44775,2.30835,1.44409,2.40356,32.5539,16.0146,18,420.458,453.906,15.4633,25.1875,30.0001,25.2138,25.1846,19.8076,27.6478,15.982,15.4698,379.673,7.77285,96.0267,100.428,NA,2
4,1680543749,15,"20230403 12:42:29","12:42:29",5,"pas_smi6_t3_ch2","gibson",1680543741.5,0.00274683827008512,2.74683827008512,11.1417241334639,409.354437720045,290.257350590569,26.1571010075972,36.8897647331426,0.166204019912842,3.55186427594856,0.162001158503374,0.101619482409958,321.517123111111,20.7819035288637,19.9906148148148,2.34524963182699,36.4475364187003,0.844297128737482,2.31647241953038,1.50095250308951,-121.135567710754,-38.1458493139334,-2.15685184688139,160.078854239543,-1.36496426321931,2.7500676460293,11.1417241334639,401.562674683051,404.400757575758,-1.90845864195921,67.2464107509156,2.74683827008512,7.75490173849667,9.36514987878788,-7.55084687906172e-07,125.291099753438,8,2,1,0,49055,2000.00703703704,1681.20591111111,0.840599997888896,0.16075799592557,2.96,0.5,"0: Broadleaf",2,"True",1680543741.5,409.354444444444,409.212888888889,9.36890703703704,7.75677888888889,407.935925925926,9.45607814814815,500.20437037037,90.0169703703704,0.0999584666666667,19.7914074074074,19.9906148148148,999.9,0,0,9997.8662962963,0,11.2397,0.141643074074074,413.226037037037,412.411888888889,1.61212925925926,409.212888888889,7.75677888888889,0.843360666666667,0.698241703703704,4.45886111111111,1.79124074074074,2000.00703703704,0.980001444444444,0.0199983592592593,0,2.66184814814815,0,6510.70814814815,16705.4703703704,40.9048518518519,43.125,42.0666666666667,41.187,40.125,1960.00703703704,40,0,1680543778.9,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,-2.944684175,55.8109027879925,5.96176711947484,0,1.615026,-0.0388806754221437,0.00432742406056999,1,1,2,"1/2",2.88001,2.71034,0.0876057,0.0858639,0.0516801,0.0444755,25613.4,22497.3,25112.2,23959.6,40633.1,37871.6,45356.7,42703.1,1.80023,1.88008,0.0288859,0,19.5186,999.9,25.931,28.147,11.0257,53.4868,45.6811,1,-0.160142,3.71242,20.2078,5.23331,11.986,4.95585,3.304,9999,9999,9999,999.9,1.86813,1.86386,1.87149,1.86218,1.8617,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.407,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1208.9,1208.8,0.952148,2.36938,1.44775,2.30713,1.44409,2.27783,32.5761,16.0058,18,420.631,453.833,15.4709,25.1871,30.0001,25.2129,25.1833,19.1068,27.6478,15.982,15.4746,366.227,7.77285,96.0268,100.429,NA,2
5,1680543754,20,"20230403 12:42:34","12:42:34",5,"pas_smi6_t3_ch2","gibson",1680543746.21429,0.00274652372924295,2.74652372924295,11.23832795863,403.28185031535,283.328441028871,25.5323515333971,36.3420415257257,0.166088216498402,3.55091399558776,0.161890037498619,0.101549624642163,321.514632,20.7829564513727,19.9950285714286,2.34589076786928,36.4375133266346,0.844104011139885,2.31657962927693,1.5017867567294,-121.121696459614,-38.8377560825994,-2.19661953984106,159.358559917945,-12.1319346248867,2.74844560930502,11.23832795863,384.969329096804,391.444793939394,-2.65214488890063,67.2464107509156,2.74652372924295,7.75453287411223,9.36457848484848,-1.06242610518401e-07,125.291099753438,8,2,1,0,48751,1999.99142857143,1681.1928,0.84060000257144,0.160758004962878,2.96,0.5,"0: Broadleaf",2,"True",1680543746.21429,403.281857142857,396.758642857143,9.36688785714286,7.75572035714286,401.870678571429,9.45409178571429,500.208428571429,90.0157,0.100037907142857,19.7921535714286,19.9950285714286,999.9,0,0,9994.19214285714,0,11.2397,6.52317367857143,407.095142857143,399.860071428571,1.61116892857143,396.758642857143,7.75572035714286,0.843166892857143,0.698136428571429,4.45558035714286,1.789135,1999.99142857143,0.980001392857143,0.0199984142857143,0,2.72006428571429,0,6513.18321428572,16705.3428571429,40.9126428571428,43.125,42.071,41.187,40.125,1959.99142857143,40,0,1680543784.3,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,3.164535325,83.2313214146342,8.10849310426783,0,1.611712,-0.0121940712945649,0.00149867975231535,1,1,2,"1/2",2.88002,2.71011,0.0853848,0.0830153,0.0516757,0.044469,25675.7,22567.1,25112.2,23959.4,40633.3,37871.6,45356.8,42702.9,1.80002,1.87987,0.0286847,0,19.5205,999.9,25.931,28.147,11.0259,54.4568,45.4848,1,-0.160206,3.71273,20.2078,5.23316,11.986,4.95585,3.30395,9999,9999,9999,999.9,1.86813,1.86386,1.87149,1.86218,1.86171,1.86813,1.85823,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.39,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1208.9,1208.9,0.92041,2.37549,1.44897,2.30713,1.44409,2.24365,32.5761,16.0058,18,420.512,453.704,15.4754,25.1854,30,25.2117,25.1825,18.4786,27.6478,15.982,15.4759,345.988,7.77285,96.0269,100.429,NA,2
6,1680543759,25,"20230403 12:42:39","12:42:39",5,"pas_smi6_t3_ch2","gibson",1680543751.5,0.0027527023838239,2.7527023838239,10.6542609566875,392.291808348317,278.514527731256,25.09851364598,35.3516255875059,0.166431332998272,3.55282814448259,0.162218236538827,0.101756044740243,321.515704444444,20.782237241379,19.9967148148148,2.34613574974053,36.4312892804508,0.844018869517819,2.31674169700803,1.50211688022271,-121.394175126634,-38.9656350952467,-2.20269661457161,158.953197607992,-22.2606474066173,2.74890546717653,10.6542609566875,368.171867832646,376.64596969697,-2.98426115405351,67.2464107509156,2.7527023838239,7.7532354414157,9.3669316969697,3.03579371308155e-07,125.291099753438,8,2,1,0,48760,1999.99814814815,1681.19844444444,0.840600000555556,0.160758001072223,2.96,0.5,"0: Broadleaf",2,"True",1680543751.5,392.291814814815,379.756851851852,9.3659537037037,7.75447888888889,390.894148148148,9.45317296296296,500.197185185185,90.0155666666667,0.100068774074074,19.7932814814815,19.9967148148148,999.9,0,0,10001.8925925926,0,11.2397,12.5349881481481,396.000851851852,382.724851851852,1.61147666666667,379.756851851852,7.75447888888889,0.843081555555556,0.698023666666667,4.45413518518519,1.78687740740741,1999.99814814815,0.980001333333333,0.0199984777777778,0,2.67581481481481,0,6516.77592592593,16705.3962962963,40.9163333333333,43.125,42.083,41.187,40.125,1959.99814814815,40,0,1680543789.1,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,8.00793251219512,71.7047326620209,7.3056130641902,0,1.61144756097561,-0.000136933797910409,0.00109548024993118,1,1,2,"1/2",2.88002,2.71037,0.0828259,0.0800819,0.0516836,0.0444643,25747.1,22639.1,25111.7,23959.1,40632.9,37871.6,45356.8,42702.8,1.8001,1.8798,0.0287555,0,19.5222,999.9,25.931,28.147,11.0259,53.7768,45.3365,1,-0.160185,3.72517,20.2074,5.23226,11.986,4.95595,3.30393,9999,9999,9999,999.9,1.86813,1.86385,1.8715,1.86218,1.86172,1.86813,1.85823,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.372,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1209,1209,0.88501,2.37671,1.44897,2.30713,1.44409,2.27295,32.5761,16.0058,18,420.547,453.647,15.4778,25.1845,30,25.2108,25.1811,17.7628,27.6478,15.982,15.4767,332.574,7.77285,96.0263,100.428,NA,2
7,1680543764,30,"20230403 12:42:44","12:42:44",5,"pas_smi6_t3_ch2","gibson",1680543756.21429,0.0027510123320863,2.7510123320863,9.98534398028038,379.464922542458,272.447519489089,24.5518934012542,34.1958786971108,0.166310676479576,3.55447036352864,0.16210549411772,0.101684896601239,321.514575,20.7843703573507,19.997225,2.34620987520239,36.4239564256895,0.843964359694021,2.31705844864997,1.50224551550837,-121.319643845006,-38.6590181449898,-2.18438449030223,159.351528519702,-26.9745511340444,2.74943798172567,9.98534398028038,351.396205910818,360.979775757576,-3.12724200998617,67.2464107509156,2.7510123320863,7.75203811535524,9.36477,-2.38299489176172e-08,125.291099753438,8,2,1,0,48983,1999.99107142857,1681.1925,0.840600002678583,0.160758005169666,2.96,0.5,"0: Broadleaf",2,"True",1680543756.21429,379.464928571429,364.1195,9.36530607142857,7.75349821428571,378.083178571429,9.452535,500.191035714286,90.0160357142857,0.100011028571429,19.7954857142857,19.997225,999.9,0,0,10008.4360714286,0,11.2397,15.3454321428571,383.052392857143,366.964857142857,1.61180821428571,364.1195,7.75349821428571,0.843027642857143,0.697939035714286,4.45322071428571,1.78518392857143,1999.99107142857,0.980001392857143,0.0199984142857143,0,2.59797142857143,0,6519.83464285714,16705.3392857143,40.9215,43.125,42.08675,41.187,40.125,1959.99107142857,40,0,1680543793.9,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,12.79238675,42.2302010881801,4.28675931262556,0,1.611777,0.00530251407129287,0.00130060409041337,1,1,2,"1/2",2.87988,2.71042,0.080106,0.077159,0.0516803,0.0444636,25823.9,22711.3,25112.2,23959.5,40633,37872.4,45356.8,42703.6,1.80007,1.87962,0.0284985,0,19.5237,999.9,25.931,28.147,11.0258,54.1468,45.4087,1,-0.16029,3.73257,20.2073,5.23197,11.986,4.9559,3.3039,9999,9999,9999,999.9,1.86814,1.86385,1.87149,1.86218,1.8617,1.86813,1.85823,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.353,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1209.1,1209.1,0.855713,2.37305,1.44775,2.30713,1.44409,2.34497,32.5761,16.0146,18,420.523,453.538,15.4784,25.1833,30,25.2096,25.1809,17.1685,27.6478,15.982,15.4805,319.18,7.77285,96.0271,100.43,NA,2
8,1680543769,35,"20230403 12:42:49","12:42:49",5,"pas_smi6_t3_ch2","gibson",1680543761.5,0.00275445776299712,2.75445776299712,10.0033349305984,363.691623541187,257.025831233279,23.1624862201699,32.7749245211787,0.166496865405128,3.55486124085381,0.162282841430454,0.101796505717786,321.515704444444,20.7861095077982,19.9988333333333,2.34644356545318,36.4170605806282,0.843940050299813,2.3174304483782,1.50250351515337,-121.471587348173,-38.4754476368619,-2.17381971681889,159.394849742591,-29.4759351687398,2.75113404574385,10.0033349305984,335.34029416129,345.155993939394,-3.17612273310653,67.2464107509156,2.75445776299712,7.75044735911858,9.36517193939394,7.29929016081116e-07,125.291099753438,8,2,1,0,48585,1999.99814814815,1681.19844444444,0.840600000555556,0.160758001072223,2.96,0.5,"0: Broadleaf",2,"True",1680543761.5,363.69162962963,346.840851851852,9.36490111111111,7.75211777777778,362.329740740741,9.4521362962963,500.197074074074,90.017337037037,0.100010737037037,19.7980740740741,19.9988333333333,999.9,0,0,10009.8614814815,0,11.2397,16.8508185185185,367.129740740741,349.550518518519,1.61278407407407,346.840851851852,7.75211777777778,0.843003444444445,0.697825,4.45281,1.7829,1999.99814814815,0.980001333333333,0.0199984777777778,0,2.60821851851852,0,6522.7862962963,16705.3962962963,40.9117407407407,43.125,42.09,41.187,40.125,1959.99814814815,40,0,1680543799.3,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,15.568955,20.3476818011257,2.11833589427527,0,1.6118685,0.0100631144465245,0.00135042317441608,1,1,2,"1/2",2.87986,2.71005,0.0773018,0.0744049,0.0516876,0.0444568,25902.3,22779.4,25111.9,23959.9,40632.6,37873,45356.8,42704.1,1.80007,1.87978,0.0286549,0,19.5249,999.9,25.906,28.147,11.0151,53.8568,45.633,1,-0.1603,3.72343,20.2074,5.23137,11.986,4.9559,3.30398,9999,9999,9999,999.9,1.86814,1.86386,1.8715,1.86218,1.86172,1.86813,1.85823,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.332,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1209.2,1209.2,0.821533,2.36572,1.44775,2.30713,1.44409,2.40356,32.5761,16.0146,18,420.517,453.613,15.4802,25.1829,30,25.2087,25.179,16.4734,27.6478,15.982,15.4214,298.942,7.77285,96.0265,100.431,NA,2
9,1680543774,40,"20230403 12:42:54","12:42:54",5,"pas_smi6_t3_ch2","gibson",1680543766.21429,0.00275559156608772,2.75559156608772,9.24159281573478,349.141172945198,250.282417765117,22.5550088940341,31.4639850908057,0.166567815269137,3.55169632313948,0.162346592361374,0.101836970260586,321.516741,20.788861296136,19.9989821428571,2.34646518845391,36.4112468921669,0.843918456076554,2.31774115996589,1.50254673237735,-121.521588064468,-38.0557777656451,-2.15205026014413,159.787324909742,-30.3803387389837,2.75263191706475,9.24159281573478,319.785835927607,329.678381818182,-3.10017491294311,67.2464107509156,2.75559156608772,7.74940030939013,9.36477666666667,8.6933985297064e-08,125.291099753438,8,2,1,0,48635,2000.00464285714,1681.2039,0.840599998607146,0.160757997311792,2.96,0.5,"0: Broadleaf",2,"True",1680543766.21429,349.141178571429,331.732035714286,9.36456964285714,7.75092714285714,347.797928571429,9.45180892857143,500.203107142857,90.0182035714286,0.100028046428571,19.8002357142857,19.9989821428571,999.9,0,0,9997.055,0,11.2397,17.409175,352.441642857143,334.323285714286,1.61364142857143,331.732035714286,7.75092714285714,0.842981607142857,0.697724642857143,4.45244107142857,1.78089,2000.00464285714,0.980001392857143,0.0199984142857143,0,2.65748214285714,0,6525.27928571428,16705.4571428571,40.8971428571429,43.125,42.089,41.187,40.125,1960.00464285714,40,0,1680543804.1,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,16.8297375,7.9692889305816,0.924631570326122,0,1.613123,0.0108475046904279,0.00148427962325165,1,1,2,"1/2",2.87986,2.71013,0.0744854,0.0712783,0.0516808,0.0444491,25981.4,22856.4,25112,23959.9,40632.8,37873.2,45356.8,42704.1,1.8002,1.87967,0.0290312,0,19.5255,999.9,25.906,28.157,11.022,54.4368,45.7612,1,-0.15966,3.97253,20.2016,5.23256,11.986,4.9561,3.304,9999,9999,9999,999.9,1.86813,1.86383,1.87149,1.86218,1.8617,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.312,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1209.3,1209.3,0.787354,2.36572,1.44775,2.30835,1.44409,2.43164,32.5761,16.0146,18,420.577,453.551,15.4478,25.1812,30.0005,25.2075,25.1787,15.8029,27.6478,15.982,15.4346,285.279,7.77285,96.0266,100.431,NA,2
10,1680543779,45,"20230403 12:42:59","12:42:59",5,"pas_smi6_t3_ch2","gibson",1680543771.5,0.00275944155560599,2.75944155560599,8.66560586249084,332.658920665127,239.908535680043,21.6202953824272,29.9788588429859,0.166753571769827,3.5493974774738,0.162520392302755,0.101946628903209,321.513872,20.7887849498831,20.0022925925926,2.34694626368187,36.4101389683004,0.843901763484205,2.31776584049549,1.50304450019766,-121.691372602224,-38.6317631924265,-2.1860760860615,159.004660119288,-31.2975075168867,2.75543238907634,8.66560586249084,302.530031797559,313.4928,-3.24641139373105,67.2464107509156,2.75944155560599,7.74564469941615,9.36328242424242,-4.66305915323908e-07,125.291099753438,8,2,1,0,48817,1999.98666666667,1681.1888,0.840600004000027,0.160758007720051,2.96,0.5,"0: Broadleaf",2,"True",1680543771.5,332.658925925926,314.680777777778,9.36431407407408,7.74903259259259,331.337222222222,9.45155703703704,500.204074074074,90.0188666666667,0.100041862962963,19.8004074074074,20.0022925925926,999.9,0,0,9987.75333333333,0,11.2397,17.9781851851852,335.803481481482,317.138333333333,1.61528111111111,314.680777777778,7.74903259259259,0.842964851851852,0.697559222222222,4.45215666666667,1.77757666666667,1999.98666666667,0.980001111111111,0.0199987148148148,0,2.66066296296296,0,6528.3762962963,16705.3,40.8887777777778,43.125,42.0946666666667,41.187,40.125,1959.98666666667,40,0,1680543808.9,0,0,"--:--:--",1680471217.5,1680471218,0,-0.359,0.007,1.308,0.432,420,24,0.58,0.21,17.7625575,6.21490243902439,0.700083370352239,0,1.61465325,0.0192930956847996,0.00213794455903327,1,1,2,"1/2",2.87966,2.71018,0.071495,0.0681522,0.0516797,0.0444316,26065.4,22933,25112,23959.6,40633,37873.2,45357,42703.4,1.80025,1.8798,0.0287741,0,19.5272,999.9,25.906,28.147,11.0153,53.6968,46.0978,1,-0.160155,3.81413,20.2052,5.23421,11.9861,4.95725,3.30398,9999,9999,9999,999.9,1.86814,1.86384,1.87149,1.86218,1.86169,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.29,-0.0872,0.783659032349809,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0615667382587636,-0.0244478680947972,0.00259235353402393,-3.10154524223017e-05,1,1983,1,22,1209.4,1209.3,0.750732,2.36084,1.44775,2.30713,1.44409,2.45361,32.5761,16.0146,18,420.598,453.611,15.426,25.1808,30,25.2066,25.1769,15.0802,27.6478,15.982,15.4303,265.028,7.77285,96.0269,100.43,NA,2
