obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
25,1680471959,1443,20230402 16:45:59,16:45:59,5,poa_pra4_t2_ch2,stan,1680471956,0.000588052,0.588052152,-0.973891791,420.2684004,453.5679221,40.56770254,37.58935018,0.034596747,3.837973778,0.03442442,0.021530673,0,20.19463446,19.99454,2.345819791,35.32581389,0.845201817,2.392589793,1.500617974,-25.93309991,66.04037188,3.465028988,43.57230096,-0.975582146,0.588866148,-0.973891791,423.8399044,424.2689212,-0.000112028,64.49448572,0.588052152,9.192026359,9.446147818,-2.63E-05,100.7786609,0,0,1,0,48296,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471956,420.2684,419.951,9.449794,9.195516,421.682,9.638377,500.0815,89.34115,0.10014548,20.31371,19.99454,999.9,0,0,9988.625,0,0.281038,0.317575,424.2777,423.8483,0.2542772,419.951,9.195516,0.8442552,0.821538,4.474003,4.084993,0,0,0,0,2.41847,0,-5.54684,-1.18977,34.5124,41.3309,37.5809,41.1312,35.187,0,0,0,1680471969,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.311447561,-0.107687394,0.035685506,0,0.241850976,0.179428641,0.020984427,0,0,2,0/2,2.98366,2.71556,0.0935412,0.0923569,0.054212,0.0519265,28781.9,28952,29508.4,29498.6,36981.4,37190.3,41552.2,42030.4,1.97652,1.8652,-0.00628084,0,20.0994,999.9,44.7,30.1,21.4392,62.9403,31.222,1,-0.0900457,3.06764,20.3352,5.22837,12.0123,4.9928,3.28998,9999,9999,9999,999.9,1.86737,1.8664,1.8659,1.86584,1.86767,1.87012,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1886,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.4,4.3,1.03394,2.23389,1.39648,2.34985,1.49536,2.48169,34.715,24.0875,18,529.882,416.637,17.0824,26.2208,29.9995,26.3149,26.2815,20.6946,49.073,39.322,17.0877,420,9.30475,100.891,100.948,NA,2
26,1680471964,1448,20230402 16:46:04,16:46:04,5,poa_pra4_t2_ch2,stan,1680471962,0.000513965,0.513964808,-0.824186538,420.2582226,452.1419052,40.44122989,37.58943641,0.030221886,3.840062331,0.030090368,0.018818248,0,20.21100258,19.99428889,2.345783312,35.32600256,0.84527485,2.392783755,1.500508461,-22.66584804,66.39995957,3.482020035,47.21613156,-0.884522792,0.512737791,-0.824186538,423.8845339,424.2481333,-0.000201221,64.49448572,0.513964808,9.234304938,9.455927515,4.34E-05,100.7786609,0,0,1,0,48377,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471962,420.2582222,419.9665556,9.45036,9.228945556,421.6717778,9.638941111,500.06,89.3437,0.099966744,20.31502222,19.99428889,999.9,0,0,9995.833333,0,0.281038,0.291866778,424.2677778,423.8785556,0.221413222,419.9665556,9.228945556,0.844329778,0.824548,4.475266667,4.13708,0,0,0,0,2.238744444,0,-5.600288889,-1.178066667,34.54822222,41.375,37.625,41.187,35.187,0,0,0,1680471973,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.305413075,-0.0727337,0.02819814,1,0.2456482,-0.067954942,0.016881962,1,2,2,2-Feb,2.98346,2.71563,0.0935395,0.0923628,0.0542605,0.0519922,28782.6,28952.3,29509.1,29499.1,36980.2,37188.3,41553,42031,1.97607,1.8657,-0.00613183,0,20.0994,999.9,44.5,30.1,21.3421,62.8303,31.6186,1,-0.0905158,3.07422,20.3352,5.22837,12.0107,4.99305,3.28998,9999,9999,9999,999.9,1.86737,1.86642,1.86588,1.86584,1.86764,1.87013,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1886,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.5,4.3,1.03394,2.23633,1.39648,2.35107,1.49536,2.39502,34.6921,24.0787,18,529.538,416.894,17.0881,26.2146,29.9996,26.31,26.2771,20.6966,49.073,38.9403,17.0914,420,9.29886,100.893,100.95,NA,2
27,1680471969,1453,20230402 16:46:09,16:46:09,5,poa_pra4_t2_ch2,stan,1680471966,0.000578959,0.578959159,-0.974117521,420.2636004,454.2632864,40.6319495,37.59081991,0.034070707,3.847454003,0.033903976,0.021204897,0,20.19754024,19.99682,2.346151032,35.35704421,0.845990317,2.392706563,1.500160715,-25.53209889,65.89443733,3.448907157,43.81124559,-0.930536391,0.566903725,-0.974117521,423.8631589,424.2910667,0.000149044,64.49448572,0.578959159,9.208257258,9.458248121,2.29E-06,100.7786609,0,0,1,0,48320,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471966,420.2636,419.9618,9.458132,9.21333,421.677,9.646677,500.0618,89.34592,0.09989417,20.3145,19.99682,999.9,0,0,10022.12,0,0.281038,0.3017913,424.2765,423.8671,0.2448003,419.9618,9.21333,0.8450458,0.8231737,4.487372,4.113317,0,0,0,0,2.29681,0,-5.62691,-1.19695,34.562,41.375,37.625,41.1933,35.187,0,0,0,1680471978,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.299631475,0.045640447,0.02289166,1,0.246387875,-0.109212462,0.016517714,0,1,2,2-Jan,2.98367,2.71572,0.0935495,0.0923694,0.0542664,0.0519013,28782.1,28951.9,29508.9,29498.9,36979.4,37191.9,41552.4,42031,1.97645,1.866,-0.0064522,0,20.0994,999.9,44.4,30.1,21.297,62.8404,31.25,1,-0.0909172,3.07468,20.3354,5.22837,12.0116,4.99295,3.28995,9999,9999,9999,999.9,1.86737,1.86643,1.86588,1.86584,1.86766,1.87013,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1886,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.5,4.4,1.03394,2.229,1.39648,2.35107,1.49536,2.52197,34.715,24.0875,18,529.741,417.031,17.0919,26.2087,29.9997,26.305,26.2721,20.6968,48.7858,38.5699,17.0939,420,9.3014,100.892,100.95,NA,2
28,1680471974,1458,20230402 16:46:14,16:46:14,5,poa_pra4_t2_ch2,stan,1680471972,0.000558627,0.55862735,-0.887683067,420.2551115,451.7458324,40.40709362,37.59035816,0.032860061,3.840804338,0.032704672,0.02045432,0,20.20292873,19.99797778,2.346319251,35.34372168,0.845748174,2.392923364,1.500571077,-24.63546615,65.8445103,3.452306984,44.66135113,-0.91303155,0.565975594,-0.887683067,423.8574272,424.2488848,-0.000188072,64.49448572,0.55862735,9.214106745,9.455342606,-1.81E-06,100.7786609,0,0,1,0,48413,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471972,420.2551111,419.9607778,9.45535,9.210954444,421.6685556,9.643911111,500.0747778,89.34644444,0.100077756,20.31596667,19.99797778,999.9,0,0,9998.188889,0,0.281038,0.294481111,424.2668889,423.865,0.244395222,419.9607778,9.210954444,0.844801889,0.822966111,4.483251111,4.109727778,0,0,0,0,2.407022222,0,-5.691622222,-1.259944444,34.562,41.40944444,37.625,41.25,35.215,0,0,0,1680471984,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.303073075,-0.078748176,0.019892775,1,0.24185395,-0.001818597,0.013287021,1,2,2,2-Feb,2.98374,2.71565,0.0935471,0.0923749,0.0542548,0.051903,28782.3,28951.9,29509,29499,36980,37191.9,41552.6,42031.1,1.9764,1.86598,-0.00596792,0,20.099,999.9,44.3,30.1,21.246,62.7004,31.3421,1,-0.0914202,3.07718,20.3352,5.22882,12.0114,4.99305,3.29,9999,9999,9999,999.9,1.86737,1.86643,1.8659,1.86584,1.86767,1.87012,1.86877,1.87025,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1886,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.6,4.5,1.03394,2.23511,1.39648,2.35107,1.49536,2.4707,34.715,24.0787,18,529.667,416.985,17.0945,26.202,29.9996,26.3005,26.2678,20.6985,48.5115,38.1946,17.0952,420,9.30203,100.892,100.95,NA,2
29,1680471979,1463,20230402 16:46:19,16:46:19,5,poa_pra4_t2_ch2,stan,1680471976,0.000546983,0.546983065,-0.763975265,420.2573003,446.5675671,39.94382184,37.59046552,0.032170143,3.843672386,0.032021306,0.020026631,0,20.20702684,19.99772,2.346281796,35.33537995,0.84563545,2.393169257,1.500646347,-24.12195318,66.29177121,3.473188884,45.64300691,-0.789703515,0.553868848,-0.763975265,423.911736,424.2486424,-0.000158511,64.49448572,0.546983065,9.219466795,9.455612121,8.24E-06,100.7786609,0,0,1,0,48228,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471976,420.2573,420.0145,9.454112,9.214932,421.6704,9.642678,500.0497,89.34638,0.09993179,20.31763,19.99772,999.9,0,0,10008.49,0,0.281038,0.24281,424.2684,423.9209,0.2391803,420.0145,9.214932,0.8446906,0.8233208,4.481368,4.115862,0,0,0,0,2.18132,0,-5.61914,-1.24251,34.562,41.437,37.6684,41.25,35.2437,0,0,0,1680471988,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.291159775,-0.181980259,0.027764259,0,0.23893425,0.054028435,0.011703432,1,1,2,2-Jan,2.98353,2.71564,0.0935465,0.0923805,0.0542637,0.0519891,28782.2,28952,29508.8,29499.2,36979.8,37188.8,41552.8,42031.4,1.9764,1.86615,-0.00588596,0,20.0977,999.9,44.1,30.1,21.1501,62.8604,31.3782,1,-0.0916463,3.07871,20.3352,5.22897,12.0126,4.9931,3.29,9999,9999,9999,999.9,1.86737,1.86646,1.8659,1.86583,1.86765,1.87013,1.86877,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1886,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.7,4.6,1.03271,2.22778,1.39648,2.35107,1.49536,2.51465,34.715,24.0875,18,529.621,417.054,17.0956,26.1965,29.9997,26.2956,26.2634,20.6967,48.5115,37.8231,17.0968,420,9.30109,100.892,100.951,NA,2
30,1680471984,1468,20230402 16:46:24,16:46:24,5,poa_pra4_t2_ch2,stan,1680471982,0.000560288,0.560287643,-0.98139244,420.2727782,456.1371755,40.7996393,37.59171293,0.03296313,3.838429391,0.032806671,0.020518165,0,20.20534851,19.99846667,2.346390287,35.35021292,0.846050994,2.39334059,1.500339293,-24.70868506,66.28664954,3.477698196,45.05566268,-0.984871254,0.558068629,-0.98139244,423.8524417,424.2841818,1.79E-05,64.49448572,0.560287643,9.217373686,9.459285879,5.17E-06,100.7786609,0,0,1,0,48209,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471982,420.2727778,419.9456667,9.458792222,9.2178,421.6858889,9.647335556,500.0502222,89.34595556,0.1000302,20.31878889,19.99846667,999.9,0,0,9989.722222,0,0.281038,0.327094333,424.286,423.8526667,0.240993444,419.9456667,9.2178,0.845104778,0.823573333,4.488373333,4.120232222,0,0,0,0,2.328044444,0,-5.532333333,-1.241888889,34.562,41.437,37.687,41.312,35.25,0,0,0,1680471993,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.2892166,0.005669966,0.04714324,1,0.24244045,-0.019000638,0.007523606,1,2,2,2-Feb,2.98366,2.71571,0.0935499,0.092357,0.0542749,0.0519294,28782.7,28953.1,29509.4,29499.6,36980,37191.8,41553.4,42032.1,1.97665,1.86623,-0.00596792,0,20.0977,999.9,44.1,30.1,21.1488,63.0504,31.5865,1,-0.0922053,3.076,20.3351,5.22852,12.0116,4.99295,3.29,9999,9999,9999,999.9,1.86736,1.86642,1.86594,1.86584,1.86767,1.87012,1.86877,1.87026,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1885,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.8,4.7,1.03394,2.23877,1.39648,2.35229,1.49536,2.46704,34.715,24.0787,18,529.742,417.065,17.0967,26.1909,29.9997,26.2906,26.259,20.7019,48.2291,37.8231,17.0979,420,9.30239,100.894,100.952,NA,2
31,1680471989,1473,20230402 16:46:29,16:46:29,5,poa_pra4_t2_ch2,stan,1680471986,0.000500361,0.500361486,-0.715524921,420.2399003,447.4539939,40.02260926,37.58843938,0.029411847,3.839354603,0.029287246,0.01831568,0,20.21797598,20.0021,2.346918274,35.34941227,0.846056454,2.393410243,1.500861819,-22.06594152,65.64808742,3.443438641,47.02558455,-0.834880374,0.515643813,-0.715524921,423.9088594,424.2247576,-0.000223416,64.49448572,0.500361486,9.247659855,9.463552606,2.40E-05,100.7786609,0,0,1,0,48313,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471986,420.2399,419.9704,9.458937,9.236267,421.6532,9.647477,500.0542,89.34521,0.09998392,20.31926,20.0021,999.9,0,0,9993.125,0,0.281038,0.2694212,424.2528,423.8855,0.2226695,419.9704,9.236267,0.8451105,0.825216,4.488466,4.148596,0,0,0,0,2.36043,0,-5.63243,-1.28462,34.5746,41.4685,37.687,41.312,35.25,0,0,0,1680471999,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.283093683,-0.003182216,0.053646987,1,0.238542195,-0.083953798,0.01260912,1,2,2,2-Feb,2.98335,2.71556,0.0935404,0.092377,0.0543036,0.0521352,28783,28952.5,29509.4,29499.6,36978.9,37183.6,41553.4,42032,1.97682,1.8663,-0.00566244,0,20.0964,999.9,43.9,30.1,21.0556,62.8504,31.4663,1,-0.0926702,3.07449,20.3351,5.22897,12.0119,4.99295,3.28998,9999,9999,9999,999.9,1.86737,1.8664,1.86594,1.86582,1.86768,1.87012,1.86874,1.87025,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1885,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,4.9,4.8,1.03394,2.22778,1.39648,2.35229,1.49536,2.47803,34.6921,24.0875,18,529.816,417.076,17.0976,26.1844,29.9996,26.2862,26.2546,20.7006,48.2291,37.4502,17.0817,420,9.3007,100.894,100.952,NA,2
32,1680471994,1478,20230402 16:46:34,16:46:34,5,poa_pra4_t2_ch2,stan,1680471992,0.000533923,0.533923167,-0.964687785,420.2984449,457.6016129,40.92992189,37.59336076,0.031446741,3.842601285,0.031304467,0.019578021,0,20.21079799,19.99392222,2.345730047,35.40712363,0.847413062,2.39334059,1.498316985,-23.54601166,67.30013251,3.526954678,47.28107552,-0.819199878,0.520386603,-0.964687785,423.9692326,424.3404364,0.011280353,64.49448572,0.533923167,9.24814678,9.478472424,3.11E-05,100.7786609,0,0,1,0,48308,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471992,420.2984444,420.0366667,9.474183333,9.249472222,421.7115556,9.662655556,500.062,89.34442222,0.100021889,20.31878889,19.99392222,999.9,0,0,10004.86444,0,0.281038,0.261742556,424.3184444,423.9578889,0.224711667,420.0366667,9.249472222,0.846465556,0.826388889,4.511356667,4.168852222,0,0,0,0,2.171722222,0,-5.551144444,-1.282644444,34.597,41.5,37.687,41.361,35.25688889,0,0,0,1680472003,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.2706886,-0.002624285,0.055001478,1,0.2312548,-0.08084346,0.013509224,1,2,2,2-Feb,2.9838,2.71571,0.093559,0.0923762,0.0543637,0.0520621,28783,28953,29509.9,29500.1,36977.1,37187.1,41554,42032.7,1.97672,1.86635,-0.00599027,0,20.096,999.9,43.8,30.1,21.0066,62.9504,31.1418,1,-0.0927591,3.13925,20.3342,5.22897,12.0119,4.9932,3.28998,9999,9999,9999,999.9,1.86737,1.86644,1.8659,1.86584,1.86768,1.87012,1.86876,1.87026,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.413,-0.1885,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,5,4.8,1.03394,2.23145,1.39648,2.35229,1.49536,2.51831,34.715,24.0875,18,529.705,417.073,17.0882,26.1788,29.9998,26.2814,26.2502,20.7005,48.2291,37.057,17.0849,420,9.3007,100.896,100.954,NA,2
33,1680471999,1483,20230402 16:46:39,16:46:39,5,poa_pra4_t2_ch2,stan,1680471996,0.000596481,0.596480653,-1.07265041,420.2935005,457.3893993,40.91221088,37.5940858,0.03512697,3.840809949,0.034949465,0.021859289,0,20.1995429,20.00259,2.346989487,35.4142671,0.847660011,2.393555141,1.499329476,-26.3047968,65.77443421,3.448784564,42.91842198,-0.952261107,0.588610231,-1.07265041,423.8689484,424.3323091,0.001827409,64.49448572,0.596480653,9.214883223,9.472622242,-2.13E-05,100.7786609,0,0,1,0,48337,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680471996,420.2935,419.9862,9.47665,9.222468,421.7068,9.665113,500.0394,89.34724,0.09998142,20.32024,20.00259,999.9,0,0,9998.12,0,0.281038,0.3072752,424.3146,423.8955,0.2541814,419.9862,9.222468,0.8467126,0.8240022,4.515527,4.127642,0,0,0,0,2.25179,0,-5.66496,-1.31593,34.625,41.5,37.7122,41.375,35.312,0,0,0,1680472008,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.28399578,0.05648908,0.055863627,1,0.234207415,0.040165275,0.016331996,1,2,2,2-Feb,2.98346,2.7156,0.0935648,0.0923845,0.0543333,0.051934,28782.8,28953.1,29509.9,29500.4,36978.1,37192.6,41553.9,42033.2,1.97655,1.8664,-0.00578165,0,20.0952,999.9,43.7,30.1,20.9583,62.9904,31.6186,1,-0.0934426,3.10273,20.3349,5.22882,12.0122,4.9935,3.28998,9999,9999,9999,999.9,1.86737,1.86642,1.8659,1.86584,1.86768,1.87012,1.86875,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.414,-0.1885,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,5,4.9,1.03394,2.23999,1.39648,2.35107,1.49536,2.39746,34.6921,24.07,18,529.543,417.066,17.0831,26.1732,29.9997,26.2764,26.2453,20.6987,47.9578,36.6579,17.084,420,9.3007,100.896,100.955,NA,2
34,1680472004,1488,20230402 16:46:44,16:46:44,5,poa_pra4_t2_ch2,stan,1680472002,0.000568851,0.568851211,-0.821083452,420.3388893,447.8793879,40.06121829,37.59781863,0.03349369,3.84123617,0.033332285,0.020847115,0,20.20408353,19.99587778,2.34601414,35.3789315,0.84675867,2.393398087,1.49925547,-25.08633842,66.9517846,3.509988064,45.37543424,-0.955878911,0.575723319,-0.821083452,423.934512,424.323703,-0.005907741,64.49448572,0.568851211,9.219494323,9.465229455,-1.18E-05,100.7786609,0,0,1,0,48344,0,0,0,0,2.18,0.5,0: Broadleaf,2,TRUE,1680472002,420.3388889,420.0276667,9.466655556,9.21804,421.7525556,9.655162222,500.0473333,89.34651111,0.099932211,20.31917778,19.99587778,999.9,0,0,9999.731111,0,0.281038,0.311282778,424.3563333,423.9354444,0.248615222,420.0276667,9.21804,0.845812556,0.823599667,4.50033,4.120687778,0,0,0,0,2.320677778,0,-5.708833333,-1.391233333,34.625,41.5,37.75,41.38877778,35.312,0,0,0,1680472014,0,1680471703,16:41:43,1680471697,1680471703,3,0.241,-0.036,-1.413,-0.191,420,9,0.46,0.15,0.291136878,0.063420334,0.046495697,1,0.238052122,0.103566272,0.018366436,0,1,2,2-Jan,2.98364,2.71563,0.0935655,0.0923833,0.0543068,0.0520078,28782.7,28953,29509.8,29500.2,36979.1,37189.5,41553.8,42033,1.97658,1.86613,-0.00615418,0,20.0943,999.9,43.6,30.1,20.9103,62.8504,31.1579,1,-0.0939355,3.09623,20.3347,5.22867,12.012,4.9932,3.29,9999,9999,9999,999.9,1.86737,1.86645,1.86593,1.86584,1.86768,1.87012,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.414,-0.1885,-0.16966596,-0.003220203,7.33E-07,-2.15E-10,-0.176193882,-0.008353866,0.000853081,-1.24E-05,4,2331,1,28,5.1,5,1.03394,2.229,1.39648,2.35352,1.49536,2.52563,34.6921,24.0875,18,529.519,416.878,17.0824,26.1667,29.9996,26.2719,26.2414,20.699,47.9578,36.2715,17.0832,420,9.3007,100.895,100.954,NA,2
