"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccH2O_des","AccCO2_soda","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1680553519,0,"20230403 15:25:19","15:25:19",5,"pas_smi6_t3_ch2","gibson",1680553516.25,0.00226118781662153,2.26118781662153,-1.25491848837953,420.115500762384,423.729713045686,38.1625913032849,37.8370826075184,0.13561021119861,3.55270810899116,0.132798767977347,0.0832469723709787,0,20.6086426418873,20.01925,2.34941187300704,33.5684148838181,0.843063936268103,2.51147973231977,1.50634793673894,-99.7183827130093,207.208709360898,11.7937672388958,119.284093886785,-1.2087387068123,2.33496922529397,-1.25491848837953,423.391420620628,424.134042424242,0.00121917312120292,67.099165680385,2.26118781662153,7.98954319083103,9.34992,-0.0039216051520599,120.457834078275,7,1,1,0,48688,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553516.25,420.1155,419.9807,9.36077,7.991884,418.2955,9.410648,500.174,89.96367,0.09985429,21.10109,20.01925,999.9,0,0,10007.18,0,0.890269,0.1348145,424.0851,423.3642,1.368884,419.9807,7.991884,0.842129,0.7189793,4.437987,2.200897,0,0,0,0,2.76524,0,-21.39941,-2.59367,34.875,40.7748,37.875,39.687,35.625,0,0,0,1680553549.3,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.116639715,0.0500466709193245,0.0353767616197946,1,1.33808125,0.162041538461538,0.0197099760511651,0,1,2,"1/2",2.87069,2.71043,0.0907121,0.0908961,0.0512913,0.0454483,25399.3,22335.8,24992.2,23923.8,40471.7,37788.8,45160.2,42655.9,1.78985,1.86325,-0.048317,0,20.8196,999.9,26.157,29.497,12.0348,54.2542,43.133,1,-0.0777236,2.72446,20.2264,5.23286,11.9909,4.9575,3.304,9999,9999,9999,999.9,1.86845,1.86416,1.8718,1.86254,1.86201,1.86844,1.85858,1.86506,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0501,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,2.6,2.4,1.0437,2.39258,1.44775,2.30469,1.44409,2.37183,34.4864,24.3414,18,421.946,451.659,18.6984,26.254,30.0003,26.1832,26.1572,20.9459,35.1674,26.1277,18.692,420,8.14338,95.5955,100.304,NA,2
2,1680553524,5,"20230403 15:25:24","15:25:24",5,"pas_smi6_t3_ch2","gibson",1680553521.5,0.00223314933086641,2.23314933086641,-1.16369518791946,420.15211181876,422.861133545334,38.0840193071743,37.8400374711672,0.133706780747569,3.5526714803026,0.130972821829208,0.082098992909346,0,20.60904155116,20.0236555555556,2.35005281269088,33.5238713257145,0.841650527680984,2.51060063888085,1.50840228500989,-98.4818854912085,205.270826735033,11.6835105043198,118.472451748144,-1.20873646486967,2.24546980387244,-1.16369518791946,423.386117252995,424.103084848485,-0.00460802931496249,67.099165680385,2.23314933086641,8.03666433897658,9.34590454545454,-4.48487233297793e-06,120.457834078275,7,1,1,0,48641,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553521.5,420.152111111111,419.995111111111,9.34516111111111,8.02873666666667,418.331888888889,9.39529888888889,500.178888888889,89.9625666666667,0.100142544444444,21.0953888888889,20.0236555555556,999.9,0,0,10007.1555555556,0,0.890269,0.156792411111111,424.115444444444,423.394555555556,1.31642333333333,419.995111111111,8.02873666666667,0.840714555555556,0.722285666666667,4.41398777777778,2.26523333333333,0,0,0,0,2.77414444444444,0,-21.6958666666667,-2.6075,34.875,40.7637777777778,37.875,39.715,35.625,0,0,0,1680553554.1,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.142046665853659,0.196831551219512,0.0647669679230371,0,1.33810682926829,0.0404901742160287,0.0215706618100157,1,1,2,"1/2",2.87035,2.71015,0.0907022,0.0909227,0.0512817,0.045657,25399,22335,24991.6,23923.7,40471.4,37780.1,45159.4,42655.4,1.7899,1.86313,-0.0485033,0,20.8214,999.9,26.157,29.497,12.0335,53.8742,43.6458,1,-0.0774035,2.73689,20.2263,5.23331,11.9918,4.9575,3.304,9999,9999,9999,999.9,1.86845,1.86417,1.8718,1.8625,1.86203,1.86844,1.85857,1.86506,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0501,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,2.6,2.5,1.0437,2.39258,1.44775,2.30591,1.44409,2.35962,34.4864,24.3414,18,422.005,451.611,18.6775,26.2576,30.0004,26.1875,26.1607,20.944,34.8791,26.1277,18.6724,420,8.15141,95.5937,100.303,NA,2
3,1680553529,10,"20230403 15:25:29","15:25:29",5,"pas_smi6_t3_ch2","gibson",1680553526.2,0.00219318096109546,2.19318096109546,-1.12118151882903,420.119100682342,422.561907273291,38.0576459861859,37.8376368778142,0.131369308627235,3.55184807267328,0.128728488813356,0.0806881511196199,0,20.617512421661,20.02013,2.34953988705096,33.5493964130397,0.842284694036624,2.51058076773403,1.50725519301433,-96.7192803843098,205.873669131337,11.7203206872925,120.87470943432,-1.09546152990459,2.19242614042419,-1.12118151882903,423.41699243303,424.088654545455,-0.00055621021619433,67.099165680385,2.19318096109546,8.0750771227109,9.35755824242424,0.00037387189360084,120.457834078275,7,1,1,0,48619,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553526.2,420.1191,420.0159,9.352061,8.066704,418.2991,9.402084,500.1638,89.96408,0.09999187,21.09526,20.02013,999.9,0,0,10003.679,0,0.890269,0.1031494,424.0853,423.432,1.285356,420.0159,8.066704,0.8413497,0.7257136,4.424768,2.331677,0,0,0,0,2.6735,0,-21.58862,-2.61418,34.875,40.7686,37.875,39.7059,35.625,0,0,0,1680553559.5,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.13829191,-0.0250851579737341,0.0676965726021185,1,1.33051425,-0.196061876172609,0.0305574909709142,0,1,2,"1/2",2.87062,2.71021,0.0907043,0.0909194,0.0513344,0.0457994,25398.6,22335.1,24991.3,23923.7,40468.4,37774.6,45158.6,42655.5,1.7897,1.86287,-0.0482611,0,20.8228,999.9,26.132,29.497,12.0222,53.8842,43.2652,1,-0.0769919,2.76263,20.2257,5.23361,11.9914,4.9572,3.304,9999,9999,9999,999.9,1.86846,1.86417,1.8718,1.86252,1.86201,1.86844,1.85854,1.86508,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0499,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,2.7,2.6,1.0437,2.40479,1.44775,2.30469,1.44409,2.30347,34.4864,24.3414,18,421.921,451.489,18.6568,26.2612,30.0004,26.1914,26.1644,20.9449,34.8791,26.1277,18.65,420,8.14796,95.5922,100.303,NA,2
4,1680553534,15,"20230403 15:25:34","15:25:34",5,"pas_smi6_t3_ch2","gibson",1680553531.5,0.00220164564264797,2.20164564264797,-1.35398135323689,420.17644526992,425.394718194919,38.3119747925178,37.8420057679578,0.132038365782355,3.55053335690181,0.129369906436628,0.0810914502792879,0,20.6124730963566,20.0185111111111,2.3493043911878,33.6150698349224,0.843776633864436,2.51011417798051,1.50552775732337,-97.0925728407756,205.527993348712,11.7046961244988,120.140116632435,-1.1961080297889,2.19030073852438,-1.35398135323689,423.421378098821,424.182248484848,0.00952234968994199,67.099165680385,2.20164564264797,8.08531012300006,9.37341496969697,0.000301260591264686,120.457834078275,7,1,1,0,48558,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553531.5,420.176444444444,420.013222222222,9.36882333333333,8.08469555555556,418.356222222222,9.41857222222222,500.148777777778,89.9622,0.0999779111111111,21.0922333333333,20.0185111111111,999.9,0,0,9998.60666666667,0,0.890269,0.163221444444444,424.150333333333,423.436555555556,1.28412666666667,420.013222222222,8.08469555555556,0.842839888888889,0.727317222222222,4.45004333333333,2.36266888888889,0,0,0,0,2.86642222222222,0,-21.5053222222222,-2.60453333333333,34.875,40.7844444444444,37.875,39.736,35.625,0,0,0,1680553564.3,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.1403075775,-0.0114933106941843,0.0693128786078009,1,1.31800225,-0.358667279549719,0.0367989273272673,0,1,2,"1/2",2.87018,2.71015,0.0907129,0.0909265,0.0513912,0.0458273,25398.1,22334.6,24991.1,23923.4,40465.8,37772.8,45158.4,42654.7,1.7896,1.86285,-0.0487641,0,20.8246,999.9,26.132,29.517,12.0365,54.2842,43.4896,1,-0.141321,2.84038,20.2253,5.23406,11.9914,4.95665,3.304,9999,9999,9999,999.9,1.86845,1.86417,1.8718,1.86252,1.86202,1.86844,1.85855,1.86508,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0497,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,2.8,2.7,1.0437,2.38647,1.44775,2.30469,1.44409,2.40845,34.4864,24.3502,18,421.891,451.506,18.6348,26.2656,30.0005,26.195,26.1682,20.9408,34.5954,26.1277,18.6282,420,8.14727,95.5916,100.302,NA,2
5,1680553539,20,"20230403 15:25:39","15:25:39",5,"pas_smi6_t3_ch2","gibson",1680553536.2,0.00219053950494267,2.19053950494267,-0.824003662370004,420.176500503293,418.997057310171,37.7362224172308,37.8424468641275,0.131300355975145,3.55131099215535,0.128661887316333,0.0806463194934192,0,20.6114178215377,20.02822,2.35071702982777,33.6529327904687,0.844541688394551,2.50956341205942,1.50617534143322,-96.6027921679717,203.030016544037,11.5602674693734,117.987491845438,-1.16291816888936,2.18462428394551,-0.824003662370004,423.470575550363,424.089012121212,-0.0256913014550874,67.099165680385,2.19053950494267,8.10010402715532,9.38263709090908,0.000202656138050176,120.457834078275,7,1,1,0,48454,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553536.2,420.1765,420.0315,9.37721,8.096343,418.3563,9.426819,500.1183,89.96322,0.09999586,21.08866,20.02822,999.9,0,0,10001.617,0,0.890269,0.1449036,424.1539,423.4602,1.280864,420.0315,8.096343,0.8436041,0.7283732,4.462983,2.383039,0,0,0,0,2.64837,0,-21.42397,-2.61727,34.875,40.7934,37.875,39.687,35.625,0,0,0,1680553569.1,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.1428763775,-0.0862352971857415,0.0534872806678302,1,1.29217675,-0.145482439024395,0.0179564477817162,0,1,2,"1/2",2.87058,2.71017,0.0907035,0.0909076,0.0514358,0.045886,25398,22335,24990.7,23923.3,40463.4,37770.8,45157.9,42655.1,1.7897,1.86248,-0.0479259,0,20.8264,999.9,26.108,29.497,12.0115,54.1142,43.4615,1,-0.0762297,2.78964,20.2253,5.23406,11.9908,4.9563,3.304,9999,9999,9999,999.9,1.86845,1.86416,1.8718,1.86254,1.86202,1.86844,1.85859,1.86508,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0495,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,2.9,2.7,1.0437,2.40967,1.44897,2.30469,1.44409,2.25098,34.4864,24.3414,18,421.973,451.304,18.615,26.2692,30.0004,26.1985,26.1717,20.9438,34.5954,26.1277,18.6101,420,8.14241,95.5904,100.302,NA,2
6,1680553544,25,"20230403 15:25:44","15:25:44",5,"pas_smi6_t3_ch2","gibson",1680553541.5,0.00219604627507756,2.19604627507755,-1.31126622628612,420.175000800683,424.912659291387,38.2690744033385,37.8423848206353,0.131745660659214,3.54719424470055,0.129086444389082,0.0809134771973629,0,20.6055207090818,20.0273777777778,2.35059445742642,33.7038944189895,0.845603964630816,2.50892064317168,1.5049904927956,-96.8456407309202,202.158055760944,11.5236825224687,116.836097552493,-1.23040825973529,2.19243097884702,-1.31126622628612,423.391406492464,424.162563636364,0.00227951532636094,67.099165680385,2.19604627507755,8.10425118308535,9.39095781818182,9.06149258856228e-05,120.457834078275,7,1,1,0,48548,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553541.5,420.175,419.992,9.38898666666667,8.10359444444444,418.354777777778,9.43839777777778,500.132555555555,89.9634222222222,0.0999674333333333,21.0844888888889,20.0273777777778,999.9,0,0,9985.06222222222,0,0.890269,0.183020666666667,424.157222222222,423.423,1.28539222222222,419.992,8.10359444444444,0.844665333333333,0.729027333333333,4.48094111111111,2.39564444444444,0,0,0,0,2.71252222222222,0,-21.5701555555556,-2.58621111111111,34.875,40.812,37.875,39.729,35.625,0,0,0,1680553574.5,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.1442764,0.307594025515947,0.0419420604451725,0,1.28433025,-0.0236410131332082,0.00587640344407189,1,1,2,"1/2",2.87027,2.71011,0.0907112,0.0909248,0.0514683,0.045899,25397.5,22334.2,24990.5,23923,40461.6,37769.5,45157.5,42654.3,1.78985,1.86265,-0.0491738,0,20.8281,999.9,26.108,29.497,12.0113,54.1242,43.3093,1,-0.140501,2.91787,20.2241,5.23436,11.9914,4.95605,3.304,9999,9999,9999,999.9,1.86844,1.86417,1.8718,1.8625,1.862,1.86844,1.85855,1.86508,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0494,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,3,2.8,1.0437,2.38037,1.44775,2.30469,1.44409,2.4353,34.4864,24.3502,18,422.085,451.442,18.5908,26.2731,30.0005,26.2024,26.1754,20.942,34.5954,26.1277,18.5781,420,8.14241,95.5895,100.3,NA,2
7,1680553549,30,"20230403 15:25:49","15:25:49",5,"pas_smi6_t3_ch2","gibson",1680553546.2,0.00219727703725132,2.19727703725132,-1.2216905403719,420.179800746891,423.810205508193,38.1712277375585,37.8442488089671,0.132062460745035,3.55264321829372,0.129394588830881,0.0811068267934289,0,20.6053784931114,20.01145,2.34827747020573,33.7190640611519,0.845955002571762,2.50883298847668,1.50232246763397,-96.8999173427831,205.410287617502,11.6901270796673,120.200497354386,-1.22306737545469,2.19622153561368,-1.2216905403719,423.402522995048,424.137424242424,-0.00121009197497741,67.099165680385,2.19727703725132,8.10523144549198,9.3932356969697,1.99412589280647e-05,120.457834078275,7,1,1,0,48385,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553546.2,420.1798,420.0021,9.392529,8.104966,418.3598,9.441882,500.1508,89.9669,0.09989698,21.08392,20.01145,999.9,0,0,10006.56,0,0.890269,0.1779205,424.164,423.4339,1.287563,420.0021,8.104966,0.8450166,0.7291785,4.486879,2.39856,0,0,0,0,2.63525,0,-21.68241,-2.62768,34.875,40.7872,37.8874,39.7248,35.625,0,0,0,1680553579.3,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.1621314525,0.19092828630394,0.0411306893591087,0,1.28368675,0.0237308442776711,0.00346738762435065,1,1,2,"1/2",2.87038,2.71024,0.0907137,0.0909219,0.0514747,0.0459055,25397.1,22334.5,24990.1,23923.2,40461,37769.5,45157.1,42654.6,1.7897,1.86248,-0.0493787,0,20.8284,999.9,26.108,29.497,12.0101,54.5842,43.4896,1,-0.0754319,2.86481,20.224,5.23391,11.9912,4.95595,3.304,9999,9999,9999,999.9,1.86844,1.86417,1.8718,1.86251,1.86201,1.86844,1.85854,1.86508,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0494,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,3.1,2.9,1.0437,2.40601,1.44897,2.30469,1.44409,2.26196,34.4864,24.3414,18,422.026,451.367,18.5631,26.2767,30.0005,26.2059,26.1792,20.9405,34.5954,26.1277,18.556,420,8.14241,95.5885,100.301,NA,2
8,1680553554,35,"20230403 15:25:54","15:25:54",5,"pas_smi6_t3_ch2","gibson",1680553551.5,0.00219398978983638,2.19398978983638,-1.16999270485264,420.154111824997,423.179895968551,38.1150111864345,37.8424845433261,0.131762100905761,3.54959274763391,0.12910398637273,0.080924346210839,0,20.5974171686619,20.0196888888889,2.34947571763114,33.7385306033148,0.84601270992599,2.50755647859445,1.50346300770515,-96.7549497317845,202.071488861546,11.5099913948908,116.826530524652,-1.15105056587167,2.19352255069637,-1.16999270485264,423.452578436141,424.14813939394,0.000505957378971987,67.099165680385,2.19398978983638,8.10761122070278,9.39367466666667,1.53881289674969e-05,120.457834078275,7,1,1,0,48540,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553551.5,420.154111111111,420.018333333333,9.39303333333333,8.10710666666666,418.334,9.44237777777778,500.171555555556,89.9682,0.0999047222222222,21.0756333333333,20.0196888888889,999.9,0,0,9994.16222222222,0,0.890269,0.135857555555556,424.138111111111,423.451222222222,1.28592555555556,420.018333333333,8.10710666666666,0.845074222222222,0.729381888888889,4.48785555555556,2.40247111111111,0,0,0,0,2.69246666666667,0,-21.6517333333333,-2.61871111111111,34.875,40.7982222222222,37.875,39.729,35.625,0,0,0,1680553584.1,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.160192875,-0.0185193433395876,0.0388242166097318,1,1.28489,0.0181699812382722,0.00285247436447728,1,2,2,"2/2",2.87041,2.71026,0.0907098,0.0909192,0.0514779,0.0459135,25397,22334.6,24990,23923.2,40460.4,37769.5,45156.7,42654.9,1.78967,1.8625,-0.0485219,0,20.8284,999.9,26.132,29.487,12.0155,54.3242,43.105,1,-0.0752973,2.82316,20.2248,5.23421,11.9906,4.95575,3.304,9999,9999,9999,999.9,1.86844,1.86417,1.8718,1.86251,1.86197,1.86844,1.85853,1.86507,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0493,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,3.1,3,1.0437,2.37793,1.44775,2.30469,1.44409,2.4585,34.4864,24.3502,18,422.038,451.41,18.5429,26.2806,30.0003,26.2095,26.1827,20.9405,34.5954,26.1277,18.5447,420,8.14241,95.5877,100.302,NA,2
9,1680553559,40,"20230403 15:25:59","15:25:59",5,"pas_smi6_t3_ch2","gibson",1680553556.2,0.002192775895393,2.192775895393,-1.23313067816732,420.176900752965,423.980104048375,38.1873922922577,37.8448422178032,0.131688619500388,3.55229201568944,0.129035410493342,0.080881059529697,0,20.5940308921605,20.02028,2.3495617082363,33.7511372860297,0.846121278600095,2.50694153334597,1.50344042963621,-96.7014169868314,201.347180694666,11.4598205430245,116.105584250859,-1.25765417300054,2.19329613938559,-1.23313067816732,423.406803561317,424.144751515151,-0.000443945549313238,67.099165680385,2.192775895393,8.10862431886822,9.39416648484849,-4.70646117275316e-07,120.457834078275,7,1,1,0,48452,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553556.2,420.1769,419.978,9.394163,8.10832,418.3569,9.44349,500.1519,89.96886,0.09997089,21.07164,20.02028,999.9,0,0,10004.931,0,0.890269,0.1989105,424.1616,423.4112,1.285843,419.978,8.10832,0.8451823,0.7294962,4.489679,2.404677,0,0,0,0,2.75535,0,-21.77568,-2.658,34.875,40.8058,37.8998,39.7311,35.625,0,0,0,1680553589.5,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.169689225,0.0121107129455909,0.0410725293599551,1,1.2858655,0.00717906191369488,0.00177532806827358,1,2,2,"2/2",2.87005,2.71033,0.0907114,0.0909139,0.0514793,0.0459187,25396.7,22334.2,24989.7,23922.7,40460.1,37768.5,45156.3,42654.1,1.78945,1.86257,-0.0490062,0,20.8284,999.9,26.108,29.497,12.0095,54.5742,43.9263,1,-0.0748552,2.86373,20.2242,5.23376,11.9903,4.9558,3.304,9999,9999,9999,999.9,1.86844,1.86417,1.8718,1.86252,1.86201,1.86844,1.85854,1.86507,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0493,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,3.2,3.1,1.0437,2.40234,1.44897,2.30469,1.44409,2.30469,34.4864,24.3414,18,421.941,451.487,18.5286,26.2842,30.0004,26.2134,26.1864,20.9428,34.5954,26.1277,18.5225,420,8.14241,95.5868,100.3,NA,2
10,1680553564,45,"20230403 15:26:04","15:26:04",5,"pas_smi6_t3_ch2","gibson",1680553561.5,0.00218901258646712,2.18901258646712,-1.14595053164648,420.148111805166,422.910846210772,38.0912369985951,37.8423997508607,0.131545104813434,3.55563813542978,0.128900050457615,0.080795749340987,0,20.5906337905737,20.0127333333333,2.34846408040808,33.7563767831949,0.846011487176113,2.50622717186072,1.50245259323197,-96.5354550632,202.09402531796,11.4907878096997,117.04935806446,-1.13697599725739,2.19043850078205,-1.14595053164648,423.450060053958,424.133824242424,-1.11004035892793e-05,67.099165680385,2.18901258646712,8.10895096630821,9.39231939393939,-1.05653581179593e-05,120.457834078275,7,1,1,0,48783,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1680553561.5,420.148111111111,420.019888888889,9.39290666666667,8.10879666666667,418.327777777778,9.44225555555556,500.175,89.9692777777778,0.0999113666666667,21.067,20.0127333333333,999.9,0,0,10018.3311111111,0,0.890269,0.128350255555556,424.131888888889,423.453333333333,1.28411,420.019888888889,8.10879666666667,0.845072777777778,0.729542444444444,4.48783333333333,2.40556555555556,0,0,0,0,2.85834444444444,0,-21.7597555555556,-2.61467777777778,34.875,40.812,37.9232222222222,39.736,35.625,0,0,0,1680553594.3,0,1680553374.1,"15:22:54",1680553365.1,1680553374.1,1,0.389,0.019,1.82,-0.064,420,8,0.36,0.09,0.1617462525,0.00769900075046865,0.0400483381915092,1,1.28609125,-0.0100593996247689,0.00111102472407235,1,2,2,"2/2",2.87034,2.71051,0.090711,0.0909209,0.0514682,0.0459202,25396.3,22334.1,24989.3,23922.8,40459.9,37768.3,45155.7,42653.9,1.78932,1.86243,-0.0496581,0,20.8267,999.9,26.108,29.497,12.01,53.7142,42.9928,1,-0.0745833,2.87459,20.2239,5.23361,11.9902,4.9558,3.304,9999,9999,9999,999.9,1.86844,1.86417,1.8718,1.86251,1.862,1.86844,1.85853,1.86506,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.82,-0.0494,1.17270706421102,0.00197709172489893,-1.21199668202147e-06,4.43931971579549e-10,-0.0319920690776685,-0.0228347990768628,0.00246278088724301,-2.53208240812021e-05,1,1983,1,24,3.3,3.2,1.0437,2.38647,1.44775,2.30469,1.44409,2.3938,34.4864,24.3414,18,421.897,451.427,18.5088,26.2878,30.0004,26.2169,26.1903,20.9404,34.5954,26.1277,18.5039,420,8.14241,95.5853,100.3,NA,2
