"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","CO2_hrs","AccH2O_hum","AccCO2_soda","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1680989660,0,"20230408 16:34:20","16:34:20",5,"pas_smi8_t4_ch2","gibson",1680989657,0.000160176332925652,0.160176332925652,-0.730618725238335,420.362000459945,530.91168049288,47.964278570219,37.9768628779787,0.00948385489961573,3.51341050480496,0.00946965564183896,0.00591980872429042,0,20.4972363854137,19.9988818181818,2.34645061060079,34.856670226298,0.845316269107154,2.42512053968194,1.50113434149364,-7.06377628202127,101.075281044117,5.79977843996545,99.8112832020609,-0.640705524638278,0.159461242317396,-0.730618725238335,423.923283246821,424.354054545455,0.00477471067083645,66.5043092739026,0.160176332925652,9.25879267604568,9.35655417647058,-2.80434199743726e-06,103.712135318411,0,0,1,0,48950,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989657,420.362,420.008636363636,9.35671909090909,9.25941545454545,418.66,9.42904545454546,500.027727272727,90.2433090909091,0.0999256363636364,20.5325,19.9988818181818,999.9,0,0,9995.00181818182,0,0.890269,0.353266,424.332454545455,423.934,0.0973023545454546,420.008636363636,9.25941545454545,0.844381090909091,0.835600181818182,4.47613545454545,4.32690272727273,0,0,0,0,2.80183636363636,0,-23.2433090909091,-2.54449090909091,34.5,40.375,37.562,39.2894545454545,35.25,0,0,0,1680989696.3,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.35899275,0.0076958724202628,0.075045141451579,1,0.09753899,0.00519675422138823,0.00139981069573711,1,2,2,"2/2",2.87657,2.71015,0.0911853,0.0913404,0.0516607,0.0511603,25484.3,22362.1,25085.6,23960.4,40586.6,37602.5,45304.6,42700.7,1.80695,1.8532,-0.0142902,0,20.2339,999.9,47.76,29.739,22.213,54.1473,45.7612,1,-0.138913,2.44264,20.2314,5.23526,11.992,4.95745,3.304,999.9,9999,9999,9999,1.86841,1.86413,1.87175,1.86248,1.86199,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.702,-0.0723,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,4.8,4.7,1.03394,2.36084,1.44775,2.31079,1.44409,2.39136,34.4408,24.3502,18,426.797,440.314,18.118,25.534,30,25.5428,25.5133,20.7425,69.3618,0,18.1128,420,9.27216,95.9196,100.427,NA,2
2,1680989665,5,"20230408 16:34:25","16:34:25",5,"pas_smi8_t4_ch2","gibson",1680989662.5,0.000158953835609287,0.158953835609287,-0.368706383262028,420.283666900749,471.017161824218,42.552798676414,37.9694153719328,0.00940594484504006,3.51392433745008,0.00939197977696739,0.00587124031190003,0,20.4968547947428,20.0042888888889,2.34723640763522,34.855751656268,0.845259817673713,2.42502249272743,1.5019765899615,-7.00986415036955,99.9415429783475,5.73402433611241,98.6657031640904,-0.618234601223754,0.158872588065872,-0.368706383262028,423.844823441383,424.205345454545,-0.0267119133808374,66.5043092739026,0.158953835609287,9.26014720206218,9.35718655882353,-6.5070592466185e-06,103.712135318411,0,0,1,0,48527,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989662.5,420.283666666667,419.944,9.35618555555556,9.25924555555556,418.581666666667,9.42851888888889,500.050888888889,90.2422333333333,0.100119611111111,20.5318444444444,20.0042888888889,999.9,0,0,9997.21777777778,0,0.890269,0.339603111111111,424.252888888889,423.868777777778,0.0969368666666667,419.944,9.25924555555556,0.844323,0.835575333333333,4.47515111111111,4.32647222222222,0,0,0,0,2.70212222222222,0,-23.3533333333333,-2.50547777777778,34.5,40.375,37.562,39.2637777777778,35.25,0,0,0,1680989701.1,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.373657219512195,-0.343665867595819,0.0645550263496236,0,0.0976848317073171,-0.00456932822299655,0.00127468833597578,1,1,2,"1/2",2.87668,2.71023,0.091167,0.091351,0.0516672,0.051154,25484.7,22362,25085.4,23960.5,40586.4,37602.8,45304.7,42700.7,1.80702,1.85295,-0.013724,0,20.2357,999.9,47.735,29.739,22.2004,54.4873,45.8974,1,-0.138963,2.42184,20.2317,5.23556,11.9918,4.95715,3.304,999.9,9999,9999,9999,1.86844,1.86414,1.87174,1.86247,1.86199,1.86845,1.85852,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.702,-0.0723,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,4.8,4.8,1.03394,2.36938,1.44775,2.31079,1.44409,2.38647,34.4408,24.3502,18,426.839,440.165,18.1138,25.5332,30,25.5428,25.5133,20.7409,69.3618,0,18.1167,420,9.27216,95.9194,100.427,NA,2
3,1680989670,10,"20230408 16:34:30","16:34:30",5,"pas_smi8_t4_ch2","gibson",1680989667.2,0.000161135506377574,0.161135506377574,-0.636959137499684,420.321400402232,514.646586901707,46.4949364214575,37.9732758084186,0.00953901315999884,3.51537612694475,0.00952465640974622,0.00595419832498601,0,20.4934139041767,20.00153,2.34683543591084,34.8692994994215,0.845433249021977,2.42457766906388,1.50140218688887,-7.10607583125101,99.9419818629665,5.73151337144838,98.5674194031638,-0.587689767820452,0.160992209081499,-0.636959137499684,423.937704292097,424.312224242424,0.00436844692967652,66.5043092739026,0.161135506377574,9.25955136939827,9.35780861764706,8.24540454216425e-06,103.712135318411,0,0,1,0,48759,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989667.2,420.3214,420.0011,9.357994,9.259761,418.6194,9.430303,500.0517,90.24347,0.09995713,20.52887,20.00153,999.9,0,0,10003.006,0,0.890269,0.3204621,424.2918,423.9265,0.09823332,420.0011,9.259761,0.8444978,0.8356331,4.47811,4.327461,0,0,0,0,2.62634,0,-23.10745,-2.51239,34.5,40.375,37.562,39.25,35.25,0,0,0,1680989706.5,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.335097525,-0.0680737148217635,0.0464263979320965,1,0.0978771875,-0.00500431632270175,0.00123192221714431,1,2,2,"2/2",2.87674,2.71033,0.0911836,0.0913492,0.051671,0.0511572,25484.3,22362.3,25085.5,23960.8,40586.3,37603.1,45304.7,42701.2,1.807,1.853,-0.0145286,0,20.2373,999.9,47.76,29.739,22.2123,54.1673,45.9535,1,-0.139007,2.4229,20.2317,5.23571,11.9917,4.9573,3.304,999.9,9999,9999,9999,1.86843,1.86415,1.87177,1.86249,1.86197,1.86844,1.85852,1.86501,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.702,-0.0723,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,4.9,4.9,1.03394,2.37671,1.44775,2.31079,1.44409,2.35229,34.4636,24.3502,18,426.82,440.194,18.1157,25.5332,29.9999,25.5421,25.5132,20.7393,69.3618,0,18.1157,420,9.27216,95.9196,100.428,NA,2
4,1680989675,15,"20230408 16:34:35","16:34:35",5,"pas_smi8_t4_ch2","gibson",1680989672.5,0.000155162816107202,0.155162816107202,-0.71476867451349,420.383444897598,532.151011697014,48.0773174193798,37.9796483966875,0.00918572189606711,3.5158758501959,0.00917240998702937,0.00573395063078937,0,20.4957294034111,20.0003666666667,2.34666637722214,34.8642066180626,0.845361730478431,2.42472671109189,1.50130464674371,-6.84268019032761,100.365612433536,5.75498494939364,99.277917192602,-0.658987140221488,0.158458182736046,-0.71476867451349,423.940866377725,424.372478787879,0.00260055687142777,66.5043092739026,0.155162816107202,9.26023756708595,9.35488211764706,4.97100429817791e-06,103.712135318411,0,0,1,0,48558,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989672.5,420.383444444444,420.018555555556,9.35701333333334,9.26032,418.681222222222,9.42933777777778,500.018444444444,90.2452666666667,0.0999856444444444,20.5298666666667,20.0003666666667,999.9,0,0,10004.8466666667,0,0.890269,0.364695222222222,424.354111111111,423.944777777778,0.0966943,420.018555555556,9.26032,0.844426444444444,0.835700111111111,4.47690111111111,4.32860888888889,0,0,0,0,2.67927777777778,0,-23.3617222222222,-2.51681111111111,34.5,40.375,37.562,39.25,35.25,0,0,0,1680989711.3,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.3460297,0.00362294183864894,0.0421284443245891,1,0.09745369,0.00169297260787987,0.00100037262702455,1,2,2,"2/2",2.87689,2.71034,0.0911939,0.0913562,0.051655,0.0511584,25484.1,22362.1,25085.6,23960.8,40586.8,37602.9,45304.4,42701,1.80715,1.8529,-0.0139102,0,20.2387,999.9,47.76,29.739,22.2115,54.5073,45.8854,1,-0.139446,2.42295,20.2318,5.23556,11.9918,4.9573,3.304,999.9,9999,9999,9999,1.86844,1.86416,1.87178,1.86249,1.86199,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.703,-0.0724,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5,5,1.03394,2.38281,1.44775,2.31079,1.44409,2.26807,34.4636,24.3414,18,426.893,440.118,18.1155,25.531,30.0001,25.5407,25.5112,20.7431,69.3618,0,18.1156,420,9.27216,95.9194,100.428,NA,2
5,1680989680,20,"20230408 16:34:40","16:34:40",5,"pas_smi8_t4_ch2","gibson",1680989677.2,0.000162239089436341,0.162239089436341,-0.36109535095061,420.349700228442,468.606035767423,42.3364585398215,37.9767145482956,0.00959407767869702,3.50982481269546,0.00957953190345795,0.00598851245425762,0,20.4957877376435,20.01214,2.34837780186838,34.859259919599,0.845329021559688,2.42497696023781,1.5030487803087,-7.15474384414263,98.2817381518779,5.64559901862444,96.7725933263597,-0.643586384640534,0.158730558995857,-0.36109535095061,423.88412921877,424.252751515151,-0.0293239157720658,66.5043092739026,0.162239089436341,9.25987698480359,9.35892494117647,-7.49390345088309e-06,103.712135318411,0,0,1,0,48782,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989677.2,420.3497,419.9944,9.356623,9.259773,418.6476,9.428952,500.0679,90.24553,0.09999547,20.53154,20.01214,999.9,0,0,9980.129,0,0.890269,0.3551545,424.3199,423.9198,0.09684973,419.9944,9.259773,0.8443933,0.8356532,4.476342,4.327804,0,0,0,0,2.73991,0,-23.30806,-2.52714,34.5,40.375,37.562,39.25,35.25,0,0,0,1680989716.1,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.35331655,0.124746596622889,0.0471637076563909,0,0.0970514525,-0.00172856397748633,0.00128565311378838,1,1,2,"1/2",2.87678,2.71011,0.0911757,0.0913597,0.051667,0.051153,25484.6,22362.3,25085.6,23961.1,40586.4,37603.9,45304.6,42701.9,1.80715,1.85347,-0.0136048,0,20.239,999.9,47.76,29.739,22.2131,54.5773,45.7372,1,-0.139083,2.4229,20.2318,5.23541,11.9917,4.95725,3.304,999.9,9999,9999,9999,1.86842,1.86415,1.87177,1.86249,1.86199,1.86844,1.85852,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.703,-0.0723,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5.1,5,1.03394,2.38159,1.44897,2.31079,1.44409,2.30835,34.4408,24.3414,18,426.893,440.461,18.1155,25.531,30.0001,25.5407,25.5112,20.7396,69.3618,0,18.1155,420,9.27216,95.9196,100.43,NA,2
6,1680989685,25,"20230408 16:34:45","16:34:45",5,"pas_smi8_t4_ch2","gibson",1680989682.5,0.000156812140944665,0.156812140944665,-0.811437258590426,420.36700051101,547.416009078154,49.4540364379499,37.9763189527313,0.00927490314122294,3.51821073729554,0.00926134069402116,0.00578955478704047,0,20.495377077469,20.0082777777778,2.34781625138782,34.8577771450806,0.84520525413098,2.42472504948658,1.50261099725684,-6.91541541565971,98.929627250722,5.66910949746005,97.6833213325223,-0.596239332262007,0.158512262488204,-0.811437258590426,423.998803919957,424.3824,0.0245944546549407,66.5043092739026,0.156812140944665,9.25874653077088,9.35444826470588,-1.75883521008959e-06,103.712135318411,0,0,1,0,48835,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989682.5,420.367,420.040777777778,9.35573555555556,9.25901,418.664777777778,9.42807666666667,500.023111111111,90.2409777777778,0.0998884333333334,20.5298555555556,20.0082777777778,999.9,0,0,10014.8555555556,0,0.890269,0.326239555555556,424.337111111111,423.966222222222,0.0967258777777778,420.040777777778,9.25901,0.844270888888889,0.835541888888889,4.47426666666667,4.32590777777778,0,0,0,0,2.76417777777778,0,-23.3436222222222,-2.49581111111111,34.5,40.375,37.562,39.25,35.25,0,0,0,1680989721.5,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.331816125,0.0276811294559096,0.0580127845359053,1,0.0973552425,-0.00501641538461568,0.00136623381671797,1,2,2,"2/2",2.87708,2.71023,0.0911836,0.0913426,0.0516524,0.0511518,25484.7,22362.8,25085.9,23961.2,40587.2,37604,45304.9,42701.9,1.80722,1.85308,-0.014022,0,20.2399,999.9,47.76,29.749,22.2257,54.1373,45.5689,1,-0.139459,2.46541,20.2312,5.23601,11.992,4.95735,3.304,999.9,9999,9999,9999,1.86843,1.86413,1.87177,1.86249,1.86196,1.86844,1.85851,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.703,-0.0724,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5.2,5.1,1.03394,2.37671,1.44775,2.31201,1.44409,2.33154,34.4408,24.3502,18,426.93,440.218,18.1129,25.5303,30,25.5399,25.5105,20.7399,69.3618,0,18.1032,420,9.27216,95.9203,100.43,NA,2
7,1680989690,30,"20230408 16:34:50","16:34:50",5,"pas_smi8_t4_ch2","gibson",1680989687.2,0.000160785535642563,0.160785535642563,-0.584505186641395,420.351100368428,506.2301473913,45.732218981914,37.9740097866559,0.00951424114866364,3.51580288438451,0.00949996053866435,0.00593875657920218,0,20.4936449752559,20.00369,2.34714936114922,34.859053475782,0.845192645302248,2.4246000996253,1.50195671584697,-7.09064212183705,99.5731311875256,5.70973466069114,98.1922237263797,-0.695238343761973,0.158558991802511,-0.584505186641395,423.883331252202,424.281351515151,-0.00704073912695064,66.5043092739026,0.160785535642563,9.25879141604305,9.35692014705883,-1.84682421044363e-06,103.712135318411,0,0,1,0,48838,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989687.2,420.3511,419.9639,9.355811,9.259055,418.6491,9.428151,500.0131,90.23887,0.09992001,20.52902,20.00369,999.9,0,0,10005.258,0,0.890269,0.3874298,424.3211,423.8887,0.09675531,419.9639,9.259055,0.8442577,0.8355267,4.474048,4.325643,0,0,0,0,2.70221,0,-23.29427,-2.51747,34.5,40.375,37.562,39.2562,35.25,0,0,0,1680989726.3,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.357365425,0.0276006641651028,0.0573794689670824,1,0.09690368,-0.00270915196998137,0.0013031762732263,1,2,2,"2/2",2.87688,2.71034,0.0911705,0.0913386,0.0516589,0.0511515,25484.5,22362.8,25085.4,23961.1,40586.7,37603.6,45304.6,42701.4,1.80715,1.85308,-0.0148192,0,20.2407,999.9,47.735,29.749,22.2148,54.2673,45.5248,1,-0.139306,2.4752,20.2311,5.23586,11.9918,4.95735,3.304,999.9,9999,9999,9999,1.86843,1.86414,1.87175,1.86249,1.86198,1.86844,1.85852,1.86501,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.703,-0.0723,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5.3,5.2,1.03394,2.36694,1.44897,2.31079,1.44409,2.37427,34.4636,24.3502,18,426.877,440.205,18.1019,25.5289,30.0002,25.5385,25.509,20.7432,69.3618,0,18.0966,420,9.27216,95.9193,100.429,NA,2
8,1680989695,35,"20230408 16:34:55","16:34:55",5,"pas_smi8_t4_ch2","gibson",1680989692.5,0.000157470274990399,0.157470274990399,-0.613527401711487,420.344333723472,513.136425028167,46.3561989506657,37.9734601004025,0.00932342280527267,3.50753168063133,0.00930967654335385,0.00581978117131552,0,20.4954882653688,19.9976333333333,2.34626920395617,34.8570299229499,0.845205670181539,2.42477822135114,1.50106353377463,-6.94443912707662,100.709418167953,5.78836576883348,99.5533448097095,-0.593653573204022,0.157820071590049,-0.613527401711487,423.971190704441,424.339242424242,0.00271756861622844,66.5043092739026,0.157470274990399,9.25930528790803,9.35536732352941,2.3387482533583e-06,103.712135318411,0,0,1,0,48574,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989692.5,420.344333333333,420.019555555556,9.35594,9.25964666666667,418.642333333333,9.42827777777778,500.074111111111,90.2387555555556,0.100181011111111,20.5302111111111,19.9976333333333,999.9,0,0,9971.52777777778,0,0.890269,0.324656111111111,424.314111111111,423.945333333333,0.0962928,420.019555555556,9.25964666666667,0.844268333333333,0.835579,4.47422444444444,4.32653666666667,0,0,0,0,2.71137777777778,0,-23.3025444444445,-2.51962222222222,34.5,40.375,37.562,39.2637777777778,35.25,0,0,0,1680989731.1,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.34747465,-0.0109773883677305,0.0598404910351469,1,0.09670181,0.000970570356472677,0.0011848789391326,1,2,2,"2/2",2.87695,2.70999,0.0911832,0.0913435,0.0516534,0.0511552,25484.6,22363,25085.8,23961.4,40586.8,37604,45304.4,42702.1,1.80728,1.85298,-0.0143126,0,20.2407,999.9,47.735,29.739,22.2029,54.7273,45.5329,1,-0.13952,2.42066,20.2319,5.23661,11.992,4.9573,3.304,999.9,9999,9999,9999,1.86844,1.86413,1.87177,1.86249,1.86197,1.86844,1.85852,1.86501,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.702,-0.0724,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5.3,5.3,1.03394,2.3584,1.44775,2.31079,1.44409,2.41333,34.4408,24.3502,18,426.947,440.145,18.0974,25.5287,30,25.5385,25.509,20.7445,69.3618,0,18.1069,420,9.27216,95.9196,100.431,NA,2
9,1680989700,40,"20230408 16:35:00","16:35:00",5,"pas_smi8_t4_ch2","gibson",1680989697.2,0.000157699801358655,0.157699801358655,-0.684011294168724,420.369200431657,525.025323132409,47.4301128662335,37.9756132580552,0.00932940695344512,3.51146312012206,0.0093156584396798,0.00582352005936238,0,20.4944633363603,20.00595,2.34747785935292,34.859203755806,0.845205672013637,2.42462701653896,1.50227218733929,-6.9545612399167,99.0564573597786,5.68719838624731,97.7890945061092,-0.711588648393149,0.157614245684665,-0.684011294168724,423.866512329213,424.302787878788,-0.0022404983921001,66.5043092739026,0.157699801358655,9.25984227622631,9.35606667647059,4.95156780393031e-07,103.712135318411,0,0,1,0,48867,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989697.2,420.3692,419.9717,9.355963,9.259787,418.6671,9.428298,500.0312,90.23878,0.09993468,20.5292,20.00595,999.9,0,0,9987.558,0,0.890269,0.3975953,424.3393,423.8968,0.09617586,419.9717,9.259787,0.8442708,0.835592,4.474268,4.326759,0,0,0,0,2.66168,0,-23.2443,-2.51177,34.5,40.375,37.562,39.3058,35.25,0,0,0,1680989736.5,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.356602475,0.371883140712946,0.0677484119352578,0,0.096717545,-0.00590343039399649,0.00105060148770835,1,1,2,"1/2",2.87685,2.7102,0.0911719,0.0913509,0.0516598,0.0511516,25484.9,22362.6,25085.7,23961.1,40586.9,37603.8,45304.8,42701.7,1.80728,1.85293,-0.0143424,0,20.2412,999.9,47.76,29.739,22.2123,54.3773,45.5769,1,-0.139527,2.43314,20.2317,5.23646,11.992,4.95735,3.304,999.9,9999,9999,9999,1.86843,1.86413,1.87174,1.86249,1.86194,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.702,-0.0723,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5.4,5.4,1.03394,2.35962,1.44775,2.31079,1.44409,2.40845,34.4408,24.3502,18,426.942,440.11,18.1047,25.5268,30,25.5378,25.5084,20.7423,69.3618,0,18.1041,420,9.27216,95.9201,100.429,NA,2
10,1680989705,45,"20230408 16:35:05","16:35:05",5,"pas_smi8_t4_ch2","gibson",1680989702.5,0.000156180376696909,0.156180376696909,-0.542681064664214,420.328000341568,501.899884686711,45.3419222064683,37.9726715908376,0.00924339599082584,3.52733340090433,0.00922996024287043,0.00576993064706838,0,20.4956222047424,20.0016,2.34684560883709,34.8573878066335,0.845196972128883,2.4247283726982,1.5016486367082,-6.88755461233369,100.460259684752,5.74173748864543,99.3144425610639,-0.577887278808649,0.158620295235726,-0.542681064664214,423.930181220423,424.280418181818,-0.00261254767494409,66.5043092739026,0.156180376696909,9.25899846579825,9.35427732352941,2.9273244238978e-06,103.712135318411,0,0,1,0,48681,0,0,0,0,3.08,0.5,"0: Broadleaf",2,"True",1680989702.5,420.328,420.013111111111,9.35567444444444,9.25888444444444,418.626,9.42801888888889,500.030777777778,90.2408222222222,0.0997488555555556,20.5298777777778,20.0016,999.9,0,0,10052.1555555556,0,0.890269,0.315151555555556,424.297666666667,423.938222222222,0.0967923222222222,420.013111111111,9.25888444444444,0.844263666666667,0.835529111111111,4.47414888888889,4.32568777777778,0,0,0,0,2.71687777777778,0,-23.3072555555556,-2.47166666666667,34.5,40.375,37.562,39.3051111111111,35.25,0,0,0,1680989741.3,0,1680989377,"16:29:37",1680989374.5,1680989377,1,0.626,0.034,1.702,-0.073,420,9,0.45,0.23,0.362293975,-0.211015575984992,0.0570840064648092,0,0.0966041525,0.00128682889305817,0.000715033467743818,1,1,2,"1/2",2.87683,2.71068,0.0911676,0.0913538,0.0516528,0.0511523,25484.6,22362.5,25085.3,23961.1,40586.9,37603.6,45304.5,42701.5,1.80737,1.85298,-0.0151545,0,20.2425,999.9,47.735,29.739,22.2016,54.7473,45.7532,1,-0.139616,2.45595,20.2315,5.23631,11.992,4.95745,3.304,999.9,9999,9999,9999,1.86844,1.86413,1.87176,1.86249,1.86196,1.86844,1.85852,1.865,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.702,-0.0724,1.30011080440092,0.00118957261708182,-7.01254715266294e-07,3.66757441346785e-10,-0.0408145217086714,-0.0233730541418934,0.00236543064367077,-2.55640415710784e-05,2,1613,1,28,5.5,5.5,1.03271,2.3645,1.44775,2.31079,1.44409,2.3645,34.4408,24.3502,18,426.987,440.127,18.1033,25.5268,29.9999,25.5364,25.5068,20.7399,69.3618,0,18.0987,420,9.27216,95.9191,100.429,NA,2
