obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_des,AccCO2_soda,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
76,1678292472,646.9000001,20230308 10:21:11,10:21:11,5,pas_smi10_t1_ch3,gibson,1678292464,0.003580302,3.580301944,16.26972902,403.7399843,271.5869863,24.67247707,36.67799272,0.218806454,3.055698699,0.210459943,0.132260838,321.5132398,28.54772011,27.49913,3.685435457,59.00215489,2.189964412,3.711668526,1.495471044,-157.8913157,19.9778777,1.418869894,185.0186717,16.19901811,3.583521011,16.26972902,428.9262316,413.6795333,-0.007089803,67.63847787,3.580301944,20.8903911,24.10364303,-4.11E-06,117.43,6,1,1,0,47762,1999.986333,1681.18822,0.840599854,0.160757718,4.6,0.5,0: Broadleaf,2,TRUE,1678292464,403.74,419.9677667,24.10645,20.89035333,403.3803,23.89822,500.1970667,90.74560333,0.09997585,27.6204,27.49913,999.9,0,0,10004.056,0,6.471284,-16.22777333,413.7132333,428.9282333,3.216096667,419.9677667,20.89035333,2.187554,1.895708667,18.87145333,16.59913333,1999.986333,0.9800037,0.01999622,0,2.517616667,0,7565.851333,16705.31667,45.1622,47.125,46.2374,45.1996,44.625,1959.996333,39.99,0,1678292478,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-16.19620732,-0.472573706,0.066151435,0,3.213976098,0.03210308,0.004497486,1,1,2,2-Jan,2.85327,2.71007,0.0886439,0.0913527,0.103239,0.093118,26016,22188.4,25547.6,23784.3,39109.2,35673.4,46197.9,42394.6,1.76383,1.88897,0.0766926,0,26.2471,999.9,58.729,28.339,25.0483,53.7428,44.8357,1,0.0658054,1.0812,20.2406,5.23361,11.9918,4.95585,3.30395,999.9,9999,9999,9999,1.86816,1.86385,1.87149,1.86222,1.86172,1.86815,1.85827,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.36,0.2081,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47545.5,47545.4,1.05103,2.32178,1.44775,2.30591,1.44409,2.48779,33.8509,15.8132,18,421.274,484.45,24.8775,28.2263,30,28.1461,28.1228,21.1095,32.6739,93.8968,24.8628,413.235,20.8716,97.7665,99.7004,NA,3
77,1678292477,651.9000001,20230308 10:21:16,10:21:16,5,pas_smi10_t1_ch3,gibson,1678292469,0.003576782,3.576781942,16.36270826,403.7130187,270.7188453,24.59352294,36.67541274,0.218538043,3.054671997,0.210208894,0.13210245,321.5165217,28.54695234,27.50025517,3.685678108,59.00717814,2.189900091,3.711243547,1.495778017,-157.7360836,19.46331545,1.382783483,184.626537,16.09815585,3.582313602,16.36270826,429.0052007,413.6457758,-0.001878106,67.63847787,3.576781942,20.89108838,24.10113091,-1.84E-06,117.43,7,1,1,0,47673,2000.006897,1681.205493,0.840599848,0.160757707,4.6,0.5,0: Broadleaf,2,TRUE,1678292469,403.7130345,419.8473103,24.10582759,20.89085172,403.3533448,23.89762069,500.2031724,90.74525517,0.100001345,27.61844138,27.50025517,999.9,0,0,9998.921724,0,6.568997931,-16.1343,413.6853793,428.8054138,3.214970345,419.8473103,20.89085172,2.187488276,1.895746552,18.87097931,16.59944828,2000.006897,0.980003897,0.01999601,0,2.529627586,0,7563.264138,16705.48621,45.15706897,47.13355172,46.24565517,45.20872414,44.625,1960.016897,39.99,0,1678292483,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-16.211925,-0.037555722,0.122231902,1,3.21533125,-0.010269906,0.001904142,1,2,2,2-Feb,2.85366,2.71007,0.0886287,0.0909255,0.103233,0.0931285,26016.3,22199.1,25547.5,23784.6,39109.7,35673.5,46198.1,42395.3,1.76383,1.88908,0.0761971,0,26.246,999.9,58.729,28.339,25.0483,54.3228,44.6595,1,0.066001,1.082,20.2407,5.23286,11.9911,4.95595,3.304,999.9,9999,9999,9999,1.86817,1.86386,1.87149,1.86224,1.86172,1.86815,1.85825,1.86477,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.36,0.208,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47545.6,47545.5,1.02539,2.34863,1.44775,2.30591,1.44409,2.24976,33.8735,15.8044,18,421.274,484.515,24.8649,28.2263,30.0001,28.1461,28.1228,20.5821,32.6739,93.8968,24.8607,399.781,20.8716,97.7666,99.7018,NA,3
78,1678292482,656.9000001,20230308 10:21:21,10:21:21,5,pas_smi10_t1_ch3,gibson,1678292474,0.003571985,3.571984732,16.11151243,403.3205203,272.0567039,24.71514965,36.63988747,0.21825109,3.051888292,0.209936086,0.131930729,321.516048,28.54798563,27.4987,3.685342728,59.0028991,2.189618947,3.711036203,1.495723781,-157.5245267,19.54421763,1.38978033,184.9255193,13.60523348,3.57833784,16.11151243,422.6575829,410.779697,-0.663261995,67.63847787,3.571984732,20.89175947,24.0975,-3.38E-06,117.43,7,1,1,0,48190,2000.003929,1681.203,0.840599849,0.160757708,4.6,0.5,0: Broadleaf,2,TRUE,1678292474,403.3205357,417.1593929,24.10264643,20.89125,402.9610357,23.894575,500.2065714,90.74557143,0.100010736,27.61748571,27.4987,999.9,0,0,9984.868929,0,6.674486429,-13.83893179,413.2818214,426.0603571,3.211396429,417.1593929,20.89125,2.187208571,1.895789286,18.86892857,16.59980357,2000.003929,0.980003893,0.019996014,0,2.561367857,0,7562.724643,16705.46071,45.16485714,47.13385714,46.2365,45.2095,44.625,1960.013929,39.99,0,1678292489,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-14.51035475,24.90462946,3.161740573,0,3.212868,-0.043062889,0.004261574,1,1,2,2-Jan,2.85367,2.71031,0.0880631,0.0887989,0.103227,0.0931298,26032.5,22250.3,25547.6,23783.8,39109.7,35672.5,46197.9,42394.2,1.76348,1.88948,0.0762492,0,26.2443,999.9,58.705,28.359,25.0676,53.8828,44.1827,1,0.0660112,1.06565,20.2406,5.23226,11.9908,4.956,3.3039,999.9,9999,9999,9999,1.86815,1.86384,1.87149,1.86223,1.86172,1.86815,1.85824,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.358,0.2079,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47545.6,47545.6,0.996094,2.34619,1.44775,2.30713,1.44409,2.29492,33.8735,15.8044,18,421.077,484.777,24.8605,28.2287,30.0001,28.1461,28.1228,19.9866,32.6739,93.8968,24.8623,386.379,20.8716,97.7665,99.699,NA,3
79,1678292487,661.9000001,20230308 10:21:26,10:21:26,5,pas_smi10_t1_ch3,gibson,1678292479,0.003571334,3.571333838,16.07775817,400.7667624,269.8053219,24.51075173,36.40808323,0.218208502,3.055127635,0.209905128,0.131910404,321.5156574,28.5455181,27.49756296,3.685097538,59.00325999,2.189413712,3.71066567,1.495683825,-157.4958223,19.47093057,1.383081228,184.873847,7.881934582,3.574259387,16.07775817,407.9259915,401.9674182,-1.863095141,67.63847787,3.571333838,20.89373979,24.09898848,4.57E-07,117.43,7,1,1,0,48065,2000.001481,1681.200944,0.84059985,0.16075771,4.6,0.5,0: Broadleaf,2,TRUE,1678292479,400.7667778,409.3328148,24.10025926,20.89238519,400.4084074,23.89228519,500.1862963,90.74616667,0.099898052,27.61577778,27.49756296,999.9,0,0,10001.11667,0,6.717514815,-8.566103519,410.663963,418.0672222,3.207874444,409.3328148,20.89238519,2.187007037,1.895904444,18.86744815,16.60076667,2000.001481,0.980003889,0.019996019,0,2.513640741,0,7564.66037,16705.43704,45.15944444,47.13418519,46.24066667,45.208,44.625,1960.011481,39.99,0,1678292493,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-11.59775438,54.79423703,5.845649012,0,3.21051475,-0.042440938,0.004226548,1,1,2,2-Jan,2.85355,2.71046,0.0865279,0.0861149,0.103228,0.0931398,26076,22315.7,25547.4,23783.7,39109.4,35671.9,46197.7,42394.1,1.76357,1.889,0.077419,0,26.2426,999.9,58.705,28.359,25.068,54.1028,44.1907,1,0.0659705,1.03712,20.2407,5.23286,11.9911,4.956,3.304,999.9,9999,9999,9999,1.86815,1.86385,1.87149,1.86222,1.86172,1.86815,1.85825,1.86477,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.354,0.2079,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47545.7,47545.7,0.960693,2.33032,1.44775,2.30713,1.44409,2.44751,33.8735,15.8132,18,421.138,484.466,24.8604,28.2287,30,28.1467,28.1228,19.2865,32.6739,93.8968,24.8669,366.275,20.8716,97.7658,99.6987,NA,3
80,1678292492,666.9000001,20230308 10:21:31,10:21:31,5,pas_smi10_t1_ch3,gibson,1678292484,0.003566606,3.566606181,15.40071977,394.9440208,269.0232088,24.44003743,35.87960569,0.217860138,3.056040255,0.209585085,0.13170797,321.512343,28.54660797,27.49853571,3.6853073,58.99960545,2.189301976,3.710706131,1.496005324,-157.2873326,19.34720759,1.373890342,184.9461083,1.005342541,3.57050815,15.40071977,391.4842047,389.5140909,-2.546219877,67.63847787,3.566606181,20.89725714,24.09823697,-1.88E-06,117.43,6,1,1,0,47616,1999.980714,1681.1835,0.840599856,0.160757722,4.6,0.5,0: Broadleaf,2,TRUE,1678292484,394.9440357,397.1654286,24.09869643,20.89423214,394.5885,23.89078571,500.1938214,90.74737143,0.099948171,27.61596429,27.49853571,999.9,0,0,10005.58214,0,6.637822143,-2.22147875,404.6967857,405.6410357,3.204470714,397.1654286,20.89423214,2.186895,1.896097143,18.86661786,16.60236071,1999.980714,0.980003679,0.019996243,0,2.496678571,0,7567.625714,16705.26429,45.15821429,47.12721429,46.241,45.21625,44.625,1959.990714,39.99,0,1678292498,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-6.672033125,80.62418108,7.86865244,0,3.2069585,-0.041645178,0.004157477,1,1,2,2-Jan,2.85339,2.71032,0.0843919,0.0833134,0.103227,0.0931432,26136.8,22384.1,25547.1,23783.7,39109.1,35671.5,46197.3,42393.8,1.76375,1.88923,0.0768825,0,26.2421,999.9,58.705,28.359,25.0688,54.6828,44.6875,1,0.0659095,1.04425,20.2407,5.23301,11.9915,4.9557,3.30395,999.9,9999,9999,9999,1.86817,1.86386,1.87149,1.86224,1.86172,1.86817,1.85827,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.348,0.2079,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47545.8,47545.8,0.928955,2.323,1.44775,2.30713,1.44409,2.4646,33.8735,15.8132,18,421.248,484.614,24.8643,28.2287,30.0001,28.1485,28.1228,18.6444,32.6739,93.8968,24.8623,352.856,20.8716,97.7649,99.6982,NA,3
81,1678292497,671.9000001,20230308 10:21:36,10:21:36,5,pas_smi10_t1_ch3,gibson,1678292489,0.003565659,3.565658545,15.03726716,384.377319,261.3841753,23.74608337,34.9196957,0.217707921,3.057902082,0.209449018,0.131621562,321.512761,28.54540609,27.5011,3.68586031,59.00225079,2.189283349,3.710508191,1.496576961,-157.2455419,18.78583076,1.33322442,184.3862743,-5.441296846,3.568227127,15.03726716,374.7227214,375.0036485,-2.935351471,67.63847787,3.565658545,20.8971676,24.09729091,-2.47E-06,117.43,6,1,1,0,48190,1999.983333,1681.1857,0.840599855,0.16075772,4.6,0.5,0: Broadleaf,2,TRUE,1678292489,384.3773333,380.6346296,24.09845926,20.89605556,384.0268148,23.89055556,500.196037,90.74751852,0.099922189,27.61505185,27.5011,999.9,0,0,10014.95,0,6.713032593,3.742726481,393.869,388.7582222,3.202404815,380.6346296,20.89605556,2.186875926,1.896265556,18.86647778,16.60375556,1999.983333,0.980003667,0.019996256,0,2.456218519,0,7570.741481,16705.28889,45.15714815,47.125,46.25,45.222,44.625,1959.993333,39.99,0,1678292504,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.908281625,72.98273711,7.197203412,0,3.20404625,-0.027610694,0.002883889,1,1,2,2-Jan,2.85307,2.71042,0.0818963,0.080508,0.103223,0.0931458,26207.7,22452.7,25546.9,23783.8,39108.8,35671.5,46196.8,42394,1.76345,1.8892,0.0766441,0,26.2404,999.9,58.705,28.369,25.0815,54.1228,45.1402,1,0.0660467,1.04684,20.2406,5.23286,11.9908,4.95585,3.30395,999.9,9999,9999,9999,1.86815,1.86386,1.87149,1.86222,1.86171,1.86815,1.85824,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.341,0.2079,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47545.9,47545.9,0.893555,2.32422,1.44775,2.30713,1.44409,2.45361,33.8735,15.8132,18,421.079,484.597,24.8621,28.2287,30.0001,28.1485,28.1228,17.9404,32.6739,93.8968,24.862,332.645,20.8716,97.7639,99.6987,NA,3
82,1678292502,676.9000001,20230308 10:21:41,10:21:41,5,pas_smi10_t1_ch3,gibson,1678292494,0.003558079,3.558079316,14.3489497,372.1536648,254.4469684,23.1159356,33.8093246,0.217290827,3.055921598,0.209057781,0.131374829,321.51183,28.54545402,27.49895714,3.68539818,59.00823733,2.189197588,3.709986414,1.496200592,-156.9112978,18.73040591,1.330122231,184.6610603,-8.709197302,3.565374817,14.3489497,358.5998256,359.950303,-3.021535454,67.63847787,3.558079316,20.89909442,24.09236182,-2.73E-06,117.43,7,1,1,0,47762,1999.9775,1681.1808,0.840599857,0.160757724,4.6,0.5,0: Broadleaf,2,TRUE,1678292494,372.1536786,365.36475,24.09743214,20.89765714,371.8090714,23.88956786,500.2073214,90.74771429,0.100039746,27.61264643,27.49895714,999.9,0,0,10004.94643,0,6.889850714,6.788971429,381.3431429,373.1630714,3.199776786,365.36475,20.89765714,2.1867875,1.896415,18.86583929,16.60499643,1999.9775,0.980003571,0.019996357,0,2.469160714,0,7572.544643,16705.24643,45.15821429,47.12942857,46.25,45.232,44.625,1959.9875,39.99,0,1678292508,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,4.065410625,44.03729137,4.431243516,0,3.20180575,-0.026828555,0.002831393,1,1,2,2-Jan,2.8537,2.71012,0.0792622,0.0774189,0.103209,0.0931505,26282.7,22528.6,25546.7,23784.3,39108.9,35671.6,46196.3,42394.4,1.76378,1.88875,0.0761226,0,26.2404,999.9,58.68,28.359,25.0581,53.8328,44.6955,1,0.0660569,1.04589,20.2407,5.23301,11.9903,4.9559,3.30395,999.9,9999,9999,9999,1.86815,1.86386,1.87149,1.86222,1.86172,1.86816,1.85825,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.334,0.2076,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47546,47545.9,0.861816,2.3584,1.44897,2.30591,1.44409,2.27295,33.8961,15.7957,18,421.262,484.318,24.8619,28.2287,30.0001,28.1485,28.1246,17.2784,32.6739,93.8968,24.8621,319.023,20.8716,97.763,99.7001,NA,3
83,1678292507,681.9000001,20230308 10:21:46,10:21:46,5,pas_smi10_t1_ch3,gibson,1678292499,0.003559515,3.55951511,13.62444021,356.9459498,245.2530656,22.28058466,32.42758428,0.217636055,3.056060215,0.209377721,0.131576945,321.5177854,28.54185612,27.49037037,3.683546859,59.01460608,2.189019766,3.70928472,1.494527094,-156.9746163,19.61295226,1.392650092,185.5487714,-11.12370047,3.562651416,13.62444021,340.6589048,343.7850303,-3.244664446,67.63847787,3.55951511,20.89810876,24.09272606,8.11E-07,117.43,7,1,1,0,47669,2000.014815,1681.212144,0.840599846,0.160757702,4.6,0.5,0: Broadleaf,2,TRUE,1678292499,356.945963,347.8855926,24.09558889,20.89815926,356.6085556,23.88780741,500.1928148,90.74732222,0.100001567,27.60941111,27.49037037,999.9,0,0,10005.68815,0,7.117672963,9.060504074,365.7592593,355.310963,3.197436296,347.8855926,20.89815926,2.18661037,1.896451852,18.86455185,16.6053037,2000.014815,0.980003889,0.019996019,0,2.497948148,0,7575.108148,16705.54815,45.16403704,47.13418519,46.25,45.21966667,44.625,1960.024815,39.99,0,1678292513,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,7.8108865,25.22070507,2.477802319,0,3.19841925,-0.029072083,0.003218993,1,1,2,2-Jan,2.85383,2.71038,0.0764013,0.0744748,0.103208,0.0931395,26364.3,22600.5,25546.7,23784.3,39108.7,35672,46196,42394.5,1.76378,1.88878,0.0758916,0,26.2382,999.9,58.68,28.369,25.071,54.6828,44.1466,1,0.0660467,1.01306,20.2409,5.23271,11.99,4.95595,3.30395,999.9,9999,9999,9999,1.86814,1.86386,1.87149,1.8622,1.86172,1.86815,1.85824,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.327,0.2077,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47546.1,47546,0.825195,2.34619,1.44775,2.30591,1.44409,2.38647,33.8961,15.8044,18,421.262,484.34,24.8626,28.2287,30.0001,28.1485,28.1252,16.5548,32.6739,93.8968,24.8718,298.959,20.8716,97.7626,99.7002,NA,3
84,1678292512,686.9000001,20230308 10:21:51,10:21:51,5,pas_smi10_t1_ch3,gibson,1678292504,0.00356216,3.562159561,13.0998866,342.6276303,235.3481803,21.38085487,31.12695253,0.217860919,3.054052982,0.209580644,0.131705631,321.514452,28.53904223,27.48807857,3.683052881,59.01938624,2.18885055,3.708697581,1.494202331,-157.0912366,19.53161863,1.38775174,185.3425857,-12.39020506,3.561476641,13.0998866,324.5868316,327.8772424,-3.177705765,67.63847787,3.562159561,20.89454683,24.09153636,-2.33E-06,117.43,7,1,1,0,47901,1999.993929,1681.1946,0.840599852,0.160757714,4.6,0.5,0: Broadleaf,2,TRUE,1678292504,342.6276429,332.3553571,24.09361071,20.89726071,342.2968571,23.88591429,500.1977857,90.74771071,0.100048718,27.60670357,27.48807857,999.9,0,0,9995.533214,0,7.269755,10.272395,351.0867143,339.4488929,3.196356429,332.3553571,20.89726071,2.186440357,1.896378214,18.86330357,16.60469286,1999.993929,0.980003679,0.019996243,0,2.477317857,0,7577.971071,16705.37143,45.15157143,47.13607143,46.25,45.214,44.625,1960.003929,39.99,0,1678292519,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,9.22079975,17.57559388,1.756751563,0,3.197567,-0.020697861,0.002855848,1,1,2,2-Jan,2.85348,2.71004,0.0735097,0.0712565,0.103205,0.0931317,26446.5,22678.8,25546.3,23784.1,39108.3,35672.1,46195.5,42394.3,1.7637,1.88838,0.077121,0,26.2371,999.9,58.68,28.369,25.0702,54.6928,44.355,1,0.0660645,0.976081,20.2412,5.23301,11.9909,4.9561,3.30398,999.9,9999,9999,9999,1.86816,1.86385,1.87149,1.86221,1.86172,1.86816,1.85826,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.32,0.2075,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47546.1,47546.1,0.791016,2.33276,1.44775,2.30713,1.44409,2.45483,33.8961,15.8132,18,421.22,484.078,24.8726,28.2287,30.0002,28.1485,28.1252,15.8841,32.6739,93.8968,24.885,285.508,20.8716,97.7614,99.6996,NA,3
85,1678292517,691.9000001,20230308 10:21:56,10:21:56,5,pas_smi10_t1_ch3,gibson,1678292509,0.00356038,3.560379536,12.2111234,326.1228031,225.8796012,20.5207769,29.62770099,0.217705908,3.056080351,0.209442433,0.131617827,321.5164259,28.53746256,27.48825185,3.683090228,59.01870109,2.188638415,3.708381199,1.494451813,-157.0127375,19.27562981,1.368646001,185.1479642,-13.73787015,3.560874898,12.2111234,306.6407167,311.3725515,-3.301245965,67.63847787,3.560379536,20.89291704,24.08840667,-1.66E-06,117.43,6,1,1,0,48027,2000.006296,1681.204989,0.840599848,0.160757707,4.6,0.5,0: Broadleaf,2,TRUE,1678292509,326.1228148,314.5565926,24.09113333,20.89522222,325.7994444,23.88354815,500.1832222,90.7484037,0.099892422,27.60524444,27.48825185,999.9,0,0,10005.67037,0,7.374912963,11.56634815,334.1736296,321.2695556,3.195916667,314.5565926,20.89522222,2.186231111,1.896207037,18.86177037,16.60326667,2000.006296,0.980003778,0.019996137,0,2.469877778,0,7582.928889,16705.47407,45.15714815,47.14107407,46.25,45.208,44.625,1960.016296,39.99,0,1678292523,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,10.863123,13.9081934,1.403971128,0,3.1962555,-0.001329231,0.00183249,1,1,2,2-Jan,2.85315,2.71064,0.07048,0.068148,0.103198,0.0931319,26532.4,22755,25545.8,23784.4,39108.1,35672.7,46195,42395.1,1.76357,1.88845,0.0765771,0,26.236,999.9,58.656,28.369,25.0605,54.4628,45.1162,1,0.0661966,0.986351,20.2413,5.23286,11.9914,4.95605,3.304,999.9,9999,9999,9999,1.86819,1.86385,1.87149,1.8622,1.86172,1.86818,1.85825,1.86477,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.313,0.2075,0.230012463,8.16E-05,7.70E-07,-4.34E-10,-0.148957186,-0.029328065,0.002450792,-2.50E-05,1,1579,2,27,47546.2,47546.2,0.754395,2.35474,1.44775,2.30591,1.44409,2.37305,33.8961,15.8044,18,421.15,484.127,24.8857,28.2306,30.0002,28.1485,28.1252,15.1567,32.6739,93.8968,24.8871,265.427,20.8716,97.76,99.7013,NA,3
