obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt..Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID.1,Duration,Fo.1,F1,F2,Fmax,T.HIR,T.F1,T.F2,T.Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccCO2_soda,CO2_hrs,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
385,1510793115,5526.6,20171115 18:45:15,18:45:15,5,ely_can11_t1_ch3,ozzie,1510793107,0.003069727,3.069727063,14.40896154,411.382895,274.110853,24.86508615,37.31727881,0.18452076,3.662313794,0.179507193,0.112631099,321.5149375,30.02630733,30.02630733,4.266891856,68.47578178,2.775860954,4.053784975,1.491030903,-135.3749635,-175.5712825,-10.61544059,-0.046749057,14.58787101,3.41495913,14.40896154,432.3675561,424.3610606,-0.000815565,64.70871815,3.069727063,28.71694705,30.47646606,-0.01725619,122.71,0,0,1,0,47521,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.993226,1681.194319,0.840600007,0.160758013,2.7,0.5,0: Broadleaf,2,TRUE,1510793107,411.3829032,420.0174839,30.60088387,28.81354516,404.7777419,29.87337419,500.0863871,90.61179355,0.099996526,29.13708065,29.55963226,999.9,0,0,9977.94129,0,5.681583871,-8.634643226,424.3689355,432.4787742,1.787335484,420.0174839,28.81354516,2.772799677,2.610847419,22.72299677,21.73446452,1999.993226,0.979999484,0.020000384,0,2.264029032,0,7459.74,17300.0871,39.937,40.125,39.504,38.937,39.49187097,1959.992903,40.00032258,0,1678302332,0,2.266369231,-0.04676923,-10.15692307,7459.631154,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.7863835,0.05004878,0.011150621,1,1,1,1-Jan,2.97082,2.75372,0.0886842,0.0913652,0.121042,0.117463,35353.8,38391.1,35168.4,38332.5,43805.7,48849.5,54955.3,61473.6,1.9593,1.80042,0.0491366,0,28.6665,999.9,65.035,31.129,32.6199,56.664,48.8301,1,0.141982,3.3241,20.1189,5.19767,12.0088,4.97535,3.2935,9999,9999,999.9,9999,1.86294,1.86785,1.86768,1.86874,1.86954,1.86565,1.86676,1.86809,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.605,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.8,-2561217.5,1.02905,2.62207,1.54785,2.30469,1.34644,2.38281,35.4754,12.0306,18,504.06,401.556,23.317,29.1955,29.9998,28.9611,28.877,20.6144,22.1242,100,23.3047,413.131,28.5201,101.957,102.33,NA,3
386,1510793120,5531.6,20171115 18:45:20,18:45:20,5,ely_can11_t1_ch3,ozzie,1510793112,0.003069259,3.069258861,14.78076648,411.4042675,271.7234143,24.64798631,37.31841357,0.185677986,3.665819644,0.18060698,0.113323437,321.5164052,29.95750553,29.95750553,4.250061718,68.55540971,2.768161094,4.03784487,1.481900624,-135.3543158,-175.6084158,-10.60033195,-0.046658321,14.3368279,3.398122498,14.78076648,432.3881863,424.2693333,-0.02091081,64.70871815,3.069258861,28.64858172,30.39540364,-0.015828571,122.71,0,0,1,0,47736,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.002414,1681.202038,0.840600004,0.160758009,2.7,0.5,0: Broadleaf,2,TRUE,1510793112,411.4042759,419.8996897,30.51665862,28.73796207,404.799,29.78915172,500.082069,90.60983448,0.100001366,29.06894138,29.50057931,999.9,0,0,9991.635517,0,5.88757069,-8.495425172,424.3541724,432.3237586,1.778697931,419.8996897,28.73796207,2.765107931,2.603941724,22.67721034,21.69115172,2000.002414,0.979999414,0.020000459,0,2.227558621,0,7458.929655,17300.17241,39.92844828,40.125,39.5,38.937,39.47175862,1960.002069,40.00034483,0,1678302337,0,2.235484615,-0.332936757,-9.163418785,7458.910385,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.779973415,-0.099033659,0.018749455,1,1,1,1-Jan,2.97089,2.75411,0.0886623,0.0910071,0.120814,0.117211,35354.4,38406.4,35168.2,38332.6,43816.9,48863.7,54954.9,61473.9,1.9596,1.80042,0.0497364,0,28.61,999.9,65.01,31.129,32.608,56.134,49.371,1,0.14126,3.30384,20.1191,5.19707,12.0094,4.97535,3.29365,9999,9999,999.9,9999,1.86295,1.86785,1.86768,1.86874,1.86956,1.86564,1.86676,1.86812,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.605,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.7,-2561217.4,1.00342,2.61597,1.54785,2.30469,1.34644,2.46582,35.4754,12.0306,18,504.241,401.54,23.2745,29.1895,29.9996,28.9588,28.8747,20.0676,22.409,100,23.2619,399.634,28.5062,101.957,102.331,NA,3
387,1510793125,5536.6,20171115 18:45:25,18:45:25,5,ely_can11_t1_ch3,ozzie,1510793117,0.0031023,3.102299958,14.67408152,410.9736703,274.5497137,24.90383985,37.27857636,0.189086276,3.669605437,0.183835493,0.1153568,321.5150517,29.88409872,29.88409872,4.232168933,68.62411451,2.760436439,4.022545805,1.471732494,-136.8114282,-174.2492523,-10.5001947,-0.045823448,10.34684914,3.38334933,14.67408152,425.062236,420.9678788,-0.870360877,64.70871815,3.102299958,28.54380862,30.31167515,-0.016234286,122.71,0,0,1,0,47734,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.993929,1681.194911,0.840600007,0.160758014,2.7,0.5,0: Broadleaf,2,TRUE,1510793117,410.9736786,417.31075,30.43213571,28.66102857,404.3711429,29.70463214,500.0851786,90.60798571,0.099957539,29.00332143,29.44647143,999.9,0,0,10006.40214,0,5.90255,-6.336990175,423.8732143,429.6243929,1.771111786,417.31075,28.66102857,2.757393214,2.596918214,22.63117143,21.64696786,1999.993929,0.979999214,0.020000671,0,2.22185,0,7458.529643,17300.10357,39.90821429,40.1205,39.4955,38.92371429,39.4505,1959.993571,40.00035714,0,1678302342,0,2.22432,-0.344761554,1.93692311,7458.5416,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.77663878,-0.109837422,0.01905319,1,1,1,1-Jan,2.97095,2.75412,0.0880245,0.088844,0.12058,0.116955,35379.6,38498.4,35168.6,38333.2,43829.3,48878.3,54955.7,61474.6,1.95952,1.79995,0.0502169,0,28.5513,999.9,65.01,31.129,32.6061,55.334,48.8221,1,0.141011,3.2991,20.1193,5.19767,12.0092,4.97535,3.29365,9999,9999,999.9,9999,1.86294,1.86784,1.86768,1.86874,1.86957,1.86563,1.86676,1.8681,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.581,0.7276,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.6,-2561217.4,0.97168,2.62695,1.54785,2.30469,1.34644,2.37671,35.4754,12.0131,18,504.169,401.257,23.231,29.1832,29.9997,28.9563,28.8722,19.4758,22.409,100,23.2194,379.51,28.5176,101.958,102.332,NA,3
388,1510793130,5541.6,20171115 18:45:30,18:45:30,5,ely_can11_t1_ch3,ozzie,1510793123,0.003042712,3.042712018,14.56037881,408.1555473,270.9196854,24.57430516,37.02255507,0.186178772,3.670781445,0.181087468,0.113625504,321.5173219,29.82593639,29.82593639,4.218038618,68.70649959,2.752500808,4.006172377,1.46553781,-134.1836,-176.7406887,-10.64012543,-0.047092308,1.207327705,3.357201879,14.56037881,409.4757439,411.2527394,-2.114243555,64.70871815,3.042712018,28.50702908,30.23241515,-0.014940476,122.71,0,0,1,0,47572,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.008148,1681.206856,0.840600003,0.160758006,2.7,0.5,0: Broadleaf,2,TRUE,1510793123,408.1555556,409.5472222,30.34497407,28.58738889,401.5703333,29.61747407,500.083,90.60701111,0.099963993,28.93285185,29.40479259,999.9,0,0,10011.03519,0,5.90255,-1.39161833,420.929037,421.6002222,1.75758963,409.5472222,28.58738889,2.749466667,2.590217037,22.58375185,21.60472593,2000.008148,0.979999222,0.020000663,0,2.240118519,0,7459.012963,17300.22963,39.88648148,40.09933333,39.49533333,38.90255556,39.437,1960.007778,40.00037037,0,1678302347,0,2.229544,0.497384604,14.85461538,7459.1232,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.7675005,-0.112966829,0.019022612,1,1,1,1-Jan,2.971,2.75373,0.0863556,0.086138,0.120356,0.116874,35444.9,38613.2,35169.2,38333.7,43841.1,48883.2,54956.4,61475.2,1.9593,1.80005,0.0542141,0,28.4946,999.9,65.01,31.149,32.6446,55.164,49.0785,1,0.14065,3.29087,20.1194,5.19797,12.0089,4.97525,3.29373,9999,9999,999.9,9999,1.86293,1.86786,1.86768,1.86874,1.86955,1.86561,1.86676,1.86807,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.52,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.6,-2561217.3,0.938721,2.62573,1.54785,2.30469,1.34644,2.43652,35.4754,12.0131,18,503.991,401.3,23.1871,29.1769,29.9997,28.9532,28.8704,18.7711,22.7031,100,23.1741,365.976,28.2753,101.959,102.333,NA,3
389,1510793135,5546.6,20171115 18:45:35,18:45:35,5,ely_can11_t1_ch3,ozzie,1510793127,0.002989175,2.98917548,14.21582319,401.7907776,265.8716473,24.1163047,36.44506255,0.183343675,3.666220394,0.178398067,0.111932023,321.515772,29.78094109,29.78094109,4.207135408,68.76056049,2.745536209,3.992893875,1.461599199,-131.8226387,-178.9598656,-10.78165324,-0.048385489,-9.571980813,3.335638793,14.21582319,392.7162895,397.8001152,-2.780984665,64.70871815,2.98917548,28.441665,30.15062909,-0.01623619,122.71,0,0,1,0,47404,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.998571,1681.1988,0.8406,0.160758001,2.7,0.5,0: Broadleaf,2,TRUE,1510793127,401.7907857,397.3464286,30.26832857,28.52191429,395.245,29.54082857,500.08875,90.60651429,0.100053871,28.87551786,29.36604286,999.9,0,0,9993.542857,0,5.90255,4.444387682,414.3325714,409.0128929,1.746415357,397.3464286,28.52191429,2.7425075,2.584271071,22.54201786,21.56718214,1999.998571,0.979999107,0.020000786,0,2.2902,0,7459.489643,17300.13571,39.875,40.08,39.482,38.88385714,39.41707143,1959.998571,40,0,1678302352,0,2.266616,0.36121537,5.47461539,7459.5828,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.750465366,-0.137500767,0.021529655,1,1,1,1-Jan,2.97111,2.75367,0.0840819,0.0832725,0.120131,0.116635,35533.2,38734.3,35169.2,38333.7,43852.6,48896.3,54956.7,61475.1,1.95958,1.79988,0.0503957,0,28.4386,999.9,65.01,31.149,32.6439,56.014,49.0264,1,0.140198,3.29276,20.119,5.19797,12.0091,4.9751,3.29358,9999,9999,999.9,9999,1.86293,1.86784,1.86768,1.86874,1.86954,1.8656,1.86676,1.8681,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.439,0.7276,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.5,-2561217.2,0.906982,2.62817,1.54785,2.30469,1.34644,2.29736,35.4754,11.9956,18,504.148,401.186,23.1426,29.1699,29.9997,28.9501,28.8679,18.1363,23.0136,100,23.1284,352.484,28.2392,101.96,102.333,NA,3
390,1510793140,5551.6,20171115 18:45:40,18:45:40,5,ely_can11_t1_ch3,ozzie,1510793133,0.003003357,3.003356581,13.65370681,390.426733,261.0944756,23.68296407,35.41423949,0.185367689,3.661820973,0.180308012,0.113135596,321.5176551,29.71394013,29.71394013,4.190945338,68.82505191,2.737769536,3.977867739,1.453175802,-132.4480252,-178.3660499,-10.75173948,-0.048159529,-19.39681855,3.312138939,13.65370681,375.6447896,382.5058364,-3.093936939,64.70871815,3.003356581,28.33912885,30.0674497,-0.017565238,122.71,0,0,1,0,47666,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.01037,1681.208711,0.840599997,0.160757994,2.7,0.5,0: Broadleaf,2,TRUE,1510793133,390.4267407,380.6525185,30.18272963,28.44847037,383.9510741,29.45521852,500.090037,90.60642963,0.100062785,28.81043704,29.307,999.9,0,0,9976.637778,0,5.90255,9.77417963,402.5784444,391.7995556,1.734255185,380.6525185,28.44847037,2.734748889,2.577614444,22.49537778,21.52501111,2000.01037,0.979999111,0.020000781,0,2.3152,0,7458.471852,17300.23704,39.875,40.062,39.465,38.875,39.39566667,1960.01037,40,0,1678302357,0,2.277216,-0.400376937,-28.92153841,7458.5304,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.744833171,-0.158583136,0.022136891,1,1,1,1-Jan,2.97074,2.75358,0.0814875,0.0804909,0.119895,0.116394,35634.1,38852,35169.5,38333.9,43864.6,48909.8,54956.9,61475.5,1.9593,1.7996,0.0492446,0,28.3846,999.9,65.01,31.129,32.6041,55.784,48.9904,1,0.140013,3.28733,20.119,5.19692,12.0085,4.9749,3.29363,9999,9999,999.9,9999,1.86294,1.86787,1.86768,1.86874,1.86956,1.86563,1.86675,1.86811,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.347,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.4,-2561217.1,0.876465,2.62329,1.54785,2.30469,1.34644,2.44507,35.4754,12.0043,18,503.937,401.007,23.097,29.1632,29.9997,28.9471,28.8642,17.4531,23.7699,100,23.0835,332.181,27.9382,101.96,102.334,NA,3
391,1510793145,5556.6,20171115 18:45:45,18:45:45,5,ely_can11_t1_ch3,ozzie,1510793137,0.003053211,3.053210524,13.25096501,377.5178497,254.6974703,23.10288898,34.24357909,0.189747154,3.665371596,0.184454232,0.115747145,321.517311,29.6480458,29.6480458,4.175075667,68.86703704,2.730784647,3.96530004,1.44429102,-134.6465841,-176.30671,-10.61096154,-0.046944628,-23.68427745,3.303173859,13.25096501,359.5337803,366.8343394,-3.139372845,64.70871815,3.053210524,28.24345622,29.98466424,-0.016049048,122.71,0,0,1,0,47893,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.008214,1681.2069,0.840599998,0.160757995,2.7,0.5,0: Broadleaf,2,TRUE,1510793137,377.5178571,365.4036071,30.10549643,28.37575,371.1217857,29.37798214,500.0774286,90.60725357,0.099925221,28.75583929,29.23991786,999.9,0,0,9990.197143,0,5.90255,12.11422071,389.237,376.07625,1.729743214,365.4036071,28.37575,2.727775357,2.571048929,22.45336786,21.48333571,2000.008214,0.979999,0.0200009,0,2.307614286,0,7455.366429,17300.21429,39.866,40.062,39.446,38.875,39.37721429,1960.008214,40,0,1678302362,0,2.278030769,0.067076914,-54.34769232,7455.058077,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.736859024,-0.101463136,0.018781815,1,1,1,1-Jan,2.971,2.75404,0.0787892,0.077487,0.119662,0.116015,35739.2,38979.7,35169.9,38334.7,43876.9,48931.6,54957.7,61476.5,1.95955,1.79965,0.0497252,0,28.3307,999.9,65.01,31.129,32.6046,55.434,49.1667,1,0.139388,3.28012,20.1193,5.19752,12.0083,4.97495,3.29353,9999,9999,999.9,9999,1.86295,1.86785,1.86768,1.86874,1.86957,1.8656,1.86676,1.86812,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.254,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.3,-2561217,0.838623,2.62817,1.54785,2.30469,1.34644,2.32544,35.4754,11.9868,18,504.077,401.018,23.0519,29.1557,29.9997,28.9439,28.8617,16.7741,24.3846,100,23.039,318.701,27.8292,101.962,102.336,NA,3
392,1510793150,5561.6,20171115 18:45:50,18:45:50,5,ely_can11_t1_ch3,ozzie,1510793143,0.003312189,3.3121889,12.48327217,361.7375115,255.7537169,23.19884244,32.81239325,0.209416856,3.669748764,0.202997121,0.127433595,321.5158818,29.52952071,29.52952071,4.146662474,68.9141649,2.722677233,3.950823806,1.423985241,-146.0675305,-165.5470775,-9.94254243,-0.041268627,-26.7071863,3.411738552,12.48327217,341.5011759,350.228303,-3.352484123,64.70871815,3.3121889,27.96725928,29.88793152,-0.020970476,122.71,0,0,1,0,47703,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.999259,1681.199378,0.8406,0.160758,2.7,0.5,0: Broadleaf,2,TRUE,1510793143,361.7375185,347.984037,30.01592963,28.22914444,355.4382963,29.28841481,500.0711111,90.60787778,0.099865285,28.69276296,29.16966296,999.9,0,0,10006.96556,0,5.90255,13.75345185,372.9324815,358.0947037,1.78677963,347.984037,28.22914444,2.719678519,2.557782963,22.40445926,21.39874444,1999.999259,0.979998778,0.02000113,0,2.278044444,0,7450.552593,17300.14074,39.84466667,40.062,39.437,38.85866667,39.354,1959.999259,40,0,1678302367,0,2.244992308,-0.114516233,-57.30085474,7450.736538,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.765251463,0.552776237,0.068835118,1,1,1,1-Jan,2.97095,2.7537,0.0758751,0.0744512,0.119382,0.115279,35852.3,39108.2,35170.1,38334.9,43891.2,48972.9,54958,61477.3,1.9596,1.79918,0.0499412,0,28.2799,999.9,65.01,31.149,32.6435,55.234,48.8061,1,0.138839,3.26949,20.1193,5.19618,12.0076,4.97425,3.29308,9999,9999,999.9,9999,1.86295,1.86788,1.86768,1.86874,1.86955,1.86565,1.86676,1.8681,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.155,0.7276,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.2,-2561216.9,0.810547,2.62817,1.54785,2.30469,1.34644,2.4231,35.4754,11.9868,18,504.08,400.724,23.0075,29.1491,29.9996,28.9404,28.8577,16.0312,25.2166,100,22.9955,298.245,27.455,101.962,102.337,NA,3
393,1510793155,5566.6,20171115 18:45:55,18:45:55,5,ely_can11_t1_ch3,ozzie,1510793147,0.003433673,3.433673236,12.04123537,347.045386,248.9426215,22.58095067,31.47960238,0.219113256,3.669065433,0.212094725,0.133171063,321.514632,29.4499108,29.4499108,4.12767291,68.92528097,2.714564958,3.938416964,1.413107952,-151.4249897,-160.4939791,-9.634449316,-0.03878608,-28.04900744,3.559164692,12.04123537,325.4836493,333.9360727,-3.240308171,64.70871815,3.433673236,27.76990772,29.77215879,-0.022968571,122.71,0,0,1,0,47727,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.991429,1681.1928,0.840600003,0.160758005,2.7,0.5,0: Broadleaf,2,TRUE,1510793147,347.0453929,332.5680357,29.92659286,28.06243214,340.8360714,29.19908571,500.0726429,90.60755357,0.099897529,28.63854286,29.11806071,999.9,0,0,10004.37214,0,5.90255,14.47728571,357.7529286,342.1732143,1.864165714,332.5680357,28.06243214,2.711575357,2.542667857,22.355375,21.30188214,1999.991429,0.979998571,0.020001343,0,2.262814286,0,7446.256429,17300.07857,39.8255,40.062,39.437,38.839,39.3345,1959.991429,40,0,1678302372,0,2.251388462,-0.241357252,-53.43692302,7446.320385,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.829956829,1.011559652,0.107550521,0,0,1,0/1,2.97094,2.75388,0.072956,0.0711266,0.119051,0.114665,35965.8,39249.1,35170.3,38335.4,43907.8,49007.1,54957.9,61477.7,1.95982,1.79842,0.0496097,0,28.2242,999.9,65.01,31.149,32.6452,55.574,49.347,1,0.138567,3.2622,20.1198,5.19812,12.008,4.97515,3.29358,9999,9999,999.9,9999,1.86295,1.86788,1.86768,1.86874,1.86958,1.86566,1.86676,1.86811,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.059,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.1,-2561216.9,0.767822,2.62573,1.54785,2.30347,1.34644,2.34619,35.4754,11.9781,18,504.204,400.283,22.9642,29.1415,29.9996,28.9372,28.8545,15.3672,26.5473,100,22.9518,284.832,27.1658,101.962,102.338,NA,3
394,1510793160,5571.6,20171115 18:46:00,18:46:00,5,ely_can11_t1_ch3,ozzie,1510793153,0.003745877,3.745877384,11.42300541,330.104438,245.3330018,22.25331102,29.94263581,0.243377415,3.665170639,0.234742491,0.147464347,321.5149574,29.32297297,29.32297297,4.097550891,68.91437427,2.704381621,3.924263479,1.393169269,-165.1931926,-147.4991168,-8.85545893,-0.032810963,-30.21765378,3.834751964,11.42300541,306.0810006,316.2915939,-3.542035027,64.70871815,3.745877384,27.44156962,29.64347697,-0.027010476,122.71,0,0,1,0,47569,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.993333,1681.194411,0.840600008,0.160758015,2.7,0.5,0: Broadleaf,2,TRUE,1510793153,330.1044444,314.4728519,29.81462222,27.8059,323.9984444,29.08711852,500.0758519,90.60647037,0.100082981,28.57650741,29.06218889,999.9,0,0,9989.510741,0,5.90255,15.63153333,340.2502593,323.4705185,2.008733333,314.4728519,27.8059,2.701397778,2.519393333,22.29354074,21.15188889,1999.993333,0.979998333,0.020001589,0,2.238433333,0,7442.46,17300.08889,39.812,40.062,39.42322222,38.81666667,39.312,1959.992963,40.00037037,0,1678302377,0,2.231156,0.295538473,-37.16923073,7442.2564,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.929347805,1.566865505,0.15675785,0,0,1,0/1,2.9709,2.75377,0.0697508,0.0679749,0.118681,0.113698,36090,39382.6,35170.2,38335.9,43926.5,49061.3,54958.1,61478.6,1.9601,1.7977,0.0486933,0,28.1718,999.9,65.01,31.149,32.6462,56.484,48.9103,1,0.138125,3.26823,20.1199,5.19782,12.008,4.9751,3.29365,9999,9999,999.9,9999,1.86293,1.86784,1.86768,1.86874,1.86953,1.86565,1.86676,1.86811,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.955,0.7275,4.246325888,0.005233436,1.93E-06,-1.13E-09,0.72751009,0,0,0,-2,1510,1,29,-2561217.1,-2561216.8,0.740967,2.63184,1.54785,2.30469,1.34644,2.40723,35.4754,11.9781,18,504.356,399.853,22.9206,29.134,29.9996,28.9336,28.8509,14.6718,27.9451,100,22.9054,264.696,26.7775,101.962,102.339,NA,3
