obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt..Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID.1,Duration,Fo.1,F1,F2,Fmax,T.HIR,T.F1,T.F2,T.Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,CO2_hrs,AccH2O_hum,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1510786923,0,20171115 17:02:02,17:02:02,5,ely_can10_t1_ch3,ozzie,1510786915,0.003461005,3.461005175,12.42073826,411.840159,305.50954,27.71425705,37.36002493,0.211360534,3.567449357,0.204642028,0.128487108,321.5181812,27.56306625,27.56306625,3.699245878,62.85934154,2.215044761,3.523811587,1.484201117,-152.6303282,-159.2779076,-9.649846618,-0.039901287,12.32258983,3.465407522,12.42073826,429.6504025,422.1315758,-0.000366978,64.33578126,3.461005175,22.40671993,24.40314788,0.000249742,120.2688053,0,0,1,0,47705,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.013667,1681.21148,0.840599996,0.160757992,2.96,0.5,0: Broadleaf,2,TRUE,1510786915,411.8401667,419.9788,24.41766,22.41653667,405.3761,23.91606667,500.0761,90.61499,0.099876243,26.73491,27.49280333,999.9,0,0,9994.123333,0,1.290563333,-8.138734667,422.1480333,429.6092667,2.001107667,419.9788,22.41653667,2.212605,2.031275667,19.05386667,17.69024667,2000.013667,0.9800015,0.019998167,0,2.211743333,0,7047.063333,17300.27333,39.1208,39.5662,38.8162,38.25,38.437,1960.013667,40,0,1678467792,0,2.213603846,-0.589364098,4.714529904,7047.046923,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.01368175,-0.242858499,0.025160969,1,1,1,1-Jan,2.97233,2.75383,0.0890246,0.0916087,0.104291,0.0993597,35422.6,38477.9,35243.1,38422.1,44723.3,49954.3,55048.5,61599.4,1.98072,1.8182,0.0939965,0,25.8546,999.9,66.396,29.094,29.6265,56.1065,47.4159,1,0.0437017,-1.87895,20.1311,5.19872,12.0041,4.9756,3.29328,9999,999.9,9999,9999,1.86285,1.86789,1.86768,1.86874,1.86963,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.464,0.5012,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.7,-37.8,1.03149,2.60742,1.54785,2.30347,1.34644,2.43286,33.513,15.2003,18,506.881,402.685,23.1474,27.7224,29.9992,27.6629,27.6052,20.5757,32.0776,78.6336,23.7107,413.177,22.3272,102.147,102.551,NA,3
2,1510786928,5,20171115 17:02:07,17:02:07,5,ely_can10_t1_ch3,ozzie,1510786920,0.004115241,4.115241189,12.36206776,411.8308544,323.3516074,29.33277546,37.3591524,0.25956075,3.568408182,0.24950957,0.15681411,321.5204028,27.39749065,27.39749065,3.663573664,62.97147532,2.215871267,3.518849219,1.447702397,-181.4821364,-132.0737209,-7.991952897,-0.027407482,12.05917717,3.495354321,12.36206776,429.4149159,422.062103,-0.028279944,64.33578126,4.115241189,22.39395313,24.52525091,0.028009191,120.2688053,0,0,1,0,47928,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.027586,1681.223172,0.840599992,0.160757984,2.96,0.5,0: Broadleaf,2,TRUE,1510786920,411.8308621,419.8209655,24.42678966,22.40836552,405.3668621,23.92475862,500.0694828,90.61486897,0.099928131,26.71096552,27.41925517,999.9,0,0,9997.97069,0,1.300493103,-7.990105172,422.1424828,429.444069,2.018412069,419.8209655,22.40836552,2.21342931,2.030532414,19.05982414,17.68443793,2000.027586,0.980001517,0.019998148,0,2.1994,0,7047.346897,17300.4,39.11848276,39.562,38.81634483,38.25,38.437,1960.027586,40,0,1678467797,0,2.206648,-0.038846152,1.386153826,7047.394,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.016006341,0.104712544,0.032161392,1,1,1,1-Jan,2.97214,2.7537,0.088988,0.0911879,0.104654,0.0993021,35424.3,38495.7,35243.4,38422.1,44705.2,49957.7,55048.9,61599.7,1.98065,1.8176,0.0938699,0,25.8474,999.9,66.372,29.094,29.6186,55.5465,46.9752,1,0.0404141,-0.0930093,20.1483,5.19752,12.004,4.97535,3.29323,9999,999.9,9999,9999,1.8629,1.86792,1.86768,1.86874,1.86964,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.463,0.5072,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.6,-37.7,1.00586,2.6123,1.54785,2.30347,1.34644,2.30713,33.513,15.1915,18,506.861,402.371,23.7844,27.7255,29.9979,27.6663,27.6083,20.0933,33.1319,78.6336,23.7816,399.658,21.976,102.148,102.551,NA,3
3,1510786933,10,20171115 17:02:12,17:02:12,5,ely_can10_t1_ch3,ozzie,1510786925,0.004062046,4.062045939,12.27463208,411.3062781,322.5823103,29.26296729,37.31153811,0.256706815,3.568013237,0.246869903,0.155146089,321.51885,27.40146546,27.40146546,3.664426481,63.12275363,2.22020188,3.517276659,1.444224601,-179.1362259,-134.2844807,-8.12648162,-0.028338267,8.442002196,3.665101216,12.27463208,422.0263942,418.6882303,-0.875388147,64.33578126,4.062045939,22.2305136,24.56494667,0.001247397,120.2688053,0,0,1,0,47995,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.017857,1681.215,0.840599995,0.16075799,2.96,0.5,0: Broadleaf,2,TRUE,1510786925,411.3062857,417.1955714,24.47454643,22.3582,404.8455,23.97020714,500.0685357,90.61473571,0.099994629,26.70337143,27.39218214,999.9,0,0,9996.406071,0,1.488543571,-5.889220107,421.6253571,426.7367857,2.116331786,417.1955714,22.3582,2.217753214,2.025983571,19.091075,17.64878214,2000.017857,0.980001321,0.019998357,0,2.208585714,0,7047.791786,17300.32857,39.1115,39.562,38.812,38.24775,38.437,1960.017857,40,0,1678467802,0,2.194512,0.644930781,6.156153859,7047.9424,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.08464925,1.145224053,0.129232899,0,0,1,0/1,2.97232,2.75393,0.0883337,0.0890507,0.104725,0.0983936,35449.9,38586,35243.6,38422,44701.9,50008.1,55049.2,61599.6,1.98085,1.8168,0.0952929,0,25.8417,999.9,66.347,29.094,29.6091,55.2565,47.484,1,0.0403735,0.324807,20.1487,5.19737,12.004,4.975,3.29318,9999,999.9,9999,9999,1.86287,1.86792,1.86768,1.86874,1.86965,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.439,0.5084,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.5,-37.6,0.974121,2.6001,1.54785,2.30469,1.34644,2.43286,33.513,15.2003,18,507.024,401.933,23.9215,27.7296,29.9993,27.6694,27.6092,19.4008,34.4903,78.252,23.8657,379.491,21.6106,102.149,102.551,NA,3
4,1510786938,15,20171115 17:02:17,17:02:17,5,ely_can10_t1_ch3,ozzie,1510786930,0.004016176,4.016176321,12.39708164,408.3769183,317.9571115,28.84332308,37.04571141,0.253441414,3.567911781,0.243847876,0.153236607,321.5158227,27.42246718,27.42246718,3.668935395,63.17217006,2.223390092,3.519572131,1.445545303,-177.1133758,-136.1883445,-8.243254334,-0.029151969,-0.24817246,4.03450822,12.39708164,405.9829475,408.744,-2.19532674,64.33578126,4.016176321,21.82295205,24.43066727,-0.033013459,120.2688053,0,0,1,0,48103,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.998889,1681.199067,0.8406,0.160758001,2.96,0.5,0: Broadleaf,2,TRUE,1510786930,408.3769259,409.2052593,24.50975185,22.18022222,401.9342593,24.00372222,500.0771481,90.61454444,0.099964026,26.71445556,27.39492963,999.9,0,0,9996.021481,0,1.675455185,-0.828123444,418.6378148,418.4896296,2.329525556,409.2052593,22.18022222,2.22094,2.009851852,19.11413704,17.52140741,1999.998889,0.980001222,0.019998463,0,2.206407407,0,7049.384074,17300.17037,39.10166667,39.562,38.812,38.243,38.437,1959.998889,40,0,1678467807,0,2.184648,-0.555815374,27.66615381,7049.4848,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.235932,2.439571857,0.244570764,0,0,1,0/1,2.97225,2.75381,0.0866078,0.0861378,0.104295,0.0972742,35516.7,38709.3,35243.4,38422.1,44723.2,50070.3,55048.7,61599.8,1.98083,1.81675,0.096634,0,25.8402,999.9,66.323,29.104,29.6133,54.3965,47.1154,1,0.0410976,0.623568,20.148,5.19797,12.004,4.9754,3.29325,9999,999.9,9999,9999,1.86289,1.86792,1.86768,1.86874,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.376,0.5014,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.4,-37.5,0.938721,2.60986,1.54785,2.30347,1.34644,2.36206,33.513,15.1915,18,507.029,401.918,23.9945,27.7326,30.0002,27.6718,27.6112,18.7587,34.4903,78.252,23.9394,365.989,21.5458,102.148,102.552,NA,3
5,1510786943,20,20171115 17:02:22,17:02:22,5,ely_can10_t1_ch3,ozzie,1510786935,0.003959006,3.959005557,11.91016683,401.7244569,312.8079483,28.37596983,36.44191629,0.247662662,3.56886257,0.238495456,0.149855026,321.514632,27.4550317,27.4550317,3.675936331,62.972472,2.219023896,3.523799885,1.456912435,-174.592145,-138.565527,-8.387127326,-0.030167393,-10.50121357,4.343772542,11.91016683,388.0618545,394.5703455,-2.933560744,64.33578126,3.959005557,21.65181372,24.24781939,-0.035401422,120.2688053,0,0,1,0,47713,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.991429,1681.1928,0.840600003,0.160758005,2.96,0.5,0: Broadleaf,2,TRUE,1510786935,401.7244643,396.5415357,24.46183571,21.95358929,395.3227857,23.95811429,500.0723571,90.61373929,0.099971732,26.73485357,27.41069286,999.9,0,0,9999.9125,0,1.669647857,5.183120964,411.7987857,405.4462143,2.508246786,396.5415357,21.95358929,2.216578929,1.9892975,19.08250714,17.35838214,1999.991429,0.980001214,0.019998471,0,2.193285714,0,7051.891429,17300.10357,39.10025,39.562,38.8165,38.22975,38.437,1959.991429,40,0,1678467812,0,2.193376923,-0.204287173,38.25162399,7052.199231,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.4023395,2.45271197,0.247384734,0,0,1,0/1,2.97237,2.75386,0.0841987,0.0832106,0.103768,0.0969595,35610.3,38832.9,35243.4,38421.8,44750.1,50087.7,55048.9,61599.7,1.9808,1.81628,0.097394,0,25.8402,999.9,66.298,29.094,29.5885,55.3065,47.1354,1,0.0416794,0.742715,20.1475,5.19767,12.004,4.9753,3.2932,9999,999.9,9999,9999,1.86289,1.86793,1.86768,1.86874,1.86965,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.289,0.4927,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.3,-37.4,0.908203,2.60254,1.54785,2.30347,1.34644,2.36816,33.513,15.1915,18,507.028,401.672,24.0323,27.7359,30.0005,27.6736,27.6138,18.1787,34.7817,77.8788,23.9982,345.632,21.6891,102.148,102.551,NA,3
6,1510786948,25,20171115 17:02:27,17:02:27,5,ely_can10_t1_ch3,ozzie,1510786940,0.003990798,3.990798201,11.70613196,389.9461409,302.4256591,27.43388756,35.3731182,0.247131154,3.565082498,0.23799318,0.149538597,321.5143449,27.46628814,27.46628814,3.678359023,62.55510938,2.20657818,3.52741479,1.471780843,-175.9942007,-137.2333102,-8.31648991,-0.029655923,-19.47751212,4.541007995,11.70613196,371.6882956,379.101097,-3.100431858,64.33578126,3.990798201,21.53852002,24.10011939,-0.029335749,120.2688053,0,0,1,0,47991,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.98963,1681.191289,0.840600003,0.160758006,2.96,0.5,0: Broadleaf,2,TRUE,1510786940,389.9461481,379.4655926,24.32487407,21.70245185,383.6169259,23.82773333,500.0881852,90.61275556,0.100074989,26.75227778,27.42511111,999.9,0,0,9984.907778,0,1.65492,10.48076667,399.6698519,387.8856296,2.622421111,379.4655926,21.70245185,2.204144074,1.966519259,18.99222593,17.17698889,1999.98963,0.980001222,0.019998463,0,2.169281481,0,7055.15963,17300.08148,39.09466667,39.562,38.81666667,38.229,38.437,1959.98963,40,0,1678467817,0,2.179396154,0.214615384,33.19623935,7055.080385,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.514354634,1.438039443,0.17904016,0,0,1,0/1,2.97212,2.75356,0.0815642,0.0804344,0.10334,0.0966261,35712.3,38949.7,35243.1,38421.1,44771.3,50105.4,55048.4,61598.8,1.98067,1.8162,0.0972077,0,25.8402,999.9,66.256,29.094,29.569,55.5865,47.3838,1,0.0420681,0.778622,20.1474,5.19752,12.004,4.97505,3.29328,9999,999.9,9999,9999,1.86289,1.86791,1.86768,1.86874,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.197,0.4858,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.3,-37.4,0.874023,2.60986,1.54785,2.30347,1.34644,2.40967,33.513,15.1915,18,506.965,401.653,24.0622,27.739,30.0004,27.676,27.617,17.4796,34.2153,77.8788,24.0462,332.21,21.7575,102.147,102.55,NA,3
7,1510786953,30,20171115 17:02:32,17:02:32,5,ely_can10_t1_ch3,ozzie,1510786945,0.003976168,3.97616751,11.17278809,376.6457431,291.8270376,26.47239942,34.16652765,0.243465701,3.568112798,0.234598791,0.147393996,321.515031,27.47891887,27.47891887,3.681079162,62.14455702,2.193391655,3.52949922,1.487687507,-175.3489872,-137.8483068,-8.347610671,-0.029873687,-23.24311155,4.47000929,11.17278809,355.0489481,363.2300242,-3.195666158,64.33578126,3.97616751,21.56062165,24.00113333,-0.016417545,120.2688053,0,0,1,0,47876,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.993929,1681.1949,0.840600002,0.160758004,2.96,0.5,0: Broadleaf,2,TRUE,1510786945,376.64575,363.8845714,24.17956071,21.59771429,370.3982143,23.68939643,500.0801786,90.61268571,0.09994885,26.76231786,27.43086429,999.9,0,0,9997.030357,0,1.66354,12.76128857,385.9803929,371.9178929,2.581852143,363.8845714,21.59771429,2.190975357,1.957026786,18.89627857,17.10081071,1999.993929,0.980001214,0.019998471,0,2.177489286,0,7057.641071,17300.11429,39.09575,39.562,38.8165,38.2275,38.437,1959.993929,40,0,1678467822,0,2.177723077,-0.135705993,29.42153851,7057.703846,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.587064,-0.445970882,0.075489319,1,1,1,1-Jan,2.97251,2.75395,0.0788098,0.0774561,0.103072,0.0969318,35819.4,39075.5,35243.1,38420.9,44784.8,50087.8,55048.5,61598.2,1.98065,1.81607,0.0976771,0,25.8415,999.9,66.256,29.104,29.5815,55.5365,46.899,1,0.0423679,0.747187,20.1477,5.19812,12.004,4.97525,3.29328,9999,999.9,9999,9999,1.86291,1.86788,1.86768,1.86874,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.103,0.4813,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.2,-37.3,0.842285,2.6123,1.54785,2.30347,1.34644,2.28027,33.5355,15.1827,18,506.975,401.605,24.0957,27.742,30.0003,27.6789,27.6201,16.8487,33.909,77.8788,24.0942,318.783,21.7762,102.147,102.549,NA,3
8,1510786958,35,20171115 17:02:37,17:02:37,5,ely_can10_t1_ch3,ozzie,1510786950,0.003979461,3.979461296,10.6807321,360.6014749,278.9089668,25.30066039,32.71123032,0.241639082,3.565549734,0.232896118,0.146319239,321.513872,27.48507329,27.48507329,3.682405206,61.81308583,2.182512703,3.53082632,1.499892503,-175.4942431,-137.7040893,-8.345394874,-0.029855342,-24.92035115,4.267624662,10.6807321,338.3617894,347.0596606,-3.242624895,64.33578126,3.979461296,21.68839777,23.98686061,5.23E-05,120.2688053,0,0,1,0,47937,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.986667,1681.1888,0.840600004,0.160758008,2.96,0.5,0: Broadleaf,2,TRUE,1510786950,360.6014815,346.7621481,24.05954444,21.59433704,354.4522963,23.57512593,500.0895556,90.61291852,0.100050237,26.76870741,27.43764815,999.9,0,0,9986.757407,0,1.682249259,13.83936296,369.4923333,354.4148519,2.465214815,346.7621481,21.59433704,2.180107037,1.956724815,18.81679259,17.09838148,1999.986667,0.980001111,0.019998581,0,2.17927037,0,7060.470741,17300.04815,39.083,39.562,38.812,38.236,38.43240741,1959.986667,40,0,1678467827,0,2.167456,-0.091730775,34.0153847,7060.778,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.5361575,-1.257945816,0.126417379,0,0,1,0/1,2.9722,2.75374,0.0759486,0.0745518,0.103046,0.0971734,35930.1,39198.2,35242.6,38420.6,44785.5,50074,55047.7,61597.8,1.98057,1.81618,0.0979677,0,25.8426,999.9,66.231,29.104,29.5725,55.8165,47.5801,1,0.0424797,0.708233,20.1476,5.19797,12.004,4.97545,3.29343,9999,999.9,9999,9999,1.86287,1.86786,1.86768,1.86874,1.86966,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.006,0.481,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37.1,-37.2,0.808105,2.6062,1.54785,2.30347,1.34644,2.44141,33.513,15.1915,18,506.951,401.688,24.1358,27.7452,30.0002,27.6818,27.624,16.1432,33.6378,77.5035,24.1403,298.467,21.7804,102.146,102.548,NA,3
9,1510786963,40,20171115 17:02:42,17:02:42,5,ely_can10_t1_ch3,ozzie,1510786955,0.003982274,3.982274273,10.25016118,345.9528151,267.3345441,24.25059924,31.38226339,0.240933249,3.57052219,0.232251935,0.14591138,321.515886,27.48738263,27.48738263,3.682902889,61.66444558,2.177757664,3.531626115,1.505145225,-175.6182955,-137.5996122,-8.327706124,-0.029727746,-25.87376997,4.105219424,10.25016118,322.1211917,331.0071515,-3.227227425,64.33578126,3.982274273,21.69594352,23.99402909,0.000282371,120.2688053,0,0,1,0,48166,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.999286,1681.1994,0.8406,0.160758,2.96,0.5,0: Broadleaf,2,TRUE,1510786955,345.9528214,331.47875,24.00723571,21.63568929,339.8931786,23.52532143,500.0841071,90.61263929,0.099914611,26.77255714,27.44429643,999.9,0,0,10006.67214,0,1.699006429,14.47409286,354.4628214,338.8081429,2.371554643,331.47875,21.63568929,2.175360714,1.960466071,18.78198214,17.12853929,1999.999286,0.980001214,0.019998471,0,2.184339286,0,7063.391786,17300.15714,39.07775,39.562,38.812,38.23875,38.42371429,1959.999286,40,0,1678467832,0,2.17152,0.406330768,41.86846164,7063.8548,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.4429035,-1.313868068,0.131500601,0,0,1,0/1,2.97223,2.75409,0.0730438,0.0713095,0.103065,0.0972157,36042.9,39335.6,35242.6,38420.7,44784.5,50071.8,55047.7,61598.1,1.98048,1.81603,0.0988841,0,25.8448,999.9,66.207,29.104,29.5614,55.2865,47.0593,1,0.0426067,0.713336,20.148,5.19827,12.004,4.97525,3.29355,9999,999.9,9999,9999,1.86289,1.86787,1.86768,1.86874,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.91,0.4813,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-37,-37.1,0.775146,2.61963,1.54785,2.30347,1.34644,2.35718,33.5355,15.1827,18,506.911,401.621,24.1747,27.7485,30.0002,27.6847,27.6263,15.4864,33.6378,77.5035,24.176,284.958,21.7778,102.146,102.548,NA,3
10,1510786968,45,20171115 17:02:47,17:02:47,5,ely_can10_t1_ch3,ozzie,1510786960,0.003944425,3.944424744,9.689053561,329.219994,254.0005484,23.04090274,29.86421056,0.237854646,3.569120169,0.22938638,0.14410221,321.514404,27.50098054,27.50098054,3.685834546,61.60711391,2.176393684,3.532698655,1.509440862,-173.9491312,-139.1689261,-8.426781919,-0.030435212,-27.03936929,3.972096079,9.689053561,304.1996411,314.1543212,-3.383370104,64.33578126,3.944424744,21.7282148,24.00394061,0.000337583,120.2688053,0,0,1,0,47815,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.99,1681.1916,0.840600003,0.160758006,2.96,0.5,0: Broadleaf,2,TRUE,1510786960,329.22,313.9893333,23.99234074,21.69765185,323.2623333,23.51113704,500.0815926,90.61198889,0.100030748,26.77771852,27.45501481,999.9,0,0,10001.13593,0,1.71009,15.23067037,337.3128519,320.953,2.294697778,313.9893333,21.69765185,2.173994815,1.966066667,18.77195556,17.17366667,1999.99,0.980001111,0.019998581,0,2.180396296,0,7067.684074,17300.07778,39.07133333,39.562,38.812,38.24533333,38.40714815,1959.99,40,0,1678467837,0,2.184612,0.323684617,53.43615378,7067.7596,15,0,--:--:--,1510789183,1510789189,0,0.162,0.105,6.819,0.832,420,33,0.31,0.18,2.3456125,-0.808344991,0.090618812,1,1,1,1-Jan,2.9723,2.75383,0.0699398,0.0681882,0.103093,0.0972822,36163.4,39467,35242.4,38420,44782.8,50067.2,55047.5,61597.1,1.98037,1.8159,0.0983998,0,25.847,999.9,66.182,29.124,29.5861,55.9565,47.2196,1,0.042876,0.715346,20.1478,5.19752,12.004,4.9751,3.29318,9999,999.9,9999,9999,1.86289,1.86786,1.86768,1.86875,1.86966,1.86569,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.81,0.4818,4.072143523,0.005439542,1.52E-06,-9.37E-10,-0.015045155,-0.020396043,0.002300576,-2.28E-05,-3,1612,1,28,-36.9,-37,0.738525,2.61597,1.54785,2.30347,1.34644,2.34497,33.5355,15.1915,18,506.87,401.576,24.2062,27.7514,30.0001,27.6877,27.6298,14.7755,33.6378,77.5035,24.2068,264.812,21.7732,102.145,102.547,NA,3
