obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
25,1678810593,273.5,20230314 11:16:32,11:16:32,5,bou_cur14_t3_ch3,stan,1678810585,0.002293537,2.293537215,11.5310513,412.2359929,266.096604,24.24397788,37.55869162,0.137216941,3.580726893,0.134361257,0.084227407,321.5138008,27.99679131,27.49733667,3.685048741,61.19112359,2.179869681,3.562395252,1.50517906,-101.1449912,-111.4347346,-6.730244882,102.2038301,11.4275426,2.316381184,11.5310513,429.269923,422.2989152,-0.002611279,64.39816625,2.293537215,22.57765835,23.90529091,-0.000301866,112.6110814,0,0,1,0,48122,1999.987667,1681.18952,0.840599944,0.160757892,2.96,0.5,0: Broadleaf,2,TRUE,1678810585,412.236,419.5655,23.92577333,22.58745,415.7529,24.05430333,500.0616333,91.00975,0.099935397,26.92008667,27.49733667,999.9,0,0,10003.68633,0,5.421216333,-7.329431667,422.3410333,429.2614667,1.338335667,419.5655,22.58745,2.177479333,2.055677333,18.79757333,17.87983333,1999.987667,0.9800019,0.019998123,0,2.317183333,0,5952.119,16749.37667,37,38.0124,37.187,37.062,36.3162,1959.991,39.996,0,1678810598,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,-7.313701707,-0.312588084,0.052903791,0,1.34306561,-0.095474843,0.015816437,1,1,2,2-Jan,2.98346,2.71574,0.0943353,0.0940827,0.108041,0.101687,28832.1,28931.7,29586.1,29534.2,34963.2,35243.1,41686.6,42064.7,1.97537,1.9057,0.11934,0,25.561,999.9,53.2,31.9,27.7572,63.0996,32.9087,1,-0.0956453,-0.0410131,20.3408,5.22014,12.0099,4.9899,3.28885,9999,9999,9999,999.9,1.86795,1.86696,1.86644,1.86631,1.86815,1.87057,1.86929,1.87073,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.517,-0.1287,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.3,5480.2,1.05713,2.23145,1.39771,2.34741,1.49536,2.54028,39.2173,23.9036,18,529.121,440.532,25.2799,26.2709,30,26.3151,26.2727,21.1643,26.2594,96.2439,25.2602,419.593,22.6591,101.192,101.047,NA,3
26,1678810598,278.5,20230314 11:16:37,11:16:37,5,bou_cur14_t3_ch3,stan,1678810590,0.002256695,2.256694729,11.94947226,412.2057858,258.4178876,23.54414693,37.55557974,0.13455248,3.582833968,0.131807005,0.082621382,321.5171105,28.0080069,27.51184828,3.688179052,61.13903353,2.17850879,3.563204494,1.509670261,-99.52023753,-113.5567721,-6.855004255,101.5850966,11.36942214,2.299138455,11.94947226,429.4808538,422.2482303,-0.000908433,64.39816625,2.256694729,22.58317661,23.89104606,-0.000479457,112.6110814,0,0,1,0,48084,2000.007586,1681.20632,0.840599972,0.160757945,2.96,0.5,0: Broadleaf,2,TRUE,1678810590,412.2057931,419.4968966,23.91106552,22.58263793,415.7226207,24.03971724,500.0441379,91.00894828,0.099864452,26.92395172,27.51184828,999.9,0,0,10012.18172,0,5.561055517,-7.291028621,422.3037241,429.1891379,1.328437586,419.4968966,22.58263793,2.176121034,2.055221034,18.78758276,17.87629655,2000.007586,0.980001034,0.019999066,0,2.297765517,0,5952.099655,16749.53793,37,38,37.187,37.062,36.312,1960.009655,39.99827586,0,1678810602,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,-7.318774146,0.022322718,0.162311268,1,1.337040488,-0.123597909,0.013966391,0,1,2,2-Jan,2.98349,2.71569,0.0943151,0.0936912,0.107992,0.101749,28832.5,28944.6,29585.8,29534.6,34964.6,35242.3,41686,42066.7,1.9757,1.90545,0.11909,0,25.5637,999.9,53.2,31.9,27.7562,63.0496,32.7003,1,-0.0956707,-0.013878,20.3405,5.21804,12.0099,4.9889,3.28833,9999,9999,9999,999.9,1.86793,1.86697,1.86644,1.8663,1.86814,1.87058,1.8693,1.87073,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.517,-0.1288,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.4,5480.3,1.03271,2.23633,1.39648,2.34863,1.49536,2.41821,39.2173,23.8949,18,529.331,440.372,25.2611,26.2708,30,26.3145,26.2716,20.63,26.2594,96.2439,25.2493,399.549,22.7024,101.191,101.05,NA,3
27,1678810603,283.5,20230314 11:16:42,11:16:42,5,bou_cur14_t3_ch3,stan,1678810595,0.002230688,2.230687512,11.8709795,411.761207,257.088306,23.42286082,37.51483525,0.132813614,3.582583925,0.130137699,0.081571992,321.5195222,28.0169266,27.51415714,3.688677313,61.09256136,2.17726709,3.563882478,1.511410223,-98.37331929,-113.3694751,-6.844365117,102.9323627,7.697435549,2.278005979,11.8709795,422.4076808,419.047,-0.814953236,64.39816625,2.230687512,22.58694068,23.87765394,-0.000222815,112.6110814,0,0,1,0,48239,2000.021429,1681.218053,0.84060002,0.160758039,2.96,0.5,0: Broadleaf,2,TRUE,1678810595,411.7612143,416.8727857,23.89758929,22.58139286,415.2764643,24.02636429,500.059,91.00832143,0.099909786,26.92718929,27.51415714,999.9,0,0,10011.25286,0,5.622908929,-5.111596143,421.8423929,426.5038571,1.316208929,416.8727857,22.58139286,2.17488,2.055093929,18.77845714,17.87531429,2000.021429,0.979999786,0.020000346,0,2.294882143,0,5952.075,16749.63571,37,38,37.187,37.0665,36.312,1960.020714,40.00178571,0,1678810608,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,-5.7375063,23.49307229,3.017167573,0,1.32090425,-0.142135047,0.015734737,0,0,2,0/2,2.98359,2.71554,0.0936723,0.0915061,0.107959,0.101783,28852.8,29014.7,29585.6,29534.9,34965.7,35240.6,41685.7,42066.4,1.9756,1.90558,0.119366,0,25.5665,999.9,53.2,32,27.9128,62.9096,32.7083,1,-0.0957114,0.0321596,20.3403,5.21834,12.0099,4.98915,3.28845,9999,9999,9999,999.9,1.86789,1.86697,1.86645,1.8663,1.86813,1.87058,1.86928,1.87072,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.504,-0.129,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.4,5480.4,1.00342,2.229,1.39771,2.34863,1.49536,2.54639,39.2173,23.8949,18,529.25,440.447,25.243,26.2686,29.9999,26.3129,26.2716,20.0331,25.9819,96.2439,25.2295,386.194,22.7413,101.19,101.05,NA,3
28,1678810608,288.5,20230314 11:16:47,11:16:47,5,bou_cur14_t3_ch3,stan,1678810600,0.002147862,2.147862158,11.99752653,408.994437,246.9979089,22.50370681,37.26303166,0.127578654,3.579879427,0.125105585,0.078409193,321.5221553,28.03781622,27.52047037,3.690040029,61.05463864,2.176203471,3.564354027,1.513836559,-94.72072117,-114.0678081,-6.892022604,105.8416034,-0.647519083,2.23110174,11.99752653,407.4400649,409.6777515,-2.023013781,64.39816625,2.147862158,22.6367892,23.87720788,7.10E-05,112.6110814,0,0,1,0,48023,2000.036296,1681.230677,0.840600083,0.16075816,2.96,0.5,0: Broadleaf,2,TRUE,1678810600,408.9944444,409.1512963,23.88574074,22.59665556,412.5003704,24.01461481,500.0692222,91.00892593,0.099970144,26.92944074,27.52047037,999.9,0,0,10000.3963,0,5.748519259,-0.156826,419.0027407,418.6102222,1.289087407,409.1512963,22.59665556,2.173815556,2.056497407,18.77062593,17.88614815,2000.036296,0.979997889,0.020002274,0,2.2214,0,5952.112963,16749.74444,37,38,37.187,37.06666667,36.312,1960.031852,40.0062963,0,1678810613,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,-2.697457366,53.14703693,5.778286203,0,1.30315439,-0.281081185,0.030464561,0,0,2,0/2,2.98326,2.7156,0.0919904,0.0887366,0.10796,0.101956,28906.6,29102.7,29585.9,29534.4,34966.1,35233.5,41686.2,42066.2,1.97578,1.90558,0.118956,0,25.5686,999.9,53.2,32,27.9122,63.1596,33.097,1,-0.0957216,0.0501362,20.3406,5.21819,12.0099,4.9894,3.2885,9999,9999,9999,999.9,1.86791,1.86694,1.86643,1.8663,1.86813,1.87057,1.86926,1.87072,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.472,-0.129,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.5,5480.4,0.968018,2.23877,1.39648,2.34985,1.49536,2.40967,39.1924,23.8861,18,529.366,440.448,25.2209,26.2686,29.9999,26.3129,26.2716,19.3315,25.7041,96.2439,25.211,366.131,22.774,101.191,101.049,NA,3
29,1678810613,293.5,20230314 11:16:52,11:16:52,5,bou_cur14_t3_ch3,stan,1678810605,0.002121191,2.121190891,11.65526408,402.7777071,243.4341202,22.17914194,36.69684401,0.125987272,3.578444232,0.123573939,0.07744669,321.5177602,28.04409129,27.51813214,3.68953527,61.04710019,2.175951028,3.564380652,1.513584242,-93.54451828,-113.5464608,-6.863198244,107.5635828,-10.60845327,2.152079205,11.65526408,391.0421311,396.6245515,-2.69096696,64.39816625,2.121190891,22.73641374,23.90197576,0.007301061,112.6110814,0,0,1,0,48085,2000.01,1681.208485,0.84060004,0.160758076,2.96,0.5,0: Broadleaf,2,TRUE,1678810605,402.7777143,397.0115714,23.88283214,22.639425,406.2628571,24.01173214,500.0789286,91.00941429,0.100007518,26.92956786,27.51813214,999.9,0,0,9994.618571,0,5.99654,5.766137786,412.6325,406.207,1.243396429,397.0115714,22.639425,2.1735625,2.060401429,18.76876786,17.91626429,2000.01,0.979999036,0.020001068,0,2.27575,0,5952.088929,16749.525,37,38,37.187,37.0665,36.321,1960.008214,40.00285714,0,1678810617,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,2.61239845,76.68899135,7.467137899,0,1.263791,-0.561035572,0.055566993,0,0,2,0/2,2.98355,2.71556,0.0896816,0.0857979,0.108047,0.102251,28980.3,29196.4,29586.1,29534.3,34962.7,35221.6,41686.5,42066.2,1.97547,1.90587,0.118777,0,25.5707,999.9,53.1,32,27.8597,63.0196,32.8165,1,-0.0958943,0.067677,20.3406,5.21864,12.0099,4.98945,3.2885,9999,9999,9999,999.9,1.86793,1.86692,1.86643,1.8663,1.86813,1.87057,1.8693,1.87068,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.428,-0.1287,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.6,5480.5,0.936279,2.23633,1.39648,2.34863,1.49536,2.54639,39.2173,23.9036,18,529.167,440.625,25.2002,26.2686,30.0002,26.3129,26.2711,18.698,25.7041,96.2439,25.1919,352.769,22.7719,101.192,101.049,NA,3
30,1678810618,298.5,20230314 11:16:57,11:16:57,5,bou_cur14_t3_ch3,stan,1678810610,0.002126796,2.126795868,11.75423762,391.6141409,231.7862211,21.1177981,35.67955128,0.126391268,3.578073978,0.123962348,0.077690808,321.5111254,28.04232127,27.52024444,3.689991256,61.08401749,2.177185245,3.564246974,1.512806011,-93.79169776,-114.0652926,-6.895322776,106.7588123,-19.72294161,2.073618558,11.75423762,374.0830407,381.446703,-3.082998884,64.39816625,2.126795868,22.75999766,23.93771939,0.006210571,112.6110814,0,0,1,0,48128,1999.97,1681.174755,0.840599987,0.160757974,2.96,0.5,0: Broadleaf,2,TRUE,1678810610,391.6141481,380.4205926,23.8965037,22.69843704,395.061963,24.02528519,500.0753704,91.00894074,0.100004396,26.92892963,27.52024444,999.9,0,0,9993.194074,0,6.274582963,11.19360444,401.2011111,389.2550741,1.198060741,380.4205926,22.69843704,2.174795926,2.06576037,18.77783333,17.95755185,1999.97,0.980001222,0.019998822,0,2.280688889,0,5952.101481,16749.20741,37,38,37.18240741,37.062,36.33066667,1959.972222,39.99851852,0,1678810623,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,7.114268244,65.31212849,6.648956636,0,1.22967122,-0.548536098,0.056217902,0,0,2,0/2,2.98341,2.71563,0.0869807,0.0828139,0.10815,0.102292,29066.1,29291.6,29585.9,29534.3,34958.3,35219.9,41686.2,42066.2,1.97558,1.90555,0.119053,0,25.5713,999.9,53.1,32,27.8601,63.0296,33.0008,1,-0.0959731,0.0687091,20.3406,5.21894,12.0099,4.9896,3.28848,9999,9999,9999,999.9,1.86794,1.86693,1.86642,1.8663,1.86813,1.87057,1.86925,1.87071,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.378,-0.1284,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.7,5480.6,0.897217,2.19604,1.39648,2.34863,1.49536,2.41577,39.2173,23.8949,18,529.228,440.415,25.1804,26.2686,30,26.3123,26.2694,17.9771,25.7041,96.2439,25.1749,332.731,22.768,101.191,101.049,NA,3
31,1678810623,303.5,20230314 11:17:02,11:17:02,5,bou_cur14_t3_ch3,stan,1678810615,0.002084561,2.084561102,11.66601081,378.7146714,217.5916361,19.82421809,34.50372623,0.12402734,3.579615604,0.121688508,0.076261779,321.5146324,28.04963886,27.51906786,3.689737258,61.14843781,2.179308314,3.563964007,1.510428943,-91.92914462,-114.1481082,-6.89727018,108.5401095,-24.03642874,2.041982489,11.66601081,357.1677279,365.3304242,-3.241829815,64.39816625,2.084561102,22.76762131,23.96013576,0.001435233,112.6110814,0,0,1,0,48174,1999.991429,1681.1928,0.840600003,0.160758005,2.96,0.5,0: Broadleaf,2,TRUE,1678810615,378.7146786,364.9450714,23.9202,22.74044643,382.1193214,24.04877857,500.078,91.00745714,0.099988214,26.92757857,27.51906786,999.9,0,0,9999.505357,0,6.409415714,13.76953821,387.9951071,373.4366429,1.179752143,364.9450714,22.74044643,2.176917143,2.06955,18.793425,17.98671786,1999.991429,0.980000964,0.019999089,0,2.328367857,0,5952.195714,16749.38929,37,38,37.18257143,37.062,36.33225,1959.991071,40,0,1678810628,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,11.54660707,37.48275533,3.906966858,0,1.201376098,-0.306702648,0.03989129,0,0,2,0/2,2.98368,2.71557,0.0840811,0.0797146,0.108216,0.102303,29158.3,29390.3,29585.9,29534,34955.8,35219.3,41686.3,42066.1,1.97563,1.9058,0.119187,0,25.5724,999.9,53.1,32,27.8597,63.0996,32.5481,1,-0.0957317,0.0985839,20.3403,5.21849,12.0099,4.9895,3.28845,9999,9999,9999,999.9,1.86795,1.86693,1.86641,1.8663,1.86813,1.87057,1.86926,1.87072,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.325,-0.1282,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.8,5480.7,0.86792,2.23267,1.39648,2.34863,1.49536,2.52197,39.2173,23.8949,18,529.246,440.567,25.163,26.2686,30.0001,26.3107,26.2694,17.3363,25.7041,95.8728,25.1538,319.372,22.7655,101.192,101.049,NA,3
32,1678810628,308.5,20230314 11:17:07,11:17:07,5,bou_cur14_t3_ch3,stan,1678810620,0.002079284,2.079283965,11.48291654,362.7386596,204.3125873,18.61434154,33.04809259,0.123929709,3.578690457,0.121593929,0.076202399,321.5141899,28.04960733,27.51825926,3.689562709,61.22382352,2.181810203,3.563662113,1.507752506,-91.69642286,-114.2407219,-6.904573151,108.6724719,-26.57520758,2.049207065,11.48291654,340.2044532,348.805,-3.311442166,64.39816625,2.079283965,22.77261315,23.97063091,0.000394189,112.6110814,0,0,1,0,48106,1999.988519,1681.190367,0.840600009,0.160758018,2.96,0.5,0: Broadleaf,2,TRUE,1678810620,362.7386667,347.4484074,23.94773333,22.76382593,366.0896667,24.07607037,500.0724074,91.00712593,0.100043693,26.92613704,27.51825926,999.9,0,0,9995.851852,0,6.41249963,15.2902037,371.6382593,355.5418148,1.183911111,347.4484074,22.76382593,2.179415185,2.071670741,18.81179259,18.00301481,1999.988519,0.980001333,0.019998715,0,2.2617,0,5952.156667,16749.37037,37,38,37.18240741,37.062,36.32366667,1959.987407,40.00037037,0,1678810632,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,14.3677575,16.87462176,1.735709977,0,1.18317425,0.059208068,0.016716044,1,1,2,2-Jan,2.98345,2.71574,0.0810584,0.0766035,0.108251,0.10233,29254.4,29489.7,29585.7,29534,34954.2,35217.9,41686.2,42065.8,1.9755,1.90537,0.118744,0,25.5745,999.9,53.1,32,27.8592,63.1096,33.2332,1,-0.095907,0.111607,20.3406,5.21954,12.0099,4.98985,3.28865,9999,9999,9999,999.9,1.86793,1.86694,1.86639,1.8663,1.86813,1.87057,1.86926,1.87071,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.27,-0.1281,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.9,5480.8,0.828857,2.19971,1.39648,2.34863,1.49536,2.46216,39.2173,23.8861,18,529.163,440.309,25.1416,26.2686,30.0001,26.3107,26.2694,16.6035,25.7041,95.8728,25.1337,299.266,22.7611,101.191,101.048,NA,3
33,1678810633,313.5,20230314 11:17:12,11:17:12,5,bou_cur14_t3_ch3,stan,1678810625,0.002075413,2.075413266,11.03862322,347.7659575,195.3995357,17.80239585,31.68414508,0.123837547,3.580175017,0.121506152,0.076147156,321.5195449,28.04917033,27.51703571,3.689298601,61.26780375,2.183267366,3.563482338,1.506031236,-91.52572503,-114.2176472,-6.900244274,108.8759284,-27.63575151,2.065192112,11.03862322,323.2426758,332.1922788,-3.328460877,64.39816625,2.075413266,22.77809486,23.97657515,6.32E-05,112.6110814,0,0,1,0,48176,2000.021429,1681.218065,0.840600026,0.16075805,2.96,0.5,0: Broadleaf,2,TRUE,1678810625,347.7659643,331.83325,23.96359643,22.77048571,351.0663929,24.09179286,500.0776429,91.007675,0.099992089,26.92527857,27.51703571,999.9,0,0,10001.71286,0,6.420154643,15.93261786,356.3040357,339.5652857,1.193113571,331.83325,22.77048571,2.180871786,2.072289643,18.82248929,18.00776429,2000.021429,0.980000429,0.019999611,0,2.294492857,0,5952.060357,16749.64286,37,38,37.17592857,37.062,36.31425,1960.018571,40.00214286,0,1678810638,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,15.38835854,9.2748,0.960871367,0,1.185008293,0.129841882,0.01403418,0,0,2,0/2,2.98354,2.71552,0.0779499,0.0733895,0.108266,0.102327,29353.1,29592.5,29585.5,29534.2,34953,35218.1,41685.6,42065.9,1.97543,1.90532,0.118155,0,25.5778,999.9,53.1,32,27.8613,63.0896,32.6643,1,-0.0957876,0.109513,20.3406,5.21849,12.0099,4.9893,3.28848,9999,9999,9999,999.9,1.86795,1.86694,1.8664,1.8663,1.86813,1.87057,1.86925,1.87071,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.215,-0.1281,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5480.9,5480.9,0.795898,2.20947,1.39648,2.34985,1.49536,2.53418,39.2173,23.8949,18,529.114,440.272,25.1237,26.2686,30.0001,26.3107,26.2684,15.9439,25.7041,95.8728,25.1192,285.899,22.7626,101.19,101.049,NA,3
34,1678810638,318.5,20230314 11:17:17,11:17:17,5,bou_cur14_t3_ch3,stan,1678810630,0.002081409,2.081409111,10.81225723,330.6939563,182.2325233,16.60296194,30.12908492,0.124296476,3.578819667,0.121947074,0.076424307,321.5123628,28.04746602,27.51606667,3.689089439,61.29557737,2.18415714,3.563319302,1.5049323,-91.79014178,-114.137657,-6.897962972,108.686601,-28.31042758,2.074609832,10.81225723,306.3577127,315.4929879,-3.338752791,64.39816625,2.081409111,22.77548567,23.97788788,7.84E-06,112.6110814,0,0,1,0,48029,1999.978148,1681.181567,0.840599968,0.160757938,2.96,0.5,0: Broadleaf,2,TRUE,1678810630,330.693963,314.3428148,23.9731,22.77455556,333.9365926,24.10121481,500.0757407,91.00864444,0.100020667,26.9245,27.51606667,999.9,0,0,9996.20037,0,6.419056296,16.35105926,338.8162222,321.6687037,1.198543333,314.3428148,22.77455556,2.18176,2.072681852,18.82901111,18.01077407,1999.978148,0.980002778,0.019997215,0,2.274337037,0,5951.636296,16749.29259,37,38,37.16862963,37.062,36.312,1959.98037,39.99740741,0,1678810643,0,0,--:--:--,1678481776,1678481781,0,1.339,0.082,-1.99,-0.032,420,29,0.33,0.22,16.03150732,5.188795819,0.536577689,0,1.194380488,0.064503763,0.007384982,1,1,2,2-Jan,2.9834,2.71548,0.0747685,0.0701281,0.108271,0.102343,29454.6,29696.7,29585.7,29534.2,34953,35217.7,41685.8,42066.3,1.9759,1.90537,0.118531,0,25.58,999.9,53.1,32,27.8629,63.2196,33.2452,1,-0.0956301,0.114815,20.3405,5.21789,12.0099,4.98945,3.28842,9999,9999,9999,999.9,1.86796,1.86695,1.86643,1.8663,1.86814,1.87057,1.86926,1.87069,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.16,-0.128,-2.056217051,-0.003737517,5.98E-07,-1.39E-10,-0.176463983,-0.020359822,0.001568583,-2.66E-05,3,2314,1,27,5481,5480.9,0.760498,2.24854,1.39648,2.34985,1.49536,2.48413,39.2173,23.8949,18,529.429,440.292,25.1076,26.2686,30,26.3107,26.2672,15.182,25.7041,95.8728,25.1031,265.636,22.7631,101.191,101.049,NA,3
