obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt..Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID.1,Duration,Fo.1,F1,F2,Fmax,T.HIR,T.F1,T.F2,T.Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccH2O_des,AccCO2_soda,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1510788721,0,20171115 17:32:00,17:32:00,5,ely_can14_t3_ch3,ozzie,1510788713,0.002515227,2.515226719,8.757678004,414.7018951,310.1692447,28.20338361,37.70843445,0.150888667,3.672113455,0.14752696,0.092500148,321.520621,27.73494934,27.73494934,3.736597284,63.50758491,2.237248984,3.522805957,1.4993483,-110.9214983,-198.9389283,-11.71896441,-0.058769962,8.742637149,2.5141433,8.757678004,430.0661708,425.198103,0.005787751,64.1108677,2.515226719,23.27891268,24.60357273,-9.59E-06,117.0155887,0,0,1,0,47985,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.025333,1681.221579,0.840600142,0.160758274,2.7,0.5,0: Broadleaf,2,TRUE,1510788713,414.7019,419.9850333,24.60434667,23.28034,408.2237333,24.09792333,500.0857,90.82900333,0.10001074,26.73006,27.51581333,999.9,0,0,9991.681667,0,3.105182667,-5.282992333,425.1628,429.9952667,1.324006667,419.9850333,23.28034,2.234788333,2.114530667,19.21391,18.32907333,2000.025333,0.9799973,0.020002847,0,2.219936667,0,5843.399333,17300.36667,38.87913333,39.4958,38.625,38.312,38.25,1960.016333,40.01,0,1678812324,0,2.244752,-0.271746152,-4.76846157,5843.3172,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.326024878,-0.033916307,0.003801203,1,1,1,1-Jan,2.97229,2.75376,0.0897318,0.0918425,0.105117,0.102283,35385.9,38459,35234,38412.9,44671.3,49784,55036,61589.5,1.97275,1.81578,0.101887,0,25.838,999.9,55.024,32.166,29.2006,55.9702,48.121,1,0.0448603,1.40111,20.1092,5.19722,12.0041,4.97515,3.29358,9999,9999,9999,999.9,1.86356,1.86844,1.86821,1.86935,1.87015,1.86618,1.86723,1.8686,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.478,0.5064,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,116.6,116.7,1.03638,2.62329,1.54785,2.30347,1.34644,2.35107,38.208,24.035,18,501.194,401.011,23.6698,27.7334,30.0004,27.6217,27.5591,20.7591,29.9844,95.1641,23.6522,413.259,23.3255,102.123,102.532,NA,3
2,1510788726,5,20171115 17:32:05,17:32:05,5,ely_can14_t3_ch3,ozzie,1510788718,0.002528846,2.528846403,9.02697153,414.7095812,307.9011108,27.99705318,37.70901044,0.151832797,3.676490136,0.148433354,0.093069934,321.5200446,27.72971514,27.72971514,3.735455016,63.51048316,2.237187909,3.52254903,1.498267107,-111.5221264,-198.3842224,-11.67199843,-0.058302617,8.490334257,2.517781128,9.02697153,429.9251771,425.0912667,-0.033420765,64.1108677,2.528846403,23.2676321,24.59953515,-1.35E-05,117.0155887,0,0,1,0,48230,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.021724,1681.218547,0.840600143,0.160758276,2.7,0.5,0: Broadleaf,2,TRUE,1510788718,414.7095862,419.8574483,24.60375517,23.2778,408.2312759,24.09735517,500.0736552,90.82884138,0.099876331,26.72882069,27.51151724,999.9,0,0,10008.51034,0,3.178206897,-5.147834483,425.1703793,429.8636207,1.325956207,419.8574483,23.2778,2.234731034,2.114295517,19.2134931,18.3273,2000.021724,0.979997379,0.020002762,0,2.192848276,0,5843.074483,17300.33448,38.89210345,39.5,38.625,38.312,38.25,1960.013103,40.01,0,1678812329,0,2.217630769,-0.069435913,-3.723760685,5843.029231,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.325905854,0.01636892,0.003652553,1,1,1,1-Jan,2.97223,2.75419,0.0896963,0.091457,0.105101,0.102254,35387.1,38474.7,35233.8,38412.3,44672.1,49784.9,55036,61588.7,1.97267,1.81575,0.101309,0,25.8385,999.9,55.024,32.166,29.203,55.6802,48.5938,1,0.0451906,1.37754,20.1091,5.19707,12.0041,4.97505,3.29365,9999,9999,9999,999.9,1.86356,1.86844,1.86821,1.86935,1.87015,1.86618,1.86725,1.86861,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.477,0.5062,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,116.7,116.8,1.01196,2.63184,1.54785,2.30347,1.34644,2.33765,38.2324,24.0262,18,501.192,401.037,23.6534,27.7388,30.0005,27.6271,27.5649,20.2306,29.9844,95.1641,23.7091,399.784,23.3293,102.123,102.53,NA,3
3,1510788731,10,20171115 17:32:10,17:32:10,5,ely_can14_t3_ch3,ozzie,1510788723,0.002519249,2.519249309,8.817382662,414.2389236,309.3050798,28.12480694,37.66633824,0.151239093,3.677441502,0.147866717,0.092713429,321.5194273,27.72873299,27.72873299,3.735240715,63.51347291,2.23693079,3.521978388,1.498309925,-111.0988945,-198.7866117,-11.69242935,-0.058508243,4.598440795,2.521707855,8.817382662,422.6419892,421.8049455,-0.864360991,64.1108677,2.519249309,23.26677839,24.59356242,-6.82E-06,117.0155887,0,0,1,0,48115,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.017857,1681.215299,0.840600144,0.160758278,2.7,0.5,0: Broadleaf,2,TRUE,1510788723,414.2389286,417.2856786,24.60084643,23.27283571,407.7635,24.09457857,500.0798214,90.82906071,0.09995655,26.72606786,27.50386786,999.9,0,0,10012.14179,0,2.981515714,-3.046761464,424.6865714,427.2284286,1.328023929,417.2856786,23.27283571,2.234473214,2.113848929,19.21163571,18.32393571,2000.017857,0.979997143,0.020003014,0,2.187760714,0,5843.205714,17300.30357,38.906,39.5,38.625,38.312,38.26328571,1960.009286,40.01,0,1678812334,0,2.19735,0.484399986,5.649914519,5843.247692,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.32678525,0.030856323,0.004131462,1,1,1,1-Jan,2.97234,2.75407,0.0890577,0.0892542,0.105088,0.102257,35412,38567.4,35233.9,38411.8,44672.9,49784.4,55036,61588.4,1.97255,1.81555,0.101667,0,25.8402,999.9,55.024,32.196,29.2539,55.6002,48.1771,1,0.0447409,1.15132,20.111,5.19722,12.004,4.9751,3.29365,9999,9999,9999,999.9,1.86356,1.86844,1.86823,1.86935,1.87015,1.86619,1.86728,1.86861,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.453,0.506,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,116.8,116.9,0.979004,2.62817,1.54785,2.30347,1.34644,2.44873,38.2324,24.035,18,501.157,400.961,23.6851,27.7436,30.0001,27.6325,27.5698,19.6192,29.9844,95.1641,23.7125,379.686,23.3402,102.123,102.529,NA,3
4,1510788736,15,20171115 17:32:15,17:32:15,5,ely_can14_t3_ch3,ozzie,1510788728,0.002529382,2.52938171,8.851583647,411.3450691,306.5219903,27.8716428,37.40306796,0.151885749,3.681389144,0.148488381,0.093104149,321.5207155,27.72633912,27.72633912,3.734718423,63.50355701,2.236679389,3.522132451,1.498039034,-111.5457334,-198.3773748,-11.65574986,-0.058142578,-4.826385076,2.525489679,8.851583647,406.5637467,411.8705818,-2.183863996,64.1108677,2.52938171,23.26884236,24.6007497,1.85E-05,117.0155887,0,0,1,0,48160,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.025926,1681.222077,0.840600142,0.160758274,2.7,0.5,0: Broadleaf,2,TRUE,1510788728,411.3450741,409.3001111,24.59817037,23.26815185,404.8875556,24.09202963,500.0751111,90.82879259,0.099896637,26.72681111,27.49812593,999.9,0,0,10027.34556,0,2.983505926,2.04493663,421.7186296,419.0505926,1.330032222,409.3001111,23.26815185,2.234223333,2.113417407,19.20983704,18.32067407,2000.025926,0.979997444,0.020002693,0,2.267340741,0,5844.597778,17300.37407,38.92781481,39.5,38.625,38.312,38.27296296,1960.017037,40.01,0,1678812339,0,2.257203846,0.574198282,24.5340171,5844.513846,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.3278475,0.01851197,0.003625896,1,1,1,1-Jan,2.97225,2.75407,0.0873235,0.0864358,0.105105,0.102258,35478.8,38686.4,35233.4,38411.6,44671.6,49783.9,55035.5,61587.9,1.97248,1.81562,0.100929,0,25.8413,999.9,55.024,32.196,29.248,55.9402,48.2652,1,0.0454243,1.23029,20.1105,5.19722,12.004,4.975,3.2935,9999,9999,9999,999.9,1.86356,1.86844,1.86824,1.86935,1.87014,1.86618,1.86727,1.86861,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.39,0.5063,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,116.8,117,0.946045,2.62451,1.54785,2.30347,1.34644,2.45972,38.2324,24.035,18,501.148,401.033,23.7128,27.7482,30.0003,27.6371,27.5742,18.9176,29.9844,95.1641,23.7104,366.232,23.3431,102.122,102.529,NA,3
5,1510788741,20,20171115 17:32:20,17:32:20,5,ely_can14_t3_ch3,ozzie,1510788733,0.00252225,2.522250235,8.539725232,404.7744595,303.1326636,27.563512,36.80568613,0.151384919,3.677703904,0.14800635,0.09280124,321.5221642,27.72919011,27.72919011,3.735340453,63.50156891,2.236661966,3.522215284,1.498678487,-111.2312354,-198.6648314,-11.68452598,-0.058428596,-15.66540006,2.524369149,8.539725232,389.6232473,398.1338424,-2.832958002,64.1108677,2.522250235,23.27213733,24.60043455,-2.77E-06,117.0155887,0,0,1,0,47955,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.035,1681.2297,0.840600139,0.160758269,2.7,0.5,0: Broadleaf,2,TRUE,1510788733,404.7744643,396.8683214,24.59792857,23.26853571,398.3577143,24.0918,500.0886071,90.82879643,0.100078318,26.72721071,27.49658929,999.9,0,0,10013.17929,0,3.029737143,7.906134607,414.9821429,406.3228214,1.329403571,396.8683214,23.26853571,2.234201071,2.113452143,19.20967857,18.32093214,2000.035,0.979997571,0.020002557,0,2.278289286,0,5846.7325,17300.45357,38.93257143,39.5,38.625,38.321,38.29207143,1960.025714,40.01,0,1678812344,0,2.270744,-0.079030776,34.20230763,5847.1324,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.3299205,-0.000986792,0.002169479,1,1,1,1-Jan,2.97239,2.75385,0.084986,0.0836131,0.105105,0.102278,35569.4,38806,35233.2,38411.7,44671,49782.8,55034.9,61588,1.97255,1.8153,0.101097,0,25.8434,999.9,54.999,32.196,29.2371,56.4302,48.6939,1,0.0457901,1.28105,20.1102,5.19722,12.004,4.9751,3.2934,9999,9999,9999,999.9,1.86356,1.86844,1.86823,1.86935,1.87015,1.86619,1.86725,1.8686,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.306,0.5062,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,116.9,117,0.915527,2.62939,1.54785,2.30347,1.34644,2.34253,38.2324,24.0262,18,501.24,400.889,23.717,27.7529,30.0004,27.6418,27.5794,18.3237,29.7121,95.1641,23.7137,352.587,23.3484,102.121,102.529,NA,3
6,1510788746,25,20171115 17:32:25,17:32:25,5,ely_can14_t3_ch3,ozzie,1510788738,0.002470181,2.470181382,8.707538964,393.158847,287.9234477,26.18054568,35.74947868,0.147952425,3.678723587,0.144724444,0.090736933,321.5216617,27.74089656,27.74089656,3.737895525,63.50434954,2.236895988,3.522429572,1.500999538,-108.934999,-200.8366067,-11.80973776,-0.059681773,-25.24852612,2.511418617,8.707538964,373.3891602,382.9062061,-3.068312965,64.1108677,2.470181382,23.30542022,24.60613576,1.66E-05,117.0155887,0,0,1,0,48395,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.031852,1681.227055,0.84060014,0.160758271,2.7,0.5,0: Broadleaf,2,TRUE,1510788738,393.1588519,380.060037,24.60051111,23.27792963,386.8141111,24.09425926,500.084,90.8289037,0.099938296,26.72824444,27.49671481,999.9,0,0,10017.0863,0,3.28036963,13.09887,403.0746667,389.1176667,1.322583333,380.060037,23.27792963,2.234437407,2.114308519,19.21138519,18.3273963,2000.031852,0.979997778,0.020002337,0,2.291062963,0,5849.505556,17300.42222,38.937,39.5,38.64566667,38.33066667,38.30051852,1960.022593,40.01,0,1678812349,0,2.285316,-0.641100012,27.93692312,5849.6248,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.32632075,-0.050481388,0.007677203,1,1,1,1-Jan,2.97222,2.75414,0.0823842,0.0807476,0.105125,0.102384,35670,38926.6,35232.8,38411,44669.7,49776.1,55034.6,61587.1,1.9724,1.81535,0.10106,0,25.8462,999.9,54.999,32.196,29.238,56.0202,48.73,1,0.0462119,1.28852,20.11,5.19767,12.0041,4.97505,3.29343,9999,9999,9999,999.9,1.86356,1.86844,1.86823,1.86935,1.87014,1.86618,1.86726,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.214,0.5065,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,117,117.1,0.88501,2.63428,1.54785,2.30347,1.34644,2.34375,38.2324,24.0262,18,501.182,400.953,23.7176,27.7582,30.0004,27.6464,27.5846,17.6181,29.7121,95.1641,23.7167,332.38,23.3462,102.12,102.527,NA,3
7,1510788751,30,20171115 17:32:30,17:32:30,5,ely_can14_t3_ch3,ozzie,1510788743,0.002478824,2.478824133,8.233522885,379.9916025,280.6505465,25.51920013,34.55215703,0.148594347,3.67990116,0.145339644,0.091123762,321.5175447,27.73799034,27.73799034,3.737261066,63.52112497,2.237386043,3.522270809,1.499875023,-109.3161443,-200.4762693,-11.78456024,-0.059429166,-29.2964654,2.495220645,8.233522885,356.4729885,366.9290424,-3.21327533,64.1108677,2.478824133,23.31393947,24.61913758,2.26E-05,117.0155887,0,0,1,0,48077,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.006071,1681.205398,0.840600147,0.160758284,2.7,0.5,0: Broadleaf,2,TRUE,1510788743,379.9916071,364.6861071,24.60592857,23.29188571,373.7283571,24.09942143,500.0843929,90.82878214,0.099956271,26.72747857,27.49649643,999.9,0,0,10021.62607,0,3.292504286,15.30554286,389.5774286,373.3826071,1.314038571,364.6861071,23.29188571,2.234925357,2.115573571,19.21489643,18.336925,2000.006071,0.979997571,0.020002557,0,2.229967857,0,5851.391429,17300.19286,38.937,39.5,38.66485714,38.35025,38.30978571,1959.998929,40.01,0,1678812354,0,2.238912,-0.251638465,22.83000002,5851.6256,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.318368293,-0.113917003,0.013210134,1,1,1,1-Jan,2.97228,2.75409,0.0796052,0.0777975,0.105159,0.102395,35778,39051.1,35232.8,38410.7,44668,49775.1,55034.7,61586.6,1.9725,1.8151,0.101037,0,25.8468,999.9,54.999,32.196,29.2357,56.1502,48.2452,1,0.0463923,1.29368,20.11,5.19752,12.0043,4.9751,3.2935,9999,9999,9999,999.9,1.86356,1.86844,1.86821,1.86935,1.87013,1.86619,1.86725,1.8686,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.117,0.5072,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,117.1,117.2,0.849609,2.63184,1.54785,2.30347,1.34644,2.45605,38.2324,24.035,18,501.295,400.847,23.7189,27.7629,30.0004,27.6517,27.5893,16.9738,29.7121,95.1641,23.7162,318.799,23.3417,102.12,102.526,NA,3
8,1510788756,35,20171115 17:32:35,17:32:35,5,ely_can14_t3_ch3,ozzie,1510788748,0.002487786,2.487785567,7.68158056,364.0126253,271.4631691,24.68381989,33.09923078,0.14928745,3.679791639,0.14600258,0.091540725,321.5163326,27.73490864,27.73490864,3.7365884,63.54669239,2.238125496,3.522017294,1.498462904,-109.7113435,-200.1015679,-11.76263122,-0.059210018,-31.39481964,2.480366254,7.68158056,339.7553948,350.6849212,-3.249320915,64.1108677,2.487785567,23.31712642,24.62714121,1.01E-05,117.0155887,0,0,1,0,48043,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.998889,1681.199331,0.840600132,0.160758256,2.7,0.5,0: Broadleaf,2,TRUE,1510788748,364.0126296,347.5497407,24.61404444,23.30783333,357.8481481,24.10717778,500.0837037,90.82884815,0.099950685,26.72625556,27.4999037,999.9,0,0,10021.19778,0,3.273475185,16.46295185,373.1985185,355.8434815,1.306207037,347.5497407,23.30783333,2.235664815,2.117023704,19.22020741,18.34786296,1999.998889,0.979997333,0.020002811,0,2.236207407,0,5853.628148,17300.12963,38.937,39.50918519,38.687,38.36333333,38.312,1959.994074,40.00888889,0,1678812359,0,2.252496154,0.262642737,25.96547004,5853.795,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.3135745,-0.102950994,0.012635241,1,1,1,1-Jan,2.97235,2.75392,0.0767382,0.074877,0.105177,0.1024,35889.1,39174.3,35232.5,38410.3,44666.8,49774.2,55034.4,61586.1,1.9722,1.8151,0.100523,0,25.8483,999.9,54.975,32.206,29.2406,56.3102,48.149,1,0.0468623,1.30675,20.1098,5.19662,12.0041,4.97485,3.29353,9999,9999,9999,999.9,1.86356,1.86844,1.86825,1.86935,1.87012,1.86619,1.86725,1.86863,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.019,0.5075,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,117.2,117.3,0.81665,2.62695,1.54785,2.30469,1.34644,2.47803,38.2324,24.035,18,501.138,400.879,23.7183,27.767,30.0004,27.6564,27.5939,16.259,29.7121,95.1641,23.713,298.633,23.3417,102.119,102.525,NA,3
9,1510788761,40,20171115 17:32:40,17:32:40,5,ely_can14_t3_ch3,ozzie,1510788753,0.002488528,2.488528158,7.521307117,349.2769601,258.9226884,23.5435172,31.75931845,0.149417047,3.678099786,0.146125061,0.091617894,321.5157081,27.73436857,27.73436857,3.736470527,63.5695474,2.238822428,3.521847361,1.497648099,-109.7440918,-200.065045,-11.76581395,-0.059242582,-32.63537041,2.48060794,7.521307117,323.1674474,334.3795091,-3.29085191,64.1108677,2.488528158,23.31850049,24.62894545,4.84E-06,117.0155887,0,0,1,0,48173,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.995357,1681.196333,0.840600118,0.160758227,2.7,0.5,0: Broadleaf,2,TRUE,1510788753,349.2769643,332.1246429,24.62172143,23.31539643,343.2033929,24.11449643,500.0848929,90.82875714,0.099995911,26.72543571,27.49915357,999.9,0,0,10014.705,0,3.257043929,17.15236786,358.0938929,340.0530357,1.306314286,332.1246429,23.31539643,2.236359286,2.117708929,19.22518214,18.35301429,1999.995357,0.97999725,0.0200029,0,2.26,0,5855.866786,17300.09643,38.937,39.51992857,38.687,38.37275,38.312,1959.9925,40.00785714,0,1678812364,0,2.270319231,0.424399999,33.15589747,5856.093462,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.30738625,0.003047167,0.006263077,1,1,1,1-Jan,2.97232,2.75379,0.0737883,0.0715912,0.105186,0.102407,36003.4,39312.9,35232.2,38409.9,44665.8,49773.3,55033.9,61585.5,1.9723,1.81483,0.100896,0,25.8489,999.9,54.975,32.206,29.2399,55.9602,48.5537,1,0.047251,1.31649,20.1097,5.19632,12.0043,4.97495,3.2935,9999,9999,9999,999.9,1.86356,1.86844,1.86822,1.86935,1.87014,1.86619,1.86726,1.86862,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.921,0.5076,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,117.3,117.4,0.780029,2.6355,1.54785,2.30347,1.34644,2.38281,38.2324,24.035,18,501.252,400.76,23.7149,27.7724,30.0005,27.6616,27.5987,15.6068,29.7121,95.1641,23.7158,285.253,23.3417,102.118,102.524,NA,3
10,1510788766,45,20171115 17:32:45,17:32:45,5,ely_can14_t3_ch3,ozzie,1510788758,0.002492486,2.492486477,7.065233679,332.4070701,247.5597596,22.51041388,30.22551297,0.149705384,3.672238935,0.146395684,0.091788571,321.5184279,27.73528945,27.73528945,3.736671518,63.58549507,2.239413054,3.521892928,1.497258464,-109.9186536,-199.885043,-11.7740564,-0.059325118,-33.70970028,2.487656381,7.065233679,305.5900356,317.4755455,-3.381095447,64.1108677,2.492486477,23.3196093,24.63213818,1.95E-06,117.0155887,0,0,1,0,48093,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.012963,1681.211075,0.840600089,0.160758172,2.7,0.5,0: Broadleaf,2,TRUE,1510788758,332.4070741,314.6536667,24.62809259,23.31808519,326.4374074,24.12058889,500.0928519,90.82912593,0.100086148,26.72565556,27.49761481,999.9,0,0,9992.15,0,3.250594074,17.75347778,340.8003704,322.1657778,1.310006667,314.6536667,23.31808519,2.236948519,2.117961111,19.2294037,18.35491852,2000.012963,0.979997444,0.020002693,0,2.273918519,0,5859.202593,17300.25556,38.94166667,39.54133333,38.687,38.375,38.312,1960.011481,40.0062963,0,1678812369,0,2.274876923,-0.26080684,40.52307693,5859.105385,15,0,--:--:--,1510781725,1510781719,0,0.193,0.167,6.707,0.869,420,32,0.3,0.13,1.306934,0.042970807,0.004548158,1,1,1,1-Jan,2.97225,2.75365,0.0706889,0.0685004,0.105192,0.102401,36123.5,39443,35231.9,38409.2,44665.2,49773,55033.6,61584.8,1.97232,1.81492,0.0997856,0,25.8489,999.9,54.975,32.206,29.2418,56.1502,48.774,1,0.047561,1.30072,20.1095,5.19588,12.0043,4.9745,3.29348,9999,9999,9999,999.9,1.86356,1.86844,1.86824,1.86935,1.87012,1.86621,1.86723,1.86863,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.82,0.5077,4.007189801,0.005759537,9.86E-07,-6.55E-10,-0.004475374,-0.022503083,0.002517292,-2.92E-05,-3,1614,1,27,117.3,117.5,0.748291,2.64282,1.54785,2.30347,1.34644,2.33154,38.2568,24.0262,18,501.31,400.848,23.715,27.7771,30.0004,27.6663,27.6033,14.8937,29.7121,94.7928,23.7184,265.192,23.3417,102.118,102.523,NA,3
