"obs","time","elapsed","date","hhmmss","averaging","machine","id","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1678312154.6,0,"20230308 15:49:14","15:49:14",5,"albert","sch_sco11_t2_ch3",1678312151.85,0.000226583114769224,0.226583114769224,-1.81104984589887,420.874800924295,621.880251829081,56.365265896547,38.1467653836581,0.0134985221625803,3.7696030830156,0.0134717260173615,0.00842223180705521,0,27.3830150247982,27.46748,3.67861562684037,60.0375493730612,2.20364734230342,3.67044851982615,1.47496828453695,-9.99231536132279,-7.71652316839636,-0.443759178340694,-18.1525977080598,-1.81104984589887,0.226583114769224,-1.79104248179458,430.4546746184,431.354490909091,-0.000866778007234403,64.6228269319413,0.248757449579747,24.20489010626,24.3206939393939,0.000382499363031841,95.3855955948417,0,0,1,0,47812,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312151.85,420.8748,420.0375,24.31293,24.20504,417.3456,23.98442,499.9732,90.53716,0.09968806,27.42951,27.46748,999.9,0,0,9999.375,0,0.2429974,0.8371704,431.3625,430.4567,0.1078752,420.0375,24.20504,2.201222,2.191455,18.97121,18.89998,0,0,0,0,-4.225,0,0.13,-2.325,35.3872,41.5122,38.1622,40.9372,36.9246,0,0,0,1678312165.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.829866731707317,0.079330327526133,0.0510815216678559,1,0.0905914097560976,0.134669977003484,0.0135384869877136,0,1,2,"1/2",2.97725,2.72845,0.0854152,0.0863009,0.10774,0.108212,27280.9,26929.1,30368.2,29731.4,37403.8,34909,46470,44214.4,1.8446,1.83202,0.0121444,0,27.2655,999.9,46.2,34.2,27.5687,63.4819,22.508,1,0.151997,0.639984,20.2138,5.23796,11.974,4.9728,3.29055,9999,9999,9999,999.9,4.97336,1.8779,1.87607,1.87881,1.87546,1.87902,1.87608,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230734.8,8610.5,1.12549,2.55615,1.39893,2.35229,1.44897,2.50732,42.218,23.7198,18,489.442,452.29,25.8076,29.2501,29.9984,28.7916,28.8011,22.5565,20.7621,100,25.9402,420.046,23.9368,100.413,101.668,NA,3
2,1678312159.6,5,"20230308 15:49:19","15:49:19",5,"albert","sch_sco11_t2_ch3",1678312157.1,0.000324811279408184,0.324811279408184,-1.79740882840506,420.865556471155,556.209080494074,50.4157232562217,38.1479594045419,0.0194200746450658,3.77264610161912,0.0193647085182471,0.0121079040078237,0,27.3558880288802,27.4584777777778,3.6766778728215,60.1166904295806,2.20564533675136,3.66894005806092,1.47103253607015,-14.3241774219009,-7.31981237984592,-0.420572088624608,-22.0645618903714,-1.79740882840506,0.324811279408184,-1.76567722553953,430.480041022192,431.362951515152,-2.08491008777037e-06,64.6228269319413,0.35752886539442,24.1727056775592,24.3376454545454,0.000762352965451551,95.3855955948417,0,0,1,0,47851,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312157.1,420.865555555556,420.055222222222,24.3336777777778,24.1790444444444,417.336555555556,24.0051777777778,500.056555555556,90.5416888888889,0.0999871,27.4224888888889,27.4584777777778,999.9,0,0,10010.1377777778,0,0.259117666666667,0.810255222222222,431.362333333333,430.463666666667,0.154646777777778,420.055222222222,24.1790444444444,2.20321444444444,2.18921222222222,18.9857,18.8835666666667,0,0,0,0,-5.66111111111111,0,5.92777777777778,-1.49444444444444,35.347,41.3054444444444,37.9718888888889,40.6594444444444,36.8262222222222,0,0,0,1678312169.9,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.8352318,-0.260250303939965,0.0431610073985768,0,0.1116714375,0.239545437523452,0.0264725021082508,0,0,2,"0/2",2.97713,2.72825,0.0854231,0.0863007,0.107792,0.108022,27280.3,26929.3,30367.8,29731.6,37401,34916.9,46469.2,44214.9,1.8442,1.83185,0.0134669,0,27.2348,999.9,46.2,34.2,27.57,63.1919,22.9447,1,0.152269,1.01314,20.2122,5.23511,11.974,4.9724,3.2903,9999,9999,9999,999.9,4.97334,1.87789,1.87606,1.87882,1.87546,1.87901,1.87607,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230734.9,8610.6,1.12427,2.55981,1.39893,2.35229,1.44897,2.44873,42.218,23.711,18,489.236,452.202,25.9483,29.2476,29.9997,28.7941,28.8041,22.5566,21.4023,100,25.9689,420.046,23.8515,100.412,101.669,NA,3
3,1678312164.6,10,"20230308 15:49:24","15:49:24",5,"albert","sch_sco11_t2_ch3",1678312161.8,0.000483959600133031,0.483959600133031,-1.7786612851009,420.857800909176,507.05830631958,45.962265873844,38.1486268923821,0.0289521067321973,3.76749173212498,0.0288290690543061,0.0180291788730928,0,27.3242982915175,27.46089,3.67719702314897,60.092079834657,2.2048935633969,3.66919162968506,1.47230345975207,-21.3426183658667,-7.56189752098573,-0.435083701514418,-29.3395995883668,-1.7786612851009,0.483959600133031,-1.78687034417713,430.469656170504,431.361254545455,0.000387897830653976,64.6228269319413,0.369439365224394,24.0752047452309,24.3070709090909,-0.00810016133199353,95.3855955948417,0,0,1,0,47779,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312161.8,420.8578,420.0893,24.32451,24.09411,417.3288,23.99601,500.0597,90.54457,0.10036235,27.42366,27.46089,999.9,0,0,9990.745,0,0.2507205,0.7685334,431.3501,430.4608,0.2303919,420.0893,24.09411,2.202451,2.181591,18.98015,18.82776,0,0,0,0,-4.445,0,-0.66,-2.395,35.3059,41.1185,37.9559,40.4248,36.7248,0,0,0,1678312174.7,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.803091425,-0.147099343339587,0.0381172761919628,0,0.147005425,0.530999488930581,0.0547912793126002,0,0,2,"0/2",2.97737,2.72848,0.0854226,0.0863144,0.107676,0.107704,27280.2,26928.8,30367.7,29731.5,37405.8,34929.4,46469.2,44214.8,1.84455,1.83153,0.0158213,0,27.2069,999.9,46.2,34.2,27.5696,63.4419,22.5681,1,0.152063,1.16619,20.2116,5.23601,11.974,4.97325,3.291,9999,9999,9999,999.9,4.97337,1.8779,1.87606,1.87883,1.87546,1.87903,1.8761,1.8773,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735,8610.7,1.12549,2.56348,1.39893,2.35229,1.44897,2.48779,42.218,23.711,18,489.44,452.01,25.9954,29.2451,29.9998,28.7954,28.806,22.5519,21.9883,100,25.9962,420.046,23.8102,100.412,101.669,NA,3
4,1678312169.6,15,"20230308 15:49:29","15:49:29",5,"albert","sch_sco11_t2_ch3",1678312167.1,0.000610780467213859,0.610780467213858,-1.84437736784819,420.917778719296,490.051141566919,44.4183052549081,38.1520474018087,0.0364136415168301,3.76805835767156,0.036219272099317,0.022654421714236,0,27.297974075256,27.4685444444444,3.67884481045675,59.9573480166071,2.19991078238731,3.66912622916205,1.47893402806944,-26.9354186041312,-9.1798318597901,-0.528113633249573,-36.6433640971708,-1.84437736784819,0.610780467213858,-1.87984545431161,430.463533869681,431.400690909091,0.000575789036220503,64.6228269319413,0.382337252419587,23.9646094754103,24.2430133333333,-0.0139415183954674,95.3855955948417,0,0,1,0,47830,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312167.1,420.917777777778,420.143222222222,24.2708222222222,23.9800111111111,417.388666666667,23.9423222222222,500.026777777778,90.5401111111111,0.100031288888889,27.4233555555556,27.4685444444444,999.9,0,0,9993.33333333333,0,0.240269888888889,0.774593777777778,431.388,430.465888888889,0.290808777777778,420.143222222222,23.9800111111111,2.19748111111111,2.17115222222222,18.9439666666667,18.7510222222222,0,0,0,0,-3.56111111111111,0,3.80555555555556,-1.55,35.3956666666667,40.9442222222222,37.8677777777778,40.1664444444445,36.6385555555555,0,0,0,1678312180.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.797699,-0.282155372822299,0.040545896752488,0,0.187390675609756,0.713995379790941,0.0715546195400844,0,0,2,"0/2",2.9772,2.7282,0.0854288,0.0863115,0.107468,0.107382,27280.6,26928.8,30368.2,29731.4,37415.3,34941.8,46470,44214.4,1.84433,1.8319,0.0178255,0,27.18,999.9,46.2,34.2,27.5713,63.4219,22.6683,1,0.15247,1.23331,20.2111,5.23571,11.974,4.97335,3.291,9999,9999,9999,999.9,4.97336,1.87789,1.87603,1.87882,1.87545,1.87899,1.87609,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.1,8610.8,1.12427,2.54639,1.39893,2.35352,1.44897,2.48413,42.218,23.7198,18,489.33,452.267,26.0173,29.242,30.0003,28.7977,28.8085,22.5477,22.2634,100,26.0184,420.046,23.8047,100.413,101.668,NA,3
5,1678312174.6,20,"20230308 15:49:34","15:49:34",5,"albert","sch_sco11_t2_ch3",1678312171.8,0.000615580126281855,0.615580126281855,-1.90130487828617,420.928800970538,492.174788440252,44.6098660365092,38.1522537586943,0.0365546535919066,3.76924632425154,0.0363588416131912,0.0227417813183652,0,27.2944207252508,27.46741,3.67860055570309,59.7983992857457,2.1937440720287,3.66856654731832,1.48485648367438,-27.1470835690298,-9.48166698148919,-0.545296036880093,-37.1740465873991,-1.90130487828617,0.615580126281855,-1.82866919429547,430.428973702819,431.346545454546,-0.000730907490615423,64.6228269319413,0.366083975617803,23.8993026921026,24.1707236363636,-0.0140514243091117,95.3855955948417,0,0,1,0,47810,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312171.8,420.9288,420.1275,24.20329,23.91019,417.3998,23.87479,500.0552,90.53829,0.09996918,27.42075,27.46741,999.9,0,0,9997.93,0,0.2349987,0.80141,431.3694,430.4189,0.2931035,420.1275,23.91019,2.191326,2.164788,18.89905,18.70409,0,0,0,0,-3.425,0,0.4,-1.92,35.4746,40.7685,37.7748,40.0185,36.5435,0,0,0,1678312184.9,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.78827445,-0.0368422739212025,0.0351709446496323,1,0.240903075,0.57368878424015,0.0596601749324403,0,1,2,"1/2",2.97715,2.72846,0.0854214,0.086299,0.107244,0.107256,27280.1,26929.2,30367.4,29731.4,37424,34946.8,46469,44214.4,1.84413,1.8316,0.0186525,0,27.1545,999.9,46.2,34.2,27.5687,63.4319,22.8686,1,0.1525,1.23092,20.211,5.23586,11.974,4.9735,3.291,9999,9999,9999,999.9,4.97334,1.8779,1.87605,1.87882,1.87546,1.87902,1.87608,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.53,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.2,8610.8,1.12427,2.54883,1.39893,2.35352,1.44897,2.49634,42.218,23.711,18,489.22,452.095,26.0283,29.2388,30,28.7978,28.8109,22.5467,22.2634,100,26.0413,420.046,23.822,100.411,101.668,NA,3
6,1678312179.6,25,"20230308 15:49:39","15:49:39",5,"albert","sch_sco11_t2_ch3",1678312177.1,0.000518199961775327,0.518199961775327,-2.05298664428052,420.929667711313,515.677076119041,46.7396298201142,38.1519709916071,0.0306890819556785,3.77022778841665,0.0305509760296544,0.0191067163237275,0,27.3108921558804,27.4532111111111,3.67554462087027,59.6513808297861,2.18789722445701,3.66780650174742,1.48764739641326,-22.8526183142919,-7.31737873904782,-0.420679787468802,-30.5906768408086,-2.05298664428052,0.518199961775327,-1.99144564162392,430.31134853483,431.310333333333,-0.000738854140174555,64.6228269319413,0.368603330574572,23.8920181809558,24.1228515151515,-0.00800293628205775,95.3855955948417,0,0,1,0,47944,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312177.1,420.929666666667,420.034333333333,24.1390111111111,23.8922555555556,417.400666666667,23.8105111111111,500.044,90.5373333333334,0.100067444444444,27.4172111111111,27.4532111111111,999.9,0,0,10001.6677777778,0,0.246246,0.895277222222222,431.341888888889,430.315555555556,0.246761555555556,420.034333333333,23.8922555555556,2.18548111111111,2.16314,18.8562888888889,18.6919222222222,0,0,0,0,-3.12777777777778,0,-1.12777777777778,-1.90555555555556,35.2012222222222,40.597,37.7012222222222,39.7844444444444,36.4997777777778,0,0,0,1678312189.7,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.80590905,0.336334851782362,0.0557042413034905,0,0.263005,0.173074874296435,0.0337400855600575,0,0,2,"0/2",2.97742,2.72828,0.0854186,0.0862924,0.1071,0.107244,27280,26929.1,30367.2,29731.1,37429.7,34946.8,46468.6,44213.8,1.84403,1.832,0.0194125,0,27.1295,999.9,46.2,34.2,27.5697,62.9319,22.4199,1,0.152348,1.19281,20.2111,5.23556,11.974,4.9731,3.291,9999,9999,9999,999.9,4.97334,1.8779,1.87605,1.87882,1.87546,1.87904,1.87607,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.3,8610.9,1.12427,2.56592,1.39893,2.35229,1.44897,2.39258,42.218,23.7022,18,489.18,452.368,26.0435,29.235,30.0001,28.8002,28.8134,22.5474,22.2634,100,26.0736,420.046,23.8335,100.41,101.667,NA,3
7,1678312184.6,30,"20230308 15:49:44","15:49:44",5,"albert","sch_sco11_t2_ch3",1678312181.8,0.000452399969816115,0.452399969816115,-1.90044413337874,420.888600970261,522.270383858874,47.3359282287327,38.1471996566505,0.0267154096363901,3.7714793641388,0.0266107213897069,0.0166410723620642,0,27.3194100886025,27.45503,3.67593596476955,59.5871795307264,2.18490128757842,3.66673050274475,1.49103467719113,-19.9508386688907,-8.7085380463846,-0.500484115542741,-29.159860830818,-1.90044413337874,0.452399969816115,-1.87112242016997,430.345306497105,431.281448484849,-0.000145504156562317,64.6228269319413,0.372751072610211,23.891151828127,24.0951836363636,-0.00383571725191785,95.3855955948417,0,0,1,0,47761,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312181.8,420.8886,420.0541,24.10662,23.89117,417.3595,23.77812,499.998,90.53539,0.09951807,27.4122,27.45503,999.9,0,0,10006.515,0,0.2461694,0.8346925,431.2858,430.3351,0.2154717,420.0541,23.89117,2.182504,2.162994,18.83446,18.69082,0,0,0,0,-1.645,0,-2.625,-2.455,35.0747,40.4686,37.631,39.5872,36.4559,0,0,0,1678312195.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.824446925,0.32273717448405,0.0483170373545334,0,0.26138505,-0.306176082551596,0.0333782040199514,0,0,2,"0/2",2.97689,2.72825,0.0854128,0.0862939,0.107016,0.107244,27280.1,26929,30367.1,29731,37433.2,34946.8,46468.5,44213.9,1.84365,1.83218,0.0214949,0,27.1056,999.9,46.2,34.2,27.5711,63.6019,22.9607,1,0.15206,1.11594,20.2114,5.23361,11.974,4.973,3.29058,9999,9999,9999,999.9,4.97334,1.87787,1.87604,1.87881,1.87545,1.87899,1.87609,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.53,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.3,8611,1.12427,2.55127,1.39893,2.35352,1.44897,2.5061,42.218,23.711,18,488.972,452.492,26.0687,29.2319,29.9999,28.8003,28.8152,22.5458,22.2634,100,26.1053,420.046,23.8452,100.41,101.667,NA,3
8,1678312189.6,35,"20230308 15:49:49","15:49:49",5,"albert","sch_sco11_t2_ch3",1678312187.1,0.000406923367425441,0.406923367425441,-1.80630287761881,420.881223144447,528.686835503751,47.9173209067734,38.1464021396172,0.0240133797710477,3.77228213322923,0.023928778943136,0.0149630629269108,0,27.3227541338097,27.4480555555556,3.67443557245745,59.5547040947513,2.18294345209498,3.66544252931208,1.49149212036247,-17.9453205034619,-8.51221767265795,-0.489065695603188,-26.9466038717231,-1.80630287761881,0.406923367425441,-1.8173056507254,430.362743092394,431.2712,-8.95033839736451e-06,64.6228269319413,0.386432267581245,23.8914279873078,24.0800466666667,-0.00066684446745861,95.3855955948417,0,0,1,0,47745,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312187.1,420.881222222222,420.083444444444,24.0851,23.8913333333333,417.352222222222,23.7566,500.075222222222,90.5345666666666,0.100035311111111,27.4062,27.4480555555556,999.9,0,0,10009.5777777778,0,0.234140555555556,0.797963555555555,431.268444444444,430.365444444445,0.193763555555556,420.083444444444,23.8913333333333,2.18053333333333,2.16299222222222,18.8200111111111,18.6908111111111,0,0,0,0,-1.72777777777778,0,1.25,-1.56111111111111,35.2498888888889,40.3192222222222,37.4928888888889,39.4304444444444,36.3676666666667,0,0,0,1678312199.9,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.830229268292683,-0.0238793101045287,0.0407606868931473,1,0.242319829268293,-0.39472143554007,0.0394469472613426,0,1,2,"1/2",2.97733,2.72858,0.0854136,0.0862963,0.106971,0.107245,27280.1,26928.7,30367.1,29730.8,37434.8,34946.4,46468.1,44213.5,1.84358,1.8321,0.0221729,0,27.0812,999.9,46.2,34.2,27.5687,63.4019,22.5641,1,0.151837,1.05113,20.2121,5.23571,11.974,4.97335,3.291,9999,9999,9999,999.9,4.97334,1.87789,1.87605,1.87882,1.87546,1.87901,1.87608,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.4,8611.1,1.12427,2.55981,1.39893,2.35352,1.44897,2.45605,42.218,23.7198,18,488.937,452.459,26.0996,29.2275,29.9999,28.8015,28.8171,22.5433,22.2634,100,26.1411,420.046,23.8467,100.41,101.666,NA,3
9,1678312194.6,40,"20230308 15:49:54","15:49:54",5,"albert","sch_sco11_t2_ch3",1678312191.8,0.000382582424200749,0.382582424200749,-1.86957450033711,420.898400951946,540.791614563106,49.0151133857827,38.1484887912345,0.0225588581257534,3.76986349940344,0.0224841307257279,0.0140592749233598,0,27.3239678597992,27.44818,3.67446233915155,59.5435850846286,2.18205925006286,3.66464203820029,1.4924030890887,-16.871884907253,-9.29014066958835,-0.534093747679009,-26.6961193245204,-1.86957450033711,0.382582424200749,-1.87981378922448,430.359123446335,431.297581818182,0.000270334939393609,64.6228269319413,0.374123914554919,23.8933414158393,24.0725418181818,-0.000150185063127029,95.3855955948417,0,0,1,0,47918,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312191.8,420.8984,420.0647,24.07501,23.89282,417.3694,23.7465,500.0423,90.5357,0.10016059,27.40247,27.44818,999.9,0,0,10000.5,0,0.2377569,0.8338867,431.2815,430.3468,0.1821732,420.0647,23.89282,2.179648,2.163154,18.81352,18.69202,0,0,0,0,-2.85,0,-1.075,-2.315,35.181,40.1748,37.4312,39.2374,36.2872,0,0,0,1678312204.7,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.839695,-0.210436322701689,0.0405492629045215,0,0.210211775,-0.268168041275798,0.0266382676890667,0,0,2,"0/2",2.97729,2.72841,0.0854191,0.0862858,0.106954,0.107259,27280.4,26928.9,30367.6,29730.6,37436.4,34945.9,46469.2,44213.5,1.84355,1.83193,0.023514,0,27.0583,999.9,46.2,34.2,27.572,62.9919,22.6202,1,0.151763,0.978246,20.2126,5.23526,11.974,4.97335,3.291,9999,9999,9999,999.9,4.97332,1.87789,1.87604,1.87883,1.87545,1.879,1.8761,1.87728,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.5,8611.2,1.12427,2.55737,1.39893,2.35229,1.44897,2.5,42.218,23.711,18,488.933,452.364,26.1345,29.2226,29.9999,28.8028,28.8191,22.5449,22.2634,100,26.1773,420.046,23.8467,100.412,101.666,NA,3
10,1678312199.6,45,"20230308 15:49:59","15:49:59",5,"albert","sch_sco11_t2_ch3",1678312197.1,0.000367513687106328,0.367513687106328,-1.92423443004251,420.920112094238,550.116080416843,49.8606617637744,38.1507759649525,0.0216796587031686,3.76738936851656,0.0216105877892699,0.0135128046718261,0,27.3243317648842,27.4428333333333,3.67331248064656,59.5435406688304,2.18171507077876,3.6640667422064,1.49159740986781,-16.2073536013891,-8.7426493121302,-0.502928181360738,-25.45293109488,-1.92423443004251,0.367513687106328,-1.91900851628962,430.348678426634,431.307624242424,7.57600479896862e-05,64.6228269319413,0.361460684858282,23.8959231492158,24.0689,-0.000122670892713499,95.3855955948417,0,0,1,0,47799,0,0,0,0,2.44,0.5,"0: Broadleaf",2,"False",1678312197.1,420.920111111111,420.056666666667,24.0710111111111,23.896,417.390777777778,23.7425,500.052888888889,90.5366222222222,0.0999971,27.3997888888889,27.4428333333333,999.9,0,0,9991.24333333333,0,0.237205222222222,0.863311555555555,431.302,430.34,0.174991333333333,420.056666666667,23.896,2.17930666666667,2.16346444444444,18.8110111111111,18.6943,0,0,0,0,-3.83888888888889,0,1.70555555555556,-1.91111111111111,35.0484444444444,40.0414444444445,37.4094444444444,39.0898888888889,36.2635555555555,0,0,0,1678312210.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.835311125,0.0886812270168854,0.0357483094622581,1,0.194667,-0.17822312195122,0.0177674424524184,0,1,2,"1/2",2.97716,2.72838,0.0854198,0.0862925,0.106943,0.107262,27280.2,26928.7,30367.4,29730.5,37436.6,34945.7,46468.9,44213.5,1.84365,1.83207,0.0252947,0,27.0354,999.9,46.2,34.2,27.5707,63.4519,22.8125,1,0.151197,0.917979,20.213,5.23556,11.974,4.97315,3.291,9999,9999,9999,999.9,4.97333,1.87788,1.87602,1.87881,1.87546,1.87898,1.87608,1.87728,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.529,0.3285,1.95554426039126,0.00444878486833397,-1.80365681908973e-06,4.26395578146833e-10,0.328502610528111,0,0,0,-1,2136,1,23,230735.6,8611.3,1.12427,2.54883,1.39893,2.35352,1.44897,2.49878,42.218,23.7198,18,488.988,452.467,26.172,29.2182,29.9999,28.8028,28.8201,22.5453,22.2634,100,26.2173,420.046,23.8467,100.411,101.666,NA,3
