obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,AccCO2_soda,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
13,1678827887,285,20230314 16:04:47,16:04:47,5,ely_can11_t2_ch3,gibson,1678827884,0.000388126,0.388126323,-0.209660883,419.9414546,423.198057,38.34355793,38.04849579,0.022680226,3.997256475,0.022608976,0.014136993,0,27.85502374,27.49130909,3.683749209,57.64512804,2.17867314,3.779457543,1.505076069,-17.11637085,94.61237636,5.144516583,82.64052209,-0.209660883,0.388126323,-0.190684839,430.2238465,430.2970667,0.000279518,67.48907916,0.362223048,23.90127561,24.04142242,-0.000570918,125.5355964,8,2,1,0,47811,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827884,419.9414545,419.9236364,24.04602727,23.90140909,419.292,23.77830909,500.2797273,90.5044,0.099886318,27.93034545,27.49130909,999.9,0,0,10007.48636,0,0.222567,0.017816705,430.2881818,430.2061818,0.144620909,419.9236364,23.90140909,2.17627,2.163182727,18.78868182,18.69222727,0,0,0,0,-1.2,0,-16.42727273,-3.072727273,36.812,41.78945455,39.40881818,40.69845455,37.84063636,0,0,0,1678827901,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.005291746,0.12688481,0.033448002,0,0.174914675,-0.230058563,0.024003715,0,0,2,0/2,2.84225,2.71049,0.0908215,0.0908552,0.102331,0.101802,25603.1,22188.9,25208.5,23777.2,38655.3,35347.3,45612.6,42415.5,1.74835,1.85543,0.027027,0,27.0551,999.9,54.468,31.008,27.1646,54.2023,42.9808,1,0.149009,0.478731,20.2442,5.23496,11.992,4.95595,3.304,9999,9999,999.9,9999,1.86844,1.86418,1.87179,1.86261,1.86203,1.86846,1.85858,1.86505,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.65,0.2674,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50,49.9,1.05713,2.38647,1.44897,2.30225,1.44409,2.37305,36.8366,24.3502,18,420.181,472.123,27.1737,29.5718,29.9998,29.2611,29.2567,21.2085,25.4481,100,27.1829,419.9,23.924,96.5069,99.7212,NA,3
14,1678827892,290,20230314 16:04:52,16:04:52,5,ely_can11_t2_ch3,gibson,1678827890,0.000354217,0.354217076,-0.271565349,419.952889,429.3477095,38.90089427,38.04967995,0.020682957,3.992916099,0.020623621,0.01289508,0,27.86448813,27.48975556,3.683414335,57.60637852,2.177583843,3.780108902,1.505830493,-15.62097305,95.48007952,5.197377507,85.05648397,-0.271565349,0.354217076,-0.116074795,430.1806449,430.2321818,-0.001257708,67.48907916,0.342566115,23.90178506,24.03163636,-0.000242872,125.5355964,7,1,1,0,47616,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827890,419.9528889,419.906,24.03391111,23.90192222,419.3033333,23.7667,500.2651111,90.50455556,0.100083556,27.9333,27.48975556,999.9,0,0,9992.644444,0,0.222567,0.046973364,430.2944444,430.1882222,0.131975667,419.906,23.90192222,2.175175556,2.163232222,18.78065556,18.6926,0,0,0,0,3.2,0,-17.23333333,-2.433333333,36.812,41.76377778,39.375,40.694,37.86077778,0,0,0,1678827905,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.022812643,0.236977904,0.042273928,0,0.161924475,-0.2574617,0.025296587,0,0,2,0/2,2.84198,2.71011,0.0908087,0.0908656,0.102304,0.101797,25603.1,22188.9,25208.2,23777.4,38656.3,35347.7,45612.5,42415.8,1.74883,1.85515,0.0272319,0,27.0459,999.9,54.468,31.008,27.1623,54.0623,43.2452,1,0.148709,0.465087,20.2442,5.23511,11.992,4.95585,3.304,9999,9999,999.9,9999,1.86845,1.86418,1.8718,1.86263,1.86203,1.8685,1.8586,1.86502,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.649,0.267,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.1,49.9,1.05591,2.35962,1.44775,2.30225,1.44409,2.51221,36.8366,24.3589,18,420.447,471.946,27.1818,29.5655,29.9998,29.2606,29.2567,21.2051,25.4481,100,27.1875,419.9,23.9278,96.5062,99.7219,NA,3
15,1678827897,295,20230314 16:04:57,16:04:57,5,ely_can11_t2_ch3,gibson,1678827894,0.000338744,0.338743713,0.019113494,419.8859,406.9720277,36.8729345,38.04297159,0.019765944,3.996961117,0.019711801,0.012324727,0,27.86945728,27.49058,3.683592046,57.58323174,2.1769501,3.780527828,1.506641946,-14.93859775,95.80857067,5.2100515,86.08002441,0.019113494,0.338743713,-0.021637606,430.235926,430.2460848,-0.000347649,67.48907916,0.323141784,23.90103649,24.02335212,-0.000210378,125.5355964,7,1,1,0,47735,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827894,419.8859,419.9475,24.02732,23.9011,419.2365,23.7604,500.2811,90.5032,0.09991763,27.9352,27.49058,999.9,0,0,10006.61,0,0.222567,-0.06157536,430.2232,430.2305,0.1262074,419.9475,23.9011,2.174551,2.163128,18.77605,18.69182,0,0,0,0,-1.8,0,-16.93,-2.98,36.812,41.7562,39.375,40.6996,37.8435,0,0,0,1678827910,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.007541637,-0.174073644,0.05366404,0,0.144274775,-0.163131951,0.016396159,0,0,2,0/2,2.84227,2.71026,0.0908112,0.0908617,0.10228,0.101797,25603.3,22189.1,25208.4,23777.5,38657.4,35347.9,45612.5,42416,1.74877,1.85527,0.0278838,0,27.0357,999.9,54.468,31.028,27.1921,53.5323,43.766,1,0.148336,0.449134,20.2443,5.23466,11.992,4.95575,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.8718,1.86262,1.86203,1.8685,1.85862,1.86505,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.649,0.2667,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.2,50,1.05713,2.38892,1.44775,2.30103,1.44409,2.30591,36.8366,24.3502,18,420.404,472.014,27.1872,29.5591,29.9998,29.2585,29.2551,21.2059,25.4481,100,27.1945,419.9,23.9327,96.5064,99.7223,NA,3
16,1678827902,300,20230314 16:05:02,16:05:02,5,ely_can11_t2_ch3,gibson,1678827900,0.000320447,0.320446789,-0.23409466,419.9130001,428.3376952,38.80854834,38.04524828,0.01868855,3.99812433,0.018640155,0.011654434,0,27.87289213,27.49077778,3.683634679,57.5700735,2.176435724,3.780498429,1.507198955,-14.1317034,95.76508333,5.206173214,86.83955315,-0.23409466,0.320446789,-0.244886847,430.1448707,430.2403152,6.91E-05,67.48907916,0.314527734,23.90264506,24.02027758,-4.83E-05,125.5355964,8,2,1,0,47721,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827900,419.913,419.875,24.02175556,23.90235556,419.2633333,23.75506667,500.2937778,90.50275556,0.099936611,27.93506667,27.49077778,999.9,0,0,10010.63333,0,0.222567,0.037875698,430.2482222,430.1567778,0.119384556,419.875,23.90235556,2.174033333,2.163231111,18.77224444,18.69256667,0,0,0,0,1.688888889,0,-18.37777778,-3.077777778,36.78444444,41.75,39.375,40.687,37.812,0,0,0,1678827916,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.011408977,-0.087290813,0.055893039,1,0.132231075,-0.101834826,0.00997835,0,1,2,2-Jan,2.84244,2.71013,0.090812,0.0908557,0.10227,0.101801,25603.3,22189.5,25208.4,23777.7,38658,35348.2,45612.8,42416.5,1.74822,1.85562,0.0281818,0,27.0254,999.9,54.468,31.008,27.1659,53.7523,42.7003,1,0.148145,0.426767,20.2444,5.23511,11.992,4.95575,3.304,9999,9999,999.9,9999,1.86844,1.86418,1.87178,1.86261,1.86203,1.86847,1.85858,1.86501,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.65,0.2666,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.3,50.1,1.05713,2.35962,1.44775,2.30225,1.44409,2.46094,36.8366,24.3589,18,420.093,472.231,27.1928,29.5527,29.9999,29.2585,29.2542,21.205,25.4481,100,27.1999,419.9,23.9419,96.5068,99.7234,NA,3
17,1678827907,305,20230314 16:05:07,16:05:07,5,ely_can11_t2_ch3,gibson,1678827904,0.000300375,0.300374571,-0.160975181,419.9442001,423.0903719,38.33248333,38.04743647,0.017511413,3.997634754,0.017468909,0.010921879,0,27.87767322,27.48947,3.683352785,57.55176388,2.175856896,3.78069541,1.50749589,-13.24651857,96.22774128,5.231955026,88.21317774,-0.160975181,0.300374571,-0.164647357,430.1948945,430.2645394,-0.001074823,67.48907916,0.292221763,23.9042254,24.01384606,-8.03E-05,125.5355964,7,1,1,0,47805,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827904,419.9442,419.9309,24.01577,23.90384,419.2948,23.74935,500.2566,90.50126,0.09991146,27.93596,27.48947,999.9,0,0,10009.126,0,0.222567,0.013385002,430.2777,430.2146,0.1119428,419.9309,23.90384,2.173457,2.163328,18.768,18.69328,0,0,0,0,-1.73,0,-15.85,-2.59,36.7686,41.75,39.375,40.687,37.8435,0,0,0,1678827920,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.017154673,-0.060377675,0.057751824,1,0.123969375,-0.084298615,0.008181535,1,2,2,2-Feb,2.84204,2.71037,0.0908114,0.0908694,0.10225,0.101801,25603.7,22189.5,25208.7,23778.1,38658.9,35348.4,45612.8,42416.8,1.74835,1.85585,0.0292063,0,27.0161,999.9,54.468,31.028,27.1956,53.8523,43.8341,1,0.147947,0.409654,20.2444,5.23481,11.992,4.95595,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.8718,1.86262,1.86203,1.86848,1.85859,1.86502,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.65,0.2663,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.4,50.2,1.05713,2.3877,1.44775,2.30225,1.44409,2.2583,36.8129,24.3502,18,420.164,472.375,27.1998,29.5464,29.9998,29.2585,29.2539,21.2027,25.4481,100,27.2085,419.9,23.9516,96.5073,99.7244,NA,3
18,1678827912,310,20230314 16:05:12,16:05:12,5,ely_can11_t2_ch3,gibson,1678827910,0.000289269,0.289268833,-0.205575618,419.9193334,427.81918,38.76130179,38.04555937,0.016836743,3.993704019,0.016797409,0.010501907,0,27.88181593,27.4989,3.685385857,57.53786278,2.175590175,3.781145267,1.509795682,-12.75675554,94.54199357,5.14565355,86.93089158,-0.205575618,0.289268833,-0.168012246,430.1581461,430.2273697,-0.000718985,67.48907916,0.287298873,23.9049408,24.01210848,-1.24E-05,125.5355964,7,1,1,0,47749,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827910,419.9193333,419.8872222,24.01258889,23.9048,419.2697778,23.74627778,500.2708889,90.50195556,0.100110933,27.938,27.4989,999.9,0,0,9995.622222,0,0.222567,0.032212989,430.2508889,430.1704444,0.107788222,419.8872222,23.9048,2.173187778,2.163431111,18.766,18.69406667,0,0,0,0,0.966666667,0,-19.05555556,-2.866666667,36.75,41.75,39.375,40.687,37.847,0,0,0,1678827925,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.00238188,0.276360832,0.054072098,0,0.11754765,-0.077821441,0.007572699,1,1,2,2-Jan,2.84267,2.71028,0.09081,0.090862,0.102251,0.10181,25604.3,22190,25209.3,23778.3,38659.5,35348.5,45613.5,42417.3,1.74885,1.85548,0.0301562,0,27.0065,999.9,54.468,31.028,27.1942,53.5023,43.0008,1,0.147459,0.402541,20.2446,5.23481,11.992,4.9558,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.8718,1.86263,1.86203,1.86849,1.8586,1.86503,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.65,0.2663,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.5,50.3,1.05713,2.38037,1.44775,2.30225,1.44409,2.40112,36.8129,24.3589,18,420.447,472.114,27.208,29.54,29.9998,29.2585,29.2517,21.2023,25.4481,100,27.2115,419.9,23.9571,96.5091,99.7256,NA,3
19,1678827917,315,20230314 16:05:17,16:05:17,5,ely_can11_t2_ch3,gibson,1678827914,0.000279049,0.279048828,-0.040430021,419.9041,412.4301046,37.36722898,38.04439221,0.016237072,3.991744026,0.016200469,0.010128575,0,27.88174565,27.49988,3.685597198,57.54147761,2.175469272,3.780697615,1.510127926,-12.30605333,93.84783437,5.11035365,86.65213469,-0.040430021,0.279048828,-0.092416677,430.2378406,430.2698303,0.000852569,67.48907916,0.275564618,23.90781834,24.01067636,-1.94E-05,125.5355964,7,1,1,0,47892,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827914,419.9041,419.9334,24.01112,23.90714,419.2544,23.74488,500.2748,90.50253,0.10004379,27.93597,27.49988,999.9,0,0,9988.866,0,0.222567,-0.029409791,430.2343,430.2186,0.1039892,419.9334,23.90714,2.173068,2.163657,18.76513,18.69572,0,0,0,0,0.16,0,-18.8,-3.03,36.75,41.75,39.375,40.687,37.8498,0,0,0,1678827931,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.008554834,-0.165220528,0.048334244,0,0.111836025,-0.062171111,0.006118554,1,1,2,2-Jan,2.84224,2.71015,0.0908124,0.0908592,0.102246,0.10182,25604.3,22190.1,25209.4,23778.4,38659.9,35348.4,45613.8,42417.7,1.74885,1.85537,0.0309013,0,26.9968,999.9,54.468,31.028,27.1946,53.7223,43.121,1,0.147045,0.405531,20.2445,5.23526,11.992,4.95605,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.8718,1.86264,1.86203,1.8685,1.85863,1.86504,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.649,0.2663,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.5,50.4,1.05591,2.36206,1.44775,2.30225,1.44409,2.51465,36.8366,24.3589,18,420.43,472.05,27.2116,29.5337,29.9998,29.2561,29.2517,21.2034,25.4481,100,27.2121,419.9,23.9666,96.5095,99.7263,NA,3
20,1678827922,320,20230314 16:05:22,16:05:22,5,ely_can11_t2_ch3,gibson,1678827920,0.000274703,0.274702823,-0.16919819,419.9287778,425.2554893,38.52980084,38.04718007,0.015983477,3.990978361,0.015948,0.009970681,0,27.88537719,27.50021111,3.685668605,57.53301255,2.175504055,3.781314343,1.51016455,-12.11439451,94.36032616,5.139326661,87.38525831,-0.16919819,0.274702823,-0.230028868,430.1997959,430.2867818,0.000611745,67.48907916,0.275418483,23.90876879,24.0113103,8.89E-06,125.5355964,7,1,1,0,47632,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827920,419.9287778,419.9082222,24.01115556,23.9088,419.279,23.74491111,500.2993333,90.50375556,0.100132722,27.93876667,27.50021111,999.9,0,0,9986.116667,0,0.222567,0.020382354,430.2596667,430.1938889,0.102354667,419.9082222,23.9088,2.1731,2.163836667,18.76536667,18.69704444,0,0,0,0,-1.188888889,0,-17.82222222,-2.655555556,36.75,41.75,39.326,40.687,37.82622222,0,0,0,1678827935,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.006665799,-0.088106641,0.043671173,1,0.1072864,-0.045365989,0.004587407,1,2,2,2-Feb,2.84257,2.71012,0.0908243,0.0908562,0.10225,0.101824,25604.2,22190.1,25209.6,23778.3,38659.8,35348.1,45613.8,42417.4,1.74888,1.8555,0.0313483,0,26.9877,999.9,54.468,31.028,27.1922,54.4823,43.726,1,0.146832,0.555193,20.244,5.23466,11.992,4.9558,3.304,9999,9999,999.9,9999,1.86846,1.86418,1.8718,1.86264,1.86203,1.86848,1.85861,1.86501,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.649,0.2663,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.6,50.4,1.05713,2.3877,1.44775,2.30103,1.44409,2.32056,36.8366,24.3502,18,420.444,472.11,27.2082,29.5273,29.9998,29.2561,29.2492,21.2037,25.4481,100,27.1517,419.9,23.9724,96.5099,99.7257,NA,3
21,1678827927,325,20230314 16:05:27,16:05:27,5,ely_can11_t2_ch3,gibson,1678827924,0.000273714,0.273714297,-0.153185652,419.9412001,423.7377457,38.39221062,38.04822951,0.01592764,3.991168883,0.015892411,0.009935916,0,27.88409501,27.49933,3.685478587,57.53750394,2.175486518,3.780988694,1.509992069,-12.07080049,94.23668394,5.132287122,87.29817058,-0.153185652,0.273714297,-0.236262602,430.198573,430.2898303,0.000236383,67.48907916,0.269472604,23.90896111,24.00957879,-2.29E-05,125.5355964,7,1,1,0,47804,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827924,419.9412,419.9266,24.01101,23.90902,419.2918,23.74477,500.2858,90.50382,0.09988715,27.93729,27.49933,999.9,0,0,9986.76,0,0.222567,0.014724729,430.2727,430.2126,0.1019947,419.9266,23.90902,2.173089,2.163858,18.76529,18.69721,0,0,0,0,2.06,0,-21.08,-3.14,36.75,41.7248,39.3246,40.6746,37.8059,0,0,0,1678827940,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.007896431,0.124356534,0.04651669,0,0.104492125,-0.025601032,0.00276756,1,1,2,2-Jan,2.84264,2.71011,0.0908284,0.0908717,0.102241,0.101824,25604.6,22189.7,25210,23778.3,38660.5,35348,45614.2,42417.3,1.74853,1.85597,0.0318326,0,26.9793,999.9,54.468,31.028,27.1957,53.6823,42.6643,1,0.146126,0.530302,20.2439,5.23481,11.992,4.95595,3.304,9999,9999,999.9,9999,1.86846,1.86417,1.87179,1.86263,1.86203,1.86847,1.85861,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.649,0.2661,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.7,50.5,1.05591,2.35718,1.44775,2.30225,1.44409,2.47437,36.8129,24.3589,18,420.239,472.404,27.1555,29.5209,29.9996,29.255,29.2476,21.2006,25.4481,100,27.1634,419.9,23.9833,96.511,99.7255,NA,3
22,1678827932,330,20230314 16:05:32,16:05:32,5,ely_can11_t2_ch3,gibson,1678827930,0.000256884,0.256884412,-0.440240972,419.9982224,455.166025,41.24012109,38.05375753,0.014941668,3.995762263,0.014910697,0.009321963,0,27.8860302,27.4996,3.685536814,57.53108174,2.175067355,3.78068218,1.510469459,-11.32860256,93.98754317,5.112805628,87.77174625,-0.440240972,0.256884412,-0.286773473,430.1579246,430.2900545,-0.004092218,67.48907916,0.252265531,23.91061095,24.00490303,-3.21E-05,125.5355964,7,1,1,0,47958,0,0,0,0,1.91,0.5,0: Broadleaf,2,FALSE,1678827930,419.9982222,419.8713333,24.00615556,23.91043333,419.3486667,23.74012222,500.2711111,90.50458889,0.099979178,27.9359,27.4996,999.9,0,0,10002.36111,0,0.222567,0.127092311,430.3287778,430.1563333,0.095713722,419.8713333,23.91043333,2.172665556,2.164002222,18.76218889,18.69828889,0,0,0,0,1.255555556,0,-17.33333333,-2.966666667,36.75,41.722,39.312,40.687,37.833,0,0,0,1678827946,0,1678824896,15:14:56,1678824885,1678824896,1,0.326,0.069,0.65,0.401,420,27,0.75,0.22,0.027581823,0.455300926,0.063330323,0,0.101716968,-0.02806233,0.003105085,1,1,2,2-Jan,2.84247,2.71025,0.0908151,0.0908538,0.102227,0.101827,25604.9,22190.6,25209.9,23778.7,38661.2,35348.5,45614.4,42418.1,1.74915,1.85597,0.0323169,0,26.9718,999.9,54.468,31.028,27.1933,53.3323,43.5657,1,0.146006,0.446019,20.2442,5.23496,11.992,4.9559,3.304,9999,9999,999.9,9999,1.86844,1.86417,1.8718,1.86263,1.86203,1.86847,1.85859,1.86505,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.649,0.2659,0.436257332,0.001005831,-1.46E-06,6.48E-10,-0.068337496,-0.031446781,0.002590884,-2.83E-05,2,1297,1,27,50.8,50.6,1.05713,2.38892,1.44775,2.30225,1.44409,2.24609,36.8129,24.3502,18,420.583,472.394,27.1534,29.514,29.9997,29.2536,29.2464,21.204,25.1759,100,27.1639,419.9,23.9947,96.5112,99.7274,NA,3
