obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1677697996,0,20230301 13:13:15,13:13:15,5,albert,sch_sco18_t1_ch4,1677697988,0.001361209,1.361208691,13.42894238,411.5968915,132.5851347,11.89307523,36.92082679,0.079985625,3.526323233,0.078991221,0.049457826,321.5184534,27.92168382,27.50093333,3.685824365,62.57066002,2.190686354,3.501139916,1.495138011,-60.02930328,-166.4727192,-10.19461612,84.82181475,13.3904033,1.368636714,13.42894238,430.14859,421.8970364,4.75E-06,63.61655111,1.361208691,23.62746346,24.42413879,4.17E-06,95.64935231,0,0,1,0,47393,2000.019,1681.21566,0.840599844,0.1607577,3,0.5,0: Broadleaf,2,TRUE,1677697988,411.5969,419.9683667,24.42198,23.62092667,408.4372333,24.09843333,500.0460667,89.60142667,0.09999614,26.62527333,27.50093333,999.9,0,0,10000.46,0,2.497321667,-8.371448,421.9005667,430.1283667,0.8010555,419.9683667,23.62092667,2.188244667,2.116469,18.87650333,18.34367333,2000.019,0.980004,0.0199959,0,1.977953333,0,6574.636,17338.43,38.34973333,39.02893333,37.55393333,37.07486667,37.41226667,1960.029,39.99,0,1677697996,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,-8.3635425,-0.069746792,0.053628511,1,0.802857225,-0.044552882,0.004423324,1,2,2,2-Feb,2.97939,2.72794,0.0836697,0.0859116,0.10756,0.105904,27468.2,27111.3,30505.9,29907.1,37548.4,35186.9,46649.3,44459.6,1.8786,1.84522,0.11833,0,25.5584,999.9,59.1,30.6,29.0861,63.3113,22.7804,1,-0.0218039,0.520038,20.2494,5.23571,11.9685,4.9723,3.29045,9999,9999,9999,999.9,4.97276,1.87689,1.87499,1.87777,1.87454,1.87815,1.87525,1.87637,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.159,0.3236,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220498.9,220499,1.11084,2.52075,1.39893,2.3584,1.44897,2.46704,36.0347,14.7625,18,492.836,443.566,24.4199,26.6998,30.0001,26.5265,26.5973,22.1973,28.0952,80.5861,24.4178,413.309,23.5826,100.828,102.247,NA,4
2,1677698001,5,20230301 13:13:20,13:13:20,5,albert,sch_sco18_t1_ch4,1677697993,0.001364863,1.364863179,13.5068624,411.5966811,131.6999202,11.81376612,36.9211076,0.080187205,3.526916397,0.079187983,0.049581228,321.5165767,27.9202316,27.50282759,3.686232919,62.57546045,2.190797797,3.501049423,1.495435122,-60.19046618,-166.9443452,-10.22185308,84.15991225,13.18054426,1.365464209,13.5068624,430.1877399,421.8894606,-0.000286122,63.61655111,1.364863179,23.62499684,24.42386788,-1.91E-06,95.64935231,0,0,1,0,47458,2000.007241,1681.205783,0.840599848,0.160757706,3,0.5,0: Broadleaf,2,TRUE,1677697993,411.5966897,419.8416207,24.42302414,23.62381379,408.437,24.09945172,500.0368621,89.6022931,0.099857803,26.62483448,27.50282759,999.9,0,0,10002.76621,0,2.454466897,-8.244953793,421.9007241,429.9998276,0.799211241,419.8416207,23.62381379,2.188358966,2.116748621,18.87733793,18.34577586,2000.007241,0.980003793,0.019996114,0,1.922703448,0,6574.612069,17338.32069,38.34672414,39.01710345,37.51489655,37.06886207,37.39848276,1960.017241,39.99,0,1677698001,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,-8.357013,0.329999775,0.135843171,0,0.8010414,-0.029481929,0.003456617,1,1,2,2-Jan,2.97954,2.72815,0.0836457,0.0854948,0.107557,0.105901,27468.7,27123.8,30505.7,29907.3,37548.5,35187.4,46649.2,44460,1.87838,1.84533,0.119507,0,25.5584,999.9,59.1,30.6,29.0865,63.2313,22.7724,1,-0.0218216,0.512549,20.2489,5.23107,11.9682,4.97105,3.28982,9999,9999,9999,999.9,4.97275,1.87688,1.875,1.87777,1.87454,1.87812,1.87519,1.87636,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.16,0.3236,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220498.9,220499.1,1.08398,2.51709,1.39893,2.35962,1.44897,2.47681,36.0347,14.7625,18,492.72,443.645,24.4179,26.7015,30.0003,26.5277,26.5995,21.6903,28.0952,80.5861,24.4192,399.946,23.5826,100.827,102.248,NA,4
3,1677698006,10,20230301 13:13:25,13:13:25,5,albert,sch_sco18_t1_ch4,1677697998,0.001363315,1.363315338,13.32307886,411.1139916,134.5876334,12.07275572,36.87767341,0.080095877,3.526747043,0.079098867,0.049525335,321.517587,27.91849002,27.50289643,3.686247767,62.58433763,2.190831768,3.500607103,1.495415999,-60.12220641,-167.3572931,-10.24752332,83.79056417,9.47690219,1.363245156,13.32307886,422.5307719,418.3978424,-0.886298312,63.61655111,1.363315338,23.62491683,24.42288606,-3.86E-07,95.64935231,0,0,1,0,47428,2000.013571,1681.2111,0.840599846,0.160757703,3,0.5,0: Broadleaf,2,TRUE,1677697998,411.114,417.1360714,24.42349286,23.62556786,407.9555,24.09991071,500.0281786,89.60206071,0.099759629,26.62268929,27.50289643,999.9,0,0,10002.10607,0,2.728748929,-6.022054821,421.4061429,427.2295357,0.797934107,417.1360714,23.62556786,2.188395357,2.116899286,18.87761071,18.34691071,2000.013571,0.980003786,0.019996121,0,1.897182143,0,6575.085357,17338.37143,38.339,39.00885714,37.56017857,37.06907143,37.37928571,1960.023571,39.99,0,1677698006,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,-6.963501341,20.08631045,2.707967661,0,0.799099366,-0.011736021,0.002079704,1,1,2,2-Jan,2.97965,2.72849,0.0830307,0.083505,0.10756,0.105909,27486.8,27182.6,30505.3,29907.1,37547.5,35186.6,46648.2,44459.5,1.87855,1.84522,0.119042,0,25.5584,999.9,59.1,30.6,29.083,63.3613,22.8526,1,-0.021687,0.511334,20.2488,5.23092,11.968,4.9709,3.28982,9999,9999,9999,999.9,4.97276,1.87685,1.87497,1.87776,1.87453,1.87808,1.87517,1.87634,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.149,0.3236,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499,220499.1,1.05347,2.51953,1.39893,2.3584,1.44897,2.46704,36.0347,14.7625,18,492.824,443.591,24.4186,26.7032,30.0002,26.5288,26.6006,20.9941,28.0952,80.5861,24.4188,379.913,23.5826,100.826,102.247,NA,4
4,1677698011,15,20230301 13:13:30,13:13:30,5,albert,sch_sco18_t1_ch4,1677698003,0.001359856,1.359855538,13.33443306,408.2502508,130.7703779,11.73032108,36.62072862,0.079852226,3.526833375,0.078861257,0.049376295,321.516485,27.91717879,27.50598889,3.686914839,62.59114898,2.190807767,3.500187811,1.496107072,-59.96962922,-168.3360768,-10.30725813,82.90352088,1.298561038,1.362953479,13.33443306,407.6747644,408.9054727,-2.060464137,63.61655111,1.359855538,23.62669688,24.42265091,-2.17E-06,95.64935231,0,0,1,0,47511,2000.006667,1681.2053,0.840599848,0.160757707,3,0.5,0: Broadleaf,2,TRUE,1677698003,408.2502593,409.3631852,24.42326667,23.62551481,405.0990741,24.09969259,500.0298148,89.60184074,0.099827644,26.62065556,27.50598889,999.9,0,0,10002.48037,0,2.734299259,-1.112910556,418.4706667,419.2685185,0.797756148,409.3631852,23.62551481,2.18837,2.116889259,18.87742593,18.34683704,2000.006667,0.980003667,0.019996244,0,1.954455556,0,6576.310741,17338.30741,38.35614815,38.99533333,37.39340741,37.02537037,37.36096296,1960.016667,39.99,0,1677698011,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,-3.661708415,52.79961623,5.704336687,0,0.79774322,-0.005567979,0.001556014,1,1,2,2-Jan,2.97974,2.72858,0.0815053,0.0810241,0.107558,0.105911,27532.1,27256.2,30504.9,29907.1,37547.3,35186.3,46647.9,44459.5,1.87845,1.84497,0.118762,0,25.5562,999.9,59.1,30.6,29.0873,63.4613,22.6442,1,-0.0215473,0.526609,20.2487,5.23047,11.968,4.9709,3.2897,9999,9999,9999,999.9,4.97275,1.87688,1.875,1.87777,1.87454,1.87812,1.87517,1.87636,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.124,0.3235,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.1,220499.2,1.01562,2.51221,1.39893,2.35962,1.44897,2.48047,36.0347,14.7625,18,492.785,443.447,24.4179,26.7049,30.0002,26.531,26.6018,20.3229,28.0952,80.5861,24.4133,366.542,23.5826,100.825,102.247,NA,4
5,1677698016,20,20230301 13:13:35,13:13:35,5,albert,sch_sco18_t1_ch4,1677698008,0.001358927,1.35892735,12.97861207,401.8754204,131.6008183,11.80493605,36.04927158,0.07982744,3.527568691,0.078837285,0.049361241,321.519354,27.91643969,27.50333571,3.686342519,62.59296477,2.190780741,3.500043094,1.495561778,-59.92869612,-168.0000994,-10.28436932,83.30618917,-8.257607809,1.360731544,12.97861207,391.2590959,395.7101758,-2.716746663,63.61655111,1.35892735,23.62738467,24.42272364,2.81E-06,95.64935231,0,0,1,0,47386,2000.024643,1681.2204,0.840599843,0.160757696,3,0.5,0: Broadleaf,2,TRUE,1677698008,401.8754286,397.2494643,24.42271071,23.62629643,398.7408929,24.09915357,500.0533571,89.6026,0.100003718,26.61995357,27.50333571,999.9,0,0,10005.37464,0,2.781058214,4.626024821,411.9360714,406.862,0.796422214,397.2494643,23.62629643,2.188338929,2.1169775,18.8772,18.34749286,2000.024643,0.980003786,0.019996121,0,1.998428571,0,6578.683214,17338.46429,38.37467857,38.991,37.35696429,37.00210714,37.33917857,1960.034643,39.99,0,1677698016,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,1.537756625,74.35168875,7.234931309,0,0.797162,-0.016942176,0.001715509,1,1,2,2-Jan,2.97955,2.72845,0.0794178,0.0783793,0.107553,0.105913,27594.9,27334.2,30505.1,29906.6,37547.4,35185.6,46648,44458.9,1.87867,1.84497,0.118505,0,25.5547,999.9,59.1,30.6,29.0814,63.2013,22.8486,1,-0.0214583,0.528668,20.2487,5.23032,11.968,4.9708,3.28982,9999,9999,9999,999.9,4.97276,1.87691,1.87499,1.87778,1.87454,1.87817,1.87517,1.87637,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.089,0.3236,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.2,220499.3,0.982666,2.52075,1.39893,2.3584,1.44897,2.46338,36.0347,14.7537,18,492.921,443.464,24.4131,26.7071,30.0003,26.5327,26.604,19.5762,28.0952,80.5861,24.4119,346.506,23.5826,100.825,102.245,NA,4
6,1677698021,25,20230301 13:13:40,13:13:40,5,albert,sch_sco18_t1_ch4,1677698013,0.001358228,1.358228299,12.91679328,390.5820289,121.8225355,10.92794706,35.03670085,0.079818412,3.526483778,0.078828179,0.049355557,321.519677,27.91661306,27.50072222,3.685778834,62.59448768,2.190787941,3.499969442,1.494990893,-59.897868,-167.519479,-10.2579499,83.84438006,-16.89294174,1.358876179,12.91679328,374.3661194,380.528497,-3.082538429,63.61655111,1.358228299,23.62737499,24.42233697,-5.88E-07,95.64935231,0,0,1,0,47449,2000.026667,1681.2221,0.840599842,0.160757695,3,0.5,0: Broadleaf,2,TRUE,1677698013,390.582037,380.7656667,24.42245926,23.62712222,387.4771481,24.09891111,500.048037,89.60375926,0.100062874,26.6195963,27.50072222,999.9,0,0,10000.85,0,2.809027778,9.816417407,400.3598519,389.9797407,0.795336704,380.7656667,23.62712222,2.188344815,2.117078889,18.87723704,18.34825556,2000.026667,0.980003778,0.01999613,0,2.026944444,0,6582.455556,17338.48148,38.36318519,38.979,37.34696296,36.99066667,37.32855556,1960.036667,39.99,0,1677698020,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,6.738505625,58.40694902,5.824740178,0,0.796013975,-0.012755921,0.001409281,1,1,2,2-Jan,2.97975,2.72848,0.0770065,0.0756394,0.107556,0.10591,27666.9,27415.2,30504.8,29906.3,37546.6,35185.3,46647.3,44458.6,1.87862,1.84485,0.118889,0,25.5541,999.9,59.1,30.6,29.0847,63.3913,22.52,1,-0.0211966,0.509676,20.2486,5.23017,11.968,4.97115,3.28955,9999,9999,9999,999.9,4.97276,1.87686,1.875,1.87778,1.87454,1.87814,1.87517,1.87635,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.05,0.3235,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.3,220499.4,0.944824,2.52075,1.39893,2.3584,1.44897,2.48413,36.0347,14.7537,18,492.905,443.404,24.4113,26.7089,30.0001,26.5345,26.6063,18.8915,28.0952,80.5861,24.4151,333.142,23.5826,100.824,102.244,NA,4
7,1677698026,30,20230301 13:13:45,13:13:45,5,albert,sch_sco18_t1_ch4,1677698018,0.001358277,1.358277218,12.33781718,377.6492065,120.872867,10.84270485,33.87641069,0.07983755,3.527456925,0.078847115,0.04936741,321.520152,27.91576439,27.49917143,3.685444391,62.59563699,2.190763204,3.499865661,1.494681186,-59.90002533,-167.3665289,-10.24565147,84.0079463,-21.06583901,1.35866953,12.33781718,357.3244781,364.4971879,-3.225663715,63.61655111,1.358277218,23.6266337,24.42165091,-4.65E-06,95.64935231,0,0,1,0,47465,2000.029643,1681.2246,0.840599841,0.160757693,3,0.5,0: Broadleaf,2,TRUE,1677698018,377.6492143,365.3187857,24.42230357,23.62708929,374.5787143,24.09876786,500.04925,89.60330714,0.10007395,26.61909286,27.49917143,999.9,0,0,10004.84286,0,2.690234286,12.33047321,387.10325,374.1590714,0.795212786,365.3187857,23.62708929,2.18832,2.117065714,18.87706071,18.34816071,2000.029643,0.980003786,0.019996121,0,2.023803571,0,6586.333214,17338.5,38.37478571,38.973,37.34792857,36.99314286,37.31228571,1960.039643,39.99,0,1677698026,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,10.19330195,36.37242606,3.768245396,0,0.795532805,-0.00357554,0.000898171,1,1,2,2-Jan,2.97977,2.72845,0.074423,0.0728618,0.107548,0.105908,27744.3,27497.7,30504.8,29906.4,37546.9,35185.3,46647.5,44458.8,1.87847,1.84457,0.119492,0,25.5541,999.9,59.1,30.6,29.0844,63.1613,22.5,1,-0.0211814,0.505697,20.2485,5.22987,11.968,4.97115,3.28963,9999,9999,9999,999.9,4.97277,1.8769,1.875,1.87776,1.87454,1.87815,1.87519,1.87637,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.007,0.3235,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.4,220499.5,0.910645,2.51709,1.39893,2.3584,1.44897,2.47803,36.0347,14.7712,18,492.83,443.243,24.4138,26.7112,30.0001,26.5356,26.6074,18.1351,28.0952,80.5861,24.4151,313.092,23.5826,100.824,102.245,NA,4
8,1677698031,35,20230301 13:13:50,13:13:50,5,albert,sch_sco18_t1_ch4,1677698023,0.001356677,1.356676849,12.09152795,361.7252146,109.8968738,9.858126812,32.44799342,0.079703818,3.525794381,0.078716217,0.049285348,321.5186936,27.91514355,27.50234074,3.686127912,62.60036773,2.190729923,3.499548009,1.495397989,-59.82944906,-168.182996,-10.30057188,83.20567657,-23.65971357,1.357492194,12.09152795,340.350569,348.0358606,-3.304601716,63.61655111,1.356676849,23.62825833,24.42225697,8.86E-06,95.64935231,0,0,1,0,47382,2000.02037,1681.216822,0.840599849,0.160757709,3,0.5,0: Broadleaf,2,TRUE,1677698023,361.7252222,347.8251852,24.42191852,23.62738148,358.6974444,24.09838519,500.042,89.60335185,0.100080778,26.61755185,27.50234074,999.9,0,0,9998.102963,0,2.520436296,13.90003704,370.7804815,356.2423333,0.794530889,347.8251852,23.62738148,2.188286667,2.117092963,18.87681481,18.34837407,2000.02037,0.980003556,0.019996359,0,2.00612963,0,6591.202963,17338.41852,38.36551852,38.96266667,37.25437037,36.98581481,37.28911111,1960.03,39.99037037,0,1677698031,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,12.96046575,17.47218225,1.769029022,0,0.794689125,-0.005772259,0.001113562,1,1,2,2-Jan,2.97965,2.72825,0.0717258,0.0700376,0.107554,0.105915,27824.4,27581.4,30504,29906.4,37545.6,35184.8,46646.4,44458.7,1.87838,1.84465,0.118874,0,25.5536,999.9,59.1,30.6,29.0827,63.0213,22.5481,1,-0.0210417,0.507334,20.2486,5.23032,11.968,4.9711,3.28985,9999,9999,9999,999.9,4.97276,1.87684,1.87498,1.87775,1.87453,1.87808,1.87515,1.87632,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.963,0.3236,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.4,220499.6,0.874023,2.52808,1.39893,2.3584,1.44897,2.4646,36.0347,14.7625,18,492.79,443.303,24.4147,26.7129,30.0003,26.5377,26.6091,17.4786,28.0952,80.5861,24.4148,299.707,23.5826,100.822,102.245,NA,4
9,1677698036,40,20230301 13:13:55,13:13:55,5,albert,sch_sco18_t1_ch4,1677698028,0.001353157,1.353156848,11.74684285,346.8377783,101.7187835,9.124581802,31.11273623,0.079500938,3.525145448,0.078518146,0.049161129,321.5164107,27.91395557,27.50166071,3.685981242,62.60721976,2.190689268,3.499100067,1.495291974,-59.67421698,-168.4358308,-10.31780901,83.08855384,-24.51942829,1.355976399,11.74684285,324.0586744,331.6875636,-3.24591265,63.61655111,1.353156848,23.62833287,24.42034424,-1.06E-06,95.64935231,0,0,1,0,47327,2000.006071,1681.204811,0.840599854,0.160757717,3,0.5,0: Broadleaf,2,TRUE,1677698028,346.8377857,332.4094643,24.42131071,23.62765714,343.8507857,24.09779286,500.0399643,89.60398571,0.100014775,26.61537857,27.50166071,999.9,0,0,9995.403929,0,2.463666071,14.42841071,355.5201786,340.4535714,0.793653643,332.4094643,23.62765714,2.188246786,2.117132143,18.87652857,18.34867143,2000.006071,0.980003357,0.019996564,0,1.9453,0,6595.863929,17338.28571,38.39703571,38.95275,37.26314286,36.96167857,37.27432143,1960.015714,39.99035714,0,1677698035,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,13.89519268,8.617519861,0.962065875,0,0.794012707,-0.010212105,0.001426177,1,1,2,2-Jan,2.97955,2.72829,0.0690108,0.0672995,0.107552,0.105921,27906.4,27662.3,30504.6,29906,37546.1,35184.1,46647.3,44458.4,1.87853,1.84455,0.118844,0,25.5509,999.9,59.1,30.6,29.0838,63.2713,22.5361,1,-0.0208308,0.50741,20.2485,5.22987,11.9682,4.9711,3.28973,9999,9999,9999,999.9,4.97276,1.87688,1.875,1.87778,1.87455,1.87813,1.87518,1.87637,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.919,0.3235,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.5,220499.6,0.839844,2.52075,1.39893,2.3584,1.44897,2.45483,36.0347,14.7625,18,492.889,443.254,24.4147,26.7145,30.0003,26.54,26.6107,16.8013,28.0952,80.2146,24.4147,286.356,23.5826,100.823,102.244,NA,4
10,1677698041,45,20230301 13:14:00,13:14:00,5,albert,sch_sco18_t1_ch4,1677698033,0.001353818,1.353818198,11.17907083,330.0252151,97.0172862,8.703055442,29.60531939,0.079593967,3.523553803,0.07860845,0.049217809,321.5150878,27.91069244,27.497,3.684976146,62.61888739,2.190624257,3.498344267,1.494351889,-59.70338254,-168.1710997,-10.30581675,83.33478876,-24.94066564,1.354144249,11.17907083,307.75338,315.5979152,-3.216673158,63.61655111,1.353818198,23.62510142,24.41754788,-8.37E-06,95.64935231,0,0,1,0,47419,1999.997778,1681.197844,0.840599856,0.160757723,3,0.5,0: Broadleaf,2,TRUE,1677698033,330.0252222,315.3302222,24.41997778,23.6274,327.0847037,24.09647778,500.0428148,89.60625556,0.0999791,26.61171111,27.497,999.9,0,0,9988.705556,0,2.557722222,14.69507778,338.2862593,322.960963,0.792574852,315.3302222,23.6274,2.188182222,2.117162963,18.87605556,18.3488963,1999.997778,0.980003222,0.019996704,0,1.925344444,0,6601.72037,17338.21111,38.40477778,38.94166667,37.259,36.91392593,37.24740741,1960.007407,39.99037037,0,1677698041,0,0,--:--:--,1664468065,1664468058,0,-0.419,-0.005,3.097,0.178,400,18,0.15,0.05,14.45617317,3.039016725,0.396786804,0,0.793378902,-0.013909714,0.00188452,1,1,2,2-Jan,2.97952,2.72849,0.0662708,0.064389,0.107542,0.105889,27988.3,27748.4,30504.4,29905.8,37546,35185.1,46646.8,44458.4,1.87843,1.84438,0.118449,0,25.5482,999.9,59.1,30.6,29.0827,63.4013,22.6042,1,-0.020625,0.491255,20.2487,5.22987,11.9682,4.97105,3.2897,9999,9999,9999,999.9,4.97276,1.87686,1.87498,1.87775,1.87454,1.87814,1.87515,1.87634,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.874,0.3234,1.862521351,0.003847806,-1.84E-06,4.88E-10,-0.00024962,-6.49E-06,0.000720545,-6.75E-06,-1,2113,1,25,220499.6,220499.7,0.802002,2.52075,1.39893,2.35962,1.44897,2.44507,36.0347,14.7537,18,492.842,443.164,24.415,26.7162,30.0004,26.5412,26.613,16.0326,28.0952,80.2146,24.4196,266.32,23.5826,100.823,102.243,NA,4
