obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
277,1677705184,5497.6,20230301 15:13:03,15:13:03,5,sor_nut18_t1_ch4,stan,1677705176,0.000995881,0.99588106,4.620332069,417.6053502,280.3570285,25.1083965,37.40017066,0.058454471,2.977462888,0.057824336,0.036196259,321.518863,28.96228787,27.49116452,3.683718044,59.99527661,2.191888403,3.653434948,1.491829642,-43.91835475,-22.63190464,-1.647310276,253.3212933,4.605024056,1.010474171,4.620332069,430.3415172,428.0700545,-0.000354823,66.13658854,0.99588106,23.995742,24.46232242,-8.52E-05,81.94485449,0,0,1,0,47292,2000.014194,1681.212232,0.840600151,0.160758291,4.8,0.5,0: Broadleaf,2,TRUE,1677705176,417.6053548,420.0183226,24.47433548,24.00117742,420.8705806,24.60212903,999.9974839,89.45875161,0.099896632,27.35017419,27.49116452,999.9,0,0,10001.77258,0,3.250970645,-2.412899032,428.0824839,430.347,0.473161548,420.0183226,24.00117742,2.189443548,2.147115484,18.88528065,18.57309032,2000.014194,0.979993935,0.020005965,0,2.229774194,0,6045.776452,16749.55161,37.183,38.125,37.312,37.258,36.562,1960.003871,40.01032258,0,1677705184,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,-2.40672225,-0.030369794,0.022507256,1,0.4710683,0.004244645,0.006854834,1,2,2,2-Feb,3.92266,2.71992,0.0936563,0.0926114,0.107986,0.104357,28862.1,28961,29595.4,29516.7,34984.2,35131.6,41708.7,42059.2,2.63925,2.09043,0.0735,0,26.2869,999.9,50.7,33.7,29.778,62.3746,32.8686,3,-0.0873831,0.0802315,20.3401,5.22223,12.0099,4.99055,3.28925,9999,9999,9999,999.9,1.86809,1.8671,1.86646,1.86646,1.86829,1.87069,1.86935,1.87076,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.265,-0.1278,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37710.7,37710.7,1.56616,2.20459,2.64648,2.99194,3.04443,2.46704,40.9638,23.9737,18,1144.14,564.278,25.4839,26.3975,30.0001,26.3284,26.2782,31.2747,19.384,60.8884,25.4929,413.295,23.9773,101.237,101.015,NA,4
278,1677705189,5502.6,20230301 15:13:08,15:13:08,5,sor_nut18_t1_ch4,stan,1677705181,0.001008761,1.008761478,4.452933418,417.5702713,286.3868273,25.64816007,37.39665424,0.059195715,2.977248009,0.058549547,0.036650935,321.5182549,28.9617857,27.48987586,3.683440267,59.96255298,2.191038708,3.654011711,1.492401559,-44.48638119,-21.99089403,-1.600779743,253.4401999,4.255319759,1.004305983,4.452933418,429.1270532,427.5745091,-0.269177493,66.13658854,1.008761478,23.99335913,24.4654703,8.78E-05,81.94485449,0,0,1,0,47192,2000.01,1681.208741,0.840600168,0.160758324,4.8,0.5,0: Broadleaf,2,TRUE,1677705181,417.5702759,419.8141724,24.4650931,23.99481034,420.8354138,24.59296552,999.9793793,89.45812414,0.099626521,27.35286897,27.48987586,999.9,0,0,10000.72414,0,3.156536897,-2.243835552,428.0424483,430.1351034,0.470289345,419.8141724,23.99481034,2.188601379,2.146530345,18.87912414,18.56874483,2000.01,0.979993552,0.020006348,0,2.255627586,0,6045.134483,16749.51034,37.18272414,38.125,37.312,37.25855172,36.562,1959.998621,40.01137931,0,1677705189,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,-2.35975975,0.917194334,0.167857588,0,0.472515925,-0.033557032,0.005041708,1,1,2,2-Jan,3.92265,2.71975,0.0935281,0.0921635,0.107997,0.104353,28866.1,28975.2,29595.4,29516.6,34983.5,35131.4,41708.3,42058.8,2.63952,2.0905,0.0738502,0,26.287,999.9,50.7,33.7,29.7794,62.5046,32.8806,3,-0.0876042,0.0709886,20.3395,5.21699,12.0099,4.9891,3.2885,9999,9999,9999,999.9,1.86808,1.8671,1.86646,1.86646,1.86829,1.87071,1.86935,1.87074,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.262,-0.1279,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37710.8,37710.8,1.53931,2.20459,2.64648,2.99194,3.04443,2.45728,40.9638,23.9649,18,1144.48,564.334,25.4935,26.3975,30.0001,26.3284,26.2782,30.7602,19.384,60.8884,25.499,399.93,23.9773,101.236,101.014,NA,4
279,1677705194,5507.6,20230301 15:13:13,15:13:13,5,sor_nut18_t1_ch4,stan,1677705186,0.001013956,1.013955904,5.067686937,416.5230663,269.5283871,24.138653,37.30332776,0.059506492,2.976620826,0.058853425,0.036841469,321.5176307,28.96347766,27.48983214,3.683430844,59.95390946,2.191071075,3.654592493,1.492359769,-44.71545539,-21.54384688,-1.568589245,253.6897392,1.617007442,1.00651199,5.067686937,420.6850435,421.9580424,-1.589966552,66.13658854,1.013955904,23.99546684,24.47000121,9.22E-05,81.94485449,0,0,1,0,47153,2000.006071,1681.205443,0.84060017,0.160758327,4.8,0.5,0: Broadleaf,2,TRUE,1677705186,416.5230714,417.5005,24.46515357,23.99383214,419.7848929,24.593025,999.9672857,89.45944643,0.099405843,27.35558214,27.48983214,999.9,0,0,9997.311786,0,3.063511071,-0.977340357,426.969,427.7640714,0.471329286,417.5005,23.99383214,2.188638929,2.146474643,18.8794,18.56832143,2000.006071,0.9799935,0.0200064,0,2.248257143,0,6044.887857,16749.48214,37.17814286,38.125,37.312,37.25885714,36.562,1959.994643,40.01142857,0,1677705194,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,-1.513037341,12.07419236,1.514286062,0,0.471837732,0.003762585,0.003838987,1,1,2,2-Jan,3.92265,2.72024,0.092499,0.0905003,0.108016,0.104376,28899.4,29029,29595.9,29517.3,34983.3,35131.1,41709,42059.6,2.63928,2.09022,0.0732765,0,26.287,999.9,50.7,33.7,29.7759,62.6346,32.8926,3,-0.0876905,0.0730882,20.3395,5.21744,12.0099,4.98935,3.28842,9999,9999,9999,999.9,1.86808,1.86707,1.86646,1.86645,1.8683,1.87071,1.86935,1.87076,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.244,-0.1278,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37710.9,37710.9,1.50269,2.21558,2.64648,2.99194,3.04443,2.44995,40.9638,23.9649,18,1144.17,564.127,25.5005,26.3959,30,26.3284,26.2778,29.9487,19.384,60.8884,25.5044,379.89,23.9773,101.238,101.016,NA,4
280,1677705199,5512.6,20230301 15:13:18,15:13:18,5,sor_nut18_t1_ch4,stan,1677705191,0.001012684,1.012683531,4.880284225,412.4625136,270.4697739,24.22352346,36.94052473,0.059447401,2.976992512,0.058795704,0.036805272,321.5135104,28.9662371,27.48956296,3.683372823,59.95331093,2.191389015,3.655159292,1.491983808,-44.6593437,-21.0784248,-1.534528865,254.2412131,-3.430162165,1.0105149,4.880284225,407.4846119,410.9668,-2.483878506,66.13658854,1.012683531,24.00052686,24.47450727,7.53E-05,81.94485449,0,0,1,0,47255,1999.98037,1681.183844,0.840600173,0.160758333,4.8,0.5,0: Broadleaf,2,TRUE,1677705191,412.4625185,411.0160741,24.46813704,23.99494815,415.7117037,24.59597778,999.979,89.4617037,0.099222485,27.35822963,27.48956296,999.9,0,0,9998.994074,0,2.945795926,1.446504074,422.8078148,421.1206667,0.473200889,411.0160741,23.99494815,2.188961111,2.146627778,18.88175185,18.56946296,1999.98037,0.979993333,0.020006567,0,2.258911111,0,6045.16963,16749.27407,37.17781481,38.125,37.312,37.25459259,36.562,1959.969259,40.01111111,0,1677705199,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,0.126309976,26.62688693,2.79759584,0,0.471691488,0.024517777,0.003387898,1,1,2,2-Jan,3.92268,2.71995,0.0905915,0.088173,0.108029,0.104401,28959.9,29103,29595.7,29517.1,34982.4,35130.7,41708.6,42060.3,2.63958,2.0901,0.0733659,0,26.287,999.9,50.6,33.7,29.717,62.5246,32.9247,3,-0.087721,0.0646732,20.3396,5.21774,12.0099,4.98935,3.28848,9999,9999,9999,999.9,1.86811,1.8671,1.86646,1.86646,1.86829,1.87072,1.86936,1.87073,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.209,-0.1278,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711,37710.9,1.4563,2.21069,2.64648,2.99194,3.04443,2.46704,40.9638,23.9649,18,1144.51,564.016,25.5066,26.3954,30,26.3267,26.276,29.0756,19.384,60.8884,25.5145,366.525,23.9773,101.237,101.017,NA,4
281,1677705204,5517.6,20230301 15:13:23,15:13:23,5,sor_nut18_t1_ch4,stan,1677705196,0.001035958,1.035957829,4.621925314,404.7451024,272.6971338,24.4236331,36.25027421,0.060840316,2.975943633,0.060157672,0.03765924,321.5110137,28.9632516,27.49040357,3.683554016,59.9559099,2.191800689,3.655687476,1.491753327,-45.68574025,-20.81009378,-1.515553107,253.4996265,-8.925246229,1.01622211,4.621925314,392.3425824,397.0450545,-2.945451686,66.13658854,1.035957829,23.99376843,24.47867515,6.55E-05,81.94485449,0,0,1,0,47051,1999.965,1681.170911,0.840600166,0.16075832,4.8,0.5,0: Broadleaf,2,TRUE,1677705196,404.7451071,400.6583214,24.47210714,23.99624643,407.97025,24.59992143,999.9763214,89.46378214,0.099436775,27.36069643,27.49040357,999.9,0,0,9993.303214,0,3.287790714,4.086923214,414.8986071,410.5087857,0.475872321,400.6583214,23.99624643,2.189367143,2.146793929,18.884725,18.5707,1999.965,0.979993393,0.020006507,0,2.282107143,0,6045.811429,16749.15,37.17814286,38.125,37.312,37.25,36.562,1959.954643,40.01035714,0,1677705204,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,2.269069244,33.65110721,3.355091432,0,0.473884268,0.026722557,0.004415161,1,1,2,2-Jan,3.92268,2.72035,0.0881896,0.0855746,0.108045,0.104383,29036.3,29186.4,29595.6,29517.5,34981.7,35131.5,41708.6,42060.5,2.63975,2.09032,0.0736862,0,26.287,999.9,50.6,33.7,29.7184,62.6846,32.8365,3,-0.0877769,0.0601498,20.3395,5.21819,12.0099,4.98935,3.28865,9999,9999,9999,999.9,1.86811,1.86709,1.86646,1.86646,1.86829,1.87071,1.86935,1.87077,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.166,-0.1277,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711.1,37711,1.40991,2.20581,2.64648,2.99194,3.04443,2.47925,40.9638,23.9649,18,1144.71,564.182,25.5156,26.3954,29.9999,26.3262,26.276,28.0827,19.384,60.8884,25.5197,346.484,23.9773,101.237,101.018,NA,4
282,1677705209,5522.6,20230301 15:13:28,15:13:28,5,sor_nut18_t1_ch4,stan,1677705201,0.001029742,1.029741977,4.156568105,392.3084402,272.1654305,24.37643409,35.13701508,0.060489827,2.976461782,0.059815095,0.037444429,321.5150636,28.96818861,27.49061111,3.683598752,59.95647099,2.192281511,3.656455216,1.491317241,-45.41162117,-20.27173763,-1.476116762,254.355588,-13.42415736,1.01892091,4.156568105,376.3162734,381.7026424,-3.137613071,66.13658854,1.029741977,24.00317871,24.48513758,7.46E-05,81.94485449,0,0,1,0,47220,1999.99037,1681.192222,0.840600158,0.160758306,4.8,0.5,0: Broadleaf,2,TRUE,1677705201,392.3084444,386.0566667,24.47705185,23.99993704,395.4945185,24.60482222,999.9914815,89.4652037,0.099565952,27.36428148,27.49061111,999.9,0,0,9995.840741,0,3.832938148,6.2518,402.1518519,395.5497407,0.477128667,386.0566667,23.99993704,2.189844815,2.147157778,18.88821111,18.57340741,1999.99037,0.979993667,0.020006233,0,2.320714815,0,6046.872222,16749.36296,37.16403704,38.125,37.312,37.25,36.562,1959.98,40.01037037,0,1677705209,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,4.595239976,26.2739316,2.691262356,0,0.476035976,0.018189638,0.004168446,1,1,2,2-Jan,3.92266,2.72062,0.0855165,0.0827734,0.108064,0.104382,29121.4,29275.7,29595.6,29517.4,34981,35131.4,41708.7,42060.4,2.63932,2.0902,0.0736564,0,26.2876,999.9,50.6,33.7,29.7172,62.6946,32.9006,3,-0.0878049,0.0648393,20.3396,5.21834,12.0099,4.9897,3.28865,9999,9999,9999,999.9,1.8681,1.86708,1.86647,1.86646,1.86829,1.87071,1.86935,1.87076,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.119,-0.1277,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711.1,37711.1,1.35864,2.2168,2.64648,2.99194,3.04443,2.44995,40.9638,23.9562,18,1144.19,564.09,25.5222,26.3954,29.9999,26.3262,26.276,27.1078,19.384,60.8884,25.5253,333.127,23.9763,101.237,101.017,NA,4
283,1677705214,5527.6,20230301 15:13:33,15:13:33,5,sor_nut18_t1_ch4,stan,1677705206,0.00104547,1.045470099,4.352049412,378.9177099,255.7143201,22.90304904,33.9377587,0.061423527,2.976161404,0.060727864,0.038016761,321.5172267,28.96777295,27.49271786,3.6840529,59.95630594,2.192719068,3.657195075,1.491333833,-46.10523135,-20.05348651,-1.460412405,253.8980964,-15.54156243,1.029240593,4.352049412,359.8490766,365.4992061,-3.289626881,66.13658854,1.045470099,23.99922294,24.48867333,3.02E-05,81.94485449,0,0,1,0,47262,2000.003929,1681.203611,0.840600154,0.160758298,4.8,0.5,0: Broadleaf,2,TRUE,1677705206,378.9177143,371.6449286,24.48187857,23.99993571,382.0613571,24.60961071,999.99525,89.465275,0.099709211,27.36773571,27.49271786,999.9,0,0,9994.269643,0,4.251196786,7.272817143,388.4271071,380.7836071,0.481952393,371.6449286,23.99993571,2.190278571,2.147160357,18.89138214,18.57342857,2000.003929,0.979993821,0.020006079,0,2.378121429,0,6047.656786,16749.46071,37.16485714,38.125,37.312,37.25,36.562,1959.993571,40.01035714,0,1677705214,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,6.60885075,13.26515538,1.347114028,0,0.479889825,0.05767809,0.006829196,1,1,2,2-Jan,3.92263,2.72081,0.0826498,0.0798436,0.108076,0.104378,29212.6,29369.2,29595.5,29517.4,34980.3,35131.3,41708.5,42060.1,2.63955,2.09013,0.0735372,0,26.2892,999.9,50.6,33.7,29.7167,62.5246,32.9287,3,-0.0881555,0.0658497,20.3395,5.21834,12.0099,4.9895,3.28865,9999,9999,9999,999.9,1.86811,1.86708,1.86647,1.86646,1.86829,1.87069,1.86936,1.87075,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.067,-0.1276,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711.2,37711.2,1.30981,2.21436,2.64648,2.99194,3.04443,2.49512,40.9638,23.9737,18,1144.47,564.035,25.5274,26.3954,30.0001,26.3262,26.276,26.0636,19.384,60.8884,25.5307,313.091,23.9708,101.237,101.017,NA,4
284,1677705219,5532.6,20230301 15:13:38,15:13:38,5,sor_nut18_t1_ch4,stan,1677705211,0.001057653,1.057652952,4.092171406,362.7580329,247.9611157,22.20853491,32.49027339,0.062147083,2.97783345,0.061435431,0.038460404,321.516047,28.9682536,27.49480741,3.68450339,59.95333696,2.193181974,3.658148294,1.491321416,-46.64249519,-19.6858889,-1.432883585,253.7547793,-16.76178523,1.038971465,4.092171406,343.2088204,349.0233515,-3.305151413,66.13658854,1.057652952,23.99951876,24.49458061,6.07E-05,81.94485449,0,0,1,0,47218,1999.996667,1681.1975,0.840600151,0.160758291,4.8,0.5,0: Broadleaf,2,TRUE,1677705211,362.758037,354.8932593,24.48715556,24.00065926,365.8501111,24.61483333,999.9961111,89.4646963,0.099890678,27.37218519,27.49480741,999.9,0,0,10003.03704,0,4.326522593,7.864799259,371.8638519,363.6202963,0.486502593,354.8932593,24.00065926,2.190736296,2.147212222,18.89472593,18.5738,1999.996667,0.979993889,0.020006011,0,2.307074074,0,6048.669259,16749.3963,37.15944444,38.125,37.312,37.25459259,36.562,1959.986667,40.01,0,1677705219,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,7.3718135,7.656584916,0.777031464,0,0.483375225,0.066568739,0.00746995,1,1,2,2-Jan,3.92262,2.72082,0.0796825,0.0768403,0.10809,0.104383,29306.3,29465,29594.7,29517.4,34979.1,35131.1,41707.8,42060.2,2.63932,2.08995,0.0738129,0,26.2915,999.9,50.6,33.7,29.718,62.5946,32.9287,3,-0.0880158,0.0693927,20.3394,5.21729,12.0099,4.9893,3.28853,9999,9999,9999,999.9,1.8681,1.86707,1.86646,1.86646,1.8683,1.87071,1.86936,1.87076,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-3.015,-0.1277,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711.3,37711.3,1.2561,2.21069,2.64648,2.99072,3.04443,2.46704,40.9896,23.9737,18,1144.19,563.905,25.5324,26.3954,30,26.3262,26.276,25.0556,19.384,60.8884,25.5321,299.712,23.9633,101.235,101.017,NA,4
285,1677705224,5537.6,20230301 15:13:43,15:13:43,5,sor_nut18_t1_ch4,stan,1677705216,0.00105944,1.059439601,3.759085146,347.7864962,242.095748,21.68313175,31.14924768,0.062249669,2.978173481,0.061535761,0.03852331,321.511107,28.97025952,27.4971,3.684997709,59.95556514,2.193605826,3.658719287,1.491391883,-46.72128642,-19.62837304,-1.428569396,253.7328781,-17.3310226,1.050073912,3.759085146,326.465081,332.463697,-3.313770295,66.13658854,1.059439601,24.00309091,24.49906788,3.21E-05,81.94485449,0,0,1,0,47247,1999.965714,1681.1715,0.84060016,0.160758309,4.8,0.5,0: Broadleaf,2,TRUE,1677705216,347.7865,339.6429286,24.49197143,24.00028214,350.8304286,24.61960714,1000.002786,89.46434643,0.099935161,27.37485,27.4971,999.9,0,0,10004.84643,0,4.313626429,8.143632143,356.5183929,347.9947857,0.491686143,339.6429286,24.00028214,2.191158214,2.147170357,18.89782143,18.57349643,1999.965714,0.979993607,0.020006293,0,2.306585714,0,6049.488571,16749.125,37.1715,38.125,37.312,37.25442857,36.562,1959.955714,40.01,0,1677705225,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,7.963469,3.683610957,0.375306247,0,0.488605625,0.06003842,0.006613301,1,1,2,2-Jan,3.9227,2.72058,0.0766397,0.0737549,0.108105,0.104398,29403.9,29563.3,29595.4,29517.2,34979,35130.3,41708.5,42060,2.63923,2.08973,0.0738241,0,26.2937,999.9,50.6,33.7,29.718,62.6646,32.9167,3,-0.0878506,0.0814134,20.3395,5.21729,12.0099,4.98925,3.2885,9999,9999,9999,999.9,1.8681,1.86707,1.86646,1.86646,1.86829,1.87071,1.86935,1.87076,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.963,-0.1276,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711.4,37711.4,1.20483,2.21558,2.64648,2.99194,3.04443,2.49146,40.9896,23.9649,18,1144.07,563.74,25.5344,26.3954,30.0001,26.3262,26.276,23.9782,19.384,60.8884,25.5329,279.675,23.9511,101.237,101.017,NA,4
286,1677705229,5542.6,20230301 15:13:48,15:13:48,5,sor_nut18_t1_ch4,stan,1677705221,0.001067768,1.067768452,3.692663664,330.7302925,227.9462333,20.41573541,29.62146839,0.062747532,2.977849739,0.062022153,0.038828319,321.5096039,28.97115256,27.49881852,3.685368286,59.95772885,2.194054518,3.659335602,1.491313768,-47.08858872,-19.44042703,-1.415076809,253.5655113,-17.73081319,1.055967866,3.692663664,309.6048919,315.6955697,-3.338876323,66.13658854,1.067768452,24.00569219,24.50550727,5.39E-05,81.94485449,0,0,1,0,47268,1999.956296,1681.163589,0.840600163,0.160758315,4.8,0.5,0: Broadleaf,2,TRUE,1677705221,330.7302963,322.3870741,24.49710741,24.00265556,333.7188889,24.6247,999.9919259,89.46384815,0.099971841,27.37772593,27.49881852,999.9,0,0,10003.21667,0,4.298781481,8.343325556,339.0357037,330.3154444,0.494447074,322.3870741,24.00265556,2.191605185,2.147371111,18.90108889,18.57498519,1999.956296,0.979993556,0.020006344,0,2.222833333,0,6050.848519,16749.06296,37.17322222,38.125,37.312,37.25459259,36.562,1959.946296,40.01,0,1677705229,0,0,--:--:--,1675442540,1675442542,0,-0.357,-0.062,-3.225,-0.163,420,23,0.26,0.26,8.19165525,2.43779651,0.239880085,0,0.4923876,0.031921013,0.003550605,1,1,2,2-Jan,3.92268,2.7207,0.0734953,0.0705815,0.108125,0.104405,29503.8,29664.6,29595.2,29517.3,34978,35130,41708.3,42060,2.63925,2.08948,0.0736043,0,26.2937,999.9,50.6,33.7,29.717,62.3446,32.8966,3,-0.0880208,0.087402,20.3395,5.21759,12.0099,4.9889,3.28845,9999,9999,9999,999.9,1.86807,1.86707,1.86646,1.86645,1.86829,1.87072,1.86936,1.87073,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.908,-0.1275,-1.774162387,-0.004071991,1.44E-06,-4.40E-10,-0.168483682,-0.021074076,0.001559384,-2.58E-05,1,2300,1,28,37711.5,37711.4,1.1499,2.22046,2.64648,2.99194,3.04443,2.44507,40.9638,23.9649,18,1144.1,563.555,25.5347,26.3954,30.0001,26.3262,26.276,22.9437,19.384,60.516,25.5338,266.241,23.9339,101.236,101.017,NA,4
