obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt..Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID.1,Duration,Fo.1,F1,F2,Fmax,T.HIR,T.F1,T.F2,T.Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,CO2_hrs,AccH2O_des,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1677701867,0,20230301 14:17:46,14:17:46,5,bou_cur17_t1_ch4,ozzie,1677701859,0.001070929,1.070929403,5.584653423,417.9595984,221.8923079,19.8444794,37.3793518,0.048635124,4.207622861,0.048324961,0.030230802,321.51733,28.07856177,28.07856177,3.812254356,53.12817494,1.893554499,3.564124875,1.918699857,-47.22798668,-260.9163615,-13.45010614,-0.077124267,5.584653423,1.070929403,5.45749838,428.9025044,426.9935515,6.01E-05,64.9250523,1.094946599,20.81482292,21.18054126,0.000158085,91.53578363,0,0,1,0,47177,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.008333,1681.207,0.840599998,0.160757995,1.37,0.5,0: Broadleaf,2,FALSE,1677701859,417.9596,420.0253,21.1729,20.81393333,411.8571,20.82863333,400.0675,89.38079,0.052140713,26.92834667,27.49100333,999.9,0,0,10004.34767,0,1.51154,-2.065616667,427.0004333,428.9534,0.358973067,420.0253,20.81393333,1.892451667,1.860365667,16.57209333,16.30343,2000.008333,0.9800009,0.01999894,0,2.20787,0,2211.667,17300.22667,39,39.30786667,38.687,38,38.3162,1960.008333,40,0,1677701866,0,2.216076923,0.211849563,-5.748376084,2211.675385,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.350337732,0.136657819,0.015386626,1,1,1,1-Jan,2.70345,2.70464,0.0887144,0.0902049,0.0931794,0.0930015,35380.9,38467.2,35195,38357.5,45223.6,50221,54971.3,61493.7,1.77253,1.99262,0.0758469,0,26.2515,999.9,55.506,30.051,26.5303,55.5921,36.8149,1,0.0999949,1.35589,20.1444,5.19797,12.0056,4.97525,3.29378,9999,999.9,9999,9999,1.86295,1.86785,1.86766,1.86874,1.86963,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.102,0.3446,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220594.7,220595,1.02661,2.62085,1.54785,2.31079,1.34644,2.2876,33.9865,14.8325,18,387.338,517.28,23.6591,28.5146,29.9999,28.5129,28.4454,20.5684,26.6466,63.7011,23.6694,413.25,20.8205,102.005,102.377,NA,4
2,1677701872,5,20230301 14:17:51,14:17:51,5,bou_cur17_t1_ch4,ozzie,1677701864,0.001081259,1.081259076,5.150333032,417.952102,237.6812867,21.2564005,37.37844654,0.049129133,4.208532039,0.048812727,0.030536212,321.5182014,28.07671027,28.07671027,3.811843136,53.13996235,1.894007034,3.564185879,1.917836102,-47.68352524,-260.4865682,-13.4249449,-0.076836965,5.150333032,1.081259076,5.80064183,429.014638,426.9861758,-2.61E-05,64.9250523,1.098073849,20.8169491,21.18465944,4.28E-05,91.53578363,0,0,1,0,47489,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.013793,1681.211586,0.840599996,0.160757992,1.37,0.5,0: Broadleaf,2,FALSE,1677701864,417.9521034,419.8705517,21.1780931,20.81566552,411.8496207,20.83361034,400.0670345,89.38033448,0.052034362,26.92863793,27.49063103,999.9,0,0,10007.28448,0,1.536697241,-1.918341241,426.9951379,428.7962069,0.362431931,419.8705517,20.81566552,1.892905517,1.86051069,16.57586897,16.30466552,2000.013793,0.980000931,0.019998907,0,2.225293103,0,2211.142414,17300.27586,39,39.312,38.687,38,38.31634483,1960.013793,40,0,1677701872,0,2.219976,-0.043269234,-6.875384624,2211.1068,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.359599122,0.047160021,0.004965016,1,1,1,1-Jan,2.70372,2.70493,0.0887,0.0897927,0.093189,0.093004,35381.1,38484.6,35194.6,38357.5,45222.5,50220.9,54970.7,61493.6,1.7726,1.99265,0.0756457,0,26.2515,999.9,55.488,30.051,26.5293,55.4221,36.8309,1,0.0994893,1.3366,20.1442,5.19737,12.0049,4.97505,3.29365,9999,999.9,9999,9999,1.86295,1.86788,1.86767,1.86874,1.86963,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.102,0.3448,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220594.8,220595.1,1.0022,2.61719,1.54785,2.30957,1.34644,2.41699,33.9865,14.8325,18,387.378,517.297,23.6682,28.5143,30,28.5129,28.4454,20.028,26.6466,63.7011,23.6745,399.77,20.8155,102.004,102.377,NA,4
3,1677701877,10,20230301 14:17:56,14:17:56,5,bou_cur17_t1_ch4,ozzie,1677701869,0.001090389,1.090388518,-2.042900661,417.6226792,468.2585133,41.87687051,37.34845253,0.049566765,4.208508523,0.049244715,0.030806707,321.518964,28.07491516,28.07491516,3.811444477,53.15162026,1.894409574,3.564161478,1.917034903,-48.08613366,-260.1042544,-13.40518808,-0.076612095,-2.042900661,1.090388518,6.150725919,423.6004253,424.5231333,-0.528685267,64.9250523,1.106356909,20.81889139,21.18887133,0.000104862,91.53578363,0,0,1,0,47129,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.018571,1681.2156,0.840599994,0.160757989,1.37,0.5,0: Broadleaf,2,FALSE,1677701869,417.6226786,417.0790357,21.18289643,20.81740714,411.5222143,20.83821429,400.0633214,89.37923571,0.051856986,26.92852143,27.48962857,999.9,0,0,10007.33286,0,1.538040357,0.543810143,426.6607143,425.9461071,0.365494679,417.0790357,20.81740714,1.893311786,1.860643929,16.57924286,16.30579286,2000.018571,0.980000964,0.019998871,0,2.189910714,0,2210.642143,17300.325,39,39.312,38.687,38,38.3165,1960.018571,40,0,1677701877,0,2.186808,-0.588853855,-5.150769218,2210.5736,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.364091125,0.033632161,0.003347474,1,1,1,1-Jan,2.70379,2.7045,0.0882249,0.087577,0.0932006,0.0930099,35399.4,38578.5,35194.5,38357.7,45221.8,50220.7,54970.5,61493.9,1.77235,1.99245,0.0759773,0,26.2515,999.9,55.488,30.051,26.5313,55.5221,36.9151,1,0.0996214,1.33593,20.1441,5.19767,12.005,4.9753,3.29365,9999,999.9,9999,9999,1.86295,1.86787,1.86768,1.86874,1.86964,1.86567,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.084,0.345,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220594.9,220595.2,0.9729,2.61597,1.54785,2.31079,1.34644,2.43408,33.9865,14.8413,18,387.233,517.148,23.6756,28.5134,30.0001,28.5114,28.444,19.4486,26.6466,63.3302,23.6827,379.68,20.8097,102.004,102.377,NA,4
4,1677701882,15,20230301 14:18:01,14:18:01,5,bou_cur17_t1_ch4,ozzie,1677701874,0.001105156,1.105156275,-18.93137615,415.3757833,996.5189258,89.1184964,37.14697663,0.050257642,4.206723929,0.049926445,0.031233603,321.5127489,28.07386098,28.07386098,3.811210381,53.1579347,1.894772863,3.564421518,1.916437518,-48.73739173,-259.4733072,-13.37835581,-0.076305805,-18.93137615,1.105156275,5.454888185,408.6223495,416.4645091,-1.676931299,64.9250523,1.106736988,20.82287242,21.19337273,5.89E-05,91.53578363,0,0,1,0,47158,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.97963,1681.182889,0.840600006,0.160758012,1.37,0.5,0: Broadleaf,2,FALSE,1677701874,415.3757778,409.0497037,21.18726296,20.81680741,409.2888889,20.8423963,400.044,89.37788889,0.051919307,26.92976296,27.49144815,999.9,0,0,10001.81926,0,1.541168519,6.326165333,424.367037,417.7458519,0.370462778,409.0497037,20.81680741,1.893672963,1.860561481,16.58225185,16.3051,1999.97963,0.980000889,0.019998952,0,2.184937037,0,2210.14,17299.98889,38.986,39.312,38.687,38,38.312,1959.97963,40,0,1677701881,0,2.170124,-0.167792305,-4.493076915,2210.1272,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.366579525,0.038387066,0.004422654,1,1,1,1-Jan,2.70332,2.70505,0.0868386,0.0849144,0.0932128,0.0928987,35453.3,38691,35194.6,38357.6,45221.4,50226.5,54970.8,61493.5,1.77235,1.99253,0.0756606,0,26.2518,999.9,55.488,30.051,26.5267,55.9521,37.3878,1,0.0995706,1.33322,20.1442,5.19767,12.0044,4.97505,3.29373,9999,999.9,9999,9999,1.86294,1.86787,1.86767,1.86874,1.8696,1.86567,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.034,0.3451,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595,220595.2,0.938721,2.62451,1.54785,2.30957,1.34644,2.29004,33.9865,14.8238,18,387.226,517.189,23.684,28.5119,30,28.5105,28.4429,18.7588,26.6466,63.3302,23.6868,366.211,20.8086,102.004,102.377,NA,4
5,1677701887,20,20230301 14:18:06,14:18:06,5,bou_cur17_t1_ch4,ozzie,1677701879,0.001161038,1.16103839,-39.29865282,409.9635828,1571.056026,140.498599,36.66279755,0.052883566,4.206022235,0.05251693,0.03285581,321.51201,28.06360277,28.06360277,3.808933053,53.16146286,1.894887634,3.564400849,1.914045419,-51.20179302,-257.1263015,-13.2588704,-0.074954898,-39.29865282,1.16103839,5.730013458,392.1932854,404.4264182,-2.448677047,64.9250523,1.196432467,20.77833847,21.17972587,-3.98E-05,91.53578363,0,0,1,0,47383,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.975,1681.179,0.840600008,0.160758014,1.37,0.5,0: Broadleaf,2,FALSE,1677701879,409.9635714,396.6680714,21.18864286,20.79945,403.9096071,20.843725,400.0380357,89.37732857,0.052072196,26.92966429,27.4898,999.9,0,0,9999.655,0,1.543556071,13.295544,418.83825,405.0941786,0.389198464,396.6680714,20.79945,1.893785357,1.858998929,16.58317857,16.29189643,1999.975,0.980000857,0.019998986,0,2.217825,0,2209.861786,17299.94643,38.982,39.312,38.687,38,38.312,1959.975,40,0,1677701887,0,2.185707692,1.151411967,-3.159658128,2209.861538,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.38297135,0.212573831,0.023683166,1,1,1,1-Jan,2.70346,2.70528,0.0848246,0.0821043,0.0931706,0.0928139,35532.1,38809.8,35195.2,38357.7,45224.1,50231.7,54971.5,61494.2,1.77225,1.99223,0.0754446,0,26.2521,999.9,55.463,30.071,26.5475,55.4521,37.0873,1,0.0994766,1.33193,20.1444,5.19752,12.004,4.9752,3.2937,9999,999.9,9999,9999,1.86295,1.86785,1.86768,1.86874,1.86958,1.86568,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.96,0.3445,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595.1,220595.3,0.906982,2.62329,1.54785,2.30957,1.34644,2.40479,34.0092,14.8325,18,387.169,516.985,23.6888,28.5115,30,28.5101,28.4429,18.1321,26.6466,63.3302,23.6952,346.076,20.8146,102.006,102.377,NA,4
6,1677701892,25,20230301 14:18:11,14:18:11,5,bou_cur17_t1_ch4,ozzie,1677701884,0.001210224,1.21022405,-58.89603509,399.8842763,2074.402641,185.5146413,35.76180758,0.055186748,4.204598675,0.054787477,0.034277805,321.5167093,28.05466951,28.05466951,3.806950831,53.15000034,1.894455002,3.564355578,1.912495829,-53.37088062,-255.0632925,-13.15634158,-0.073805365,-58.89603509,1.21022405,5.818038517,375.2656863,390.0756182,-2.897130203,64.9250523,1.21834894,20.75716862,21.16665175,-0.000130656,91.53578363,0,0,1,0,47269,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.004444,1681.203733,0.840599999,0.160757997,1.37,0.5,0: Broadleaf,2,FALSE,1677701884,399.8842593,379.8800741,21.18357037,20.77788889,393.8914815,20.83885926,400.0390741,89.37817407,0.052217911,26.92944815,27.49022222,999.9,0,0,9995.042963,0,1.54459,20.00422593,408.5386667,387.940963,0.40568437,379.8800741,20.77788889,1.893349259,1.857089259,16.57955185,16.27576296,2000.004444,0.980000889,0.019998952,0,2.253618519,0,2209.804444,17300.2,38.97666667,39.30281481,38.687,38,38.312,1960.004444,40,0,1677701892,0,2.231138462,-0.24903248,1.552136732,2209.797692,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.39599815,0.218603977,0.024232718,1,1,1,1-Jan,2.70334,2.70485,0.0824166,0.0792183,0.0931307,0.0928107,35625.3,38932,35194.9,38357.9,45225.7,50231.9,54971.2,61494.4,1.77248,1.99242,0.0752881,0,26.2515,999.9,55.463,30.051,26.5164,55.2221,37.3037,1,0.0994131,1.32101,20.1444,5.19767,12.0049,4.97505,3.29383,9999,999.9,9999,9999,1.86295,1.86785,1.86768,1.86874,1.86961,1.86569,1.86676,1.86814,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.874,0.344,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595.1,220595.4,0.871582,2.62085,1.54785,2.30957,1.34644,2.43896,34.0092,14.8325,18,387.279,517.099,23.6965,28.5094,29.9999,28.5081,28.4405,17.4224,26.6466,63.3302,23.7025,332.665,20.8146,102.005,102.378,NA,4
7,1677701897,30,20230301 14:18:16,14:18:16,5,bou_cur17_t1_ch4,ozzie,1677701889,0.001233829,1.233829123,-68.87281501,387.7925914,2310.537556,206.6320806,34.68041011,0.05628256,4.207396839,0.055867615,0.034954285,321.518109,28.04919294,28.04919294,3.805736067,53.12766826,1.893613908,3.564270689,1.912122159,-54.41186434,-254.0827232,-13.09666208,-0.073140573,-68.87281501,1.233829123,5.807732157,358.3764822,374.5183515,-3.125737788,64.9250523,1.197554244,20.75690597,21.15922168,-0.000109039,91.53578363,0,0,1,0,47316,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.013214,1681.2111,0.840599996,0.160757992,1.37,0.5,0: Broadleaf,2,FALSE,1677701889,387.7925714,364.3711071,21.17418571,20.76061071,381.8731786,20.82986429,400.0614643,89.378125,0.052181007,26.92904286,27.49045357,999.9,0,0,10003.92857,0,1.543752857,23.42146429,396.1815,372.0961429,0.413584679,364.3711071,20.76061071,1.892509643,1.855544286,16.572575,16.26271429,2000.013214,0.980000857,0.019998986,0,2.242096429,0,2210.025357,17300.27143,38.97975,39.28985714,38.687,38,38.312,1960.013214,40,0,1677701897,0,2.219944,-1.02139231,5.103846131,2210.072,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.404674875,0.089228274,0.018563199,1,1,1,1-Jan,2.70371,2.70466,0.0797701,0.0762601,0.0931053,0.0928134,35728.2,39057.2,35195.2,38358,45227.1,50231.9,54971.3,61494.7,1.77258,1.99207,0.0764467,0,26.2515,999.9,55.439,30.071,26.5345,55.2021,37.1675,1,0.0993852,1.31614,20.1446,5.19722,12.005,4.9751,3.2937,9999,999.9,9999,9999,1.86294,1.86784,1.86768,1.86874,1.8696,1.86569,1.86676,1.86815,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.781,0.3437,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595.2,220595.5,0.839844,2.62695,1.54785,2.30957,1.34644,2.37305,34.0092,14.8325,18,387.333,516.861,23.7043,28.5094,29.9999,28.5081,28.4405,16.7831,26.6466,63.3302,23.7095,312.535,20.8146,102.006,102.378,NA,4
8,1677701902,35,20230301 14:18:21,14:18:21,5,bou_cur17_t1_ch4,ozzie,1677701894,0.001210538,1.210537722,-75.49166632,372.4861331,2525.531054,225.8594115,33.31160735,0.055138575,4.204187202,0.05473996,0.034248048,321.5228569,28.05623379,28.05623379,3.807297866,53.09408066,1.892627819,3.564668219,1.914670047,-53.38471355,-255.0545784,-13.15738047,-0.073815514,-75.49166632,1.210537722,5.547698258,341.3052632,358.281903,-3.253725188,64.9250523,1.183139114,20.75760916,21.15458881,-4.80E-05,91.53578363,0,0,1,0,47133,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.042963,1681.236089,0.840599987,0.160757975,1.37,0.5,0: Broadleaf,2,FALSE,1677701894,372.4861111,346.788963,21.16312222,20.75735556,366.6595926,20.81925556,400.0671111,89.37848148,0.051981544,26.93094074,27.49527778,999.9,0,0,9993.702963,0,1.537133704,25.69718519,380.5395185,354.1398889,0.40577337,346.788963,20.75735556,1.891528148,1.855260741,16.56442222,16.26032222,2000.042963,0.980000778,0.01999907,0,2.211081481,0,2210.428519,17300.53704,38.972,39.26837037,38.687,38,38.312,1960.042963,40,0,1677701902,0,2.192368,-0.032092303,4.886923062,2210.4656,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.4101181,-0.070163144,0.010063004,1,1,1,1-Jan,2.7033,2.70451,0.0769686,0.0732123,0.0930968,0.0928227,35837.3,39185.6,35195.5,38357.6,45227.9,50231.1,54971.9,61494.4,1.77218,1.99225,0.0765771,0,26.2515,999.9,55.439,30.051,26.5023,55.5121,36.847,1,0.0990955,1.37226,20.1439,5.19707,12.0046,4.97505,3.2935,9999,999.9,9999,9999,1.86295,1.86785,1.86768,1.86874,1.86964,1.86569,1.86676,1.86814,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.684,0.3435,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595.3,220595.6,0.804443,2.62329,1.54785,2.31079,1.34644,2.44141,34.0092,14.8325,18,387.104,516.977,23.7098,28.5071,29.9999,28.5064,28.4402,16.0706,26.6466,63.3302,23.6818,299.131,20.8146,102.007,102.377,NA,4
9,1677701907,40,20230301 14:18:26,14:18:26,5,bou_cur17_t1_ch4,ozzie,1677701899,0.001189237,1.189236971,-78.58721137,357.8388443,2642.562914,236.3266604,32.00183374,0.054114683,4.203742196,0.053730639,0.033615927,321.520332,28.06129852,28.06129852,3.808421672,53.07627425,1.892106482,3.564881878,1.91631519,-52.4453504,-255.944255,-13.2050749,-0.074348287,-78.58721137,1.189236971,4.980252924,324.182201,341.7160364,-3.315296348,64.9250523,1.169861033,20.75993422,21.15223986,-1.86E-05,91.53578363,0,0,1,0,47204,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.027143,1681.2228,0.840599992,0.160757984,1.37,0.5,0: Broadleaf,2,FALSE,1677701899,357.8388214,331.0717857,21.1572,20.75855357,352.1011786,20.81356429,400.0497857,89.37895357,0.051901282,26.93196071,27.49789286,999.9,0,0,9992.238214,0,1.533804643,26.76695,365.5733214,338.0900357,0.398645536,331.0717857,20.75855357,1.891008214,1.855378214,16.5601,16.26131429,2000.027143,0.980000857,0.019998986,0,2.232425,0,2210.931071,17300.4,38.9595,39.25664286,38.687,38,38.312,1960.027143,40,0,1677701907,0,2.209876,0.441653852,6.686923085,2210.9732,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.402979375,-0.089096386,0.008901459,1,1,1,1-Jan,2.70364,2.70477,0.0740598,0.0701464,0.0930906,0.0928244,35950.5,39315,35195.8,38357.4,45228.4,50230.7,54972.2,61494.2,1.77248,1.99212,0.0767671,0,26.2515,999.9,55.439,30.051,26.5052,55.2221,37.1595,1,0.0995325,1.42889,20.1435,5.19797,12.0049,4.97535,3.2938,9999,999.9,9999,9999,1.86295,1.86784,1.86768,1.86874,1.86965,1.86568,1.86676,1.86814,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.586,0.3434,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595.4,220595.7,0.769043,2.62939,1.54785,2.31079,1.34644,2.31934,34.0092,14.8238,18,387.263,516.873,23.6889,28.507,30.0003,28.5056,28.4381,15.4228,26.6466,63.3302,23.6814,278.976,20.8146,102.007,102.377,NA,4
10,1677701912,45,20230301 14:18:31,14:18:31,5,bou_cur17_t1_ch4,ozzie,1677701904,0.001175011,1.175010999,-80.60336342,340.9166901,2715.488232,242.8499589,30.48866249,0.053422015,4.202783805,0.053047618,0.03318818,321.5212609,28.06633029,28.06633029,3.809538447,53.0599699,1.891764282,3.56533237,1.917774165,-51.81798506,-256.5387646,-13.23924088,-0.0747297,-80.60336342,1.175010999,5.150362757,307.3251348,324.9839697,-3.346980897,64.9250523,1.159376189,20.76014068,21.14889441,-1.32E-05,91.53578363,0,0,1,0,47235,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.032963,1681.227689,0.84059999,0.160757981,1.37,0.5,0: Broadleaf,2,FALSE,1677701904,340.9166667,313.4502222,21.15324074,20.75935556,335.2817778,20.80975556,400.0438148,89.37964074,0.051775726,26.93411111,27.50447407,999.9,0,0,9989.120741,0,1.496834074,27.46645926,348.284037,320.0951481,0.393879741,313.4502222,20.75935556,1.890668889,1.855463704,16.55727037,16.26204074,2000.032963,0.980001,0.019998833,0,2.303359259,0,2211.635926,17300.45556,38.951,39.2522963,38.687,38,38.312,1960.032963,40,0,1677701911,0,2.272792,1.151315389,9.140769215,2211.5848,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,0.39756835,-0.06077275,0.006056099,1,1,1,1-Jan,2.70362,2.70453,0.0710613,0.0669902,0.0930792,0.0928259,36066.5,39448.6,35195.5,38357.6,45228.6,50230.5,54971.8,61494.1,1.7726,1.9921,0.0764504,0,26.2515,999.9,55.39,30.071,26.5112,55.2321,37.0272,1,0.09906,1.41315,20.1434,5.19707,12.0047,4.9751,3.29393,9999,999.9,9999,9999,1.86295,1.86785,1.86768,1.86874,1.86965,1.86567,1.86676,1.86813,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.486,0.3433,3.611569441,0.005912311,5.16E-07,-4.53E-10,-0.016716087,-0.019912186,0.002374812,-2.82E-05,-4,1802,0,28,220595.5,220595.7,0.734863,2.63062,1.54785,2.30957,1.34644,2.38281,34.0092,14.8238,18,387.331,516.856,23.6795,28.5053,29.9999,28.5056,28.4381,14.697,26.6466,63.3302,23.6705,265.579,20.8146,102.007,102.377,NA,4
