"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccH2O_hum","AccCO2_soda","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1677796876.6,0,"20230302 16:41:16","16:41:16",5,"pas_smi17_t1_ch4","gibson",1677796873.85,-0.00218235322738661,-2.1823532273866,0.758150693831236,419.964599515193,417.532900053028,37.1049270596418,37.3210250753027,-0.101049698072348,3.51709000571662,-0.102690939750544,-0.064032169331301,0,31.371985900218,30.56475,4.40062266034416,57.6730571661482,2.58629134059961,4.48440132651346,1.81433131974455,96.2417773277493,62.591368943744,3.98569917046778,162.818845441961,0.86654072511408,-2.00902983391234,0.758150693831236,433.081737913602,432.5902,0.00614890287169311,67.2407904818122,-2.1823532273866,30.2564479783606,29.0809412121212,-0.0103496835880962,107.429971021725,12,2,1,0,46301,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796873.85,419.9646,419.9781,29.10292,30.25688,420.4902,28.73308,500.3346,88.76712,0.09995384,30.89485,30.56475,999.9,0,0,9997.431,0,0.278209,-0.01340331722,432.5531,433.0817,-1.153958,419.9781,30.25688,2.583382,2.685816,21.5616,22.19859,0,0,0,0,3.54,0,-18.34,-3.54,37.312,41.8435,39.625,41.0186,38.75,0,0,0,1677796876.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.0230422576146341,0.0675659285142857,0.0430737549748472,1,-1.07146385365854,-0.585256975609758,0.0577294077502801,0,1,2,"1/2",2.84138,2.71026,0.0893974,0.0892677,0.114702,0.117543,26043.2,22229.6,25601.5,23778.8,38724.5,34724.4,46339.5,42411.8,1.73745,1.826,-0.0327975,0,30.9973,999.9,55.921,32.186,30.3985,56.9295,44.4912,1,0.177373,9.28105,20.0117,5.2399,11.9965,4.9573,3.30395,9999,9999,9999,999.9,1.86873,1.86446,1.87195,1.86291,1.86229,1.8687,1.85883,1.86515,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3684,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39285.6,39285.5,1.05835,2.40234,1.44897,2.30591,1.44409,2.27905,39.7422,23.7285,18,413.511,452.848,22.6456,29.6321,30.0008,29.1799,29.18,21.2253,0,100,22.1397,420.012,31.9803,98.0329,99.718,NA,4
2,1677796881.6,5,"20230302 16:41:21","16:41:21",5,"pas_smi17_t1_ch4","gibson",1677796879.1,-0.00232071070200091,-2.32071070200091,0.916385782154717,420.016110528382,419.193771609512,37.253622996796,37.3267040064244,-0.110011457355494,3.52051850863488,-0.111957823096306,-0.0697959124631222,0,31.1878628611966,30.3684,4.35143901793938,58.2662694000514,2.58116008286507,4.42993881269975,1.77027893507431,102.34334195824,59.3077178365856,3.76528415701613,165.416343951842,0.913293340432566,-2.11584698824179,0.916385782154717,433.132313001736,432.576581818182,-0.000703777805863646,67.2407904818122,-2.32071070200091,30.2594891454351,29.0199981818182,-0.0124059985272798,107.429971021725,12,2,1,0,46497,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796879.1,420.016111111111,420.030666666667,29.0443222222222,30.2597111111111,420.541666666667,28.6772555555556,500.334111111111,88.7697333333333,0.0999625444444444,30.6808777777778,30.3684,999.9,0,0,10011.0244444444,0,0.278209,-0.0144551744444444,432.58,433.137222222222,-1.21539444444444,420.030666666667,30.2597111111111,2.57825666666667,2.68614444444444,21.5291111111111,22.2006333333333,0,0,0,0,-2.74444444444444,0,-15.0888888888889,-3.28888888888889,37.2637777777778,41.84,39.625,41.0206666666667,38.729,0,0,0,1677796882,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.023236843305,0.163115200545591,0.0419027395980127,0,-1.1303085,-0.633841350844271,0.0610617832834089,0,0,2,"0/2",2.84152,2.71026,0.0893995,0.0892803,0.114545,0.117549,26042.1,22228.5,25600.6,23778.1,38730.5,34723.3,46338.3,42410.7,1.73745,1.82615,-0.0380091,0,30.8834,999.9,55.921,32.186,30.3986,56.7295,43.778,1,0.178227,9.28105,20.0121,5.23915,11.996,4.9574,3.304,9999,9999,9999,999.9,1.86874,1.86445,1.87195,1.86295,1.86234,1.86871,1.85883,1.86519,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3656,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39285.6,39285.6,1.05835,2.36816,1.44775,2.30591,1.44409,2.45483,39.7673,23.7373,18,413.552,452.99,22.4619,29.6449,30.0009,29.1861,29.1862,21.2247,0,100,22.1133,420.012,31.9803,98.03,99.7152,NA,4
3,1677796886.6,10,"20230302 16:41:26","16:41:26",5,"pas_smi17_t1_ch4","gibson",1677796883.8,-0.00240275283057766,-2.40275283057766,0.797513462456218,420.083299493062,417.267103598293,37.0821361294458,37.3324088172194,-0.116566788236414,3.52030767139716,-0.118754653344351,-0.0740216841937553,0,31.0236841157016,30.17953,4.3045816844722,58.7613380641144,2.57610971056654,4.38402152748079,1.72847197390566,105.961399828475,60.5723637628836,3.83875550621116,170.372519097569,0.819015947892523,-2.21722493608725,0.797513462456218,433.119116583632,432.611096969697,0.00454347249446325,67.2407904818122,-2.40275283057766,30.2610735414165,28.961143030303,-0.0106510831529323,107.429971021725,12,2,1,0,46519,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796883.8,420.0833,420.0168,28.9877,30.26143,420.6089,28.62331,500.3211,88.76907,0.09999207,30.49869,30.17953,999.9,0,0,10010.245,0,0.278209,0.06664727,432.624,433.1236,-1.273742,420.0168,30.26143,2.573211,2.686281,21.49712,22.20143,0,0,0,0,3.29,0,-18.27,-3.32,37.2934,41.8246,39.625,41.0186,38.7122,0,0,0,1677796886.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.008383918945,0.246205820890807,0.0511147378179924,0,-1.185455,-0.69165410881801,0.0665990020195498,0,0,2,"0/2",2.84122,2.71035,0.0894075,0.0892639,0.114382,0.117549,26041,22228.1,25599.8,23777.3,38736.8,34722.4,46337.2,42409.6,1.73725,1.82612,-0.0422187,0,30.7678,999.9,55.921,32.186,30.4003,56.8295,44.359,1,0.179154,9.28105,20.0124,5.2393,11.9977,4.95725,3.30395,9999,9999,9999,999.9,1.86873,1.86441,1.87195,1.86292,1.86226,1.86871,1.85883,1.86515,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3628,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39285.7,39285.7,1.05713,2.40112,1.44775,2.30591,1.44409,2.26318,39.7422,23.7285,18,413.482,453.023,22.2861,29.6576,30.0009,29.1923,29.1925,21.2262,2.11006,100,22.0865,420.012,28.9288,98.0274,99.7123,NA,4
4,1677796891.6,15,"20230302 16:41:31","16:41:31",5,"pas_smi17_t1_ch4","gibson",1677796889.1,-0.00255223101478413,-2.55223101478413,0.753971489668449,420.127221745058,416.239756936441,36.9901122730032,37.3355808577114,-0.126751039625483,3.52509822711915,-0.129338905227196,-0.0805999274908274,0,30.8507536338984,29.9837666666667,4.25647881767027,59.3192917316757,2.5702246201536,4.33286464676572,1.68625419751667,112.55338775198,58.909756417991,3.72093184643786,175.184076016409,0.7858755774589,-2.33322451192154,0.753971489668449,433.093630474114,432.631745454545,0.000398813167638732,67.2407904818122,-2.55223101478413,30.2636090117034,28.8963963636364,-0.0131232950686164,107.429971021725,12,2,1,0,46632,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796889.1,420.127222222222,420.012222222222,28.9220444444444,30.2625444444444,420.652555555556,28.5607555555556,500.305777777778,88.7673555555556,0.0999658777777778,30.2937444444444,29.9837666666667,999.9,0,0,10029.8555555556,0,0.278209,0.114922488888889,432.639777777778,433.119444444444,-1.34053111111111,420.012222222222,30.2625444444444,2.56733,2.68632777777778,21.4597444444444,22.2017222222222,0,0,0,0,1.77777777777778,0,-14.7111111111111,-2.28888888888889,37.2637777777778,41.812,39.625,41.0137777777778,38.687,0,0,0,1677796891.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.038110337445,0.527851497858912,0.0664306567428802,0,-1.2444635,-0.733137185741084,0.070547883580941,0,0,2,"0/2",2.8413,2.71042,0.0894073,0.0892824,0.114208,0.117529,26040.2,22227.6,25599,23777.3,38743.5,34723.3,46336,42409.8,1.73697,1.82505,-0.0474006,0,30.6544,999.9,55.921,32.196,30.4182,56.4495,43.9383,1,0.179891,9.28105,20.0129,5.2396,11.9978,4.95745,3.30395,9999,9999,9999,999.9,1.86873,1.86444,1.87195,1.86293,1.8623,1.86873,1.85883,1.86519,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3597,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39285.8,39285.8,1.05835,2.39868,1.44775,2.30591,1.44409,2.34497,39.7673,23.6847,18,413.361,452.401,22.1152,29.6684,30.0009,29.1972,29.1986,21.2234,6.58492,100,22.0571,420.012,28.7691,98.0246,99.7126,NA,4
5,1677796896.6,20,"20230302 16:41:36","16:41:36",5,"pas_smi17_t1_ch4","gibson",1677796893.8,-0.00264125033510449,-2.64125033510449,1.0844878523674,420.085799311484,419.796894503015,37.3062372714486,37.331911475986,-0.134216203966712,3.52624205830375,-0.137120694759155,-0.0854342681466812,0,30.6844941467948,29.79672,4.2109561354917,59.8187958281243,2.56442732614594,4.28699255918532,1.64652880934575,116.479139778108,59.2087509773316,3.73171515860037,179.41960591404,1.0412044968588,-2.35180771621611,1.0844878523674,433.206703031923,432.567606060606,-0.00475414059383486,67.2407904818122,-2.64125033510449,30.2317552600663,28.8192242424242,-0.0138968182601856,107.429971021725,12,2,1,0,46463,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796893.8,420.0858,420.1173,28.8568,30.20803,420.6113,28.49863,500.3196,88.76739,0.09995933,30.10817,29.79672,999.9,0,0,10034.49,0,0.278209,-0.03163148,432.5683,433.2035,-1.351232,420.1173,30.20803,2.561543,2.681489,21.42292,22.1721,0,0,0,0,2,0,-17.32,-3.39,37.25,41.8183,39.625,41,38.687,0,0,0,1677796897,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.03461912325,0.0591332214258911,0.0689925243910901,1,-1.28659075,-0.641682889305817,0.0631945005671973,0,1,2,"1/2",2.84114,2.71041,0.0894093,0.0892851,0.113995,0.117122,26039.4,22227.2,25598.4,23777,38752.2,34738.6,46335.1,42408.9,1.7368,1.8241,-0.0522994,0,30.5365,999.9,55.921,32.196,30.4155,56.4895,44.1827,1,0.180884,9.28105,20.0129,5.23975,11.9977,4.95735,3.30395,9999,9999,9999,999.9,1.86874,1.86443,1.87195,1.86294,1.86233,1.86874,1.85884,1.86518,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3559,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39285.9,39285.9,1.05713,2.37793,1.44775,2.30591,1.44409,2.52075,39.7673,23.6935,18,413.302,451.858,21.9504,29.6806,30.0009,29.203,29.205,21.2182,11.0312,100,22.0251,420.012,28.5665,98.0226,99.711,NA,4
6,1677796901.6,25,"20230302 16:41:41","16:41:41",5,"pas_smi17_t1_ch4","gibson",1677796899.1,-0.00251000319395369,-2.51000319395369,0.847491251639825,420.178666126487,417.720783142918,37.1228850687284,37.3413173593722,-0.130494788468699,3.51337935121163,-0.133248939292714,-0.083028320169641,0,30.4545928802255,29.6098888888889,4.16591011241733,60.3026392155901,2.55517120546976,4.23724606204162,1.61073890694757,110.691140853358,55.8895532906841,3.52859083194898,170.109284975991,0.798097927528384,-1.98614122450067,0.847491251639825,433.122388923581,432.604387878788,0.000248967379899056,67.2407904818122,-2.51000319395369,29.9757554024447,28.697206060606,-0.0216460912676829,107.429971021725,12,2,1,0,46523,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796899.1,420.178666666667,420.157111111111,28.7517555555556,29.8929666666667,420.704333333333,28.3985,500.341,88.7699888888889,0.100104644444444,29.9049555555556,29.6098888888889,999.9,0,0,9982.08555555555,0,0.278209,0.0216369533333333,432.617111111111,433.103777777778,-1.14122555555556,420.157111111111,29.8929666666667,2.55229111111111,2.65359777777778,21.3638555555556,22.0004444444444,0,0,0,0,5.26666666666667,0,-17.9,-3.03333333333333,37.25,41.861,39.625,41,38.687,0,0,0,1677796901.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.0373855425,-0.225699117073171,0.067601293181654,0,-1.29071025,0.148191332082555,0.0705082308488697,0,0,2,"0/2",2.84109,2.71007,0.0894211,0.0892913,0.113655,0.115917,26038.1,22226.8,25597.5,23776.8,38766,34785.8,46333.5,42408.6,1.7369,1.82327,-0.0553764,0,30.4199,999.9,55.897,32.186,30.3847,56.1395,44.0144,1,0.181631,9.28105,20.013,5.2393,11.9977,4.95745,3.304,9999,9999,9999,999.9,1.86872,1.86444,1.87196,1.86293,1.86231,1.86873,1.85883,1.8652,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3499,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39286,39285.9,1.05713,2.37549,1.44775,2.30591,1.44409,2.47803,39.7673,23.711,18,413.378,451.393,21.79,29.6928,30.0009,29.2061,29.2112,21.2105,14.4991,100,22.1144,420.012,28.3632,98.0193,99.7102,NA,4
7,1677796906.6,30,"20230302 16:41:46","16:41:46",5,"pas_smi17_t1_ch4","gibson",1677796903.8,-0.00209375228001779,-2.09375228001779,1.09090677783223,420.132399302766,423.081980085697,37.5996283115008,37.3374967475649,-0.11121758435033,3.51446031322913,-0.113210776534989,-0.0705746946626035,0,30.1912510162912,29.43528,4.12419124565225,60.5941956497049,2.54223505163723,4.19550919750448,1.58195619401502,92.3344755487845,56.3810593719349,3.55241798575659,152.267952906476,0.675561258779718,-1.41446445520406,1.09090677783223,432.940275113499,432.441048484849,-0.0349869419339212,67.2407904818122,-2.09375228001779,29.4752521488932,28.5211,-0.0329302869945931,107.429971021725,12,2,1,0,46376,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796903.8,420.1324,420.1805,28.60597,29.41889,420.6583,28.25961,500.301,88.77077,0.10001647,29.73285,29.43528,999.9,0,0,9986.373,0,0.278209,-0.048126229,432.5046,432.9165,-0.8129392,420.1805,29.41889,2.539374,2.61154,21.28106,21.73865,0,0,0,0,-0.09,0,-15.72,-2.84,37.25,41.8309,39.625,41,38.6312,0,0,0,1677796906.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.017925252,-0.526640428142589,0.0689579521639631,0,-1.1947544,1.77949983489681,0.201420531571114,0,0,2,"0/2",2.84102,2.71007,0.0894077,0.0892767,0.113175,0.114544,26037.6,22226,25596.7,23775.7,38786.4,34838.3,46332.6,42406.8,1.73708,1.82265,-0.0599325,0,30.3045,999.9,55.921,32.196,30.4167,56.6895,44.1627,1,0.182452,9.28105,20.0132,5.2396,11.9977,4.9576,3.304,9999,9999,9999,999.9,1.86873,1.86444,1.87195,1.86293,1.86228,1.86874,1.85883,1.86521,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3414,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39286.1,39286,1.05713,2.40356,1.44775,2.30591,1.44409,2.27539,39.7925,23.7022,18,413.495,451.042,21.6336,29.7034,30.0008,29.209,29.2161,21.2058,17.0259,100,22.2007,420.012,28.162,98.0169,99.7056,NA,4
8,1677796911.6,35,"20230302 16:41:51","16:41:51",5,"pas_smi17_t1_ch4","gibson",1677796909.1,-0.00175891295701276,-1.75891295701276,0.598579517122509,420.109666284398,417.816951593194,37.1322677960311,37.3360261537738,-0.0952947320437723,3.51060457833555,-0.0967556329381082,-0.0603391586461298,0,29.9200016031402,29.2434777777778,4.07878463136873,60.8314548555108,2.52319430951166,4.14784475483095,1.55559032185706,77.5680614042629,55.0736378517664,3.46713701575224,136.108836271782,0.463412415871953,-0.910849440172056,0.598579517122509,432.678415570154,432.360272727273,-0.00981679448553311,67.2407904818122,-1.75891295701276,28.9836502140945,28.2994333333333,-0.0431657042061168,107.429971021725,12,2,1,0,46486,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796909.1,420.109666666667,420.157444444444,28.3913,28.9148888888889,420.635222222222,28.0550666666667,500.310111111111,88.7720555555556,0.1000394,29.5344666666667,29.2434777777778,999.9,0,0,9970.62555555556,0,0.278209,-0.0477701788888889,432.385666666667,432.667888888889,-0.523580444444444,420.157444444444,28.9148888888889,2.52035444444445,2.56683444444444,21.1585111111111,21.4565,0,0,0,0,1.76666666666667,0,-19.9,-3.44444444444444,37.25,41.847,39.625,41,38.625,0,0,0,1677796912,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.02259903575,-0.16331523478424,0.0366965460731776,0,-1.00795875,3.18625188742965,0.312499045942524,0,0,2,"0/2",2.84092,2.71005,0.089409,0.0892813,0.112574,0.113412,26036.9,22225.7,25596.1,23775.5,38811.9,34882.4,46331.2,42406.4,1.73697,1.82205,-0.063315,0,30.1865,999.9,55.897,32.216,30.4373,56.7295,44.0264,1,0.183252,9.28105,20.0133,5.24005,11.998,4.95745,3.30398,9999,9999,9999,999.9,1.86873,1.86445,1.87195,1.86294,1.86232,1.86873,1.85883,1.86519,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.525,0.3309,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39286.1,39286.1,1.05713,2.39502,1.44775,2.30591,1.44409,2.36938,39.7925,23.7285,18,413.468,450.717,21.4807,29.715,30.0008,29.2134,29.2224,21.1982,18.7823,100,22.2682,420.012,27.9758,98.0142,99.7049,NA,4
9,1677796916.6,40,"20230302 16:41:56","16:41:56",5,"pas_smi17_t1_ch4","gibson",1677796913.8,-0.00151889866448894,-1.51889866448894,0.998792622399704,420.088299365461,426.812466755427,37.931195183379,37.3336125784157,-0.0836593836905623,3.51744545833189,-0.084780823979809,-0.0528860125675208,0,29.6934510110646,29.06742,4.03748959197502,60.9731945263721,2.50391187418019,4.10657813426063,1.53357771779483,66.9834311039622,55.6912783413229,3.49313993097395,126.167849376259,0.390178328486054,-0.644775820102955,0.998792622399704,432.500692624423,432.151181818182,-0.0545604758971539,67.2407904818122,-1.51889866448894,28.5840104111122,28.0675866666667,-0.047111127297409,107.429971021725,12,2,1,0,46599,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796913.8,420.0883,420.1589,28.17472,28.54549,420.6139,27.84864,500.2465,88.77096,0.09990985,29.3611,29.06742,999.9,0,0,9998.438,0,0.278209,-0.07063599,432.2673,432.5049,-0.370767,420.1589,28.54549,2.501096,2.534012,21.03361,21.24649,0,0,0,0,5.09,0,-20.64,-4.02,37.25,41.8309,39.625,41,38.6187,0,0,0,1677796916.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.03243866325,-0.221148065178236,0.0333049500729393,0,-0.7676135,3.29072566604128,0.319957931944185,0,0,2,"0/2",2.84073,2.71031,0.0893888,0.0892733,0.111951,0.112408,26037.3,22225.6,25596,23775.3,38839.3,34922,46331,42406.4,1.73703,1.82138,-0.0696108,0,30.0714,999.9,55.897,32.196,30.4024,56.5895,44.2548,1,0.182292,7.41209,20.097,5.23945,11.9929,4.9574,3.304,9999,9999,9999,999.9,1.86874,1.86445,1.87197,1.86294,1.86233,1.86873,1.85883,1.86521,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3201,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39286.2,39286.2,1.05591,2.40479,1.44775,2.30591,1.44409,2.27661,39.7925,23.8248,18,413.529,450.339,21.3959,29.7259,29.9995,29.2184,29.2276,21.1908,20.2187,100,22.3094,420.012,27.7761,98.0138,99.7046,NA,4
10,1677796921.6,45,"20230302 16:42:01","16:42:01",5,"pas_smi17_t1_ch4","gibson",1677796919.1,-0.000856718869736761,-0.856718869736761,1.04338610707875,419.979221562325,441.965245663724,39.2769248885809,37.3230531176629,-0.0487384000818032,3.52473082413532,-0.0491159407501881,-0.0306633004266998,0,29.3595818063038,28.8238777777778,3.98096694759572,61.2311036390419,2.4872592317083,4.06208460061528,1.49370771588742,37.7813021553912,66.2407040712165,4.1373596950811,108.159365921689,0.435383622797766,-0.313249707562945,1.04338610707875,432.393418297157,431.960806060606,-0.0426927065291429,67.2407904818122,-0.856718869736761,28.2285805904527,27.9758393939394,-0.0316448196107357,107.429971021725,12,2,1,0,46670,0,0,0,0,2.96,0.5,"0: Broadleaf",2,"True",1677796919.1,419.979222222222,420.159,27.9879888888889,28.1681555555556,420.504888888889,27.6706555555556,500.241333333333,88.7689222222222,0.0998865222222222,29.1724666666667,28.8238777777778,999.9,0,0,10028.1888888889,0,0.278209,-0.179724666666667,432.072111111111,432.337,-0.180175388888889,420.159,28.1681555555556,2.48446222222222,2.50045666666667,20.9250777777778,21.0294111111111,0,0,0,0,5.45555555555556,0,-19.8444444444444,-3.18888888888889,37.25,41.847,39.625,41,38.562,0,0,0,1677796921.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.07493360825,-0.461427172120075,0.0551147931520831,0,-0.523807825,2.53017029268293,0.247350781867562,0,0,2,"0/2",2.84075,2.71049,0.089358,0.0892483,0.111769,0.111468,26037.6,22225.9,25595.6,23775.1,38847.2,34958.7,46330.9,42406,1.73755,1.8211,-0.074476,0,29.9524,999.9,55.897,32.196,30.4035,56.4195,44.1426,1,0.173547,6.47116,20.1358,5.23826,11.992,4.95735,3.304,9999,9999,9999,999.9,1.86874,1.86446,1.87197,1.86295,1.86233,1.86873,1.85887,1.86523,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.526,0.3169,-0.313142003518622,-0.000573800699069266,1.31796767940654e-07,7.45644886919251e-11,-0.171698093289274,-0.0330247527990624,0.00253311971247735,-2.53302209654789e-05,2,2122,1,28,39286.3,39286.3,1.05591,2.37671,1.44775,2.30591,1.44409,2.44995,39.8177,23.8161,18,413.864,450.224,21.7238,29.7362,29.9948,29.2246,29.2349,21.1911,21.1716,100,21.9904,420.012,27.5813,98.013,99.7037,NA,4
