obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1677862522,0,20230303 10:55:21,10:55:21,5,albert,sch_sco20_t2_ch4,1677862514,0.001505061,1.505061012,12.81539858,411.723892,168.4545266,15.08839015,36.87790907,0.088192342,3.536464675,0.086988486,0.054474597,321.5147895,28.1050795,27.47532333,3.680304653,61.5066496,2.181295341,3.546438239,1.499009312,-66.37319064,-120.4207903,-7.360379446,127.3604291,12.81539858,1.505061012,13.12649111,429.749033,421.8597879,-0.014919855,63.52167588,1.517925635,23.4655904,24.34264182,-5.19E-05,100.0074229,0,0,1,0,47302,1999.988667,1681.19079,0.840600158,0.160758306,2.96,0.5,0: Broadleaf,2,FALSE,1677862514,411.7239,419.6769333,24.3531,23.48386,408.3177333,24.01292667,500.0331333,89.46948,0.10003439,26.84371667,27.47532333,999.9,0,0,9996.911333,0,6.296884333,-7.953082,422.0008,429.7696,0.869234933,419.6769333,23.48386,2.178858333,2.101088667,18.80771,18.22743333,1999.988667,0.9799952,0.020004827,0,1.97292,0,6238.963667,17338.1,40.13306667,40.30786667,38.73726667,38.3708,38.4874,1959.978333,40.01033333,0,1677862524,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-7.9327465,-0.674978612,0.075870631,0,0.860894725,0.194021707,0.020424695,0,0,2,0/2,2.97731,2.72793,0.0830387,0.0852472,0.106553,0.104724,27346.2,26997.6,30360.6,29771.4,37441.7,35090.5,46455.8,44270.5,1.84745,1.81393,0.0700653,0,26.3429,999.9,50.6,33.8,29.8841,63.297,23.758,1,0.145356,1.45109,20.1913,5.23376,11.9725,4.97155,3.29038,9999,9999,9999,999.9,4.97338,1.87791,1.87607,1.87887,1.87551,1.87908,1.87613,1.87731,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.406,0.3399,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241,1116.6,1.11328,2.5647,1.39893,2.36084,1.44897,2.41333,42.1386,24.035,18,490.809,441.066,24.0018,28.965,29.9998,28.7583,28.8191,22.3314,30.5505,95.0892,24.0067,413.052,23.4426,100.385,101.8,NA,4
2,1677862527,5,20230303 10:55:26,10:55:26,5,albert,sch_sco20_t2_ch4,1677862519,0.001521537,1.521536885,12.66939411,411.6397852,173.2426011,15.51716725,36.8701656,0.089070278,3.536754259,0.087842614,0.055010525,321.5159386,28.10294032,27.48072069,3.681467343,61.48703845,2.180798005,3.546760521,1.500669337,-67.09977662,-121.1651165,-7.405524926,125.8455205,12.66939411,1.521536885,13.30982173,429.668728,421.7395091,-0.030525738,63.52167588,1.51212599,23.46696339,24.34046061,-2.19E-05,100.0074229,0,0,1,0,47317,1999.995862,1681.196834,0.840600156,0.160758302,2.96,0.5,0: Broadleaf,2,FALSE,1677862519,411.6397931,419.5104138,24.34768621,23.46891724,408.2339655,24.00764483,500.0282759,89.46911379,0.09989029,26.84526207,27.48072069,999.9,0,0,9998.11931,0,6.396033793,-7.870562414,421.9123448,429.5925172,0.878767621,419.5104138,23.46891724,2.178365517,2.099743103,18.80408621,18.21723793,1999.995862,0.979995276,0.020004748,0,2.001834483,0,6237.983448,17338.17241,40.1182069,40.29275862,38.7412069,38.38782759,38.48696552,1959.985517,40.01034483,0,1677862529,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-7.941689,-0.201734634,0.122046158,0,0.86898585,0.125115715,0.016260643,0,0,2,0/2,2.97735,2.72814,0.0830048,0.084845,0.106543,0.104725,27347.1,27009.2,30360.5,29771,37441.7,35089.9,46455.2,44269.8,1.84745,1.81415,0.069961,0,26.3427,999.9,50.6,33.8,29.8849,62.857,23.5817,1,0.145175,1.4615,20.1907,5.22957,11.9733,4.9704,3.2895,9999,9999,9999,999.9,4.97337,1.87791,1.87607,1.87888,1.8755,1.8791,1.87617,1.87731,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.405,0.3399,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241,1116.7,1.08765,2.54883,1.39893,2.36084,1.44897,2.52075,42.1386,24.0437,18,490.809,441.206,24.0177,28.9624,30,28.7583,28.8191,21.7993,30.5505,95.0892,24.0186,399.536,23.4358,100.384,101.799,NA,4
3,1677862532,10,20230303 10:55:31,10:55:31,5,albert,sch_sco20_t2_ch4,1677862524,0.001518538,1.518538026,9.145651848,411.0731371,235.3498639,21.07978109,36.81893671,0.088789174,3.536123145,0.087568974,0.054838842,321.5171697,28.10565916,27.48642143,3.682695734,61.46717927,2.180330637,3.547146076,1.502365097,-66.96752695,-121.8778564,-7.450697741,125.2210886,9.145651848,1.518538026,13.24178597,422.4022136,418.3020545,-0.861757785,63.52167588,1.518733297,23.46462345,24.34166727,1.67E-05,100.0074229,0,0,1,0,47314,2000.003571,1681.203311,0.840600154,0.160758298,2.96,0.5,0: Broadleaf,2,FALSE,1677862524,411.0731429,416.8566429,24.34278214,23.46573214,407.669,24.00285357,500.0233571,89.46812143,0.09972765,26.84711071,27.48642143,999.9,0,0,9995.686786,0,6.072232143,-5.783432429,421.3293929,426.8735714,0.877051321,416.8566429,23.46573214,2.1779025,2.099433929,18.80068929,18.21489286,2000.003571,0.979995357,0.020004664,0,2.012360714,0,6237.540714,17338.23929,40.10682143,40.281,38.74757143,38.39271429,38.4865,1959.993214,40.01035714,0,1677862535,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-6.65786239,18.78833845,2.552958537,0,0.87701561,-0.004626293,0.005564058,1,1,2,2-Jan,2.9773,2.72805,0.0823941,0.0829335,0.106549,0.104719,27366.1,27066,30361.3,29771.4,37442.5,35090.4,46456.6,44270.3,1.8474,1.81415,0.0704341,0,26.3404,999.9,50.6,33.8,29.882,63.167,23.75,1,0.145119,1.47128,20.1906,5.23047,11.9727,4.9706,3.28965,9999,9999,9999,999.9,4.97338,1.8779,1.87607,1.87883,1.87552,1.87909,1.87614,1.87729,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.393,0.3399,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241.1,1116.8,1.05591,2.55981,1.39893,2.36084,1.44897,2.4231,42.1386,24.035,18,490.765,441.206,24.0283,28.9594,29.9999,28.7558,28.8191,21.1811,30.5505,95.0892,24.0274,379.501,23.4257,100.387,101.8,NA,4
4,1677862537,15,20230303 10:55:36,10:55:36,5,albert,sch_sco20_t2_ch4,1677862529,0.001519699,1.519699454,12.86526196,408.2283994,165.616386,14.83364971,36.56351418,0.088767075,3.536311253,0.087547542,0.054825388,321.5186102,28.10761908,27.49255926,3.68401871,61.45453481,2.180173195,3.547619718,1.503845515,-67.01874594,-122.6215939,-7.496080608,124.3821897,1.116087838,1.516381515,12.86526196,407.8900681,409.1189091,-1.981143527,63.52167588,1.519699454,23.46569552,24.34328848,1.85E-05,100.0074229,0,0,1,0,47353,2000.012593,1681.210889,0.840600152,0.160758293,2.96,0.5,0: Broadleaf,2,TRUE,1677862529,408.2284074,409.2555556,24.34144074,23.46562963,404.8327407,24.00154074,500.0202593,89.46657037,0.099746507,26.84938148,27.49255926,999.9,0,0,9996.618148,0,5.089292593,-1.027119926,418.4131852,419.0897778,0.875805741,409.2555556,23.46562963,2.177744074,2.099388148,18.79952222,18.21454444,2000.012593,0.979995444,0.020004574,0,2.018974074,0,6237.998889,17338.32222,40.06685185,40.26607407,38.74048148,38.39337037,38.47666667,1960.002222,40.01037037,0,1677862539,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-3.494744341,50.86401169,5.498287613,0,0.877161878,-0.01716993,0.002657397,1,1,2,2-Jan,2.97754,2.72842,0.0809255,0.0804836,0.106553,0.104719,27409.8,27138.2,30361.2,29771.3,37442.1,35090.1,46456.5,44270.2,1.84765,1.8138,0.0702403,0,26.3394,999.9,50.6,33.8,29.8849,63.117,23.6939,1,0.145114,1.49607,20.1904,5.23017,11.9737,4.97065,3.2898,9999,9999,9999,999.9,4.97337,1.8779,1.87607,1.87883,1.87548,1.87907,1.87609,1.8773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.365,0.34,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241.2,1116.9,1.01929,2.55981,1.39893,2.36084,1.44897,2.49512,42.1386,24.035,18,490.904,440.988,24.0341,28.9568,29.9999,28.7558,28.8191,20.4434,30.5505,95.0892,24.031,366.127,23.4192,100.387,101.8,NA,4
5,1677862542,20,20230303 10:55:41,10:55:41,5,albert,sch_sco20_t2_ch4,1677862534,0.00152478,1.524780318,13.02579696,401.9690633,157.3374203,14.09210667,36.0028206,0.089036077,3.536709223,0.087809333,0.054989643,321.5185947,28.10867689,27.49496071,3.684536443,61.44610259,2.180168953,3.548099653,1.504367491,-67.24281202,-122.654612,-7.497431502,124.1237392,-8.404377245,1.519909054,13.02579696,391.5551417,396.0023879,-2.708840022,63.52167588,1.524780318,23.46000705,24.34074606,-1.49E-05,100.0074229,0,0,1,0,47324,2000.0125,1681.210811,0.840600152,0.160758293,2.96,0.5,0: Broadleaf,2,TRUE,1677862534,401.9690714,397.3557143,24.34143929,23.46362143,398.5921786,24.00153214,500.0377143,89.46621786,0.099930104,26.85168214,27.49496071,999.9,0,0,9998.261429,0,4.2377325,4.613351143,411.9976429,406.9032143,0.877807214,397.3557143,23.46362143,2.177734286,2.099200357,18.79946429,18.21311429,2000.0125,0.979995464,0.020004554,0,1.9899,0,6239.403214,17338.31071,40.07564286,40.26992857,38.75628571,38.3905,38.473,1960.002143,40.01035714,0,1677862545,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.896893951,71.26074619,7.122067818,0,0.876921122,0.015919547,0.002446507,1,1,2,2-Jan,2.97742,2.72837,0.0788649,0.0778655,0.106546,0.104664,27471.2,27215.9,30361.1,29771.7,37442,35092.5,46456.2,44270.8,1.84745,1.81395,0.0717752,0,26.3382,999.9,50.6,33.8,29.8819,63.007,23.3053,1,0.144619,1.49755,20.1905,5.22957,11.9736,4.9706,3.2897,9999,9999,9999,999.9,4.97337,1.8779,1.87607,1.87887,1.87552,1.8791,1.87612,1.8773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.326,0.3399,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241.3,1117,0.985107,2.55737,1.39893,2.36084,1.44897,2.44263,42.1386,24.035,18,490.793,441.081,24.0361,28.9544,30,28.7558,28.8191,19.7631,30.5505,94.7138,24.0349,346.026,23.4143,100.386,101.801,NA,4
6,1677862547,25,20230303 10:55:46,10:55:46,5,albert,sch_sco20_t2_ch4,1677862539,0.001561513,1.561513043,12.65569768,390.8627328,158.3318428,14.18127069,35.0083099,0.091134182,3.53715071,0.089849549,0.056269878,321.5194378,28.10347896,27.50048148,3.685726915,61.43348874,2.180100135,3.548716148,1.505626779,-68.86272521,-123.1592218,-7.527655716,121.9698351,-17.17968011,1.536481834,12.65569768,374.7811042,381.0014182,-3.048682981,63.52167588,1.561513043,23.43037558,24.33270364,-6.31E-05,100.0074229,0,0,1,0,47276,2000.017778,1681.215244,0.84060015,0.16075829,2.96,0.5,0: Broadleaf,2,TRUE,1677862539,390.8627407,381.0484074,24.3405037,23.45309259,387.5193333,24.00062593,500.025963,89.46678519,0.099978181,26.85463704,27.50048148,999.9,0,0,9999.977407,0,3.663608519,9.814353704,400.6139259,390.2000741,0.887405074,381.0484074,23.45309259,2.177665185,2.098272593,18.79895185,18.20606296,2000.017778,0.979995556,0.020004459,0,1.995251852,0,6241.508889,17338.35926,40.067,40.27755556,38.75655556,38.38877778,38.46733333,1960.007407,40.01037037,0,1677862550,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,5.917913951,62.40574194,6.337093257,0,0.883167707,0.095494223,0.011129943,1,1,2,2-Jan,2.97742,2.72814,0.0765061,0.0751722,0.106532,0.104623,27541.7,27295.3,30361.2,29771.7,37442.7,35093.9,46456.5,44270.7,1.84728,1.8133,0.0713505,0,26.3361,999.9,50.5,33.8,29.8196,63.137,23.8061,1,0.144687,1.50923,20.1899,5.22642,11.9737,4.96995,3.28908,9999,9999,9999,999.9,4.97335,1.8779,1.87607,1.87885,1.87548,1.87905,1.8761,1.8773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.281,0.3397,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241.4,1117,0.947266,2.56836,1.39893,2.36084,1.44897,2.49146,42.1386,24.035,18,490.679,440.677,24.037,28.9519,30,28.7534,28.8191,18.9983,30.5505,94.7138,24.0351,332.649,23.5023,100.387,101.801,NA,4
7,1677862552,30,20230303 10:55:51,10:55:51,5,albert,sch_sco20_t2_ch4,1677862544,0.001547124,1.547123789,12.22688042,378.0595638,151.3481449,13.55629162,33.86289076,0.090262434,3.536055318,0.089001692,0.055737863,321.521196,28.1090798,27.50063929,3.685760948,61.41561871,2.179734012,3.549152573,1.506026936,-68.2281591,-122.7524433,-7.505201383,123.0353922,-21.59962771,1.547523954,12.22688042,357.6307019,364.9503091,-3.232834038,63.52167588,1.547123789,23.42895924,24.32277697,-3.95E-05,100.0074229,0,0,1,0,47284,2000.028929,1681.2246,0.840600141,0.160758273,2.96,0.5,0: Broadleaf,2,TRUE,1677862544,378.0595714,365.6201429,24.33546786,23.44171429,374.7551429,23.99572143,500.0481429,89.47021429,0.100038661,26.85672857,27.50063929,999.9,0,0,9995.179643,0,3.833705,12.4394625,387.4893571,374.3969286,0.893748143,365.6201429,23.44171429,2.177298214,2.097335,18.79626429,18.19894643,2000.028929,0.979995786,0.020004221,0,1.995160714,0,6243.106429,17338.46429,40.05560714,40.28321429,38.79428571,38.39935714,38.4775,1960.018929,40.01,0,1677862554,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,10.22759756,37.58767882,3.882167608,0,0.889011976,0.099569561,0.011592127,1,1,2,2-Jan,2.97743,2.72838,0.0739317,0.0723631,0.106488,0.104605,27618.5,27377.8,30361.3,29771.2,37444.6,35094,46456.8,44270.1,1.84798,1.81383,0.0710413,0,26.335,999.9,50.5,33.8,29.8259,63.327,23.734,1,0.145371,1.84019,20.1868,5.22972,11.9733,4.97045,3.28958,9999,9999,9999,999.9,4.97339,1.87793,1.87607,1.87891,1.87556,1.87912,1.87615,1.87732,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.232,0.3394,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241.5,1117.1,0.913086,2.55371,1.39893,2.36084,1.44897,2.48291,42.165,24.035,18,491.069,441.004,23.9973,28.9494,30.0004,28.7534,28.8191,18.3105,30.5505,94.7138,23.9545,312.613,23.5394,100.387,101.799,NA,4
8,1677862557,35,20230303 10:55:56,10:55:56,5,albert,sch_sco20_t2_ch4,1677862549,0.001525951,1.525950959,11.67344244,362.2251409,142.7698308,12.78780924,32.44429146,0.088968819,3.536224654,0.087743748,0.054948505,321.5211306,28.11473219,27.49992593,3.685607102,61.38819819,2.178900917,3.549380796,1.506706185,-67.2944373,-122.4138244,-7.484153664,124.3287152,-24.33088676,1.550550075,11.67344244,340.7903283,348.6386606,-3.275224726,63.52167588,1.525950959,23.42965405,24.31134303,-4.87E-05,100.0074229,0,0,1,0,47425,2000.028519,1681.224256,0.840600141,0.160758273,2.96,0.5,0: Broadleaf,2,TRUE,1677862549,362.2251481,348.1547407,24.3263963,23.43086296,358.9694074,23.98686667,500.0348889,89.4694037,0.100004385,26.85782222,27.49992593,999.9,0,0,9995.952593,0,3.998934444,14.07046667,371.2567407,356.5081111,0.895537296,348.1547407,23.43086296,2.176467407,2.096344815,18.79015185,18.19142963,2000.028519,0.979995778,0.02000423,0,2.031844444,0,6244.875185,17338.45926,40.02296296,40.29133333,38.80066667,38.40492593,38.486,1960.018519,40.01,0,1677862559,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,12.7978178,20.26162913,2.096336776,0,0.892002049,0.028965659,0.009889052,1,1,2,2-Jan,2.97744,2.72838,0.0712723,0.069554,0.106455,0.104674,27698.1,27460.9,30361.6,29771.4,37445.9,35091.2,46457,44270.3,1.84757,1.81375,0.0712201,0,26.3337,999.9,50.5,33.8,29.8239,63.007,23.722,1,0.14513,1.61324,20.1891,5.22972,11.9733,4.9703,3.2895,9999,9999,9999,999.9,4.97338,1.8779,1.87607,1.87884,1.87548,1.87908,1.87611,1.8773,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.182,0.3392,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223241.5,1117.2,0.874023,2.57202,1.39893,2.36084,1.44897,2.45239,42.1386,24.0262,18,490.846,440.957,23.9585,28.9469,29.9999,28.7534,28.8191,17.5367,30.2741,94.7138,23.9703,299.253,23.5762,100.388,101.8,NA,4
9,1677862726,204,20230303 10:58:45,10:58:45,5,albert,sch_sco20_t2_ch4,1677862718,0.001922308,1.922308036,12.05686165,291.8194441,113.4098264,10.15807784,26.13816387,0.113319513,3.537037079,0.111340558,0.069762772,321.5157739,28.04008704,27.49106452,3.683696488,61.5995402,2.187953245,3.551898664,1.495743243,-84.77378439,-118.4521564,-7.240396496,111.0494366,11.90513188,1.948256358,12.05686165,306.4236831,299.1136545,0.000580035,63.52167588,1.922308036,23.29532664,24.40756303,-0.000291671,100.0074229,0,0,1,0,47344,1999.994839,1681.195974,0.840600156,0.160758302,2.96,0.5,0: Broadleaf,2,TRUE,1677862718,291.8194516,299.2032903,24.42739677,23.30229032,288.7878387,24.08545484,500.0389032,89.46968065,0.099963865,26.86988387,27.49106452,999.9,0,0,9999.195806,0,5.536511935,-7.383915484,299.1263226,306.3418065,1.125109032,299.2032903,23.30229032,2.185511613,2.084847742,18.85649677,18.10389032,1999.994839,0.979995323,0.0200047,0,2.040283871,0,6198.42,17338.15161,39.98164516,40.284,38.86467742,38.41106452,38.46145161,1959.984516,40.01032258,0,1677862728,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-7.371828,-0.492253959,0.063462024,0,1.12646875,-0.082290394,0.010672906,1,1,2,2-Jan,2.97749,2.72776,0.06317,0.0653234,0.106742,0.104193,27941.9,27585.8,30363.6,29771.1,37435.6,35109.1,46460.3,44269.5,1.84827,1.81327,0.0714995,0,26.3271,999.9,50,33.9,29.6972,63.2971,23.4495,1,0.140897,1.40887,20.1914,5.23286,11.9727,4.97085,3.29035,9999,9999,9999,999.9,4.97339,1.87793,1.87607,1.87894,1.87554,1.87911,1.8762,1.87735,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.032,0.3415,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223244.4,1120,0.855713,2.57568,1.39893,2.35962,1.44897,2.41699,42.218,24.0262,18,491.055,440.516,24.049,28.8808,30,28.7262,28.7994,17.1625,30.555,92.8465,24.0526,292.506,23.3571,100.395,101.798,NA,4
10,1677862731,209,20230303 10:58:50,10:58:50,5,albert,sch_sco20_t2_ch4,1677862723,0.001915131,1.915131307,12.39968841,291.7812336,107.6026696,9.637117764,26.1325311,0.112722483,3.537107006,0.110764169,0.069400719,321.5170392,28.04104894,27.49368966,3.684262406,61.559963,2.186472007,3.551776025,1.497790399,-84.45729063,-119.06709,-7.277914661,110.714744,11.71684402,1.930106502,12.39968841,306.2544096,298.9367758,-0.043402323,63.52167588,1.915131307,23.29815836,24.40486788,-9.33E-05,100.0074229,0,0,1,0,47378,2000.002759,1681.202628,0.840600154,0.160758298,2.96,0.5,0: Broadleaf,2,TRUE,1677862723,291.7812414,299.0506897,24.41292414,23.29824483,288.7497586,24.07133448,500.0219655,89.46228621,0.099783221,26.86929655,27.49368966,999.9,0,0,10000.30414,0,6.313047931,-7.269496897,299.0827241,306.1843103,1.114684483,299.0506897,23.29824483,2.184036552,2.084314138,18.8456931,18.09981034,2000.002759,0.979995379,0.020004641,0,1.995213793,0,6197.795862,17338.22069,39.99327586,40.27565517,38.88772414,38.42217241,38.47603448,1959.992414,40.01034483,0,1677862733,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-7.328835854,0.573836237,0.198276899,0,1.121917317,-0.116355261,0.012072602,0,0,2,0/2,2.9775,2.72815,0.0631216,0.0648816,0.106726,0.104191,27943.2,27598.8,30363.5,29771.1,37436.2,35109.2,46460.2,44269.6,1.84825,1.81332,0.0712462,0,26.3248,999.9,49.9,33.9,29.6406,63.2471,23.4816,1,0.140874,1.42198,20.1908,5.23002,11.9731,4.9699,3.28968,9999,9999,9999,999.9,4.97337,1.87792,1.87607,1.87894,1.8755,1.87911,1.87618,1.87738,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.031,0.3414,1.952128706,0.004218852,-1.80E-06,4.51E-10,-0.00226003,0.001938593,0.000605935,-3.87E-06,0,2124,1,26,223244.4,1120.1,0.828857,2.55859,1.39893,2.36084,1.44897,2.5061,42.218,24.0437,18,491.041,440.547,24.0546,28.8799,29.9999,28.7262,28.7994,16.624,30.555,92.8465,24.0541,279.135,23.3625,100.395,101.798,NA,4
