obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt..Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID.1,Duration,Fo.1,F1,F2,Fmax,T.HIR,T.F1,T.F2,T.Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1510788258,0,20171115 17:24:17,17:24:17,5,ely_can19_t2_ch4,ozzie,1510788250,0.003369462,3.369461611,6.425523037,415.8299637,343.0930161,30.67200646,37.17458162,0.173092894,3.842693712,0.168875119,0.105917339,321.511478,28.0983353,28.0983353,3.816648493,57.39896243,2.091879381,3.644455043,1.724769112,-148.593257,-163.6964136,-9.258267611,-0.036460259,6.370190811,3.34518374,6.425523037,429.3793093,425.7990061,0.000287468,64.5,3.369461611,21.61914758,23.41106545,0.000133661,94.03,0,0,1,0,47081,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.971667,1681.1762,0.840600009,0.160758016,2.18,0.5,0: Broadleaf,2,TRUE,1510788250,415.8299667,420.0590667,23.39948667,21.61934333,409.1344,22.94352333,400.0722667,89.35306,0.045455903,27.30817,27.48834333,999.9,0,0,10004.229,0,7.797434333,-4.229123667,425.7933667,429.3411667,1.780136667,420.0590667,21.61934333,2.090816,1.931754667,18.14938,16.89578,1999.971667,0.9799992,0.020000953,0,2.235886667,0,4020.455667,17299.91,39.375,39.9122,39.0662,38.625,38.7164,1959.971667,40,0,1677862251,0,2.242873077,1.093658114,-10.06461536,4020.378846,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.78397439,-0.001935261,0.016898065,1,1,1,1-Jan,2.70344,2.69809,0.088239,0.0901747,0.0997626,0.0953663,35371.9,38440.2,35167.9,38329.8,44860.4,50060.2,54933.3,61457.3,1.7697,1.993,0.0647083,0,26.4617,999.9,53.736,31.683,28.2038,55.2583,39.7596,1,0.106969,1.04862,20.1128,5.19767,12.0068,4.97515,3.29368,9999,9999,999.9,9999,1.86354,1.86839,1.86813,1.86929,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.696,0.4565,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.8,-2561298.5,1.03394,2.6355,1.54785,2.30957,1.34644,2.29614,37.9891,24.0175,18,386.454,518.437,24.4577,28.6339,30.0001,28.613,28.5444,20.7059,31.612,91.0485,24.4546,413.415,21.6738,101.932,102.311,NA,4
2,1510788263,5,20171115 17:24:22,17:24:22,5,ely_can19_t2_ch4,ozzie,1510788255,0.003411494,3.411494193,6.569090952,415.819997,342.5952351,30.6278857,37.17415199,0.175534799,3.840121752,0.171195959,0.107378369,321.5125328,28.09191196,28.09191196,3.815220596,57.41298433,2.092580116,3.644785479,1.72264048,-150.4468939,-161.9367129,-9.164654175,-0.035728139,6.125068702,3.376004189,6.569090952,429.404893,425.7523212,-0.001080562,64.5,3.411494193,21.5942503,23.40991758,-1.67E-05,94.03,0,0,1,0,47179,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.978276,1681.181752,0.840600007,0.160758013,2.18,0.5,0: Broadleaf,2,TRUE,1510788255,415.82,419.9227586,23.40703448,21.61038966,409.1245862,22.95072414,400.0468276,89.35415862,0.045466845,27.30971724,27.50132759,999.9,0,0,9994.876552,0,8.059938276,-4.10273931,425.7865517,429.198,1.796633793,419.9227586,21.61038966,2.091516207,1.930978276,18.15471724,16.88944483,1999.978276,0.979999276,0.020000872,0,2.260927586,0,4019.619655,17299.97241,39.375,39.92844828,39.07068966,38.625,38.71741379,1959.978276,40,0,1677862255,0,2.257219231,0.322745299,-9.544615381,4019.595385,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.787831707,0.198723554,0.020885692,1,1,1,1-Jan,2.70327,2.69851,0.0882221,0.0897888,0.0997586,0.0953609,35372.7,38456.3,35168,38329.5,44860.7,50060.4,54933.5,61457.1,1.76965,1.99285,0.0633001,0,26.4634,999.9,53.687,31.703,28.2129,55.2083,40.2925,1,0.107226,1.22083,20.1113,5.19722,12.0068,4.9752,3.29373,9999,9999,999.9,9999,1.86351,1.86839,1.86813,1.86927,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.694,0.4564,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.7,-2561298.4,1.01074,2.62939,1.54785,2.30957,1.34644,2.45117,37.9891,24.0175,18,386.441,518.334,24.4539,28.6339,30.0003,28.6151,28.5444,20.193,31.3385,91.0485,24.4232,399.903,21.6738,101.932,102.31,NA,4
3,1510788268,10,20171115 17:24:27,17:24:27,5,ely_can19_t2_ch4,ozzie,1510788260,0.00341567,3.415670395,6.471742041,415.5257827,343.2741002,30.68866273,37.14795433,0.175750197,3.841551524,0.171402419,0.107508184,321.5141034,28.09335486,28.09335486,3.815541308,57.41236149,2.092870623,3.645331021,1.722670684,-150.6310644,-161.7668502,-9.151816006,-0.035627208,1.921126602,3.392504058,6.471742041,424.4953259,423.5394667,-0.459273333,64.5,3.415670395,21.59282091,23.41043515,2.00E-05,94.03,0,0,1,0,47190,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.987857,1681.189821,0.840600014,0.160758028,2.18,0.5,0: Broadleaf,2,TRUE,1510788260,415.5257857,417.3408929,23.41021786,21.60476429,408.8322857,22.95376429,400.0393571,89.35442143,0.0454567,27.31227143,27.50498214,999.9,0,0,9999.9775,0,8.10911,-1.815040893,425.4866429,426.5565714,1.805446429,417.3408929,21.60476429,2.091806429,1.930481429,18.15692857,16.88538571,1999.987857,0.979999143,0.020001014,0,2.312460714,0,4019.085357,17300.05714,39.375,39.92814286,39.071,38.625,38.73425,1959.987143,40.00071429,0,1677862260,0,2.285446154,-0.772246151,-5.76239316,4019.096538,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.7982475,0.107401126,0.018685324,1,1,1,1-Jan,2.70361,2.69827,0.0877884,0.0876512,0.0997625,0.0955639,35389.7,38546.3,35168.1,38329.3,44860.8,50048.7,54933.8,61456.7,1.76978,1.9927,0.0636652,0,26.4661,999.9,53.663,31.703,28.1993,55.3983,39.8678,1,0.107574,1.18916,20.1115,5.19722,12.0074,4.9753,3.29363,9999,9999,999.9,9999,1.86353,1.86841,1.86813,1.8693,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.678,0.4565,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.6,-2561298.3,0.977783,2.64038,1.54785,2.30835,1.34644,2.30469,37.9891,24.0087,18,386.509,518.233,24.4257,28.6339,30.0002,28.6151,28.5446,19.6033,31.3385,91.0485,24.4204,379.74,21.6738,101.933,102.31,NA,4
4,1510788273,15,20171115 17:24:32,17:24:32,5,ely_can19_t2_ch4,ozzie,1510788265,0.003301617,3.30161667,6.267873988,413.3828119,340.858774,30.47278091,36.95643128,0.169215606,3.842128062,0.165181721,0.103592995,321.5157097,28.1181291,28.1181291,3.821051561,57.416408,2.093250125,3.645735075,1.727801436,-145.6012952,-166.5309795,-9.421182671,-0.037747655,-8.550159464,3.347341747,6.267873988,409.687469,415.6489939,-1.639001212,64.5,3.30161667,21.68223818,23.43786242,0.000172529,94.03,0,0,1,0,47189,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.997778,1681.198167,0.840600017,0.160758033,2.18,0.5,0: Broadleaf,2,TRUE,1510788265,413.3828148,409.4774074,23.41442593,21.63297407,406.7031852,22.95778148,400.0301852,89.35446296,0.045556144,27.31416296,27.50726667,999.9,0,0,10002.04185,0,8.10911,3.90547537,423.294037,418.531,1.781452593,409.4774074,21.63297407,2.092182593,1.933002222,18.15979259,16.90593704,1999.997778,0.979999111,0.020001048,0,2.228081481,0,4018.83963,17300.15185,39.375,39.9347037,39.076,38.625,38.73833333,1959.996667,40.00111111,0,1677862265,0,2.175684615,-1.176676927,0.867008566,4018.928462,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.78970575,-0.200514034,0.032943817,1,1,1,1-Jan,2.70355,2.69843,0.0864277,0.0849553,0.0998466,0.095707,35442.5,38660.1,35168.1,38329.2,44856.4,50040.8,54933.6,61456.7,1.76985,1.9927,0.0639036,0,26.4696,999.9,53.663,31.713,28.215,55.1983,40.0321,1,0.107508,1.16513,20.1116,5.19588,12.0082,4.97495,3.2936,9999,9999,999.9,9999,1.8635,1.86841,1.86813,1.86931,1.87012,1.86615,1.86723,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.625,0.4579,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.5,-2561298.2,0.946045,2.63306,1.54785,2.30835,1.34644,2.45239,37.9891,24.0175,18,386.55,518.254,24.4177,28.6339,30.0001,28.6151,28.5469,18.9088,31.3385,91.0485,24.4187,366.294,21.6513,101.932,102.31,NA,4
5,1510788278,20,20171115 17:24:37,17:24:37,5,ely_can19_t2_ch4,ozzie,1510788270,0.003390111,3.39011081,6.227670333,408.1130328,337.8820003,30.20626768,36.48484235,0.174363247,3.843795417,0.170085354,0.106678956,321.518228,28.10190406,28.10190406,3.817442025,57.44360197,2.094477501,3.646145837,1.722964524,-149.5038867,-162.8425409,-9.207862213,-0.036061755,-21.31062953,3.309925524,6.227670333,393.1173803,403.6744182,-2.432109697,64.5,3.39011081,21.70760697,23.46419697,0.005639827,94.03,0,0,1,0,47143,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.013571,1681.211432,0.840600012,0.160758023,2.18,0.5,0: Broadleaf,2,TRUE,1510788270,408.1130357,397.2364643,23.42845714,21.66705714,401.4675,22.97117143,400.056,89.35339643,0.045469604,27.31608571,27.50415714,999.9,0,0,10008.14571,0,8.10911,10.87657804,417.9037143,406.0334286,1.761395,397.2364643,21.66705714,2.093411429,1.936025,18.16913214,16.93057143,2000.013571,0.97999925,0.0200009,0,2.217685714,0,4019.067857,17300.28571,39.375,39.93257143,39.08675,38.625,38.7455,1960.0125,40.00107143,0,1677862270,0,2.17562,0.227400001,4.446923079,4019.1364,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.77669075,-0.343161839,0.038455451,1,1,1,1-Jan,2.70333,2.69813,0.0844159,0.0821589,0.0999207,0.0956581,35520.4,38778.1,35168,38329.1,44852.3,50043.1,54933.3,61456.4,1.7695,1.99265,0.0622123,0,26.4724,999.9,53.638,31.713,28.2031,54.9083,40.028,1,0.107505,1.21345,20.1114,5.19588,12.0059,4.97515,3.29363,9999,9999,999.9,9999,1.86354,1.86841,1.86814,1.86931,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.547,0.459,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.4,-2561298.2,0.914307,2.6416,1.54785,2.30835,1.34644,2.3877,37.9891,24.0175,18,386.36,518.22,24.4119,28.6339,30.0001,28.6151,28.5469,18.276,31.3385,90.6775,24.4028,352.837,21.6191,101.932,102.309,NA,4
6,1510788283,25,20171115 17:24:42,17:24:42,5,ely_can19_t2_ch4,ozzie,1510788275,0.003398276,3.398275983,6.146380193,398.1979972,329.2257889,29.43195579,35.59789738,0.174958375,3.841512676,0.170649126,0.107034033,321.5178539,28.10325614,28.10325614,3.817742706,57.48726543,2.096383812,3.646692527,1.721358894,-149.8639709,-162.495932,-9.193902607,-0.035951608,-33.94900925,3.303444564,6.146380193,376.1731561,389.3776545,-2.883295758,64.5,3.398275983,21.68368,23.47678606,0.001821602,94.03,0,0,1,0,47269,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.011481,1681.209656,0.840600002,0.160758004,2.18,0.5,0: Broadleaf,2,TRUE,1510788275,398.198,380.4142593,23.45014444,21.69214074,391.6166667,22.99187407,400.0351481,89.35214074,0.045338978,27.31864444,27.49963704,999.9,0,0,10000.09333,0,8.10911,17.78373407,407.7597778,388.8493333,1.758001852,380.4142593,21.69214074,2.09532037,1.938239259,18.18365185,16.94863333,2000.011481,0.979999444,0.020000693,0,2.215107407,0,4019.527778,17300.24815,39.375,39.93240741,39.09933333,38.625,38.75,1960.011111,40.00037037,0,1677862275,0,2.178936,1.385830768,5.660000021,4019.5736,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.76913325,-0.081437786,0.033048702,1,1,1,1-Jan,2.7035,2.69773,0.0820119,0.0792793,0.099956,0.0955988,35613.4,38900,35167.8,38329.4,44850.5,50046.6,54933.3,61456.8,1.76987,1.9924,0.0611171,0,26.4744,999.9,53.614,31.723,28.2041,55.0383,39.8718,1,0.107464,1.12139,20.112,5.19588,12.0073,4.97495,3.29365,9999,9999,999.9,9999,1.86352,1.86842,1.86813,1.86931,1.87012,1.86615,1.86723,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.455,0.4595,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.4,-2561298.1,0.877686,2.63672,1.54785,2.30835,1.34644,2.37427,38.0134,24.0175,18,386.574,518.049,24.4028,28.6349,30.0001,28.6167,28.5469,17.556,31.3385,90.6775,24.415,332.647,21.5979,101.932,102.31,NA,4
7,1510788288,30,20171115 17:24:47,17:24:47,5,ely_can19_t2_ch4,ozzie,1510788280,0.003408495,3.408494872,6.039693548,386.1872115,318.8008366,28.49975662,34.52387909,0.17566446,3.842550765,0.171321967,0.107457444,321.51657,28.10308779,28.10308779,3.817705267,57.52398991,2.097980975,3.64714092,1.719724292,-150.3146239,-162.0702613,-9.167429349,-0.035744497,-40.39265985,3.350486698,6.039693548,359.3548808,373.8783939,-3.101894545,64.5,3.408494872,21.67135606,23.48315394,0.000230611,94.03,0,0,1,0,47230,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.003571,1681.203,0.840599999,0.160757998,2.18,0.5,0: Broadleaf,2,TRUE,1510788280,386.1872143,364.8815714,23.46820357,21.68530714,379.6836071,23.00910357,400.0595714,89.35161071,0.045132786,27.32074286,27.48968214,999.9,0,0,10003.87821,0,8.10911,21.305625,395.4679286,372.9697857,1.782888571,364.8815714,21.68530714,2.096921429,1.937618214,18.195825,16.94356786,2000.003571,0.979999464,0.020000671,0,2.256703571,0,4020.043214,17300.17143,39.375,39.93478571,39.1115,38.625,38.75,1960.003571,40,0,1677862280,0,2.242692,-0.085553838,7.683846142,4020.0936,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.768268,0.28662349,0.031627891,1,1,1,1-Jan,2.70337,2.69797,0.0793775,0.0762933,0.0999715,0.0956035,35715.6,39026.1,35167.9,38329.4,44849.8,50046.4,54933.5,61456.9,1.76995,1.9922,0.0625104,0,26.4746,999.9,53.589,31.723,28.1943,55.1683,40.2123,1,0.107358,1.05788,20.1124,5.19528,12.007,4.97495,3.29353,9999,9999,999.9,9999,1.86351,1.86841,1.86813,1.8693,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.357,0.4599,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.3,-2561298,0.845947,2.6355,1.54785,2.30835,1.34644,2.4292,38.0134,24.0175,18,386.621,517.913,24.4158,28.6358,30,28.6176,28.5469,16.9129,31.6187,90.6775,24.431,319.109,21.5779,101.932,102.31,NA,4
8,1510788293,35,20171115 17:24:52,17:24:52,5,ely_can19_t2_ch4,ozzie,1510788285,0.003415497,3.415497169,5.618470524,370.9500715,308.0404806,27.53773149,33.16162682,0.176143348,3.839214796,0.171773771,0.107742167,321.515785,28.10340543,28.10340543,3.817775907,57.55012247,2.099068178,3.647373955,1.718707729,-150.6234252,-161.7695963,-9.158437649,-0.035674109,-44.53264926,3.399472329,5.618470524,342.1036603,357.6852788,-3.244510909,64.5,3.415497169,21.67408455,23.48955697,0.000251268,94.03,0,0,1,0,47094,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.998519,1681.198767,0.840600006,0.160758012,2.18,0.5,0: Broadleaf,2,TRUE,1510788285,370.9500741,347.3688148,23.48043704,21.67136296,364.5451111,23.02077407,400.030037,89.35130741,0.045162289,27.32183333,27.48581481,999.9,0,0,9991.941481,0,8.10911,23.5812963,379.8694444,355.0636296,1.809071852,347.3688148,21.67136296,2.098007778,1.936364815,18.20406667,16.93337037,1999.998519,0.979999333,0.020000811,0,2.254755556,0,4020.630741,17300.11852,39.375,39.937,39.118,38.625,38.75,1959.998148,40.00037037,0,1677862285,0,2.233626923,-0.283169234,6.308717968,4020.654231,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.78764,0.293857486,0.029987583,1,1,1,1-Jan,2.70318,2.69844,0.0765911,0.0734477,0.0999899,0.0955068,35823.7,39146.2,35168,38329.3,44848.7,50051.6,54933.3,61456.8,1.7697,1.99215,0.0614449,0,26.4766,999.9,53.589,31.723,28.1943,55.4483,39.8357,1,0.106944,1.0714,20.1122,5.19558,12.0062,4.97495,3.29358,9999,9999,999.9,9999,1.86355,1.86842,1.86813,1.86931,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.255,0.4601,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.2,-2561297.9,0.808105,2.51099,1.54785,2.30957,1.34644,2.39624,38.0134,24.0175,18,386.485,517.885,24.4327,28.6364,30,28.6176,28.5477,16.1939,31.6187,90.6775,24.4363,298.846,21.5578,101.932,102.31,NA,4
9,1510788298,40,20171115 17:24:57,17:24:57,5,ely_can19_t2_ch4,ozzie,1510788290,0.00348084,3.480840024,5.651092066,356.4560688,294.7969826,26.35413824,31.86631163,0.179969491,3.841701029,0.175413538,0.110033189,321.5159844,28.0900981,28.0900981,3.814817461,57.56153715,2.099526543,3.647446972,1.715290917,-153.5050451,-159.0474607,-8.997916617,-0.034438034,-46.31504248,3.436659089,5.651092066,326.1401805,341.5529333,-3.2184,64.5,3.480840024,21.63476061,23.48693515,1.75E-05,94.03,0,0,1,0,47308,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.999643,1681.199721,0.840600011,0.160758021,2.18,0.5,0: Broadleaf,2,TRUE,1510788290,356.4560714,331.8843929,23.48527143,21.65645714,350.1450357,23.02538214,400.0388214,89.35227143,0.045313346,27.322175,27.48840357,999.9,0,0,10000.75464,0,8.10911,24.57161429,365.0287143,339.23125,1.828803571,331.8843929,21.65645714,2.098462143,1.935054643,18.20751071,16.92268929,1999.999643,0.97999925,0.0200009,0,2.26965,0,4021.239286,17300.13929,39.375,39.937,39.116,38.625,38.75,1959.998929,40.00071429,0,1677862290,0,2.244365385,0.480441025,9.353162394,4021.303846,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.81537075,0.251765291,0.025351488,1,1,1,1-Jan,2.70332,2.69842,0.0737527,0.0702059,0.0999844,0.0954531,35934,39282.9,35168.1,38329.1,44849.3,50054.1,54933.9,61456.3,1.76975,1.99205,0.0621676,0,26.4766,999.9,53.565,31.743,28.2131,55.2183,40.2404,1,0.107492,1.06667,20.1124,5.19632,12.0071,4.97505,3.29363,9999,9999,999.9,9999,1.86354,1.86842,1.86813,1.86931,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.152,0.4599,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298.1,-2561297.8,0.776367,2.63184,1.54785,2.30835,1.34644,2.44385,38.0134,24.0175,18,386.512,517.832,24.4419,28.6364,30.0001,28.6176,28.5492,15.5373,31.6187,90.302,24.4454,285.474,21.5402,101.933,102.309,NA,4
10,1510788303,45,20171115 17:25:02,17:25:02,5,ely_can19_t2_ch4,ozzie,1510788295,0.003500375,3.500374705,4.992843245,339.7271088,284.760266,25.45696505,30.37088445,0.181114349,3.841766324,0.176501124,0.110717895,321.5191758,28.0861175,28.0861175,3.813932895,57.56454868,2.099630806,3.647437275,1.714302089,-154.3665245,-158.2351102,-8.951626802,-0.034085674,-47.84453988,3.481191127,4.992843245,308.0245626,324.7031697,-3.374419394,64.5,3.500374705,21.61605636,23.47930242,-6.99E-05,94.03,0,0,1,0,47047,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.01963,1681.216511,0.840600005,0.16075801,2.18,0.5,0: Broadleaf,2,TRUE,1510788295,339.7271111,314.2998519,23.48635926,21.63392222,333.5244815,23.02641852,400.0545556,89.35241111,0.045472263,27.32212963,27.49597407,999.9,0,0,10000.97333,0,8.20621,25.42721481,347.8978519,321.2501481,1.852431481,314.2998519,21.63392222,2.098562963,1.933042963,18.20826667,16.90628148,2000.01963,0.979999444,0.020000693,0,2.2716,0,4022.267407,17300.31111,39.375,39.937,39.111,38.625,38.75,1960.018889,40.00074074,0,1677862295,0,2.254396154,0.087579485,14.43589745,4022.269615,15,0,--:--:--,1664466184,1664466167,0,-0.244,0.002,12.235,0.258,1500,19,0.08,0.08,1.8405125,0.279414709,0.027565822,1,1,1,1-Jan,2.70325,2.69831,0.07074,0.0671993,0.0999559,0.0953642,36050.7,39409.6,35168,38328.8,44850.3,50059.1,54933.4,61456.5,1.76987,1.99212,0.0622943,0,26.4766,999.9,53.54,31.743,28.2,55.4683,40,1,0.107144,1.08505,20.1123,5.19692,12.0065,4.975,3.29345,9999,9999,999.9,9999,1.86354,1.86843,1.86813,1.86932,1.87012,1.86615,1.86722,1.86859,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.046,0.4595,4.028640256,0.006477977,2.22E-07,-3.03E-10,-0.004673914,-0.02176174,0.002431895,-2.65E-05,-4,1907,1,28,-2561298,-2561297.7,0.748291,2.64526,1.54785,2.30835,1.34644,2.37549,38.0134,24.0175,18,386.58,517.883,24.45,28.6364,30.0001,28.6176,28.5492,14.8129,31.6187,90.302,24.4491,265.319,21.5328,101.932,102.309,NA,4
