obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,CO2_hrs,AccCO2_soda,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1678121350,0,20230306 10:49:10,10:49:10,5,pas_smi23_t4_ch4,gibson,1678121342,0.00670756,6.7075599,10.30017811,412.853123,314.7983796,28.40438858,37.25190882,0.213662526,3.654367431,0.206957157,0.129933144,321.5199255,36.56259964,35.00224516,5.649073649,46.81510051,2.862605046,6.114704474,2.786468604,-295.8033916,283.2607433,18.23000564,327.2072828,10.26633497,6.818192118,10.30017811,432.0765799,426.3492545,0.001634994,67.57705467,6.7075599,28.16270615,31.68890121,-0.002660413,113.6,23,5,1,0,46463,2000.020968,1681.217913,0.840600144,0.160758277,2.7,0.5,0: Broadleaf,2,TRUE,1678121342,412.853129,419.9124516,31.7255,28.16278065,412.5684516,31.3465129,500.3223226,90.13046452,0.099950942,36.4400129,35.00224516,999.9,0,0,10000.53968,0,12.54283548,-7.059258387,426.3803548,432.080871,3.562722258,419.9124516,28.16278065,2.859434516,2.538324839,23.23125806,21.27434194,2000.020968,0.979996226,0.020003826,0,2.549996774,0,5627.847419,16705.55806,47.062,48.375,47.81809677,46.81606452,47.06606452,1960.010968,40.01,0,1678121354,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-7.05757561,-0.028036934,0.045804437,1,3.57914,-0.29316878,0.029047458,0,1,2,2-Jan,2.84408,2.71055,0.0894674,0.0905952,0.123656,0.113611,26052.2,22170.8,25610.6,23749.5,38318,34818.4,46328.1,42337.5,1.72208,1.87582,0.11836,0,33.123,999.9,60.103,29.386,27.4238,54.4037,44.7356,1,0.14095,-6.43707,20.1019,5.23466,11.992,4.95605,3.304,9999,999.9,9999,9999,1.86881,1.86447,1.8721,1.86295,1.86234,1.86879,1.85885,1.86538,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.285,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.4,44693.4,1.04004,2.36328,1.44775,2.30835,1.44409,2.26074,36.9317,24.0525,18,403.797,483.221,35.8873,29.3436,30.0047,28.9951,28.9944,20.7815,0,100,37.1561,413.054,30.7472,98.0297,99.5619,NA,4
2,1678121355,5,20230306 10:49:15,10:49:15,5,pas_smi23_t4_ch4,gibson,1678121347,0.00689822,6.898220312,10.40176603,412.8510284,316.0438937,28.51688812,37.25187172,0.219548094,3.65895428,0.212483364,0.133417903,321.5190556,36.50082007,35.01195862,5.652112942,46.84395228,2.86098043,6.107470208,2.791132512,-304.2115157,277.4395176,17.83194764,312.5790051,9.964135836,6.784228759,10.40176603,432.1264245,426.352903,-0.000534482,67.57705467,6.898220312,28.16168686,31.71777939,0.006100052,113.6,23,5,1,0,46325,2000.015517,1681.213334,0.840600145,0.160758281,2.7,0.5,0: Broadleaf,2,TRUE,1678121347,412.8510345,419.7397586,31.70736552,28.16229655,412.5662069,31.32837931,500.318069,90.13088621,0.099897183,36.41841379,35.01195862,999.9,0,0,10018.20207,0,12.89873448,-6.888734483,426.3701379,431.903,3.545072414,419.7397586,28.16229655,2.857813793,2.538293103,23.22187586,21.27414138,2000.015517,0.979996276,0.020003772,0,2.542548276,0,5623.040345,16705.51379,47.062,48.37927586,47.82068966,46.8272069,47.07068966,1960.005517,40.01,0,1678121359,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-6.9825445,1.217912871,0.269436086,0,3.5565715,-0.22905546,0.024109041,0,0,2,0/2,2.84382,2.71043,0.0894537,0.0901359,0.123742,0.11361,26051.5,22180.8,25609.6,23748.3,38312.5,34816.7,46326,42335.4,1.72202,1.87565,0.116862,0,33.121,999.9,60.078,29.406,27.4414,53.7537,44.359,1,0.145996,-3.6966,20.1869,5.23271,11.992,4.95635,3.304,9999,999.9,9999,9999,1.86883,1.86448,1.8721,1.86295,1.86234,1.86882,1.8589,1.86538,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.285,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.5,44693.5,1.0144,2.34497,1.44775,2.30835,1.44409,2.30591,36.9556,24.105,18,403.794,483.143,37.1074,29.3496,30.0031,28.9988,28.9988,20.2886,0,100,36.7002,399.545,30.7472,98.0254,99.5569,NA,4
3,1678121360,10,20230306 10:49:20,10:49:20,5,pas_smi23_t4_ch4,gibson,1678121352,0.006826562,6.826561659,10.13184524,412.4027441,316.7751244,28.58322591,37.21188909,0.217115782,3.656636308,0.210199838,0.131977917,321.52017,36.51676594,35.01536786,5.653180012,46.84239061,2.86101618,6.107750143,2.792163832,-301.0513692,276.7565196,17.79969194,315.0250124,5.599095479,6.786011285,10.13184524,425.3351434,423.1509091,-0.727660995,67.57705467,6.826561659,28.16013798,31.72339879,0.000472658,113.6,23,5,1,0,45967,2000.0225,1681.2192,0.840600143,0.160758276,2.7,0.5,0: Broadleaf,2,TRUE,1678121352,412.40275,416.9344643,31.70736429,28.161475,412.1181071,31.32838214,500.33375,90.131875,0.100039386,36.41925,35.01536786,999.9,0,0,10009.14143,0,12.90656786,-4.531750321,425.9071071,429.0161071,3.545894643,416.9344643,28.161475,2.857844643,2.538246786,23.22205357,21.27384286,2000.0225,0.979996357,0.020003686,0,2.5437,0,5619.186786,16705.56786,47.062,48.39492857,47.82775,46.8435,47.07775,1960.0125,40.01,0,1678121364,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-5.26725022,24.81281611,3.19471564,0,3.550324634,0.000483972,0.015920584,1,1,2,2-Jan,2.84425,2.70999,0.088851,0.0880062,0.123743,0.113606,26067.9,22232.3,25608.8,23747.8,38311.6,34816.2,46325.1,42334.6,1.72228,1.87542,0.11811,0,33.1185,999.9,60.078,29.427,27.4753,54.4537,43.8101,1,0.139418,-2.42901,20.2117,5.23286,11.992,4.95585,3.30395,9999,999.9,9999,9999,1.86886,1.86447,1.8721,1.86295,1.86234,1.86882,1.85888,1.86538,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.284,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.6,44693.6,0.983887,2.33765,1.44775,2.30835,1.44409,2.37549,36.9556,24.1138,18,403.955,483.026,37.0099,29.3545,29.9977,29.0027,29.0024,19.6076,0,100,36.677,379.409,30.7472,98.0231,99.555,NA,4
4,1678121365,15,20230306 10:49:25,10:49:25,5,pas_smi23_t4_ch4,gibson,1678121358,0.006647406,6.64740628,9.952597793,409.7351053,313.4426485,28.28260474,36.97128035,0.210941075,3.65176048,0.204398107,0.128319771,321.5198301,36.57271511,35.02841481,5.657265246,46.79994189,2.861267225,6.113826448,2.795998021,-293.1506169,277.3906838,17.86700705,323.626904,-4.276745607,6.793527803,9.952597793,410.3707808,413.9821455,-1.932051632,67.57705467,6.64740628,28.15942912,31.68825394,-0.006960814,113.6,23,5,1,0,46073,2000.02037,1681.217411,0.840600144,0.160758278,2.7,0.5,0: Broadleaf,2,TRUE,1678121358,409.7351111,408.9293333,31.71006296,28.16030741,409.4514444,31.33107407,500.341,90.13213333,0.100018785,36.43739259,35.02841481,999.9,0,0,9990.294815,0,12.9089,0.805670037,423.1532222,420.7787037,3.549775556,408.9293333,28.16030741,2.858096667,2.538148148,23.22351481,21.27320741,2000.02037,0.979996556,0.020003474,0,2.537274074,0,5616.447407,16705.55926,47.062,48.39796296,47.84233333,46.86333333,47.08066667,1960.01037,40.01,0,1678121369,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-2.409431195,53.4929811,5.843984597,0,3.547030488,0.069894564,0.013749746,1,1,2,2-Jan,2.844,2.71,0.0872825,0.0852302,0.123642,0.113598,26113.1,22300.3,25609.2,23748.3,38316.6,34817.2,46325.7,42335.5,1.72195,1.87547,0.119656,0,33.1198,999.9,60.078,29.416,27.459,54.4937,43.5657,1,0.137802,-2.01873,20.2179,5.23271,11.992,4.95585,3.30398,9999,999.9,9999,9999,1.86884,1.86447,1.87211,1.86295,1.86234,1.86882,1.85889,1.86539,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.28,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.7,44693.7,0.946045,2.32056,1.44775,2.30835,1.44409,2.45117,36.9794,24.1225,18,403.804,483.091,36.8305,29.3597,29.9983,29.0068,29.0062,18.9554,0,100,36.6574,365.938,30.7472,98.0244,99.5571,NA,4
5,1678121370,20,20230306 10:49:30,10:49:30,5,pas_smi23_t4_ch4,gibson,1678121362,0.006574679,6.574679118,9.185538585,403.591066,312.5780206,28.20454987,36.41684187,0.208370437,3.647373246,0.201975941,0.126793137,321.5196,36.60984201,35.03351071,5.658861559,46.72868884,2.860304167,6.121088003,2.798557393,-289.9433491,280.3147366,18.07941834,329.9704058,-16.09831611,6.776046276,9.185538585,392.9188177,400.6882,-2.721358182,67.57705467,6.574679118,28.15666877,31.65220121,-0.007540675,113.6,23,5,1,0,46071,2000.018929,1681.2162,0.840600144,0.160758279,2.7,0.5,0: Broadleaf,2,TRUE,1678121362,403.5910714,396.3797143,31.69943214,28.15879643,403.3097857,31.32043571,500.3444286,90.131975,0.100056718,36.45905357,35.03351071,999.9,0,0,9973.391429,0,12.9089,7.211260036,416.8035714,407.8647857,3.540641786,396.3797143,28.15879643,2.857132857,2.538008214,23.21793929,21.27230357,2000.018929,0.979996679,0.020003343,0,2.571639286,0,5615.243929,16705.55357,47.062,48.40157143,47.85925,46.87275,47.098,1960.008929,40.01,0,1678121374,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,3.583423195,81.35375737,8.109682655,0,3.539811707,-0.101681812,0.021130671,0,0,2,0/2,2.84376,2.71008,0.0850517,0.0823797,0.123542,0.11359,26177.3,22369.5,25609.6,23747.9,38321.4,34817.1,46326.2,42335.1,1.7217,1.87552,0.118557,0,33.1249,999.9,60.054,29.447,27.5007,54.8637,43.7981,1,0.137386,-1.92932,20.2191,5.23167,11.992,4.95605,3.30398,9999,999.9,9999,9999,1.86884,1.86447,1.8721,1.86295,1.86234,1.86882,1.85889,1.86539,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.275,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.8,44693.8,0.914307,2.31812,1.44775,2.30835,1.44409,2.45728,36.9556,24.1138,18,403.689,483.154,36.6906,29.3646,29.9993,29.0101,29.0099,18.3647,0,100,36.6123,345.775,30.7472,98.0257,99.5559,NA,4
6,1678121375,25,20230306 10:49:35,10:49:35,5,pas_smi23_t4_ch4,gibson,1678121368,0.006549289,6.549289283,8.688715826,392.5412172,305.4385031,27.55977725,35.41907257,0.207014305,3.651450178,0.200708233,0.12599322,321.5188252,36.62605215,35.04591481,5.662748836,46.65414191,2.85746779,6.124789083,2.805281045,-288.8236574,280.357881,18.06406821,331.117117,-26.58670762,6.718154508,8.688715826,376.3026386,385.6971333,-3.006743406,67.57705467,6.549289283,28.15809785,31.62475394,-0.005548052,113.6,23,5,1,0,46347,2000.014074,1681.212122,0.840600146,0.160758281,2.7,0.5,0: Broadleaf,2,TRUE,1678121368,392.5412222,379.6168519,31.66864074,28.1580037,392.2641111,31.28964444,500.3245556,90.13031111,0.099888974,36.47008519,35.04591481,999.9,0,0,9989.29963,0,12.9089,12.92436741,405.3793333,390.6158519,3.510645185,379.6168519,28.1580037,2.854305556,2.537889259,23.20155556,21.27154815,2000.014074,0.979996889,0.020003119,0,2.587259259,0,5614.464815,16705.51111,47.07833333,48.40255556,47.875,46.875,47.111,1960.004074,40.01,0,1678121379,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,8.946050025,68.09951357,6.797468873,0,3.52773725,-0.334244015,0.033107693,0,0,2,0/2,2.84377,2.71029,0.0825436,0.0796503,0.123469,0.113597,26248.7,22435.9,25609.3,23747.8,38324.5,34816.9,46326.2,42335.3,1.72143,1.87512,0.118919,0,33.1319,999.9,60.029,29.416,27.4357,54.5437,44.1146,1,0.137594,-1.99639,20.2184,5.23212,11.992,4.956,3.30395,9999,999.9,9999,9999,1.8688,1.86447,1.8721,1.86295,1.86234,1.86883,1.85888,1.86538,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.27,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.9,44693.8,0.887451,2.323,1.44775,2.30835,1.44409,2.47192,36.9794,24.1138,18,403.565,482.923,36.5859,29.3688,29.9998,29.0142,29.0137,17.6305,0,100,36.5651,331.644,30.7472,98.0252,99.556,NA,4
7,1678121380,30,20230306 10:49:40,10:49:40,5,pas_smi23_t4_ch4,gibson,1678121372,0.006490051,6.490050838,8.424865189,379.8645308,294.716772,26.59220001,34.27505504,0.204750081,3.653586032,0.198582477,0.124652707,321.516465,36.63644697,35.05122857,5.664414804,46.61477473,2.854749453,6.124130105,2.809665352,-286.211242,279.0884043,17.97205231,332.3656797,-31.51724301,6.661588319,8.424865189,359.9664725,370.094697,-3.130881362,67.57705467,6.490050838,28.15720954,31.59571697,-0.005881835,113.6,23,5,1,0,46398,1999.999286,1681.1997,0.84060015,0.16075829,2.7,0.5,0: Broadleaf,2,TRUE,1678121372,379.8645357,364.2216071,31.63869643,28.15745714,379.5922143,31.25970357,500.3168214,90.12971786,0.099962096,36.46812143,35.05122857,999.9,0,0,9997.606786,0,12.9089,15.64291786,392.2759643,374.7743214,3.4812375,364.2216071,28.15745714,2.851587143,2.537824643,23.18578571,21.27113571,1999.999286,0.979996893,0.020003114,0,2.606525,0,5613.977857,16705.38929,47.0935,48.41928571,47.875,46.875,47.125,1959.989286,40.01,0,1678121384,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,12.85159171,41.70752509,4.419486505,0,3.505195854,-0.380120906,0.037563953,0,0,2,0/2,2.84377,2.71034,0.0798846,0.0766647,0.123384,0.113593,26324.8,22509,25609.3,23748.2,38328,34817.6,46325.9,42336,1.72143,1.87503,0.118591,0,33.1408,999.9,60.029,29.427,27.4538,54.4037,44.0144,1,0.13782,-2.0426,20.2176,5.23197,11.992,4.95645,3.30398,9999,999.9,9999,9999,1.86883,1.86448,1.87211,1.86295,1.86234,1.86881,1.85887,1.86538,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.264,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44693.9,44693.9,0.848389,2.37183,1.44775,2.30957,1.44409,2.25586,37.0032,24.1225,18,403.587,482.889,36.5185,29.3732,30.0003,29.0176,29.0174,16.9723,0,100,36.5139,318.246,30.7472,98.0249,99.5576,NA,4
8,1678121385,35,20230306 10:49:45,10:49:45,5,pas_smi23_t4_ch4,gibson,1678121378,0.006453416,6.453415566,7.841388361,364.2672176,283.985459,25.62364577,32.86736646,0.203186625,3.65682165,0.19711655,0.123728111,321.5157514,36.63716827,35.05792963,5.666516327,46.58656386,2.851953871,6.12183779,2.814562456,-284.5956264,276.6674627,17.80037725,331.387965,-34.36211846,6.602845676,7.841388361,342.5486849,353.7247152,-3.283914941,67.57705467,6.453415566,28.15726192,31.57121939,-0.005194805,113.6,23,5,1,0,46146,1999.994815,1681.195944,0.840600152,0.160758293,2.7,0.5,0: Broadleaf,2,TRUE,1678121378,364.2672222,347.0215556,31.60804815,28.15742593,364.0007407,31.22905556,500.3209259,90.12873333,0.099991259,36.46128889,35.05792963,999.9,0,0,10010.20593,0,12.88607778,17.24562222,376.1571111,357.076,3.450617037,347.0215556,28.15742593,2.848793333,2.537793704,23.16956667,21.27094074,1999.994815,0.979997,0.020003,0,2.560492593,0,5613.812222,16705.34815,47.11566667,48.42781481,47.875,46.875,47.125,1959.984815,40.01,0,1678121389,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,16.24127317,18.61716376,1.909662201,0,3.468349268,-0.346894077,0.034270193,0,0,2,0/2,2.84373,2.71012,0.0770529,0.0737453,0.123312,0.113582,26405.3,22579.9,25608.8,23747.9,38330.6,34817.6,46325.2,42335.6,1.72123,1.8749,0.118986,0,33.1475,999.9,60.005,29.447,27.4799,54.3537,44.8598,1,0.138206,-2.04373,20.2178,5.23137,11.992,4.95575,3.30387,9999,999.9,9999,9999,1.86882,1.86447,1.87211,1.86295,1.86234,1.8688,1.85888,1.86537,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.257,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44694,44694,0.820312,2.37061,1.44897,2.30957,1.44409,2.23999,37.0032,24.1138,18,403.504,482.838,36.4627,29.3782,30.0004,29.0216,29.0211,16.2477,0,100,36.4574,298.004,30.7472,98.0234,99.5568,NA,4
9,1678121390,40,20230306 10:49:50,10:49:50,5,pas_smi23_t4_ch4,gibson,1678121382,0.006406253,6.406253143,7.01601726,349.7668888,276.2067034,24.92168808,31.55890569,0.201347905,3.655168703,0.195382849,0.122635497,321.513444,36.63763492,35.06421071,5.668486757,46.57413665,2.849707631,6.118648321,2.818779127,-282.5157636,273.4305907,17.59979906,330.0280701,-35.84940559,6.556978018,7.01601726,326.3334072,337.6168303,-3.209676267,67.57705467,6.406253143,28.15516507,31.54615091,-0.005403983,113.6,23,5,1,0,46107,1999.980357,1681.1838,0.840600156,0.160758301,2.7,0.5,0: Broadleaf,2,TRUE,1678121382,349.7668929,331.6586786,31.58326786,28.15660357,349.5058929,31.204275,500.3319286,90.12838214,0.100014854,36.45177857,35.06421071,999.9,0,0,10003.86357,0,12.86349643,18.10806071,361.1741786,341.2677143,3.426657857,331.6586786,28.15660357,2.8465475,2.537709643,23.15653214,21.27040714,1999.980357,0.979997,0.020003,0,2.537192857,0,5613.931071,16705.23214,47.1205,48.43257143,47.875,46.875,47.125,1959.970357,40.01,0,1678121394,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,17.30265854,12.0072878,1.227067205,0,3.446245854,-0.31757101,0.031383657,0,0,2,0/2,2.84371,2.71031,0.0742059,0.0705484,0.123247,0.113584,26486.6,22657.6,25608.7,23747.8,38333,34817.3,46324.7,42335.4,1.72103,1.8747,0.118941,0,33.1541,999.9,60.005,29.447,27.4786,54.7237,43.6298,1,0.138443,-1.96914,20.2186,5.23226,11.992,4.95615,3.304,9999,999.9,9999,9999,1.86884,1.86447,1.8721,1.86295,1.86234,1.86883,1.85889,1.86539,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.252,0.3789,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44694.1,44694.1,0.778809,2.34497,1.44775,2.30957,1.44409,2.39258,37.0032,24.1138,18,403.417,482.738,36.4034,29.3814,30.0004,29.0251,29.0248,15.5721,0,100,36.3854,284.494,30.7472,98.0225,99.5562,NA,4
10,1678121395,44.5,20230306 10:49:54,10:49:54,5,pas_smi23_t4_ch4,gibson,1678121387,0.006357808,6.357807636,6.383243734,335.7857463,267.4859505,24.13456563,30.29707959,0.199501748,3.652908041,0.193640354,0.1215375,321.512475,36.63857369,35.06955714,5.670164447,46.56277862,2.8475527,6.115512828,2.822611747,-280.3793167,270.3665254,17.41300461,328.9126883,-37.31249514,6.51270284,6.383243734,310.0173155,322.4518121,-3.378750527,67.57705467,6.357807636,28.15657982,31.52038121,-0.005164485,113.6,23,5,1,0,46240,1999.974286,1681.1787,0.840600158,0.160758304,2.7,0.5,0: Broadleaf,2,TRUE,1678121387,335.78575,316.8307857,31.55972857,28.15617143,335.5301071,31.18073214,500.3395357,90.12739643,0.100017704,36.442425,35.06955714,999.9,0,0,9995.247857,0,12.866925,18.95483929,346.7286071,326.0100714,3.403547857,316.8307857,28.15617143,2.844394286,2.5376425,23.14402143,21.26997143,1999.974286,0.979997,0.020003,0,2.525671429,0,5614.415714,16705.18214,47.125,48.43257143,47.88164286,46.875,47.125,1959.964286,40.01,0,1678121398,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,18.35214878,11.20305784,1.146424136,0,3.420047805,-0.304486202,0.030072204,0,0,2,0/2,2.84374,2.71003,0.0714669,0.0677931,0.123173,0.113577,26564.2,22724.9,25608,23747.9,38335.7,34817.3,46324,42335.2,1.72127,1.87465,0.118054,0,33.1599,999.9,59.98,29.447,27.4654,54.4437,43.6859,1,0.138714,-1.94422,20.2183,5.23241,11.992,4.95595,3.30393,9999,999.9,9999,9999,1.86886,1.86448,1.87211,1.86295,1.86234,1.86885,1.85889,1.86539,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.246,0.379,0.113826917,0.000452008,-6.84E-08,-5.70E-11,0.378989886,0,0,0,2,1362,1,28,44694.2,44694.2,0.748291,2.35229,1.44775,2.30957,1.44409,2.37427,37.0032,24.1138,18,403.577,482.734,36.3421,29.3855,30.0003,29.0286,29.0282,14.8899,0,100,36.3143,264.271,30.7472,98.0207,99.5561,NA,4
