obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccCO2_soda,CO2_hrs,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
13,1677710222,284.5,20230301 16:37:01,16:37:01,5,bou_cur18_t1_ch4,gibson,1677710219,0.000567135,0.567135065,0.454795217,419.8000999,386.2268618,34.50248087,37.50165083,0.0326894,4.129753114,0.032546327,0.020354256,0,27.72780807,27.4895,3.683359251,57.94432455,2.177770729,3.758384874,1.505588522,-25.01065635,76.81637408,4.040887266,55.84660499,0.454795217,0.567135065,0.46787814,430.4460313,430.3030424,-0.000370769,67.41038185,0.556803158,24.21538598,24.37917152,3.17E-05,102.1417985,5,1,1,0,46889,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710219,419.8001,420.0093,24.37835,24.21129,420.4671,24.29671,500.1179,89.23217,0.09999273,27.83452,27.4895,999.9,0,0,9982.995,0,0.278209,-0.2093017,430.2896,430.4305,0.1670748,420.0093,24.21129,2.175332,2.160424,18.7818,18.67183,0,0,0,0,3.77,0,-4.25,-2.21,39.6187,44.75,42.3936,43.281,40.3874,0,0,0,1677710222,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.190336595,-0.200124192,0.044190842,0,0.162595463,0.053942446,0.007977105,1,1,2,2-Jan,2.84451,2.7103,0.0897929,0.0896554,0.102538,0.101298,26289.7,22209.2,25853.9,23766.3,39649.9,35341.8,46797.7,42384.8,1.75338,1.79025,0.0548363,0,26.5933,999.9,56.165,33.486,32.677,54.3867,43.9303,1,0.134073,0.326446,20.2471,5.23361,11.992,4.95605,3.304,9999,9999,999.9,9999,1.8686,1.86439,1.87192,1.86288,1.8622,1.86866,1.85883,1.8651,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0817,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.3,37841.3,1.04492,2.37793,1.44775,2.30103,1.44409,2.45483,40.1206,23.9912,18,422.673,431.012,26.7032,29.2808,29.9998,29.2086,29.1848,20.9651,41.2505,69.5727,26.7063,419.992,24.2167,99.0012,99.6585,NA,4
14,1677710227,289.5,20230301 16:37:06,16:37:06,5,bou_cur18_t1_ch4,gibson,1677710224,0.000623805,0.623804615,0.327024847,419.7596666,393.8199165,35.18201291,37.49934776,0.035971508,4.139034929,0.03579873,0.02238966,0,27.72055318,27.4882,3.683079053,57.924934,2.17744325,3.759077654,1.505635803,-27.50978351,77.98374731,4.093134899,54.5670987,0.327024847,0.623804615,0.692403926,430.3547761,430.2138061,-0.015240365,67.41038185,0.606026255,24.19016751,24.36951212,-0.000116293,102.1417985,5,1,1,0,47116,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710224,419.7596667,419.9374444,24.37383333,24.1901,420.4265556,24.29236667,500.1738889,89.23527778,0.100003222,27.83767778,27.4882,999.9,0,0,10012.76667,0,0.278209,-0.177910556,430.2462222,430.3475556,0.183733222,419.9374444,24.1901,2.175004444,2.158611111,18.77941111,18.6584,0,0,0,0,2.311111111,0,-4.5,-1.511111111,39.562,44.729,42.375,43.25,40.375,0,0,0,1677710226,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.18965065,-0.096425268,0.040202782,1,0.1703963,0.057840203,0.008514325,1,2,2,2-Feb,2.84457,2.71041,0.0897913,0.0896562,0.102511,0.101287,26289.9,22209.1,25854.1,23766.2,39651.4,35342.2,46798.1,42384.7,1.75353,1.79035,0.0545532,0,26.5956,999.9,56.141,33.486,32.6615,53.7367,43.9423,1,0.133633,0.344461,20.2471,5.23376,11.992,4.95605,3.304,9999,9999,999.9,9999,1.86861,1.86436,1.87192,1.86286,1.86219,1.86865,1.85882,1.86511,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.666,0.0813,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.4,37841.4,1.04492,2.37915,1.44775,2.30103,1.44409,2.45972,40.1206,24.0087,18,422.745,431.053,26.7133,29.277,29.9998,29.2067,29.1823,20.9665,41.2505,69.5727,26.714,419.992,24.2165,99.002,99.6582,NA,4
15,1677710232,294.5,20230301 16:37:11,16:37:11,5,bou_cur18_t1_ch4,gibson,1677710229,0.000592314,0.592314175,0.474428076,419.7587998,386.1790564,34.50019057,37.50011386,0.03411138,4.138988451,0.033955966,0.021236383,0,27.73192711,27.4921,3.683919705,57.88593096,2.176670923,3.760276265,1.507248782,-26.12105513,78.33146767,4.111623926,56.32203646,0.474428076,0.592314175,0.603063618,430.3992617,430.2178424,-0.001074987,67.41038185,0.578764048,24.19006943,24.36112303,-7.89E-05,102.1417985,5,1,1,0,47128,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710229,419.7588,419.9771,24.36464,24.19017,420.4257,24.28353,500.1449,89.23729,0.10000055,27.84314,27.4921,999.9,0,0,10012.39,0,0.2879464,-0.218277,430.2413,430.3882,0.1744889,419.9771,24.19017,2.174236,2.158664,18.77374,18.6588,0,0,0,0,1.34,0,-4.63,-2.42,39.562,44.687,42.375,43.25,40.375,0,0,0,1677710231,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.20321725,0.079737388,0.032665157,1,0.172925775,0.048895013,0.008104949,1,2,2,2-Feb,2.84455,2.71023,0.0897883,0.0896592,0.102491,0.101293,26289.9,22209.1,25854,23766.3,39652.3,35342.2,46798.1,42385,1.75378,1.79032,0.0549555,0,26.5967,999.9,56.141,33.496,32.6807,53.4767,43.8822,1,0.13357,0.34988,20.2469,5.23376,11.992,4.9561,3.304,9999,9999,999.9,9999,1.86862,1.86435,1.87191,1.86287,1.86222,1.86865,1.85883,1.86511,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0809,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.5,37841.4,1.04492,2.40723,1.44775,2.30103,1.44409,2.27783,40.1206,23.9824,18,422.871,431.02,26.7197,29.2732,29.9999,29.2042,29.1798,20.9699,41.2505,69.197,26.7214,419.992,24.2165,99.0019,99.6588,NA,4
16,1677710237,299.5,20230301 16:37:16,16:37:16,5,bou_cur18_t1_ch4,gibson,1677710234,0.000605332,0.605332346,0.431912872,419.7818887,388.6060719,34.71751993,37.50272356,0.034863106,4.125319946,0.034700249,0.021702224,0,27.72714056,27.48947778,3.683354462,57.87437618,2.175984389,3.759840767,1.507370072,-26.69515647,78.21463203,4.118999362,55.63847492,0.431912872,0.605332346,-0.199221365,430.3636333,430.3195758,0.021990861,67.41038185,0.579106894,24.18302406,24.35417939,-7.96E-05,102.1417985,5,1,1,0,47026,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710234,419.7818889,419.989,24.3566,24.1783,420.4487778,24.2758,500.1618889,89.23845556,0.100138056,27.84115556,27.48947778,999.9,0,0,9967.916667,0,0.332769111,-0.207210889,430.2617778,430.3953333,0.1783,419.989,24.1783,2.173544444,2.157634444,18.76864444,18.65115556,0,0,0,0,1.411111111,0,-5.077777778,-1.788888889,39.55511111,44.687,42.34,43.215,40.34,0,0,0,1677710237,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.202265875,0.029087156,0.034886383,1,0.1744067,0.03087663,0.00795641,1,2,2,2-Feb,2.84463,2.70987,0.0898042,0.0896832,0.102468,0.101215,26289.9,22209.1,25854.5,23766.9,39653.5,35345.8,46798.3,42385.7,1.7542,1.79025,0.0544079,0,26.5978,999.9,56.092,33.486,32.6316,54.0867,43.77,1,0.133465,0.352979,20.2471,5.23376,11.992,4.9561,3.304,9999,9999,999.9,9999,1.86861,1.86439,1.87194,1.86292,1.86226,1.86864,1.85883,1.86513,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0806,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.6,37841.5,1.04492,2.38525,1.44775,2.30103,1.44409,2.44263,40.1206,23.9999,18,423.095,430.956,26.7253,29.2701,29.9999,29.2018,29.1773,20.9659,41.2505,69.197,26.7264,419.992,24.2165,99.0027,99.6608,NA,4
17,1677710242,304.5,20230301 16:37:21,16:37:21,5,bou_cur18_t1_ch4,gibson,1677710239,0.000629143,0.629143036,0.26876233,419.8550999,396.5531398,35.42707841,37.50881799,0.036238771,4.134993257,0.036063253,0.022555232,0,27.72469369,27.48593,3.682589827,57.8460266,2.175143749,3.760230177,1.507446079,-27.74520787,79.58449507,4.181298538,56.02058574,0.26876233,0.629143036,0.328511374,430.4297297,430.3200061,0.001681358,67.41038185,0.612665067,24.16206078,24.34355515,-0.000139729,102.1417985,5,1,1,0,47224,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710239,419.8551,420.016,24.34748,24.16215,420.5221,24.26702,500.1218,89.23767,0.09986097,27.84293,27.48593,999.9,0,0,9999.38,0,0.333851,-0.16073604,430.3325,430.4156,0.1853211,420.016,24.16215,2.172713,2.156175,18.76252,18.64036,0,0,0,0,-0.92,0,-2.14,-1.89,39.5,44.6746,42.312,43.1996,40.312,0,0,0,1677710241,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.191870825,-0.078162788,0.035461702,1,0.179970975,0.007795598,0.005888378,1,2,2,2-Feb,2.84471,2.71019,0.0898072,0.0896681,0.102445,0.101208,26289.7,22209.4,25854.3,23766.9,39654.7,35346.3,46798.5,42385.9,1.75373,1.78983,0.0542551,0,26.6001,999.9,56.068,33.496,32.6358,53.4967,43.4736,1,0.132932,0.338614,20.2471,5.23376,11.992,4.95615,3.304,9999,9999,999.9,9999,1.86861,1.86439,1.87192,1.86291,1.86224,1.86867,1.85883,1.86512,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0803,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.6,37841.6,1.04492,2.39014,1.44775,2.30103,1.44409,2.41211,40.1206,24.0087,18,422.812,430.687,26.7299,29.2669,29.9999,29.1999,29.1754,20.9679,41.2505,69.197,26.7358,419.992,24.2165,99.0027,99.661,NA,4
18,1677710247,309.5,20230301 16:37:26,16:37:26,5,bou_cur18_t1_ch4,gibson,1677710244,0.000591869,0.591869476,0.132800411,419.8078888,402.0708451,35.92355768,37.50829759,0.034052482,4.139163738,0.03389761,0.021199862,0,27.73515303,27.48941111,3.683340092,57.81621648,2.174447643,3.760964959,1.508892449,-26.10144389,79.63500916,4.179879295,57.71344457,0.132800411,0.591869476,-0.049375598,430.3294383,430.3169455,0.005777106,67.41038185,0.579177752,24.16229101,24.33365939,-0.000104603,102.1417985,5,1,1,0,46971,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710244,419.8078889,419.923,24.33728889,24.16294444,420.4748889,24.25722222,500.1433333,89.24633333,0.100004811,27.84627778,27.48941111,999.9,0,0,10011.94444,0,0.333851,-0.114874856,430.28,430.3207778,0.174336889,419.923,24.16294444,2.172013333,2.156455556,18.75735556,18.64243333,0,0,0,0,2.1,0,-7.066666667,-2.222222222,39.5,44.625,42.30511111,43.187,40.312,0,0,0,1677710246,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.181544425,0.298327648,0.046284915,0,0.17859275,0.015700953,0.005915634,1,1,2,2-Jan,2.84485,2.71016,0.0898146,0.0896617,0.102423,0.101213,26289.9,22209.7,25854.7,23767,39655.5,35346,46798.3,42385.8,1.75408,1.79055,0.0548773,0,26.6001,999.9,56.043,33.496,32.6232,53.8667,43.3413,1,0.132945,0.320231,20.247,5.23361,11.992,4.956,3.304,9999,9999,999.9,9999,1.86865,1.86439,1.87192,1.86291,1.86224,1.86868,1.85883,1.86514,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.08,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.7,37841.7,1.04492,2.39746,1.44775,2.30103,1.44409,2.37793,40.1206,24.0087,18,422.994,431.104,26.7381,29.2632,29.9999,29.1974,29.1729,20.9695,41.2505,68.8269,26.7455,419.992,24.2165,99.0031,99.661,NA,4
19,1677710252,314.5,20230301 16:37:31,16:37:31,5,bou_cur18_t1_ch4,gibson,1677710249,0.000645424,0.645424302,0.564679895,419.8679998,384.166712,34.31957504,37.50895347,0.037093247,4.128427096,0.036909085,0.023084648,0,27.72486086,27.49604,3.684769149,57.79883763,2.173801924,3.760978617,1.510967225,-28.46321173,77.96688809,4.103102679,53.60677904,0.564679895,0.645424302,0.442826965,430.521749,430.3692424,0.003225883,67.41038185,0.623256114,24.14493932,24.32849394,4.98E-06,102.1417985,5,1,1,0,47061,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710249,419.868,420.1203,24.33312,24.143,420.535,24.25323,500.1451,89.23498,0.10012886,27.84634,27.49604,999.9,0,0,9978.38,0,0.333851,-0.25237131,430.3396,430.5143,0.1901191,420.1203,24.143,2.171365,2.154402,18.75262,18.62719,0,0,0,0,-1.41,0,-4.22,-1.85,39.4874,44.625,42.25,43.187,40.2996,0,0,0,1677710252,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.180066618,0.054944658,0.073348125,1,0.180587125,0.030887876,0.008240772,1,2,2,2-Feb,2.84468,2.71022,0.0898069,0.0896893,0.10239,0.101102,26290.5,22209.1,25855.1,23767,39657.6,35350.5,46798.9,42385.9,1.75357,1.79027,0.0546686,0,26.6017,999.9,55.994,33.496,32.5969,54.0567,43.2131,1,0.132688,0.322865,20.2469,5.23361,11.992,4.95625,3.304,9999,9999,999.9,9999,1.86861,1.86438,1.8719,1.86289,1.86223,1.86867,1.85883,1.86514,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0797,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.8,37841.8,1.04492,2.40112,1.44775,2.2998,1.44409,2.36328,40.1206,23.9999,18,422.693,430.921,26.7471,29.26,29.9998,29.1949,29.1704,20.9618,41.2505,68.8269,26.7488,419.992,24.2165,99.0044,99.6613,NA,4
20,1677710257,319.5,20230301 16:37:36,16:37:36,5,bou_cur18_t1_ch4,gibson,1677710254,0.000649237,0.649236695,0.093210675,419.8565555,404.3016476,36.11745422,37.50701985,0.037265871,4.139248852,0.03708048,0.023191879,0,27.72427348,27.49918889,3.685448156,57.76785733,2.172614783,3.76094057,1.512833373,-28.63133826,77.42988987,4.064249428,52.86280104,0.093210675,0.649236695,0.261177407,430.3914295,430.3112182,-0.000123874,67.41038185,0.634963649,24.12871941,24.3162497,-6.57E-05,102.1417985,5,1,1,0,47208,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710254,419.8565556,419.967,24.32042222,24.12916667,420.5232222,24.24101111,500.1187778,89.2331,0.0998385,27.84616667,27.49918889,999.9,0,0,10013.70556,0,0.333851,-0.110449847,430.3221111,430.351,0.191236889,419.967,24.12916667,2.170185556,2.153121111,18.74391111,18.61773333,0,0,0,0,-0.777777778,0,-5.044444444,-2.622222222,39.486,44.618,42.25,43.125,40.25,0,0,0,1677710256,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.174917565,-0.052634103,0.08677945,1,0.185749375,0.037487786,0.008917621,1,2,2,2-Feb,2.84467,2.71027,0.0898034,0.0896458,0.102361,0.101116,26290.1,22210.3,25854.6,23767.2,39658.8,35350.2,46798.9,42386.3,1.75345,1.79027,0.0554435,0,26.6023,999.9,55.97,33.496,32.5822,53.5567,43.1931,1,0.132317,0.331669,20.247,5.23361,11.992,4.95605,3.304,9999,9999,999.9,9999,1.86865,1.86441,1.87192,1.86292,1.8623,1.86868,1.85883,1.86513,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0792,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37841.9,37841.9,1.04492,2.39746,1.44775,2.30103,1.44409,2.35596,40.1206,23.9912,18,422.609,430.902,26.7516,29.2569,29.9999,29.193,29.1679,20.9683,40.9686,68.8269,26.7519,419.992,24.2208,99.0038,99.6621,NA,4
21,1677710262,324.5,20230301 16:37:41,16:37:41,5,bou_cur18_t1_ch4,gibson,1677710259,0.000562676,0.56267581,0.327064989,419.8222,408.2279189,36.46913702,37.50491484,0.032258759,4.138950987,0.032119729,0.020087272,0,27.74162132,27.49985,3.685590728,57.74554678,2.17191555,3.76118276,1.513675178,-24.81400321,77.52299502,4.069465127,56.77845694,-6.44E-05,0.56267581,-0.229454874,430.2568193,430.3153818,0.002585742,67.41038185,0.582448744,24.13994993,24.31195273,-5.88E-05,102.1417985,5,1,1,0,46820,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710259,419.8222,419.8935,24.31197,24.14622,420.4891,24.2329,500.1412,89.23519,0.10004486,27.84727,27.49985,999.9,0,0,10012.504,0,0.333851,-0.071402032,430.2831,430.2833,0.1657659,419.8935,24.14622,2.169485,2.154693,18.73875,18.62937,0,0,0,0,2.18,0,-7.65,-2.23,39.4433,44.562,42.2374,43.125,40.25,0,0,0,1677710261,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.141803728,0.223644581,0.098315459,0,0.182671175,-0.007518248,0.011859185,1,1,2,2-Jan,2.84486,2.71023,0.0898019,0.0896674,0.102352,0.101229,26290.6,22210,25855,23767.4,39659.4,35346.1,46799.1,42386.7,1.75392,1.79032,0.0547282,0,26.6046,999.9,55.946,33.516,32.6056,54.3467,43.0849,1,0.132315,0.72494,20.2453,5.23376,11.992,4.9562,3.304,9999,9999,999.9,9999,1.86859,1.86436,1.87189,1.8629,1.86221,1.86861,1.85883,1.86509,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0791,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37842,37841.9,1.04492,2.3999,1.44897,2.30103,1.44409,2.31567,40.1206,24.0087,18,422.866,430.914,26.7395,29.2531,29.9999,29.1912,29.1654,20.9683,40.9686,68.45,26.6249,419.992,24.2185,99.0046,99.6629,NA,4
22,1677710267,329.5,20230301 16:37:46,16:37:46,5,bou_cur18_t1_ch4,gibson,1677710264,0.000528942,0.528942085,0.321898666,419.8585555,391.4647765,34.9712092,37.50774593,0.030336106,4.121723504,0.030212609,0.018893934,0,27.74752425,27.49632222,3.684830001,57.75045736,2.172095597,3.761174711,1.512734404,-23.32634595,77.97608347,4.110284801,58.76002233,0.321898666,0.528942085,0.190068884,430.4223484,430.3526545,0.002266757,67.41038185,0.514906945,24.16127821,24.31281152,1.82E-05,102.1417985,5,1,1,0,46900,0,0,0,0,1.51,0.5,0: Broadleaf,2,FALSE,1677710264,419.8585556,420.0227778,24.31425556,24.15845556,420.5255556,24.23507778,500.1814444,89.23417778,0.100064533,27.84723333,27.49632222,999.9,0,0,9956.736667,0,0.333851,-0.164432,430.3213333,430.4211111,0.155797111,420.0227778,24.15845556,2.169662222,2.155758889,18.74005556,18.63728889,0,0,0,0,-3.888888889,0,-2.511111111,-1.133333333,39.437,44.562,42.187,43.125,40.236,0,0,0,1677710267,0,0,--:--:--,1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.149667383,0.236613742,0.098392892,0,0.176019925,-0.13394928,0.018532094,0,0,2,0/2,2.84464,2.70998,0.0898128,0.0896736,0.102351,0.101174,26290.7,22210,25855.4,23767.5,39659.8,35348.5,46799.6,42386.9,1.7542,1.79027,0.0542849,0,26.6046,999.9,55.946,33.516,32.6038,54.5967,43.137,1,0.132119,0.586609,20.2459,5.23376,11.992,4.956,3.304,9999,9999,999.9,9999,1.8686,1.86434,1.87189,1.86287,1.86222,1.86861,1.85883,1.86509,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.667,0.0791,-0.449526391,-0.000456672,-2.21E-07,1.85E-10,-0.197711437,-0.033310374,0.002517287,-2.77E-05,2,1893,1,30,37842.1,37842,1.04492,2.40356,1.44775,2.30103,1.44409,2.30469,40.1206,24.0175,18,423.006,430.87,26.6333,29.25,29.9999,29.1886,29.1636,20.9657,40.9686,68.45,26.6515,419.992,24.226,99.0057,99.6635,NA,4
