"obs","time","elapsed","date","hhmmss","averaging","machine","id","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1677795443,0,"20230302 16:17:23","16:17:23",5,"albert","sch_sco17_t1_ch4",1677795440.25,0.000794945740015935,0.794945740015935,-0.638732834759359,419.770500505514,431.593602304044,38.411478925329,37.3592324991961,0.0408861698591841,3.26701401027494,0.0406040188191793,0.0254026994363879,0,27.8939691120061,28.18706,3.83641962213929,56.4592545090485,2.15261973149751,3.81269598795804,1.68379989064178,-35.0571071347027,-18.7597404303808,-1.25333043144703,-55.0701779965306,-0.638732834759359,0.794945740015935,-0.710565662856977,429.702114388358,430.218836363636,0.00481041489058036,63.6837649457698,0.280775444575442,23.3826788998149,24.1782104895105,-0.0839062073128635,99.5300046994855,0,0,1,0,46808,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795440.25,419.7705,419.5448,24.18696,23.613,416.3341,23.88196,500.0624,88.89927,0.09991516,28.08055,28.18706,999.9,0,0,9987.75,0,0.2481001,0.2258484,430.187,429.6909,0.6007793,419.5448,23.613,2.152587,2.099178,18.61373,18.21211,0,0,0,0,-2.16,0,-1.365,-1.285,35.8059,39.3058,37.1871,38.106,36.1747,0,0,0,1677795444.2,0,1677795471,"16:17:51",1664468064.5,1677795471,1,-0.419,-0.05,3.097,0.305,400,25,0.15,0.16,-0.041552701,2.37084833155722,0.236152241069595,0,2.112264325,-11.1960593358349,1.08659305401414,0,0,2,"0/2",2.97727,2.72846,0.083805,0.0847373,0.105477,0.106124,27335.7,26993.7,30375.4,29751.6,37506.7,35015.1,46479,44244.6,1.85545,1.80952,0.0119954,0,28.014,999.9,57.7,31.6,30.2973,63.3844,20.5689,1,0.166865,5.83572,20.1535,5.23526,11.9784,4.97275,3.29058,9999,9999,9999,999.9,4.97275,1.87691,1.87502,1.87787,1.87454,1.87819,1.87518,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.437,0.305,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.00124062860463499,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222123,222123.1,1.12061,2.54395,1.39893,2.36572,1.44897,2.49878,37.6022,13.9919,18,494.537,437.119,28.2839,29.1911,30.0062,28.6475,28.6538,22.4751,24.2451,98.8567,26.7755,419.867,25.396,100.435,101.737,NA,4
2,1677795472,29,"20230302 16:17:52","16:17:52",5,"albert","sch_sco17_t1_ch4",1677795471.5,-4.29775462521559e-06,-0.00429775462521559,-0.272555502609175,419.739000214897,-1335.46002300797,-118.859907028518,37.3580172242174,-0.000246652848219231,3.27083179006168,-0.000246663182046666,-0.000154163560313387,0,27.6738078734254,27.7318,3.73590996173656,60.0903569079356,2.2371964293778,3.72305398818883,1.49871353235876,0.189530978972007,-10.4038879244827,-0.691287838766317,-10.905644784277,-0.272555502609175,-0.00429775462521559,-0.266228664261913,430.388848172488,430.587466666667,0.000729296752056735,66.4608992111649,0.0809917597107412,25.1320744514895,25.18888,0.000266778630887024,84.9671704011659,276,55,1,0,46904,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795471.5,419.739,419.536,25.1362,25.1393,416.303,24.8342,500.064,88.8988,0.104169,27.6728,27.7318,999.9,0,0,10005,0,0.234447,0.203735,430.585,430.354,0.0495567,419.536,25.1393,2.23926,2.23486,19.246,19.2144,0,0,0,0,-3.25,0,-5.1,-3.3,35.375,38.937,36.937,37.5,36,0,0,0,1677795473,0,1677795492,"16:18:12",1664468064.5,1677795492,2,-0.419,-0.002,3.097,0.302,400,25,0.15,0.25,0.157411170731707,-0.0601313519163763,0.0149026600963204,1,0.0467420926829268,0.0319621651567945,0.00339026459636429,1,2,2,"2/2",2.97732,2.73215,0.0837779,0.0847267,0.108441,0.109156,27333.2,26991.5,30371.7,29748.8,37376.8,34891.9,46473.7,44240.5,1.20623,1.33267,-0.0089556,0,27.8669,999.9,57.5,31.6,30.1934,63.4544,20.8574,1,0.167165,5.42937,20.1769,5.23286,11.9773,4.97185,3.29018,9999,9999,9999,999.9,4.97273,1.8769,1.87501,1.87787,1.87454,1.8782,1.87521,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.436,0.302,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.00124062860463499,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222123.5,0,1.12061,2.54639,1.39893,2.36694,1.44897,2.48413,37.6022,14.0095,18,212.185,210.739,24.0825,29.1911,29.9975,28.7576,28.7621,22.4793,24.6203,99.3214,24.1227,419.9,25.0425,100.423,101.728,NA,4
3,1677795493,50,"20230302 16:18:13","16:18:13",5,"albert","sch_sco17_t1_ch4",1677795492.5,-4.61605282033456e-05,-0.0461605282033456,-0.27118405988979,419.871000213933,254.407975209303,22.6435948083107,37.3706397874622,-0.0027716741462683,3.27047006151527,-0.00277297978358784,-0.0017329950102915,0,27.3774283619989,27.3939,3.66280341806997,60.9859354102866,2.2302262644223,3.65695180276947,1.43257715364767,2.03567929376754,-4.81346998741009,-0.318840456561056,-3.0966311502036,-0.27118405988979,-0.0461605282033456,-0.241986192798416,430.483045337399,430.667145454545,-9.26453520199754e-05,66.3683521945034,-0.00597102279004219,25.0959744156643,25.0936384615385,-0.000358396270391227,77.3,274,55,1,0,46887,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795492.5,419.871,419.656,25.0573,25.0906,416.434,24.7893,500.043,88.9012,0.103851,27.3666,27.3939,999.9,0,0,10003.1,0,0.220656,0.214752,430.678,430.457,0.00263214,419.656,25.0906,2.23082,2.23058,19.1854,19.1837,0,0,0,0,0.85,0,7.85,1.5,35.125,38.75,36.562,37.312,35.562,0,0,0,1677795494.6,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.266626705,-1.08793650056285,0.164552986321987,0,-0.048526750325,0.525588986442777,0.0727730568969694,0,0,2,"0/2",2.97722,2.73178,0.0837974,0.0847441,0.108298,0.109007,27333.6,26991.7,30372.8,29749.6,37384.4,34898.9,46475.6,44241.9,1.21018,1.32915,-0.0175536,0,27.6751,999.9,57.6,31.7,30.4135,63.6944,20.9095,1,0.163044,-5.03351,20.1603,5.23466,11.9767,4.97165,3.29013,9999,9999,9999,999.9,4.97272,1.87696,1.87505,1.8779,1.87454,1.87819,1.87527,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.437,0.268,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0526417797247631,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222123.8,0,1.12061,2.54761,1.39893,2.36694,1.44897,2.45239,37.6263,14.062,18,213.529,209.539,25.023,29.1961,30.0026,28.7729,28.779,22.4854,26.8589,98.8612,26.1608,419.9,23.9399,100.427,101.731,NA,4
4,1677795897.5,454.5,"20230302 16:24:57","16:24:57",5,"albert","sch_sco17_t1_ch4",1677795894.75,0.000102867042888587,0.102867042888587,-0.504358572831506,420.256600396428,543.965091382727,48.4162619795891,37.4054401390417,0.00588679974950997,3.27192144893427,0.00588092195223582,0.00367610381587059,0,27.4288607245582,27.49777,3.68514218194011,59.3000013988089,2.17956852631461,3.67549489865339,1.50557365562551,-4.53643659138669,-7.90076918784977,-0.523605709576893,-12.9608114888134,-0.504358572831506,0.102867042888587,-0.44852124372312,430.442247510813,430.784721212121,-0.000498273184020565,64.795653786092,0.103002860672187,24.413225638768,24.487555944056,2.6130006598156e-06,95.4847844439971,0,0,1,0,47031,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795894.75,420.2566,419.9154,24.48783,24.41358,416.8187,24.20123,500.0509,88.9064,0.09979313,27.45298,27.49777,999.9,0,0,10009.055,0,0.2412046,0.3412626,430.8062,430.4234,0.07425079,419.9154,24.41358,2.177122,2.170523,18.79496,18.74638,0,0,0,0,-0.57,0,-0.195,-2.285,36.2498,42.0248,38.1622,41.4748,36.8498,0,0,0,1677795899,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.368961975609756,-0.153951700348433,0.0350991963749904,0,0.0738904975609756,0.0036607588850175,0.000895468083207231,1,1,2,"1/2",2.97757,2.72808,0.0838752,0.0847821,0.106543,0.106998,27339.3,26995.1,30380.2,29752.9,37465.9,34981.4,46485.5,44246.9,1.85642,1.813,0.0476651,0,26.7139,999.9,57,31.7,30.099,63.0445,20.4888,1,0.132312,0.243086,20.267,5.23915,11.974,4.9717,3.291,9999,9999,9999,999.9,4.9728,1.87685,1.875,1.87776,1.87451,1.87808,1.87515,1.87634,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.438,0.2866,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222130.5,6.2,1.11938,2.5415,1.39893,2.3645,1.44897,2.49268,37.6022,14.0883,18,495.253,439.895,26.6132,28.8627,29.9998,28.6724,28.7384,22.4424,27.2524,97.3777,26.6143,419.9,24.4596,100.449,101.742,NA,4
5,1677795902.5,459.5,"20230302 16:25:02","16:25:02",5,"albert","sch_sco17_t1_ch4",1677795900,0.000103607627114611,0.103607627114611,-0.537557171737593,420.260667090873,551.764154812192,49.1106670488938,37.4059849942065,0.00593290169838321,3.26805977274611,0.005926924481209,0.00370486431601823,0,27.4310468624333,27.4941444444444,3.68436045521951,59.2954054883898,2.17970408919617,3.67600840443357,1.50465636602334,-4.56909635575435,-6.83216509171473,-0.453318603404481,-11.8545800508736,-0.537557171737593,0.103607627114611,-0.567852451210516,430.407235600054,430.834927272727,0.000654429181730975,64.795653786092,0.103006115941855,24.4146794073445,24.4889909090909,6.36024231472333e-06,95.4847844439971,0,0,1,0,46926,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795900,420.260666666667,419.895111111111,24.4892333333333,24.4144444444444,416.822777777778,24.2026,500.021222222222,88.9068666666667,0.0997616555555556,27.4553666666667,27.4941444444444,999.9,0,0,9991.60555555556,0,0.247012222222222,0.365532666666667,430.811,430.403444444444,0.0747695222222222,419.895111111111,24.4144444444444,2.17726111111111,2.17061333333333,18.7959555555556,18.7470555555556,0,0,0,0,-4.31666666666667,0,-0.777777777777778,-2.66666666666667,36.5275555555556,41.8816666666667,38.0343333333333,41.1315555555556,36.8122222222222,0,0,0,1677795903.8,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.365009225,-0.0999754559099448,0.0309009221541101,1,0.0741321025,0.00528158161350826,0.000929179567007234,1,2,2,"2/2",2.97758,2.72829,0.0838809,0.0847914,0.106546,0.106996,27339.5,26994.6,30380.6,29752.7,37466.2,34981.1,46486.1,44246.3,1.85635,1.81323,0.0481121,0,26.7105,999.9,57,31.8,30.2686,63.2045,20.2364,1,0.132259,0.242367,20.267,5.2399,11.974,4.9718,3.291,9999,9999,9999,999.9,4.97278,1.87692,1.875,1.87783,1.87454,1.87816,1.87517,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.438,0.2866,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222130.6,6.3,1.11938,2.55493,1.39893,2.3645,1.44897,2.39502,37.6022,14.0795,18,495.195,440.016,26.6161,28.8586,29.9999,28.6699,28.736,22.4406,27.2524,97.3777,26.6167,419.9,24.4595,100.451,101.741,NA,4
6,1677795907.5,464.5,"20230302 16:25:07","16:25:07",5,"albert","sch_sco17_t1_ch4",1677795904.7,0.000104541892587064,0.104541892587064,-0.536139707307392,420.263300423374,550.211089077133,48.9728468694658,37.4065348101426,0.00598190353079203,3.2700744260255,0.00597583096420931,0.00373543942258168,0,27.4320650926542,27.49946,3.68550662194145,59.2911674454563,2.17970437161369,3.6762716362751,1.50580225032777,-4.61029746308953,-7.5578203427846,-0.501173714403627,-12.6692915202778,-0.536139707307392,0.104541892587064,-0.52731148606446,430.403500028986,430.804193939394,-0.000163366032132307,64.795653786092,0.106728031099067,24.4128574633842,24.4899041958042,-1.29722312755824e-06,95.4847844439971,0,0,1,0,46852,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795904.7,420.2633,419.8991,24.48903,24.41357,416.8254,24.20241,500.0431,88.9074,0.09997888,27.45659,27.49946,999.9,0,0,10000.62,0,0.2600983,0.3640902,430.8136,430.407,0.07544345,419.8991,24.41357,2.177255,2.170548,18.79593,18.74657,0,0,0,0,-1.375,0,-5.61,-3.125,36.4683,41.6936,37.9936,40.8747,36.7123,0,0,0,1677795908.6,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.361133073170732,0.0206726550522652,0.0208789928027685,1,0.074738656097561,0.00345915470383296,0.000776990738573293,1,2,2,"2/2",2.97755,2.72851,0.0838769,0.0847849,0.106549,0.107,27339.8,26995.4,30380.8,29753.3,37466.4,34981.6,46486.5,44247.3,1.85653,1.81327,0.0484847,0,26.7082,999.9,56.9,31.8,30.2165,63.3345,20.1082,1,0.13173,0.235705,20.2669,5.2402,11.974,4.97175,3.291,9999,9999,9999,999.9,4.97276,1.87694,1.87502,1.87784,1.87455,1.87818,1.87518,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.438,0.2866,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222130.7,6.4,1.11938,2.55371,1.39893,2.3645,1.44897,2.45361,37.6022,14.0795,18,495.276,440.033,26.6194,28.8543,29.9998,28.6674,28.7342,22.4414,27.2524,97.3777,26.6204,419.9,24.4599,100.451,101.743,NA,4
7,1677795912.5,469.5,"20230302 16:25:12","16:25:12",5,"albert","sch_sco17_t1_ch4",1677795910,0.000103088042244669,0.103088042244669,-0.537805304818075,420.243444867546,552.635297477088,49.1893490034234,37.4053224076728,0.00589858172963802,3.270332893324,0.00589267753016962,0.00368345342074353,0,27.4350179890072,27.5000555555556,3.68563505799679,59.2846923317604,2.17979930965964,3.67683330034229,1.50583574833715,-4.54618266298992,-7.20325063773776,-0.477631401500971,-12.2270647022286,-0.537805304818075,0.103088042244669,-0.534874831855868,430.396421034706,430.801878787879,4.8465699313621e-05,64.795653786092,0.103300698127954,24.4161942280068,24.4907797202797,-3.08577947679275e-06,95.4847844439971,0,0,1,0,47023,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795910,420.243444444444,419.877555555556,24.4897333333333,24.4153222222222,416.805555555556,24.2031,500.039222222222,88.9084666666667,0.100232611111111,27.4592,27.5000555555556,999.9,0,0,10001.6644444444,0,0.244407222222222,0.36576,430.793333333333,430.385666666667,0.0744188222222222,419.877555555556,24.4153222222222,2.17734555555556,2.17073111111111,18.7965888888889,18.7479111111111,0,0,0,0,-2,0,1.61111111111111,-1.86666666666667,36.479,41.4651111111111,37.8748888888889,40.6246666666667,36.6178888888889,0,0,0,1677795914,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.36004487804878,0.0984983414634151,0.0214734890813438,1,0.0747303804878049,0.00173586898954696,0.00105417176210024,1,2,2,"2/2",2.97775,2.72839,0.0838765,0.0847895,0.106557,0.106992,27340.1,26995.3,30381,29753.3,37466.4,34981.9,46486.9,44247.2,1.8564,1.8133,0.0488199,0,26.7054,999.9,56.9,31.8,30.2132,62.9245,20.2885,1,0.1317,0.282315,20.267,5.2396,11.974,4.97185,3.291,9999,9999,9999,999.9,4.97279,1.87696,1.87504,1.87788,1.87455,1.87819,1.87519,1.87638,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.438,0.2867,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222130.8,6.5,1.11938,2.55005,1.39893,2.36328,1.44897,2.47925,37.5781,14.0795,18,495.189,440.035,26.6153,28.8503,29.9999,28.665,28.7323,22.442,27.2524,97.0059,26.6101,419.9,24.4603,100.452,101.743,NA,4
8,1677795917.5,474.5,"20230302 16:25:17","16:25:17",5,"albert","sch_sco17_t1_ch4",1677795914.7,0.000113339534437633,0.113339534437633,-0.519295097210943,420.248300408725,535.167149247191,47.636166707244,37.4070383895318,0.00648235042359311,3.272814466515,0.00647522590803665,0.00404765563511269,0,27.4329921445385,27.50364,3.68640815302789,59.2814027276332,2.17972428572315,3.67691077712488,1.50668386730474,-4.99827346869962,-7.77765035270636,-0.515337668996879,-13.2912614904029,-0.519295097210943,0.113339534437633,-0.476662910936484,430.417347782815,430.780145454546,-0.000276730752403984,64.795653786092,0.108578551864467,24.4069789669929,24.485406993007,-8.00140618886264e-06,95.4847844439971,0,0,1,0,46951,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795914.7,420.2483,419.8993,24.48805,24.40624,416.8105,24.20146,500.0453,88.91202,0.09973413,27.45956,27.50364,999.9,0,0,10012.447,0,0.2337575,0.3491119,430.7978,430.4039,0.0818184,419.8993,24.40624,2.177284,2.170009,18.79613,18.7426,0,0,0,0,-1.755,0,-3.665,-2.63,36.4437,41.2748,37.7621,40.3747,36.5123,0,0,0,1677795918.8,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.363783707317073,-0.0529706341463416,0.0185995674552956,1,0.0761864341463415,0.0225747303135889,0.00314889419580827,1,2,2,"2/2",2.97741,2.72801,0.0838785,0.0847958,0.106544,0.106975,27340.1,26995.2,30381,29753.4,37467,34982.8,46487.1,44247.5,1.85635,1.81313,0.0486523,0,26.7031,999.9,56.9,31.8,30.2142,63.3545,20.5569,1,0.131529,0.265281,20.267,5.23975,11.974,4.97205,3.291,9999,9999,9999,999.9,4.97281,1.87697,1.87503,1.87789,1.87454,1.87819,1.87524,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.437,0.2866,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222130.9,6.6,1.11938,2.54395,1.39893,2.3645,1.44897,2.49146,37.5781,14.0883,18,495.142,439.913,26.609,28.8463,29.9999,28.6622,28.7305,22.442,27.2524,97.0059,26.6092,419.9,24.4656,100.453,101.744,NA,4
9,1677795922.5,479.5,"20230302 16:25:22","16:25:22",5,"albert","sch_sco17_t1_ch4",1677795920,0.00011273746511826,0.11273746511826,-0.50536766402497,420.266555954002,532.321209297628,47.3822977247221,37.408231590529,0.00645535887979568,3.2699623700456,0.00644828738147008,0.00403081429970882,0,27.4341850097609,27.4939555555556,3.68431973177488,59.2681859360405,2.17937522799795,3.67714178117385,1.50494450377693,-4.97172221171526,-5.87438159633886,-0.389552135284839,-11.235655943339,-0.50536766402497,0.11273746511826,-0.756966868823529,430.436798183411,430.875096969697,0.0294652239550693,64.795653786092,0.110416016001334,24.4042842241449,24.4840181818182,-4.68842915891835e-06,95.4847844439971,0,0,1,0,46930,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795920,420.266555555555,419.927666666667,24.4844111111111,24.4030333333333,416.828888888889,24.1979,500.032666666667,88.9108444444445,0.0998823444444444,27.4606333333333,27.4939555555556,999.9,0,0,9999.72777777778,0,0.251149444444444,0.338934888888889,430.815,430.431777777778,0.0813878444444444,419.927666666667,24.4030333333333,2.17693,2.16969222222222,18.7935222222222,18.7402666666667,0,0,0,0,-3.36111111111111,0,-3.57777777777778,-2.73888888888889,36.3333333333333,41.0832222222222,37.6177777777778,40.1246666666667,36.4648888888889,0,0,0,1677795923.6,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.35439843902439,-0.107917860627178,0.0236600216131365,0,0.0782458658536585,0.0288297135888502,0.0035339265403362,1,1,2,"1/2",2.97752,2.72873,0.0838871,0.0848001,0.106537,0.106959,27339.3,26995.3,30380.5,29753.6,37466.6,34983.6,46486.2,44247.8,1.85653,1.81352,0.0481866,0,26.7009,999.9,56.9,31.8,30.2143,63.2145,20.2885,1,0.131113,0.265409,20.2669,5.2396,11.974,4.97215,3.291,9999,9999,9999,999.9,4.97278,1.87697,1.87501,1.87788,1.87455,1.8782,1.87524,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.438,0.2865,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222131,6.6,1.11938,2.55981,1.39893,2.36328,1.44897,2.38647,37.5781,14.0707,18,495.224,440.143,26.6065,28.842,29.9999,28.6598,28.728,22.4389,27.2524,97.0059,26.6067,419.9,24.4681,100.451,101.744,NA,4
10,1677795927.5,484.5,"20230302 16:25:27","16:25:27",5,"albert","sch_sco17_t1_ch4",1677795924.7,0.000113488875756515,0.113488875756515,-0.533813010805528,420.287900422467,538.388824539116,47.9212779529118,37.4092707322297,0.00650111343473698,3.26719650389891,0.00649393533369039,0.00405935383254998,0,27.4346542691392,27.48978,3.68341960441314,59.258915646799,2.17911937524948,3.67728526832602,1.50430022916366,-5.00485942086231,-5.01649846870935,-0.332938493542786,-10.3542963831144,-0.533813010805528,0.113488875756515,-0.528091296922184,430.432192507462,430.834236363636,-0.000327675684713068,64.795653786092,0.110153279601291,24.4005751901001,24.4801237762238,-5.32431246579216e-06,95.4847844439971,0,0,1,0,46810,0,0,0,0,3.7,0.5,"0: Broadleaf",2,"False",1677795924.7,420.2879,419.9282,24.4821,24.40018,416.8499,24.19567,500.0349,88.90824,0.1004388,27.4613,27.48978,999.9,0,0,9987.564,0,0.2385843,0.3598083,430.8358,430.4309,0.08196126,419.9282,24.40018,2.176662,2.169377,18.79158,18.73795,0,0,0,0,-4.785,0,-1.15,-2.39,36.4374,40.8935,37.5498,39.931,36.3684,0,0,0,1677795929,0,1677795524,"16:18:44",1664468064.5,1677795524,3,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.3523872,-0.0689053508442783,0.0239085726405823,1,0.0798119625,0.0269804971857411,0.00345975430035772,1,2,2,"2/2",2.97751,2.72877,0.0838826,0.0847927,0.106523,0.106951,27339.8,26995.8,30380.8,29753.9,37467.6,34984.5,46486.7,44248.5,1.85658,1.81355,0.0485219,0,26.6986,999.9,56.9,31.8,30.2153,63.4345,20.1603,1,0.131075,0.247307,20.2671,5.24005,11.974,4.9727,3.291,9999,9999,9999,999.9,4.97282,1.87697,1.87505,1.87789,1.87455,1.8782,1.87524,1.87638,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.438,0.2865,2.04570626438568,0.0039316150464707,-1.57607071605377e-06,3.75591856022388e-10,-0.0540628158369921,0.000747264686102471,0.00069581637685256,-5.99515336318447e-06,-1,2136,1,25,222131,6.7,1.11938,2.56104,1.39893,2.36328,1.44897,2.40234,37.5781,14.0707,18,495.235,440.14,26.6057,28.8389,29.9999,28.6573,28.7255,22.4414,27.2524,97.0059,26.6081,419.9,24.4752,100.452,101.746,NA,4
