"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","AccCO2_soda","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1677878633.1,0,"20230303 15:23:53","15:23:53",5,"pas_smi22_t3_ch4","gibson",1677878630.35,0.00326746200197175,3.26746200197175,-1.52677037802674,419.718500709594,420.99797034778,37.5463881780493,37.432279638149,0.196321539726101,3.83378667201647,0.190902630046409,0.119788552730399,0,27.9692536200043,27.53254,3.69264649355993,56.317591185467,2.21675390425268,3.93616604970264,1.47589258930725,-144.095074286954,226.56007240574,12.8918861607563,95.3568842795422,-1.52677037802674,3.26746200197175,-1.39320322038558,429.7778088111,430.400018181818,-0.000104334120005766,67.4057187773093,3.02453408808285,23.4618428024679,24.8332884848485,-0.010913136321189,111.245031339109,1,0,1,0,46894,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878630.35,419.7185,419.6508,24.85589,23.46741,419.1355,24.63391,500.2605,89.0842,0.10004986,28.62869,27.53254,999.9,0,0,10002.375,0,0.222567,0.067730802,430.417,429.7357,1.388486,419.6508,23.46741,2.214268,2.090576,19.06592,18.14755,0,0,0,0,2.38,0,-9.29,-1.66,38.375,43.5,41.125,42.187,39.3874,0,0,0,1677878635.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.0421615845,0.0955021812382738,0.0704276228400458,1,1.37920575,0.0706652532832983,0.0108779186629382,1,2,2,"2/2",2.85137,2.71027,0.0896448,0.0896496,0.103526,0.0991908,25909.1,22269,25471.7,23826.7,39001.8,35516.1,46085.5,42492.9,1.7572,1.8489,0.0353828,0,26.9383,999.9,53.467,30.827,26.8106,54.298,44.2027,1,0.0751474,1.00386,20.2437,5.23451,11.992,4.9569,3.304,9999,9999,9999,999.9,1.86844,1.86415,1.87178,1.86259,1.86201,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2209,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.2,40648.1,1.05591,2.38525,1.44775,2.30713,1.44409,2.41333,36.5287,24.1926,18,418.433,459.847,26.9216,28.4398,30.0001,28.2736,28.2542,21.1988,24.5579,100,26.9192,419.656,23.3718,97.5098,99.9123,NA,4
2,1677878638.1,5,"20230303 15:23:58","15:23:58",5,"pas_smi22_t3_ch4","gibson",1677878635.6,0.00318903211336555,3.18903211336555,-1.39550186143796,419.685333981072,420.166967503294,37.4727044091828,37.4297497934999,0.191614836297882,3.83638370761926,0.186452357184663,0.116984966534903,0,27.9527375151863,27.5084333333333,3.68744220306341,56.3163403674886,2.21249628486117,3.92869328941417,1.47494591820224,-140.636316199421,224.926789388215,12.7866606219744,97.0771338107688,-1.39550186143796,3.18903211336555,-1.52674635419581,429.71352326469,430.383666666667,0.00233634108971896,67.4057187773093,2.99305943588772,23.4536367513891,24.7921612121212,-0.00842236859813566,111.245031339109,1,0,1,0,46912,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878635.6,419.685333333333,419.660444444444,24.8078666666667,23.4525888888889,419.102333333333,24.5878555555556,500.238666666667,89.0853555555556,0.0999143666666667,28.5959444444444,27.5084333333333,999.9,0,0,10011.5855555556,0,0.222567,0.0249158888888889,430.361666666667,429.739111111111,1.35528111111111,419.660444444444,23.4525888888889,2.21001555555556,2.08928111111111,19.0351222222222,18.1377,0,0,0,0,0.844444444444444,0,-8.03333333333333,-2.14444444444444,38.375,43.5,41.097,42.187,39.375,0,0,0,1677878640.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.059088157,-0.186768425515947,0.0698453012792448,0,1.376771,-0.0610324953095718,0.0137939605987548,1,1,2,"1/2",2.85185,2.71037,0.0896435,0.0896776,0.103416,0.0991452,25908.7,22268,25471.3,23826.4,39005.9,35517.7,46084.6,42492.7,1.75748,1.84875,0.0345856,0,26.9343,999.9,53.467,30.827,26.8128,54.308,43.1611,1,0.0752744,0.889483,20.2445,5.23451,11.992,4.9571,3.30395,9999,9999,9999,999.9,1.86844,1.86415,1.87178,1.86256,1.86199,1.86844,1.85852,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2193,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.3,40648.2,1.05713,2.38403,1.44897,2.30713,1.44409,2.39014,36.5287,24.2013,18,418.608,459.777,26.8876,28.4437,30.0002,28.2766,28.2572,21.1965,25.1692,100,26.9041,419.656,23.2276,97.508,99.9115,NA,4
3,1677878643.1,10,"20230303 15:24:03","15:24:03",5,"pas_smi22_t3_ch4","gibson",1677878640.3,0.00320047935776474,3.20047935776474,-1.35126841161058,419.69870062869,419.766199881842,37.4360187846148,37.4299989971482,0.192281874084812,3.83889454104828,0.187087215619217,0.117384540044245,0,27.924014330831,27.49683,3.68493948927861,56.3331351279367,2.20971541504132,3.92258554405484,1.47522407423729,-141.141139677425,221.927939606352,12.6055163480886,93.3923162770154,-1.35126841161058,3.20047935776474,-1.36587351720458,429.751541302155,430.362193939394,-0.00023934175811283,67.4057187773093,3.04871721101551,23.414775245862,24.7611593939394,-0.00641736611024384,111.245031339109,0,0,1,0,46758,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878640.3,419.6987,419.6952,24.77731,23.41713,419.1157,24.55853,500.2406,89.08305,0.0999733,28.56914,27.49683,999.9,0,0,10020.878,0,0.222567,0.0034759506,430.3619,429.7588,1.360168,419.6952,23.41713,2.207236,2.08607,19.01495,18.11321,0,0,0,0,1.31,0,-10.37,-2.18,38.375,43.4874,41.062,42.187,39.375,0,0,0,1677878645.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.0324119086829268,-0.0341577643902439,0.0590422240906242,1,1.37094512195122,-0.093585574912892,0.015805938390357,1,2,2,"2/2",2.85123,2.71024,0.0896357,0.0896678,0.103319,0.0989275,25908.6,22268.1,25470.9,23826.2,39010.3,35525.8,46084.8,42492.1,1.75723,1.84848,0.0343174,0,26.9285,999.9,53.467,30.827,26.8125,53.988,44.2909,1,0.0755589,0.776323,20.2452,5.23466,11.992,4.95725,3.304,9999,9999,9999,999.9,1.86844,1.86416,1.8718,1.86257,1.86203,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.218,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.3,40648.3,1.05591,2.38647,1.44775,2.30713,1.44409,2.4292,36.5051,24.1926,18,418.489,459.624,26.8792,28.4486,30.0004,28.2796,28.2596,21.1948,25.4536,100,26.9041,419.656,23.1829,97.5078,99.9104,NA,4
4,1677878648.1,15,"20230303 15:24:08","15:24:08",5,"pas_smi22_t3_ch4","gibson",1677878645.6,0.00335512494270642,3.35512494270642,-1.24145985364074,419.643111690214,418.307016203396,37.3047280372404,37.4238813787738,0.201606369647519,3.83497512338679,0.195898071179257,0.122935699880597,0,27.8597698948837,27.4848777777778,3.68236307394757,56.3290534892817,2.20540204133452,3.91521231890424,1.47696103261305,-147.961009973353,217.472376093166,12.3623302148089,81.873696334622,-1.24145985364074,3.35512494270642,-1.17086852619316,429.748230579377,430.302721212121,-0.00670223426693304,67.4057187773093,3.08798304583495,23.2958154874536,24.7034642424242,-0.012054628789114,111.245031339109,1,0,1,0,46701,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878645.6,419.643111111111,419.715666666667,24.7297111111111,23.3037666666667,419.060111111111,24.5129,500.250555555556,89.0803333333333,0.0999256444444444,28.5367333333333,27.4848777777778,999.9,0,0,10007.0833333333,0,0.233232111111111,-0.0724216666666667,430.283888888889,429.729888888889,1.42592666666667,419.715666666667,23.3037666666667,2.20293,2.07591,18.9836444444444,18.0355,0,0,0,0,-0.911111111111111,0,-7.46666666666667,-2.27777777777778,38.361,43.437,41.062,42.1456666666667,39.361,0,0,0,1677878650.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.0115825323414634,-0.370445627038327,0.0742010182150906,0,1.37984048780488,0.0520248083623685,0.0253269743362751,1,1,2,"1/2",2.85186,2.71033,0.0896295,0.0896639,0.103138,0.0985959,25908.4,22268.4,25470.6,23826.5,39017.7,35539.3,46084.2,42492.6,1.7574,1.8485,0.0354201,0,26.9216,999.9,53.467,30.827,26.8153,54.178,43.153,1,0.0768445,-2.77725,20.1803,5.23571,11.992,4.95725,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87174,1.86254,1.86201,1.86844,1.85853,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2154,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.4,40648.4,1.05713,2.38403,1.44775,2.30713,1.44409,2.39258,36.5287,24.14,18,418.599,459.664,26.9851,28.4528,30.0012,28.2814,28.2627,21.1929,25.4536,100,28.3433,419.656,23.1804,97.5066,99.9116,NA,4
5,1677878653.1,20,"20230303 15:24:13","15:24:13",5,"pas_smi22_t3_ch4","gibson",1677878650.3,0.00336726348297526,3.36726348297526,-1.4322110370902,419.677400668402,419.830596176437,37.439375792439,37.4257142245417,0.201126174674878,3.82908690537664,0.195436153089423,0.122645413110007,0,27.8371721338994,27.50618,3.68695606735105,56.2843370026572,2.2012017362218,3.91086020275566,1.48575433112925,-148.496319599209,208.787077801631,11.8869855497796,72.177743752202,-1.4322110370902,3.36726348297526,-1.31084780748706,429.664905932974,430.265193939394,-0.00323027284294276,67.4057187773093,3.36860224364341,23.2501398809077,24.6873375757576,-0.000695684614100053,111.245031339109,0,0,1,0,46776,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878650.3,419.6774,419.6691,24.68342,23.25228,419.0944,24.46851,500.2615,89.0773,0.10003994,28.51758,27.50618,999.9,0,0,9986.253,0,0.2243754,0.008309924,430.2986,429.6599,1.431142,419.6691,23.25228,2.198732,2.071248,18.95308,17.99979,0,0,0,0,-0.8,0,-7.89,-1.73,38.3246,43.437,41.062,42.125,39.312,0,0,0,1677878655.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,0.00811394917073171,-0.422642857003485,0.072031116004117,0,1.38949853658537,0.284113797909407,0.0342835912227221,0,0,2,"0/2",2.85131,2.71005,0.0896192,0.0896517,0.103126,0.0985588,25907.8,22268.5,25469.8,23826.3,39017.3,35540.5,46083.1,42492.3,1.75783,1.84815,0.0349358,0,26.9142,999.9,53.467,30.827,26.8138,54.158,44.2308,1,0.0822205,-1.80258,20.2307,5.23451,11.992,4.95725,3.304,9999,9999,9999,999.9,1.86844,1.86414,1.87177,1.86256,1.86201,1.86844,1.85852,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2153,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.5,40648.5,1.05591,2.3938,1.44775,2.30713,1.44409,2.30347,36.5051,24.2013,18,418.858,459.468,28.2969,28.4574,30.0025,28.2844,28.2657,21.1946,25.7402,100,28.1009,419.656,23.1086,97.5039,99.9109,NA,4
6,1677878658.1,25,"20230303 15:24:18","15:24:18",5,"pas_smi22_t3_ch4","gibson",1677878655.6,0.00349759948182293,3.49759948182293,-1.36241183679973,419.56088952475,418.75091440801,37.3436602305051,37.4158927546953,0.210031639737731,3.83017410601544,0.203836637668968,0.127939274403957,0,27.8371554137372,27.4885111111111,3.68314610719342,56.2563589247692,2.20344702260746,3.91679636706332,1.47969908458596,-154.244137148391,217.888429565573,12.4021617986368,76.0464542158184,-1.36241183679973,3.49759948182293,-1.41378675786815,429.574335299643,430.211163636363,-0.00126604154230507,67.4057187773093,3.54052246124995,23.2194117974434,24.7087309090909,0.00196274813873338,111.245031339109,1,0,1,0,46756,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878655.6,419.560888888889,419.606666666667,24.7082222222222,23.2216444444444,418.978,24.4923111111111,500.234333333333,89.0787444444444,0.0999509222222222,28.5437,27.4885111111111,999.9,0,0,9989.99888888889,0,0.222567,-0.0457289,430.190222222222,429.582333333333,1.48657333333333,419.606666666667,23.2216444444444,2.20097666666667,2.06855444444444,18.9694444444444,17.9790888888889,0,0,0,0,-1.77777777777778,0,-11.5888888888889,-2.66666666666667,38.312,43.4232222222222,41,42.125,39.312,0,0,0,1677878660.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.0230251576585366,-0.0509142121254355,0.0402014234190272,1,1.41433024390244,0.437725923344948,0.0453051538277396,0,1,2,"1/2",2.85158,2.71019,0.089618,0.0896564,0.103164,0.098419,25907.8,22267.8,25469.7,23825.7,39015.5,35545.2,46082.9,42491.4,1.75723,1.84795,0.0361502,0,26.9073,999.9,53.467,30.827,26.8086,54.498,43.2332,1,0.0762348,-0.785689,20.2442,5.23481,11.992,4.95705,3.304,9999,9999,9999,999.9,1.86844,1.86415,1.87176,1.86259,1.862,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2158,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.6,40648.6,1.05713,2.38892,1.44775,2.30713,1.44409,2.3938,36.5287,24.2013,18,418.542,459.371,28.2706,28.4623,29.998,28.2874,28.2691,21.1946,26.0373,100,28.2058,419.656,23.0673,97.5035,99.9086,NA,4
7,1677878663.1,30,"20230303 15:24:23","15:24:23",5,"pas_smi22_t3_ch4","gibson",1677878660.3,0.00354380125693677,3.54380125693677,-1.36185487518676,419.581000635307,418.625363734524,37.3342740441107,37.419500628621,0.211972333391753,3.82915781599454,0.205662549000248,0.129090356939179,0,27.8535925563933,27.50651,3.68702725828641,56.1101032242288,2.20103068239742,3.92269939978831,1.48599657588898,-156.281635430912,219.469959097282,12.498234340859,75.6865580072298,-1.36185487518676,3.54380125693677,-1.2503173277323,429.584075588985,430.159527272727,-0.00368507771566718,67.4057187773093,3.27457191487839,23.1679459597403,24.6524836363636,-0.0117318689667374,111.245031339109,0,0,1,0,46797,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878660.3,419.581,419.6355,24.67993,23.17365,418.998,24.46514,500.2272,89.08299,0.10002966,28.56964,27.50651,999.9,0,0,9985.87,0,0.222567,-0.05456241,430.1983,429.5907,1.50625,419.6355,23.17365,2.19856,2.064379,18.95182,17.94696,0,0,0,0,2.58,0,-12.97,-2.92,38.312,43.3936,41,42.1124,39.312,0,0,0,1677878665.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.0322191375609756,-0.0484360128919861,0.0388746856554675,1,1.45199536585366,0.402989477351914,0.0420217218565944,0,1,2,"1/2",2.8512,2.71006,0.0896172,0.0896619,0.103004,0.0982678,25908.1,22267.7,25470,23825.8,39022.8,35551.5,46083.2,42491.7,1.75742,1.84802,0.0380501,0,26.903,999.9,53.467,30.827,26.8102,54.538,44.1827,1,0.0756809,-0.382121,20.2464,5.23466,11.992,4.9575,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87179,1.86256,1.86201,1.86844,1.85852,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2135,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.7,40648.6,1.05591,2.39136,1.44775,2.30713,1.44409,2.35474,36.5287,24.2013,18,418.671,459.438,28.3132,28.4665,29.999,28.2898,28.2717,21.1942,26.0373,100,28.206,419.656,23.0712,97.5044,99.9091,NA,4
8,1677878668.1,35,"20230303 15:24:28","15:24:28",5,"pas_smi22_t3_ch4","gibson",1677878665.6,0.00347797528396639,3.47797528396639,-1.26175419848406,419.595889475105,418.044838974009,37.2825498630205,37.4208774113024,0.206169516434585,3.83859979249871,0.200209465049609,0.125652051028036,0,27.8821156449167,27.5374,3.69369647528312,55.9272622935538,2.19558873295568,3.92579333032854,1.49810774232743,-153.378710022918,216.429344740551,12.2974862417992,75.348120959432,-1.26175419848406,3.47797528396639,-1.20264878299069,429.63314081516,430.169521212121,3.30884145930522e-05,67.4057187773093,3.22488927732166,23.13980913695,24.5974781818182,-0.0109921905619589,111.245031339109,1,0,1,0,46829,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878665.6,419.595888888889,419.682,24.6188777777778,23.1404666666667,419.012888888889,24.4066111111111,500.221222222222,89.0832444444445,0.0998918777777778,28.5832222222222,27.5374,999.9,0,0,10019.7955555556,0,0.222567,-0.0862460888888889,430.186555555556,429.623888888889,1.47840888888889,419.682,23.1404666666667,2.19312777777778,2.06142666666667,18.9122222222222,17.9242111111111,0,0,0,0,-0.211111111111111,0,-12.1888888888889,-2.82222222222222,38.2844444444444,43.375,41,42.069,39.2844444444444,0,0,0,1677878670.4,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.0423710697560976,-0.283531594703833,0.0387645995358813,0,1.47313682926829,0.238179303135892,0.031055835274238,0,0,2,"0/2",2.85173,2.7105,0.0896186,0.0896593,0.102842,0.0982366,25907.8,22267.7,25469.8,23825.8,39030,35552.8,46083.3,42491.8,1.75725,1.84792,0.0401139,0,26.9014,999.9,53.467,30.827,26.812,54.158,43.129,1,0.0756453,-0.263034,20.2471,5.23466,11.992,4.9572,3.30398,9999,9999,9999,999.9,1.86844,1.86415,1.87173,1.86261,1.86202,1.86844,1.85852,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2112,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.8,40648.7,1.05713,2.38403,1.44775,2.30713,1.44409,2.40356,36.5287,24.2013,18,418.597,459.4,28.2754,28.4702,29.9997,28.2933,28.2747,21.195,26.0373,100,28.2486,419.656,23.0982,97.5043,99.9092,NA,4
9,1677878673.1,40,"20230303 15:24:33","15:24:33",5,"pas_smi22_t3_ch4","gibson",1677878670.3,0.00337873942324866,3.37873942324866,-1.2339062051386,419.596400573086,418.100446436052,37.2874738515487,37.4208876071264,0.198648354591366,3.83583960623246,0.193105066062287,0.121175824334589,0,27.9082666677731,27.56716,3.70013167723059,55.7952235090774,2.1912454240047,3.92729930304554,1.50888625322589,-149.002408565266,211.485890633781,12.0274242220464,74.5109062905615,-1.2339062051386,3.37873942324866,-1.15602709137369,429.609306813174,430.129660606061,-0.000967320246970943,67.4057187773093,3.16508301495619,23.1333373385161,24.5506418181818,-0.00909596229778029,111.245031339109,1,0,1,0,46891,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878670.3,419.5964,419.6765,24.5702,23.13393,419.0134,24.35991,500.2316,89.08309,0.09996199,28.58983,27.56716,999.9,0,0,10009.883,0,0.222567,-0.08009643,430.1656,429.6152,1.436253,419.6765,23.13393,2.188788,2.060845,18.88049,17.91971,0,0,0,0,0.36,0,-10.84,-2.83,38.25,43.3624,40.9622,42.062,39.25,0,0,0,1677878675.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.058645867804878,-0.200897319721254,0.0290794567725287,0,1.47596634146341,-0.0750474564459942,0.02815319162742,1,1,2,"1/2",2.85157,2.71031,0.089613,0.0896629,0.10271,0.0982212,25908.1,22267.5,25470,23825.7,39035.9,35553,46083.4,42491.3,1.7571,1.84808,0.0409633,0,26.9014,999.9,53.443,30.827,26.7971,54.108,43.2372,1,0.075686,-0.0947849,20.2472,5.23466,11.992,4.9575,3.30395,9999,9999,9999,999.9,1.86844,1.86417,1.87174,1.86262,1.86203,1.86844,1.85852,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.2094,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.8,40648.8,1.05591,2.39624,1.44775,2.30713,1.44409,2.27539,36.5287,24.1926,18,418.533,459.518,28.2692,28.4744,30,28.2963,28.2776,21.1927,26.0373,100,28.1882,419.656,23.1876,97.5046,99.9084,NA,4
10,1677878678.1,45,"20230303 15:24:38","15:24:38",5,"pas_smi22_t3_ch4","gibson",1677878675.6,0.00329138747951083,3.29138747951083,-1.23929144049977,419.597445019642,418.407515599833,37.3139526248239,37.4200715838344,0.192467779935633,3.83516678544249,0.187258306854481,0.117492747677531,0,27.9302710532591,27.5819,3.70332262648248,55.6875307306528,2.18758630562789,3.92832340907468,1.51573632085459,-145.150187846428,209.329949182573,11.9080423170255,76.0878036531703,-1.23929144049977,3.29138747951083,-1.33437217451928,429.588713323015,430.17873939394,0.00109192383898459,67.4057187773093,3.12512086232451,23.1305713712775,24.5154309090909,-0.00714341566347713,111.245031339109,1,0,1,0,46933,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1677878675.6,419.597444444444,419.659222222222,24.5297666666667,23.1306555555556,419.014555555556,24.3211333333333,500.261777777778,89.0809111111111,0.0999741111111111,28.5943222222222,27.5819,999.9,0,0,10007.7077777778,0,0.222567,-0.0615844777777778,430.149111111111,429.596,1.39912888888889,419.659222222222,23.1306555555556,2.18513444444444,2.06049777777778,18.8537333333333,17.9170555555556,0,0,0,0,2.57777777777778,0,-11.9777777777778,-2.35555555555556,38.25,43.347,40.937,42.062,39.25,0,0,0,1677878680.6,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.0723140073170732,-0.0870100181184669,0.0255730363016986,1,1.46287536585366,-0.396451777003485,0.0401483850234116,0,1,2,"1/2",2.85157,2.71033,0.0896227,0.0896633,0.102611,0.0982157,25907.4,22267.8,25469.6,23826,39039.7,35553.6,46082.6,42491.8,1.757,1.84787,0.0423118,0,26.9021,999.9,53.467,30.827,26.8117,53.578,43.1811,1,0.0758562,0.0971405,20.2472,5.23481,11.992,4.9573,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87177,1.86258,1.86201,1.86843,1.85852,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.583,0.208,0.250823915326127,0.0012351666142952,-1.27879068999008e-06,5.31614710521532e-10,-0.14422439741913,-0.0291841919520245,0.0024389889052535,-2.64182996948647e-05,1,2148,1,26,40648.9,40648.9,1.05591,2.38647,1.44775,2.30713,1.44409,2.41699,36.5051,24.2013,18,418.494,459.412,28.1957,28.4777,30.0002,28.2988,28.2801,21.1917,26.0373,100,28.1131,419.656,23.2452,97.5031,99.9097,NA,4
