obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
97,1679334563,1968.4,20230320 12:49:22,12:49:22,5,albert,sch_sco25_t1_ch5,1679334555,0.000768492,0.768492046,4.563531781,417.7977646,248.1808193,22.41641237,37.73670747,0.045717319,3.8674392,0.045419195,0.02841362,321.514623,19.86803673,20.01994667,2.349513217,39.55191175,0.848304647,2.144787975,1.50120857,-33.89049924,-305.2828587,-15.75524578,-33.41398074,4.673343223,0.760490862,4.563531781,423.7675275,421.7587515,0.000243229,64.23240902,0.768492046,9.064447601,9.396305495,1.24E-06,100.33,4,1,1,0,49086,1999.995,1681.1955,0.840599851,0.160757713,2.18,0.5,0: Broadleaf,2,TRUE,1679334555,417.7977667,419.9735667,9.391910667,9.063497333,414.2531333,9.302156333,500.0709,90.22274333,0.100160857,18.55577,20.01994667,999.9,0,0,9995.887333,0,3.772255667,-2.175799333,421.7589333,423.8148667,0.328413167,419.9735667,9.063497333,0.847363933,0.817733533,4.526514333,4.018925,1999.995,0.9800061,0.01999353,0,2.078673333,0,3059.852333,17338.21667,37.46856667,38.312,36.8434,36.25813333,35.80586667,1960.005,39.99,0,1679334591,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-2.174331463,-0.025185993,0.036823273,1,0.326409659,0.03265869,0.003479235,1,2,2,2-Feb,2.97797,2.7279,0.0846634,0.0860003,0.0538364,0.0530005,27341.9,27011.1,30406.6,29807.6,39722.7,37177.4,46517.4,44321.6,1.85777,1.81632,0.0121668,0,19.792,999.9,24.3,32.5,13.2304,63.8028,22.9367,1,0.132937,8.26166,20.0655,5.23616,11.98,4.9726,3.29025,9999,9999,9999,999.9,4.97261,1.87678,1.87485,1.87769,1.87439,1.87798,1.87504,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.544,0.0898,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775,25650.6,1.10596,2.53784,1.39893,2.33398,1.44897,2.43286,37.8921,13.738,18,492.417,437.887,11.7959,28.384,30.0005,28.1422,28.1912,22.1762,23.7333,18.4096,11.7863,413.267,9.09108,100.526,101.92,NA,5
98,1679334568,1973.4,20230320 12:49:27,12:49:27,5,albert,sch_sco25_t1_ch5,1679334560,0.00076485,0.764850097,4.897379077,417.7882737,236.0914239,21.32422939,37.7354367,0.045581714,3.867689865,0.045285369,0.02832982,321.5151458,19.86574702,20.00281034,2.347021511,39.56875586,0.848509385,2.14439238,1.498512126,-33.7298893,-302.3437231,-15.60093977,-30.15940639,4.338878437,0.762106686,4.897379077,423.7450625,421.6952727,-0.021922685,64.23240902,0.764850097,9.066513883,9.396818242,-6.00E-08,100.33,4,1,1,0,49007,1999.998276,1681.198252,0.840599851,0.160757711,2.18,0.5,0: Broadleaf,2,TRUE,1679334560,417.7882759,419.8186207,9.394280345,9.065160345,414.2436207,9.304498966,500.0562069,90.22196552,0.099948903,18.55282414,20.00281034,999.9,0,0,9996.867241,0,3.80632,-2.03041331,421.7502759,423.6592069,0.329119759,419.8186207,9.065160345,0.847570448,0.817876586,4.529997586,4.021413793,1999.998276,0.980006172,0.019993455,0,2.076658621,0,3059.658276,17338.24138,37.41348276,38.312,36.83158621,36.25196552,35.80137931,1960.008276,39.99,0,1679334596,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-2.109287512,1.086061672,0.242536864,0,0.328340488,0.012273324,0.001624648,1,1,2,2-Jan,2.97794,2.72777,0.0846391,0.0855959,0.0538412,0.0530134,27341.4,27023,30405.2,29807.6,39720.8,37176.9,46515.4,44321.6,1.85777,1.8162,0.0130013,0,19.7893,999.9,24.3,32.5,13.2297,63.8428,23.3053,1,0.13315,8.03773,20.0755,5.23032,11.98,4.9712,3.2893,9999,9999,9999,999.9,4.97262,1.8768,1.87485,1.8777,1.87439,1.87799,1.87508,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.545,0.0898,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775,25650.7,1.0791,2.5354,1.39893,2.33521,1.44897,2.48291,37.9164,13.7643,18,492.442,437.838,11.7833,28.3882,30.0003,28.1459,28.195,21.635,23.7333,18.4096,11.8356,399.894,9.07726,100.521,101.92,NA,5
99,1679334573,1978.4,20230320 12:49:32,12:49:32,5,albert,sch_sco25_t1_ch5,1679334565,0.000764429,0.764429355,4.564859365,417.3151051,247.1671068,22.32439737,37.6923465,0.045568125,3.867838577,0.045271967,0.028321428,321.516276,19.86344835,20.00134643,2.346808758,39.58305936,0.848691637,2.144077922,1.498117121,-33.71133457,-302.5384478,-15.61008256,-30.34358892,-0.809288197,0.767508294,4.564859365,416.4872916,418.4319758,-0.827223245,64.23240902,0.764429355,9.069634047,9.399746154,1.34E-06,100.33,4,1,1,0,49075,2000.005357,1681.2042,0.840599848,0.160757707,2.18,0.5,0: Broadleaf,2,TRUE,1679334565,417.3151071,417.1019286,9.396386071,9.064933214,413.7719643,9.306579643,500.0549286,90.22131429,0.099754939,18.55048214,20.00134643,999.9,0,0,9997.469643,0,3.80632,0.213173357,421.2735714,420.9175714,0.331452786,417.1019286,9.064933214,0.847754357,0.817850179,4.5330975,4.0209525,2000.005357,0.980006357,0.019993264,0,2.051635714,0,3059.668571,17338.3,37.42828571,38.312,36.82557143,36.24982143,35.801,1960.015357,39.99,0,1679334601,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-0.4552197,24.53470356,3.065328072,0,0.33067835,0.026034777,0.005083416,1,1,2,2-Jan,2.97789,2.72831,0.0840507,0.0835938,0.053849,0.0528859,27359.4,27081.6,30405.7,29807,39721,37181,46516.1,44320.8,1.85745,1.81613,0.0133812,0,19.7852,999.9,24.3,32.5,13.2301,63.8828,23.2532,1,0.132243,7.99529,20.0778,5.23167,11.98,4.97135,3.28955,9999,9999,9999,999.9,4.97261,1.87681,1.87485,1.87771,1.87439,1.87796,1.87506,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.532,0.0898,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.1,25650.8,1.04858,2.52808,1.39893,2.33521,1.44897,2.49512,37.9164,13.7643,18,492.283,437.813,11.8126,28.3919,29.9998,28.1491,28.1978,21.0269,23.7333,18.0356,11.8181,379.86,9.07105,100.523,101.918,NA,5
100,1679334578,1983.4,20230320 12:49:37,12:49:37,5,albert,sch_sco25_t1_ch5,1679334570,0.000819021,0.819020877,4.446672642,414.5390721,258.9789273,23.39141446,37.44186968,0.048864373,3.869101404,0.048524103,0.030357938,321.5158939,19.84890524,19.99698519,2.346175032,39.58799339,0.848629685,2.143654204,1.497545347,-36.11882068,-302.3858671,-15.59651559,-32.5853095,-12.17832711,0.798227391,4.446672642,401.8730058,409.3223636,-1.968221654,64.23240902,0.819020877,9.030654975,9.384370879,-9.05E-07,100.33,4,1,1,0,49169,2000.002963,1681.202189,0.840599849,0.160757709,2.18,0.5,0: Broadleaf,2,TRUE,1679334570,414.5390741,409.3740741,9.395635556,9.05091037,411.0047407,9.305838148,500.0464444,90.22203704,0.099653241,18.54732593,19.99698519,999.9,0,0,10001.89259,0,3.80632,5.165049778,418.470963,413.1134074,0.344725074,409.3740741,9.05091037,0.84769337,0.816591519,4.532069259,3.999004444,2000.002963,0.980006333,0.019993289,0,2.094307407,0,3059.650741,17338.28889,37.34688889,38.312,36.83755556,36.26366667,35.80296296,1960.012963,39.99,0,1679334606,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,3.12889205,58.16167576,6.001894017,0,0.34051435,0.143759572,0.01686127,0,0,2,0/2,2.97811,2.72831,0.0825782,0.0811444,0.0537813,0.0527863,27403.1,27153.8,30405.4,29806.8,39723.4,37184.5,46515.6,44320.4,1.85775,1.81593,0.0130981,0,19.7808,999.9,24.2,32.5,13.174,63.8328,23.0208,1,0.132853,8.033,20.076,5.23077,11.98,4.97145,3.2895,9999,9999,9999,999.9,4.97263,1.8768,1.87485,1.87769,1.87439,1.87801,1.87506,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.502,0.0896,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.2,25650.9,1.01196,2.5293,1.39893,2.33521,1.44897,2.48657,37.8921,13.7643,18,492.473,437.713,11.8163,28.3954,30.0003,28.1525,28.2009,20.2947,23.7333,18.0356,11.8165,366.501,9.07982,100.522,101.918,NA,5
101,1679334583,1988.4,20230320 12:49:42,12:49:42,5,albert,sch_sco25_t1_ch5,1679334575,0.000823688,0.823687599,4.34492334,408.3182481,256.9251266,23.20631153,36.88062976,0.049109451,3.86964356,0.048765819,0.03050931,321.514965,19.84726705,20.00073571,2.346720007,39.56367188,0.848080574,2.143584086,1.498639433,-36.32462313,-303.3196488,-15.64274619,-33.7720531,-25.49960272,0.820179622,4.34492334,385.7266977,396.488,-2.651929141,64.23240902,0.823687599,9.01698437,9.372782967,-1.08E-05,100.33,4,1,1,0,49098,1999.997143,1681.1973,0.840599851,0.160757712,2.18,0.5,0: Broadleaf,2,TRUE,1679334575,408.31825,397.3477857,9.389394286,9.035197143,404.80375,9.299671071,500.0614643,90.22336071,0.099885754,18.54680357,20.00073571,999.9,0,0,10003.67929,0,3.80632,10.97056614,412.1886071,400.9709643,0.354197571,397.3477857,9.035197143,0.84714275,0.815185821,4.522778214,3.9744875,1999.997143,0.98000625,0.019993375,0,2.1203,0,3059.836786,17338.24643,37.28989286,38.312,36.87246429,36.26982143,35.81214286,1960.007143,39.99,0,1679334611,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,7.133009073,73.56485097,7.35597118,0,0.347183073,0.148741505,0.017420794,0,0,2,0/2,2.97806,2.72836,0.0805301,0.0785136,0.0537323,0.0527773,27463.9,27231.1,30405,29806.4,39724.9,37184.1,46515.2,44319.7,1.8578,1.81583,0.0135526,0,19.7776,999.9,24.2,32.5,13.1745,63.9028,23.5577,1,0.133237,8.0422,20.0758,5.23122,11.98,4.97135,3.28948,9999,9999,9999,999.9,4.97263,1.87678,1.87485,1.8777,1.87439,1.87796,1.87504,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.461,0.0895,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.3,25651,0.977783,2.53296,1.39893,2.33521,1.44897,2.45117,37.9164,13.7555,18,492.521,437.677,11.8179,28.3998,30.0003,28.1554,28.2045,19.6213,23.7333,18.0356,11.8177,346.46,9.07982,100.521,101.916,NA,5
102,1679334588,1993.4,20230320 12:49:47,12:49:47,5,albert,sch_sco25_t1_ch5,1679334580,0.00080934,0.809340241,4.174582445,397.2305907,249.2430121,22.51286927,35.87984386,0.048247034,3.871631645,0.047915491,0.029976779,321.5149481,19.84831268,19.99487778,2.345868861,39.52356293,0.847156953,2.143422532,1.498711908,-35.69190464,-302.50399,-15.59210453,-32.27305109,-37.76789997,0.834070772,4.174582445,369.0878895,381.6566303,-3.014434369,64.23240902,0.809340241,9.016600123,9.366164066,-5.87E-06,100.33,4,1,1,0,49152,1999.997037,1681.197211,0.840599851,0.160757712,2.18,0.5,0: Broadleaf,2,TRUE,1679334580,397.2305926,380.9104444,9.378988889,9.018793333,393.7515926,9.289389259,500.0674444,90.22502222,0.099954504,18.5456,19.99487778,999.9,0,0,10010.58593,0,3.801774444,16.3201863,400.9917037,384.3771111,0.360197704,380.9104444,9.018793333,0.846219556,0.813720667,4.507196667,3.948932593,1999.997037,0.980006111,0.019993519,0,2.161607407,0,3060.143333,17338.24815,37.28437037,38.312,36.8862963,36.27985185,35.81207407,1960.007037,39.99,0,1679334616,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,12.31466005,64.11802386,6.518077901,0,0.352845927,0.069820056,0.014198819,1,1,2,2-Jan,2.97799,2.72837,0.0781507,0.075764,0.0537068,0.0527938,27534.5,27312.2,30404.6,29806.2,39725.1,37183.2,46514.3,44319.6,1.85725,1.81572,0.0125542,0,19.7742,999.9,24.2,32.5,13.1746,63.7028,23.3774,1,0.133577,8.04736,20.0757,5.23092,11.98,4.97175,3.28963,9999,9999,9999,999.9,4.97261,1.87678,1.87485,1.87772,1.87438,1.87798,1.87505,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.412,0.0894,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.4,25651.1,0.939941,2.53906,1.39893,2.33521,1.44897,2.40601,37.9164,13.7468,18,492.24,437.643,11.8188,28.4035,30.0005,28.1591,28.2081,18.8712,23.4605,18.0356,11.8181,333.103,9.07982,100.519,101.915,NA,5
103,1679334593,1998.4,20230320 12:49:52,12:49:52,5,albert,sch_sco25_t1_ch5,1679334585,0.000791838,0.791837804,4.022164114,384.4067839,238.8197309,21.57182562,34.7222404,0.047187251,3.870354424,0.046869957,0.029322053,321.512628,19.85377196,19.99198214,2.345448232,39.48428524,0.846396837,2.14362963,1.499051394,-34.92004717,-301.4780671,-15.54424435,-30.42973057,-43.69253142,0.808749772,4.022164114,352.3807863,365.8118121,-3.180804418,64.23240902,0.791837804,9.022880688,9.364869121,-3.60E-06,100.33,4,1,1,0,49112,1999.9825,1681.185,0.840599855,0.160757721,2.18,0.5,0: Broadleaf,2,TRUE,1679334585,384.4067857,365.4949643,9.370382857,9.021119643,380.9691071,9.280884286,500.0680714,90.22679286,0.100022,18.54714286,19.99198214,999.9,0,0,10005.83393,0,3.799031071,18.91172143,388.0428571,368.8220714,0.349265357,365.4949643,9.021119643,0.845459714,0.813946536,4.494366071,3.952878214,1999.9825,0.980006036,0.019993596,0,2.120675,0,3060.536071,17338.11429,37.34785714,38.3165,36.87925,36.27435714,35.821,1959.9925,39.99,0,1679334621,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,17.24780625,33.93454908,3.428629298,0,0.354058375,-0.125582713,0.012781424,0,0,2,0/2,2.97796,2.72864,0.0755835,0.0729842,0.0537069,0.0528729,27611,27394.2,30404.4,29806.1,39724.6,37179.7,46514,44319.5,1.85775,1.81553,0.0126362,0,19.7718,999.9,24.2,32.5,13.1738,63.7728,23.6018,1,0.134012,8.05189,20.0752,5.23077,11.98,4.97175,3.2897,9999,9999,9999,999.9,4.97261,1.87676,1.87485,1.87768,1.87437,1.87796,1.87503,1.87621,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.361,0.0894,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.5,25651.1,0.906982,2.54883,1.39893,2.33521,1.44897,2.38403,37.9164,13.738,18,492.542,437.542,11.8193,28.4073,30.0004,28.1626,28.2112,18.1885,23.4605,18.0356,11.8186,313.069,9.07982,100.518,101.915,NA,5
104,1679334598,2003.4,20230320 12:49:57,12:49:57,5,albert,sch_sco25_t1_ch5,1679334590,0.000774364,0.774363845,3.974316084,368.5261093,222.0568823,20.05801408,33.28832601,0.046172987,3.869407118,0.045869065,0.028695305,321.5165441,19.85888679,19.98298519,2.344141725,39.46935864,0.846144652,2.143801372,1.497997072,-34.14944555,-299.2605596,-15.43307432,-27.3265354,-47.28075601,0.786231617,3.974316084,335.7566607,349.5919879,-3.261024702,64.23240902,0.774363845,9.037303333,9.371676484,4.46E-06,100.33,4,1,1,0,48994,2000.007037,1681.205611,0.840599848,0.160757706,2.18,0.5,0: Broadleaf,2,TRUE,1679334590,368.5261111,348.0412222,9.36744,9.027907037,365.1404074,9.277974815,500.0778889,90.22822963,0.100040659,18.54842222,19.98298519,999.9,0,0,10002.2963,0,3.783028889,20.48485556,372.0108519,351.2118148,0.339534148,348.0412222,9.027907037,0.845207519,0.814571852,4.490105926,3.963801111,2000.007037,0.980006111,0.019993519,0,2.029174074,0,3061.358519,17338.31481,37.38396296,38.31666667,36.84688889,36.26137037,35.826,1960.017037,39.99,0,1679334626,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,19.1827975,20.06762814,2.047418609,0,0.346717475,-0.129280289,0.012886575,0,0,2,0/2,2.9779,2.72804,0.072903,0.070153,0.0537309,0.0528646,27690.1,27477.2,30403.3,29805.4,39722.1,37178.5,46512.5,44317.8,1.85765,1.81555,0.0126064,0,19.7695,999.9,24.2,32.5,13.1738,63.9928,23.5897,1,0.1342,8.00555,20.0773,5.23092,11.98,4.9719,3.2897,9999,9999,9999,999.9,4.97261,1.87683,1.87485,1.87774,1.87439,1.87802,1.87511,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.307,0.0895,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.5,25651.2,0.869141,2.55005,1.39893,2.33398,1.44897,2.44141,37.9164,13.7555,18,492.512,437.585,11.8209,28.4124,30.0004,28.1664,28.2148,17.4209,23.4605,18.0356,11.8346,299.711,9.07982,100.515,101.912,NA,5
105,1679334603,2008.4,20230320 12:50:02,12:50:02,5,albert,sch_sco25_t1_ch5,1679334595,0.000783934,0.783933935,3.454253201,353.5895699,226.8896132,20.4948944,31.93967672,0.046761799,3.867427374,0.046449947,0.029059062,321.516789,19.85707863,19.98098214,2.343850937,39.47687882,0.846278195,2.143731267,1.497572742,-34.57148653,-298.7986939,-15.41694361,-27.27033499,-48.80272016,0.774826319,3.454253201,318.9828206,333.1687394,-3.286423343,64.23240902,0.783933935,9.035851201,9.374397253,-5.51E-07,100.33,4,1,1,0,49137,2000.008571,1681.2069,0.840599847,0.160757706,2.18,0.5,0: Broadleaf,2,TRUE,1679334595,353.5895714,332.4341071,9.368759286,9.034148571,350.2533214,9.279277857,500.0725714,90.22978571,0.100018779,18.5479,19.98098214,999.9,0,0,9995.065,0,3.424308214,21.15552143,356.9334643,335.4646786,0.334610607,332.4341071,9.034148571,0.845341036,0.815149179,4.492362143,3.973882143,2000.008571,0.980006143,0.019993486,0,1.970214286,0,3062.081429,17338.32857,37.32567857,38.3165,36.84339286,36.25653571,35.82332143,1960.018571,39.99,0,1679334631,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,20.72738,8.757046154,0.889030795,0,0.338743175,-0.063751508,0.008369564,1,1,2,2-Jan,2.97799,2.72848,0.0701376,0.0672293,0.0537458,0.0528796,27773.1,27563.5,30403.8,29805.3,39721.8,37178,46513.1,44318.2,1.85767,1.81545,0.0138432,0,19.7669,999.9,24.2,32.5,13.174,63.9428,23.0208,1,0.134334,7.9538,20.0797,5.23137,11.98,4.9715,3.28965,9999,9999,9999,999.9,4.97263,1.87682,1.87486,1.87774,1.87439,1.87804,1.87511,1.87622,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.252,0.0896,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.6,25651.3,0.83374,2.5415,1.39893,2.33398,1.44897,2.48169,37.9164,13.7555,18,492.549,437.549,11.8336,28.4162,30.0001,28.1699,28.2182,16.7305,23.4605,18.0356,11.8484,279.676,9.07982,100.516,101.912,NA,5
106,1679334608,2013.4,20230320 12:50:07,12:50:07,5,albert,sch_sco25_t1_ch5,1679334600,0.000782482,0.78248173,3.526938119,336.5094429,207.5339276,18.74668245,30.39712947,0.046659831,3.869003394,0.046349458,0.028996125,321.5176081,19.85426883,19.98665926,2.344675184,39.49975902,0.846630829,2.143382265,1.498044354,-34.50744428,-300.6469459,-15.5062339,-29.14301595,-49.77072171,0.776567878,3.526938119,302.2252534,316.5567273,-3.323510525,64.23240902,0.78248173,9.037796225,9.375687363,3.11E-06,100.33,4,1,1,0,49137,2000.013704,1681.211211,0.840599846,0.160757703,2.18,0.5,0: Broadleaf,2,TRUE,1679334600,336.5094444,314.9264815,9.372571481,9.03721,333.2304815,9.283045556,500.0726296,90.23068889,0.09999903,18.5453,19.98665926,999.9,0,0,10000.58407,0,3.230365185,21.58304444,339.6932593,317.7985185,0.335360704,314.9264815,9.03721,0.845693407,0.815433556,4.498317407,3.978846667,2000.013704,0.980006222,0.019993404,0,1.981855556,0,3062.883704,17338.37778,37.25440741,38.312,36.85848148,36.25677778,35.81440741,1960.023704,39.99,0,1679334636,0,0,--:--:--,1664468065,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,21.3344925,4.798186492,0.476485672,0,0.3353441,0.008510747,0.00395349,1,1,2,2-Jan,2.97792,2.7285,0.0672826,0.0642572,0.0537519,0.0528758,27857.8,27651.4,30403.2,29805.5,39720.8,37178,46512.5,44318.3,1.85737,1.81533,0.0142008,0,19.764,999.9,24.2,32.5,13.1729,63.8628,23.0489,1,0.134489,7.95532,20.0799,5.23047,11.98,4.9716,3.28958,9999,9999,9999,999.9,4.97263,1.87682,1.87486,1.87774,1.8744,1.87804,1.87506,1.87624,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.196,0.0896,1.980127089,0.004464845,-1.85E-06,4.61E-10,0.011996262,0.009226931,-0.00057807,5.21E-05,0,2086,1,13,247775.7,25651.4,0.794678,2.5415,1.39893,2.33521,1.44897,2.51099,37.9406,13.7643,18,492.405,437.5,11.8476,28.4205,30.0003,28.1733,28.222,15.9563,23.4605,18.0356,11.8513,266.319,9.07982,100.515,101.913,NA,5
