obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,CO2_hrs,AccH2O_hum,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1679421665,0,20230321 13:01:04,13:01:04,5,pas_smi25_t1_ch5,gibson,1679421657,0.001192234,1.19223408,8.739384549,417.5844309,209.8805581,18.87862315,37.56145483,0.070762353,4.223840299,0.0701103,0.043877021,321.5162237,20.53112824,20.00721,2.347661022,37.37686172,0.845208798,2.261315582,1.502452224,-52.57752291,-137.4856179,-6.524591746,124.9284912,8.285134509,1.137785043,8.739384549,423.8432742,421.4794848,-0.010366294,67.67971381,1.19223408,9.090195034,9.413630559,3.69E-06,125.5925992,3,1,1,0,48960,2000.004667,1681.20365,0.840599864,0.160757737,1.37,0.5,0: Broadleaf,2,TRUE,1679421657,417.5844333,419.9838,9.396495333,9.087793,417.2092667,9.584126333,500.1966,89.84941667,0.09994937,19.40345,20.00721,999.9,0,0,10003.413,0,11.61799,-2.399360667,421.5454667,423.8355,0.308701367,419.9838,9.087793,0.844269567,0.816532833,4.474233667,3.998013,2000.004667,0.980003467,0.019996427,0,2.55857,0,2623.187333,16705.47667,41.437,43.6103,42.5956,41.625,40.5872,1960.013667,39.991,0,1679421685,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,-2.405463659,-0.096943693,0.058816678,1,0.310387024,0.004394822,0.011049071,1,2,2,2-Feb,2.87336,2.71025,0.0904805,0.0908912,0.0521411,0.0501886,25874.9,22341.3,25452.1,23928,41179.4,37589.6,45990.7,42642.9,1.80015,1.85193,0.0179894,0,19.7097,999.9,26.108,30.021,12.3957,54.9615,45.3926,1,-0.0989939,4.88679,20.1655,5.23496,11.992,4.95695,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.8718,1.86249,1.86201,1.86846,1.85853,1.86504,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.375,-0.1874,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,89.6,89.6,1.0437,2.34131,1.44775,2.30347,1.44409,2.44507,34.7379,24.3064,18,425.221,442.024,14.4454,25.9187,30,25.8444,25.8184,20.87,28.9297,10.4472,14.4933,413.227,9.1091,97.3539,100.291,NA,5
2,1679421670,5,20230321 13:01:09,13:01:09,5,pas_smi25_t1_ch5,gibson,1679421662,0.00121043,1.21043041,9.386229781,417.5364456,198.8996876,17.89099893,37.55734456,0.071998272,4.222290322,0.071323115,0.044637079,321.5133346,20.52713045,19.99412069,2.345758878,37.42742841,0.846298804,2.261172728,1.499460074,-53.3799811,-134.6867832,-6.39365268,127.0529176,7.792282194,1.169880019,9.386229781,423.8478906,421.3812909,-0.025569442,67.67971381,1.21043041,9.093148959,9.421512794,4.35E-06,125.5925992,2,0,1,0,48617,1999.986552,1681.188434,0.84059987,0.160757748,1.37,0.5,0: Broadleaf,2,TRUE,1679421662,417.5364483,419.8044828,9.408561724,9.091155172,417.1613448,9.596052069,500.1964138,89.84984828,0.10001109,19.40243448,19.99412069,999.9,0,0,9998.463793,0,11.62263793,-2.267997103,421.5022069,423.6559655,0.31740469,419.8044828,9.091155172,0.845357793,0.816839069,4.492641724,4.003347931,1999.986552,0.980003241,0.019996607,0,2.512210345,0,2623.137586,16705.31724,41.437,43.61848276,42.60762069,41.625,40.59675862,1959.995517,39.99103448,0,1679421690,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,-2.345057317,0.708653101,0.234533737,0,0.311530488,0.105013589,0.010478963,0,0,2,0/2,2.87332,2.71016,0.0904523,0.0904426,0.0521738,0.0501939,25875.4,22352,25451.8,23927.6,41177.4,37589.2,45990.1,42642.8,1.80072,1.85152,0.0142083,0,19.7136,999.9,26.132,30.001,12.3929,55.3915,46.1779,1,-0.0993293,4.86231,20.1664,5.23496,11.992,4.95705,3.30398,9999,999.9,9999,9999,1.86845,1.86417,1.8718,1.86249,1.86202,1.86845,1.85853,1.86506,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.375,-0.1873,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,89.7,89.7,1.01807,2.35107,1.44775,2.30347,1.44409,2.40967,34.7379,24.2976,18,425.57,441.811,14.4821,25.9235,30,25.848,25.822,20.3779,28.9297,10.4472,14.4944,399.766,9.07427,97.3527,100.29,NA,5
3,1679421675,10,20230321 13:01:14,13:01:14,5,pas_smi25_t1_ch5,gibson,1679421667,0.001219949,1.219948674,8.577667393,417.0546047,218.3256369,19.63845299,37.51418003,0.072771695,4.22433764,0.07208236,0.045112865,321.5165817,20.52279818,19.97114643,2.342423513,37.46597367,0.847061469,2.260882037,1.495362045,-53.79973653,-129.9905336,-6.16693671,131.5593749,-0.545562921,1.193699382,8.577667393,417.244056,418.3306364,-0.691728961,67.67971381,1.219948674,9.094120917,9.425079176,2.62E-06,125.5925992,2,0,1,0,49044,2000.007143,1681.205711,0.840599853,0.160757717,1.37,0.5,0: Broadleaf,2,TRUE,1679421667,417.0546071,417.0415357,9.416996071,9.0931325,416.6796786,9.604387857,500.2007143,89.85035714,0.099926589,19.40036786,19.97114643,999.9,0,0,10004.88107,0,11.62449286,0.013117321,421.0194286,420.8685,0.323861464,417.0415357,9.0931325,0.8461205,0.817021393,4.5055275,4.006524286,2000.007143,0.980003714,0.019996229,0,2.531560714,0,2623.323571,16705.48571,41.437,43.62275,42.61825,41.625,40.60925,1960.016786,39.99035714,0,1679421695,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,-0.638540983,25.00434449,3.171256492,0,0.32042605,0.077186341,0.007594271,1,1,2,2-Jan,2.87315,2.71014,0.0898591,0.088296,0.0521867,0.0502001,25892,22404.7,25451.6,23927.6,41176.1,37588.7,45989.3,42642.6,1.80042,1.85137,0.0126287,0,19.7171,999.9,26.108,30.001,12.3787,54.8315,46.3502,1,-0.099093,4.78473,20.1683,5.23436,11.992,4.9566,3.30395,9999,999.9,9999,9999,1.86844,1.86417,1.8718,1.8625,1.86202,1.86844,1.85854,1.86506,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.374,-0.1873,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,89.8,89.8,0.98877,2.37183,1.44897,2.30347,1.44409,2.23999,34.7379,24.2976,18,425.431,441.758,14.4981,25.9281,30.0001,25.852,25.8265,19.7043,28.9297,10.4472,14.5321,379.56,9.01874,97.3513,100.29,NA,5
4,1679421680,15,20230321 13:01:19,13:01:19,5,pas_smi25_t1_ch5,gibson,1679421672,0.00124335,1.243349941,8.87670826,414.3449975,213.3813867,19.19377782,37.2705696,0.074397465,4.226797418,0.073677565,0.046112577,321.5162538,20.5171035,19.94600741,2.338778635,37.49592999,0.847699423,2.260777164,1.491079212,-54.83173241,-124.50758,-5.902596531,136.2743448,-20.03466014,1.214040177,8.87670826,402.2724985,409.2798485,-1.892791482,67.67971381,1.243349941,9.095677361,9.432994559,1.76E-06,125.5925992,2,0,1,0,48872,2000.004815,1681.203778,0.840599865,0.16075774,1.37,0.5,0: Broadleaf,2,TRUE,1679421672,414.345,408.9954074,9.424058148,9.094673704,413.9711481,9.611367037,500.1938148,89.85058148,0.099990685,19.39962222,19.94600741,999.9,0,0,10012.63593,0,11.61758519,5.349553519,418.287,412.7491852,0.329381963,408.9954074,9.094673704,0.846757074,0.817161926,4.516275556,4.008971481,2000.004815,0.980003333,0.019996533,0,2.560907407,0,2623.786296,16705.46296,41.444,43.625,42.625,41.625,40.61566667,1960.013704,39.99111111,0,1679421699,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,2.269038768,55.3050244,5.876427543,0,0.325208175,0.061268229,0.005981612,1,1,2,2-Jan,2.87342,2.71054,0.0882932,0.0855399,0.0522173,0.0501907,25936.1,22472.4,25451.2,23927.6,41174.6,37589.2,45989.1,42642.8,1.80033,1.8511,0.0127889,0,19.7201,999.9,26.108,30.001,12.3797,54.5715,45.3926,1,-0.0992429,4.65774,20.1721,5.23391,11.992,4.95675,3.30395,9999,999.9,9999,9999,1.86846,1.86417,1.8718,1.8625,1.86203,1.86845,1.85855,1.86506,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.37,-0.1872,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,89.9,89.9,0.952148,2.36206,1.44775,2.30347,1.44409,2.36694,34.7379,24.3064,18,425.407,441.621,14.5374,25.9326,30,25.8565,25.83,19.054,29.5679,10.4472,14.5814,366.101,8.97798,97.3505,100.29,NA,5
5,1679421685,20,20230321 13:01:24,13:01:24,5,pas_smi25_t1_ch5,gibson,1679421677,0.001257926,1.257926288,8.870947629,408.1693904,209.8666748,18.87774974,36.71530799,0.075343752,4.231582614,0.074606346,0.046694618,321.518105,20.51141402,19.94021071,2.337938884,37.51989353,0.848146161,2.260523902,1.489792723,-55.4745493,-123.7369393,-5.859200619,136.4474158,-43.46173421,1.242890608,8.870947629,385.2141974,396.1875394,-2.685896682,67.67971381,1.257926288,9.092868133,9.434123588,3.31E-06,125.5925992,3,1,1,0,49002,2000.016429,1681.213532,0.840599861,0.160757732,1.37,0.5,0: Broadleaf,2,TRUE,1679421677,408.1693929,396.4045,9.428963571,9.091755,407.7979286,9.616215714,500.1963214,89.85127143,0.099883311,19.39782143,19.94021071,999.9,0,0,10027.69893,0,11.60647857,11.76480625,412.0545357,400.0415714,0.337207821,396.4045,9.091755,0.847204357,0.816905786,4.523822143,4.004508214,2000.016429,0.980003429,0.019996457,0,2.575139286,0,2624.261071,16705.56786,41.44375,43.625,42.625,41.625,40.61825,1960.025357,39.99107143,0,1679421705,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,8.401573518,82.94392481,8.058809582,0,0.333969025,0.093283981,0.009770049,1,1,2,2-Jan,2.87316,2.71049,0.0860545,0.0826442,0.0522196,0.050089,25999.4,22543,25450.8,23927.1,41173.9,37592.4,45988.6,42642,1.79982,1.85137,0.0169873,0,19.7218,999.9,26.132,30.001,12.3923,54.0115,46.3542,1,-0.0993242,4.57953,20.1742,5.23466,11.992,4.9566,3.30393,9999,999.9,9999,9999,1.86844,1.86417,1.8718,1.86249,1.86202,1.86846,1.85856,1.86507,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.365,-0.1872,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,90,90,0.921631,2.36816,1.44775,2.30347,1.44409,2.32666,34.7379,24.2976,18,425.156,441.821,14.5876,25.9369,30,25.8602,25.8342,18.3702,30.1934,10.4472,14.6259,345.958,8.94064,97.3493,100.288,NA,5
6,1679421690,25,20230321 13:01:29,13:01:29,5,pas_smi25_t1_ch5,gibson,1679421682,0.001318959,1.318958991,8.226089199,397.0196644,220.2199953,19.80907154,35.71242894,0.07881984,4.232173994,0.078013327,0.048830103,321.5192522,20.5030789,19.96934074,2.342161543,37.52129157,0.84834003,2.260956364,1.493821513,-58.16609149,-129.6991064,-6.14167755,127.5123768,-64.69839519,1.297955467,8.226089199,368.6694778,381.3192,-2.985609355,67.67971381,1.318958991,9.067411549,9.425268029,-4.31E-07,125.5925992,3,1,1,0,48724,2000.023333,1681.219356,0.840599871,0.160757751,1.37,0.5,0: Broadleaf,2,TRUE,1679421682,397.0196667,379.4401852,9.431105185,9.078953333,396.6527037,9.618332593,500.1900741,89.85132222,0.099962689,19.4008963,19.96934074,999.9,0,0,10029.56481,0,11.59487407,17.57938519,400.7995926,382.9168889,0.352152222,379.4401852,9.078953333,0.847397222,0.815755963,4.527076667,3.984446296,2000.023333,0.980003185,0.019996652,0,2.537555556,0,2624.992963,16705.63704,41.44866667,43.625,42.625,41.63418519,40.625,1960.031481,39.99185185,0,1679421710,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,12.96582727,71.88722161,7.133621238,0,0.343236575,0.15562173,0.015994925,0,0,2,0/2,2.8733,2.71004,0.0835179,0.0797744,0.0521799,0.0499678,26071.5,22613.5,25450.8,23927.1,41175.1,37597.1,45988,42641.8,1.80005,1.8513,0.0180528,0,19.7227,999.9,26.108,30.031,12.4022,54.4715,45.3926,1,-0.0991641,4.66658,20.1716,5.23406,11.992,4.95665,3.30393,9999,999.9,9999,9999,1.86845,1.86417,1.8718,1.8625,1.862,1.86846,1.85856,1.86507,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.358,-0.1873,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,90,90,0.88623,2.37427,1.44775,2.30347,1.44409,2.34619,34.7608,24.2976,18,425.31,441.807,14.6336,25.9408,30.0002,25.864,25.8381,17.735,30.5181,10.4472,14.6259,332.552,8.99779,97.3485,100.288,NA,5
7,1679421695,30,20230321 13:01:34,13:01:34,5,pas_smi25_t1_ch5,gibson,1679421687,0.001371084,1.371084032,8.782373558,384.0978547,202.5167743,18.21663652,34.55008125,0.081673217,4.223692582,0.08080588,0.050580834,321.514571,20.49911043,20.00343571,2.347112402,37.49611615,0.847959585,2.261459779,1.499152817,-60.4648058,-136.3879753,-6.472636491,118.1891534,-74.81783742,1.370740646,8.782373558,351.7897693,365.3736303,-3.20338165,67.67971381,1.371084032,9.036260684,9.408281382,-3.49E-06,125.5925992,3,1,1,0,48398,1999.994286,1681.194932,0.840599868,0.160757745,1.37,0.5,0: Broadleaf,2,TRUE,1679421687,384.0978571,363.7504643,9.426879643,9.054991429,383.7361071,9.614157143,500.20725,89.85118571,0.100061946,19.404475,20.00343571,999.9,0,0,10002.74893,0,11.59266786,20.34729286,387.7531786,367.0747857,0.3718895,363.7504643,9.054991429,0.84701625,0.813601714,4.520647143,3.946791786,1999.994286,0.980003143,0.019996686,0,2.528717857,0,2625.5025,16705.39286,41.446,43.625,42.625,41.64492857,40.625,1960.003214,39.99107143,0,1679421715,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,18.51708975,35.88298525,3.697894885,0,0.362428475,0.248395463,0.024129077,0,0,2,0/2,2.87325,2.71002,0.0807623,0.0768457,0.0521039,0.0498147,26149.2,22685.2,25450.1,23926.9,41177.8,37602.8,45987.4,42641.5,1.79982,1.85135,0.0201017,0,19.7227,999.9,26.132,30.001,12.3906,54.9615,45.9575,1,-0.0979522,4.9454,20.1636,5.23496,11.992,4.95685,3.30395,9999,999.9,9999,9999,1.86844,1.86417,1.87179,1.8625,1.86201,1.86847,1.85856,1.86507,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.351,-0.1875,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,90.1,90.1,0.853271,2.35229,1.44775,2.30347,1.44409,2.42554,34.7608,24.2976,18,425.212,441.873,14.6349,25.9446,30.0009,25.8679,25.8424,17.1299,30.5181,10.4472,14.5666,312.373,9.01529,97.3468,100.287,NA,5
8,1679421700,35,20230321 13:01:39,13:01:39,5,pas_smi25_t1_ch5,gibson,1679421692,0.001414334,1.414334163,8.243602224,368.1300717,201.7404233,18.14688231,33.11390439,0.083933791,4.208232728,0.083014743,0.051965948,321.5171781,20.50136744,20.0375963,2.352081983,37.43042079,0.846812886,2.262365391,1.505269097,-62.37213657,-142.1787269,-6.773649169,110.1926655,-79.67397513,1.427840197,8.243602224,335.6239248,349.3552727,-3.203196492,67.67971381,1.414334163,9.005519719,9.389324559,-8.85E-06,125.5925992,2,0,1,0,48508,2000.010741,1681.208744,0.840599858,0.160757726,1.37,0.5,0: Broadleaf,2,TRUE,1679421692,368.1300741,346.4528148,9.41409037,9.026712963,367.775037,9.601516667,500.2165185,89.85142963,0.100212274,19.41091111,20.0375963,999.9,0,0,9953.870741,0,11.60485556,21.67717407,371.6287778,349.6090741,0.387377667,346.4528148,9.026712963,0.845869407,0.811063074,4.501278889,3.902374444,2000.010741,0.980003481,0.019996415,0,2.550655556,0,2626.153704,16705.52593,41.44633333,43.625,42.625,41.66174074,40.625,1960.02,39.99074074,0,1679421720,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,20.5103975,18.32718912,1.94011257,0,0.3748475,0.21082066,0.021491268,0,0,2,0/2,2.87308,2.70968,0.0779499,0.0739348,0.0520271,0.0498072,26229,22756.5,25450,23926.6,41180.5,37603,45986.8,42641.5,1.80012,1.8513,0.0208057,0,19.7243,999.9,26.132,30.021,12.4059,55.9015,45.7612,1,-0.0962068,5.16163,20.1566,5.23466,11.992,4.95705,3.304,9999,999.9,9999,9999,1.86845,1.86417,1.8718,1.86251,1.86202,1.86846,1.85854,1.86507,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.345,-0.1877,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,90.2,90.2,0.821533,2.38281,1.44897,2.30347,1.44409,2.29126,34.7608,24.2889,18,425.407,441.872,14.5792,25.949,30.0013,25.8716,25.8462,16.416,30.5181,10.4472,14.5147,298.987,9.03948,97.3458,100.287,NA,5
9,1679421705,40,20230321 13:01:44,13:01:44,5,pas_smi25_t1_ch5,gibson,1679421697,0.00137291,1.37290979,7.430960762,353.3189622,198.172541,17.82619727,31.78206974,0.081278196,4.206480613,0.080415707,0.050336545,321.5125917,20.50957854,20.04995714,2.353882473,37.37027809,0.845457852,2.262380414,1.50842462,-60.54532173,-144.8985124,-6.906541541,109.162216,-81.69703151,1.432157565,7.430960762,319.2561192,333.2880909,-3.218313747,67.67971381,1.37290979,9.003538098,9.376099588,-7.24E-06,125.5925992,2,0,1,0,48700,1999.982143,1681.184711,0.840599861,0.160757731,1.37,0.5,0: Broadleaf,2,TRUE,1679421697,353.3189643,331.0819286,9.398893571,9.010333214,352.9703929,9.586496786,500.2092143,89.85276786,0.100144775,19.41101786,20.04995714,999.9,0,0,9948.190714,0,11.61848214,22.23705714,356.6714643,334.0923571,0.388560429,331.0819286,9.010333214,0.844516536,0.809603429,4.478408214,3.876797857,1999.982143,0.980003286,0.019996571,0,2.537278571,0,2626.806429,16705.27857,41.44375,43.625,42.625,41.66707143,40.625,1959.991786,39.99035714,0,1679421725,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,21.8654375,6.862954221,0.734716667,0,0.38467095,0.019141283,0.011113745,1,1,2,2-Jan,2.87319,2.71004,0.0750534,0.0708799,0.0519682,0.0498171,26310.8,22830.6,25449.4,23925.7,41182.1,37601.1,45985.8,42639.9,1.80045,1.8508,0.0181012,0,19.7256,999.9,26.132,30.021,12.4049,55.6715,45.9816,1,-0.094906,5.31482,20.1518,5.23556,11.992,4.9567,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87179,1.86249,1.86202,1.86845,1.85853,1.86506,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.337,-0.1879,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,90.3,90.3,0.784912,2.35596,1.44775,2.30347,1.44409,2.46704,34.7379,24.2976,18,425.617,441.603,14.514,25.9528,30.0013,25.8754,25.85,15.77,29.7321,10.4472,14.4512,278.909,9.13844,97.3436,100.283,NA,5
10,1679421710,45,20230321 13:01:49,13:01:49,5,pas_smi25_t1_ch5,gibson,1679421702,0.001331244,1.331244091,6.935525291,336.468998,187.0860245,16.82922165,30.26688585,0.078710312,4.210821297,0.077901993,0.048760678,321.5131962,20.51665362,20.04997407,2.35388494,37.30501512,0.844003752,2.26244045,1.509881188,-58.70786442,-144.9550362,-6.902129086,110.9481665,-82.95973938,1.375488766,6.935525291,302.5141538,316.9514727,-3.271847846,67.67971381,1.331244091,9.007881432,9.369153706,-7.10E-06,125.5925992,2,0,1,0,48757,1999.985926,1681.187889,0.84059986,0.160757729,1.37,0.5,0: Broadleaf,2,TRUE,1679421702,336.469,313.8734074,9.382567407,9.009361111,336.1280741,9.57036037,500.1895556,89.85442963,0.100026885,19.41144444,20.04997407,999.9,0,0,9961.712593,0,11.61443333,22.59563704,339.6559259,316.7268148,0.373206556,313.8734074,9.009361111,0.843065222,0.809531,4.453848889,3.87553037,1999.985926,0.980003333,0.019996533,0,2.576392593,0,2627.581111,16705.30741,41.43933333,43.625,42.625,41.67092593,40.625,1959.995556,39.99037037,0,1679421729,0,1679416288,11:31:27,1679416288,1679416288,2,-0.389,0.348,0.376,0.446,419,29,0.41,0.14,22.3544275,4.352351595,0.436534505,0,0.3817112,-0.132049734,0.016035507,0,0,2,0/2,2.8731,2.71021,0.0720558,0.0677425,0.051949,0.0499481,26395.4,22907.3,25448.9,23925.3,41182.2,37595.1,45985,42639,1.8003,1.85078,0.0183992,0,19.7261,999.9,26.132,30.001,12.3915,55.6815,46.278,1,-0.0939685,5.33222,20.151,5.23511,11.992,4.95675,3.3039,9999,999.9,9999,9999,1.86844,1.86417,1.8718,1.86249,1.86201,1.86846,1.85853,1.86507,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.33,-0.1879,0.120863778,0.000907279,-9.00E-07,4.45E-10,-0.143567473,-0.022537161,0.002034512,-1.70E-05,1,1918,2,28,90.4,90.4,0.751953,2.39136,1.44897,2.30347,1.44409,2.24731,34.7608,24.2889,18,425.564,441.619,14.4421,25.9566,30.0011,25.8797,25.8539,15.0356,29.7321,10.4472,14.4123,265.497,9.10418,97.3417,100.281,NA,5
