obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1679505259,0,20230322 12:14:18,12:14:18,5,poa_pra29_t3_ch5,stan,1679505251,0.000284675,0.284675368,1.610893099,419.3878994,256.8986544,23.19601114,37.86756458,0.016843811,3.984797152,0.016804356,0.010506259,321.507535,20.63601976,19.98688,2.344707238,37.55801846,0.842094618,2.242116736,1.50261262,-12.55418375,-154.7659484,-7.778982309,146.4084206,1.543153622,0.294485677,1.610893099,423.9431745,423.3228727,-0.000150209,64.70238111,0.284675368,9.22673716,9.334422788,4.79E-06,97.28322741,1,0,1,0,48977,1999.943333,1681.1527,0.840600167,0.160758322,1.91,0.5,0: Broadleaf,2,TRUE,1679505251,419.3879,420.0245,9.326300667,9.214867333,421.4950667,9.516158333,500.0495667,90.19247667,0.099982023,19.26646333,19.98688,999.9,0,0,9999.413667,0,13.42986667,-0.636565233,423.3360667,423.9309333,0.111432967,420.0245,9.214867333,0.8411622,0.831111867,4.421588333,4.250075667,1999.943333,0.9799948,0.0200053,0,2.1864,0,5993.565667,16748.96333,37.26226667,38.6706,37.5956,37.4456,36.13313333,1959.933333,40.01,0,1679505265,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,-0.62757322,-0.155775721,0.027749699,0,0.113674683,-0.057565275,0.006601437,1,1,2,2-Jan,2.98447,2.71549,0.094536,0.0933902,0.054332,0.0525857,28807,28956.8,29562.5,29534.2,37054.1,37211.7,41639.1,42082.7,1.98307,1.8902,0.0332668,0,19.4294,999.9,25.9,30.2,12.3751,63.0817,32.5361,1,-0.132797,4.60213,20.287,5.22433,12.0125,4.99205,3.28933,9999,9999,9999,999.9,1.86737,1.86646,1.86596,1.86584,1.86768,1.87015,1.86878,1.87026,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.107,-0.1898,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815,814.9,1.04126,2.22168,1.39648,2.34375,1.49536,2.47437,35.0364,24.0525,18,527.628,425.788,13.9567,25.5654,30,25.603,25.5599,20.8496,21.1255,11.7202,13.9654,420.023,9.28461,101.091,101.072,NA,5
2,1679505264,5,20230322 12:14:23,12:14:23,5,poa_pra29_t3_ch5,stan,1679505256,0.000287204,0.287204378,1.531905312,419.3881718,265.6174307,23.98322024,37.86754079,0.016997572,3.985198447,0.016957398,0.010601975,321.5066382,20.63731168,19.98717931,2.344750702,37.57054766,0.842476414,2.242385238,1.502274287,-12.66571305,-154.4327117,-7.761539604,146.6466739,1.264792954,0.28511039,1.531905312,423.9272592,423.3370485,-8.04E-05,64.70238111,0.287204378,9.23015914,9.338811939,3.83E-06,97.28322741,1,0,1,0,49045,1999.938966,1681.148928,0.840600117,0.160758225,1.91,0.5,0: Broadleaf,2,TRUE,1679505256,419.3881724,419.9169655,9.330541034,9.222652069,421.4953103,9.520377586,500.0324138,90.19244138,0.099901924,19.26838621,19.98717931,999.9,0,0,10000.79138,0,13.4336,-0.528760207,423.3381724,423.8257931,0.107888517,419.9169655,9.222652069,0.841544207,0.831813621,4.42807069,4.262111379,1999.938966,0.979996241,0.020003859,0,2.231948276,0,5992.92069,16748.93448,37.35968966,38.81658621,37.68937931,37.56872414,36.21958621,1959.932414,40.00655172,0,1679505271,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,-0.590628366,0.722870404,0.161123201,0,0.110918049,-0.051900063,0.006356228,1,1,2,2-Jan,2.98453,2.71567,0.0945259,0.093049,0.0543492,0.0525875,28807.7,28967.4,29562.9,29534,37053.8,37211.2,41639.5,42082.2,1.98293,1.89045,0.0334531,0,19.4315,999.9,25.9,30.2,12.3753,63.1517,32.8446,1,-0.13282,4.59364,20.2867,5.21939,12.0114,4.99065,3.28845,9999,9999,9999,999.9,1.86737,1.86646,1.86597,1.86584,1.86768,1.87015,1.86877,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.107,-0.1898,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.1,815,1.02173,2.22168,1.39648,2.34375,1.49536,2.52075,35.0364,24.0525,18,527.529,425.935,13.966,25.5633,30,25.603,25.5599,20.3158,21.1255,11.7202,13.9754,399.964,9.2853,101.092,101.071,NA,5
3,1679505269,10,20230322 12:14:28,12:14:28,5,poa_pra29_t3_ch5,stan,1679505261,0.000298287,0.298287141,1.562089669,418.9953922,267.8938562,24.18871053,37.83199213,0.017662744,3.986577151,0.017619384,0.011016002,321.5080765,20.63631069,19.98608214,2.344591382,37.58894952,0.84297358,2.242610103,1.501617802,-13.15446292,-153.9042548,-7.732325419,146.7170333,-4.217172534,0.283672761,1.562089669,417.3843329,420.4184182,-0.757505494,64.70238111,0.298287141,9.229604279,9.342454485,3.37E-06,97.28322741,1,0,1,0,48941,1999.948929,1681.157218,0.840600074,0.160758143,1.91,0.5,0: Broadleaf,2,TRUE,1679505261,418.9953929,417.4299286,9.336067857,9.228722857,421.10175,9.5258775,500.0293929,90.19229286,0.099850746,19.26999643,19.98608214,999.9,0,0,10005.52821,0,13.43415,1.565440714,422.9439643,421.3181071,0.107345964,417.4299286,9.228722857,0.842041357,0.832359714,4.436504286,4.271475714,1999.948929,0.979997464,0.020002643,0,2.181992857,0,5992.448571,16749.025,37.47296429,38.95960714,37.78546429,37.70289286,36.30332143,1959.945,40.00392857,0,1679505276,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,0.9533203,22.80225805,2.918381361,0,0.108724425,-0.000167448,0.004411999,1,1,2,2-Jan,2.98433,2.71565,0.0939337,0.0909038,0.0543623,0.052591,28826.6,29036.1,29563,29534.2,37053.6,37211.4,41639.9,42082.6,1.98295,1.89013,0.0333786,0,19.4331,999.9,25.9,30.2,12.3764,63.1317,33.0889,1,-0.132851,4.58248,20.287,5.21924,12.0122,4.9905,3.28842,9999,9999,9999,999.9,1.86737,1.86645,1.86598,1.86584,1.86768,1.87015,1.86879,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.101,-0.1898,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.2,815.1,0.987549,2.21924,1.39648,2.34619,1.49536,2.43896,35.0364,24.0612,18,527.544,425.744,13.9755,25.5633,30,25.603,25.5599,19.7292,21.1255,11.7202,13.9855,386.607,9.28817,101.093,101.072,NA,5
4,1679505274,15,20230322 12:14:33,12:14:33,5,poa_pra29_t3_ch5,stan,1679505266,0.000303595,0.303594599,1.160029698,416.4138144,303.2253188,27.3786954,37.59866435,0.017980508,3.986685021,0.017935577,0.011213763,321.5134634,20.63531765,19.98742963,2.344787052,37.60824311,0.843409171,2.242617843,1.501377881,-13.3885218,-154.1861226,-7.746332926,146.1924861,-17.25636353,0.293763562,1.160029698,402.6653646,411.5349576,-1.940901626,64.70238111,0.303594599,9.229868273,9.344739758,1.18E-06,97.28322741,0,0,1,0,48931,1999.983704,1681.186344,0.840600022,0.160758042,1.91,0.5,0: Broadleaf,2,TRUE,1679505266,416.4138148,409.8691481,9.34094963,9.229789259,418.5156296,9.530734444,500.0408889,90.19166667,0.099920811,19.27005185,19.98742963,999.9,0,0,10005.96704,0,13.43887037,6.544672185,420.3400741,413.6873333,0.111161815,409.8691481,9.229789259,0.842475741,0.832449926,4.44387037,4.273023333,1999.983704,0.979999,0.020001133,0,2.200592593,0,5992.026667,16749.32593,37.57377778,39.09933333,37.88637037,37.83540741,36.3862963,1959.982593,40.00111111,0,1679505280,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,3.991505341,52.87484043,5.75697442,0,0.108695073,0.039665582,0.004085887,1,1,2,2-Jan,2.98424,2.71537,0.0923332,0.0881659,0.0543725,0.0525894,28878.1,29123.6,29563.5,29534.2,37053.8,37211.3,41640.7,42082.5,1.98305,1.8901,0.0341609,0,19.4334,999.9,25.9,30.2,12.375,63.0517,32.9968,1,-0.132876,4.5734,20.287,5.21864,12.012,4.98985,3.28845,9999,9999,9999,999.9,1.86737,1.86642,1.86597,1.86584,1.86768,1.87015,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.085,-0.1898,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.3,815.2,0.953369,2.21802,1.39648,2.34497,1.49536,2.50366,35.0364,24.0612,18,527.611,425.73,13.9856,25.5633,30,25.603,25.5599,19.0364,20.8521,11.7202,13.9926,366.568,9.28841,101.095,101.072,NA,5
5,1679505279,20,20230322 12:14:38,12:14:38,5,poa_pra29_t3_ch5,stan,1679505271,0.000282419,0.282418656,0.99441733,410.3664996,305.3359567,27.56925574,37.05262588,0.016721496,3.985225794,0.016682615,0.01043012,321.509621,20.64005686,19.990325,2.345207539,37.61915322,0.843661251,2.242637535,1.501546288,-12.45466271,-154.7214661,-7.776196016,146.5572962,-32.84801564,0.282055191,0.99441733,386.2325906,398.6354606,-2.663656659,64.70238111,0.282418656,9.243458889,9.350319273,8.93E-07,97.28322741,1,0,1,0,49011,1999.959643,1681.166132,0.840600028,0.160758054,1.91,0.5,0: Broadleaf,2,TRUE,1679505271,410.3665,397.86375,9.343745714,9.237015714,412.4576071,9.533515714,500.0390714,90.191575,0.099971504,19.27019286,19.990325,999.9,0,0,10000.98107,0,13.44450714,12.50266243,414.2368214,401.5728929,0.106731571,397.86375,9.237015714,0.842727071,0.833100786,4.448129286,4.284156786,1999.959643,0.979999929,0.020000236,0,2.223725,0,5991.747143,16749.12857,37.67160714,39.22082143,37.973,37.95289286,36.464,1959.958571,40.00107143,0,1679505286,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,9.374944175,77.45878427,7.544075722,0,0.107282375,-0.042331824,0.009422036,1,1,2,2-Jan,2.98462,2.71605,0.0900672,0.0852759,0.0544067,0.0527938,28950.2,29215.9,29563.6,29534.3,37052.3,37203.3,41640.5,42082.6,1.98323,1.8898,0.0339746,0,19.4351,999.9,25.9,30.2,12.3767,63.1217,32.6122,1,-0.132937,4.57675,20.2869,5.21969,12.0125,4.99025,3.28853,9999,9999,9999,999.9,1.86737,1.86643,1.86598,1.86584,1.86768,1.87015,1.86876,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.061,-0.1897,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.4,815.3,0.924072,2.22412,1.39648,2.34741,1.49536,2.54883,35.0364,24.0612,18,527.728,425.554,13.9936,25.5633,30.0002,25.603,25.5599,18.4107,20.8521,11.7202,13.9955,353.207,9.28408,101.095,101.072,NA,5
6,1679505284,25,20230322 12:14:43,12:14:43,5,poa_pra29_t3_ch5,stan,1679505276,0.00023347,0.233470064,1.249758482,399.3580366,245.6696617,22.1819116,36.05868384,0.013817475,3.985568998,0.013790917,0.008621705,321.5075152,20.64860644,19.99484815,2.345864557,37.64962596,0.844297504,2.242512328,1.501567053,-10.29602981,-155.8993234,-7.834865432,147.4772966,-47.41976909,0.254677913,1.249758482,369.6344597,383.7012121,-3.030883507,64.70238111,0.233470064,9.280531721,9.368771939,1.38E-05,97.28322741,1,0,1,0,49019,1999.947778,1681.156056,0.840599977,0.160757955,1.91,0.5,0: Broadleaf,2,TRUE,1679505276,399.358037,381.2845926,9.350784815,9.254418519,401.4295926,9.540518148,500.0568519,90.1915963,0.100023115,19.2692963,19.99484815,999.9,0,0,10002.1537,0,13.44434074,18.07338519,403.1273704,384.8458148,0.096367163,381.2845926,9.254418519,0.843362074,0.834670593,4.458881852,4.310983333,1999.947778,0.980001222,0.01999897,0,2.303662963,0,5991.772593,16749.03333,37.77055556,39.34933333,38.06688889,38.08311111,36.55755556,1959.95037,39.99740741,0,1679505291,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,14.74685625,62.83851839,6.277179548,0,0.100443825,-0.129885294,0.015081701,0,0,2,0/2,2.9842,2.71562,0.0874261,0.0823001,0.0544834,0.0528178,29033.8,29310.8,29563.2,29534,37048.8,37202,41640,42082.2,1.98298,1.88993,0.0336766,0,19.4357,999.9,25.9,30.2,12.3758,63.1317,33.0529,1,-0.13283,4.58829,20.2864,5.21939,12.0128,4.99065,3.28845,9999,9999,9999,999.9,1.86737,1.86644,1.86597,1.86584,1.86768,1.87014,1.86876,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.035,-0.1896,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.5,815.4,0.88623,2.22656,1.39648,2.34619,1.49536,2.52563,35.0364,24.0525,18,527.562,425.627,13.9974,25.5633,30,25.603,25.5599,17.6983,20.8521,11.7202,13.9965,333.098,9.28408,101.093,101.072,NA,5
7,1679505289,30,20230322 12:14:48,12:14:48,5,poa_pra29_t3_ch5,stan,1679505281,0.000253267,0.253267264,1.314186272,386.4966066,237.6315259,21.45619497,34.89750156,0.015001144,3.984627377,0.01496984,0.009358957,321.5052745,20.64697828,19.99440714,2.345800491,37.68489587,0.845190694,2.24278368,1.500609796,-11.16908636,-155.3503631,-7.809181929,147.1766431,-54.33559362,0.238329799,1.314186272,352.9036039,367.800297,-3.208931984,64.70238111,0.253267264,9.282626308,9.378403576,7.46E-06,97.28322741,0,0,1,0,48887,1999.935,1681.145218,0.840599928,0.160757862,1.91,0.5,0: Broadleaf,2,TRUE,1679505281,386.4966071,365.7776786,9.360651071,9.270470357,388.5452143,9.550334286,500.0502143,90.19183214,0.100038371,19.27123929,19.99440714,999.9,0,0,9998.903929,0,13.44635714,20.71879643,390.1483571,369.2002143,0.090181093,365.7776786,9.270470357,0.844254214,0.836120607,4.473976071,4.335760357,1999.935,0.980002393,0.019997807,0,2.363632143,0,5991.861429,16748.92857,37.86357143,39.46182143,38.14485714,38.19175,36.64035714,1959.941071,39.99392857,0,1679505295,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,18.4244039,38.45207854,4.017910137,0,0.09645029,-0.102093548,0.014201059,0,0,2,0/2,2.98438,2.71574,0.0845788,0.079245,0.0545272,0.0528183,29124.1,29408,29562.9,29533.7,37046.4,37201.7,41639.4,42082.1,1.98317,1.88965,0.0332668,0,19.4368,999.9,25.9,30.2,12.3756,63.1417,32.7003,1,-0.132993,4.59066,20.2864,5.22014,12.0128,4.99085,3.28865,9999,9999,9999,999.9,1.86737,1.86644,1.86598,1.86584,1.86768,1.87015,1.86876,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.006,-0.1896,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.5,815.4,0.854492,2.22656,1.39648,2.34619,1.49536,2.52686,35.0364,24.0612,18,527.693,425.466,13.9982,25.5633,30.0002,25.603,25.5599,17.0627,20.8521,11.7202,14.0042,319.729,9.28408,101.092,101.071,NA,5
8,1679505294,35,20230322 12:14:53,12:14:53,5,poa_pra29_t3_ch5,stan,1679505286,0.000266571,0.266571456,1.375006231,370.5008884,223.0264627,20.13756719,33.45336891,0.015805945,3.985256877,0.015771201,0.009860116,321.5092358,20.64548152,19.99224074,2.345485794,37.73142144,0.846302358,2.242964419,1.499183436,-11.75580119,-154.6314171,-7.77177914,147.3502384,-58.30021137,0.240457368,1.375006231,336.0837591,351.3774667,-3.296649928,64.70238111,0.266571456,9.282339569,9.383172606,3.84E-06,97.28322741,0,0,1,0,48932,1999.961111,1681.167044,0.840599867,0.160757744,1.91,0.5,0: Broadleaf,2,TRUE,1679505286,370.5008889,348.2673333,9.372920741,9.28193963,372.5209259,9.562541111,500.0695556,90.19223704,0.100040156,19.27253333,19.99224074,999.9,0,0,10001.01407,0,13.44125556,22.23359259,374.0061852,351.5301111,0.090980996,348.2673333,9.28193963,0.845364667,0.837158852,4.492757778,4.353491111,1999.961111,0.980003778,0.019996422,0,2.28027037,0,5992.108889,16749.15185,37.9672963,39.58303704,38.23585185,38.31918519,36.72888889,1959.970741,39.99037037,0,1679505301,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,21.3150275,16.90195835,1.731129414,0,0.091976353,0.019931958,0.009995917,1,1,2,2-Jan,2.98454,2.71562,0.0815804,0.0761345,0.0545472,0.0528169,29219.6,29507.7,29563,29534.1,37045.8,37202.3,41639.6,42082.7,1.98347,1.88995,0.0331923,0,19.4358,999.9,25.9,30.2,12.3758,63.3017,32.6923,1,-0.132886,4.56091,20.2872,5.21939,12.0126,4.9907,3.2885,9999,9999,9999,999.9,1.86737,1.86645,1.86597,1.86584,1.86768,1.87015,1.86875,1.87026,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.977,-0.1896,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.6,815.5,0.825195,2.22534,1.39648,2.34375,1.49536,2.52075,35.0364,24.0612,18,527.89,425.642,14.0019,25.5633,30,25.603,25.5601,16.3449,20.8521,11.7202,14.0117,299.683,9.28408,101.093,101.072,NA,5
9,1679505299,40,20230322 12:14:58,12:14:58,5,poa_pra29_t3_ch5,stan,1679505291,0.000283437,0.283436558,0.951674257,355.4361068,256.4606841,23.15654417,32.09330871,0.016819944,3.985179615,0.016780605,0.010491405,321.511545,20.64398593,19.98993571,2.345151,37.7583587,0.846999727,2.243211189,1.498151273,-12.49955222,-153.75362,-7.727789399,147.5305834,-59.88710567,0.261048922,0.951674257,319.2812572,334.7979879,-3.308985467,64.70238111,0.283436558,9.280825325,9.388037576,4.61E-06,97.28322741,1,0,1,0,48908,1999.975714,1681.1793,0.840599857,0.160757725,1.91,0.5,0: Broadleaf,2,TRUE,1679505291,355.4361071,332.5969643,9.380593571,9.281818214,357.42925,9.570174643,500.0500714,90.1928,0.099964582,19.2743,19.98993571,999.9,0,0,10000.68714,0,13.44098214,22.83918214,358.80175,335.7128929,0.098774575,332.5969643,9.281818214,0.846061964,0.837153179,4.504541429,4.353394286,1999.975714,0.980005179,0.019995021,0,2.320239286,0,5992.1275,16749.28571,38.06217857,39.68496429,38.31446429,38.42382143,36.80332143,1959.985714,39.99,0,1679505306,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,22.29279268,9.033098258,0.959818823,0,0.093107022,0.098550121,0.009884088,1,1,2,2-Jan,2.98424,2.7156,0.0784986,0.0729568,0.0545648,0.0528085,29317,29609.1,29562.4,29534,37044.2,37202.2,41638.6,42082.3,1.98272,1.88975,0.0336021,0,19.4351,999.9,25.9,30.2,12.3743,63.0717,33.0288,1,-0.133346,4.5471,20.2874,5.21969,12.0111,4.99065,3.2885,9999,9999,9999,999.9,1.86737,1.86643,1.86599,1.86584,1.86768,1.87014,1.86875,1.87026,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.947,-0.1895,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.7,815.6,0.786133,2.23022,1.39648,2.34497,1.49536,2.50854,35.0364,24.0525,18,527.397,425.529,14.01,25.5633,30.0001,25.603,25.5606,15.6993,20.8521,11.7202,14.0182,286.317,9.28408,101.09,101.072,NA,5
10,1679505304,45,20230322 12:15:03,12:15:03,5,poa_pra29_t3_ch5,stan,1679505296,0.00028792,0.287919824,1.312889619,338.1999624,207.6542863,18.74976397,30.53714702,0.017088992,3.985018958,0.017048384,0.01065888,321.51096,20.64495463,19.99150741,2.345379276,37.77346502,0.84743338,2.243462122,1.497945896,-12.69726425,-153.6991678,-7.725497386,147.3890305,-60.65945504,0.276198938,1.312889619,302.6779769,318.1574182,-3.330299424,64.70238111,0.287919824,9.279829217,9.388772121,-4.53E-07,97.28322741,1,0,1,0,48839,1999.971111,1681.175511,0.840599897,0.160757802,1.91,0.5,0: Broadleaf,2,TRUE,1679505296,338.199963,315.0665185,9.385354074,9.280848889,340.1623333,9.574911852,500.0601852,90.19321852,0.099952426,19.2760963,19.99150741,999.9,0,0,10000.09074,0,13.4362037,23.13351852,341.4041481,318.0179259,0.104505604,315.0665185,9.280848889,0.846495296,0.837069556,4.511859259,4.35197,1999.971111,0.980004,0.019996137,0,2.380737037,0,5992.138889,16749.23704,38.15948148,39.796,38.40251852,38.55059259,36.8862963,1959.978889,39.99259259,0,1679505310,0,0,--:--:--,1679456356,1679456363,0,-0.19,0.035,-1.68,-0.046,420,23,0.43,0.22,22.8806561,3.853511498,0.427399621,0,0.100316415,0.070381614,0.007094761,1,1,2,2-Jan,2.98432,2.71534,0.0753404,0.0697268,0.0545682,0.0528035,29417.9,29712.6,29562.8,29534.4,37044.8,37202.7,41639.5,42082.7,1.98288,1.88997,0.0341237,0,19.4361,999.9,25.9,30.2,12.376,63.2017,32.9207,1,-0.133308,4.54171,20.2873,5.21909,12.0123,4.99055,3.2884,9999,9999,9999,999.9,1.86737,1.86644,1.86599,1.86584,1.86768,1.87014,1.86876,1.87026,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-1.918,-0.1895,-1.335109703,-0.00190565,2.12E-07,-8.58E-11,-0.15728077,-0.014128578,0.001356119,-2.43E-05,3,2340,1,26,815.8,815.7,0.749512,2.23145,1.39648,2.34375,1.49536,2.51465,35.0594,24.0612,18,527.495,425.672,14.0176,25.5628,30.0001,25.603,25.562,14.9605,20.8521,11.7202,14.0228,266.142,9.28408,101.092,101.073,NA,5
