obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1679507809,0,20230322 12:56:49,12:56:49,5,pas_smi30_t3_ch5,gibson,1679507801,0.001911654,1.91165392,9.994860385,417.1954488,266.3409374,23.99640715,37.58788248,0.11438819,4.231718349,0.112697783,0.070585909,321.5209269,20.59855089,19.99952258,2.346543719,36.91542172,0.845337686,2.289931002,1.501206033,-84.30393789,-89.83653781,-4.259637024,143.1208141,9.31619856,1.900652326,9.994860385,423.6394891,421.0018667,-0.024987519,67.26787738,1.91165392,8.865562577,9.384172424,3.97E-06,129.4755916,1,0,1,0,48837,2000.026774,1681.222829,0.840600161,0.160758311,1.37,0.5,0: Broadleaf,2,TRUE,1679507801,417.1954516,419.964129,9.382572581,8.86690871,416.3393871,9.493792258,500.2216774,89.99654194,0.100036497,19.60574516,19.99952258,999.9,0,0,10011.94129,0,10.57655161,-2.76864871,421.1469355,423.7212258,0.515664613,419.964129,8.86690871,0.844399097,0.797991065,4.476438065,3.671617097,2000.026774,0.979993581,0.020006535,0,2.629380645,0,3032.710645,16705.5871,40.875,43.125,42.062,41.125,40.062,1960.015484,40.01129032,0,1679507832,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,-2.83006425,0.851826754,0.125440475,0,0.5154961,0.007800856,0.001503011,1,1,2,2-Jan,2.88396,2.7104,0.0907256,0.0912692,0.0519222,0.049439,25715.8,22404.9,25296.9,24000.8,40927.1,37737.8,45695.5,42774.5,1.81788,1.88048,0.0303239,0,19.4886,999.9,27.536,28.178,11.732,54.612,45.9856,1,-0.201222,3.63817,20.2092,5.23481,11.987,4.9573,3.30398,9999,9999,9999,999.9,1.86813,1.86374,1.87148,1.86218,1.86157,1.86813,1.85822,1.86476,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.856,-0.1112,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865,864.9,1.04004,2.35229,1.44775,2.30591,1.44409,2.45483,32.5097,14.456,18,426.788,449.975,15.3251,24.701,29.9999,24.7266,24.6976,20.7923,26.2841,12.6718,15.3244,413.233,8.91997,96.7401,100.599,NA,5
2,1679507814,5,20230322 12:56:54,12:56:54,5,pas_smi30_t3_ch5,gibson,1679507806,0.00190593,1.905929834,10.0373105,417.1245834,265.3217072,23.90442267,37.58125353,0.114089119,4.237202136,0.112409611,0.070404844,321.5219821,20.6008166,19.99504138,2.345892629,36.91034508,0.845349234,2.290277245,1.500543394,-84.05150567,-88.37323966,-4.184787151,144.9124496,8.852943103,1.904469151,10.0373105,423.6668918,420.9190727,-0.005192503,67.26787738,1.905929834,8.866258329,9.383378667,-1.79E-06,129.4755916,1,0,1,0,48874,2000.033103,1681.228169,0.840600171,0.16075833,1.37,0.5,0: Broadleaf,2,TRUE,1679507806,417.1245862,419.7668276,9.382761724,8.866054483,416.2684828,9.49397931,500.214,89.99605172,0.099941241,19.60817931,19.99504138,999.9,0,0,10029.3269,0,10.585,-2.64218069,421.0753793,423.5217586,0.51670869,419.7668276,8.866054483,0.844411655,0.797909931,4.476649655,3.670173793,2000.033103,0.979993345,0.020006724,0,2.619372414,0,3032.576552,16705.64138,40.875,43.125,42.062,41.125,40.062,1960.021034,40.01206897,0,1679507836,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,-2.72119525,0.890080863,0.20441473,0,0.5162388,0.015116308,0.001871342,1,1,2,2-Jan,2.88384,2.71052,0.0907004,0.0908676,0.0519144,0.0494319,25716.9,22415.4,25297.3,24001.4,40927.7,37738.9,45695.7,42775.4,1.81767,1.8807,0.030268,0,19.4904,999.9,27.512,28.178,11.7227,54.562,46.1899,1,-0.201141,3.65387,20.2089,5.23421,11.9869,4.9572,3.30393,9999,9999,9999,999.9,1.86813,1.86374,1.87149,1.86218,1.86157,1.86813,1.85822,1.86475,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.856,-0.1112,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.1,865,1.01318,2.34985,1.44775,2.30591,1.44409,2.45972,32.5097,14.456,18,426.669,450.093,15.3254,24.701,30,24.7255,24.6955,20.3027,26.0079,12.6718,15.325,399.786,8.91997,96.741,100.601,NA,5
3,1679507819,10,20230322 12:56:59,12:56:59,5,pas_smi30_t3_ch5,gibson,1679507811,0.00191603,1.916029593,9.215021134,416.6255688,277.0614666,24.96205186,37.53617991,0.11472207,4.229550098,0.113021002,0.070788859,321.5206361,20.59977816,19.99420714,2.345771437,36.91638208,0.845441135,2.290151655,1.500330302,-84.49690507,-88.22473715,-4.185276544,144.6137173,0.773268956,1.907026495,9.215021134,417.1119412,417.9832606,-0.687370192,67.26787738,1.916029593,8.866310377,9.386114303,-9.17E-08,129.4755916,1,0,1,0,48812,2000.024643,1681.221064,0.840600175,0.160758337,1.37,0.5,0: Broadleaf,2,TRUE,1679507811,416.6255714,417.0549286,9.383810357,8.866448571,415.7697857,9.495013214,500.2514643,89.99565714,0.100061207,19.60729643,19.99420714,999.9,0,0,10005.18964,0,10.58286786,-0.42930725,420.5721071,420.7858214,0.517362679,417.0549286,8.866448571,0.844502286,0.797941964,4.478183214,3.670742857,2000.024643,0.979993143,0.020006886,0,2.624696429,0,3032.544286,16705.575,40.875,43.125,42.062,41.125,40.062,1960.0125,40.01214286,0,1679507841,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,-1.110479244,23.15463905,3.06940487,0,0.516564195,0.007933275,0.001944611,1,1,2,2-Jan,2.88385,2.70989,0.0901226,0.0886704,0.0519295,0.0494641,25733.4,22469.4,25297.4,24001.3,40927.2,37737.5,45695.9,42775.3,1.81785,1.88067,0.0303611,0,19.4924,999.9,27.512,28.188,11.7297,54.5721,46.1178,1,-0.201128,3.64746,20.209,5.23541,11.9872,4.95735,3.304,9999,9999,9999,999.9,1.86813,1.86375,1.87149,1.86218,1.86157,1.86813,1.85822,1.86473,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.853,-0.1112,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.1,865,0.983887,2.38525,1.44897,2.30591,1.44409,2.2522,32.5097,14.4472,18,426.765,450.078,15.327,24.7005,30,24.7255,24.6955,19.6221,26.0079,12.6718,15.3291,379.661,8.91997,96.7414,100.601,NA,5
4,1679507824,15,20230322 12:57:04,12:57:04,5,pas_smi30_t3_ch5,gibson,1679507817,0.001908111,1.908111317,9.291916872,413.9319233,272.7961166,24.57754571,37.29316565,0.114213211,4.229725785,0.112527149,0.07047888,321.5226779,20.5990955,19.9976963,2.346278352,36.9286157,0.845610212,2.289850828,1.50066814,-84.14770906,-89.50632155,-4.245926962,143.6227203,-18.84887491,1.906265451,9.291916872,401.5554691,408.7853273,-1.970476806,67.26787738,1.908111317,8.872262255,9.389901818,3.70E-06,129.4755916,1,0,1,0,48766,2000.037407,1681.231789,0.840600172,0.160758332,1.37,0.5,0: Broadleaf,2,TRUE,1679507817,413.9319259,408.9858148,9.38576963,8.868593333,413.0781111,9.496943333,500.2301852,89.99495926,0.099965896,19.60518148,19.9976963,999.9,0,0,10005.82222,0,10.58612593,4.946129148,417.8537778,412.6454074,0.517176889,408.9858148,8.868593333,0.844672111,0.798128889,4.481054815,3.674065926,2000.037407,0.979993222,0.020006822,0,2.645844444,0,3032.974444,16705.68889,40.875,43.125,42.062,41.125,40.062,1960.025185,40.01222222,0,1679507846,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,1.776348561,53.48807289,5.914940208,0,0.517134268,-0.003768209,0.001414213,1,1,2,2-Jan,2.8845,2.71022,0.0885161,0.0859037,0.0519427,0.0494591,25778.7,22537.9,25297.2,24001.7,40926.8,37737.8,45696.2,42775.5,1.81795,1.8804,0.0312887,0,19.4949,999.9,27.512,28.178,11.7215,54.4321,45.0721,1,-0.201148,3.65116,20.2089,5.23451,11.9881,4.95685,3.304,9999,9999,9999,999.9,1.86813,1.86375,1.87149,1.86218,1.86158,1.86813,1.85822,1.86476,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.846,-0.1111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.2,865.1,0.948486,2.38281,1.44897,2.30591,1.44409,2.35107,32.5097,14.456,18,426.821,449.911,15.3308,24.701,30,24.7255,24.6955,18.992,26.0079,12.6718,15.3314,366.249,8.91997,96.7415,100.602,NA,5
5,1679507829,20,20230322 12:57:09,12:57:09,5,pas_smi30_t3_ch5,gibson,1679507821,0.001918067,1.918066556,8.657465635,407.7308904,276.2795481,24.8911933,36.73420084,0.114824515,4.228126518,0.113119867,0.070850965,321.5235587,20.59668103,19.99833929,2.346371778,36.93872593,0.845792409,2.289717331,1.500579369,-84.58673511,-89.83300278,-4.263029217,142.8407916,-41.89010845,1.907474399,8.657465635,384.9158074,395.7655939,-2.663206726,67.26787738,1.918066556,8.871494169,9.391902182,-1.75E-06,129.4755916,1,0,1,0,48874,2000.043214,1681.236643,0.840600158,0.160758306,1.37,0.5,0: Broadleaf,2,TRUE,1679507821,407.7308929,396.4709286,9.387864286,8.870344643,406.88175,9.499006786,500.2142857,89.99425357,0.099976979,19.60424286,19.99833929,999.9,0,0,10000.84893,0,10.58114643,11.25993382,411.5948929,400.0193214,0.517519429,396.4709286,8.870344643,0.844853929,0.798280143,4.484128571,3.676756071,2000.043214,0.979993571,0.020006543,0,2.638767857,0,3033.937857,16705.73571,40.875,43.1205,42.062,41.125,40.062,1960.031786,40.01142857,0,1679507851,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,6.597791976,79.2256476,7.967639733,0,0.517576366,0.000367505,0.001493573,1,1,2,2-Jan,2.88411,2.71049,0.0862883,0.0830528,0.0519508,0.0494601,25841.6,22607.7,25297.2,24001.2,40926.1,37737.1,45695.8,42774.8,1.81802,1.88043,0.0297539,0,19.4978,999.9,27.512,28.188,11.7286,53.9621,45.3766,1,-0.201296,3.67116,20.2086,5.23541,11.9882,4.9573,3.30398,9999,9999,9999,999.9,1.86813,1.86378,1.87149,1.86218,1.86157,1.86813,1.85822,1.86474,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.837,-0.1111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.3,865.2,0.917969,2.36084,1.44775,2.30713,1.44409,2.44507,32.5097,14.456,18,426.863,449.926,15.3322,24.701,30,24.7255,24.6955,18.3984,26.0079,12.6718,15.3284,352.707,8.91997,96.741,100.6,NA,5
6,1679507834,25,20230322 12:57:14,12:57:14,5,pas_smi30_t3_ch5,gibson,1679507827,0.001923317,1.923316694,8.696969209,396.5842938,265.2526628,23.89771779,35.72993173,0.115179686,4.229660516,0.113465172,0.071067649,321.5233606,20.5972937,19.99702963,2.346181489,36.94667718,0.84607576,2.289991482,1.500105729,-84.8182662,-89.12742494,-4.228025384,143.349644,-62.87337103,1.914462247,8.696969209,368.3953477,380.8853576,-2.995208772,67.26787738,1.923316694,8.871366943,9.393188545,1.28E-06,129.4755916,1,0,1,0,48629,2000.042222,1681.235789,0.840600148,0.160758286,1.37,0.5,0: Broadleaf,2,TRUE,1679507827,396.5842963,379.5717037,9.391015926,8.871583333,395.7436296,9.502111852,500.1962593,89.99420741,0.099959919,19.60617037,19.99702963,999.9,0,0,10005.69963,0,10.57962593,17.01258889,400.344,382.9692963,0.519433,379.5717037,8.871583333,0.845137074,0.798391074,4.488915926,3.678728519,2000.042222,0.979993815,0.020006348,0,2.653788889,0,3035.528148,16705.72593,40.875,43.12033333,42.062,41.125,40.062,1960.031481,40.01074074,0,1679507856,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,12.0780388,72.09871526,7.35949983,0,0.518295634,0.015892244,0.002196676,1,1,2,2-Jan,2.884,2.71002,0.083754,0.0803085,0.0519546,0.0494541,25913.4,22675.3,25297.4,24001.1,40925.7,37737.2,45695.7,42774.7,1.81787,1.88022,0.0291169,0,19.4999,999.9,27.512,28.178,11.721,53.7621,45.7973,1,-0.200991,3.66781,20.2088,5.23526,11.9881,4.95725,3.30398,9999,9999,9999,999.9,1.86813,1.86373,1.87149,1.86218,1.86158,1.86812,1.85822,1.86473,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.825,-0.1111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.4,865.3,0.883789,2.36084,1.44775,2.30713,1.44409,2.44751,32.5097,14.4472,18,426.779,449.805,15.3296,24.701,30.0002,24.7255,24.6955,17.7041,26.0079,12.6718,15.3297,332.509,8.91997,96.7411,100.6,NA,5
7,1679507839,30,20230322 12:57:19,12:57:19,5,pas_smi30_t3_ch5,gibson,1679507831,0.001930561,1.930561352,8.070035037,383.7830334,262.009192,23.60560644,34.57676877,0.115710622,4.223748535,0.113978011,0.071389764,321.516807,20.60125395,19.99016071,2.345183679,36.94239376,0.846188121,2.290561154,1.498995558,-85.13775562,-86.52682478,-4.11034303,145.7418836,-71.8136727,1.922286583,8.070035037,352.5805382,365.6191576,-3.070865595,67.26787738,1.930561352,8.869554239,9.39334703,-2.18E-06,129.4755916,1,0,1,0,48803,2000.001429,1681.2015,0.84060015,0.160758289,1.37,0.5,0: Broadleaf,2,TRUE,1679507831,383.7830357,364.3168929,9.392220714,8.870693214,382.9522143,9.503299286,500.2225,89.99453214,0.100041489,19.610175,19.99016071,999.9,0,0,9986.992857,0,10.5757,19.466075,387.4218571,367.5776786,0.521528571,364.3168929,8.870693214,0.845248571,0.798313857,4.490800714,3.677356071,2000.001429,0.979993571,0.020006543,0,2.622339286,0,3037.190357,16705.38571,40.875,43.1205,42.062,41.125,40.062,1959.991429,40.01,0,1679507861,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,16.8631061,39.49073937,4.216678761,0,0.519706195,0.029176014,0.002940623,1,1,2,2-Jan,2.88386,2.70994,0.0810935,0.0773958,0.051959,0.0494466,25988.5,22747.4,25297.2,24001.5,40925.3,37738,45695.5,42775.3,1.81795,1.8805,0.029318,0,19.5012,999.9,27.512,28.178,11.7216,54.3121,46.1458,1,-0.201108,3.62634,20.2095,5.23481,11.9893,4.9573,3.30393,9999,9999,9999,999.9,1.86813,1.86377,1.87149,1.86218,1.86157,1.86813,1.85822,1.86474,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.813,-0.1111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.5,865.4,0.852051,2.38892,1.44897,2.30591,1.44409,2.26196,32.5097,14.4385,18,426.809,449.972,15.3319,24.701,30,24.7239,24.6955,17.064,26.0079,12.6718,15.3411,318.87,8.91997,96.7406,100.601,NA,5
8,1679507844,35,20230322 12:57:24,12:57:24,5,pas_smi30_t3_ch5,gibson,1679507837,0.001940219,1.940219099,8.345038796,368.0915902,243.572456,21.94472798,33.16331391,0.116356448,4.225711556,0.114605401,0.071783505,321.5131129,20.6002199,19.98578519,2.344548263,36.94383268,0.846284494,2.290732804,1.498263768,-85.56366225,-85.29536436,-4.04989607,146.6041902,-76.82049507,1.930815804,8.345038796,335.9308886,349.6010182,-3.213138247,67.26787738,1.940219099,8.868135491,9.394512303,1.66E-06,129.4755916,1,0,1,0,48710,1999.978148,1681.181956,0.840600162,0.160758313,1.37,0.5,0: Broadleaf,2,TRUE,1679507837,368.0915926,347.2467407,9.393217037,8.869374815,367.2732593,9.504281111,500.2213333,89.99532593,0.099951422,19.61138148,19.98578519,999.9,0,0,9993.102963,0,10.57552963,20.84478519,371.582037,350.3542222,0.523844148,347.2467407,8.869374815,0.84534563,0.798202259,4.492442593,3.675371111,1999.978148,0.979993074,0.020006941,0,2.613351852,0,3039.265556,16705.19259,40.875,43.125,42.062,41.125,40.062,1959.967778,40.01037037,0,1679507866,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,19.59161463,18.60199233,1.966373245,0,0.522017122,0.024985965,0.002509184,1,1,2,2-Jan,2.88419,2.71048,0.0782642,0.0744506,0.0519677,0.0494405,26068.2,22819.8,25297,24001.2,40925.1,37738,45695.8,42775.1,1.81775,1.88043,0.0290833,0,19.502,999.9,27.512,28.188,11.729,54.7421,45.5529,1,-0.201382,3.59708,20.2101,5.23511,11.9873,4.9572,3.304,9999,9999,9999,999.9,1.86813,1.86374,1.87147,1.86218,1.86158,1.86813,1.85822,1.86475,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.799,-0.111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.6,865.5,0.817871,2.39624,1.44897,2.30591,1.44409,2.2937,32.5097,14.4385,18,426.694,449.909,15.3426,24.701,30,24.7234,24.6935,16.3444,26.0079,12.6718,15.352,298.718,8.91997,96.7407,100.6,NA,5
9,1679507849,40,20230322 12:57:29,12:57:29,5,pas_smi30_t3_ch5,gibson,1679507841,0.001940051,1.940051314,6.94022101,353.508248,248.7277564,22.40935237,31.84964561,0.116401629,4.226212887,0.114649438,0.071811129,321.5163924,20.60044247,19.98121429,2.343884636,36.94427365,0.846309836,2.290774057,1.4975748,-85.55626295,-84.19797093,-3.997228959,147.7649295,-79.38391533,1.937778908,6.94022101,319.5647458,333.5910061,-3.206626993,67.26787738,1.940051314,8.866064504,9.392446,-2.63E-06,129.4755916,1,0,1,0,48737,1999.998571,1681.199121,0.840600161,0.160758311,1.37,0.5,0: Broadleaf,2,TRUE,1679507841,353.50825,331.9539643,9.393432857,8.867693571,352.7019643,9.504493214,500.2136786,89.99595,0.099955221,19.61167143,19.98121429,999.9,0,0,9994.616786,0,10.5756,21.55425357,356.8604643,334.9240357,0.525740107,331.9539643,8.867693571,0.845370929,0.798056571,4.492870357,3.672781786,1999.998571,0.979993143,0.020006886,0,2.615878571,0,3041.173929,16705.37143,40.875,43.125,42.062,41.125,40.062,1959.987857,40.01071429,0,1679507871,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,20.91207317,9.764563066,0.985990483,0,0.524277366,0.026460272,0.002672031,1,1,2,2-Jan,2.88446,2.71023,0.075364,0.0712548,0.0519571,0.0494308,26150.2,22898.2,25296.9,24000.8,40925,37737.5,45695.3,42774.2,1.81813,1.88015,0.0277571,0,19.5038,999.9,27.487,28.178,11.711,54.2121,45.0521,1,-0.201126,3.57796,20.2106,5.23511,11.9866,4.95725,3.30395,9999,9999,9999,999.9,1.86813,1.8638,1.87149,1.86218,1.86158,1.86813,1.85822,1.86474,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.785,-0.1111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.6,865.5,0.783691,2.38647,1.44775,2.30591,1.44409,2.39868,32.5097,14.456,18,426.903,449.743,15.3547,24.701,30.0002,24.7234,24.6935,15.6926,26.0079,12.6718,15.3627,285.264,8.91997,96.7399,100.598,NA,5
10,1679507854,45,20230322 12:57:34,12:57:34,5,pas_smi30_t3_ch5,gibson,1679507847,0.001951173,1.951173202,7.228462213,336.6982572,229.0148571,20.63345962,30.33536768,0.117124427,4.230566342,0.115352382,0.072252217,321.518594,20.59367941,19.97738148,2.343328297,36.95377299,0.846330339,2.290240673,1.496997957,-86.0467382,-84.26563704,-3.99616948,147.2100493,-81.91012434,1.945724373,7.228462213,302.2899654,316.8951879,-3.338826816,67.26787738,1.951173202,8.863986045,9.393367879,2.63E-06,129.4755916,1,0,1,0,48785,2000.012222,1681.2106,0.840600163,0.160758315,1.37,0.5,0: Broadleaf,2,TRUE,1679507847,336.6982593,314.4424815,9.393588148,8.86565963,335.9063704,9.504645926,500.1818148,89.9967,0.099898452,19.60792222,19.97738148,999.9,0,0,10008.28407,0,10.58328148,22.25577407,339.8911111,317.2552222,0.527927815,314.4424815,8.86565963,0.845391963,0.797880185,4.493225185,3.669646296,2000.012222,0.979993074,0.020006941,0,2.639981481,0,3043.38963,16705.48519,40.875,43.12033333,42.062,41.125,40.062,1960.001111,40.01111111,0,1679507876,0,0,--:--:--,1679455910,1679455916,0,-0.539,0.074,0.717,0.409,420,24,0.54,0.17,21.83585366,8.078502439,0.825074573,0,0.526740732,0.024874892,0.002530552,1,1,2,2-Jan,2.88407,2.71016,0.0722993,0.0681576,0.0519596,0.0494221,26236.6,22974,25296.7,24000.3,40924.8,37736.9,45695.2,42773.2,1.81795,1.88028,0.029128,0,19.5054,999.9,27.512,28.178,11.7222,54.1921,45.2564,1,-0.201517,3.51922,20.2117,5.23436,11.9863,4.9571,3.3039,9999,9999,9999,999.9,1.86813,1.86382,1.87149,1.86218,1.86159,1.86813,1.85822,1.86477,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.77,-0.1111,0.361943753,0.001761802,-1.65E-06,6.46E-10,-0.069072524,-0.026005644,0.002501635,-2.42E-05,2,2088,1,25,865.7,865.6,0.74707,2.37427,1.44775,2.30591,1.44409,2.43652,32.5097,14.456,18,426.805,449.818,15.3686,24.701,29.9999,24.7234,24.6935,14.938,26.0079,12.6718,15.3859,264.529,8.91997,96.7395,100.596,NA,5
