obs,time,elapsed,date,hhmmss,averaging,id,machine,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,CO2_hrs,AccCO2_soda,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1679592152,0,20230323 12:22:31,12:22:31,5,pas_smi32_t4_ch5,gibson,1679592144,0.001625884,1.625884429,12.0109126,416.5403633,207.4987729,18.67521078,37.48927753,0.096858579,4.223395432,0.095641242,0.059883874,321.5176554,20.64740266,20.01903,2.34937987,36.98110692,0.846534251,2.289099276,1.50284562,-71.70150332,-95.43317889,-4.534238924,149.8487343,12.14626774,1.629373513,12.0109126,423.8612896,420.5202,0.004129622,67.30026882,1.625884429,8.965404114,9.406630699,5.14E-06,129.359545,6,1,1,0,48748,2000.014,1681.21146,0.840599846,0.160757702,1.37,0.5,0: Broadleaf,2,TRUE,1679592144,416.5403667,420.0542,9.405774333,8.963551333,415.9892,9.514448667,500.0295667,89.90156,0.09998806,19.59989667,20.01903,999.9,0,0,9996.205,0,10.43786,-3.513763,420.4954667,423.8533333,0.442222033,420.0542,8.963551333,0.845593733,0.805837367,4.496636333,3.810548,2000.014,0.980006,0.0199944,0,2.550193333,0,3020.285,16705.55667,43.562,45.9454,44.8141,43.9958,42.5746,1960.024,39.99,0,1679592175,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,-3.506610244,0.023176307,0.03764366,1,0.443360732,-0.020504321,0.002153311,1,2,2,2-Feb,2.85283,2.71027,0.0898094,0.0904127,0.0514819,0.0493705,25467.6,22240.8,25043.6,23818,40571.6,37471.1,45285.6,42477.1,1.76415,1.82262,-0.00737607,0,20.1269,999.9,55.994,29.416,25.6567,57.0528,44.8998,1,0.0910137,6.75392,20.1046,5.23556,11.992,4.9573,3.304,9999,999.9,9999,9999,1.86844,1.86404,1.87174,1.86249,1.86196,1.86844,1.85852,1.86498,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.551,-0.1087,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,971.7,971.6,1.03271,2.35474,1.44775,2.31445,1.44409,2.39136,34.8985,24.2626,18,421.834,442.982,13.8806,28.2938,30,28.2005,28.1779,20.7296,74.8981,0,13.8732,413.332,8.95521,95.8366,99.8754,NA,5
2,1679592157,5,20230323 12:22:36,12:22:36,5,pas_smi32_t4_ch5,gibson,1679592149,0.001622181,1.622180612,12.81155659,416.5285136,193.915157,17.45300743,37.48894803,0.096680003,4.224719037,0.095467496,0.059774857,321.5136049,20.64356931,20.01455517,2.348729017,36.99109433,0.846542527,2.288503604,1.502186491,-71.53816499,-95.39816194,-4.530954011,150.0463239,11.67337945,1.6235202,12.81155659,423.8374953,420.3985152,-0.020709016,67.30026882,1.622180612,8.965739016,9.406172587,-1.67E-05,129.359545,6,1,1,0,48816,1999.988621,1681.190141,0.840599853,0.160757717,1.37,0.5,0: Broadleaf,2,TRUE,1679592149,416.5285172,419.9121379,9.405681379,8.965043793,415.9773448,9.514357241,500.0259655,89.90332759,0.099989831,19.5957069,20.01455517,999.9,0,0,10000.19172,0,10.45594138,-3.38362,420.4833793,423.7106552,0.440636724,419.9121379,8.965043793,0.845602,0.805987414,4.496776897,3.813193103,1999.988621,0.980005724,0.019994621,0,2.563851724,0,3020.153448,16705.33793,43.56417241,45.94786207,44.82286207,43.99131034,42.57068966,1959.998621,39.99,0,1679592180,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,-3.466537805,0.87858669,0.185872721,0,0.441686195,-0.017788537,0.001896161,1,1,2,2-Jan,2.85296,2.71029,0.0897855,0.0900499,0.0514804,0.0493823,25468.3,22249.9,25043.7,23818.2,40571.9,37470.9,45285.8,42477.4,1.76427,1.82278,-0.00780821,0,20.126,999.9,55.994,29.416,25.6589,56.9428,44.6995,1,0.090968,6.73015,20.1053,5.23466,11.992,4.9569,3.3039,9999,999.9,9999,9999,1.86844,1.86406,1.87174,1.86249,1.86195,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.551,-0.1087,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,971.8,971.7,1.00952,2.36572,1.44775,2.31445,1.44409,2.38159,34.8985,24.2714,18,421.908,443.087,13.8664,28.2938,30,28.201,28.1797,20.2045,74.8981,0,13.8691,399.889,8.95523,95.8369,99.8763,NA,5
3,1679592162,10,20230323 12:22:41,12:22:41,5,pas_smi32_t4_ch5,gibson,1679592154,0.00162372,1.623720205,11.35812933,416.153104,217.9376026,19.61529209,37.45551292,0.096882793,4.225860532,0.095665553,0.05989906,321.513711,20.63725373,20.00376429,2.347160158,37.00833824,0.846633956,2.287684335,1.500526202,-71.60606104,-94.27869854,-4.476195641,151.1527558,3.729172328,1.620635896,11.35812933,417.6919925,417.7656909,-0.646411991,67.30026882,1.623720205,8.968533182,9.409071678,1.63E-05,129.359545,6,1,1,0,48752,1999.989286,1681.1907,0.840599853,0.160757717,1.37,0.5,0: Broadleaf,2,TRUE,1679592154,416.1531071,417.3596429,9.406608571,8.966750357,415.6021786,9.51527,500.0215714,89.90419286,0.099972829,19.58994286,20.00376429,999.9,0,0,10003.70357,0,10.4607,-1.206535286,420.1047857,421.1357857,0.43985775,417.3596429,8.966750357,0.845693536,0.806148429,4.498322857,3.8160325,1999.989286,0.980005714,0.019994629,0,2.521521429,0,3020.139643,16705.33929,43.57325,45.9505,44.83675,43.991,42.58225,1959.999286,39.99,0,1679592184,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,-2.3638197,16.86756786,2.307774688,0,0.44037895,-0.012127497,0.001419282,1,1,2,2-Jan,2.85306,2.71024,0.089257,0.0878987,0.0514926,0.0493805,25483.3,22302.3,25043.9,23818,40571.7,37470.6,45286.3,42477.1,1.7644,1.82272,-0.00816956,0,20.1247,999.9,55.994,29.427,25.6764,56.8628,44.8598,1,0.090846,6.64608,20.1088,5.23601,11.992,4.95745,3.304,9999,999.9,9999,9999,1.86844,1.86409,1.87174,1.86249,1.862,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.55,-0.1086,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,971.9,971.8,0.979004,2.38037,1.44775,2.31445,1.44409,2.31567,34.8755,24.2714,18,421.988,443.061,13.86,28.2938,29.9999,28.2023,28.1803,19.6025,74.8981,0,13.9276,386.493,8.95523,95.8378,99.8754,NA,5
4,1679592167,15,20230323 12:22:46,12:22:46,5,pas_smi32_t4_ch5,gibson,1679592159,0.001621753,1.621752772,9.783312104,413.6232565,241.3900029,21.72574772,37.2272025,0.096862265,4.225829843,0.095645529,0.059886501,321.5141797,20.63320068,19.99361481,2.345685391,37.02038429,0.846676599,2.287055131,1.499008792,-71.51929724,-92.9745412,-4.413978764,152.6063625,-15.91130362,1.619162427,9.783312104,402.1691218,408.8924667,-1.896314289,67.30026882,1.621752772,8.968425304,9.408666364,-8.58E-06,129.359545,6,1,1,0,48776,1999.992222,1681.193167,0.840599852,0.160757715,1.37,0.5,0: Broadleaf,2,TRUE,1679592159,413.6232593,409.4472593,9.407237407,8.967780741,413.0731481,9.51589,500.0231111,89.90270741,0.099974785,19.58551481,19.99361481,999.9,0,0,10003.77185,0,10.4607,4.175890444,417.5511481,413.1523333,0.439457037,409.4472593,8.967780741,0.845736222,0.806227704,4.499042222,3.81743037,1999.992222,0.980005704,0.019994637,0,2.559322222,0,3020.55037,16705.36667,43.58066667,45.94866667,44.847,43.99533333,42.58766667,1960.002222,39.99,0,1679592190,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,1.1191683,55.30324658,5.940163946,0,0.43998315,-0.005333111,0.001169508,1,1,2,2-Jan,2.85283,2.71024,0.0877231,0.085161,0.0514888,0.0493804,25526.2,22369.4,25043.9,23818.2,40571.6,37470.7,45286,42477.2,1.76418,1.8227,-0.00835955,0,20.1226,999.9,55.994,29.427,25.6771,56.7528,44.8558,1,0.0894106,6.38544,20.1186,5.23451,11.992,4.9571,3.30395,9999,999.9,9999,9999,1.86844,1.86409,1.87172,1.86249,1.862,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.546,-0.1086,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972,971.9,0.944824,2.37183,1.44775,2.31445,1.44409,2.38525,34.8985,24.2714,18,421.868,443.051,13.895,28.2938,29.9991,28.2033,28.1809,18.9093,74.8981,0,13.9371,366.381,8.95523,95.8374,99.8759,NA,5
5,1679592172,20,20230323 12:22:51,12:22:51,5,pas_smi32_t4_ch5,gibson,1679592164,0.00163027,1.630269704,9.237122435,407.6857831,245.5059061,22.09545147,36.6915875,0.097438981,4.224847051,0.096207529,0.06023905,321.514566,20.62774062,19.98761429,2.344813867,37.03437622,0.846779738,2.286469558,1.498034129,-71.89489395,-92.52503618,-4.393432411,152.7012035,-39.27532297,1.621265209,9.237122435,385.5494213,396.0911879,-2.634021196,67.30026882,1.630269704,8.968917725,9.411263427,1.27E-05,129.359545,6,1,1,0,48658,1999.994643,1681.1952,0.840599852,0.160757714,1.37,0.5,0: Broadleaf,2,TRUE,1679592164,407.6857857,397.106,9.408697857,8.968673571,407.1378929,9.517328214,500.0258929,89.89968929,0.099984539,19.58139286,19.98761429,999.9,0,0,10001.00107,0,10.4607,10.57972864,411.5579643,400.6997857,0.440024357,397.106,8.968673571,0.845839071,0.806280929,4.500779286,3.818366786,1999.994643,0.980005714,0.019994629,0,2.586257143,0,3021.619286,16705.38929,43.58675,45.9505,44.848,44,42.59125,1960.004643,39.99,0,1679592195,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,6.1286323,82.06070024,8.035662982,0,0.439803125,0.004065242,0.000978569,1,1,2,2-Jan,2.85288,2.71016,0.0855427,0.0823964,0.0514971,0.0493828,25587,22437.1,25043.7,23818.3,40571.2,37470.7,45286,42477.4,1.76395,1.82243,-0.00750646,0,20.1196,999.9,56.019,29.427,25.6881,56.7928,44.8317,1,0.0894055,6.40654,20.1177,5.23511,11.992,4.9572,3.304,9999,999.9,9999,9999,1.86844,1.8641,1.87174,1.86249,1.86198,1.86844,1.85852,1.86497,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.542,-0.1086,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972,971.9,0.915527,2.38525,1.44775,2.31445,1.44409,2.28882,34.8985,24.2626,18,421.741,442.897,13.9291,28.2938,29.9997,28.2033,28.1827,18.3257,74.8981,0,13.9478,352.857,8.95378,95.8372,99.8763,NA,5
6,1679592177,25,20230323 12:22:56,12:22:56,5,pas_smi32_t4_ch5,gibson,1679592169,0.001637872,1.637871828,8.485071273,396.8606272,247.8662113,22.30698607,35.71589866,0.097854039,4.22326714,0.096611688,0.060492611,321.514889,20.62347045,19.99274074,2.345558422,37.04723286,0.846903161,2.286009226,1.49865526,-72.23014762,-94.39557915,-4.483972939,150.4051893,-60.50647073,1.624325437,8.485071273,369.6365824,381.7091818,-2.900140745,67.30026882,1.637871828,8.970229449,9.414717343,5.33E-06,129.359545,6,1,1,0,48657,1999.996667,1681.1969,0.840599851,0.160757712,1.37,0.5,0: Broadleaf,2,TRUE,1679592169,396.8606296,380.458963,9.410445556,8.969581481,396.3167407,9.519051111,500.0145556,89.8961,0.099974711,19.57815185,19.99274074,999.9,0,0,9996.406667,0,10.4607,16.40165778,400.6307407,383.9024444,0.44086463,380.458963,8.969581481,0.84596237,0.806330407,4.502862593,3.819236667,1999.996667,0.980005704,0.019994637,0,2.566318519,0,3023.378148,16705.41111,43.58066667,45.94866667,44.83766667,44,42.57833333,1960.006667,39.99,0,1679592199,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,11.74629605,72.1300632,7.211910896,0,0.44027755,0.010593478,0.001184082,1,1,2,2-Jan,2.85281,2.71009,0.0830971,0.0797332,0.0515106,0.0493922,25655.9,22502.2,25044.2,23818.3,40571,37470.4,45286.5,42477.5,1.76415,1.82218,-0.00683591,0,20.1175,999.9,56.019,29.447,25.7164,57.1628,44.9519,1,0.0890091,6.43789,20.1163,5.23481,11.992,4.9569,3.30385,9999,999.9,9999,9999,1.86844,1.86409,1.87173,1.86249,1.86198,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.537,-0.1085,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972.1,972,0.880127,2.37183,1.44775,2.31445,1.44409,2.3938,34.8985,24.2714,18,421.871,442.745,13.9487,28.2938,29.9998,28.2057,28.1827,17.6168,74.8981,0,13.9374,332.57,8.95309,95.8385,99.8766,NA,5
7,1679592182,30,20230323 12:23:01,12:23:01,5,pas_smi32_t4_ch5,gibson,1679592174,0.001631241,1.631241405,8.57872194,384.3599262,233.6316643,21.02528821,34.58982432,0.097472698,4.221995616,0.096239579,0.060259228,321.511545,20.62451755,19.99165714,2.345401025,37.05641521,0.847088539,2.285943026,1.498312486,-71.93774595,-94.22661494,-4.477259262,150.8699249,-70.11751579,1.627475139,8.57872194,353.7559467,366.5656909,-3.053742231,67.30026882,1.631241405,8.972312659,9.414902168,1.51E-05,129.359545,6,1,1,0,48721,1999.975714,1681.1793,0.840599857,0.160757725,1.37,0.5,0: Broadleaf,2,TRUE,1679592174,384.3599286,365.3199286,9.412793929,8.971081786,383.8207143,9.521365357,500.0210714,89.89331786,0.099998214,19.57768571,19.99165714,999.9,0,0,9992.6975,0,10.4607,19.04,388.01225,368.6269643,0.441712821,365.3199286,8.971081786,0.846147214,0.806440214,4.505984643,3.8211725,1999.975714,0.980005429,0.019994857,0,2.582614286,0,3025.268571,16705.23571,43.5845,45.94825,44.839,44,42.5755,1959.985714,39.99,0,1679592205,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,16.56938,38.86194979,4.024720726,0,0.441306925,0.010441295,0.001208495,1,1,2,2-Jan,2.85305,2.71015,0.0804777,0.0766717,0.0515075,0.049399,25729.3,22577.2,25044.2,23818.5,40570.9,37470.3,45286.4,42477.9,1.76415,1.82215,-0.00820681,0,20.1166,999.9,56.019,29.416,25.6739,57.0528,44.6995,1,0.089436,6.52251,20.1131,5.23451,11.992,4.957,3.304,9999,999.9,9999,9999,1.86843,1.86409,1.87168,1.86249,1.86197,1.86844,1.85852,1.86496,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.531,-0.1086,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972.2,972.1,0.848389,2.39014,1.44775,2.31445,1.44409,2.28149,34.8985,24.2626,18,421.871,442.743,13.9482,28.2938,30.0002,28.2057,28.1845,16.9876,74.8981,0,13.9432,319.101,8.94915,95.8383,99.8773,NA,5
8,1679592187,35,20230323 12:23:06,12:23:06,5,pas_smi32_t4_ch5,gibson,1679592179,0.00163976,1.639759688,8.034765869,368.8669977,228.1216993,20.52896684,33.19481833,0.097972776,4.22125988,0.096726844,0.0605649,321.515953,20.62409626,19.99418889,2.345768785,37.06162243,0.847258231,2.286079712,1.498510554,-72.31340226,-94.56733341,-4.494312444,150.1409049,-76.17116104,1.629440999,8.034765869,336.3196725,350.3355758,-3.266216383,67.30026882,1.639759688,8.973728428,9.418762308,6.72E-07,129.359545,6,1,1,0,48706,2000.003333,1681.2025,0.840599849,0.160757709,1.37,0.5,0: Broadleaf,2,TRUE,1679592179,368.867,348.1618148,9.414891111,8.97264963,368.3333704,9.523433333,500.0247778,89.89127407,0.100019633,19.57864815,19.99418889,999.9,0,0,9990.59963,0,10.4607,20.70516296,372.3728889,351.314,0.442242074,348.1618148,8.97264963,0.846316519,0.806562852,4.508842593,3.823332593,2000.003333,0.980005704,0.019994637,0,2.52957037,0,3027.538148,16705.47037,43.58533333,45.94633333,44.83066667,44,42.57833333,1960.013333,39.99,0,1679592210,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,19.4493925,21.14549381,2.095533817,0,0.441632225,0.005462893,0.001124939,1,1,2,2-Jan,2.85289,2.71026,0.0776316,0.0737622,0.0515252,0.0493985,25808.7,22648.2,25044.1,23818.3,40570.7,37470.1,45287,42477.7,1.7642,1.82185,-0.0073351,0,20.1149,999.9,56.019,29.447,25.7193,57.0628,45.0321,1,0.0897917,6.50794,20.1137,5.23496,11.992,4.957,3.304,9999,999.9,9999,9999,1.86844,1.86407,1.87172,1.86249,1.862,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.526,-0.1085,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972.3,972.2,0.817871,2.37305,1.44775,2.31445,1.44409,2.39868,34.8985,24.2714,18,421.899,442.565,13.9462,28.2938,30.0002,28.2057,28.1851,16.2953,74.8981,0,13.9499,298.986,8.94487,95.839,99.8767,NA,5
9,1679592192,40,20230323 12:23:11,12:23:11,5,pas_smi32_t4_ch5,gibson,1679592184,0.001636146,1.636146262,7.105559864,354.2915337,228.9009857,20.59904865,31.88308044,0.097821244,4.221570367,0.096579227,0.060472293,321.512457,20.62464637,19.98823571,2.344904111,37.06823448,0.847407793,2.28607541,1.497496317,-72.15405018,-93.22628051,-4.430117178,151.7020091,-79.52087904,1.631830865,7.105559864,320.114922,334.2230364,-3.233184842,67.30026882,1.636146262,8.974215363,9.418288112,-2.79E-06,129.359545,6,1,1,0,48728,1999.981429,1681.1841,0.840599856,0.160757721,1.37,0.5,0: Broadleaf,2,TRUE,1679592184,354.2915357,332.6629643,9.416574643,8.973698929,353.7630714,9.525092143,500.0401786,89.89105,0.100037575,19.57861786,19.98823571,999.9,0,0,9991.605714,0,10.4607,21.62857857,357.6594643,335.6751429,0.442875321,332.6629643,8.973698929,0.846465714,0.806655179,4.511360357,3.824959643,1999.981429,0.980005429,0.019994857,0,2.540175,0,3029.553214,16705.28929,43.58,45.9415,44.83675,44,42.5935,1959.991429,39.99,0,1679592214,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,20.842855,13.06796398,1.319555455,0,0.442507075,0.006896567,0.001265763,1,1,2,2-Jan,2.85288,2.71013,0.0747504,0.0706251,0.0515276,0.0494064,25889.1,22724.5,25043.9,23817.9,40570.1,37469.3,45286.6,42477.2,1.7639,1.82197,-0.0077486,0,20.1132,999.9,56.019,29.427,25.6893,57.1028,44.6955,1,0.0891997,6.48291,20.1148,5.23421,11.992,4.95705,3.3039,9999,999.9,9999,9999,1.86844,1.86409,1.87172,1.86249,1.86197,1.86844,1.85852,1.86498,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.52,-0.1085,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972.4,972.3,0.782471,2.39502,1.44897,2.31445,1.44409,2.27539,34.9214,24.2626,18,421.747,442.641,13.9486,28.2936,30,28.2081,28.1851,15.6439,74.8981,0,13.9585,285.582,8.93851,95.8382,99.8754,NA,5
10,1679592197,45,20230323 12:23:16,12:23:16,5,pas_smi32_t4_ch5,gibson,1679592189,0.00163418,1.634179504,6.213715334,337.4224427,226.9304532,20.42199332,30.36542154,0.097719078,4.223949315,0.096480325,0.060410192,321.5168988,20.62281208,19.9873963,2.344782211,37.07749023,0.847532245,2.285840385,1.497249966,-72.06731611,-93.46451708,-4.438880036,151.5461856,-82.36426564,1.632997642,6.213715334,302.9054321,317.6710545,-3.315738476,67.30026882,1.634179504,8.975768839,9.419224755,6.64E-06,129.359545,6,1,1,0,48831,2000.009259,1681.207478,0.840599847,0.160757705,1.37,0.5,0: Broadleaf,2,TRUE,1679592189,337.4224444,315.007037,9.417830741,8.974631481,336.9,9.52632963,500.0317778,89.89228889,0.10001067,19.57696296,19.9873963,999.9,0,0,9998.986667,0,10.4607,22.41548519,340.6304074,317.8594815,0.443199593,315.007037,8.974631481,0.84659037,0.806750185,4.513463333,3.826631481,2000.009259,0.980005704,0.019994637,0,2.497296296,0,3031.994074,16705.51852,43.57133333,45.94166667,44.847,43.99533333,42.59466667,1960.019259,39.99,0,1679592220,0,0,--:--:--,1679533849,1679533855,0,-0.414,-0.009,0.888,0.421,421,24,0.53,0.27,21.9600725,8.431707692,0.90266551,0,0.44303655,0.005275925,0.001182348,1,1,2,2-Jan,2.85289,2.71029,0.0717319,0.0675695,0.0515285,0.0494061,25973.4,22799.2,25043.7,23817.9,40569.6,37469.5,45286.1,42477.5,1.764,1.8218,-0.00714138,0,20.1115,999.9,56.019,29.447,25.7164,57.0228,45.0801,1,0.0892607,6.45106,20.1158,5.23451,11.992,4.95705,3.304,9999,999.9,9999,9999,1.86844,1.86407,1.87172,1.86249,1.86199,1.86844,1.85852,1.86499,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.513,-0.1085,0.407755581,0.000328379,1.65E-08,5.48E-11,-0.079191816,-0.02274782,0.002253315,-1.98E-05,1,2222,1,25,972.5,972.4,0.750732,2.38281,1.44775,2.31445,1.44409,2.37061,34.9214,24.2714,18,421.803,442.535,13.955,28.2914,30.0001,28.2081,28.1851,14.9361,74.8981,0,13.9699,265.393,8.93382,95.8373,99.8759,NA,5
