"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","CO2_hrs","AccH2O_hum","AccCO2_soda","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1679450322,0,"20230321 20:58:42","20:58:42",5,"pas_smi25_t1_ch5","gibson",1679450319.25,0.000359992974750193,0.359992974750193,-0.544643522095423,420.19500015284,449.482731573954,40.3669778372468,37.7367161561374,0.0212530308555951,4.22470909540179,0.0211938114928777,0.0132514389611095,0,20.4117984780627,19.98457,2.34437181971089,35.0023401256197,0.846016681653508,2.41702891468754,1.49835513805738,-15.8756901864835,112.457742645956,5.3645795435532,101.946632003025,-0.641930831910021,0.330657228082058,-0.544643522095423,424.038288092956,424.190951515151,-0.000412527981491207,67.5165233367014,0.359992974750193,9.32408239351717,9.42187952941176,-1.18331184277943e-05,117.456319354047,1,0,1,0,48713,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450319.25,420.195,420.0572,9.420321,9.330587,419.172,9.535515,500.0702,89.70786,0.09976775,20.47832,19.98457,999.9,0,0,10021.95,0,1.05719,0.1377259,424.1908,424.0135,0.08973551,420.0572,9.330587,0.8450768,0.8370269,4.487898,4.351239,0,0,0,0,2.755,0,-27.98401,-3.12369,33.4874,39.25,36.4433,38.2624,34.312,0,0,0,1679450342.8,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.213570243902439,-0.715718682229966,0.0769247525355597,0,0.0959013073170732,-0.00590148292682932,0.00693892724138004,1,1,2,"1/2",2.87853,2.71042,0.0907503,0.0908277,0.0518306,0.0511852,25736.2,22369.9,25320.5,23954.3,40971.3,37589.5,45741.8,42686.6,1.80623,1.86987,-0.000908971,0,19.9991,999.9,34.678,29.225,15.7519,54.5301,41.9111,1,-0.161204,1.88082,20.2378,5.23541,11.9899,4.95775,3.304,9999,999.9,9999,9999,1.86844,1.86411,1.87177,1.86248,1.86191,1.86844,1.85852,1.86502,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1152,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,7.8,7.8,1.03638,2.37915,1.44897,2.30957,1.44409,2.30469,33.693,24.3502,18,426.256,450.154,18.4615,25.3238,29.9995,25.5243,25.4865,20.7975,48.565,30.2791,18.4743,420,9.40165,96.8354,100.396,NA,5
2,1679450327,5,"20230321 20:58:47","20:58:47",5,"pas_smi25_t1_ch5","gibson",1679450324.5,0.000322867665633414,0.322867665633414,-1.24418955740703,420.239667017983,512.272627770464,46.0055636460862,37.7403782664505,0.0190539815371974,4.22475795868364,0.0190063687434521,0.0118832482902725,0,20.4173059885488,19.9872666666667,2.34476338697896,35.0165081809586,0.846288459692723,2.41682710143247,1.49847492728623,-14.2384640544335,111.53659447827,5.32061290996577,102.618743333802,-1.25220791190907,0.418260647961489,-1.24418955740703,423.903513856334,424.244048484848,0.000708026302536863,67.5165233367014,0.322867665633414,9.33459677982664,9.42212408823529,1.0254465258207e-05,117.456319354047,1,0,1,0,48411,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450324.5,420.239666666667,419.944777777778,9.42343444444445,9.30993222222222,419.216555555556,9.53859222222222,500.093555555556,89.7067888888889,0.100007633333333,20.4769666666667,19.9872666666667,999.9,0,0,10022.2244444444,0,1.05719,0.29481,424.237333333333,423.891333333333,0.113502622222222,419.944777777778,9.30993222222222,0.845346,0.835164222222222,4.49244888888889,4.31943666666667,0,0,0,0,2.77646666666667,0,-27.7721333333333,-3.11601111111111,33.5,39.25,36.437,38.2844444444444,34.312,0,0,0,1679450347.6,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.197493025,0.196359606754221,0.0623228898343849,0,0.09781851,0.0521211557223264,0.0115598643776171,1,1,2,"1/2",2.8788,2.71025,0.0907583,0.0908251,0.0518189,0.0510047,25736.5,22370.5,25321,23954.9,40972.5,37597.8,45742.5,42687.8,1.80658,1.86968,-0.00051409,0,19.9953,999.9,34.605,29.225,15.7177,54.4501,41.6066,1,-0.161951,1.86119,20.2381,5.23541,11.9909,4.95765,3.304,9999,999.9,9999,9999,1.86844,1.86411,1.87178,1.86246,1.86191,1.86844,1.85852,1.86502,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1152,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,7.9,7.9,1.03638,2.37427,1.44775,2.30957,1.44409,2.35229,33.693,24.3502,18,426.388,449.961,18.4729,25.3157,29.9994,25.5157,25.4779,20.7981,47.9836,30.2791,18.4838,420,9.40165,96.8371,100.399,NA,5
3,1679450332,10,"20230321 20:58:52","20:58:52",5,"pas_smi25_t1_ch5","gibson",1679450329.2,0.000424590877740459,0.424590877740459,-0.979661078052067,420.222200277939,470.814401862,42.2824842192581,37.7389444366272,0.0250706131138515,4.2117258765493,0.0249879999526395,0.0156248996248542,0,20.3982108755314,19.98441,2.34434858884311,34.9825854148897,0.845465127414673,2.41681716027431,1.49888346142844,-18.7244577083543,111.826042861685,5.3508464128322,98.4524315661632,-0.993232916693201,0.388254996547623,-0.979661078052067,423.947092359111,424.219127272727,-0.000228846103147181,67.5165233367014,0.424590877740459,9.29494593103071,9.41030197058823,-1.55365370986749e-05,117.456319354047,1,0,1,0,48381,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450329.2,420.2222,419.9948,9.414233,9.308872,419.1992,9.529497,500.0919,89.70708,0.10003731,20.4769,19.98441,999.9,0,0,9980.937,0,1.05719,0.2275177,424.2159,423.941,0.10536255,419.9948,9.308872,0.8445235,0.8350717,4.478541,4.317865,0,0,0,0,2.81618,0,-27.76574,-3.11622,33.4811,39.25,36.437,38.2872,34.312,0,0,0,1679450353,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.201947512195122,0.383433359581882,0.0666970124927214,0,0.102788485365854,0.0416365066202093,0.0127041397812962,1,1,2,"1/2",2.8789,2.70998,0.0907602,0.0908375,0.0517859,0.0511453,25736.5,22370.6,25321,23955.2,40974.2,37592.6,45742.8,42688.3,1.80705,1.86945,-0.000543892,0,19.9914,999.9,34.507,29.225,15.6728,54.4601,41.4022,1,-0.162482,1.84977,20.2382,5.23601,11.9905,4.9577,3.304,9999,999.9,9999,9999,1.86844,1.86412,1.87177,1.86245,1.8619,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1153,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8,8,1.03638,2.35962,1.44775,2.30957,1.44409,2.41211,33.693,24.3589,18,426.587,449.749,18.4838,25.3077,29.9995,25.5067,25.4689,20.799,47.9836,30.2791,18.4944,420,9.40165,96.8375,100.4,NA,5
4,1679450337,15,"20230321 20:58:57","20:58:57",5,"pas_smi25_t1_ch5","gibson",1679450334.5,0.000328025623050858,0.328025623050858,-0.997767567708856,420.225778059887,490.540008066029,44.0539064576508,37.7391992769974,0.0193473036141054,4.21094191451197,0.0192980550333151,0.012065698656034,0,20.4141075000285,19.9879444444444,2.34486181215588,34.986252466493,0.84544999762344,2.41652059886421,1.49941181453244,-14.4659299765429,110.551318997798,5.29087778748386,101.376266808739,-1.01704761995401,0.316140214479657,-0.997767567708856,423.927131028419,424.20376969697,-0.000147266384445518,67.5165233367014,0.328025623050858,9.32761092451228,9.41663735294117,-1.31522697609923e-06,117.456319354047,1,0,1,0,48559,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450334.5,420.225777777778,419.983555555556,9.41408111111111,9.32829111111111,419.202777777778,9.52934333333333,500.098777777778,89.7070222222222,0.0999369111111111,20.4749111111111,19.9879444444444,999.9,0,0,9978.46333333333,0,1.05719,0.242197666666667,424.219555555556,423.938444444444,0.0857869222222222,419.983555555556,9.32829111111111,0.844508888888889,0.836813333333333,4.47829444444444,4.34759777777778,0,0,0,0,2.90325555555556,0,-27.9738,-3.11027777777778,33.5,39.25,36.437,38.2637777777778,34.312,0,0,0,1679450357.8,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.218490268292683,0.335609805574913,0.0653145630631669,0,0.0987447463414634,-0.0156183658536584,0.0144834165149124,1,1,2,"1/2",2.87875,2.71021,0.090763,0.0908395,0.0518075,0.0511608,25737.1,22371.4,25321.6,23956.1,40973.8,37593.3,45743.4,42689.7,1.80698,1.8698,2.23517e-05,0,19.9884,999.9,34.459,29.225,15.6507,54.8301,41.5665,1,-0.163143,1.83477,20.2383,5.23556,11.9896,4.9577,3.304,9999,999.9,9999,9999,1.86844,1.86411,1.87176,1.86248,1.86189,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1152,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.1,8.1,1.03638,2.35718,1.44775,2.30957,1.44409,2.4231,33.693,24.3589,18,426.485,449.89,18.4945,25.2997,29.9995,25.4986,25.4603,20.7974,47.7111,29.9038,18.5038,420,9.40165,96.8391,100.404,NA,5
5,1679450342,20,"20230321 20:59:02","20:59:02",5,"pas_smi25_t1_ch5","gibson",1679450339.2,0.000327921959807563,0.327921959807563,-1.14334582455217,420.241900320283,502.480714655493,45.1264822371416,37.7408288457556,0.0193429966872552,4.22457440814867,0.0192939284174875,0.0120631033951644,0,20.4139327893021,19.98939,2.34507174417702,35.0020013244258,0.845810682660455,2.41646377537336,1.49926106151657,-14.4613584275135,110.493184649442,5.27105978456622,101.302886006495,-1.06648400902734,0.336760624063875,-1.14334582455217,423.950154602181,424.263418181818,0.00058708908704524,67.5165233367014,0.327921959807563,9.33060222516031,9.41955117647059,4.78574758446049e-06,117.456319354047,1,0,1,0,48801,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450339.2,420.2419,419.9885,9.418052,9.326663,419.2188,9.533271,500.0787,89.70755,0.09984145,20.47453,19.98939,999.9,0,0,10021.558,0,1.05719,0.2532653,424.2375,423.9426,0.09138985,419.9885,9.326663,0.8448704,0.836672,4.484407,4.345186,0,0,0,0,2.68284,0,-27.55651,-3.1482,33.5,39.25,36.437,38.2624,34.312,0,0,0,1679450362.6,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.244516536585366,-0.0197391846689894,0.0437170805995906,1,0.0971823463414634,-0.0649357066202089,0.0148729780348759,1,2,2,"2/2",2.87869,2.7105,0.0907724,0.0908379,0.0518184,0.0510822,25737.5,22372.1,25322.2,23956.8,40974.1,37597.7,45744.2,42691.2,1.80707,1.86987,0.000521541,0,19.9855,999.9,34.385,29.225,15.6153,54.2401,41.9712,1,-0.16374,1.83271,20.2386,5.23616,11.9872,4.95765,3.304,9999,999.9,9999,9999,1.86843,1.86413,1.87176,1.86249,1.86189,1.86845,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1152,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.2,8.2,1.03638,2.36816,1.44775,2.30957,1.44409,2.33032,33.693,24.3589,18,426.474,449.865,18.5051,25.2923,29.9995,25.4897,25.4517,20.8001,47.4066,29.9038,18.5116,420,9.40165,96.841,100.407,NA,5
6,1679450347,25,"20230321 20:59:07","20:59:07",5,"pas_smi25_t1_ch5","gibson",1679450344.5,0.00039015638441771,0.39015638441771,-0.577293054517525,420.206666829824,448.618934709334,40.2899880043662,37.7383125322109,0.02302450308872,4.2234241703043,0.0229549966067535,0.0143531001662348,0,20.4035281356382,19.9877666666667,2.34483599536579,34.9869002788919,0.845503907854087,2.41662994181908,1.4993320875117,-17.205896552821,111.086473834038,5.30079205951068,99.1813693407279,-0.964060838052473,0.403238522146465,-0.577293054517525,423.915614905758,424.182406060606,-0.0216032549482335,67.5165233367014,0.39015638441771,9.30484788209498,9.4107229117647,-7.71330865451598e-07,117.456319354047,1,0,1,0,48388,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450344.5,420.206666666667,419.989,9.41447444444444,9.30505666666666,419.183555555556,9.52973444444444,500.134333333333,89.7087666666667,0.100166677777778,20.4756444444444,19.9877666666667,999.9,0,0,10017.7788888889,0,1.05719,0.217712444444444,424.200111111111,423.933555555556,0.109417666666667,419.989,9.30505666666666,0.844560888888889,0.834745111111111,4.47917555555556,4.31229444444444,0,0,0,0,2.69232222222222,0,-27.7527888888889,-3.10546666666667,33.5,39.25,36.437,38.2706666666667,34.312,0,0,0,1679450368,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.24585112195122,-0.0572645017421603,0.0420994077428911,1,0.0999602682926829,-0.0273407080139371,0.0146074818993963,1,2,2,"2/2",2.87881,2.71033,0.0907666,0.0908493,0.0517868,0.0511008,25738.4,22371.9,25322.9,23956.8,40976.3,37597.1,45745.1,42691.3,1.8073,1.86965,0.000193715,0,19.9825,999.9,34.306,29.225,15.5806,54.3701,42.1114,1,-0.164378,1.83163,20.2386,5.23586,11.9885,4.95765,3.304,9999,999.9,9999,9999,1.86844,1.86415,1.87175,1.86248,1.86189,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1153,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.2,8.2,1.03638,2.37915,1.44897,2.30957,1.44409,2.25586,33.6705,24.3502,18,426.537,449.657,18.5133,25.2843,29.9995,25.4811,25.4432,20.7981,47.4066,29.9038,18.5191,420,9.40168,96.8432,100.407,NA,5
7,1679450352,30,"20230321 20:59:12","20:59:12",5,"pas_smi25_t1_ch5","gibson",1679450349.2,0.000349792070312545,0.349792070312545,-1.14794144840654,420.231300323013,496.970965931771,44.632429712366,37.7405226066628,0.0206375308409152,4.22008294266866,0.0205816259600323,0.012868526345123,0,20.4145958692849,19.98498,2.34443134973028,34.9664815101892,0.845201072009917,2.4171750645361,1.49923027772036,-15.4258303007832,112.46428132866,5.3708107744923,102.409261802369,-1.04228543864139,0.333810763381807,-1.14794144840654,423.955897478581,424.25683030303,0.0033254616302518,67.5165233367014,0.349792070312545,9.31652912470997,9.41149538235294,-5.15680241635785e-06,117.456319354047,1,0,1,0,48653,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450349.2,420.2313,419.9842,9.411103,9.320518,419.2082,9.526402,500.1014,89.70903,0.09989803,20.4793,19.98498,999.9,0,0,10007.169,0,1.05719,0.2471679,424.2238,423.9355,0.09058586,419.9842,9.320518,0.8442609,0.8361346,4.4741,4.336019,0,0,0,0,2.82766,0,-27.82825,-3.14959,33.5,39.25,36.4622,38.312,34.312,0,0,0,1679450372.8,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.234390658536585,-0.00850877351916357,0.0387979822172147,1,0.0945595268292683,0.047816905923345,0.00969870569526813,1,2,2,"2/2",2.87888,2.71021,0.090776,0.0908355,0.0517946,0.0512039,25738.6,22372.7,25323.3,23957.4,40976.7,37593.7,45746,42692.1,1.8074,1.86978,0.000186265,0,19.9803,999.9,34.257,29.225,15.5587,54.1101,42.0873,1,-0.164929,1.82352,20.2386,5.23601,11.9893,4.95765,3.304,9999,999.9,9999,9999,1.86844,1.86415,1.87177,1.86245,1.86189,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1153,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.3,8.3,1.03638,2.37915,1.44897,2.30957,1.44409,2.31079,33.693,24.3502,18,426.529,449.662,18.5206,25.2764,29.9995,25.4726,25.4346,20.8007,47.1272,29.9038,18.5294,420,9.40168,96.845,100.409,NA,5
8,1679450357,35,"20230321 20:59:17","20:59:17",5,"pas_smi25_t1_ch5","gibson",1679450354.5,0.000295798828076962,0.295798828076962,-0.511734280738411,420.251222367223,455.372753629168,40.8967319623688,37.7424899953639,0.0174471781935712,4.2164492573094,0.017407169511835,0.0108830678514479,0,20.4238495721263,19.9873666666667,2.34477790849871,34.9911792281795,0.845762110367538,2.41707232800665,1.49901579813117,-13.044728318194,111.668317698479,5.33744102157145,103.961030401856,-1.08882515061477,0.260222598649055,-0.511734280738411,423.946795447106,424.203224242424,-0.023161220705057,67.5165233367014,0.295798828076962,9.3424954442339,9.42275420588235,1.65899662527249e-06,117.456319354047,1,0,1,0,48371,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450354.5,420.251222222222,419.982888888889,9.41730555555555,9.34668666666666,419.228222222222,9.53253555555556,500.075333333333,89.7093555555555,0.0999965333333333,20.4786111111111,19.9873666666667,999.9,0,0,9995.63,0,1.05719,0.268218888888889,424.246444444444,423.945666666667,0.0706209555555555,419.982888888889,9.34668666666666,0.844820555555556,0.838485444444445,4.48356777777778,4.37608444444444,0,0,0,0,2.72993333333333,0,-27.6965888888889,-3.13614444444444,33.5,39.25,36.444,38.312,34.312,0,0,0,1679450377.6,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.249809414634146,0.0991168641114981,0.0509603761530206,1,0.0903975756097561,-0.0822268013937284,0.0147217899483821,1,2,2,"2/2",2.87928,2.71018,0.090765,0.0908484,0.0518407,0.051161,25739.2,22372.9,25323.5,23957.9,40975.2,37596.2,45746.5,42692.9,1.80742,1.86968,0.000700355,0,19.9795,999.9,34.184,29.225,15.5243,54.3901,41.6867,1,-0.16564,1.80237,20.2387,5.23586,11.9894,4.9575,3.304,9999,999.9,9999,9999,1.86844,1.86412,1.87178,1.86248,1.86191,1.86844,1.85852,1.86503,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1152,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.4,8.4,1.03638,2.37061,1.44775,2.30957,1.44409,2.38403,33.693,24.3589,18,426.48,449.53,18.529,25.2685,29.9994,25.4641,25.4261,20.7999,47.1272,29.5281,18.5391,420,9.40168,96.8459,100.411,NA,5
9,1679450362,40,"20230321 20:59:22","20:59:22",5,"pas_smi25_t1_ch5","gibson",1679450359.2,0.000350242156665761,0.350242156665761,-0.633539017528618,420.169900179198,457.417349453626,41.0805509554158,37.735365776705,0.0206606649735612,4.21687742470511,0.0206045924030517,0.0128828953764405,0,20.41374559376,19.99224,2.34548568606684,35.0011232781484,0.846000841327121,2.4170676883827,1.49948484473972,-15.4456791089601,110.564679420806,5.28428434747891,100.403284659325,-0.607649877771221,0.416672492365575,-0.633539017528618,424.018256636537,424.191351515151,0.00042070032839275,67.5165233367014,0.350242156665761,9.31985281944894,9.41478944117647,1.2209305162342e-05,117.456319354047,1,0,1,0,48450,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450359.2,420.1699,420.0514,9.419919,9.306851,419.1468,9.535119,500.1097,89.70977,0.10000876,20.47858,19.99224,999.9,0,0,9996.939,0,1.05719,0.1184387,424.1655,423.9976,0.11306804,420.0514,9.306851,0.8450588,0.8349156,4.487596,4.315198,0,0,0,0,2.73583,0,-27.74624,-3.1283,33.5,39.25,36.4748,38.312,34.312,0,0,0,1679450383,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.225353658536585,-0.371007064808362,0.0784540862456195,0,0.095377012195122,-0.0279440006968641,0.0175371227576442,1,1,2,"1/2",2.87923,2.71026,0.0907664,0.0908542,0.0518055,0.051053,25739.2,22373.1,25323.6,23958.2,40977.3,37600.9,45747.1,42693.4,1.80755,1.86968,0.000648201,0,19.9795,999.9,34.111,29.225,15.4913,54.0101,41.4904,1,-0.166148,1.79872,20.2387,5.23571,11.9885,4.95775,3.304,9999,999.9,9999,9999,1.86844,1.86414,1.87177,1.86247,1.86191,1.86844,1.85852,1.86501,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1153,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.5,8.5,1.03638,2.35352,1.44775,2.30957,1.44409,2.41699,33.693,24.3589,18,426.486,449.459,18.5397,25.2609,29.9996,25.4556,25.4175,20.7998,46.8164,29.5281,18.5445,420,9.40168,96.8468,100.412,NA,5
10,1679450367,45,"20230321 20:59:27","20:59:27",5,"pas_smi25_t1_ch5","gibson",1679450364.5,0.000386518057356595,0.386518057356595,-0.96030645245568,420.216778050276,475.612226800049,42.7144186893065,37.7393901722734,0.0227947412940866,4.21704350492796,0.0227265101371939,0.0142101820074105,0,20.4051197415582,19.9919111111111,2.34543791406645,34.9700278745486,0.845149467233229,2.41678236650287,1.50028844683323,-17.0454463294258,110.208811716301,5.26700827100285,98.430373657878,-0.963288332522149,0.361917636059959,-0.96030645245568,423.938960742494,424.205848484849,-0.000271628829571046,67.5165233367014,0.386518057356595,9.30450432365962,9.40951473529411,-1.43151876173755e-05,117.456319354047,1,0,1,0,48292,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679450364.5,420.216777777778,419.994555555556,9.41048555555556,9.31227444444445,419.193666666667,9.52579222222222,500.107555555556,89.7093333333333,0.100003522222222,20.4766666666667,19.9919111111111,999.9,0,0,9997.51333333333,0,1.05719,0.222107,424.208777777778,423.942333333333,0.0982107222222222,419.994555555556,9.31227444444445,0.844208666666667,0.835398,4.47321444444444,4.32344666666667,0,0,0,0,2.74115555555556,0,-27.5795777777778,-3.15207777777778,33.5,39.25,36.486,38.312,34.312,0,0,0,1679450387.8,0,1679449853,"20:50:53",1679449852,1679449853,3,0.647,0.073,1.023,-0.114,420,10,0.41,0.16,0.210524365853658,-0.228597503832752,0.0757812953886946,0,0.0946595463414634,0.0666991421602787,0.0171913856157613,1,1,2,"1/2",2.87923,2.71004,0.0907753,0.0908496,0.0517896,0.0511659,25739.5,22373.4,25324.1,23958.3,40978.7,37596.6,45747.9,42693.6,1.8078,1.86965,0.00134856,0,19.9795,999.9,34.062,29.225,15.4691,54.5301,41.7348,1,-0.166631,1.80262,20.2387,5.23586,11.99,4.9578,3.304,9999,999.9,9999,9999,1.86844,1.86413,1.87178,1.86247,1.86189,1.86844,1.85852,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.023,-0.1153,0.768099799498865,0.000907279173934401,-8.99695527370061e-07,4.44952496222222e-10,-0.0705595304108817,-0.0225371605359267,0.00203451205433426,-1.69783905009899e-05,1,1918,2,28,8.6,8.6,1.03638,2.3645,1.44775,2.30957,1.44409,2.36572,33.6705,24.3502,18,426.563,449.377,18.5463,25.253,29.9996,25.447,25.4095,20.7996,46.5301,29.5281,18.5508,420,9.40188,96.8487,100.413,NA,5
