"obs","time","elapsed","date","hhmmss","averaging","machine","id","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1679529271.6,0,"20230322 18:54:31","18:54:31",5,"albert","sch_sco30_t3_ch5",1679529268.85,0.000485834517895993,0.485834517895993,-1.15746577400729,420.32760045551,472.77321110178,42.5323797658845,37.8141838599395,0.0287920337974672,3.97014770543913,0.0286765342498005,0.0179331723152783,0,19.991368789741,19.99227,2.34549004369039,35.9605188226535,0.848392367833058,2.35923283536891,1.49709767585733,-21.4253022392133,20.1988229741345,1.02331398953806,-0.203165275540716,-1.20401847335612,0.491399337674051,-1.15746577400729,423.849679381524,424.304115151515,-0.00173977648239957,63.9201550901532,0.485834517895993,9.25032015683265,9.43378042424242,4.85508089304449e-05,101.031249755669,3,1,1,0,48603,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529268.85,420.3276,419.9466,9.430396,9.244468,416.785,9.351727,500.0439,89.86335,0.10024939,20.08664,19.99227,999.9,0,0,9985.745,0,0.386148,0.3809968,424.3292,423.8649,0.1859282,419.9466,9.244468,0.8474468,0.8307388,4.527915,4.243675,0,0,0,0,2.15919,0,-1.19399,-1.03005,33.9124,39.0498,36.3498,37.6498,34.4246,0,0,0,1679529302,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.336662325,0.128687088180113,0.052701173616148,0,0.205047125,-0.0185580675422146,0.0132522275621638,1,1,2,"1/2",2.98097,2.72834,0.085295,0.0862344,0.054219,0.0539701,27472.2,27133.3,30558.3,29935.7,39883.3,37293.9,46722.5,44506,1.88557,1.8717,0.012368,0,19.7955,999.9,33.2,29.9,15.6509,63.4863,18.3373,1,-0.110691,2.57605,20.2052,5.2408,11.968,4.9733,3.291,9999,9999,9999,999.9,4.97291,1.87687,1.875,1.87779,1.87454,1.87819,1.87523,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.542,0.0787,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1248.5,1248.5,1.09375,2.54028,1.39893,2.34253,1.44897,2.36938,35.2671,24.07,18,489.323,451.925,17.2018,25.4849,29.9997,25.4812,25.5843,21.919,37.0973,40.0965,17.2093,420,9.29542,100.992,102.35,NA,5
2,1679529276.6,5,"20230322 18:54:36","18:54:36",5,"albert","sch_sco30_t3_ch5",1679529274.1,0.000537485858417611,0.537485858417611,-1.12947279495235,420.31177822133,465.272449709311,41.8576275581823,37.812799537341,0.0318455617944639,3.9762206863744,0.0317045441765373,0.0198279577678341,0,19.9771641786719,20.0022222222222,2.34693603654639,35.9903687017711,0.848874410974692,2.35861548962936,1.49806162557169,-23.7031263562166,17.1897721288822,0.869564641871313,-5.64378958546309,-1.099048780389,0.535665044208623,-1.12947279495235,423.882049648139,424.316696969697,0.000161947061611279,63.9201550901532,0.537485858417611,9.23006280719136,9.43356266666666,-2.00647542060451e-05,101.031249755669,2,0,1,0,48605,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529274.1,420.311777777778,419.978,9.43574444444444,9.23308333333333,416.769,9.35701,500.079333333333,89.8639,0.0997924222222222,20.0824111111111,20.0022222222222,999.9,0,0,10006.5222222222,0,0.386148,0.333608111111111,424.315444444444,423.892,0.202659666666667,419.978,9.23308333333333,0.847932666666667,0.829721333333333,4.53610666666667,4.22620444444444,0,0,0,0,2.00824444444444,0,-1.14555555555556,-1.01544444444444,33.6663333333333,38.9164444444445,36.2498888888889,37.4858888888889,34.3818888888889,0,0,0,1679529307.4,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.34142615,-0.0132463789868674,0.0423881055548311,1,0.2049583,-0.0918994446529083,0.0145608351429442,1,2,2,"2/2",2.9808,2.72833,0.0852982,0.0862431,0.0542112,0.0538592,27472.1,27132.8,30558.2,29935.4,39883.4,37298,46722.2,44505.6,1.8858,1.87192,0.0119209,0,19.7939,999.9,33.1,29.8,15.5137,63.3763,17.8205,1,-0.111042,2.57595,20.2052,5.2402,11.968,4.97305,3.291,9999,9999,9999,999.9,4.97292,1.8769,1.875,1.87778,1.87454,1.8782,1.87524,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.542,0.0787,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1248.6,1248.6,1.09253,2.52686,1.39893,2.34253,1.44897,2.49146,35.2671,24.0787,18,489.415,452.032,17.2082,25.4811,29.9998,25.4769,25.5802,21.9173,37.0973,40.0965,17.2023,420,9.29542,100.991,102.349,NA,5
3,1679529281.6,10,"20230322 18:54:41","18:54:41",5,"albert","sch_sco30_t3_ch5",1679529278.8,0.000539168019354301,0.539168019354301,-1.0091204809088,420.310400396575,459.062242601037,41.2994646807447,37.8131611037635,0.0319990140886999,3.97271123846458,0.0318565122804234,0.0199230703339364,0,19.9721046672675,19.98187,2.34397982583468,35.978443601443,0.848349440037415,2.3579381293842,1.49563038579727,-23.7773096535247,20.5395559148299,1.03980218310686,-2.19795155558795,-1.01015101532583,0.545216278196072,-1.0091204809088,423.932337639348,424.319957575757,0.000297644430619498,63.9201550901532,0.539168019354301,9.22316988312876,9.42759327272727,-5.76429841194851e-05,101.031249755669,2,0,1,0,48629,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529278.8,420.3104,420.0121,9.429788,9.223506,416.768,9.351125,500.0646,89.86483,0.10001757,20.07777,19.98187,999.9,0,0,9994.375,0,0.386148,0.2982269,424.3116,423.9223,0.2062808,420.0121,9.223506,0.8474064,0.828869,4.527231,4.211559,0,0,0,0,2.05915,0,-1.83768,-0.97572,33.5812,38.7935,36.1935,37.3372,34.3122,0,0,0,1679529312.2,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.32382055,-0.0225561951219513,0.0401680030708212,1,0.20268145,-0.0337129080675425,0.012943717445058,1,2,2,"2/2",2.98066,2.72826,0.0853033,0.0862393,0.0541863,0.0538602,27472.2,27132.6,30558.5,29935.1,39884.9,37297.4,46722.7,44505,1.88547,1.87185,0.0112131,0,19.7926,999.9,33.1,29.9,15.6038,63.3563,18.1931,1,-0.111021,2.60364,20.205,5.2402,11.968,4.973,3.291,9999,9999,9999,999.9,4.97291,1.87683,1.87498,1.87775,1.87453,1.87815,1.87518,1.87634,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.543,0.0786,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1248.7,1248.7,1.09253,2.52563,1.39893,2.34253,1.44897,2.43164,35.2671,24.0787,18,489.21,451.955,17.2048,25.4779,29.9999,25.4727,25.5765,21.919,36.8086,40.0965,17.2039,420,9.29542,100.992,102.348,NA,5
4,1679529286.6,15,"20230322 18:54:46","18:54:46",5,"albert","sch_sco30_t3_ch5",1679529284.1,0.000452678279362694,0.452678279362694,-0.984788403814606,420.348667052843,467.191755265458,42.0312767351368,37.8170011585609,0.0268614379860995,3.97827758628645,0.0267610838188412,0.0167346624252571,0,19.9868695147931,19.9756666666667,2.34307942535934,35.9793835678853,0.848250675974338,2.35760202609884,1.49482874938501,-19.9631121198948,21.4047947429408,1.08204107822285,2.5237237012688,-1.08189411474438,0.444496527029466,-0.984788403814606,423.949214166217,424.330684848485,-0.000379435629218982,63.9201550901532,0.452678279362694,9.26386213779899,9.43461806060606,7.05522811394621e-05,101.031249755669,2,0,1,0,48642,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529284.1,420.348666666667,420.006777777778,9.42859111111111,9.26040444444444,416.806111111111,9.34994222222222,500.029888888889,89.8659444444444,0.0998485333333333,20.0754666666667,19.9756666666667,999.9,0,0,10013.3555555556,0,0.386148,0.342013888888889,424.349666666667,423.932555555556,0.168186555555556,420.006777777778,9.26040444444444,0.847309,0.832194888888889,4.52559111111111,4.26862333333333,0,0,0,0,2.11042222222222,0,-1.99181111111111,-0.891722222222222,33.6385555555555,38.6594444444444,36.0761111111111,37.1664444444445,34.2288888888889,0,0,0,1679529317,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.335869073170732,-0.139840181184669,0.0357166745395673,0,0.193147170731707,-0.0461911149825782,0.0165512062723057,1,1,2,"1/2",2.98086,2.72834,0.0853047,0.0862342,0.0542342,0.0541563,27472.4,27132.8,30558.8,29935,39883.1,37285.9,46723,44505.3,1.8858,1.87185,0.0114366,0,19.7905,999.9,33,29.8,15.4666,63.2763,18.3013,1,-0.111641,2.58198,20.2045,5.23601,11.968,4.9723,3.2904,9999,9999,9999,999.9,4.97294,1.87686,1.87499,1.87776,1.87454,1.87815,1.87518,1.87635,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.543,0.0787,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1248.8,1248.8,1.09375,2.54028,1.39893,2.34131,1.44897,2.38525,35.2671,24.0787,18,489.36,451.921,17.2035,25.4742,29.9998,25.4689,25.5722,21.9211,36.8086,39.72,17.2208,420,9.24995,100.993,102.348,NA,5
5,1679529291.6,20,"20230322 18:54:51","18:54:51",5,"albert","sch_sco30_t3_ch5",1679529288.8,0.000503894953699523,0.503894953699523,-1.05623848557442,420.290100414224,464.990456197275,41.8343194172149,37.8127122272859,0.0299300348772638,3.97598530877839,0.0298054284406495,0.018639544774002,0,19.9744146034249,19.98129,2.34389562723701,36.0537318791886,0.849878493308034,2.35725526598985,1.49401713392897,-22.221767458149,19.6776347729584,0.99532085576366,-1.54881182942692,-1.09174569401107,0.448301017205475,-1.05623848557442,423.860274141448,424.280878787879,-0.00284997270308427,63.9201550901532,0.503894953699523,9.27359773966522,9.45220496969697,0.00161423830029302,101.031249755669,3,1,1,0,48678,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529288.8,420.2901,419.9451,9.44644,9.276842,416.7476,9.367572,500.104,89.86816,0.09996485,20.07309,19.98129,999.9,0,0,10005.24,0,0.386148,0.3449188,424.298,423.8773,0.169599,419.9451,9.276842,0.8489341,0.8336927,4.552975,4.294292,0,0,0,0,2.15999,0,-2.24594,-0.87959,33.6873,38.5311,35.9936,37.0373,34.1436,0,0,0,1679529322.4,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.329165675,0.0941133095684794,0.0342600201199499,1,0.1871186,-0.143169771106942,0.0211813953362379,0,1,2,"1/2",2.98082,2.72812,0.0852994,0.0862474,0.0543025,0.0540266,27473.2,27133.1,30559.5,29935.8,39881.1,37292,46724.1,44506.4,1.88522,1.87185,0.0118092,0,19.7888,999.9,33,29.9,15.5546,63.4362,17.8846,1,-0.111951,2.52316,20.2058,5.23646,11.968,4.97215,3.29038,9999,9999,9999,999.9,4.97292,1.87685,1.87499,1.87775,1.87453,1.87816,1.87518,1.87636,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.542,0.0789,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1248.9,1248.9,1.09375,2.52441,1.39893,2.34131,1.44897,2.49023,35.2671,24.0875,18,489.021,451.886,17.2152,25.4704,29.9996,25.4652,25.5679,21.9206,36.8086,39.72,17.2338,420,9.22463,100.996,102.35,NA,5
6,1679529296.6,25,"20230322 18:54:56","18:54:56",5,"albert","sch_sco30_t3_ch5",1679529294.1,0.000509620607066485,0.509620607066485,-1.08628009615351,420.293000427657,465.915729748259,41.9180232609019,37.8133869355301,0.0302861571050691,3.97120786415451,0.0301584218074414,0.0188604450772089,0,19.9706445381206,19.9803777777778,2.34376320530274,36.0833180354797,0.850442503342826,2.35688553504589,1.49332070195991,-22.474268771632,19.3066797216621,0.977715024855036,-2.18987402511485,-1.02128146976813,0.509327910566514,-1.08628009615351,423.91782320917,424.326181818182,0.00221714597678477,63.9201550901532,0.509620607066485,9.25947817189692,9.45240636363636,-1.44203828907271e-05,101.031249755669,2,0,1,0,48570,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529294.1,420.293,419.984666666667,9.45260555555556,9.25989555555556,416.750444444444,9.37365888888889,500.036666666667,89.8690333333333,0.100076066666667,20.0705555555556,19.9803777777778,999.9,0,0,9988.75,0,0.386148,0.308332666666667,424.303777777778,423.91,0.192706888888889,419.984666666667,9.25989555555556,0.849496222222222,0.832177777777778,4.56243777777778,4.26836333333333,0,0,0,0,2.11821111111111,0,-2.44602222222222,-0.793077777777778,33.6731111111111,38.4026666666667,35.9442222222222,36.9024444444444,34.083,0,0,0,1679529327.2,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.3221016,0.0565576435272039,0.0406721163604748,1,0.185036125,-0.0522884915572234,0.0196695977630295,1,2,2,"2/2",2.98067,2.7283,0.0853081,0.0862395,0.0543027,0.0540234,27473.1,27133.4,30559.7,29935.9,39881.7,37292.1,46724.7,44506.4,1.88587,1.87185,0.0114366,0,19.7867,999.9,33,29.9,15.5532,63.4162,18.4776,1,-0.112363,2.5014,20.2063,5.24005,11.968,4.973,3.291,9999,9999,9999,999.9,4.97292,1.87683,1.87495,1.87776,1.87451,1.87814,1.87516,1.87634,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.542,0.0789,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1248.9,1248.9,1.09253,2.53662,1.39893,2.34131,1.44897,2.38281,35.2902,24.0787,18,489.343,451.851,17.2311,25.4672,29.9998,25.4608,25.5636,21.9229,36.8086,39.72,17.2473,420,9.20763,100.997,102.351,NA,5
7,1679529301.6,30,"20230322 18:55:01","18:55:01",5,"albert","sch_sco30_t3_ch5",1679529298.8,0.000506371945224856,0.506371945224856,-0.977219757640456,420.288800383841,460.536359543144,41.4345577058352,37.8134759433453,0.0300907142033008,3.97306746264372,0.0299646772389347,0.0187392030368258,0,19.9679899444836,19.9805,2.34378094720349,36.0875423740635,0.850366492499107,2.35639901350078,1.49341445470438,-22.3310027844161,18.5750782513532,0.940210040941564,-2.81571449212134,-1.00510908695915,0.509592112448827,-0.977219757640456,423.913743748733,424.293296969697,-0.000596775482484002,63.9201550901532,0.506371945224856,9.25961636338636,9.45139018181818,-2.56572537099615e-05,101.031249755669,3,1,1,0,48651,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529298.8,420.2888,419.9867,9.451644,9.258843,416.7461,9.372712,500.0604,89.8702,0.10002026,20.06722,19.9805,999.9,0,0,9995,0,0.386148,0.3021363,424.299,423.9116,0.1928012,419.9867,9.258843,0.849421,0.832094,4.561168,4.266923,0,0,0,0,2.01233,0,-2.75161,-0.69082,33.481,38.3122,35.8121,36.7873,34.0185,0,0,0,1679529332,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.326081097560976,-0.167200912891986,0.0404379437300221,0,0.182421097560976,0.0620772752613243,0.0170771920677057,1,1,2,"1/2",2.98089,2.72846,0.0853064,0.0862541,0.0542988,0.0539789,27473,27133.4,30559.4,29936.3,39881.5,37294.8,46724.4,44507.5,1.88575,1.87162,0.0120699,0,19.7842,999.9,32.9,29.9,15.5058,63.1562,18.0649,1,-0.112876,2.48877,20.2067,5.2405,11.968,4.97255,3.291,9999,9999,9999,999.9,4.97293,1.87683,1.87499,1.87777,1.87453,1.87814,1.8752,1.87636,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.542,0.0789,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1249,1249,1.09375,2.53784,1.39893,2.34253,1.44897,2.45239,35.2671,24.0787,18,489.248,451.676,17.2466,25.4634,29.9998,25.457,25.5593,21.922,36.8086,39.3463,17.261,420,9.18886,100.996,102.353,NA,5
8,1679529306.6,35,"20230322 18:55:06","18:55:06",5,"albert","sch_sco30_t3_ch5",1679529304.1,0.000564035916937179,0.564035916937179,-1.04935245861095,420.329667078604,458.726934899395,41.2721263351932,37.8174853105203,0.0335297112737301,3.97710094259085,0.0333734577757572,0.0208723889960946,0,19.953020890293,19.9795333333333,2.3436406281129,36.0826446803277,0.850052414622805,2.35584842007508,1.49358821349009,-24.8739839369296,17.9916721706672,0.909734247196256,-5.97257751906615,-1.04217925326031,0.572570894441091,-1.04935245861095,423.9392250791,424.342018181818,0.000362330274902012,63.9201550901532,0.564035916937179,9.22831095265595,9.44314042424242,-0.000194475751572304,101.031249755669,2,0,1,0,48612,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529304.1,420.329666666667,420.023555555556,9.44807,9.23146111111111,416.787,9.36918222222222,500.107777777778,89.8709777777778,0.100033722222222,20.0634444444444,19.9795333333333,999.9,0,0,10008.7555555556,0,0.386148,0.305969333333333,424.338777777778,423.937222222222,0.216609666666667,420.023555555556,9.23146111111111,0.849107222222222,0.829640333333333,4.55588666666667,4.22481555555556,0,0,0,0,2.13355555555556,0,-3.01776666666667,-0.659922222222222,33.3677777777778,38.194,35.7636666666667,36.6316666666667,33.9166666666667,0,0,0,1679529337.4,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.316129390243902,-0.200778041811846,0.0420573062321667,0,0.189552024390244,0.181834515679443,0.019891914172307,0,0,2,"0/2",2.98081,2.72842,0.0853154,0.0862519,0.0542573,0.0538581,27473.5,27133.5,30560.3,29936.3,39884.2,37299.7,46725.4,44507.6,1.88582,1.87162,0.0121817,0,19.7812,999.9,32.9,29.9,15.5066,63.3462,18.0889,1,-0.113006,2.47856,20.2068,5.24005,11.968,4.9731,3.291,9999,9999,9999,999.9,4.97291,1.87683,1.87499,1.87776,1.87453,1.87817,1.87521,1.87636,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.543,0.0788,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1249.1,1249.1,1.09253,2.52319,1.39893,2.34131,1.44897,2.46704,35.2902,24.0875,18,489.258,451.641,17.2614,25.4597,29.9997,25.4527,25.555,21.9229,36.8086,39.3463,17.275,420,9.18222,100.998,102.353,NA,5
9,1679529311.6,40,"20230322 18:55:11","18:55:11",5,"albert","sch_sco30_t3_ch5",1679529308.8,0.000551647373198065,0.551647373198065,-1.13131281270716,420.351700444993,463.843346780067,41.7333011515277,37.8202344088932,0.0327754667436876,3.97347914253008,0.0326260116338375,0.020404628242212,0,19.9518079156631,19.97632,2.34317424100471,36.0408201300849,0.848880837110069,2.35533163242717,1.49429340389464,-24.3276491580347,17.9043577855317,0.906113112407205,-5.51717826009583,-1.13568220283339,0.568626510544814,-1.13131281270716,423.925016232791,424.359812121212,0.000287901472844942,63.9201550901532,0.551647373198065,9.21894040743044,9.42930133333334,-0.000219245078919703,101.031249755669,3,1,1,0,48577,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529308.8,420.3517,420.0092,9.434857,9.219706,416.809,9.356132,500.0347,89.87274,0.10009553,20.0599,19.97632,999.9,0,0,9996.13,0,0.386148,0.3423431,424.3554,423.9178,0.2151505,420.0092,9.219706,0.8479362,0.8286,4.536163,4.206937,0,0,0,0,2.13097,0,-3.10882,-0.65376,33.2498,38.0808,35.6496,36.4875,33.8434,0,0,0,1679529342.2,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.309425219512195,0.145454738675958,0.0344512961103573,0,0.202887292682927,0.106064968641116,0.0120549179403463,0,0,2,"0/2",2.98073,2.7284,0.0853166,0.0862478,0.0542011,0.0538363,27473.4,27133.2,30560.2,29935.9,39886.6,37300.1,46725.4,44507.1,1.88575,1.87178,0.0121444,0,19.7779,999.9,32.8,29.9,15.4611,63.4162,18.4215,1,-0.113592,2.46573,20.2071,5.24005,11.9682,4.97255,3.291,9999,9999,9999,999.9,4.9729,1.87683,1.87495,1.87775,1.87451,1.87811,1.87519,1.87635,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.543,0.0786,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1249.2,1249.2,1.09375,2.53906,1.39893,2.34253,1.44897,2.3645,35.2902,24.07,18,489.187,451.7,17.2757,25.4565,29.9997,25.4484,25.5507,21.923,36.8086,39.3463,17.2915,420,9.17529,100.998,102.352,NA,5
10,1679529316.6,45,"20230322 18:55:16","18:55:16",5,"albert","sch_sco30_t3_ch5",1679529314.1,0.000533953035099802,0.533953035099802,-1.13175662546455,420.3331115554,465.671954412342,41.896901533769,37.8177273064323,0.031711828952633,3.97426562965525,0.0315719219617085,0.0197449696995046,0,19.9544946838816,19.9718111111111,2.34251995250865,36.0003943514242,0.847886689422999,2.3552150044419,1.49463326308565,-23.5473288479013,18.7025704596183,0.946296451705544,-3.89846193657742,-1.16804354087696,0.546082417997641,-1.13175662546455,423.874837103582,424.314163636364,-0.000647866360624635,63.9201550901532,0.533953035099802,9.21770259007847,9.42064472727272,-0.000124916119859554,101.031249755669,2,0,1,0,48659,0,0,0,0,1.91,0.5,"0: Broadleaf",2,"True",1679529314.1,420.333111111111,419.974666666667,9.42401555555556,9.21741555555555,416.790444444445,9.34542444444444,500.091,89.871,0.0998499444444444,20.0591,19.9718111111111,999.9,0,0,9999.02222222222,0,0.386148,0.358567888888889,424.332111111111,423.881666666667,0.206599444444444,419.974666666667,9.21741555555555,0.846945777777778,0.828378333333333,4.51946111111111,4.20312222222222,0,0,0,0,2.04998888888889,0,-3.18662222222222,-0.647744444444445,33.208,37.986,35.5761111111111,36.3818888888889,33.7706666666667,0,0,0,1679529347,0,0,"--:--:--",1679454360.5,1679454360.5,0,-0.152,-0.046,3.296,0.35,420,24,0.27,0.09,0.328830634146341,0.187047324041812,0.0367667754158004,0,0.206784634146341,0.0601537212543555,0.0103159914737103,1,1,2,"1/2",2.98081,2.72806,0.085313,0.086254,0.0541663,0.0538214,27473.1,27133.5,30559.8,29936.4,39887.4,37301.4,46724.7,44507.9,1.88592,1.87195,0.0116229,0,19.7761,999.9,32.8,29.9,15.4585,63.3662,17.9407,1,-0.113935,2.44492,20.2072,5.23661,11.968,4.9717,3.29045,9999,9999,9999,999.9,4.97296,1.87684,1.87498,1.87776,1.87454,1.87817,1.8752,1.87637,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.542,0.0785,1.9721141837395,0.00444967177487431,-1.82946663531207e-06,4.66154596485673e-10,0.00564981839627076,0.00304775089903738,0.000514589038898914,-5.93011099749577e-07,0,2134,1,23,1249.3,1249.3,1.09375,2.5293,1.39893,2.34131,1.44897,2.48901,35.2902,24.0875,18,489.256,451.774,17.2915,25.4522,29.9997,25.4446,25.5464,21.9215,36.8086,38.9743,17.3107,420,9.17117,100.997,102.353,NA,5
