obs,time,elapsed,date,hhmmss,averaging,machine,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1679620511,0,20230323 20:15:10,20:15:10,5,albert,sch_sco32_t4_ch5,1679620508,0.001157709,1.157709148,-0.958236298,420.1440003,431.0771471,38.7050282,37.72337616,0.068650839,4.216598611,0.068035892,0.042577224,0,19.85050797,20.00336,2.347101398,35.92642525,0.846446804,2.356056297,1.500654594,-51.05497343,13.98277701,0.666955617,-36.4052408,-1.044154885,1.163871576,-0.958236298,423.8612505,424.1269515,-0.000158359,64.77249713,1.157709148,9.111897458,9.426102909,-1.72E-06,98.57093648,1,0,1,0,48535,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620508,420.144,419.9919,9.427299,9.111434,416.6862,9.358757,500.0466,89.68677,0.1000082,20.06487,20.00336,999.9,0,0,9998.62,0,0.772297,0.1519989,424.1426,423.8539,0.3158636,419.9919,9.111434,0.845504,0.8171753,4.49512,4.009205,0,0,0,0,2.07692,0,-2.94509,-1.09263,33.5933,40.4496,36.8435,39.2059,34.662,0,0,0,1679620543,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.12048949,0.200955024,0.025418843,0,0.317069125,-0.004995861,0.000825904,1,1,2,2-Jan,2.98018,2.72807,0.0849822,0.0859277,0.0540338,0.0531537,27436.8,27101.5,30511.6,29893.7,39834.3,37274.8,46656.3,44444.7,1.87855,1.82623,-0.00692159,0,20.1211,999.9,53.6,30.7,26.5017,63.3099,18.9944,1,-0.0570935,3.05544,20.1971,5.2387,11.9682,4.97285,3.291,9999,9999,9999,999.9,4.97292,1.87697,1.87503,1.87789,1.87458,1.8782,1.87531,1.8764,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0685,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.2,8.2,1.0791,2.56104,1.39893,2.34863,1.44897,2.37915,35.8477,24.07,18,490.023,429.204,17.0702,26.1265,30.0002,26.1271,26.2311,21.6343,61.7435,0,17.0591,420,9.13079,100.844,102.208,NA,5
2,1679620516,5,20230323 20:15:15,20:15:15,5,albert,sch_sco32_t4_ch5,1679620513,0.001163229,1.163229353,-1.157466357,420.1538892,435.576945,39.10886354,37.72408367,0.068976236,4.217678445,0.068355632,0.042777563,0,19.85054636,20.00286667,2.347029697,35.9170133,0.846277839,2.356203263,1.500751858,-51.29841446,14.32768574,0.68323403,-36.28749468,-1.030424282,1.164779709,-1.157466357,423.8682075,424.1863515,0.000392348,64.77249713,1.163229353,9.10914045,9.424822909,-1.18E-06,98.57093648,1,0,1,0,48533,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620513,420.1538889,420.0056667,9.425462222,9.109367778,416.6963333,9.356942222,500.0744444,89.6865,0.099848867,20.06587778,20.00286667,999.9,0,0,10002.06889,0,0.772297,0.148278222,424.1517778,423.8667778,0.316092778,420.0056667,9.109367778,0.845336667,0.816987333,4.492291111,4.005934444,0,0,0,0,1.959655556,0,-2.890722222,-1.1019,33.62488889,40.5,36.861,39.25688889,34.715,0,0,0,1679620548,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.131441441,0.18837647,0.025447413,0,0.316913317,-0.00732301,0.000913613,1,1,2,2-Jan,2.98031,2.72834,0.0849871,0.0859301,0.0540262,0.053155,27436.8,27101.9,30511.8,29894.3,39834.9,37275.7,46656.7,44445.8,1.8787,1.8263,-0.00739098,0,20.1249,999.9,53.6,30.7,26.5016,63.2899,18.4896,1,-0.0572764,3.01288,20.198,5.239,11.9694,4.9731,3.291,9999,9999,9999,999.9,4.97291,1.87696,1.87503,1.87789,1.87456,1.87821,1.8753,1.8764,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0685,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.3,8.3,1.0791,2.54639,1.39893,2.34863,1.44897,2.44873,35.8711,24.0787,18,490.078,429.216,17.0561,26.1229,30,26.1233,26.2265,21.6354,61.7435,0,17.0548,420,9.13079,100.845,102.21,NA,5
3,1679620521,10,20230323 20:15:20,20:15:20,5,albert,sch_sco32_t4_ch5,1679620518,0.001157084,1.15708383,-1.021828464,420.1926003,432.6153619,38.84259705,37.72721289,0.068587517,4.217362513,0.067973809,0.042538312,0,19.85051078,20.00472,2.34729907,35.9122635,0.84610529,2.356034423,1.50119378,-51.02739689,13.64198687,0.65058665,-36.73482337,-1.152147026,1.160997699,-1.021828464,423.8777791,424.1618727,-0.000329262,64.77249713,1.15708383,9.108349343,9.422393515,-3.30E-06,98.57093648,1,0,1,0,48572,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620518,420.1926,420.0106,9.423627,9.108545,416.7345,9.355129,500.0533,89.68551,0.10001421,20.06472,20.00472,999.9,0,0,10001.179,0,0.772297,0.1820314,424.1899,423.8713,0.3150829,420.0106,9.108545,0.8451628,0.8169045,4.489351,4.004489,0,0,0,0,2.15387,0,-2.86789,-1.08166,33.6497,40.531,36.8872,39.312,34.6996,0,0,0,1679620554,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.150466595,0.218062658,0.028278951,0,0.316233049,-0.008279498,0.000995139,1,1,2,2-Jan,2.98004,2.72832,0.0849855,0.0859335,0.0540144,0.0531456,27437.5,27101.9,30512.5,29894.3,39836.4,37275.9,46657.8,44445.5,1.87873,1.82603,-0.00768155,0,20.1269,999.9,53.6,30.7,26.5055,63.5399,19.1266,1,-0.0576804,2.99095,20.1983,5.239,11.9685,4.97305,3.291,9999,9999,9999,999.9,4.97291,1.87698,1.87503,1.8779,1.87464,1.87822,1.87533,1.87646,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0685,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.3,8.3,1.0791,2.55859,1.39893,2.34863,1.44897,2.43042,35.8711,24.0787,18,490.057,429.018,17.0498,26.1193,29.9998,26.1183,26.2223,21.6325,61.7435,0,17.0504,420,9.13079,100.847,102.21,NA,5
4,1679620526,15,20230323 20:15:25,20:15:25,5,albert,sch_sco32_t4_ch5,1679620523,0.001153188,1.153188014,-1.240958603,420.1843337,437.7691147,39.3050504,37.72620283,0.06842486,4.218307949,0.067814181,0.042438276,0,19.85124656,19.99298889,2.345594467,35.90481463,0.845928163,2.356029886,1.499666304,-50.85559141,16.30582888,0.777404242,-33.77235829,-1.268323002,1.155627994,-1.240958603,423.8297321,424.1730424,-4.34E-05,64.77249713,1.153188014,9.10837465,9.421320909,1.31E-06,98.57093648,1,0,1,0,48530,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620523,420.1843333,419.9698889,9.421721111,9.108103333,416.7263333,9.353246667,500.0653333,89.68504444,0.099842344,20.06468889,19.99298889,999.9,0,0,10004.22444,0,0.772297,0.214375889,424.1806667,423.8301111,0.313616111,419.9698889,9.108103333,0.844987222,0.816860556,4.486384444,4.003724444,0,0,0,0,2.060377778,0,-2.908966667,-1.146611111,33.68044444,40.569,36.93022222,39.375,34.722,0,0,0,1679620558,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.1739808,0.243252383,0.030084194,0,0.3152028,-0.009051557,0.001081051,1,1,2,2-Jan,2.98023,2.72825,0.0849845,0.0859321,0.0540102,0.053144,27437.6,27101.7,30512.5,29894,39836.8,37275.8,46658,44445.4,1.8786,1.82615,-0.00803173,0,20.1287,999.9,53.6,30.7,26.5044,63.4599,18.5857,1,-0.0579472,2.96457,20.1989,5.23885,11.9689,4.973,3.291,9999,9999,9999,999.9,4.97291,1.87698,1.87506,1.8779,1.87463,1.87825,1.87531,1.87646,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0685,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.4,8.4,1.0791,2.55127,1.39893,2.34863,1.44897,2.40234,35.8711,24.0787,18,489.961,429.059,17.0463,26.1155,29.9999,26.1144,26.2177,21.6339,61.7435,0,17.054,420,9.13079,100.848,102.209,NA,5
5,1679620531,20,20230323 20:15:30,20:15:30,5,albert,sch_sco32_t4_ch5,1679620528,0.001152285,1.15228495,-1.237125281,420.1293003,437.663541,39.29616776,37.72183406,0.068313444,4.21373508,0.067704089,0.042369351,0,19.85312411,20.00045,2.346678487,35.89229604,0.845734302,2.356311507,1.500944185,-50.8157663,15.0318975,0.717479941,-35.06638885,-1.069442824,1.156229856,-1.237125281,423.8132091,424.1384606,0.003520816,64.77249713,1.15228495,9.105368777,9.418087939,-2.80E-06,98.57093648,1,0,1,0,48534,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620528,420.1293,419.9694,9.419419,9.10565,416.6713,9.350976,500.0858,89.68613,0.10011921,20.06662,20.00045,999.9,0,0,9989.627,0,0.772297,0.1598968,424.1243,423.8286,0.3137693,419.9694,9.10565,0.8447913,0.8166504,4.483069,4.000061,0,0,0,0,2.12541,0,-2.90391,-1.10338,33.725,40.6124,36.9435,39.431,34.7374,0,0,0,1679620563,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.174405073,0.056756279,0.029602559,1,0.314767707,-0.010111672,0.001151528,1,2,2,2-Feb,2.98012,2.72847,0.0849861,0.0859356,0.0539989,0.0531339,27437.6,27101.8,30512.6,29894.3,39837,37276.5,46657.8,44445.7,1.8789,1.8261,-0.00759214,0,20.1287,999.9,53.6,30.7,26.503,63.4699,18.9663,1,-0.0584909,2.94332,20.1993,5.23915,11.9688,4.9729,3.291,9999,9999,9999,999.9,4.97291,1.87698,1.87508,1.8779,1.87463,1.87825,1.87531,1.87646,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0684,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.5,8.5,1.0791,2.55127,1.39893,2.34863,1.44897,2.46826,35.8477,24.0787,18,490.095,428.996,17.0501,26.1119,29.9996,26.11,26.2133,21.6348,61.7435,0,17.0552,420,9.13079,100.847,102.21,NA,5
6,1679620536,25,20230323 20:15:35,20:15:35,5,albert,sch_sco32_t4_ch5,1679620533,0.001157944,1.15794449,-0.999422333,420.1394447,432.0270259,38.7903755,37.72302622,0.068637037,4.219171182,0.068022708,0.042568929,0,19.85039693,20.00156667,2.346840765,35.88998472,0.845578185,2.356028266,1.50126258,-51.06535202,14.35550305,0.68430958,-36.02553939,-1.010530245,1.157099045,-0.999422333,423.8582817,424.134903,-6.16E-05,64.77249713,1.15794449,9.103563809,9.417815091,5.04E-07,98.57093648,1,0,1,0,48534,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620533,420.1394444,419.9957778,9.41761,9.103584444,416.6816667,9.349188889,500.0537778,89.68697778,0.099941044,20.06467778,20.00156667,999.9,0,0,10006.74222,0,0.772297,0.143714089,424.1338889,423.8542222,0.314026333,419.9957778,9.103584444,0.844636778,0.816472667,4.480458889,3.996967778,0,0,0,0,2.032577778,0,-2.530966667,-1.120644444,33.70111111,40.625,36.972,39.5,34.76377778,0,0,0,1679620569,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.171732166,-0.15886093,0.032469278,0,0.314140659,-0.003813303,0.000734876,1,1,2,2-Jan,2.98029,2.72831,0.0849862,0.0859294,0.0539964,0.0531277,27438,27102.3,30513.1,29894.6,39837.9,37277.3,46658.7,44446.3,1.8787,1.82625,-0.00757724,0,20.1287,999.9,53.6,30.7,26.5045,63.3299,18.6178,1,-0.0587246,2.94409,20.1994,5.239,11.9683,4.9729,3.291,9999,9999,9999,999.9,4.97291,1.87696,1.875,1.87789,1.87456,1.8782,1.87531,1.87639,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0684,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.6,8.6,1.0791,2.55737,1.39893,2.34863,1.44897,2.35718,35.8711,24.0787,18,489.954,429.048,17.0534,26.1083,29.9998,26.1056,26.2083,21.6368,61.7435,0,17.0533,420,9.13079,100.849,102.211,NA,5
7,1679620541,30,20230323 20:15:40,20:15:40,5,albert,sch_sco32_t4_ch5,1679620538,0.00114912,1.149119531,-0.862724948,420.1103002,428.980857,38.51712772,37.72066242,0.068135544,4.218003712,0.067529951,0.042260181,0,19.85200607,19.99654,2.346110351,35.88236044,0.84540024,2.356032965,1.500710111,-50.67617132,15.50192727,0.73914388,-34.43510018,-0.973374013,1.152645423,-0.862724948,423.8354638,424.0804303,-0.001353484,64.77249713,1.149119531,9.102875277,9.414742364,-3.68E-06,98.57093648,1,0,1,0,48553,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620538,420.1103,419.9763,9.415565,9.102768,416.6524,9.347167,500.0866,89.68752,0.10000103,20.06471,19.99654,999.9,0,0,10002.985,0,0.772297,0.13406067,424.1036,423.8343,0.3127968,419.9763,9.102768,0.8444585,0.8164046,4.477443,3.99578,0,0,0,0,2.13699,0,-2.69384,-1.13011,33.781,40.656,36.9748,39.5436,34.7686,0,0,0,1679620573,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.159824388,-0.249504391,0.037961087,0,0.313531175,-0.002806728,0.000722018,1,1,2,2-Jan,2.98026,2.7285,0.0849806,0.0859391,0.0539875,0.0531256,27438.4,27102.2,30513.2,29894.8,39838.6,37277.3,46659,44446.2,1.87892,1.826,-0.00795722,0,20.1282,999.9,53.6,30.7,26.5036,63.1899,18.6699,1,-0.059248,2.94633,20.1993,5.239,11.9688,4.97305,3.291,9999,9999,9999,999.9,4.97291,1.87698,1.87508,1.87791,1.87461,1.87824,1.87532,1.87645,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0684,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.7,8.7,1.0791,2.54883,1.39893,2.34863,1.44897,2.48291,35.8711,24.0875,18,490.047,428.865,17.0527,26.1045,29.9998,26.1012,26.204,21.6379,61.7435,0,17.0531,420,9.13079,100.85,102.211,NA,5
8,1679620546,35,20230323 20:15:45,20:15:45,5,albert,sch_sco32_t4_ch5,1679620543,0.001148102,1.14810231,-1.028155627,420.1037781,432.8543078,38.86498636,37.7201458,0.068094078,4.217790898,0.067489188,0.042234642,0,19.84834041,19.9928,2.34556703,35.88542096,0.845271246,2.355472565,1.500295784,-50.63131185,15.47764822,0.737994823,-34.41566881,-0.910339399,1.151414616,-1.028155627,423.834964,424.1149333,0.000905803,64.77249713,1.14810231,9.101672653,9.413288727,-2.04E-06,98.57093648,1,0,1,0,48605,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620543,420.1037778,419.9868889,9.414111111,9.101611111,416.6461111,9.345734444,500.0281111,89.6877,0.099985267,20.06086667,19.9928,999.9,0,0,10002.29111,0,0.772297,0.116906,424.0962222,423.8444444,0.312499556,419.9868889,9.101611111,0.844330111,0.816302444,4.475267778,3.994001111,0,0,0,0,2.082955556,0,-2.773511111,-1.124533333,33.79822222,40.694,37.01377778,39.611,34.826,0,0,0,1679620578,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.141495861,-0.195082192,0.032630939,0,0.313304049,-0.005146307,0.000807958,1,1,2,2-Jan,2.98013,2.72836,0.0849886,0.0859421,0.0539793,0.0531204,27438.8,27102.8,30514,29895.6,39839.6,37278.6,46659.9,44447.6,1.8789,1.8263,-0.00824034,0,20.1268,999.9,53.6,30.7,26.504,63.2899,18.9303,1,-0.0593547,2.93702,20.1994,5.23915,11.9685,4.97295,3.291,9999,9999,9999,999.9,4.97291,1.87699,1.87511,1.8779,1.87467,1.87829,1.87532,1.87649,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.457,0.0684,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.8,8.8,1.0791,2.56104,1.39893,2.34863,1.44897,2.36816,35.8944,24.07,18,490.002,429.012,17.0528,26.1009,29.9997,26.0968,26.1995,21.6371,61.7435,0,17.0573,420,9.13079,100.852,102.214,NA,5
9,1679620551,40,20230323 20:15:50,20:15:50,5,albert,sch_sco32_t4_ch5,1679620548,0.001144913,1.144912843,-1.011614155,420.1317003,432.5670777,38.83914576,37.72260347,0.067869256,4.21613021,0.0672681,0.04209613,0,19.84923451,19.99652,2.346107445,35.87590367,0.845067119,2.355528454,1.501040327,-50.49065636,14.71312977,0.701832639,-35.07569396,-0.962739936,1.14808868,-1.011614155,423.8432673,424.1228303,2.24E-05,64.77249713,1.144912843,9.100488649,9.411180909,-3.95E-07,98.57093648,1,0,1,0,48538,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620548,420.1317,420.0001,9.41185,9.100299,416.674,9.3435,500.1036,89.68748,0.10008768,20.06125,19.99652,999.9,0,0,9997.058,0,0.772297,0.1317231,424.1236,423.8574,0.3115524,420.0001,9.100299,0.8441251,0.8161829,4.471804,3.991914,0,0,0,0,2.17677,0,-2.54831,-1.16316,33.7996,40.75,37.0248,39.6312,34.8183,0,0,0,1679620584,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.131143958,-0.056941575,0.025685192,1,0.312693525,-0.008386503,0.00103393,1,2,2,2-Feb,2.98033,2.72838,0.0849901,0.0859417,0.0539729,0.0531111,27439,27103.3,30514.2,29896.1,39840.4,37279.6,46660.5,44448.3,1.87903,1.82625,-0.00713021,0,20.1252,999.9,53.6,30.7,26.5035,63.3299,18.4696,1,-0.0599238,2.92365,20.1996,5.23885,11.9691,4.9728,3.291,9999,9999,9999,999.9,4.97291,1.87698,1.87506,1.8779,1.87465,1.87825,1.87532,1.87645,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0683,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.8,8.8,1.0791,2.54517,1.39893,2.34863,1.44897,2.46338,35.8711,24.0875,18,490.04,428.948,17.0566,26.0973,29.9997,26.0923,26.1951,21.638,61.7435,0,17.0619,420,9.13079,100.853,102.216,NA,5
10,1679620556,45,20230323 20:15:55,20:15:55,5,albert,sch_sco32_t4_ch5,1679620553,0.001145578,1.145578477,-0.913428851,420.1188891,430.252896,38.63130139,37.72139496,0.067827866,4.217124719,0.06722758,0.042070728,0,19.85369833,20.00708889,2.347643416,35.8561298,0.844838652,2.3561903,1.502804764,-50.52001083,13.34565795,0.636501807,-36.53785107,-0.948419424,1.146436689,-0.913428851,423.859784,424.1121333,4.42E-05,64.77249713,1.145578477,9.09806078,9.408997091,-3.10E-06,98.57093648,1,0,1,0,48727,0,0,0,0,1.37,0.5,0: Broadleaf,2,TRUE,1679620553,420.1188889,419.991,9.40932,9.098173333,416.6612222,9.341002222,500.0342222,89.68757778,0.0998513,20.06578889,20.00708889,999.9,0,0,10000.19556,0,0.772297,0.127980433,424.1095556,423.8472222,0.311147667,419.991,9.098173333,0.843899111,0.815993111,4.467978889,3.988606667,0,0,0,0,2.069833333,0,-2.346222222,-1.126622222,33.826,40.77755556,37.062,39.701,34.826,0,0,0,1679620588,0,1679620020,20:06:59,1679620020,1679620020,1,-0.073,0.004,3.457,0.066,420,9,0.23,0.06,0.128106685,-0.072760447,0.026554367,1,0.312228925,-0.007856004,0.000958428,1,2,2,2-Feb,2.98017,2.72819,0.0849854,0.0859326,0.0539634,0.0531106,27439,27103.6,30514.1,29896.1,39840.7,37279.9,46660.3,44448.7,1.87888,1.8264,-0.0070259,0,20.1238,999.9,53.6,30.7,26.5011,62.9199,19.1026,1,-0.0603074,2.93192,20.1997,5.23915,11.9686,4.973,3.291,9999,9999,9999,999.9,4.97292,1.87698,1.87505,1.8779,1.87464,1.87825,1.87532,1.87645,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.458,0.0683,1.991070585,0.004187724,-1.79E-06,4.61E-10,-0.005509569,0.003065821,0.000539025,-2.26E-06,0,2131,1,24,8.9,8.9,1.0791,2.55859,1.39893,2.34863,1.44897,2.41699,35.8944,24.0787,18,489.931,429.009,17.0612,26.0929,29.9997,26.0885,26.1913,21.6401,61.7435,0,17.0566,420,9.13079,100.853,102.217,NA,5
