obs,time,elapsed,date,hhmmss,averaging,id,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd.dt,αVc,Edyn,Hr,Hs,dHs.dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv.Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo.,DarkPulseID,Fmin,Fo.,Fv..Fm.,qP,qN,qP_Fo,qN_Fo,qL,X1.qL,ID,P1_dur,P1_Fmax,T.P1_Fmax,Q.P1_Fmax,P1_PredF,P1_ΔF,P2_dur,P2_ramp,P2_int,P2_int_se,P2_slp,P2_slp_se,P2_R2,P2_dQdt,P3_dur,P3_Fmax,T.P3_Fmax,Q.P3_Fmax,P3_PredF,P3_ΔF,ID.1,Dur,DCo,InitSlope,Fo.1,F1,T.F1,T.HIR,F2,T.F2,DCmax,T.DCmax,PhiPS2_dc,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,time.1,hhmmss.1,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2.MN,ΔCO2.SLP,ΔCO2.SD,ΔCO2.OK,ΔH2O.MN,ΔH2O.SLP,ΔH2O.SD,ΔH2O.OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_.,Flow_.,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,NA.,chamber
1,1679620679,0,20230323 20:17:58,20:17:58,5,sor_nut32_t4_ch5,1679620676,0.000390396,0.390395523,-1.067154559,420.3356004,482.4578717,43.29215285,37.71776591,0.023009794,3.968742839,0.022935937,0.014341576,0,19.8168411,19.99059,2.345246028,36.24996039,0.845048767,2.331171559,1.500197261,-17.21644255,-20.78863186,-1.052517052,-39.05759147,-1.127820864,0.394408615,-1.067154559,423.8852185,424.3052364,-0.001732585,67.06087088,0.390395523,9.268375225,9.416145818,-6.39E-06,91.37480055,0,0,1,0,48690,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620676,420.3356,419.9681,9.417421,9.268175,420.8485,9.374246,499.9974,89.63263,0.09987391,19.89343,19.99059,999.9,0,0,10006.618,0,0.30357,0.3675934,424.3317,423.8968,0.1492459,419.9681,9.268175,0.8441082,0.8307309,4.471516,4.243547,0,0,0,0,1.92834,0,-20.22497,-1.93933,33.9496,38.8498,36.0748,38.1122,34.6622,0,0,0,1679620661,0,2.055423077,-0.497401714,-8.947921351,-19.53485,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.34914705,0.092065869,0.037347209,1,0.1462443,0.024031812,0.002350874,1,2,2,2-Feb,3.10117,2.73531,0.0878072,0.0877207,0.0540528,0.0541581,23505.7,23223.2,26308.3,25786.9,39968.3,37232,46033.1,42589.3,1.91675,1.9065,-0.00862405,0,20.1287,999.9,57.5,29.8,27.0198,61.1552,23.4976,1,-0.0884629,2.67523,20.2729,5.22298,11.98,4.96575,3.2755,9999,9999,9999,953.4,1.86417,1.86012,1.8583,1.85985,1.85989,1.85823,1.8573,1.8523,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.512,0.0432,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.5,4.6,1.10962,2.60132,1.49658,2.40601,1.54907,2.39136,33.8057,24.2101,18,489.245,494.194,17.7694,26.0209,29.9995,26.2833,26.2743,22.3248,60.2005,0,17.77,420,9.32302,100.574,101.036,NA,5
2,1679620684,5,20230323 20:18:03,20:18:03,5,sor_nut32_t4_ch5,1679620681,0.000391064,0.391064213,-1.050113537,420.3273337,481.1463327,43.17415445,37.71675267,0.023052258,3.970211746,0.022978156,0.014367985,0,19.8161958,19.98732222,2.344771454,36.23923071,0.844770309,2.331093382,1.500001146,-17.2459318,-20.21270479,-1.022959602,-38.48159619,-1.135438892,0.397745198,-1.050113537,423.8943625,424.3013212,-0.000415005,67.06087088,0.391064213,9.265005868,9.413021273,-4.31E-06,91.37480055,0,0,1,0,48490,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620681,420.3273333,419.9574444,9.414385556,9.263871111,420.84,9.371241111,499.9794444,89.63205556,0.099802544,19.89288889,19.98732222,999.9,0,0,10011.73333,0,0.30357,0.369835667,424.3222222,423.8843333,0.150514444,419.9574444,9.263871111,0.843830778,0.830339889,4.466822222,4.236834444,0,0,0,0,2.144533333,0,-21.08916667,-2.014222222,33.88188889,38.72888889,35.98611111,37.958,34.76377778,0,0,0,1679620665,0,2.072503846,-0.591388036,-8.574830764,-20.27206923,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.353902425,0.12658531,0.038256451,0,0.148336525,0.018648079,0.001889672,1,1,2,2-Jan,3.10122,2.73548,0.0878085,0.0877145,0.0540375,0.0541328,23505.9,23223.6,26308.5,25787,39969.5,37233.6,46033.6,42590,1.91688,1.90677,-0.00858679,0,20.1272,999.9,57.4,29.8,26.9699,61.0452,23.4976,1,-0.0890295,2.65574,20.2735,5.22328,11.98,4.96575,3.27565,9999,9999,9999,953.4,1.86416,1.86016,1.85829,1.85986,1.85989,1.85822,1.8573,1.8523,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.512,0.0431,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.5,4.7,1.11084,2.59888,1.49658,2.40601,1.54907,2.40601,33.8057,24.2188,18,489.261,494.32,17.774,26.0138,29.9994,26.2764,26.2683,22.3267,60.2005,0,17.7784,420,9.32302,100.575,101.037,NA,5
3,1679620689,10,20230323 20:18:08,20:18:08,5,sor_nut32_t4_ch5,1679620686,0.000389124,0.38912367,-1.301433259,420.3358005,498.9139667,44.76897237,37.71792953,0.022920752,3.964326142,0.022847383,0.014286186,0,19.81435956,19.99214,2.345471161,36.22618323,0.844355793,2.330788723,1.501115367,-17.16035384,-21.66314076,-1.098008725,-39.92150332,-1.159627542,0.395903871,-1.301433259,423.8640268,424.3604121,0.001093987,67.06087088,0.38912367,9.259992821,9.407314,-1.15E-05,91.37480055,0,0,1,0,48461,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620686,420.3358,419.9564,9.409662,9.259853,420.8486,9.366564,500.0107,89.63274,0.10011047,19.89078,19.99214,999.9,0,0,9991.423,0,0.30357,0.3793243,424.3288,423.8813,0.1498074,419.9564,9.259853,0.8434136,0.829986,4.45976,4.23076,0,0,0,0,2.18039,0,-21.71563,-2.0827,33.8498,38.6122,35.8685,37.7934,34.6249,0,0,0,1679620671,0,2.058044,1.151876933,-8.308769219,-21.099896,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.3598,0.202541394,0.038757407,0,0.149173,0.010507693,0.001500767,1,1,2,2-Jan,3.10114,2.73528,0.0878155,0.0877274,0.0540151,0.0541244,23506,23223.8,26308.8,25787.6,39970.5,37234.3,46033.7,42590.5,1.91667,1.9071,-0.00806525,0,20.1269,999.9,57.4,29.8,26.9733,61.6252,23.5216,1,-0.0898349,2.63817,20.2739,5.22298,11.98,4.96575,3.2753,9999,9999,9999,953.4,1.86417,1.86013,1.85826,1.85983,1.85989,1.85822,1.8573,1.85233,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.0431,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.6,4.8,1.11084,2.59644,1.49658,2.40601,1.54907,2.40845,33.8057,24.2188,18,489.095,494.478,17.7821,26.0063,29.9994,26.27,26.2623,22.3276,60.2005,0,17.7873,420,9.32305,100.575,101.039,NA,5
4,1679620694,15,20230323 20:18:13,20:18:13,5,sor_nut32_t4_ch5,1679620691,0.000387052,0.387051928,-1.189202893,420.3333338,491.6248177,44.11446251,37.71733735,0.022790527,3.968110281,0.022718057,0.014205278,0,19.81603325,19.99324444,2.34563159,36.20917769,0.844022083,2.330961754,1.501609506,-17.06899001,-21.66385258,-1.097010599,-39.82985319,-1.100555564,0.393686447,-1.189202893,423.8836431,424.3411152,0.000218398,67.06087088,0.387051928,9.257913479,9.404389818,-5.17E-07,91.37480055,0,0,1,0,48490,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620691,420.3333333,419.9761111,9.406035556,9.257052222,420.8461111,9.362976667,499.9675556,89.6321,0.099868211,19.89197778,19.99324444,999.9,0,0,10004.50222,0,0.30357,0.357279556,424.3246667,423.9002222,0.148983444,419.9761111,9.257052222,0.843082889,0.829729,4.454153333,4.226344444,0,0,0,0,2.209622222,0,-22.57145556,-2.159288889,33.77755556,38.50666667,35.72188889,37.70822222,34.72888889,0,0,0,1679620676,0,2.146504,0.327700014,-8.852576908,-21.840492,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.366201025,-0.015020071,0.029784182,1,0.1495561,-0.001226229,0.001131776,1,2,2,2-Feb,3.1012,2.73533,0.0878173,0.0877251,0.0540024,0.054104,23506.3,23223.9,26309.2,25787.7,39971.5,37235.3,46034.2,42590.7,1.91698,1.9069,-0.00828877,0,20.1264,999.9,57.4,29.8,26.9746,61.1852,23.5617,1,-0.0904802,2.64395,20.2739,5.22298,11.98,4.96555,3.2752,9999,9999,9999,953.4,1.86417,1.86013,1.8583,1.85986,1.85989,1.85824,1.8573,1.85232,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.043,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.7,4.8,1.11084,2.59766,1.49658,2.40601,1.54907,2.40356,33.8057,24.2101,18,489.215,494.29,17.7899,25.9998,29.9994,26.2634,26.2556,22.328,60.2005,0,17.7912,420,9.32792,100.576,101.039,NA,5
5,1679620699,20,20230323 20:18:18,20:18:18,5,sor_nut32_t4_ch5,1679620696,0.00039585,0.395849766,-1.034062706,420.3334004,479.2072139,43.00008765,37.71723909,0.023328991,3.964856455,0.023253,0.014539932,0,19.81061842,19.98262,2.344088707,36.20201237,0.843665351,2.330437717,1.500423357,-17.45697466,-20.15052747,-1.021141955,-38.62864409,-1.103758887,0.389931893,-1.034062706,423.9224917,424.3216667,-0.000101663,67.06087088,0.395849766,9.251423674,9.401246364,-6.00E-06,91.37480055,0,0,1,0,48448,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620696,420.3334,419.9744,9.402086,9.254543,420.8463,9.359066,500.0356,89.63166,0.10006024,19.88835,19.98262,999.9,0,0,9993.366,0,0.30357,0.3589844,424.3228,423.8976,0.1475418,419.9744,9.254543,0.8427244,0.8295,4.448084,4.222408,0,0,0,0,2.08822,0,-22.85866,-2.22801,33.7122,38.3748,35.6685,37.5622,34.4809,0,0,0,1679620680,0,2.137852,-0.612261528,-6.355438488,-22.39684,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.359757585,0.003042732,0.032306599,1,0.14943122,-0.006349986,0.001393329,1,2,2,2-Feb,3.10123,2.73534,0.0878188,0.0877116,0.05399,0.0541819,23506.4,23224.5,26309.4,25787.9,39972.5,37232.5,46034.8,42591,1.91682,1.9072,-0.00864267,0,20.1252,999.9,57.4,29.8,26.9702,61.3752,23.5497,1,-0.0910391,2.63708,20.2739,5.22328,11.98,4.96565,3.27518,9999,9999,9999,953.4,1.86416,1.86009,1.8583,1.85986,1.85989,1.85823,1.8573,1.85229,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.043,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.8,4.9,1.11084,2.6001,1.49658,2.40601,1.54907,2.40967,33.8057,24.2101,18,489.075,494.427,17.7955,25.9927,29.9995,26.2568,26.2491,22.3315,59.9214,0,17.7981,420,9.32973,100.578,101.04,NA,5
6,1679620704,25,20230323 20:18:23,20:18:23,5,sor_nut32_t4_ch5,1679620701,0.000302442,0.302441763,-1.000928368,420.3077782,497.9019816,44.67798803,37.71526641,0.017814103,3.961917751,0.017769723,0.011110055,0,19.82687974,19.98377778,2.344256797,36.22685557,0.844137627,2.330143242,1.50011917,-13.33768173,-20.81838387,-1.055763802,-35.2118294,-0.988940858,0.263659962,-1.000928368,423.9100824,424.296697,-0.000134948,67.06087088,0.302441763,9.302651414,9.416944424,2.27E-05,91.37480055,0,0,1,0,48555,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620701,420.3077778,419.9723333,9.407267778,9.307496667,420.8206667,9.364196667,499.9975556,89.63235556,0.100141367,19.88631111,19.98377778,999.9,0,0,9983.19,0,0.30357,0.335459333,424.2994444,423.9182222,0.099773967,419.9723333,9.307496667,0.843195667,0.834252444,4.456061111,4.303857778,0,0,0,0,2.156644444,0,-23.44474444,-2.306755556,33.64566667,38.27066667,35.74266667,37.458,34.54833333,0,0,0,1679620686,0,2.108015385,-0.630919648,-5.714314545,-22.96383462,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.359084325,-0.115689512,0.040738467,0,0.137228768,-0.170052402,0.021138977,1,1,2,2-Jan,3.10128,2.7354,0.0878132,0.087733,0.0540735,0.0544203,23506.9,23224.4,26309.7,25788.4,39969.2,37223.5,46035.1,42591.5,1.9172,1.9071,-0.0083819,0,20.1252,999.9,57.3,29.8,26.9233,61.2352,23.5617,1,-0.0917531,2.60542,20.2743,5.22313,11.98,4.9656,3.2753,9999,9999,9999,953.4,1.86417,1.86012,1.85831,1.85982,1.85989,1.85822,1.8573,1.85231,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.0432,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,4.9,5,1.11084,2.6001,1.49658,2.40601,1.54907,2.40112,33.8057,24.2101,18,489.239,494.308,17.8043,25.9861,29.9994,26.2502,26.2429,22.3301,59.9214,0,17.8115,420,9.32559,100.578,101.042,NA,5
7,1679620709,30,20230323 20:18:28,20:18:28,5,sor_nut32_t4_ch5,1679620706,0.000360734,0.360734296,-1.147722337,420.3438005,494.4386864,44.36666849,37.7180317,0.021275053,3.965941392,0.021211851,0.01326307,0,19.81514228,19.98902,2.345018009,36.31433228,0.846157546,2.330092535,1.498860463,-15.90838243,-22.03544744,-1.116379032,-39.06020891,-1.127554916,0.281554343,-1.147722337,423.9068899,424.3437212,0.001156418,67.06087088,0.360734296,9.323487111,9.439299455,0.003076217,91.37480055,0,0,1,0,48650,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620706,420.3438,419.9583,9.429895,9.32336,420.8566,9.386592,500.0213,89.63141,0.09997573,19.88596,19.98902,999.9,0,0,9997.123,0,0.30357,0.385556,424.3452,423.9104,0.10653342,419.9583,9.32336,0.845215,0.8356663,4.490229,4.328027,0,0,0,0,2.06757,0,-23.93749,-2.38402,33.5998,38.1561,35.7685,37.3434,34.4246,0,0,0,1679620691,0,2.090492308,0.138447864,-6.573271797,-23.42279231,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.35754395,0.062639775,0.044443758,1,0.128157058,-0.20604443,0.023442706,1,2,2,2-Feb,3.10111,2.73525,0.0878128,0.087718,0.0541717,0.0544171,23507.1,23224.8,26309.9,25788.4,39965.6,37224,46035.8,42591.9,1.9172,1.90735,-0.00791624,0,20.1242,999.9,57.3,29.8,26.9254,61.0652,23.6058,1,-0.0924594,2.59644,20.2744,5.22358,11.98,4.96575,3.27513,9999,9999,9999,953.4,1.86417,1.86014,1.85831,1.85987,1.85989,1.85823,1.8573,1.85231,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.0434,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5,5.1,1.11084,2.6001,1.49658,2.40601,1.54907,2.38281,33.8057,24.2101,18,489.185,494.413,17.8164,25.9793,29.9994,26.2436,26.2363,22.3344,59.9214,0,17.8214,420,9.32559,100.58,101.042,NA,5
8,1679620714,35,20230323 20:18:33,20:18:33,5,sor_nut32_t4_ch5,1679620711,0.000345535,0.345534783,-1.463304145,420.3167784,522.6473543,46.898117,37.71580452,0.020382021,3.971219819,0.020324083,0.012707743,0,19.8177631,19.99613333,2.346051268,36.37922802,0.847646093,2.330027708,1.498405175,-15.23808394,-23.68381986,-1.198336351,-40.12024015,-1.074638321,0.32934215,-1.463304145,423.9080188,424.3729697,0.020131372,67.06087088,0.345534783,9.322596486,9.449455818,0.000580042,91.37480055,0,0,1,0,48416,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620711,420.3167778,419.9591111,9.446434444,9.321802222,420.8293333,9.402966667,499.952,89.63198889,0.099866856,19.88551111,19.99613333,999.9,0,0,10015.20778,0,0.30357,0.357649,424.3251111,423.9105556,0.124632889,419.9591111,9.321802222,0.846702778,0.835531667,4.515361111,4.32573,0,0,0,0,1.9673,0,-24.73984444,-2.409622222,33.52066667,38.05522222,35.40244444,37.208,34.30511111,0,0,0,1679620695,0,2.072846154,-0.229941887,-7.728058134,-24.01307308,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.3616714,0.051955182,0.044887526,1,0.120273208,-0.078079325,0.019374722,1,2,2,2-Feb,3.10115,2.73542,0.0878232,0.0877273,0.0542146,0.054401,23507.1,23224.9,26310.1,25788.7,39964.1,37224.7,46036.1,42592,1.91735,1.9074,-0.00789762,0,20.1235,999.9,57.3,29.8,26.9244,61.3752,23.6098,1,-0.0931631,2.60178,20.2742,5.22358,11.98,4.9658,3.2753,9999,9999,9999,953.4,1.86417,1.86015,1.8583,1.85987,1.85989,1.85822,1.8573,1.85234,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.0435,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5,5.2,1.11084,2.60254,1.49658,2.40601,1.54907,2.37793,33.8283,24.2101,18,489.219,494.387,17.8255,25.9727,29.9995,26.237,26.2297,22.3353,59.9214,0,17.8274,420,9.32559,100.58,101.043,NA,5
9,1679620719,40,20230323 20:18:38,20:18:38,5,sor_nut32_t4_ch5,1679620716,0.000357859,0.357858618,-1.081653571,420.3470004,490.0850185,43.97593974,37.71826044,0.021132328,3.965461701,0.021069963,0.013174315,0,19.81609874,19.98882,2.344988963,36.39603872,0.848082406,2.330150303,1.496906557,-15.78156504,-21.90451061,-1.109880775,-38.79595642,-1.098506499,0.353797133,-1.081653571,423.9386968,424.3583515,-0.000526785,67.06087088,0.357858618,9.317719419,9.452435758,0.000102076,91.37480055,0,0,1,0,48533,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620716,420.347,419.9842,9.451361,9.317495,420.8597,9.407843,500.0267,89.63125,0.0999968,19.88636,19.98882,999.9,0,0,9995.492,0,0.30357,0.3626159,424.3576,423.9343,0.1338662,419.9842,9.317495,0.8471373,0.8351387,4.522692,4.319019,0,0,0,0,2.07495,0,-25.59161,-2.48187,33.4435,37.9998,35.4059,37.1498,34.1935,0,0,0,1679620701,0,2.077916,-0.062076934,-13.07691537,-24.959176,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.363000425,0.007016296,0.040972509,1,0.116910583,0.124663883,0.014936733,1,2,2,2-Feb,3.10106,2.73539,0.0878219,0.0877247,0.054223,0.0543872,23507.5,23225.2,26310.5,25788.9,39964.2,37225.7,46036.6,42592.5,1.9171,1.90765,-0.00871718,0,20.1225,999.9,57.3,29.8,26.9253,61.4452,23.6138,1,-0.0937703,2.60764,20.2752,5.22373,11.98,4.9658,3.27535,9999,9999,9999,953.4,1.86417,1.86013,1.8583,1.85987,1.85989,1.85822,1.8573,1.85234,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.512,0.0435,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5.1,5.2,1.11084,2.60742,1.49658,2.40601,1.54907,2.35107,33.8283,24.2101,18,489.021,494.488,17.8303,25.9656,29.9994,26.2304,26.2228,22.3359,59.9214,0,17.8304,420,9.32559,100.582,101.044,NA,5
10,1679620724,45,20230323 20:18:43,20:18:43,5,sor_nut32_t4_ch5,1679620721,0.000367569,0.367568854,-0.976350652,420.3275559,480.1820777,43.08723837,37.71642974,0.021731659,3.971255627,0.021665809,0.01354703,0,19.81458804,19.97831111,2.343463224,36.40107428,0.84821528,2.330192988,1.495247943,-16.20978648,-19.62330169,-0.992791513,-36.82587968,-1.031083109,0.370099925,-0.976350652,423.9306979,424.3179152,-0.002178653,67.06087088,0.367568854,9.313372504,9.452506242,-7.65E-06,91.37480055,0,0,1,0,48532,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,1.91,0.5,0: Broadleaf,2,TRUE,1679620721,420.3275556,419.9931111,9.452863333,9.312823333,420.8401111,9.40933,500.0062222,89.63112222,0.099920167,19.88665556,19.97831111,999.9,0,0,10015.42778,0,0.30357,0.334337,424.3386667,423.9411111,0.140039222,419.9931111,9.312823333,0.847270556,0.834718889,4.524941111,4.311841111,0,0,0,0,1.958622222,0,-28.12964444,-2.378,33.479,38.09,35.54822222,37.26377778,33.06933333,0,0,0,1679620706,0,2.044984,0.120123074,-19.56408456,-26.274272,15,1679620412,20:13:31,1679620412,1679620404,1,0.331,0.019,-0.513,0.043,420,9,0.07,0.08,0.359057878,-0.047115491,0.039372669,1,0.124138229,0.142204294,0.014576608,1,2,2,2-Feb,3.10111,2.73531,0.0878218,0.0877419,0.0542253,0.0543676,23507.7,23224.9,26310.8,25789.1,39964.6,37226.7,46037.2,42592.7,1.91725,1.9076,-0.00825152,0,20.1212,999.9,57.3,29.8,26.9248,61.3652,23.5737,1,-0.0943013,2.57799,20.2763,5.22508,11.98,4.9658,3.27508,9999,9999,9999,953.4,1.86417,1.86018,1.8583,1.85988,1.85989,1.85822,1.8573,1.85235,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.513,0.0435,-0.258129653,-0.000608172,3.95E-08,-7.65E-11,0.005956959,-0.002774667,0.000771921,-5.59E-06,2,1990,1,24,5.2,5.3,1.11084,2.60742,1.49658,2.40601,1.54907,2.35352,33.8283,24.2101,18,489.055,494.397,17.8364,25.959,29.9995,26.2237,26.2162,22.3333,59.9214,0,17.8426,420,9.32559,100.583,101.044,NA,5
