"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_des","CO2_hrs","AccCO2_soda","AccH2O_hum","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1679622826,0,"20230323 20:53:46","20:53:46",5,"pas_smi32_t4_ch5","gibson",1679622823.25,0.000662024377717299,0.662024377717299,-0.631907487328908,420.122300178329,434.457362351694,38.9624407234194,37.6768623017006,0.03912905213898,4.21120662337045,0.0389281864322718,0.0243480773546475,0,20.3125306666408,19.9822,2.34402773311631,35.0955013573955,0.84601634310192,2.4106119313883,1.49801139001439,-29.1952750573329,102.855742262913,4.92112169756702,78.5815889031476,-0.656672042077386,0.656931162448953,-0.631907487328908,423.949331848572,424.124339393939,-5.3100358186473e-05,66.2743732472815,0.662024377717299,9.25530376313629,9.43499852425181,-3.00436894334226e-06,103.014957733817,3,1,1,0,48578,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622823.25,420.1223,420.018,9.43365,9.25536,418.5937,9.504644,500.0311,89.58079,0.0999108,20.43524,19.9822,999.9,0,0,9993.363,0,1.44669,0.10444639,424.1236,423.942,0.1782926,420.018,9.25536,0.8450737,0.8291021,4.487846,4.215568,0,0,0,0,2.65431,0,-17.10075,-2.17021,36,41.812,39.062,40.687,36.6124,0,0,0,1679622849.9,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.125995946341463,-0.317466140069686,0.0478880767382125,0,0.178626170731707,-0.00396376306620204,0.00093751544774106,1,1,2,"1/2",2.86538,2.71029,0.0902366,0.0903962,0.0514495,0.0506055,25481.9,22314.2,25063,23890,40585.4,37524.4,45296.1,42589.9,1.78782,1.83635,-0.0220537,0,20.351,999.9,54.755,28.913,24.4606,54.0803,41.1939,1,-0.0356784,3.13179,20.2204,5.23436,11.992,4.9569,3.304,9999,999.9,9999,9999,1.86842,1.8641,1.87178,1.86249,1.86188,1.86844,1.85852,1.86504,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3,3.1,1.03149,2.39014,1.44775,2.31689,1.44409,2.36816,34.0545,24.3414,18,425.223,440.295,17.6059,26.8493,29.9995,26.7947,26.7726,20.6949,72.6602,0,17.6166,420,9.22866,95.8771,100.154,NA,5
2,1679622831,5,"20230323 20:53:51","20:53:51",5,"pas_smi32_t4_ch5","gibson",1679622828.5,0.000657669635222534,0.657669635222534,-0.702672121684336,420.063111309318,437.463603170011,39.2321282302031,37.6716365161484,0.0388522052240741,4.21906443313892,0.0386545308558073,0.024176758007746,0,20.3130811444335,19.9869666666667,2.34471982289252,35.0970704492514,0.846029451612861,2.41054150897346,1.49869037127965,-29.0032309133137,101.855782729941,4.86430926093328,77.7168610775604,-0.676008456243388,0.661261101603385,-0.702672121684336,423.886887994233,424.072333333333,0.00182446202756156,66.2743732472815,0.657669635222534,9.2545570468645,9.43301490196078,4.52618588743893e-06,103.014957733817,3,1,1,0,48480,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622828.5,420.063111111111,419.954,9.43377555555556,9.25430888888889,418.534333333333,9.50476777777778,500.026777777778,89.5809,0.0999967555555555,20.4347666666667,19.9869666666667,999.9,0,0,10018.2533333333,0,1.44669,0.1090902,424.063666666667,423.876666666667,0.179465666666667,419.954,9.25430888888889,0.845085888888889,0.829009111111111,4.48805444444444,4.21397333333333,0,0,0,0,2.59402222222222,0,-17.1098222222222,-2.17848888888889,36,41.8051111111111,39.062,40.687,36.611,0,0,0,1679622855.3,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.11724933902439,-0.0882343296167244,0.0496358224351731,1,0.17876743902439,0.00129767247386771,0.000911790012431469,1,2,2,"2/2",2.86537,2.71017,0.0902311,0.0904138,0.0514459,0.0506066,25482.4,22314.7,25063.3,23890.9,40586.3,37525.8,45296.9,42591.5,1.7879,1.8366,-0.0218228,0,20.3476,999.9,54.731,28.913,24.4457,54.3903,41.5304,1,-0.0363059,3.12408,20.2205,5.23526,11.992,4.95725,3.304,9999,999.9,9999,9999,1.86843,1.86414,1.87176,1.86248,1.8619,1.86844,1.85852,1.86506,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.528,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3,3.2,1.03149,2.38159,1.44775,2.31689,1.44409,2.3938,34.0771,24.3414,18,425.248,440.419,17.6204,26.843,29.9996,26.7924,26.7693,20.6946,72.6602,0,17.627,420,9.22866,95.8787,100.158,NA,5
3,1679622836,10,"20230323 20:53:56","20:53:56",5,"pas_smi32_t4_ch5","gibson",1679622833.2,0.000657692825963138,0.657692825963138,-1.20340691449918,420.133300341043,457.960425416467,41.0703561658673,37.6779811627966,0.0388573648535488,4.20932060821876,0.0386591829408444,0.0241797107419208,0,20.3164616012323,19.98589,2.34456348206681,35.0878110982144,0.845996984506072,2.41108509772251,1.49856649756074,-29.0042536249744,102.693941901986,4.91575460753777,78.6054428845491,-0.789954294535569,0.657024792819358,-1.20340691449918,423.923877601552,424.180945454546,0.0155661000459465,66.2743732472815,0.657692825963138,9.25521442054761,9.43372917440662,-3.11025773900836e-06,103.014957733817,3,1,1,0,48403,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622833.2,420.1333,419.9925,9.433401,9.255091,418.6047,9.504401,500.0464,89.58094,0.10007584,20.43842,19.98589,999.9,0,0,9987.372,0,1.44669,0.14083567,424.1341,423.9159,0.1783096,419.9925,9.255091,0.8450531,0.8290799,4.487498,4.215186,0,0,0,0,2.70663,0,-17.24752,-2.15561,36,41.7996,39.062,40.687,36.5935,0,0,0,1679622860.1,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.1099953025,0.16476321163227,0.0489651271612894,0,0.178597675,0.000436851782363833,0.000896153875947093,1,1,2,"1/2",2.86557,2.71014,0.0902498,0.0904237,0.0514459,0.0506043,25482.4,22314.2,25063.8,23890.5,40586.5,37525.3,45297.1,42590.8,1.788,1.83633,-0.0222847,0,20.3441,999.9,54.706,28.913,24.4376,54.2503,41.3862,1,-0.0367658,3.12307,20.2205,5.23481,11.992,4.95715,3.304,9999,999.9,9999,9999,1.86842,1.8641,1.87178,1.86248,1.8619,1.86844,1.85851,1.86504,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.1,3.3,1.03149,2.39624,1.44775,2.31567,1.44409,2.2937,34.0771,24.3414,18,425.285,440.227,17.6313,26.8362,29.9996,26.7896,26.7659,20.6927,72.6602,0,17.6354,420,9.22866,95.8797,100.156,NA,5
4,1679622841,15,"20230323 20:54:01","20:54:01",5,"pas_smi32_t4_ch5","gibson",1679622838.5,0.000657506220981583,0.657506220981583,-0.764230401363288,420.165555772602,440.066676370927,39.4651933012525,37.6804601835318,0.038875407071362,4.21049012998315,0.03867709637905,0.0241909181406685,0,20.3159529316608,19.9779,2.34340355396236,35.0876353437515,0.84596269593599,2.41099945222339,1.49744085802637,-28.9960243452878,104.405523302548,4.99607759440479,80.4055765516647,-0.810958760485069,0.659897098304466,-0.764230401363288,423.942302757744,424.158787878788,-0.00105751708422771,66.2743732472815,0.657506220981583,9.25421365120678,9.43265261093911,8.84978755152365e-07,103.014957733817,2,0,1,0,48281,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622838.5,420.165555555556,420.019333333333,9.43312222222222,9.25402777777778,418.637111111111,9.50412333333333,500.032777777778,89.5800222222222,0.100009055555556,20.4378444444444,19.9779,999.9,0,0,9991.17888888889,0,1.44669,0.146694444444444,424.166888888889,423.942111111111,0.179093888888889,420.019333333333,9.25402777777778,0.845019222222222,0.828975888888889,4.48692555555556,4.2134,0,0,0,0,2.73702222222222,0,-17.4622777777778,-2.18607777777778,36,41.7982222222222,39.062,40.687,36.569,0,0,0,1679622864.9,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.120400225,0.210887765853658,0.0510013931737102,0,0.17871,0.00264740712945609,0.000758563346069396,1,1,2,"1/2",2.86575,2.71022,0.0902458,0.0904092,0.0514394,0.0506024,25482.7,22315,25064,23891,40587.1,37526.1,45297.5,42591.6,1.78832,1.83637,-0.02148,0,20.3401,999.9,54.706,28.923,24.4508,54.8903,41.1378,1,-0.037251,3.09544,20.2209,5.23511,11.992,4.95725,3.304,9999,999.9,9999,9999,1.86843,1.86413,1.87179,1.86246,1.86188,1.86844,1.85852,1.86505,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.2,3.4,1.03149,2.38525,1.44775,2.31567,1.44409,2.38892,34.0771,24.3414,18,425.447,440.235,17.641,26.8294,29.9996,26.7868,26.7631,20.6941,72.6602,0,17.6499,420,9.22866,95.8804,100.158,NA,5
5,1679622846,20,"20230323 20:54:06","20:54:06",5,"pas_smi32_t4_ch5","gibson",1679622843.2,0.000648732925878422,0.648732925878422,-0.967707650806968,420.16880027647,448.937446357718,40.2604946544921,37.6805362857528,0.0383070671302179,4.19524347543218,0.038113800925863,0.0238384083050361,0,20.3161078593871,19.98924,2.34504995953511,35.08214064078,0.845775174936092,2.41084255261479,1.49927478459902,-28.6091220312384,101.224158594068,4.86170044942405,77.4767370122532,-0.841142529776276,0.653681660736001,-0.967707650806968,423.940640895235,424.197878787879,0.0021301661316691,66.2743732472815,0.648732925878422,9.25395555805946,9.43004397316822,-4.13300377228232e-06,103.014957733817,2,0,1,0,48228,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622843.2,420.1688,420.0136,9.431085,9.253685,418.6401,9.502118,500.0552,89.57926,0.1002599,20.43679,19.98924,999.9,0,0,9943.001,0,1.44669,0.1553894,424.1694,423.9364,0.177401,420.0136,9.253685,0.8448298,0.8289383,4.483722,4.212754,0,0,0,0,2.62187,0,-17.33094,-2.18303,36,41.7996,39.062,40.6746,36.562,0,0,0,1679622870.3,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.1417556575,0.0686115298311442,0.0399867466294827,1,0.178643225,-0.0057612720450282,0.000867760234382169,1,2,2,"2/2",2.86557,2.70976,0.090251,0.090427,0.0514325,0.0506003,25483.1,22315.1,25064.5,23891.6,40588.1,37526.9,45298.2,42592.4,1.7883,1.83652,-0.020884,0,20.3368,999.9,54.706,28.923,24.4519,54.7803,41.5264,1,-0.0378506,3.08032,20.2211,5.23496,11.992,4.9572,3.304,9999,999.9,9999,9999,1.86842,1.86408,1.87179,1.86248,1.86189,1.86844,1.85852,1.86506,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.528,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.3,3.4,1.03149,2.38403,1.44775,2.31689,1.44409,2.37915,34.0545,24.3414,18,425.413,440.302,17.6537,26.8232,29.9995,26.784,26.7603,20.6915,72.6602,0,17.6609,420,9.22866,95.8821,100.16,NA,5
6,1679622851,25,"20230323 20:54:11","20:54:11",5,"pas_smi32_t4_ch5","gibson",1679622848.5,0.000659967813508136,0.659967813508136,-1.05368687557159,420.206000296703,451.799591877777,40.5166995949604,37.6834343990003,0.0389597970272273,4.2221486703919,0.0387611737418791,0.0242434944944113,0,20.3208081782137,19.9925222222222,2.34552668028743,35.0693798520255,0.845782932176457,2.41174191201903,1.49974374811098,-29.1045805757088,102.50183210779,4.89192758953101,78.2891791216118,-0.938068528897945,0.655595788009783,-1.05368687557159,423.951650468541,424.235078787879,0.00164265327957494,66.2743732472815,0.659967813508136,9.25307275671774,9.43223587203302,-3.95878574546755e-06,103.014957733817,2,0,1,0,48516,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622848.5,420.206,420.024444444444,9.43128111111111,9.25333444444444,418.677111111111,9.50230888888889,499.978666666667,89.5789111111111,0.0995665222222222,20.4428333333333,19.9925222222222,999.9,0,0,10028.2555555556,0,1.44669,0.181162488888889,424.206666666667,423.947555555556,0.177947333333333,420.024444444444,9.25333444444444,0.844843666666667,0.828903666666667,4.48395888888889,4.21215444444444,0,0,0,0,2.57954444444444,0,-17.3251,-2.19521111111111,36,41.7775555555556,39.062,40.6732222222222,36.562,0,0,0,1679622875.1,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.1435874775,0.14489841163227,0.0346701977349531,0,0.1781642,-0.00409846153846208,0.000798421887225043,1,1,2,"1/2",2.8655,2.71052,0.0902599,0.0904146,0.0514404,0.0506001,25483.3,22315.4,25064.9,23891.5,40588.4,37526.8,45298.9,42592.3,1.78815,1.8363,-0.0212416,0,20.3346,999.9,54.682,28.923,24.4396,55.0303,41.3261,1,-0.0381021,3.08914,20.2208,5.23511,11.992,4.9572,3.304,9999,999.9,9999,9999,1.86844,1.8641,1.87179,1.86249,1.86189,1.86844,1.85852,1.86505,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.4,3.5,1.03149,2.39868,1.44775,2.31567,1.44409,2.31079,34.0771,24.3414,18,425.308,440.14,17.6645,26.8163,29.9997,26.7812,26.7569,20.6932,72.6602,0,17.6661,420,9.22866,95.8836,100.16,NA,5
7,1679622856,30,"20230323 20:54:16","20:54:16",5,"pas_smi32_t4_ch5","gibson",1679622853.2,0.000657403207933045,0.657403207933045,-0.781194844635722,420.17690022193,440.800012783291,39.5314136551071,37.6819110011228,0.0388206800468243,4.20580311058453,0.0386227066064622,0.024156894400419,0,20.321718326249,19.98974,2.34512257569775,35.0683189164769,0.845803627287746,2.41187388908553,1.49931894841,-28.9914814698473,102.936903948071,4.93173656685497,78.8771590450791,-0.803149041743975,0.658810459676504,-0.781194844635722,423.988325807032,424.185,0.00397818700619342,66.2743732472815,0.657403207933045,9.2523720111505,9.43076925696594,1.84227279599303e-06,103.014957733817,2,0,1,0,48339,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622853.2,420.1769,420.0327,9.43124,9.252447,418.6481,9.502272,500.052,89.58082,0.10024286,20.44372,19.98974,999.9,0,0,9976.246,0,1.44669,0.14397876,424.1774,423.9554,0.1787946,420.0327,9.252447,0.8448584,0.8288419,4.484204,4.211094,0,0,0,0,2.52653,0,-17.2892,-2.23356,36,41.781,39.062,40.6622,36.5809,0,0,0,1679622879.9,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.1532081,0.0161600397748589,0.0431103841415325,1,0.178289325,-0.000959245778612005,0.0008399677787719,1,2,2,"2/2",2.86587,2.71005,0.0902566,0.0904083,0.0514369,0.0505977,25483.6,22316.2,25065,23892.2,40588.5,37528,45298.9,42593.5,1.78848,1.83643,-0.0205189,0,20.3324,999.9,54.682,28.943,24.4686,55.0103,41.1779,1,-0.0386763,3.08069,20.2209,5.23466,11.992,4.957,3.304,9999,999.9,9999,9999,1.86844,1.86412,1.87179,1.86248,1.86189,1.86844,1.85852,1.86505,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.071,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.5,3.6,1.03149,2.38037,1.44775,2.31567,1.44409,2.40112,34.0771,24.3502,18,425.471,440.189,17.6708,26.8099,29.9997,26.7784,26.7535,20.6953,72.6602,0,17.6749,420,9.22866,95.8837,100.162,NA,5
8,1679622861,35,"20230323 20:54:21","20:54:21",5,"pas_smi32_t4_ch5","gibson",1679622858.5,0.000653820427695927,0.653820427695927,-0.961224742620278,420.161889159481,448.348042174235,40.2079410356851,37.6802012624855,0.0386146564883007,4.21708293823308,0.0384192941486852,0.0240295287861513,0,20.324006348012,19.9872444444444,2.34476015998527,35.0623581329586,0.845728406373285,2.41206938553942,1.49903175361198,-28.8334808613904,104.078933516172,4.97308377428397,80.218536429066,-1.00741981816124,0.659431495209621,-0.961224742620278,423.868824862953,424.144836363636,-0.00209354271039512,66.2743732472815,0.653820427695927,9.2520171936816,9.42945773993809,1.62694240624861e-06,103.014957733817,2,0,1,0,48608,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622858.5,420.161888888889,419.961777777778,9.43049222222222,9.25151666666667,418.632888888889,9.50153222222222,500.013222222222,89.5804,0.0997976444444444,20.4450333333333,19.9872444444444,999.9,0,0,10012.0277777778,0,1.44669,0.199815555555556,424.162,423.883555555556,0.178975555555556,419.961777777778,9.25151666666667,0.844787222222222,0.828754333333333,4.48300222222222,4.20959333333333,0,0,0,0,2.72575555555556,0,-17.3875666666667,-2.23583333333333,36,41.7706666666667,39.062,40.6594444444444,36.562,0,0,0,1679622885.3,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.17019805,0.135619161726079,0.0507110219211564,0,0.17828225,0.00577046904315121,0.000849627528685364,1,1,2,"1/2",2.86557,2.71039,0.0902498,0.0904183,0.0514284,0.0505949,25484,22316,25065.2,23892.2,40589,37528.2,45299,42593.6,1.78832,1.83685,-0.0203773,0,20.3302,999.9,54.658,28.913,24.4153,54.6003,41.6346,1,-0.0392099,3.08006,20.221,5.23481,11.992,4.95705,3.304,9999,999.9,9999,9999,1.86843,1.8641,1.8718,1.86248,1.86189,1.86844,1.85852,1.86506,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.0711,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.5,3.7,1.03149,2.39258,1.44775,2.31689,1.44409,2.34863,34.0771,24.3414,18,425.366,440.422,17.6782,26.8037,29.9997,26.7755,26.7507,20.6925,72.6602,0,17.6806,420,9.22866,95.8841,100.163,NA,5
9,1679622866,40,"20230323 20:54:26","20:54:26",5,"pas_smi32_t4_ch5","gibson",1679622863.2,0.000650958725447876,0.650958725447876,-1.12037411456575,420.185600316478,455.138176578918,40.8161477096941,37.6816501241796,0.0384103527805217,4.22286705094664,0.0382173099833329,0.0239030817989383,0,20.3272703945886,19.99504,2.34589242816673,35.0502004612995,0.845569604130702,2.41245297602316,1.50032282403603,-28.7072797922514,103.033538248504,4.91665038620735,79.2429088424596,-0.907751960872324,0.650738155896969,-1.12037411456575,423.942935259166,424.218309090909,0.00708619271679757,66.2743732472815,0.650958725447876,9.25187388620026,9.42859328173375,-5.61820558843272e-06,103.014957733817,2,0,1,0,48352,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622863.2,420.1856,420.0118,9.428891,9.252274,418.657,9.499954,500.0115,89.57866,0.09992512,20.44761,19.99504,999.9,0,0,10030.562,0,1.44669,0.1740175,424.1852,423.9341,0.1766187,420.0118,9.252274,0.8446276,0.8288064,4.480301,4.210484,0,0,0,0,2.73204,0,-17.44352,-2.22681,35.9874,41.7624,39.062,40.6312,36.562,0,0,0,1679622890.1,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.169390125,0.06855232120075,0.0510189516919926,1,0.178104325,-0.00184098686679237,0.000992143472172749,1,2,2,"2/2",2.86587,2.71028,0.0902595,0.0904211,0.0514296,0.0505979,25483.9,22316.3,25065.4,23892.5,40589.5,37528.5,45299.6,42594.1,1.78855,1.83648,-0.0207722,0,20.3281,999.9,54.658,28.943,24.4586,54.9703,41.226,1,-0.039624,3.07528,20.2213,5.23496,11.992,4.9572,3.304,9999,999.9,9999,9999,1.86843,1.86408,1.8718,1.86249,1.86191,1.86844,1.85851,1.86507,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.0711,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.6,3.8,1.03149,2.39136,1.44775,2.31567,1.44409,2.35474,34.0545,24.3414,18,425.468,440.17,17.6835,26.7971,29.9996,26.7722,26.7473,20.6909,72.6602,0,17.6863,420,9.22866,95.8853,100.164,NA,5
10,1679622871,45,"20230323 20:54:31","20:54:31",5,"pas_smi32_t4_ch5","gibson",1679622868.5,0.000644827052283141,0.644827052283141,-0.615851822320846,420.145222397305,434.499708130822,38.9656442504278,37.6783435364727,0.038094823531815,4.20219228163937,0.0379040016001606,0.023707065720623,0,20.3263675813855,19.9820888888889,2.34401160262265,35.0508044461458,0.845507119602232,2.41223313690652,1.49850448302041,-28.4368730056865,105.128614719747,5.04093505528136,81.7326767693418,-0.795349153859573,0.649700144710164,-0.615851822320846,423.939570676568,424.130133333334,-0.00416743485608223,66.2743732472815,0.644827052283141,9.2523526364358,9.42734267285862,1.31062713804027e-07,103.014957733817,2,0,1,0,48359,0,0,0,0,1.37,0.5,"0: Broadleaf",2,"True",1679622868.5,420.145222222222,420.002111111111,9.42811555555556,9.25180222222222,418.616444444444,9.49919111111111,500.074111111111,89.5791666666667,0.100166877777778,20.4461333333333,19.9820888888889,999.9,0,0,9964.99888888889,0,1.44669,0.1431683,424.144222222222,423.924111111111,0.176313444444444,420.002111111111,9.25180222222222,0.844562666666667,0.828768777777778,4.47920444444444,4.20983444444444,0,0,0,0,2.7232,0,-17.4874666666667,-2.22575555555556,35.944,41.75,39.0482222222222,40.625,36.562,0,0,0,1679622894.9,0,1679622648,"20:50:48",1679622648,1679622639.5,4,0.081,-0.002,1.529,-0.076,420,9,1.36,0.21,0.1729027325,-0.104507523827392,0.0514939671166652,0,0.17777815,-0.0109854258911819,0.00125808552074173,1,1,2,"1/2",2.86596,2.70995,0.0902513,0.0904158,0.0514242,0.050592,25484.3,22316.8,25065.5,23892.9,40589.9,37529.2,45299.7,42594.6,1.78872,1.8367,-0.0206232,0,20.3259,999.9,54.633,28.923,24.4196,54.9203,41.3862,1,-0.039906,3.0554,20.2215,5.23511,11.992,4.95715,3.304,9999,999.9,9999,9999,1.86843,1.86412,1.87178,1.86249,1.8619,1.86844,1.85852,1.86507,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.529,-0.0711,1.38435406759976,0.000328379083204763,1.65091374073297e-08,5.48497721432987e-11,-0.041367086827226,-0.0227478198574347,0.00225331489907837,-1.97722402361797e-05,1,2222,1,25,3.7,3.9,1.03149,2.38159,1.44775,2.31689,1.44409,2.41089,34.0771,24.3502,18,425.546,440.278,17.6891,26.7903,29.9997,26.7694,26.7439,20.6932,72.6602,0,17.695,420,9.22866,95.8855,100.165,NA,5
