,ID,focal.area
1,bou_cur1_t1_ch2,7.263
2,bou_cur10_t1_ch3,89.304
3,bou_cur11_t2_ch3,75.627
4,bou_cur12_t2_ch3,76.037
5,bou_cur13_t3_ch3,76.36
6,bou_cur14_t3_ch3,79.079
7,bou_cur15_t4_ch3,81.312
8,bou_cur16_t4_ch3,76.218
9,bou_cur17_t1_ch4,66.066
10,bou_cur18_t1_ch4,78.228
11,bou_cur19_t2_ch4,73.983
12,bou_cur2_t1_ch2,15.947
13,bou_cur20_t2_ch4,70.4
14,bou_cur21_t3_ch4,70.124
15,bou_cur22_t3_ch4,76.425
16,bou_cur23_t4_ch4,81.554
17,bou_cur24_t4_ch4,75.741
18,bou_cur26_t1_ch5,2.07
19,bou_cur29_t3_ch5,3.987
20,bou_cur30_t3_ch5,7.833
21,bou_cur31_t4_ch5,7.075
22,bou_cur32_t4_ch5,9.218
23,bou_cur4_t2_ch2,8.221
24,bou_cur5_t3_ch2,14.519
25,bou_cur6_t3_ch2,7.565
26,bou_cur7_t4_ch2,20.289
27,bou_cur9_t1_ch3,74.475
28,ely_can1_t1_ch2,8.268
29,ely_can10_t1_ch3,75.924
30,ely_can11_t2_ch3,77.018
31,ely_can12_t2_ch3,80.274
32,ely_can13_t3_ch3,69.295
33,ely_can14_t3_ch3,76.811
34,ely_can15_t4_ch3,71.324
35,ely_can16_t4_ch3,69.978
36,ely_can17_t1_ch4,75.165
37,ely_can18_t1_ch4,67.262
38,ely_can19_t2_ch4,82.66
39,ely_can2_t1_ch2,5.835
40,ely_can20_t2_ch4,95.133
41,ely_can21_t3_ch4,85.384
42,ely_can22_t3_ch4,98.481
43,ely_can23_t4_ch4,97.453
44,ely_can24_t4_ch4,78.348
45,ely_can25_t1_ch5,19.682
46,ely_can26_t1_ch5,8.824
47,ely_can27_t2_ch5,7.031
48,ely_can28_t2_ch5,15.452
49,ely_can29_t3_ch5,13.824
50,ely_can3_t2_ch2,10.614
51,ely_can30_t3_ch5,10.901
52,ely_can31_t4_ch5,17.576
53,ely_can32_t4_ch5,11.14
54,ely_can4_t2_ch2,7.555
55,ely_can5_t3_ch2,14.692
56,ely_can6_t3_ch2,10.823
57,ely_can7_t4_ch2,8.69
58,ely_can8_t4_ch2,10.321
59,ely_can9_t1_ch3,75.687
60,pas_smi1_t1_ch2,17.72
61,pas_smi10_t1_ch3,81.526
62,pas_smi11_t2_ch3,109.471
63,pas_smi12_t2_ch3,73.447
64,pas_smi13_t3_ch3,96.385
65,pas_smi14_t3_ch3,107.334
66,pas_smi15_t4_ch3,85.41
67,pas_smi16_t4_ch3,93.41
68,pas_smi17_t1_ch4,76.901
69,pas_smi18_t1_ch4,85.5
70,pas_smi19_t2_ch4,96.581
71,pas_smi2_t1_ch2,11.865
72,pas_smi20_t2_ch4,91.367
73,pas_smi21_t3_ch4,81.514
74,pas_smi22_t3_ch4,81.12
75,pas_smi23_t4_ch4,98.517
76,pas_smi24_t4_ch4,87.514
77,pas_smi25_t1_ch5,12.936
78,pas_smi26_t1_ch5,17.706
79,pas_smi27_t2_ch5,19.227
80,pas_smi28_t2_ch5,19.405
81,pas_smi29_t3_ch5,16.083
82,pas_smi3_t2_ch2,44.124
83,pas_smi30_t3_ch5,13.427
84,pas_smi31_t4_ch5,9.965
85,pas_smi32_t4_ch5,11.41
86,pas_smi4_t2_ch2,17.722
87,pas_smi5_t3_ch2,23.523
88,pas_smi6_t3_ch2,26.764
89,pas_smi7_t4_ch2,28.628
90,pas_smi8_t4_ch2,29.544
