"id","machine.x","A","Ci","Ca","gsw","CO2_s","CO2_r","H2O_s","H2O_r","Qin","VPDleaf","Flow","Tair","Tleaf","chamber","machine.y","rd","keep.row"
"bou_cur10_t1_ch3_27.5","stan",5.054253445,221.2978405,415.677629,0.043812652,415.6776333,420.1147333,18.48886333,17.93662333,2000.002667,1.494019086,500.0600333,24.67122,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.310645905,215.2614848,415.6631679,0.044576767,415.6631724,419.9580345,18.50284828,17.92306552,2000.022069,1.494613149,500.0363103,24.67284828,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.008036053,230.33183,415.2527543,0.045786421,415.2527586,417.5615172,18.50341724,17.89891379,2000.021034,1.495465201,500.0401724,24.67514483,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.018132372,226.8036194,412.5145513,0.045652703,412.5145556,409.7434815,18.49295556,17.87172593,2000.007407,1.49646801,500.0493704,24.67904815,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",4.83927584,219.8689811,405.988144,0.043868741,405.9881481,396.7843704,18.47749259,17.84308889,1999.988148,1.497126446,500.0682593,24.68366667,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",4.923025868,212.2713135,395.1461439,0.045405732,395.1461481,380.8687037,18.45902963,17.82293704,2000.002593,1.498625974,500.0685556,24.68635185,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",4.55519705,211.8121142,382.2140675,0.045195949,382.2140714,365.3017857,18.44373571,17.808725,2000.009643,1.500985618,500.0602143,24.69078571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",4.645459666,192.7890584,366.1911812,0.045128656,366.1911852,347.818037,18.43070741,17.80341481,2000.022963,1.503693002,500.0668889,24.6931963,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",4.445879225,192.7075222,351.2215676,0.047404436,351.2215714,332.1675714,18.42215357,17.78890357,2000.007857,1.505257452,500.0635714,24.69643571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",4.226250713,177.8546367,334.1055149,0.045604515,334.1055185,314.6740741,18.40897778,17.76805185,2000.01,1.50663985,500.075,24.69682593,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",3.964205334,164.9347513,318.7417466,0.043361261,318.74175,299.0316429,18.39579286,17.76096071,2000.012143,1.50704571,500.0740714,24.69642857,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",3.785349974,156.0146359,301.4484782,0.043792968,301.4484815,281.5276296,18.38846296,17.7721,2000.019259,1.507783378,500.0826296,24.69685185,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",3.604544315,152.4848396,286.0267112,0.045514702,286.0267143,265.91,18.3919,17.78320357,2000.011429,1.507131511,500.0723929,24.69723214,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",3.410059221,142.9531866,268.7015897,0.045722074,268.7015926,248.402,18.39854444,17.78204815,1999.988519,1.506763934,500.0757778,24.69708889,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",3.245382549,133.9419705,253.2524972,0.045843241,253.2525,232.7819643,18.401375,17.77441071,1999.991071,1.505891152,500.0773214,24.69588571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",3.064442896,120.4777816,235.9140714,0.044631654,235.9140741,215.2898148,18.40258889,17.77425556,1999.982963,1.505657042,500.0755556,24.69463704,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",2.742423033,121.8004438,220.4689976,0.046999046,220.469,199.6705,18.40925357,17.79275714,2000.006429,1.504982792,500.0660357,24.69664643,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",2.552070633,108.4910913,203.1397756,0.045467685,203.1397778,182.1422963,18.4239037,17.81552593,1999.991852,1.50354479,500.0636296,24.69902963,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",2.194263176,106.8949615,187.7031053,0.046021075,187.7031071,166.4751786,18.44205,17.83373929,1999.999643,1.501994652,500.0757857,24.70095,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",2.279591336,88.69631984,170.370998,0.046991344,170.371,148.9131111,18.46170741,17.83947778,1999.994444,1.501022861,500.081,24.7024037,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",1.793912016,92.625722,154.9017485,0.049071378,154.90175,133.2453929,18.47378214,17.83296429,1999.994643,1.501037548,500.0803929,24.70423214,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",1.639091737,80.97494396,137.5589986,0.049268969,137.559,115.7567778,18.48145185,17.8214963,2000.008148,1.501257164,500.0733704,24.70697037,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",1.341653627,75.96203296,122.118931,0.049746044,122.1189321,100.1331143,18.48445714,17.81074643,2000.001429,1.500353683,500.0718929,24.70797143,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",0.876812111,74.43477704,104.8361992,0.050527383,104.8362,82.54132963,18.48723333,17.80617778,2000.014444,1.498938453,500.0698889,24.70701852,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.168543528,264.3902059,415.6254794,0.058740192,415.6254839,420.1221935,18.50125484,17.69007742,1999.984194,1.500765585,500.066871,24.76355484,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.16457315,262.8235523,415.5547542,0.058069439,415.5547586,420.2514828,18.48886207,17.67748966,1999.998966,1.501146967,500.0531379,24.76314483,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.734442394,246.828246,415.9228879,0.057803359,415.9228929,423.0796429,18.47829286,17.6761,1999.993214,1.502762009,500.03925,24.76283929,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.59962795,256.7316979,418.7226619,0.059145283,418.7226667,431.2925926,18.47119259,17.66844074,1999.985185,1.503611018,500.0472963,24.76257037,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.890538045,245.9698606,425.1790664,0.055874483,425.1790714,443.963,18.46483929,17.66946429,1999.9575,1.505008471,500.0631786,24.7649,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",5.926787791,256.1824808,436.7431801,0.055872042,436.7431852,461.0344815,18.4642037,17.69685926,1999.98963,1.505276,500.0756296,24.76527778,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.014892881,269.0872386,449.9282805,0.056731879,449.9282857,476.4632143,18.47835714,17.7432,1999.967143,1.504066234,500.0732857,24.76441786,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.175656494,279.1625358,465.9465503,0.056395242,465.9465556,493.7095556,18.50682222,17.78588519,1999.991481,1.500532123,500.0802593,24.76209259,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.405465052,288.7462422,480.7909588,0.056903881,480.7909643,509.1088929,18.52983929,17.78706071,1999.976429,1.497577043,500.06975,24.76136429,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.325492998,306.8149126,497.7138094,0.056694333,497.7138148,526.6385926,18.54154815,17.77443333,2000.014074,1.496288234,500.0758519,24.75991852,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.657204436,311.6074812,513.1013871,0.056429584,513.1013929,542.4531786,18.54161071,17.76490714,1999.991429,1.496195294,500.0683214,24.75818571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.937615886,319.5978316,530.5207718,0.056124801,530.5207778,560.2188148,18.53966296,17.76644074,2000.003704,1.496131625,500.083037,24.75548519,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.826374248,343.1643206,546.1621727,0.057681243,546.1621786,576.0547143,18.53916071,17.76519643,1999.993929,1.4955759,500.0711071,24.75361071,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",6.96042256,356.2340753,563.7483644,0.057577691,563.7483704,593.8154074,18.53616667,17.75567037,1999.991481,1.496160155,500.078037,24.75267407,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.070759761,366.2207144,579.4779939,0.05691341,579.478,609.6202143,18.53065,17.74655357,1999.972143,1.497231055,500.0697143,24.75172143,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.245890288,377.2926412,597.1134012,0.056577728,597.1134074,627.3619259,18.52357778,17.74097778,1999.988519,1.497343661,500.0787778,24.75087037,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.398710161,387.0620954,612.8148151,0.056245044,612.8148214,643.1495357,18.52013929,17.74413571,1999.990357,1.496579879,500.0675714,24.74838571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.676624621,407.1273324,630.4002527,0.059213711,630.4002593,660.8816667,18.51813704,17.73694074,2000,1.49546139,500.068,24.74591111,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.607778487,421.7941384,646.0742077,0.058512474,646.0742143,676.6827143,18.51316429,17.72148571,1999.998214,1.496561909,500.0641786,24.74653571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.813748855,429.947196,663.6934377,0.057592232,663.6934444,694.4711852,18.50387037,17.70423704,2000.005185,1.498744634,500.0709259,24.74936667,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.846284835,441.723015,679.4193861,0.056902691,679.4193929,710.3536786,18.49420714,17.69920714,2000.023571,1.501025482,500.0768214,24.753925,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.820825151,457.5323306,697.1254377,0.056352982,697.1254444,728.2194074,18.48664444,17.70238148,1999.995926,1.502785374,500.0669259,24.75734815,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.957708715,472.8827,712.961136,0.057333448,712.9611429,744.1136786,18.48210357,17.70066429,1999.980714,1.503489547,500.0714286,24.75944286,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",7.942909038,480.0838532,730.7429561,0.054705376,730.742963,761.9148519,18.47544444,17.69964074,1999.982963,1.504366261,500.0591852,24.76095185,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.222144857,483.7981132,746.5530644,0.053899892,746.5530714,777.76225,18.47171429,17.7079,2000.0025,1.504714272,500.0691786,24.76149643,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.155935281,503.2243817,764.2402522,0.053958353,764.2402593,795.5302222,18.47212593,17.72291852,2000.022963,1.504602802,500.070037,24.76073333,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.401586432,512.5287141,779.9980285,0.054225644,779.9980357,811.3778214,18.47803571,17.73640714,2000.0275,1.504329483,500.0688214,24.75860357,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.329771928,538.0603781,794.8641357,0.056303393,794.8641429,826.3008214,18.48280357,17.732925,2000.024286,1.503729997,500.0729643,24.75730357,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.617003869,543.8698466,813.4586354,0.055351998,813.4586429,844.9836071,18.48057857,17.72105357,2000.0025,1.504848064,500.0695357,24.75592143,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.777219694,543.1183804,828.2925639,0.053108899,828.2925714,859.8636786,18.47402143,17.71471786,2000.006429,1.505522915,500.0759643,24.75398214,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.769234454,553.3176387,846.8107425,0.051517065,846.81075,878.2529286,18.46749643,17.72867143,1999.981071,1.506062289,500.0691071,24.74912857,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.392572451,580.1270836,861.3965285,0.051712152,861.3965357,892.6730357,18.46944643,17.74732143,1999.971429,1.504938085,500.0651071,24.74477143,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.566811494,605.8956766,879.6175283,0.054500572,879.6175357,910.8268929,18.47677143,17.75684643,1999.992857,1.503814068,500.0560357,24.74008571,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.887872396,607.4654074,894.0760638,0.053845708,894.0760714,925.4395357,18.47896071,17.74853214,2000.013571,1.503424235,500.0668571,24.73710357,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.995223405,617.664403,912.4082423,0.052950934,912.40825,944.0882857,18.47418214,17.735125,2000.033929,1.504327493,500.0680714,24.73455357,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.809993153,609.5156532,927.0732424,0.04785141,927.07325,958.87175,18.46818929,17.74690714,2000.022143,1.503877247,500.0873929,24.730775,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.840052234,648.4478613,945.5695281,0.051736668,945.5695357,977.5087857,18.47351429,17.78478571,2000.007857,1.501898614,500.0763929,24.72636786,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.590977611,669.0863062,963.1484371,0.050925761,963.1484444,995.1622963,18.48997407,17.82085556,2000,1.498723969,500.0768148,24.72085185,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.170339598,671.9138917,978.9459921,0.05193663,978.946,1011.040107,18.50627143,17.82561429,1999.995357,1.497738342,500.0665714,24.71801429,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.187642647,685.6417674,993.8040635,0.051899788,993.8040714,1025.952143,18.51528571,17.81763571,1999.995357,1.498100155,500.0701786,24.71680357,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.002498594,705.6857738,1011.565659,0.051357805,1011.565667,1043.665556,18.5171963,17.80797037,1999.999259,1.499969042,500.0672222,24.71867407,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.508771559,703.6855481,1028.280733,0.05090898,1028.280741,1060.418519,18.51658889,17.8099037,2000.019259,1.500642248,500.0765556,24.72159259,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.016175645,732.5618211,1044.9974,0.050406297,1044.997407,1077.157778,18.51413333,17.81327037,2000.021481,1.500382113,500.0812222,24.72133704,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",8.899711026,759.2926428,1060.726064,0.051844193,1060.726071,1093.032143,18.51168214,17.81149286,2000.017857,1.499328804,500.0791786,24.71841071,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.271396392,763.6805265,1078.460362,0.051577937,1078.46037,1110.811481,18.50461481,17.80022593,2000.024444,1.49988477,500.0724444,24.71637778,27.5,3,"stan",0.957060044333333,"yes"
"bou_cur10_t1_ch3_27.5","stan",9.25364701,774.2702081,1094.284635,0.050626453,1094.284643,1126.738929,18.49496786,17.78972857,2000.037143,1.50199876,500.0686071,24.71509286,27.5,3,"stan",0.957060044333333,"yes"
