obs,time..2,elapsed,date,hhmmss..5,averaging,id,machine,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,chamber
1,1680801788,0,4/6/23 12:23,12:23:08,5,bou_cur5_t3_ch2,stan,1680801780,0.00210074,2.100740054,20.9017436,410.5629906,132.5117583,11.86165507,36.7511279,0.125474244,3.844044009,0.123242559,0.077223801,321.5166552,20.56230069,20.2308871,2.380375412,38.75622125,0.882365938,2.276707866,1.498009474,-92.64263638,-148.8699235,-7.7761166,72.22797869,20.82214267,2.104160456,20.9017436,423.8169496,414.6253758,-0.000619407,64.19674213,2.100740054,8.952869981,9.859666061,2.33375838817982e-07,102.6474091,0,0,1,0,48427,2000.003871,1681.203271,0.840600009,0.160758016,2.18,0.5,0: Broadleaf,2,TRUE,1680801780,410.563,420.017129,9.857297419,8.949020968,413.6469677,10.06823871,500.0519032,89.41399032,0.099991074,19.51254194,20.2308871,999.9,0,0,10002.25516,0,13.20154194,-9.454221613,414.6502903,423.8097742,0.908276484,420.017129,8.949020968,0.881380258,0.800167774,5.090256774,3.710278065,2000.003871,0.980000226,0.019999948,0,2.315267742,0,5498.436129,16749.48065,39.187,40.562,39.562,39.49390323,37.625,1960.003226,40.00064516,0,1680801799,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,-9.436908293,-0.290689756,0.037124876,0,0.908510439,-0.006901631,0.000872071,1,1,2,2-Jan,2.97816,2.71528,0.0913399,0.0915302,0.0555798,0.0503436,28690.3,28817.4,29369.6,29352.8,36758.8,37042.1,41362.6,41801,1.93595,1.8196,-0.014361,0,20.4761,999.9,23.7,31.4,12.2329,63.0126,31.7588,1,0.264169,9.28105,20.1597,5.22238,12.0218,4.991,3.28895,9999,9999,9999,999.9,1.86722,1.8663,1.8657,1.86569,1.86751,1.86996,1.86859,1.87004,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-3.084,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.4,4134.3,1.0498,2.2168,1.39648,2.34619,1.49536,2.54028,36.7654,13.7468,18,537.879,417.611,12.2377,30.4067,30.0002,30.2695,30.1832,21.0147,18.6141,21.7838,5.59369,413.331,8.97156,100.425,100.419,2
2,1680801793,5,4/6/23 12:23,12:23:13,5,NA,stan,1680801785,0.002102788,2.102788058,21.04298498,410.5505767,130.9294222,11.72004322,36.75010872,0.125586329,3.84277047,0.123349967,0.07729134,321.5170856,20.56289737,20.23330345,2.380730991,38.76344858,0.882567717,2.276803921,1.498163273,-92.73295336,-149.1805832,-7.795049788,71.80849926,20.44525152,2.102578924,21.04298498,423.6471722,414.5324727,-0.03018829,64.19674213,2.102788058,8.955315096,9.863020545,2.59254789735039e-06,102.6474091,0,0,1,0,48393,2000.006552,1681.205524,0.840600008,0.160758016,2.18,0.5,0: Broadleaf,2,TRUE,1680801785,410.5505862,419.8405862,9.859526897,8.951888966,413.6345517,10.07045517,500.0264483,89.41432759,0.099877972,19.51322069,20.23330345,999.9,0,0,9997.64931,0,13.20695517,-9.290046207,414.6387586,423.632931,0.907637759,419.8405862,8.951888966,0.881583,0.800427207,5.093557241,3.714879655,2000.006552,0.980000276,0.0199999,0,2.348986207,0,5498.204483,16749.51379,39.187,40.562,39.562,39.48913793,37.625,1960.005862,40.00068966,0,1680801804,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,-9.405482683,0.649504808,0.154768539,0,0.90807978,-0.007858746,0.00094274,1,1,2,2-Jan,2.97829,2.71539,0.0913058,0.0910743,0.0555929,0.0503569,28691.6,28831.9,29369.8,29353,36758.5,37041.9,41362.8,41801.4,1.93617,1.81945,-0.0143051,0,20.4769,999.9,23.7,31.4,12.2341,63.1726,32.1715,1,0.26374,9.28105,20.1593,5.21879,12.0216,4.98995,3.28842,9999,9999,9999,999.9,1.86722,1.8663,1.8657,1.86568,1.86752,1.86996,1.8686,1.87007,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-3.083,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.5,4134.4,1.02539,2.22168,1.39648,2.34619,1.49536,2.5354,36.7654,13.7468,18,538.048,417.522,12.2358,30.4067,30.0001,30.2712,30.1832,20.4829,18.6141,21.7838,5.59811,399.916,8.97156,100.425,100.42,2
3,1680801798,10,4/6/23 12:23,12:23:18,5,NA,stan,1680801790,0.002105967,2.105967375,20.20758556,410.0372052,141.4023641,12.65769631,36.7046651,0.125740858,3.842020707,0.123498612,0.077384759,321.5178084,20.56224926,20.23803214,2.381426977,38.77374907,0.88279111,2.276775217,1.498635867,-92.87316122,-150.1729488,-7.848616713,70.62308166,15.10055166,2.102041222,20.20758556,415.9669928,411.1488242,-0.862984519,64.19674213,2.105967375,8.956858579,9.865943818,2.81621085684296e-06,102.6474091,0,0,1,0,48502,2000.011071,1681.209321,0.840600007,0.160758014,2.18,0.5,0: Broadleaf,2,TRUE,1680801790,410.0372143,416.9965714,9.861885357,8.95447,413.1195714,10.07280357,500.02,89.41558571,0.099864682,19.51301786,20.23803214,999.9,0,0,9994.819643,0,13.2088,-6.959425393,414.1212857,420.7642857,0.907415036,416.9965714,8.95447,0.88180625,0.800669143,5.097191786,3.719171071,2000.011071,0.980000357,0.019999821,0,2.368482143,0,5497.993214,16749.55714,39.187,40.562,39.562,39.48875,37.625,1960.010357,40.00071429,0,1680801809,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,-7.691554171,24.41410982,3.15172844,0,0.90771761,-0.003401937,0.000849866,1,1,2,2-Jan,2.97834,2.71564,0.090635,0.0888772,0.055605,0.0503601,28712.9,28901.9,29369.9,29353.2,36758.3,37041.9,41363.2,41801.5,1.93615,1.81933,-0.0143759,0,20.4769,999.9,23.7,31.4,12.233,62.9426,31.8069,1,0.264141,9.28105,20.1592,5.21894,12.0216,4.9899,3.28845,9999,9999,9999,999.9,1.86722,1.8663,1.8657,1.86569,1.86752,1.86996,1.86859,1.87006,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-3.071,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.6,4134.5,0.993652,2.22534,1.39648,2.34741,1.49536,2.52319,36.7654,13.738,18,538.031,417.448,12.2336,30.4067,30,30.2712,30.1832,19.8925,18.6141,21.7838,5.60208,379.797,8.97156,100.426,100.42,2
4,1680801803,15,4/6/23 12:23,12:23:23,5,NA,stan,1680801796,0.002102685,2.102685294,19.52696613,407.1469542,146.8006181,13.1410401,36.44626653,0.125503464,3.841673381,0.123269397,0.077240783,321.5175798,20.56378806,20.24254074,2.382090734,38.78111888,0.883002033,2.276886431,1.499088701,-92.72842147,-150.9304004,-7.889131271,69.9696266,3.31737846,2.102531605,19.52696613,400.9084449,401.8173576,-2.013386431,64.19674213,2.102685294,8.958552297,9.866230061,2.95971334720527e-07,102.6474091,0,0,1,0,48429,2000.00963,1681.208111,0.840600008,0.160758016,2.18,0.5,0: Broadleaf,2,TRUE,1680801796,407.146963,408.9664815,9.864154074,8.956538519,410.2206667,10.07506296,500.0251852,89.41634444,0.099900622,19.5138037,20.24254074,999.9,0,0,9993.489259,0,13.2088,-1.819487815,411.2031852,412.6625556,0.907616037,408.9664815,8.956538519,0.882016556,0.800860889,5.100615185,3.722571111,2000.00963,0.980000333,0.019999844,0,2.330751852,0,5498.282222,16749.54444,39.187,40.562,39.562,39.48133333,37.625,1960.008889,40.00074074,0,1680801814,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,-4.920886854,52.06739103,5.680175789,0,0.90770922,0.00258347,0.000851962,1,1,2,2-Jan,2.97826,2.71551,0.0889745,0.0861656,0.0556062,0.0503763,28765.2,28988.1,29369.8,29353.4,36757.8,37041.8,41362.6,41802.2,1.93607,1.8192,-0.0139885,0,20.477,999.9,23.7,31.4,12.2334,63.1026,32.1795,1,0.263958,9.28105,20.1592,5.22014,12.0216,4.99015,3.28858,9999,9999,9999,999.9,1.86722,1.86628,1.86569,1.86569,1.86751,1.86996,1.86859,1.87005,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-3.042,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.7,4134.6,0.960693,2.2229,1.39648,2.34741,1.49536,2.51831,36.7654,13.738,18,537.981,417.388,12.2309,30.4067,30.0002,30.2712,30.1853,19.1948,18.6141,21.7838,5.60365,366.375,8.97156,100.425,100.421,2
5,1680801808,20,4/6/23 12:23,12:23:28,5,NA,stan,1680801800,0.002102214,2.102213514,19.49493708,400.7586341,140.8539119,12.60863831,35.87419475,0.125433527,3.841693773,0.123201938,0.077198404,321.5133624,20.56489749,20.246875,2.382728978,38.78607689,0.883171964,2.2770335,1.499557014,-92.70761595,-151.6136621,-7.925021498,69.26706279,-10.37060871,2.102330565,19.49493708,384.4874533,388.6965333,-2.709945687,64.19674213,2.102213514,8.961391088,9.868821879,1.62646858327841e-06,102.6474091,0,0,1,0,48482,1999.983214,1681.185921,0.840600016,0.16075803,2.18,0.5,0: Broadleaf,2,TRUE,1680801800,400.7586429,396.60475,9.866111071,8.958615,403.8130714,10.07700357,500.0422143,89.41571071,0.100001979,19.51484286,20.246875,999.9,0,0,9993.633214,0,13.2088,4.153903893,404.7519643,400.1899286,0.907496821,396.60475,8.958615,0.88218525,0.80104075,5.103361429,3.725760714,1999.983214,0.979999929,0.020000236,0,2.296567857,0,5499.296071,16749.31071,39.187,40.562,39.562,39.4685,37.625,1959.9825,40.00071429,0,1680801819,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,0.700941195,76.30243344,7.618741056,0,0.907360293,-0.00046499,0.000964503,1,1,2,2-Jan,2.97801,2.71572,0.0866859,0.0832919,0.0556141,0.0503813,28837.9,29079.1,29370.2,29353.1,36758.2,37041.3,41363.5,41801.9,1.9357,1.81895,-0.0140667,0,20.4786,999.9,23.7,31.4,12.2329,62.9026,31.7668,1,0.263966,9.28105,20.1591,5.22043,12.0219,4.98985,3.28853,9999,9999,9999,999.9,1.86722,1.86629,1.8657,1.86569,1.8675,1.86996,1.86859,1.87004,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-3.003,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.7,4134.6,0.926514,2.229,1.39648,2.34863,1.49536,2.54395,36.7892,13.7468,18,537.723,417.244,12.2277,30.4067,30,30.2712,30.1858,18.5663,18.6141,21.7838,5.607,346.237,8.97156,100.427,100.421,2
6,1680801813,25,4/6/23 12:23,12:23:33,5,NA,stan,1680801806,0.002095253,2.095253086,18.72630013,389.4559545,138.8887267,12.43276602,34.86254697,0.125014677,3.842056531,0.122798029,0.076944652,321.5109379,20.56495481,20.24721852,2.382779569,38.79328103,0.883267565,2.276857078,1.499512005,-92.40066107,-151.9573363,-7.942199108,69.2107414,-22.76667641,2.100092893,18.72630013,367.8011849,373.8076485,-3.019251532,64.19674213,2.095253086,8.962680136,9.867111455,-3.50E-07,102.6474091,0,0,1,0,48376,1999.968148,1681.173256,0.840600015,0.160758029,2.18,0.5,0: Broadleaf,2,TRUE,1680801806,389.455963,379.8872222,9.867145185,8.960627407,392.4764074,10.07802963,500.0485185,89.4159963,0.100023604,19.5135963,20.24721852,999.9,0,0,9994.902222,0,13.2088,9.568851481,393.337037,383.322037,0.90651763,379.8872222,8.960627407,0.882280481,0.801223259,5.104910741,3.728994815,1999.968148,0.979999667,0.020000489,0,2.292022222,0,5501.702963,16749.18148,39.187,40.562,39.562,39.451,37.625,1959.967778,40.00037037,0,1680801824,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,6.004790463,62.48141776,6.392436626,0,0.906904122,-0.010670049,0.001457667,1,1,2,2-Jan,2.97838,2.71568,0.0840737,0.0803803,0.0556143,0.0503887,28919.9,29171.7,29369.6,29353.4,36757.4,37040.9,41362.7,41801.8,1.93625,1.81865,-0.0136346,0,20.4772,999.9,23.7,31.4,12.2311,63.0026,32.1595,1,0.264075,9.28105,20.159,5.21969,12.0219,4.98975,3.28842,9999,9999,9999,999.9,1.86722,1.86629,1.8657,1.86567,1.86751,1.86996,1.86859,1.87004,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-2.958,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.8,4134.7,0.893555,2.23145,1.39648,2.34619,1.49536,2.46582,36.7892,13.738,18,538.1,417.066,12.2241,30.4067,30.0001,30.2712,30.1858,17.8444,18.6141,21.7838,5.607,332.807,8.97156,100.425,100.421,2
7,1680801818,30,4/6/23 12:23,12:23:38,5,NA,stan,1680801810,0.002094602,2.094601924,18.22861826,376.5272061,132.6138044,11.87123901,33.70572527,0.124974779,3.840830485,0.12275884,0.076920095,321.5103207,20.56256872,20.24782857,2.382869417,38.80255739,0.883323072,2.27645581,1.499546345,-92.37194484,-152.6223217,-7.979410742,68.53664337,-28.67441907,2.097350841,18.22861826,351.1004969,358.0349273,-3.169495137,64.19674213,2.094601924,8.963548105,9.867677394,6.90131469209755e-08,102.6474091,0,0,1,0,48437,1999.964286,1681.170011,0.840600016,0.160758031,2.18,0.5,0: Broadleaf,2,TRUE,1680801810,376.5272143,364.3708929,9.867616429,8.9623,379.5086071,10.07850357,500.0580714,89.417325,0.100045121,19.51076071,20.24782857,999.9,0,0,9990.357143,0,13.2088,12.15641071,380.2796786,367.666,0.90531625,364.3708929,8.9623,0.882335786,0.80138475,5.105811071,3.731855714,1999.964286,0.9799995,0.02000065,0,2.236357143,0,5504.997143,16749.15357,39.187,40.562,39.562,39.4505,37.625,1959.963929,40.00035714,0,1680801829,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,9.580758268,39.8809727,4.144976696,0,0.906347659,-0.015299958,0.001675801,1,1,2,2-Jan,2.97821,2.71554,0.0812573,0.0773748,0.0556137,0.0503945,29008.6,29267,29369.4,29353.3,36757.2,37040.5,41362.5,41801.7,1.9361,1.81875,-0.0140518,0,20.4751,999.9,23.7,31.4,12.2331,63.1626,31.7909,1,0.264083,9.28105,20.1591,5.22103,12.0219,4.9898,3.2886,9999,9999,9999,999.9,1.86722,1.86629,1.8657,1.86568,1.8675,1.86996,1.8686,1.87008,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-2.91,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4134.9,4134.8,0.858154,2.229,1.39648,2.34619,1.49536,2.53906,36.7892,13.7468,18,538.019,417.125,12.2202,30.4067,30.0001,30.2738,30.1858,17.1982,18.6141,21.7838,5.607,312.679,8.97156,100.424,100.42,2
8,1680801823,35,4/6/23 12:23,12:23:43,5,NA,stan,1680801816,0.002098832,2.09883154,17.90356536,360.5993253,121.9136337,10.91359566,32.28051789,0.125321295,3.841738506,0.123093684,0.077130397,321.5155914,20.55794548,20.24137407,2.381918961,38.81431616,0.883395414,2.275952539,1.498523547,-92.55847091,-152.0582883,-7.947635264,68.95119702,-32.32900311,2.095938785,17.90356536,334.2444315,341.7720606,-3.264816065,64.19674213,2.09883154,8.964829942,9.87077097,1.98016982990139e-06,102.6474091,0,0,1,0,48487,1999.997037,1681.197544,0.840600018,0.160758034,2.18,0.5,0: Broadleaf,2,TRUE,1680801816,360.5993333,346.834963,9.868236667,8.963527037,363.5324074,10.07911852,500.0562593,89.41907037,0.100004204,19.5072037,20.24137407,999.9,0,0,9993.418148,0,13.2088,13.76454815,364.1933704,349.9718519,0.904709259,346.834963,8.963527037,0.882408481,0.801510222,5.106994074,3.734078148,1999.997037,0.979999556,0.020000596,0,2.251711111,0,5509.411852,16749.43704,39.187,40.562,39.562,39.451,37.625,1959.995926,40.00111111,0,1680801834,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,12.642502,19.0325534,1.917889935,0,0.905208375,-0.007468672,0.001143989,1,1,2,2-Jan,2.97832,2.71554,0.0783136,0.074287,0.0556272,0.0503987,29102.1,29364.6,29369.9,29353,36757.3,37039.8,41363.2,41801.2,1.93613,1.81857,-0.014957,0,20.4729,999.9,23.7,31.4,12.2309,62.9326,31.6987,1,0.264123,9.28105,20.1591,5.22088,12.0219,4.98955,3.28835,9999,9999,9999,999.9,1.86722,1.8663,1.8657,1.86568,1.86751,1.86996,1.8686,1.87008,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-2.86,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4135,4134.9,0.825195,2.24121,1.39648,2.34741,1.49536,2.45239,36.7892,13.7293,18,538.037,417.021,12.2173,30.4067,30.0001,30.2738,30.1858,16.4715,18.6141,21.7838,5.61009,299.248,8.97156,100.426,100.419,2
9,1680801828,40,4/6/23 12:23,12:23:48,5,NA,stan,1680801820,0.002097587,2.097586651,16.97787377,345.6857781,119.2119393,10.67186301,30.94582044,0.125302769,3.841468083,0.123075657,0.077119086,321.5179067,20.55702177,20.237675,2.381374405,38.82191606,0.883499334,2.275774674,1.497875071,-92.50357129,-151.5418852,-7.921000831,69.55144939,-34.10813695,2.095921938,16.97787377,317.3734695,325.3861879,-3.281266852,64.19674213,2.097586651,8.96602579,9.871436424,1.50195844034733e-06,102.6474091,0,0,1,0,48488,2000.011429,1681.209643,0.840600018,0.160758035,2.18,0.5,0: Broadleaf,2,TRUE,1680801820,345.6857857,331.1321071,9.869286071,8.964580714,348.57325,10.08015357,500.0540714,89.42008214,0.100003446,19.50594643,20.237675,999.9,0,0,9992.335357,0,13.2088,14.55377143,349.1315,334.1273929,0.904705179,331.1321071,8.964580714,0.882512393,0.801613643,5.108685,3.73591,2000.011429,0.979999607,0.020000546,0,2.239692857,0,5513.530357,16749.56071,39.187,40.562,39.562,39.44825,37.625,1960.01,40.00142857,0,1680801839,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,14.01302683,10.57949895,1.073329931,0,0.904860732,-0.000993178,0.000840035,1,1,2,2-Jan,2.97822,2.71568,0.0752809,0.0711464,0.0556281,0.0504051,29197.7,29464.1,29369.7,29352.8,36756.9,37039.3,41362.9,41801,1.936,1.81875,-0.01451,0,20.4707,999.9,23.6,31.4,12.18,63.1826,32.1274,1,0.264009,9.28105,20.1592,5.22043,12.0218,4.98965,3.28848,9999,9999,9999,999.9,1.86722,1.86629,1.8657,1.86569,1.86751,1.86996,1.86861,1.87008,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-2.81,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4135.1,4135,0.789795,2.24121,1.39648,2.34619,1.49536,2.42065,36.7892,13.7293,18,537.951,417.125,12.2156,30.4067,30.0002,30.2738,30.1858,15.8188,18.6141,21.7838,5.61126,279.193,8.97156,100.425,100.419,2
10,1680801833,45,4/6/23 12:23,12:23:53,5,NA,stan,1680801826,0.002096985,2.096984528,16.2240638,328.6644372,112.3904257,10.06115955,29.42194869,0.12536038,3.842991751,0.123132106,0.077154469,321.5174239,20.55507381,20.23113333,2.380411645,38.83267633,0.883652348,2.275538108,1.496759297,-92.47701769,-150.5931518,-7.867959092,70.57929534,-35.43354082,2.095874932,16.2240638,300.6420138,308.9919333,-3.282453955,64.19674213,2.096984528,8.969033985,9.874169818,3.02897874658335e-06,102.6474091,0,0,1,0,48531,2000.008519,1681.207189,0.840600014,0.160758027,2.18,0.5,0: Broadleaf,2,TRUE,1680801826,328.6644444,313.5174074,9.871035556,8.966352963,331.4996667,10.08189259,500.0545556,89.4197037,0.10001723,19.50427407,20.23113333,999.9,0,0,9997.841852,0,13.2088,15.14702963,331.941037,316.3539259,0.904682519,313.5174074,8.966352963,0.882665111,0.801768704,5.111168889,3.738656667,2000.008519,0.979999667,0.020000489,0,2.354744444,0,5518.313333,16749.53333,39.187,40.562,39.562,39.437,37.625,1960.007407,40.00111111,0,1680801844,0,0,--:--:--,1680553723,1680553729,0,-0.077,-0.001,-1.582,-0.045,420,24,0.47,0.2,14.64375854,7.396032753,0.745763306,0,0.904542756,-1.91E-05,0.000691138,1,1,2,2-Jan,2.97837,2.71572,0.0721807,0.0679555,0.055641,0.050414,29295,29566.1,29369.2,29353.6,36755.5,37039.9,41361.9,41802.1,1.93595,1.81842,-0.0139698,0,20.4685,999.9,23.6,31.4,12.1814,63.0726,31.9912,1,0.263768,9.28105,20.1591,5.22073,12.0219,4.98945,3.28845,9999,9999,9999,999.9,1.86722,1.8663,1.86571,1.86568,1.86751,1.86996,1.8686,1.87008,0,0,0,0,00000000,iiiiiiii,off,off,off,off,0,100,100,-2.76,-0.2109,-1.760977852,-0.003437895,6.5172267996921e-07,-1.75E-10,-0.15774412,-0.020489092,0.001900771,-3.88E-05,2,2326,1,23,4135.2,4135.1,0.755615,2.23267,1.39648,2.34619,1.49536,2.54761,36.7892,13.738,18,537.917,416.933,12.2129,30.4067,30,30.2738,30.1858,15.0792,18.6141,21.7838,5.61393,265.836,8.97156,100.423,100.422,2
