"obs","time..2","elapsed","date","hhmmss..5","averaging","machine","id","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1679690014,0,2023-03-24 15:33:34,15:33:34,5,"albert","sch_sc02_t1_ch2_redo",1679690011.25,0.0003873879851405,0.387387985140503,-0.719973467959684,480.427600477869,517.397609304789,46.3510019502381,43.0390482024436,0.022866603063866,3.44867971470856,0.0227827046134484,0.0142467025543719,0,20.0306121026795,19.99845,2.3463878654075,35.9727794224785,0.850300069920957,2.36373192055776,1.49608779548655,-17.0838101446962,22.1213827683293,1.29042007614792,6.32799269978104,-0.682143253154357,0.387116338452693,-0.719973467959684,484.59485645614,485.057951515151,0.00071171793364629,64.871975202009,0.387387985140503,9.24529458452325,9.4914549090909,2.11790167430827e-05,99.3461190390754,77,15,1,0,48346,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690011.25,480.4276,480.1091,9.491558,9.245416,476.6897,9.422028,500.0564,89.48483,0.10004847,20.11743,19.99845,999.9,0,0,10003.497,0,0.386148,0.3186583,485.0314,484.5892,0.2461411,480.1091,9.245416,0.8493503,0.8273245,4.559982,4.184978,0,0,0,0,2.08878,0,-3.87088,-0.73242,32.9874,39.2746,36.2498,37.6748,34.2122,0,0,0,1679690047.1,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.343019075,-0.248114105065667,0.0442594822158978,0,0.229564275,0.161148011257035,0.0161502955932508,0,0,2,"0/2",2.97982,2.72859,0.093637,0.0946352,0.0541431,0.0535844,27150.7,26818.9,30484,29868.8,39798.4,37228.5,46619.2,44409.1,1.70802,1.81432,-0.0218377,0,20.3572,999.9,51.3,31,25.8633,63.7014,19.4191,1,-0.0174797,3.57388,20.1854,5.2399,11.9724,4.97335,3.291,9999,9999,9999,999.9,4.97326,1.87758,1.8757,1.87851,1.87515,1.87881,1.87591,1.877,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0695,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.2,11.3,1.20483,2.55005,1.39893,2.34741,1.44897,2.37427,38.3056,23.781,18,405.191,425.019,16.9031,26.5743,30.0013,26.531,26.6223,24.1444,59.9802,0,16.8989,480.1,9.21139,100.76,102.125,2
2,1679690019,5,2023-03-24 15:33:39,15:33:39,5,"albert","sch_sc02_t1_ch2_redo",1679690016.5,0.00039000160275663,0.39000160275663,-0.758702036742767,480.490111613585,519.786651949666,46.5645033674418,43.0441669410545,0.0230223491519784,3.44878961435456,0.0229373089261499,0.0143434323079655,0,20.0292322879483,19.9976333333333,2.34626920395617,35.9726628860857,0.850255405395463,2.36361541565038,1.49601379856071,-17.1990706815674,22.1258063370002,1.29062633221354,6.21736198764634,-0.860906073894724,0.390628451064309,-0.758702036742767,484.530397648193,485.056981818182,-0.00733562966058017,64.871975202009,0.39000160275663,9.24247627190857,9.49063521212121,-1.96091704901586e-05,99.3461190390754,67,13,1,0,48449,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690016.5,480.490111111111,480.057888888889,9.49116555555556,9.24275111111111,476.752111111111,9.42164,499.977444444444,89.4834777777778,0.100398977777778,20.1166333333333,19.9976333333333,999.9,0,0,10004.1077777778,0,0.386148,0.432257777777778,485.094222222222,484.536222222222,0.248415555555556,480.057888888889,9.24275111111111,0.849302666666667,0.827073333333333,4.55917777777778,4.18065777777778,0,0,0,0,2.18357777777778,0,-3.61397777777778,-0.771455555555556,32.9582222222222,39.354,36.3051111111111,37.8053333333333,34.201,0,0,0,1679690052.5,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.3544357,0.260787557223265,0.054931111753814,0,0.240250825,0.0846480337711063,0.00868103099835353,1,1,2,"1/2",2.97955,2.72979,0.0936376,0.0946224,0.0541382,0.0535677,27151,26818.8,30484.3,29868.3,39799,37228.4,46619.7,44408.2,1.7309,1.81463,-0.0213049,0,20.3613,999.9,51.2,31,25.812,63.8614,19.4591,1,-0.0185493,3.36403,20.1898,5.2396,11.9722,4.97305,3.291,9999,9999,9999,999.9,4.97328,1.87758,1.87572,1.87851,1.87517,1.87881,1.87592,1.87702,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0695,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.3,11.4,1.20483,2.55005,1.39893,2.34741,1.44897,2.40112,38.2812,23.781,18,416.308,425.185,16.8851,26.572,29.9998,26.5288,26.6206,24.1455,59.9802,0,16.9014,480.1,9.20928,100.761,102.123,2
3,1679690024,10,2023-03-24 15:33:44,15:33:44,5,"albert","sch_sc02_t1_ch2_redo",1679690021.2,0.00039480082307035,0.394800823070355,-0.727048571933884,480.44650048119,516.980028131209,46.3135103419545,43.0406645479622,0.0232930167608891,3.44672912330858,0.0232059174434846,0.0145114966665261,0,20.0252133102603,20.00318,2.34707523659431,35.9756292487214,0.850173313068976,2.36319233554252,1.49690192352534,-17.4107162974027,20.5442658884169,1.19910575113,4.33265534214427,-0.756041685324673,0.394539088541939,-0.727048571933884,484.586203395019,485.054921212121,0.00048118373153968,64.871975202009,0.394800823070355,9.23913207914837,9.49017278787879,-5.80372101756619e-06,99.3461190390754,59,12,1,0,48523,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690021.2,480.4465,480.0829,9.49016,9.239328,476.7086,9.420649,500.1162,89.48346,0.1012586,20.11374,20.00318,999.9,0,0,9995.494,0,0.386148,0.363626,485.0497,484.5599,0.2508324,480.0829,9.239328,0.8492124,0.826767,4.557657,4.17537,0,0,0,0,2.07426,0,-3.4097,-0.75978,33.1123,39.431,36.3372,37.8685,34.2436,0,0,0,1679690057.3,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.357675658536585,0.189935456445994,0.0525968452214508,0,0.245362170731707,0.0494887735191642,0.00523431552075824,1,1,2,"1/2",2.98015,2.7287,0.093637,0.0946263,0.0541361,0.0535515,27151.8,26818.7,30485.2,29868.3,39800.4,37229.1,46621.3,44408.2,1.75012,1.81428,-0.0225082,0,20.3637,999.9,51.2,31,25.8136,63.4814,19.1827,1,-0.019065,3.31774,20.1908,5.23975,11.973,4.9731,3.291,9999,9999,9999,999.9,4.97325,1.87758,1.87571,1.87851,1.87515,1.87881,1.8759,1.877,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0695,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.4,11.5,1.20483,2.54761,1.39893,2.34741,1.44897,2.4231,38.3056,23.781,18,425.684,424.964,16.8892,26.5705,29.9998,26.5265,26.6189,24.1456,59.9802,0,16.8935,480.1,9.20576,100.764,102.123,2
4,1679690029,15,2023-03-24 15:33:49,15:33:49,5,"albert","sch_sc02_t1_ch2_redo",1679690026.5,0.00039843376346108,0.398433763461085,-0.811890920260553,480.463111648425,522.22025830936,46.7807817901098,43.0401533195735,0.0235313514842866,3.44785628868744,0.0234424932551342,0.0146595137571303,0,20.0222083979898,19.9919222222222,2.34543952797147,35.9759587324866,0.85006444681755,2.36286808404062,1.49537508115392,-17.5709289686339,22.2313470569908,1.29706184152821,5.95747992988514,-0.811896094270494,0.398989536513806,-0.811890920260553,484.532867812975,485.060406060606,-0.00031885340626953,64.871975202009,0.398433763461085,9.23545289734833,9.48887181818182,-1.18785102586505e-05,99.3461190390754,58,12,1,0,48501,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690026.5,480.463111111111,480.065,9.48938555555556,9.2357,476.725,9.41988111111111,500.069,89.4803888888889,0.100168444444444,20.1115222222222,19.9919222222222,999.9,0,0,10000.55,0,0.386148,0.398132333333333,485.066111111111,484.539888888889,0.253685888888889,480.065,9.2357,0.849113666666667,0.826413777777778,4.55599666666667,4.16928555555556,0,0,0,0,2.06843333333333,0,-3.55025555555556,-0.790577777777778,33.0206666666667,39.5275555555556,36.3887777777778,37.951,34.3051111111111,0,0,0,1679690062.1,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.375040375,0.182868529080675,0.0508468143622034,0,0.2496917,0.0299401801125701,0.00291099666952747,1,1,2,"1/2",2.97984,2.72867,0.0936354,0.0946321,0.0541281,0.0535403,27151.9,26818.5,30485.3,29868.2,39800.8,37229.6,46621.3,44408.3,1.7537,1.81455,-0.0225864,0,20.3637,999.9,51.2,31,25.8116,63.2214,19.0986,1,-0.019591,3.31597,20.1908,5.24005,11.9721,4.9731,3.291,9999,9999,9999,999.9,4.97324,1.87757,1.87571,1.87851,1.87516,1.87881,1.87592,1.87703,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0695,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.5,11.5,1.20483,2.54517,1.39893,2.34741,1.44897,2.43896,38.3056,23.781,18,427.448,425.115,16.8882,26.5688,29.9997,26.5242,26.6172,24.1454,59.9802,0,16.8911,480.1,9.20541,100.764,102.123,2
5,1679690034,20,2023-03-24 15:33:54,15:33:54,5,"albert","sch_sc02_t1_ch2_redo",1679690031.2,0.00040091997569488,0.400919975694887,-0.805030218071788,480.496600533166,521.463235121735,46.7124304194117,43.0426586333159,0.0236739160537847,3.44754540203666,0.0235839720132554,0.0147480350207086,0,20.019781109066,19.99295,2.34558881839363,35.9742818089422,0.849926887954556,2.36259584685659,1.49566193043907,-17.6805709281445,21.6921953429712,1.26571438677533,5.27733880160206,-0.772207382822822,0.400976106220283,-0.805030218071788,484.602068777479,485.118793939394,0.00101458791809158,64.871975202009,0.400919975694887,9.23254988251702,9.48755060606061,-1.32095459026637e-05,99.3461190390754,57,11,1,0,48471,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690031.2,480.4966,480.1246,9.487959,9.233019,476.7585,9.418474,500.0867,89.47936,0.1001679,20.10966,19.99295,999.9,0,0,9999.365,0,0.386148,0.3720551,485.0992,484.5989,0.2549404,480.1246,9.233019,0.8489765,0.8261648,4.553689,4.164989,0,0,0,0,2.00513,0,-3.73815,-0.80949,33.1622,39.5999,36.3936,38.0373,34.281,0,0,0,1679690067.5,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.38408125,-0.0718281500938093,0.0435890682526881,1,0.251396975,0.0277839737335837,0.00273276925011516,1,2,2,"2/2",2.98007,2.72825,0.0936414,0.0946314,0.0541215,0.0535198,27151.9,26818.6,30485.5,29868.3,39801.4,37230.1,46621.7,44408,1.75572,1.81425,-0.0225119,0,20.3637,999.9,51.2,31,25.8134,63.3814,18.9984,1,-0.0195351,3.30049,20.1912,5.2396,11.9733,4.9731,3.291,9999,9999,9999,999.9,4.97327,1.87759,1.87575,1.87854,1.87519,1.87883,1.87592,1.87707,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0695,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.6,11.6,1.20483,2.54517,1.39893,2.34741,1.44897,2.45239,38.3301,23.781,18,428.442,424.92,16.888,26.5675,29.9999,26.5222,26.615,24.1453,59.9802,0,16.8961,480.1,9.20478,100.765,102.122,2
6,1679690039,25,2023-03-24 15:33:59,15:33:59,5,"albert","sch_sc02_t1_ch2_redo",1679690036.5,0.00039909912948775,0.399099129487757,-0.904851328301983,480.519778378181,528.446445802977,47.3373976696463,43.0442025258676,0.023562668586424,3.44619627880452,0.023473531425346,0.0146789375357523,0,20.0185294671411,19.9926222222222,2.34554120594931,35.9675983902966,0.849683462399622,2.36235806789049,1.49585774354969,-17.6002716104101,21.4423842667009,1.25161547642563,5.09372813271645,-0.868490799550265,0.402146958507898,-0.904851328301983,484.548750992658,485.133169696969,0.00038166647463896,64.871975202009,0.399099129487757,9.22959615965227,9.48364212121212,-4.02384709845963e-05,99.3461190390754,60,12,1,0,48407,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690036.5,480.519777777778,480.086333333333,9.48535888888889,9.22966888888889,476.781444444444,9.41590666666667,500.077111111111,89.4785333333333,0.0998866666666667,20.1080333333333,19.9926222222222,999.9,0,0,9993.81666666667,0,0.386148,0.433366555555556,485.121222222222,484.558666666667,0.255689666666667,480.086333333333,9.22966888888889,0.848735888888889,0.825857333333333,4.54963777777778,4.15968555555556,0,0,0,0,2.01534444444444,0,-3.22362222222222,-0.790955555555556,33.1455555555556,39.6665555555556,36.4441111111111,38.1525555555556,34.3331111111111,0,0,0,1679690072.3,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.38949965,0.185714409005628,0.0376980385408512,0,0.253754325,0.0194325590994366,0.0020380111798945,1,1,2,"1/2",2.97984,2.72818,0.0936431,0.094628,0.0541064,0.0535108,27151.9,26819.1,30485.5,29868.7,39801.9,37231.2,46621.6,44408.9,1.74905,1.81428,-0.0223108,0,20.3635,999.9,51.2,31.1,25.9613,63.8414,18.9263,1,-0.020033,3.27802,20.1917,5.24005,11.9715,4.9732,3.291,9999,9999,9999,999.9,4.97325,1.87758,1.87571,1.87851,1.87516,1.87881,1.87592,1.87702,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0694,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.7,11.7,1.20483,2.53906,1.39893,2.34741,1.44897,2.47803,38.3056,23.7898,18,425.113,424.92,16.8932,26.5653,29.9997,26.5199,26.613,24.1452,59.9802,0,16.9015,480.1,9.20587,100.765,102.124,2
7,1679690044,30,2023-03-24 15:34:04,15:34:04,5,"albert","sch_sc02_t1_ch2_redo",1679690041.2,0.00040000394808196,0.400003948081962,-0.543367878499244,480.470900360419,504.034633574453,45.1520757952108,43.041206031058,0.0236018522028972,3.44904058570914,0.0235124923919617,0.0147033080501717,0,20.0177030788384,19.99737,2.34623094281342,35.9580252045547,0.84942086887819,2.36225672585211,1.49681007393523,-17.6401741104145,20.448336025961,1.19263222222454,4.00079413777105,-0.809570221935446,0.401356076442509,-0.543367878499244,484.546858259644,485.014442424242,-0.0242647603787834,64.871975202009,0.400003948081962,9.22661933974986,9.48111115151515,-2.06131152895693e-05,99.3461190390754,61,12,1,0,48368,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690041.2,480.4709,480.075,9.482123,9.226922,476.7327,9.41271,500.0516,89.48163,0.09966618,20.10734,19.99737,999.9,0,0,10005.364,0,0.386148,0.3960388,485.0703,484.5457,0.2551995,480.075,9.226922,0.8484757,0.8256403,4.545256,4.155938,0,0,0,0,1.97294,0,-3.36748,-0.84424,33.2746,39.7624,36.4372,38.2122,34.3309,0,0,0,1679690077.1,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.395806292682927,0.0941813519163765,0.0309072917903975,1,0.254700634146341,0.00876978397212552,0.00120664446551214,1,2,2,"2/2",2.97986,2.72812,0.0936348,0.094627,0.0540984,0.0535004,27152.1,26818.9,30485.5,29868.5,39802.2,37231.5,46621.4,44408.8,1.74507,1.8144,-0.0222512,0,20.362,999.9,51.1,31.1,25.9098,63.5814,18.9343,1,-0.0201499,3.27184,20.1919,5.23975,11.9716,4.9731,3.291,9999,9999,9999,999.9,4.97327,1.87758,1.87573,1.87851,1.87515,1.87881,1.87591,1.87703,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.737,0.0694,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.7,11.8,1.20483,2.5354,1.39893,2.34741,1.44897,2.48901,38.3056,23.7898,18,423.138,424.977,16.9001,26.5638,29.9999,26.5182,26.6107,24.1476,59.9802,0,16.9035,480.1,9.20648,100.765,102.124,2
8,1679690049,35,2023-03-24 15:34:09,15:34:09,5,"albert","sch_sc02_t1_ch2_redo",1679690046.5,0.00040025042047931,0.400250420479318,-0.845683241386326,480.472333893253,524.272629876507,46.9647898782119,43.0411219614992,0.0236238564255251,3.45024921214825,0.023534361489003,0.014716988317182,0,20.0189264862882,19.9926777777778,2.34554927579552,35.9462606464769,0.849208579117213,2.36243927419595,1.49634069667831,-17.6510435431379,21.5606067133366,1.25704183080623,5.16660500100488,-0.81956276419494,0.402387575964851,-0.845683241386326,484.545536735059,485.0776,0.00333293619438109,64.871975202009,0.400250420479318,9.22403144027907,9.47870024242424,-2.29640112253937e-05,99.3461190390754,62,12,1,0,48432,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690046.5,480.472333333333,480.070333333333,9.4798,9.22394,476.734333333333,9.41042,500.046666666667,89.4810888888889,0.0997650444444444,20.1085888888889,19.9926777777778,999.9,0,0,10010.48,0,0.386148,0.402113111111111,485.070666666667,484.539555555556,0.255861666666667,480.070333333333,9.22394,0.848262888888889,0.825368111111111,4.54166888888889,4.15124333333333,0,0,0,0,2.04455555555556,0,-3.52871111111111,-0.866733333333333,33.1316666666667,39.84,36.5205555555555,38.3191111111111,34.3747777777778,0,0,0,1679690082.5,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.398080425,0.0780127317073162,0.0267545727931577,1,0.255410725,0.00336563977485897,0.00080374324219554,1,2,2,"2/2",2.97975,2.72825,0.0936381,0.094631,0.0540848,0.0534819,27152.6,26819.2,30486.1,29868.9,39803.3,37232.8,46622.1,44409.4,1.7444,1.8145,-0.0221208,0,20.362,999.9,51.1,31,25.7629,63.4114,19.0465,1,-0.0201524,3.27312,20.1919,5.23975,11.9721,4.9729,3.291,9999,9999,9999,999.9,4.97328,1.87755,1.87572,1.87851,1.87515,1.87881,1.87591,1.877,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0694,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.8,11.9,1.20483,2.53784,1.39893,2.34741,1.44897,2.47803,38.3301,23.7898,18,422.795,425.023,16.904,26.5626,29.9999,26.5166,26.6088,24.1471,59.9802,0,16.9083,480.1,9.20648,100.766,102.125,2
9,1679690054,40,2023-03-24 15:34:14,15:34:14,5,"albert","sch_sc02_t1_ch2_redo",1679690051.2,0.00040299878624084,0.402998786240849,-0.768507198809947,480.471100509569,518.767854253023,46.4705817862447,43.040006024095,0.0237731495829195,3.44672163304047,0.0236824299001275,0.0148096405152865,0,20.0179446079262,19.99688,2.34615974948393,35.9381806925357,0.849003044599565,2.36239850832489,1.49715670488437,-17.7722464732215,20.7058843439054,1.20846899297419,4.14210686365812,-0.779642044091659,0.404822131721853,-0.768507198809947,484.558103037843,485.059327272727,-0.00069898242349418,64.871975202009,0.402998786240849,9.22008951977508,9.47643006060606,-1.46103042270626e-05,99.3461190390754,61,12,1,0,48431,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690051.2,480.4711,480.0955,9.477727,9.220334,476.733,9.408372,500.0769,89.47865,0.1001113,20.10831,19.99688,999.9,0,0,9996,0,0.386148,0.3754057,485.0684,484.5634,0.2573933,480.0955,9.220334,0.8480542,0.825023,4.538153,4.145285,0,0,0,0,2.02294,0,-3.42672,-0.89625,33.2311,39.8874,36.5248,38.3687,34.3874,0,0,0,1679690087.3,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.399586682926829,-0.140182264808362,0.02373845535119,0,0.255996365853659,0.00492579094076663,0.00088746885224895,1,1,2,"1/2",2.97979,2.72853,0.0936348,0.09463,0.0540735,0.0534609,27152.7,26819.1,30486.2,29868.7,39804.3,37233.3,46622.7,44409.1,1.7458,1.8146,-0.0226013,0,20.362,999.9,51.1,31.1,25.9126,63.6914,19.0585,1,-0.0207393,3.26978,20.1919,5.23975,11.9718,4.97295,3.291,9999,9999,9999,999.9,4.97327,1.87757,1.87572,1.87851,1.87516,1.87881,1.87592,1.87704,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0693,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,11.9,12,1.20483,2.53418,1.39893,2.34741,1.44897,2.48779,38.3301,23.7898,18,423.477,425.07,16.9085,26.5608,29.9999,26.5149,26.6071,24.1485,59.9802,0,16.9102,480.1,9.20648,100.767,102.124,2
10,1679690059,45,2023-03-24 15:34:19,15:34:19,5,"albert","sch_sc02_t1_ch2_redo",1679690056.5,0.00040399671172694,0.403996711726944,-0.821792267742808,480.461111655387,522.157083221874,46.7729260303786,43.0379530567086,0.0238411857005206,3.4488633167038,0.0237500035147063,0.0148519153662444,0,20.0188862720181,19.9909444444444,2.34529750805499,35.9243674711327,0.848735127069382,2.36256108824015,1.49656238098561,-17.8162549871582,22.029179725384,1.28487110025244,5.4977958384782,-0.786949913326808,0.40503801919742,-0.821792267742808,484.553996829537,485.079339393939,0.00148465930360298,64.871975202009,0.403996711726944,9.21767069145902,9.47461187878788,-1.0340405624876e-05,99.3461190390754,61,12,1,0,48442,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1679690056.5,480.461111111111,480.080888888889,9.47499111111111,9.21746333333334,476.723,9.40567222222222,500.083111111111,89.4763666666667,0.0999840777777778,20.1094222222222,19.9909444444444,999.9,0,0,10005.2111111111,0,0.386148,0.380289666666667,485.056777777778,484.547222222222,0.257527222222222,480.080888888889,9.21746333333334,0.847788,0.824745444444444,4.53366555555556,4.14049111111111,0,0,0,0,2.10932222222222,0,-3.31731111111111,-0.908888888888889,33.2568888888889,39.9441111111111,36.5762222222222,38.451,34.437,0,0,0,1679690092.1,0,1679689339.1,15:22:19,1679689339.1,1679689336.1,1,0.008,0.001,3.737,0.07,480,10,0.58,0.22,0.385981675,-0.0677127242026277,0.0252969682851399,1,0.2565126,0.0107995722326444,0.0011683161772397,1,2,2,"2/2",2.97983,2.72834,0.0936362,0.0946259,0.0540642,0.0534553,27152.6,26819.4,30486.1,29869,39804.5,37233.8,46622.4,44409.4,1.74527,1.81445,-0.0219643,0,20.3613,999.9,51,31.1,25.8609,63.6114,19.0705,1,-0.0206707,3.26662,20.1918,5.23975,11.9712,4.97305,3.291,9999,9999,9999,999.9,4.97328,1.87755,1.87572,1.87851,1.87515,1.87881,1.8759,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.738,0.0693,2.08557718420953,0.0041485985989019,-1.62066741854708e-06,3.97141894569793e-10,0.00252682314608434,0.00064566955332877,0.0007546630542903,-7.26274807607062e-06,0,2135,1,23,12,12,1.20483,2.53052,1.39893,2.34741,1.44897,2.49146,38.3301,23.7986,18,423.206,424.968,16.911,26.5586,30,26.513,26.6054,24.1489,59.9802,0,16.9172,480.1,9.20648,100.767,102.125,2
