"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","CO2_hrs","AccCO2_soda","AccH2O_des","AccH2O_hum","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1679689715.6,0,2023-03-24 15:28:35,15:28:35,5,"pas_smi1_t1_ch2","gibson",1679689712.85,0.00050493379819631,0.50493379819632,-0.654508695433504,420.154600223791,443.791777963149,39.6951083907368,37.5808728888505,0.029641428675292,4.07658214721122,0.029522211343989,0.0184620531756177,0,20.5733542066116,20.0029,2.34703454163247,34.5292565436349,0.844497324038252,2.44574430083965,1.50253721759422,-22.2675805004577,146.586661178606,7.25450614241839,131.573586820567,-0.532506192892161,0.519501921250836,-0.654508695433504,423.974607461392,424.186351515151,0.00127661078659915,67.143252355221,0.50493379819632,9.27216871437806,9.43778484848485,-5.86175753913809e-05,129.833225514131,1,0,1,0,48218,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689712.85,420.1546,420.0509,9.44149,9.271669,418.5931,9.518701,499.9883,89.34564,0.09970433,20.66988,20.0029,999.9,0,0,10008.016,0,0.778986,0.10368041,424.1594,423.9818,0.1698216,420.0509,9.271669,0.843556,0.8283832,4.462168,4.203204,0,0,0,0,2.6846,0,-19.65326,-2.39347,35.375,41.2248,38.437,40.125,36.062,0,0,0,1679689738.8,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.149411782926829,-0.208517606968641,0.0580386390161862,0,0.170553,7.11428571428106e-05,0.00142540849087328,1,1,2,"1/2",2.86712,2.71039,0.0900341,0.0902212,0.0513643,0.0505351,25494.2,22301,25068.6,23870.4,40589.4,37488.1,45296,42545.1,1.79062,1.85168,-0.0308082,0,20.51,999.9,60.225,27.352,24.6315,54.9729,41.0577,1,-0.0464405,2.90819,20.2384,5.23661,11.992,4.95695,3.304,999.9,9999,9999,9999,1.86813,1.86373,1.87149,1.86217,1.8616,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.562,-0.0773,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.4,5.3,1.02783,2.35352,1.44775,2.323,1.44409,2.35474,31.9365,13.8256,18,426.399,449.056,18.0012,26.6523,29.9998,26.7393,26.7055,20.6242,72.1799,9.80233,17.9978,420.1,9.34266,95.8848,100.057,2
2,1679689720.6,5,2023-03-24 15:28:40,15:28:40,5,"pas_smi1_t1_ch2","gibson",1679689718.1,0.00051095339608136,0.510953396081366,-0.534832659964976,420.204444626587,437.12436814645,39.0978674408121,37.5844928154317,0.0299677603037446,4.08224603430583,0.0298460776668882,0.018664689906656,0,20.5722414711107,20.0074777777778,2.34769994954364,34.5002277018085,0.843782616418885,2.44573057230766,1.50391733312475,-22.5330447671883,145.762785879942,7.20388943106532,130.433630543819,-0.628625347863168,0.522376203562183,-0.534832659964976,423.980839806808,424.184078787879,-0.00511236022115904,67.143252355221,0.510953396081366,9.26398307230568,9.43127581818182,-2.95351012851673e-05,129.833225514131,1,0,1,0,48319,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689718.1,420.204444444444,420.069444444444,9.43371,9.26296444444444,418.643,9.51104,500.036222222222,89.3434666666667,0.0998823888888889,20.6697888888889,20.0074777777778,999.9,0,0,10027.0288888889,0,0.778986,0.135087611111111,424.206333333333,423.996888888889,0.170743333333333,420.069444444444,9.26296444444444,0.842840444444445,0.827585555555556,4.45004777777778,4.18947555555556,0,0,0,0,2.72526666666667,0,-19.7132777777778,-2.39936666666667,35.375,41.201,38.437,40.1387777777778,36.062,0,0,0,1679689743.6,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.137941665853659,-0.134684629965157,0.0568108028955873,0,0.170831097560976,-0.00641021602787435,0.00120939111478902,1,1,2,"1/2",2.86708,2.71045,0.0900289,0.0902239,0.0513331,0.0505158,25494.3,22301.1,25068.6,23870.5,40591.1,37489.2,45296.4,42545.4,1.7906,1.8518,-0.0305548,0,20.51,999.9,60.151,27.352,24.5992,54.6829,41.1859,1,-0.0468775,2.90838,20.2384,5.23676,11.992,4.957,3.304,999.9,9999,9999,9999,1.86813,1.86375,1.87149,1.86213,1.86159,1.86812,1.85822,1.86477,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.562,-0.0774,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.5,5.4,1.02783,2.37061,1.44775,2.323,1.44409,2.27539,31.9365,13.8168,18,426.356,449.101,17.9973,26.6478,29.9998,26.7354,26.7016,20.6252,71.9097,9.42335,17.991,420.1,9.34329,95.8853,100.057,2
3,1679689725.6,10,2023-03-24 15:28:45,15:28:45,5,"pas_smi1_t1_ch2","gibson",1679689722.8,0.00044897001549679,0.448970015496799,-0.542969002177385,420.204600185971,441.526217542563,39.4926763236215,37.5855466912145,0.0263093017074002,4.06934930936584,0.0262151691068658,0.0163929099297199,0,20.5794570316124,20.00803,2.34778022958254,34.4867034677692,0.843225371012095,2.44507385810349,1.50455485857045,-19.7995776834089,144.224856001997,7.15033246208339,131.575610780672,-0.534605827519343,0.439947119565169,-0.542969002177385,424.043799583282,424.215903030303,0.00177847232537951,67.143252355221,0.448970015496799,9.28147027852636,9.42875442424242,-5.66783734772032e-05,129.833225514131,1,0,1,0,48251,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689722.8,420.2046,420.0892,9.427219,9.283422,418.643,9.504651,500.0587,89.34564,0.10018395,20.66543,20.00803,999.9,0,0,9984.064,0,0.778986,0.11540225,424.2036,424.0254,0.1437977,420.0892,9.283422,0.8422809,0.8294333,4.440566,4.221246,0,0,0,0,2.70045,0,-19.6483,-2.4106,35.375,41.2185,38.437,40.1374,36.062,0,0,0,1679689749,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.122438775,-0.157861675046904,0.0596716716146102,0,0.1657743,-0.0705722026266422,0.0109127728698988,1,1,2,"1/2",2.86721,2.71021,0.0900409,0.0902134,0.0513373,0.0506874,25493.9,22301.2,25068.5,23870.3,40590.8,37482.3,45296.2,42545.3,1.79088,1.8517,-0.0305027,0,20.5105,999.9,60.103,27.352,24.5793,54.7229,41.3341,1,-0.0469817,2.92379,20.238,5.23706,11.992,4.9571,3.304,999.9,9999,9999,9999,1.86813,1.86375,1.87149,1.86215,1.8616,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.562,-0.0774,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.5,5.5,1.02783,2.36206,1.44775,2.323,1.44409,2.33765,31.9585,13.8168,18,426.484,449.007,17.9916,26.6437,29.9999,26.7317,26.6975,20.6264,71.9097,8.65522,17.983,420.1,9.34301,95.8848,100.057,2
4,1679689730.6,15,2023-03-24 15:28:50,15:28:50,5,"pas_smi1_t1_ch2","gibson",1679689728.1,0.00041653832038874,0.416538320388741,-0.735930546031762,420.237111363588,456.579518110646,40.8394637863776,37.5887607973385,0.0244296302556473,4.07381565933838,0.0243485340792304,0.0152250974135468,0,20.5882096474935,20.0017888888889,2.34687305978325,34.5121388524521,0.843975131536642,2.44544429756975,1.50289792824661,-18.3693399291435,146.293910939265,7.24481973909391,135.169390749215,-0.744988273029294,0.409086545501397,-0.735930546031762,424.00980084136,424.249818181818,0.00104149032822071,67.143252355221,0.416538320388741,9.30261252827295,9.43796509090909,8.47784282460959e-05,129.833225514131,1,0,1,0,48101,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689728.1,420.237111111111,420.048,9.43552444444445,9.30180222222222,418.675666666667,9.51282777777778,500.009555555556,89.3465555555555,0.0999968333333333,20.6678888888889,20.0017888888889,999.9,0,0,9998.75,0,0.778986,0.188999,424.24,423.992111111111,0.133724,420.048,9.30180222222222,0.843031777777778,0.831083888888889,4.45329,4.24960444444444,0,0,0,0,2.66452222222222,0,-19.6685111111111,-2.39591111111111,35.375,41.236,38.437,40.1387777777778,36.062,0,0,0,1679689753.8,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.1340354975,0.0638966555347091,0.0598275770156309,1,0.155890875,-0.158861797373359,0.0179066540149011,0,1,2,"1/2",2.86713,2.71022,0.0900493,0.0902111,0.0513761,0.0506747,25494,22301.6,25068.8,23870.7,40589.3,37483.3,45296.4,42545.9,1.79085,1.85187,-0.0304729,0,20.51,999.9,60.029,27.352,24.5499,55.0329,41.3942,1,-0.04719,2.93379,20.2379,5.23646,11.992,4.9572,3.304,999.9,9999,9999,9999,1.86813,1.86373,1.87149,1.86215,1.86158,1.86813,1.85822,1.86477,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.561,-0.0772,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.6,5.6,1.02783,2.35596,1.44775,2.323,1.44409,2.36084,31.9365,13.8256,18,426.437,449.082,17.9839,26.6398,29.9998,26.7272,26.6936,20.6322,71.9097,8.27463,17.9808,420.1,9.34264,95.8855,100.058,2
5,1679689735.6,20,2023-03-24 15:28:55,15:28:55,5,"pas_smi1_t1_ch2","gibson",1679689732.8,0.00044692768330379,0.4469276833038,-0.484432620657687,420.236300165644,438.139327955499,39.190926448813,37.5895266187696,0.0262314794905819,4.06682380565982,0.0261378439928142,0.0163445372845364,0,20.5823975977599,20.00033,2.34666104889827,34.532241639075,0.84447407565469,2.44546555790089,1.50218697324358,-19.7095108336976,146.393628965666,7.26217320643071,133.946291338399,-0.592832427765544,0.445781205699852,-0.484432620657687,424.060093621639,424.222981818182,-0.00031422711465211,67.143252355221,0.4469276833038,9.29589153147369,9.44164854545454,3.37594271952482e-05,129.833225514131,1,0,1,0,48374,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689732.8,420.2363,420.1025,9.440892,9.295189,418.6747,9.518112,500.0548,89.34855,0.09999741,20.66803,20.00033,999.9,0,0,9975.38,0,0.778986,0.13377076,424.2415,424.0441,0.1457044,420.1025,9.295189,0.8435303,0.8305116,4.46173,4.239784,0,0,0,0,2.70049,0,-19.96197,-2.38633,35.375,41.2374,38.437,40.1312,36.062,0,0,0,1679689758.6,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.1376716675,0.224228549718574,0.0512874395461178,0,0.149259775,-0.120050712945591,0.0164496111693977,0,0,2,"0/2",2.86704,2.71011,0.0900464,0.0902195,0.051388,0.0506371,25494.3,22301.6,25069,23870.8,40589.2,37485.4,45296.8,42546.5,1.79077,1.85182,-0.0310093,0,20.51,999.9,59.956,27.352,24.5185,54.4429,41.266,1,-0.0476296,2.92134,20.2381,5.23691,11.992,4.95725,3.304,999.9,9999,9999,9999,1.86813,1.86372,1.87149,1.86216,1.86158,1.86813,1.85822,1.86477,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.561,-0.0772,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.7,5.7,1.02783,2.34741,1.44775,2.323,1.44409,2.36084,31.9365,13.8256,18,426.369,449.02,17.9794,26.636,29.9998,26.7236,26.6898,20.6294,71.9097,7.89668,17.9804,420.1,9.34264,95.8863,100.06,2
6,1679689740.6,25,2023-03-24 15:29:00,15:29:00,5,"pas_smi1_t1_ch2","gibson",1679689738.1,0.00047417444669402,0.474174446694024,-0.574300566709258,420.191333528804,441.527166276701,39.4936142119605,37.5851718514551,0.0278365677014413,4.08314083877652,0.0277315670439633,0.0173416301419076,0,20.5792708239617,20.0004333333333,2.34667606511089,34.5302424349569,0.844516117816093,2.44572889810105,1.5021599472948,-20.9110930992064,147.342985929245,7.2801278031093,133.712020633148,-0.578154344690683,0.481685189438254,-0.574300566709258,423.997924657731,424.192933333333,-0.00075572880895525,67.143252355221,0.474174446694024,9.28509293080316,9.43996175757575,1.39938137776076e-05,129.833225514131,1,0,1,0,48335,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689738.1,420.191333333333,420.067333333333,9.44144555555556,9.28398888888889,418.629555555555,9.51865444444444,499.995777777778,89.3478777777778,0.0998781666666667,20.6697777777778,20.0004333333333,999.9,0,0,10029.5,0,0.778986,0.124091211111111,424.196444444444,424.003555555556,0.157456111111111,420.067333333333,9.28398888888889,0.843573333333333,0.829505111111111,4.46246333333333,4.22249333333333,0,0,0,0,2.64073333333333,0,-19.8153,-2.36921111111111,35.375,41.236,38.437,40.1663333333333,36.062,0,0,0,1679689764,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.1394592425,0.0790756131332082,0.0490878595093323,1,0.145418275,0.0199207317073167,0.0124583948042826,1,2,2,"2/2",2.8673,2.71045,0.0900426,0.0902212,0.0513762,0.0505948,25494.5,22302,25069.1,23871.3,40589.9,37487.8,45297.1,42547.4,1.7911,1.8519,-0.0310168,0,20.51,999.9,59.913,27.362,24.517,54.5129,41.0577,1,-0.047843,2.90964,20.2383,5.23646,11.992,4.9571,3.304,999.9,9999,9999,9999,1.86813,1.86373,1.87149,1.86217,1.86158,1.86812,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.561,-0.0772,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.8,5.8,1.02783,2.36206,1.44775,2.323,1.44409,2.33276,31.9585,13.8256,18,426.525,449.034,17.9785,26.632,29.9998,26.7199,26.6858,20.6306,71.9097,7.52198,17.9803,420.1,9.34264,95.8869,100.062,2
7,1679689745.6,30,2023-03-24 15:29:05,15:29:05,5,"pas_smi1_t1_ch2","gibson",1679689742.8,0.00047033386646142,0.470333866461426,-0.837474734195878,420.267500286142,456.966140321473,40.8742147556724,37.5916343592563,0.0276069394681979,4.07750818412821,0.0275035184380177,0.0171989585608547,0,20.5801479718368,19.99873,2.3464285505442,34.5122376104219,0.844089404937162,2.44576840964454,1.50233914560704,-20.7417235109489,147.571809093024,7.301452426064,134.131538008139,-0.649553784614063,0.478352092292175,-0.837474734195878,424.043348373816,424.286321212121,0.00732244763562535,67.143252355221,0.470333866461426,9.28077095232919,9.43484836363636,-3.61142519275389e-05,129.833225514131,1,0,1,0,48239,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689742.8,420.2675,420.1195,9.436763,9.280408,418.7058,9.514049,500.0369,89.34688,0.1000421,20.67004,19.99873,999.9,0,0,10010.945,0,0.778986,0.1480286,424.2712,424.055,0.1563575,420.1195,9.280408,0.8431457,0.8291757,4.455218,4.216832,0,0,0,0,2.63502,0,-19.7626,-2.42029,35.375,41.2248,38.437,40.156,36.062,0,0,0,1679689768.8,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.1528229125,-0.172407027016886,0.039284060103967,0,0.1466611,0.107338356472795,0.010944275361576,0,0,2,"0/2",2.86737,2.7102,0.090053,0.0902322,0.0513597,0.0505915,25494.4,22301.7,25069.3,23871.3,40590.8,37488.2,45297.3,42547.6,1.79118,1.85182,-0.0309795,0,20.51,999.9,59.864,27.362,24.4965,54.6429,41.1058,1,-0.0482139,2.89221,20.2386,5.23586,11.992,4.9572,3.304,999.9,9999,9999,9999,1.86813,1.86372,1.87149,1.86216,1.86158,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.562,-0.0773,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,5.9,5.8,1.02783,2.36572,1.44775,2.323,1.44409,2.27417,31.9585,13.8081,18,426.539,448.96,17.979,26.6285,29.9999,26.716,26.6823,20.6276,71.9097,6.75636,18.0012,420.1,9.34276,95.8874,100.062,2
8,1679689750.6,35,2023-03-24 15:29:10,15:29:10,5,"pas_smi1_t1_ch2","gibson",1679689748.1,0.00046570954868854,0.465709548688548,-0.95303692447047,420.30533366008,464.214082662636,41.5215435281602,37.5941335225881,0.0273095094614536,4.07396772037931,0.0272082128766514,0.0170142026896742,0,20.574651160511,20.0049444444444,2.34733169367346,34.5080134228612,0.843658219712789,2.44481827850998,1.50367347396067,-20.537791097165,144.693590214633,7.16526378259261,131.32106290006,-0.780483728820571,0.478202731467661,-0.95303692447047,424.044722565423,424.344054545455,0.00368489998752116,67.143252355221,0.465709548688548,9.27673572937428,9.42913042424242,-1.76765741334397e-05,129.833225514131,1,0,1,0,48129,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689748.1,420.305333333333,420.114111111111,9.43216444444445,9.27585444444444,418.743666666667,9.50951888888889,500.027,89.3449,0.0999166888888889,20.6637333333333,20.0049444444444,999.9,0,0,9999.43888888889,0,0.778986,0.191179222222222,424.307444444444,424.047666666667,0.156309222222222,420.114111111111,9.27585444444444,0.842715888888889,0.828750333333333,4.44793777777778,4.20952111111111,0,0,0,0,2.71671111111111,0,-19.7192444444444,-2.43473333333333,35.375,41.236,38.437,40.125,36.062,0,0,0,1679689773.6,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.1482460125,0.0316345114446525,0.0415936191102024,1,0.152913375,0.0490926191369603,0.00621872316350993,1,2,2,"2/2",2.86736,2.71029,0.0900567,0.0902174,0.0513346,0.0505589,25494.4,22302.3,25069.3,23871.5,40591.7,37489.7,45297,42547.9,1.7913,1.85185,-0.0308529,0,20.51,999.9,59.816,27.362,24.4788,55.0429,41.3181,1,-0.0487017,2.8314,20.2397,5.23526,11.992,4.95715,3.304,999.9,9999,9999,9999,1.86813,1.86373,1.87148,1.86215,1.86158,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.561,-0.0774,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,6,5.9,1.02783,2.36206,1.44775,2.323,1.44409,2.32788,31.9585,13.8168,18,426.584,448.944,17.9943,26.6247,29.9997,26.7124,26.6785,20.6294,71.9097,6.37941,17.9967,420.1,9.34348,95.887,100.063,2
9,1679689755.6,40,2023-03-24 15:29:15,15:29:15,5,"pas_smi1_t1_ch2","gibson",1679689752.8,0.00048793234448036,0.487932344480365,-0.449323929765489,420.275600153494,433.785636113026,38.7995775923372,37.5911842181717,0.0286328152469855,4.06535059867995,0.0285212506086768,0.0178357688918518,0,20.5711285827296,19.99739,2.34623384870381,34.4928721100099,0.843335670014432,2.44495635888116,1.50289817868938,-21.5178163915841,146.244162551698,7.25715303526968,131.983499195383,-0.965131438131537,0.448879760079335,-0.449323929765489,423.964351644669,424.232151515151,-0.0240605069378031,67.143252355221,0.487932344480365,9.2689398364371,9.42840393939394,1.25237776767295e-06,129.833225514131,1,0,1,0,48441,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689752.8,420.2756,420.0194,9.428631,9.281919,418.7141,9.50604,500.0738,89.34407,0.10005715,20.66465,19.99739,999.9,0,0,9971.005,0,0.778986,0.2561555,424.2759,423.9545,0.1467112,420.0194,9.281919,0.8423923,0.8292844,4.442453,4.218684,0,0,0,0,2.63685,0,-19.71707,-2.42114,35.375,41.2311,38.437,40.125,36.062,0,0,0,1679689779,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.1697594125,0.448734473921201,0.0554240257243156,0,0.15573105,-0.00387032645403384,0.00393434784907232,1,1,2,"1/2",2.86719,2.71009,0.0900423,0.0902018,0.0513334,0.0508168,25495,22302.9,25069.5,23871.7,40592.4,37479.6,45297.7,42548,1.79118,1.85217,-0.0308082,0,20.51,999.9,59.767,27.362,24.458,54.5129,41.3622,1,-0.0488542,2.87965,20.2389,5.23571,11.992,4.95715,3.304,999.9,9999,9999,9999,1.86813,1.86373,1.87149,1.86217,1.86158,1.86813,1.85822,1.86478,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.561,-0.0774,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,6,6,1.02783,2.34863,1.44775,2.32178,1.44409,2.37793,31.9585,13.8256,18,426.486,449.111,17.9997,26.6208,29.9998,26.7087,26.6746,20.6334,71.6258,5.99901,17.9983,420.1,9.34812,95.8883,100.063,2
10,1679689760.6,45,2023-03-24 15:29:20,15:29:20,5,"pas_smi1_t1_ch2","gibson",1679689758.1,0.00040236508531673,0.402365085316739,-0.667906213414391,420.221444672594,453.665215142306,40.5770495212875,37.5857478185498,0.0236074743949637,4.07335284472332,0.0235317270873993,0.0147141146553218,0,20.5914347434849,20.0006111111111,2.34670189965223,34.5373856650035,0.844619702557126,2.44552297834451,1.5020821970951,-17.7443002624682,146.650615321523,7.26328544536664,136.169600504422,-0.489608409957823,0.182017276441155,-0.667906213414391,424.064929154159,424.270478787879,0.00345167398555217,67.143252355221,0.402365085316739,9.38152331424658,9.45966787878788,0.00562091766094989,129.833225514131,1,0,1,0,48315,0,0,0,0,1.65,0.5,"0: Broadleaf",2,TRUE,1679689758.1,420.221444444445,420.085111111111,9.44313555555556,9.38363555555556,418.659888888889,9.52032111111111,499.987333333333,89.3427777777778,0.0999393777777778,20.6684111111111,20.0006111111111,999.9,0,0,9997.64,0,0.778986,0.136433911111111,424.227444444444,424.064333333333,0.0595034444444444,420.085111111111,9.38363555555556,0.843676111111111,0.838359777777778,4.46419444444444,4.37393,0,0,0,0,2.64956666666667,0,-19.7678444444444,-2.42608888888889,35.375,41.236,38.437,40.125,36.062,0,0,0,1679689783.8,0,1679689394.6,15:23:14,1679689393.6,1679689394.6,1,0.697,0.018,1.561,-0.081,420,9,0.35,0.14,0.18314979,0.207747079924953,0.0632926593747047,0,0.1357533075,-0.297560907692308,0.0373922107328544,0,0,2,"0/2",2.86726,2.71022,0.0900508,0.0902256,0.0514774,0.0511066,25494.7,22302.5,25069.4,23871.9,40585.9,37468.3,45297.5,42548.3,1.79135,1.85195,-0.0310764,0,20.51,999.9,59.718,27.372,24.4541,54.8229,41.25,1,-0.0491717,2.88153,20.2388,5.23541,11.992,4.9573,3.304,999.9,9999,9999,9999,1.86813,1.86373,1.87149,1.86217,1.86157,1.86813,1.85822,1.86477,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.561,-0.0769,1.27760007696955,0.00079094365757352,-3.34546041551085e-07,1.56763483704715e-10,-0.0433953057892988,-0.0255734245019284,0.00259051017390109,-2.9106874160511e-05,1,2291,1,25,6.1,6.1,1.02783,2.34985,1.44775,2.32178,1.44409,2.35596,31.9805,13.8256,18,426.56,448.945,17.9998,26.6173,29.9998,26.7053,26.6711,20.6322,71.6258,5.6213,17.999,420.1,9.34474,95.8879,100.064,2
