"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccH2O_des","AccCO2_soda","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1680040647,0,2023-03-28 16:57:27,16:57:27,5,"pas_smi2_t1_ch2","gibson",1680040644.25,0.00037391739698869,0.373917396988698,-0.567887179960353,420.102900158271,449.231076941475,40.9277640101874,38.2740047165371,0.0223216352036106,4.25987499051624,0.0222568583885862,0.0139163406642948,0,20.4227304143956,20.01871,2.34933332196046,34.9561719190521,0.845576619450509,2.41896229772702,1.50375670250996,-16.4897572072016,108.529660867551,5.13569632208978,97.1755999824388,-0.529589303666669,0.37264958757916,-0.567887179960353,423.903418638577,424.050290909091,0.00202796213917009,67.1494372571421,0.373917396988698,9.17968608658702,9.28120084848484,-2.63816327543722e-06,125.325300401832,2,0,1,0,49211,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040644.25,420.1029,420.0007,9.281213,9.180067,418.7066,9.383141,500.0609,91.00637,0.09989159,20.49128,20.01871,999.9,0,0,9988.942,0,0.890269,0.10231332,424.0386,423.892,0.101146,420.0007,9.180067,0.8446492,0.8354443,4.480669,4.324237,0,0,0,0,2.803,0,-21.04733,-2.48605,35,40.875,38.062,39.75,35.687,0,0,0,1680040674.2,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0693977606829268,0.0496546196236935,0.0510894270625298,1,0.100883390243902,0.00610671846689914,0.00093760883850951,1,2,2,"2/2",2.87265,2.71017,0.0918146,0.0919687,0.0518162,0.0511604,25542.5,22292.8,25162.4,23904.7,40712.1,37512.5,45453.3,42599.5,1.79813,1.8633,-0.012245,0,20.2131,999.9,36.149,30.273,17.1918,54.6402,42.0633,1,-0.0942658,2.68817,20.2271,5.23601,11.992,4.9577,3.304,9999,9999,9999,999.9,1.86844,1.86414,1.87176,1.86249,1.86203,1.86844,1.85852,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.397,-0.1019,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,4.9,4.9,1.03516,2.36084,1.44775,2.30347,1.44409,2.42676,34.6235,24.3502,18,425.63,450.587,18.0016,26.0151,30.0001,26.0548,26.0232,20.7667,55.456,0,17.9872,420,9.22902,96.2269,100.19,2
2,1680040652,5,2023-03-28 16:57:32,16:57:32,5,"pas_smi2_t1_ch2","gibson",1680040649.5,0.00037403441381357,0.374034413813578,-0.472305447972976,420.080777909202,442.405456186978,40.3052223908232,38.2713389696181,0.0223451343148362,4.2687063482402,0.0222803551302105,0.0139310263559921,0,20.4262422991431,20.0098555555556,2.34804563926602,34.9423116515263,0.84541853980748,2.41946940499728,1.50262709945854,-16.4949176491788,111.574318074064,5.26870155504102,100.348101979926,-0.480094443945053,0.379174940557102,-0.472305447972976,423.881325144047,424.014284848485,-0.00047328159796753,67.1494372571421,0.374034413813578,9.1762721138769,9.27784133333333,-5.33256881681302e-06,125.325300401832,2,0,1,0,49152,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040649.5,420.080777777778,419.992888888889,9.27963555555556,9.17672111111111,418.684333333333,9.38158666666667,500.074777777778,91.0048111111111,0.0999025111111111,20.4946777777778,20.0098555555556,999.9,0,0,10016.7944444444,0,0.890269,0.0878331,424.015444444444,423.883,0.102910444444444,419.992888888889,9.17672111111111,0.844491111111111,0.835126,4.47799777777778,4.3188,0,0,0,0,2.71532222222222,0,-21.0280111111111,-2.49217777777778,35,40.84,38.062,39.75,35.687,0,0,0,1680040679.6,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0820069172,-0.00736624480300189,0.0509939447511123,1,0.1016745,0.00524661163226981,0.00081378777946095,1,2,2,"2/2",2.87261,2.71031,0.0918146,0.0919693,0.0518021,0.051147,25542.6,22292.9,25162.5,23904.8,40713.1,37513.4,45453.6,42599.9,1.79853,1.86322,-0.0124983,0,20.2138,999.9,36.125,30.283,17.1896,54.6202,41.6386,1,-0.0942226,2.70475,20.227,5.23601,11.9917,4.9577,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87177,1.86249,1.862,1.86844,1.85852,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.396,-0.102,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5,5,1.03394,2.35962,1.44775,2.30225,1.44409,2.3877,34.6235,24.3502,18,425.839,450.533,17.9846,26.013,30.0001,26.0526,26.0221,20.7667,55.456,0,17.975,420,9.22902,96.2275,100.191,2
3,1680040657,10,2023-03-28 16:57:37,16:57:37,5,"pas_smi2_t1_ch2","gibson",1680040654.2,0.00036997225099147,0.369972250991472,-0.453369078975822,420.06950012617,441.413465512204,40.2145329844168,38.2700123317926,0.0220938586947022,4.26171914218092,0.0220304224859363,0.0137746982654961,0,20.4225216621142,20.0111,2.34822657876921,34.9371792351329,0.84506714258295,2.41881903772342,1.50315943618626,-16.3157762687239,110.104534062897,5.20773759106834,98.9964953852409,-0.44686401385083,0.374688944331374,-0.453369078975822,423.867133316806,423.994593939394,-0.00042156791298743,67.1494372571421,0.369972250991472,9.173794730009,9.27426187878788,-5.68863512158167e-06,125.325300401832,2,0,1,0,49253,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040654.2,420.0695,419.9902,9.275851,9.174157,418.6731,9.377857,500.0908,91.00396,0.10004141,20.49032,20.0111,999.9,0,0,9994.985,0,0.890269,0.07911684,424.0026,423.8792,0.1016921,419.9902,9.174157,0.844139,0.8348846,4.472035,4.314678,0,0,0,0,2.69231,0,-21.13539,-2.51426,35,40.8498,38.062,39.7374,35.687,0,0,0,1680040684.4,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0747085582439024,0.197120310355401,0.045099699018189,0,0.101800975609756,0.00245732404181194,0.00076397619959751,1,1,2,"1/2",2.87258,2.71012,0.0918112,0.0919737,0.0517862,0.0511316,25542.8,22292.9,25162.7,23904.9,40713.9,37514.2,45453.9,42600.1,1.79842,1.86338,-0.0119917,0,20.2148,999.9,36.094,30.283,17.1747,54.4801,41.7708,1,-0.0942683,2.70522,20.2269,5.23556,11.992,4.95775,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87173,1.86249,1.86202,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.396,-0.102,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5,5,1.03516,2.37915,1.44775,2.30347,1.44409,2.27783,34.6235,24.3414,18,425.775,450.609,17.9713,26.0119,30.0001,26.0516,26.0203,20.7658,55.456,0,17.9652,420,9.22902,96.228,100.192,2
4,1680040662,15,2023-03-28 16:57:42,16:57:42,5,"pas_smi2_t1_ch2","gibson",1680040659.5,0.00037302130338946,0.373021303389461,-0.236337068990132,420.074888954882,425.737633604747,38.7860269309477,38.2701332228132,0.0222589254264741,4.26389243857244,0.02219457199904,0.0138773737922024,0,20.4210317057605,20.0172333333333,2.34911853054048,34.9282149730493,0.844800046098982,2.41867512196324,1.5043184844415,-16.4502394794752,108.529081267568,5.13074079221764,97.2095825803108,-0.397676570677994,0.37513946286688,-0.236337068990132,423.898574538339,423.970218181818,-0.00125752387422497,67.1494372571421,0.373021303389461,9.17111857570523,9.27238606060606,-1.91715889631608e-06,125.325300401832,2,0,1,0,49054,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040659.5,420.074888888889,420.009111111111,9.27300888888889,9.17118444444444,418.678555555556,9.37505777777778,500.052111111111,91.0031666666667,0.0999538222222222,20.4893555555556,20.0172333333333,999.9,0,0,10001.8833333333,0,0.890269,0.0656874,424.006666666667,423.896777777778,0.101824333333333,420.009111111111,9.17118444444444,0.843873,0.834607,4.46753777777778,4.30993,0,0,0,0,2.63371111111111,0,-21.2308333333333,-2.54934444444444,35,40.861,38.062,39.729,35.687,0,0,0,1680040689.2,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0854559536585366,-0.0691994675958186,0.0252636366051123,1,0.101835414634146,0.00047540069686441,0.0007193826952498,1,2,2,"2/2",2.87266,2.71039,0.0918023,0.0919728,0.0517769,0.0511187,25542.9,22292.8,25162.5,23904.9,40714.5,37514.6,45454,42600,1.79875,1.86308,-0.011988,0,20.2166,999.9,36.094,30.283,17.1763,54.9102,42.2115,1,-0.0943674,2.72314,20.2266,5.23556,11.9918,4.9578,3.304,9999,9999,9999,999.9,1.86844,1.86412,1.87176,1.86249,1.86201,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.397,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.1,5.1,1.03516,2.37915,1.44775,2.30347,1.44409,2.30347,34.6235,24.3414,18,425.948,450.414,17.9608,26.0107,30,26.0504,26.0188,20.765,55.456,0,17.9492,420,9.22902,96.2279,100.191,2
5,1680040667,20,2023-03-28 16:57:47,16:57:47,5,"pas_smi2_t1_ch2","gibson",1680040664.2,0.00037156952531972,0.37156952531972,-0.356870871366434,420.02060009971,434.351235704063,39.5702712614637,38.2647215321203,0.0221771013008694,4.25750723441606,0.0221131238904416,0.013826435065321,0,20.4203945921726,20.01328,2.34854357545364,34.9205422849888,0.844572494074764,2.41855492157639,1.50397108137888,-16.3862160665997,109.089070057478,5.16482327214116,97.8676772630196,-0.270944902191067,0.377388706530756,-0.356870871366434,423.880649665759,423.977206060606,0.00042137312681596,67.1494372571421,0.37156952531972,9.16779211753554,9.2686896969697,-5.74917212730817e-06,125.325300401832,2,0,1,0,49122,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040664.2,420.0206,419.9898,9.270624,9.168201,418.6241,9.372705,500.1117,91.00199,0.10002148,20.48855,20.01328,999.9,0,0,9982.005,0,0.890269,0.030645754,423.9509,423.8761,0.1024217,419.9898,9.168201,0.8436451,0.8343245,4.463679,4.305105,0,0,0,0,2.75203,0,-21.14371,-2.53962,35,40.8372,38.062,39.7437,35.687,0,0,0,1680040694.6,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0716560424390244,-0.308456392682927,0.0367149247088349,0,0.102144365853659,0.0001927735191638,0.00070580263102086,1,1,2,"1/2",2.87264,2.71013,0.091803,0.0919663,0.051761,0.0511079,25543,22293.8,25162.6,23905.7,40714.9,37516.1,45453.7,42601.2,1.79835,1.8636,-0.0127777,0,20.2181,999.9,36.07,30.283,17.1628,54.8902,42.2756,1,-0.0943623,2.74524,20.2263,5.23616,11.992,4.95775,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87175,1.86249,1.86201,1.86844,1.85852,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.396,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.2,5.2,1.03516,2.36694,1.44775,2.30347,1.44409,2.36938,34.6235,24.3502,18,425.709,450.725,17.9455,26.0085,30,26.0483,26.0177,20.7656,55.456,0,17.9333,420,9.22985,96.2277,100.194,2
6,1680040672,25,2023-03-28 16:57:52,16:57:52,5,"pas_smi2_t1_ch2","gibson",1680040669.5,0.00037895883564695,0.378958835646956,0.150787481792018,420.02755551342,398.350420188031,36.2908116167388,38.2656578692239,0.0226322763499928,4.25586898747534,0.0225656244671062,0.0141094872360402,0,20.4203192556686,20.0055333333333,2.34741729249602,34.905280946578,0.844271389255663,2.41874973173202,1.50314590324036,-16.7120846520308,111.124057327593,5.26302172315432,99.674994398717,-0.413776723988651,0.378701951429638,0.150787481792018,423.851298481995,423.920206060606,-0.0220966539117501,67.1494372571421,0.378958835646956,9.16389692292469,9.26676066666666,-1.13892403218948e-06,125.325300401832,2,0,1,0,49141,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040669.5,420.027555555556,419.957777777778,9.26724555555556,9.16446222222222,418.631222222222,9.36937444444444,500.094333333333,91.0026111111111,0.100121,20.4898555555556,20.0055333333333,999.9,0,0,9976.80555555556,0,0.890269,0.0698445555555556,423.956444444444,423.842,0.102784777777778,419.957777777778,9.16446222222222,0.843343333333333,0.833989777777778,4.45856888888889,4.29938,0,0,0,0,2.67958888888889,0,-21.1319777777778,-2.5138,35,40.833,38.062,39.736,35.687,0,0,0,1680040699.4,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0623429375609756,-0.102898159233449,0.0287954636064627,0,0.102104926829268,0.00209987456446001,0.00070161723948575,1,1,2,"1/2",2.8728,2.70997,0.0917972,0.0919649,0.051753,0.0511007,25542.9,22293.4,25162.3,23905.3,40715.2,37515.6,45453.6,42600.4,1.79855,1.86345,-0.0130683,0,20.2195,999.9,36.07,30.273,17.1516,54.6902,41.9431,1,-0.0944563,2.74032,20.2264,5.23571,11.992,4.9577,3.304,9999,9999,9999,999.9,1.86844,1.8641,1.87171,1.86249,1.86202,1.86844,1.85852,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.396,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.3,5.3,1.03516,2.35596,1.44775,2.30347,1.44409,2.42188,34.6235,24.3502,18,425.817,450.618,17.9299,26.007,30,26.0477,26.0159,20.7682,55.18,0,17.9263,420,9.23188,96.2271,100.193,2
7,1680040677,30,2023-03-28 16:57:57,16:57:57,5,"pas_smi2_t1_ch2","gibson",1680040674.2,0.00032460092094998,0.32460092094998,-0.323014109335031,420.036300089774,435.288495187715,39.6563113847864,38.2667828197261,0.0193642163161074,4.27035246977167,0.0193155662110729,0.0120765896333624,0,20.4263507701385,20.01181,2.34832981669153,34.9090412571774,0.84414693724146,2.41813268666581,1.50418287945007,-14.3149006138941,109.105096782245,5.14993067576479,99.9401268441157,-0.282148289573586,0.335435930050875,-0.323014109335031,423.899882886231,423.977545454545,0.0023283208098185,67.1494372571421,0.32460092094998,9.17843064843444,9.2665366060606,3.1527751833475e-07,125.325300401832,2,0,1,0,49185,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040674.2,420.0363,419.9976,9.2658,9.17475,418.64,9.367949,500.043,91.00371,0.0998037,20.48572,20.01181,999.9,0,0,10022.078,0,0.890269,0.03882143,423.9647,423.8863,0.09104758,419.9976,9.17475,0.8432219,0.8349363,4.456513,4.315555,0,0,0,0,2.83411,0,-21.03481,-2.50974,35,40.8309,38.062,39.7248,35.687,0,0,0,1680040704.2,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0511534180487805,-0.0534074519163763,0.0260788043727789,1,0.100352846341463,-0.0257430794425085,0.00463479760144809,1,2,2,"2/2",2.87274,2.71046,0.0918068,0.0919722,0.051757,0.0511793,25542.8,22293.4,25162.5,23905.4,40715.1,37513,45453.7,42600.9,1.79878,1.86338,-0.012394,0,20.2212,999.9,36.046,30.283,17.1516,54.4002,41.7067,1,-0.094497,2.73293,20.2265,5.23586,11.992,4.95765,3.304,9999,9999,9999,999.9,1.86844,1.86415,1.87172,1.86249,1.86201,1.86844,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.396,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.4,5.4,1.03394,2.36816,1.44775,2.30347,1.44409,2.36938,34.6235,24.3502,18,425.931,450.566,17.9217,26.0063,29.9999,26.0461,26.015,20.7672,55.18,0,17.9183,420,9.23088,96.2275,100.194,2
8,1680040682,35,2023-03-28 16:58:02,16:58:02,5,"pas_smi2_t1_ch2","gibson",1680040679.5,0.0003237853013807,0.323785301380705,-0.437448053479837,420.069889010764,444.771472082484,40.5194992193601,38.2691395654345,0.0193073789504164,4.26652293235259,0.0192589703401892,0.0120411955882423,0,20.4258514009798,20.0177333333333,2.3491912570854,34.9214713249446,0.84441636982131,2.41804350671255,1.50477488726409,-14.2789317908891,107.507289253323,5.0792047080537,98.3075621704874,-0.378300731824234,0.317368574868343,-0.437448053479837,423.891424683241,424.007648484848,0.00094340321184451,67.1494372571421,0.323785301380705,9.18278176876132,9.27060733333333,5.37857618795858e-06,125.325300401832,2,0,1,0,49123,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040679.5,420.069888888889,420.002777777778,9.26892777777778,9.18279333333333,418.673222222222,9.37103444444444,500.107555555556,91.0017666666667,0.100072733333333,20.4851222222222,20.0177333333333,999.9,0,0,10010.2833333333,0,0.890269,0.0668436888888889,423.999777777778,423.895555555556,0.0861326888888889,420.002777777778,9.18279333333333,0.843488555555556,0.835650555555556,4.46103,4.32775777777778,0,0,0,0,2.67001111111111,0,-21.0043777777778,-2.47862222222222,35,40.861,38.062,39.75,35.687,0,0,0,1680040709.6,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0496900668292683,0.0839963299651569,0.0266919097552518,1,0.0963134829268293,-0.0680662118466898,0.00789038779213013,1,2,2,"2/2",2.87271,2.71033,0.0918036,0.0919705,0.0517749,0.0511703,25543,22293.6,25162.6,23905.6,40714.4,37513.7,45453.8,42601.3,1.79855,1.86343,-0.012815,0,20.2229,999.9,36.046,30.273,17.1409,54.6502,41.7508,1,-0.0947637,2.76455,20.226,5.23571,11.992,4.95765,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87172,1.8625,1.862,1.86844,1.85853,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.397,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.5,5.5,1.03516,2.38159,1.44775,2.30347,1.44409,2.26929,34.6235,24.3414,18,425.797,450.586,17.9147,26.0042,29.9999,26.045,26.0138,20.768,55.18,0,17.9008,420,9.23052,96.2278,100.194,2
9,1680040687,40,2023-03-28 16:58:07,16:58:07,5,"pas_smi2_t1_ch2","gibson",1680040684.2,0.00033444031087722,0.334440310877224,-0.283985511686611,420.035500079167,431.405037288033,39.30145538818,38.2656785177765,0.0199723543281752,4.26657171068613,0.0199205591828274,0.0124549917978106,0,20.4217593236853,20.00468,2.34729325584679,34.9344624893653,0.844618863352024,2.41772394124897,1.50267439249477,-14.7488177096856,110.018285748011,5.19737400819924,100.466842046525,-0.299787969697327,0.334832965386961,-0.283985511686611,423.870694711292,423.952303030303,-0.00061657845461654,67.1494372571421,0.334440310877224,9.17988934114224,9.27067133333333,-8.04541692645525e-07,125.325300401832,2,0,1,0,49093,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040684.2,420.0355,419.9919,9.27123,9.180349,418.6391,9.373302,500.0696,91.00116,0.09989815,20.48298,20.00468,999.9,0,0,10010.503,0,0.890269,0.043557731,423.9662,423.8831,0.09088086,419.9919,9.180349,0.8436925,0.8354222,4.464478,4.323861,0,0,0,0,2.77532,0,-21.03725,-2.49813,35,40.8372,38.062,39.7248,35.687,0,0,0,1680040714.4,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0568572292682927,-0.0390779958188152,0.0213700971373695,1,0.0933292804878049,-0.0533210968641114,0.00726487299998842,1,2,2,"2/2",2.87266,2.71035,0.0918029,0.0919783,0.0517703,0.0511583,25543,22293.7,25162.6,23905.9,40714.3,37514.5,45453.5,42601.7,1.7987,1.8632,-0.0133738,0,20.2242,999.9,36.046,30.273,17.1427,54.9302,42.1074,1,-0.0949009,2.7709,20.2259,5.23601,11.992,4.95775,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87174,1.86249,1.862,1.86844,1.85852,1.86496,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.397,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.5,5.5,1.03516,2.37671,1.44775,2.30347,1.44409,2.33154,34.6235,24.3414,18,425.873,450.432,17.8982,26.0042,30.0001,26.0439,26.0117,20.7673,55.18,0,17.8921,420,9.23053,96.2274,100.196,2
10,1680040692,45,2023-03-28 16:58:12,16:58:12,5,"pas_smi2_t1_ch2","gibson",1680040689.5,0.00034583717561571,0.345837175615716,-0.0892054251204769,420.035333358225,415.741556592137,37.8745291319252,38.2656970838284,0.0206600601263049,4.25905318029114,0.0206045444556669,0.0128828156249445,0,20.414030668138,20.0022777777778,2.34694411059747,34.9473019831068,0.844640764107201,2.41689834744751,1.50230334649027,-15.2514194446531,109.104954664041,5.1631164293886,99.0166516487764,-0.197758419148639,0.346245839796578,-0.0892054251204769,423.935167841033,423.95856969697,0.00025202184039924,67.1494372571421,0.345837175615716,9.17736842968086,9.27122327272727,5.75849264547257e-07,125.325300401832,2,0,1,0,49162,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1680040689.5,420.035333333333,420.021,9.27146222222222,9.17749111111111,418.638888888889,9.37353,500.109888888889,91.0011111111111,0.1000274,20.4774444444444,20.0022777777778,999.9,0,0,9986.94444444444,0,0.890269,0.0142618777777778,423.966,423.911444444444,0.0939712444444444,420.021,9.17749111111111,0.843713111111111,0.835161666666667,4.46482888888889,4.31941,0,0,0,0,2.79072222222222,0,-21.0095444444444,-2.50684444444444,35,40.812,38.062,39.729,35.687,0,0,0,1680040719.2,0,1680040354,16:52:34,1680040354,1680040354,1,0.55,0.036,1.396,-0.104,420,9,0.32,0.15,0.0408451802439024,-0.140468735331011,0.0320981430451861,0,0.0911634926829268,-0.00719023066202081,0.00546056244080648,1,1,2,"1/2",2.87259,2.71018,0.0918088,0.0919666,0.0517705,0.0511502,25543,22294.3,25162.7,23906.2,40714.5,37515.2,45453.7,42602,1.79835,1.8635,-0.0138059,0,20.2252,999.9,36.021,30.283,17.1393,54.6402,42.2115,1,-0.0949212,2.75289,20.2261,5.23556,11.9918,4.95755,3.304,9999,9999,9999,999.9,1.86844,1.86413,1.87171,1.86249,1.86201,1.86843,1.85852,1.86497,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.396,-0.1021,1.03552902135451,0.00123324583338548,-1.15686789681586e-06,6.44673636531455e-10,-0.0542382865793686,-0.0274133657529592,0.00266429562250428,-3.03118218114396e-05,1,1483,1,24,5.6,5.6,1.03516,2.35962,1.44775,2.30347,1.44409,2.39868,34.6235,24.3502,18,425.661,450.611,17.8884,26.002,30.0001,26.0417,26.0112,20.7689,55.18,0,17.889,420,9.23053,96.2278,100.197,2
