"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1680382194.5,0,2023-04-01 15:49:54,15:49:54,5,"poa_pra3_t2_ch2","stan",1680382191.5,0.00016299248175273,0.162992481752731,-0.809645836530476,420.299182179225,541.545726402577,48.9187472210794,37.9663405098456,0.00966133889547951,3.86977941318299,0.00964795859416631,0.00603117471808448,0,20.1062776142845,19.9870181818182,2.34472730354379,35.7267444677395,0.845613540126962,2.36689223360537,1.49911376341683,-7.18796844529544,31.7132838680467,1.64872914927737,26.1740445720286,-0.885182643883417,0.160126703670817,-0.809645836530476,423.886823672428,424.247224242424,-0.00086647789132451,64.4894268704086,0.162992481752731,9.28395688890899,9.35645654545455,-0.00028193430810946,101.132689665343,0,0,1,0,48871,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382191.5,420.299181818182,419.942636363636,9.36120454545455,9.29205272727273,422.176090909091,9.56763636363636,500.071363636364,90.2317090909091,0.0999929909090909,20.1390272727273,19.9870181818182,999.9,0,0,10003.2381818182,0,0.281038,0.356581181818182,424.271,423.881363636364,0.0691509181818182,419.942636363636,9.29205272727273,0.844677454545455,0.838438,4.48114636363636,4.37527272727273,0,0,0,0,2.37254545454545,0,-3.24528181818182,-0.156118181818182,33.7894545454545,39.3291818181818,36.4885454545455,38.5169090909091,34.25,0,0,0,1680382203.9,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.326124525,0.0817103977485933,0.042493593826592,1,0.0691885925,-0.0385995433395874,0.0155125653358396,1,2,2,"2/2",2.9834,2.71566,0.0944809,0.0932091,0.0543953,0.0527667,28741.3,28931.7,29498.2,29506.1,36960.9,37155.1,41537.3,42028.3,1.97465,1.88832,-0.0035204,0,20.0411,999.9,35.6,29.5,16.3335,63.1952,30.7532,1,-0.0751245,3.21832,20.3325,5.22852,12.0119,4.9921,3.29,9999,9999,9999,999.9,1.86768,1.86675,1.86624,1.86615,1.86798,1.87042,1.8691,1.87055,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2065,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,9.6,9.8,1.02905,2.23267,1.39648,2.34741,1.49536,2.42188,35.3133,23.9387,18,530.224,431.593,16.8117,26.3442,29.9998,26.4874,26.4656,20.5998,36.2908,31.186,16.8171,420,9.38879,100.855,100.956,2
2,1680382199.5,5,2023-04-01 15:49:59,15:49:59,5,"poa_pra3_t2_ch2","stan",1680382197,0.00010023706157687,0.100237061576878,-0.806236162221215,420.294444805207,623.634843366331,56.3344800893535,37.9662382312346,0.0059365778145082,3.86831182175718,0.00593152098102872,0.00370765458013208,0,20.1189190301523,19.9858888888889,2.34456332072909,35.6999130207487,0.844980527815506,2.36689800147245,1.49958279291359,-4.42045441554031,31.9449845968892,1.66139575704753,29.1859259383964,-0.802055912369357,0.105516551571656,-0.806236162221215,423.918721818131,424.272284848485,0.00025762180712622,64.4894268704086,0.100237061576878,9.31242934451669,9.35535836363636,4.83555641242608e-05,101.132689665343,0,0,1,0,48729,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382197,420.294444444444,419.964111111111,9.35411666666667,9.30854555555556,422.171333333333,9.56058555555556,500.041333333333,90.2324777777778,0.0999991333333333,20.1390666666667,19.9858888888889,999.9,0,0,9997.92,0,0.281038,0.330210222222222,424.263,423.910222222222,0.0455698333333333,419.964111111111,9.30854555555556,0.844045,0.839933333333333,4.47045222222222,4.40071222222222,0,0,0,0,2.28241111111111,0,-3.37685555555556,-0.195111111111111,33.812,39.444,36.5,38.611,34.25,0,0,0,1680382208.7,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.326087125,0.0601369418386485,0.0406265251844085,1,0.065337705,-0.111636693433396,0.0166878289287425,0,1,2,"1/2",2.98343,2.71575,0.0944793,0.093207,0.0543953,0.0528595,28741.1,28931.8,29497.9,29506.2,36960.4,37151.8,41536.7,42028.6,1.97515,1.88818,-0.00276044,0,20.0414,999.9,35.6,29.5,16.3338,63.2952,30.4728,1,-0.0756504,3.21557,20.3326,5.22852,12.0119,4.9918,3.29,9999,9999,9999,999.9,1.86768,1.86676,1.86625,1.86615,1.86798,1.87042,1.86908,1.87056,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2065,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,9.7,9.9,1.02905,2.23022,1.39648,2.34863,1.49536,2.47681,35.3365,23.9474,18,530.521,431.476,16.8203,26.3409,29.9998,26.4835,26.462,20.6028,36.0179,30.8102,16.8285,420,9.38879,100.854,100.957,2
3,1680382204.5,10,2023-04-01 15:50:04,15:50:04,5,"poa_pra3_t2_ch2","stan",1680382201.7,8.91893788632316e-05,0.0891893788632316,-0.749208113853678,420.294300335118,633.375037834113,57.2135194650903,37.9656833580294,0.00527631704803237,3.86582323229699,0.00527231951759081,0.00329555859997771,0,20.1224919895968,19.99956,2.34654915654576,35.7170432426337,0.845457281112977,2.3670976216301,1.50109187543278,-3.93325160786851,29.3593171019699,1.52802078430753,26.9540862784089,-0.685882482991683,0.0835972728100889,-0.749208113853678,423.982634038922,424.306993939394,0.00111878244535324,64.4894268704086,0.0891893788632316,9.32717442432522,9.36436496969697,0.00017749789361693,101.132689665343,0,0,1,0,48790,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382201.7,420.2943,420.0106,9.359528,9.323424,422.1709,9.565967,500.0453,90.23121,0.09997776,20.14043,19.99956,999.9,0,0,9989.189,0,0.281038,0.2836549,424.2651,423.9634,0.03610277,420.0106,9.323424,0.8445213,0.8412639,4.478508,4.423312,0,0,0,0,2.34307,0,-3.54132,-0.21902,33.812,39.5186,36.5558,38.6747,34.2934,0,0,0,1680382213.5,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.315002414634146,-0.0594565296167247,0.0425044554531012,1,0.0522305536585366,-0.0780760724738677,0.0131234408195207,1,2,2,"2/2",2.98357,2.71587,0.0944946,0.0932101,0.0544382,0.0529125,28740.7,28931.8,29498,29506.2,36958.8,37149.4,41536.8,42028.3,1.97528,1.88843,-0.00244752,0,20.0428,999.9,35.5,29.5,16.2861,63.3052,30.9375,1,-0.0756733,3.22285,20.3324,5.22852,12.0111,4.9917,3.28993,9999,9999,9999,999.9,1.86768,1.86674,1.86624,1.86615,1.86798,1.87043,1.86907,1.87054,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2064,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,9.8,10,1.02905,2.23145,1.39648,2.34619,1.49536,2.43408,35.3365,23.9474,18,530.575,431.595,16.831,26.3381,29.9999,26.4806,26.4582,20.6018,36.0179,30.8102,16.8304,420,9.38879,100.854,100.956,2
4,1680382209.5,15,2023-04-01 15:50:09,15:50:09,5,"poa_pra3_t2_ch2","stan",1680382207,0.00010610662586021,0.106106625860213,-0.853960196097737,420.325778159275,623.883416511182,56.3568849056549,37.9690353609159,0.00628168491543671,3.86941458309403,0.00627602497671755,0.00392302369684526,0,20.1219339601472,19.9988,2.34643872192496,35.7425104967347,0.846208006470345,2.36751138828832,1.50023071545461,-4.67930220043539,30.1345670547552,1.56692997465799,27.0221948289778,-0.92882514188025,0.100733036430818,-0.853960196097737,423.862506932084,424.267024242424,-0.00602420973416008,64.4894268704086,0.106106625860213,9.32366505418892,9.36910496969697,5.10048654657179e-05,101.132689665343,0,0,1,0,48789,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382207,420.325777777778,419.939333333333,9.36771333333333,9.32421222222222,422.202666666667,9.57411222222222,500.081222222222,90.2323555555556,0.100042155555556,20.1432555555556,19.9988,999.9,0,0,10001.8655555556,0,0.281038,0.386434111111111,424.300555555556,423.891888888889,0.0435007888888889,419.939333333333,9.32421222222222,0.845270666666667,0.841345333333333,4.49117555555556,4.42469888888889,0,0,0,0,2.20562222222222,0,-3.28673333333333,-0.193455555555556,33.812,39.597,36.562,38.7706666666667,34.312,0,0,0,1680382218.9,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.340131829268293,0.0102449268292685,0.0487963578798326,1,0.0495813609756098,-0.102473751219512,0.0136503957821452,0,1,2,"1/2",2.98347,2.71549,0.0944823,0.0932147,0.0544562,0.0529058,28741.3,28932.1,29498.2,29506.7,36958.5,37150.5,41537.3,42029.2,1.9752,1.88848,-0.00309944,0,20.0428,999.9,35.4,29.5,16.2423,63.3152,30.5529,1,-0.0759985,3.38017,20.3295,5.22912,12.0107,4.99175,3.29,9999,9999,9999,999.9,1.86768,1.86676,1.86622,1.86615,1.86797,1.87043,1.86907,1.87056,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2064,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,9.8,10.1,1.02905,2.23145,1.39648,2.34741,1.49536,2.44263,35.3365,23.9387,18,530.491,431.598,16.8325,26.3347,29.9999,26.4768,26.4546,20.6041,36.0179,30.8102,16.7605,420,9.38489,100.855,100.958,2
5,1680382214.5,20,2023-04-01 15:50:14,15:50:14,5,"poa_pra3_t2_ch2","stan",1680382211.7,0.00010565919902736,0.105659199027365,-0.618452019723796,420.28030027586,565.097912188142,51.0464938226226,37.964811564653,0.00626256318576608,3.86960499367497,0.00625693791269776,0.00391109117123742,0,20.1217993034193,19.98853,2.34494684796951,35.7544715570794,0.846479375494678,2.36747835621996,1.49846747247483,-4.65957067710681,32.2315033127368,1.67579348372514,29.2477261193551,-0.628333725980057,0.104391846637108,-0.618452019723796,423.977485054136,424.252606060606,-0.00062104776260125,64.4894268704086,0.105659199027365,9.32610777140446,9.37158024242424,2.12222296687459e-05,101.132689665343,0,0,1,0,48861,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382211.7,420.2803,420.0255,9.370746,9.325662,422.1571,9.577127,500.0481,90.23218,0.09994249,20.14303,19.98853,999.9,0,0,10002.564,0,0.281038,0.2549072,424.256,423.9793,0.04508352,420.0255,9.325662,0.8455425,0.8414745,4.495772,4.426892,0,0,0,0,2.29277,0,-3.33905,-0.22613,33.8246,39.6684,36.5935,38.8561,34.3246,0,0,0,1680382223.7,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.315418536585366,-0.128425379790941,0.0564844418065708,0,0.0440521926829268,-0.0268640048780489,0.00811272941080086,1,1,2,"1/2",2.98358,2.71563,0.0944827,0.0932195,0.054467,0.0528884,28741.3,28931.9,29498.2,29506.6,36958,37151.2,41537.2,42029.2,1.97523,1.88815,-0.00348315,0,20.0431,999.9,35.3,29.5,16.1945,63.3852,30.4688,1,-0.0749568,3.45139,20.328,5.22882,12.0116,4.9917,3.29,9999,9999,9999,999.9,1.86768,1.86675,1.86621,1.86615,1.86796,1.87042,1.86906,1.87054,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.876,-0.2064,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,9.9,10.2,1.02905,2.22534,1.39771,2.34619,1.49536,2.51709,35.3365,23.9387,18,530.476,431.376,16.7756,26.3314,30.0005,26.4733,26.4509,20.5996,36.0179,30.4385,16.7766,420,9.3839,100.855,100.958,2
6,1680382219.5,25,2023-04-01 15:50:19,15:50:19,5,"poa_pra3_t2_ch2","stan",1680382217,0.00019084428067347,0.190844280673474,-0.716981972211182,420.288778097934,509.144361299102,45.9913261877101,37.9649462035008,0.0113292730426407,3.87042098630705,0.0113108817876285,0.00707095097589508,0,20.1034713586686,19.9777555555556,2.34338258923255,35.7443481418586,0.846175903470874,2.3672998598622,1.49720668576168,-8.41623277770019,34.232182679961,1.77932917437522,27.5952790766361,-0.761442237307418,0.190160200994621,-0.716981972211182,423.928500877108,424.247563636364,-0.00074648105537877,64.4894268704086,0.190844280673474,9.27588247433951,9.35969672727273,-0.00018623313769637,101.132689665343,0,0,1,0,48793,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382217,420.288777777778,419.991666666667,9.36754222222222,9.28541777777778,422.165555555555,9.57394111111111,500.053222222222,90.2306222222222,0.0999984888888889,20.1418111111111,19.9777555555556,999.9,0,0,10005.6466666667,0,0.281038,0.297075222222222,424.262888888889,423.927888888889,0.0821245,419.991666666667,9.28541777777778,0.845239,0.837828888888889,4.49064111111111,4.36489,0,0,0,0,2.5621,0,-3.63158888888889,-0.264666666666667,33.861,39.736,36.625,38.944,34.375,0,0,0,1680382228.5,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.303588225,-0.122548221388368,0.0578348757958757,0,0.0507866375,0.157257049530957,0.0184888266493264,0,0,2,"0/2",2.98339,2.71569,0.0944799,0.0932114,0.0544015,0.0526663,28742.1,28932.5,29498.9,29506.9,36961.7,37160.3,41538.4,42029.6,1.975,1.8884,-0.00406057,0,20.0432,999.9,35.2,29.5,16.15,63.2152,30.8053,1,-0.0756098,3.32087,20.3303,5.22927,12.0119,4.99175,3.29,9999,9999,9999,999.9,1.86768,1.86675,1.86624,1.86615,1.86798,1.87043,1.86906,1.87055,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2065,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,10,10.3,1.02905,2.22656,1.39648,2.34619,1.49536,2.49512,35.3596,23.9387,18,530.291,431.5,16.769,26.3286,29.9999,26.4694,26.4476,20.6025,35.3908,30.4385,16.7901,420,9.38688,100.858,100.959,2
7,1680382224.5,30,2023-04-01 15:50:24,15:50:24,5,"poa_pra3_t2_ch2","stan",1680382221.7,9.29436273936782e-05,0.0929436273936782,-0.841304153743236,420.302700375696,650.632836060106,58.7708268925203,37.965402108843,0.0055021629355339,3.86947833339768,0.00549782011763578,0.00343652746376705,0,20.1194336870899,19.98739,2.34478129686466,35.6895516732543,0.844685296021528,2.36675793452047,1.50009600084313,-4.09881396806121,31.4418975339763,1.63474277657834,28.9778263424934,-0.771647935806531,0.117237945368304,-0.841304153743236,423.921944593588,424.288666666667,0.00072637749675177,64.4894268704086,0.0929436273936782,9.31224568647326,9.3516026060606,0.00010431476873677,101.132689665343,0,0,1,0,48805,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382221.7,420.3027,419.9878,9.351238,9.300609,422.1796,9.557724,500.0864,90.22871,0.10000327,20.13811,19.98739,999.9,0,0,10002.497,0,0.281038,0.3149262,424.2702,423.9305,0.05063239,419.9878,9.300609,0.8437504,0.8391819,4.465457,4.387909,0,0,0,0,2.16918,0,-3.61088,-0.28477,33.875,39.8058,36.6436,39.0062,34.375,0,0,0,1680382233.9,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.313418585365854,-0.196006578397213,0.0545382794857621,0,0.0541075512195122,0.0843495177700348,0.0193039056736741,1,1,2,"1/2",2.98332,2.71569,0.0944827,0.0932186,0.0543824,0.0529278,28741.8,28932.3,29498.7,29506.9,36961.9,37150.1,41537.9,42029.7,1.97502,1.8882,-0.00275299,0,20.0428,999.9,35.1,29.5,16.1051,63.2852,30.9936,1,-0.0762729,3.24757,20.332,5.22912,12.0122,4.9918,3.29,9999,9999,9999,999.9,1.86768,1.86676,1.86625,1.86615,1.86798,1.87042,1.86906,1.87055,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2065,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,10.1,10.3,1.02905,2.23511,1.39771,2.34863,1.49536,2.40845,35.3596,23.9387,18,530.282,431.356,16.7809,26.3253,29.9996,26.4667,26.4443,20.6007,35.3908,30.4385,16.8019,420,9.38688,100.857,100.959,2
8,1680382229.5,35,2023-04-01 15:50:29,15:50:29,5,"poa_pra3_t2_ch2","stan",1680382227,8.74138075214604e-05,0.0874138075214604,-0.769241214351212,420.323778120837,643.954077330414,58.1650497749622,37.9656785113487,0.00517414421155637,3.86929536890317,0.00517030338786802,0.00323178445453413,0,20.1204118493039,19.9940666666667,2.3457510298577,35.7291655712789,0.845615944545797,2.3667385762447,1.50013508531191,-3.8549489116964,30.0200667263941,1.5609443235969,27.7260621382946,-0.761819461682578,0.0648816565770322,-0.769241214351212,423.975813025873,424.311212121212,0.00065110430556631,64.4894268704086,0.0874138075214604,9.335961342834,9.36863187878788,0.00067885432209112,101.132689665343,0,0,1,0,48871,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382227,420.323777777778,420.003555555556,9.36194222222222,9.33392222222222,422.200777777778,9.56836888888889,500.063666666667,90.2249222222222,0.0999189777777778,20.1379777777778,19.9940666666667,999.9,0,0,10002.2644444444,0,0.281038,0.320261555555556,424.296,423.960666666667,0.0280170444444444,420.003555555556,9.33392222222222,0.844680222222222,0.842152333333333,4.48118888888889,4.43838777777778,0,0,0,0,2.31681111111111,0,-3.57031111111111,-0.304188888888889,33.875,39.875,36.687,39.083,34.4025555555556,0,0,0,1680382238.7,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.294683075,0.261120844277673,0.0365659874086476,0,0.050383615,-0.0923396735459663,0.0229785541940801,1,1,2,"1/2",2.98326,2.71556,0.0944864,0.0932042,0.0544528,0.0528909,28742.2,28932.9,29499.2,29507.1,36959.6,37151.8,41538.4,42029.9,1.97525,1.88835,-0.00297651,0,20.0428,999.9,35,29.5,16.0594,63.2352,31.0016,1,-0.0767226,3.23812,20.3321,5.22912,12.0117,4.99165,3.29,9999,9999,9999,999.9,1.86768,1.86676,1.86624,1.86615,1.86798,1.87043,1.86907,1.87053,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2064,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,10.2,10.4,1.02905,2.23022,1.39771,2.34741,1.49536,2.39014,35.3827,23.9387,18,530.397,431.416,16.7981,26.3225,29.9995,26.4628,26.4404,20.6041,35.3908,30.0576,16.8053,420,9.38284,100.858,100.96,2
9,1680382234.5,40,2023-04-01 15:50:34,15:50:34,5,"poa_pra3_t2_ch2","stan",1680382231.7,0.00016787180797199,0.167871807971993,-0.728883456496367,420.30110032599,524.875710033553,47.4089571827862,37.9633434893739,0.00995031814630894,3.86712816296366,0.00993611636064242,0.00621134698287341,0,20.1058279801347,19.98983,2.34513564681627,35.7442394010135,0.846056553705709,2.36697316234325,1.49907909311056,-7.40314673156491,31.220570874875,1.62425444400474,25.4416785873149,-0.765101553278338,0.161770154915487,-0.728883456496367,423.93506698393,424.258890909091,-0.00064763804095812,64.4894268704086,0.167871807971993,9.28518432543182,9.36053248484848,-0.00038094391348275,101.132689665343,0,0,1,0,48769,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382231.7,420.3011,419.9972,9.366891,9.297029,422.1781,9.573294,500.0653,90.22411,0.10004918,20.13958,19.98983,999.9,0,0,9994.627,0,0.281038,0.3040252,424.2755,423.9386,0.06986254,419.9972,9.297029,0.8451192,0.838816,4.488618,4.381697,0,0,0,0,2.28017,0,-3.68405,-0.305,33.875,39.9308,36.7059,39.1684,34.4308,0,0,0,1680382243.5,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.30485943902439,0.109718195121952,0.0395598113494286,0,0.0557735926829268,-0.0443540675958187,0.0244214347513777,1,1,2,"1/2",2.98331,2.7155,0.0944815,0.0932171,0.0544104,0.052743,28742.9,28932.5,29499.7,29507.1,36961.9,37157.6,41539.1,42030,1.97547,1.888,-0.00352412,0,20.0421,999.9,35,29.5,16.0584,63.3952,30.8734,1,-0.0768598,3.24644,20.3321,5.22867,12.0128,4.99185,3.29,9999,9999,9999,999.9,1.86768,1.86676,1.86627,1.86615,1.86798,1.87043,1.86908,1.87054,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2064,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,10.3,10.5,1.02905,2.229,1.39648,2.34741,1.49536,2.43408,35.3827,23.9474,18,530.515,431.182,16.8064,26.3198,29.9999,26.4594,26.4371,20.6019,35.0897,30.0576,16.8113,420,9.38627,100.86,100.96,2
10,1680382239.5,45,2023-04-01 15:50:39,15:50:39,5,"poa_pra3_t2_ch2","stan",1680382237,0.00011977631561689,0.119776315616893,-0.752217743217637,420.29700033578,576.633906143858,52.0836461972817,37.9627351600901,0.00709357837956624,3.86750632403288,0.00708635817406737,0.00442962193851019,0,20.1181758043119,19.9867222222222,2.34468432675387,35.6918751069254,0.844956939054813,2.36736494376801,1.49972738769906,-5.28213551870499,32.4294778130643,1.68697930072889,28.8343215950882,-0.764146613187892,0.128019003053323,-0.752217743217637,423.92586898,424.257503030303,-0.00013271749612506,64.4894268704086,0.119776315616893,9.3009457184033,9.35330060606061,-8.39049261482539e-05,101.132689665343,0,0,1,0,48856,0,0,0,0,2.18,0.5,"0: Broadleaf",2,TRUE,1680382237,420.297,419.987333333333,9.35477555555556,9.29948888888889,422.173777777778,9.56124333333333,500.067555555556,90.2235555555556,0.100037355555556,20.1422555555556,19.9867222222222,999.9,0,0,9996.03666666667,0,0.281038,0.309512777777778,424.265777777778,423.929666666667,0.0552865111111111,419.987333333333,9.29948888888889,0.844021222222222,0.839032888888889,4.47004444444444,4.38540333333333,0,0,0,0,2.29702222222222,0,-3.64238888888889,-0.292177777777778,33.8887777777778,39.986,36.75,39.236,34.437,0,0,0,1680382248.9,0,1680381619,15:40:19,1680381619,1680381604,1,0.644,0,-1.876,-0.207,420,9,0.01,0.14,0.308779829268293,-0.0220819024390241,0.0413126534669833,1,0.0535496487804878,0.0265307184668991,0.0221241350119587,1,2,2,"2/2",2.98341,2.71556,0.0944788,0.0932058,0.0543865,0.0528708,28742.8,28932.4,29499.5,29506.6,36962.7,37151.9,41538.9,42029.2,1.97528,1.88822,-0.00305474,0,20.0411,999.9,34.9,29.5,16.0121,63.2552,31.0377,1,-0.0770071,3.23904,20.3325,5.22897,12.0138,4.9919,3.29,9999,9999,9999,999.9,1.86768,1.86675,1.86625,1.86615,1.86798,1.87043,1.86909,1.87056,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-1.877,-0.2065,-0.871513684431397,-0.00254013009201305,4.31589367084818e-07,-1.30595023660966e-10,-0.166779569580629,-0.0162759812027166,0.00155813133588206,-3.03267561560764e-05,5,2325,1,22,10.3,10.6,1.02905,2.23755,1.39771,2.34741,1.49536,2.38159,35.4059,23.9387,18,530.35,431.291,16.8134,26.317,29.9998,26.4561,26.4338,20.6029,34.8048,30.0576,16.8215,420,9.38627,100.86,100.958,2
