"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccCO2_soda","CO2_hrs","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1680470706.6,0,2023-04-02 16:25:06,16:25:06,5,"pas_smi4_t2_ch2","gibson",1680470703.85,0.00216632905699563,2.16632905699563,-1.26232101227623,420.105500638102,424.494423145199,37.892887768137,37.5011065363548,0.128751274923949,3.7325757835015,0.12633395436716,0.0791721278970564,0,19.941833753279,19.99737,2.34623094281342,35.0580967573428,0.842873867845703,2.40422026808733,1.50335707496771,-95.5351114135074,79.4579248402638,4.28853323318067,-11.7886533400629,-1.15546776081408,2.16210969331499,-1.26232101227623,423.525850874388,424.125612121212,0.00440767477093464,66.4860319262952,2.16632905699563,8.39259897499146,9.43958901098902,1.34065648030302e-05,106.40670794499,6,1,1,0,48200,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470703.85,420.1055,419.9849,9.44228,8.397228,418.4378,9.505719,500.0454,89.16602,0.09990601,20.39223,19.99737,999.9,0,0,10014.35,0,0.753947,0.12051084,424.11,423.5414,1.045054,419.9849,8.397228,0.8419305,0.7487474,4.434626,2.771043,0,0,0,0,2.85315,0,-28.1113,-3.22951,33.437,39.25,36.375,38.3498,34.2374,0,0,0,1680470737.2,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.096279085,0.0447499857410882,0.054959222114362,1,1.05509625,-0.0901135834896813,0.0134958735707437,1,2,2,"2/2",2.87384,2.7104,0.0900114,0.0901937,0.0513227,0.0468706,25468.9,22375.2,25039.7,23946,40543.2,37762.9,45240.6,42689.7,1.79247,1.8544,-0.00809878,0,20.136,999.9,40.483,28.903,18.1562,54.2301,44.2788,1,-0.111674,2.46067,20.2299,5.23541,11.9888,4.9577,3.304,9999,9999,999.9,9999,1.86844,1.86405,1.87178,1.86248,1.86189,1.86844,1.85852,1.86501,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.668,-0.0635,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,3.6,3.5,1.03271,2.34863,1.44775,2.31689,1.44409,2.37671,33.4456,24.3502,18,421.66,444.266,18.0889,25.8898,29.9998,25.9419,25.9111,20.7223,62.1426,23.5537,18.0911,420,8.48851,95.7699,100.388,2
2,1680470711.6,5,2023-04-02 16:25:11,16:25:11,5,"pas_smi4_t2_ch2","gibson",1680470709.1,0.00212842909647975,2.12842909647975,-1.33072022600508,420.144667343988,425.684119184666,38.0000493603843,37.5055525401167,0.126374397341826,3.71901383194402,0.124036308468265,0.0777291577659972,0,19.9468413940752,20.0034888888889,2.34712013095996,35.0525383403133,0.842670454988533,2.40402120613158,1.50444967597143,-93.863723154757,77.6734961143885,4.20761372718187,-11.9826133131867,-1.31202478818424,2.13471651768058,-1.33072022600508,423.476386619057,424.136860606061,-0.00116809790503707,66.4860319262952,2.12842909647975,8.41186137180221,9.44063131868133,-7.24932955024551e-06,106.40670794499,6,1,1,0,48114,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470709.1,420.144666666667,419.942111111111,9.43976222222222,8.40800888888889,418.477,9.50324222222222,500.074888888889,89.1679888888889,0.100197655555556,20.3908888888889,20.0034888888889,999.9,0,0,9963.46666666667,0,0.753483111111111,0.202423,424.148444444444,423.503111111111,1.03175222222222,419.942111111111,8.40800888888889,0.841724666666667,0.749725222222222,4.43113111111111,2.78943,0,0,0,0,2.75178888888889,0,-28.0609555555556,-3.21407777777778,33.437,39.25,36.4163333333333,38.375,34.243,0,0,0,1680470742,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.125667590243902,0.316696446689895,0.0705023130652474,0,1.04700219512195,-0.127730383275258,0.0156675145525578,0,0,2,"0/2",2.87371,2.70989,0.0900133,0.0902004,0.0513266,0.0468317,25469.3,22375.5,25040.1,23946.5,40543.6,37765.1,45241.3,42690.4,1.79223,1.85462,-0.00791252,0,20.1343,999.9,40.38,28.913,18.12,53.7301,44.2909,1,-0.111799,2.45951,20.23,5.23496,11.9908,4.9576,3.304,9999,9999,999.9,9999,1.86844,1.86403,1.87179,1.86248,1.86193,1.86844,1.85852,1.86499,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.667,-0.0635,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,3.7,3.6,1.03271,2.34741,1.44775,2.31689,1.44409,2.37793,33.4456,24.3502,18,421.502,444.375,18.0894,25.8864,29.9998,25.9392,25.9078,20.7246,61.839,23.5537,18.0902,420,8.49224,95.7713,100.39,2
3,1680470717,10.4000000953674,2023-04-02 16:25:17,16:25:17,5,"pas_smi4_t2_ch2","gibson",1680470714.27,0.00208394420127579,2.0839442012758,-1.35245839941341,420.151000680843,426.330990231286,38.0596870644438,37.5079831683142,0.123719173384193,3.72840278889933,0.121482898531582,0.0761243651547603,0,19.9571318518385,20.00073,2.3467191766408,35.0526982086053,0.84267279525366,2.40401691829472,1.50404638138714,-91.9019392762628,78.4183346851555,4.23720428971621,-9.24640030139101,-1.23160691554195,2.06699730389905,-1.35245839941341,423.513823105161,424.173633186963,0.00117991699774039,66.4860319262952,2.0839442012758,8.43632192138687,9.4437182816405,-1.92591161396791e-05,106.40670794499,6,1,1,0,48479,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470714.27,420.151,419.9738,9.439319,8.440259,418.4835,9.502806,500.0567,89.17272,0.09990605,20.39086,20.00073,999.9,0,0,9998,0,0.7560335,0.17748408,424.1548,423.5487,0.9990602,419.9738,8.440259,0.8417297,0.7526408,4.431218,2.844088,0,0,0,0,2.7207,0,-28.0191,-3.21179,33.437,39.25,36.3936,38.375,34.25,0,0,0,1680470747.4,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.1389167,0.418852630818158,0.0732948627140019,0,1.02867248780488,-0.153820880446247,0.0208387507643952,0,0,2,"0/2",2.87357,2.71027,0.0900283,0.0902241,0.0513624,0.0471147,25469.3,22375,25040.6,23946.5,40542.6,37753.8,45241.9,42690.3,1.79253,1.85473,-0.00825524,0,20.1323,999.9,40.258,28.903,18.0559,53.7601,44.8037,1,-0.112274,2.47132,20.2297,5.23511,11.9893,4.95775,3.304,9999,9999,999.9,9999,1.86844,1.86404,1.87179,1.86248,1.86194,1.86844,1.85852,1.86505,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.667,-0.0633,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,3.8,3.7,1.03271,2.35596,1.44775,2.31689,1.44409,2.34619,33.4456,24.3502,18,421.643,444.41,18.0877,25.8821,29.9998,25.9357,25.9045,20.723,61.839,23.1785,18.0863,420,8.48938,95.7728,100.39,2
4,1680470722,15.4000000953674,2023-04-02 16:25:22,16:25:22,5,"pas_smi4_t2_ch2","gibson",1680470719.2,0.0021611484760764,2.1611484760764,-0.84824313851915,420.142100430137,419.396221949808,37.4410703489838,37.5076577124177,0.128502187978515,3.73244812481678,0.126094036673312,0.0790213768661536,0,19.9414659189553,20.00197,2.34689938066055,35.1149705972813,0.844166706854094,2.40400801280879,1.50273267380646,-95.3066477949694,78.2418281093312,4.22311046389239,-12.8417092217458,-1.14917093533443,2.05862480541496,-0.84824313851915,423.552046765889,424.093436363636,-0.0255173460973179,66.4860319262952,2.1611484760764,8.46077506866392,9.46207934065935,0.00556003342569165,106.40670794499,6,1,1,0,48055,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470719.2,420.1421,420.0034,9.455935,8.460947,418.4745,9.519149,500.061,89.17372,0.10002256,20.3908,20.00197,999.9,0,0,10013.008,0,0.756729,0.13871154,424.1529,423.5873,0.9949895,420.0034,8.460947,0.8432209,0.754494,4.456493,2.878795,0,0,0,0,2.6837,0,-28.07297,-3.18768,33.437,39.25,36.437,38.3624,34.25,0,0,0,1680470752.2,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.153626919512195,0.174278523775833,0.0612481091873813,0,1.01991602439024,-0.206054098548802,0.0238794379672879,0,0,2,"0/2",2.8738,2.71024,0.090015,0.0902099,0.0514284,0.0470837,25469.7,22374.7,25040.6,23945.8,40539.8,37754.2,45242,42689.4,1.79295,1.85448,-0.00756979,0,20.1304,999.9,40.209,28.923,18.0544,54.5201,44.7716,1,-0.112508,2.4501,20.2299,5.23496,11.9888,4.95785,3.304,9999,9999,999.9,9999,1.86844,1.86404,1.87179,1.86248,1.86194,1.86844,1.85852,1.86505,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.667,-0.0631,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,3.9,3.8,1.03271,2.36328,1.44775,2.31689,1.44409,2.30713,33.4456,24.3502,18,421.855,444.229,18.0863,25.8786,29.9998,25.9324,25.901,20.7249,61.839,22.8045,18.0885,420,8.48711,95.7729,100.388,2
5,1680470727,20.4000000953674,2023-04-02 16:25:27,16:25:27,5,"pas_smi4_t2_ch2","gibson",1680470724.5,0.00211380313706658,2.11380313706659,-1.34639624086287,420.06355623665,425.912466124694,38.02185221571,37.4997111536987,0.125704793556109,3.73097475738825,0.123398442065114,0.0773277182492007,0,19.9506893929402,20.0018,2.34687467455355,35.1506485615586,0.845000640939126,2.40394039802507,1.50187403361443,-93.2187183446364,78.1535046174029,4.21999551631799,-10.8452182109156,-0.944015088390385,2.1112554510654,-1.34639624086287,423.615020736695,424.139066666666,0.028517040280723,66.4860319262952,2.11380313706659,8.44866437924741,9.46364714285715,0.00086363665183569,106.40670794499,6,1,1,0,48197,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470724.5,420.063555555556,420.035666666667,9.46551222222222,8.44504777777778,418.395888888889,9.52856555555555,500.037222222222,89.1717111111111,0.0998064888888889,20.3903444444444,20.0018,999.9,0,0,10007.7255555556,0,0.771257777777778,0.0279608855555556,424.077555555555,423.613,1.02046444444444,420.035666666667,8.44504777777778,0.844056,0.753059444444445,4.47063,2.85195777777778,0,0,0,0,2.70701111111111,0,-27.9409777777778,-3.22045555555556,33.437,39.2706666666667,36.4232222222222,38.375,34.25,0,0,0,1680470757.6,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.140358489512195,-0.516278796869014,0.0743863789959291,0,1.01237480487805,-0.088014094299446,0.0194943685829968,1,1,2,"1/2",2.87371,2.71022,0.0900252,0.0902095,0.0514269,0.0469844,25469.9,22375.3,25041,23946.4,40540.4,37758.9,45242.6,42690.2,1.79282,1.85445,-0.00813976,0,20.1287,999.9,40.136,28.913,18.0106,54.3201,44.7796,1,-0.112861,2.45333,20.2298,5.23436,11.9899,4.9577,3.304,9999,9999,999.9,9999,1.86844,1.86409,1.8718,1.86248,1.86194,1.86844,1.85852,1.86503,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.668,-0.0631,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,4,3.9,1.03271,2.36328,1.44775,2.31689,1.44409,2.27783,33.4456,24.3502,18,421.762,444.191,18.0872,25.8745,29.9998,25.9292,25.898,20.7232,61.839,22.4342,18.0876,420,8.48712,95.7743,100.39,2
6,1680470732,25.4000000953674,2023-04-02 16:25:32,16:25:32,5,"pas_smi4_t2_ch2","gibson",1680470729.2,0.00211127110037164,2.11127110037165,-0.872709190562223,420.146500444644,419.963370150473,37.4912768893039,37.5076254307568,0.125526413959042,3.72069959264142,0.123220313259186,0.077216360974055,0,19.9484109103582,20.00105,2.34676567974322,35.1332494032392,0.844496108276146,2.40369485493216,1.50226957146707,-93.1070555263897,77.7568457698135,4.21012051332243,-11.1400892432538,-1.17099521131534,2.12712632799751,-0.872709190562223,423.564104326322,424.110515151515,-0.024076428382161,66.4860319262952,2.11127110037165,8.43372873357099,9.45580582417583,-0.00021263109315364,106.40670794499,6,1,1,0,48038,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470729.2,420.1465,420.0112,9.459732,8.431649,418.4788,9.522884,500.0657,89.17256,0.1001708,20.38869,20.00105,999.9,0,0,9969.248,0,0.778986,0.13540352,424.1589,423.5826,1.028082,420.0112,8.431649,0.8435484,0.7518718,4.46204,2.829714,0,0,0,0,2.74347,0,-27.96656,-3.23375,33.437,39.281,36.437,38.375,34.25,0,0,0,1680470762.4,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.125670640731707,-0.217106835088846,0.0688719866854404,0,1.01157773170732,0.0611232912827528,0.0186443542491298,1,1,2,"1/2",2.8738,2.70997,0.0900176,0.0902114,0.0513911,0.0469324,25470,22375.6,25040.9,23946.7,40542,37761.2,45242.6,42690.4,1.79282,1.85455,-0.00762567,0,20.1276,999.9,40.062,28.913,17.9766,54.5401,44.7756,1,-0.113117,2.44989,20.2299,5.23526,11.9909,4.9578,3.304,9999,9999,999.9,9999,1.86844,1.86406,1.8718,1.86249,1.86195,1.86844,1.85852,1.86502,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.667,-0.0632,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,4.1,4,1.03271,2.36816,1.44775,2.31689,1.44409,2.26807,33.4456,24.3414,18,421.738,444.226,18.0866,25.8712,29.9997,25.9259,25.895,20.7234,61.839,22.4342,18.0873,420,8.48864,95.774,100.391,2
7,1680470737,30.4000000953674,2023-04-02 16:25:37,16:25:37,5,"pas_smi4_t2_ch2","gibson",1680470734.5,0.0021238079159487,2.1238079159487,-1.28915075064344,420.127667316692,425.170516511618,37.9556389125679,37.5054558549477,0.126219105187347,3.73277810893906,0.123895131673182,0.0776396930452651,0,19.946821584742,19.9993555555556,2.34651944853917,35.095453843812,0.843570199206246,2.40364522128835,1.50294924933292,-93.6599290933378,78.2829564961486,4.22484750085784,-11.1521250963314,-1.2223755227986,2.13773211447053,-1.28915075064344,423.512506530413,424.140315151515,0.00135427917513989,66.4860319262952,2.1238079159487,8.416596475228,9.44494109890111,-0.00023251899052456,106.40670794499,6,1,1,0,48321,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470734.5,420.127666666667,419.969444444444,9.44948333333333,8.41622111111111,418.460222222222,9.51280333333333,500.045111111111,89.1718555555556,0.099713,20.3883555555556,19.9993555555556,999.9,0,0,10014.4511111111,0,0.768166444444444,0.158369322222222,424.135555555556,423.534,1.03326333333333,419.969444444444,8.41622111111111,0.842628,0.750490222222222,4.44645111111111,2.80379888888889,0,0,0,0,2.65418888888889,0,-27.8783888888889,-3.23624444444444,33.458,39.312,36.437,38.375,34.25,0,0,0,1680470767.2,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.113236626097561,0.15911199554007,0.0611416133619998,0,1.01533812195122,0.173782452961671,0.0182109498609706,0,0,2,"0/2",2.87383,2.71051,0.0900215,0.0902054,0.0513467,0.046901,25470.2,22375.7,25041.2,23946.7,40543.9,37762.8,45242.6,42690.9,1.79285,1.8548,-0.0077635,0,20.1263,999.9,39.989,28.913,17.943,54.1601,44.6915,1,-0.113463,2.4485,20.2299,5.23526,11.9905,4.9577,3.304,9999,9999,999.9,9999,1.86844,1.86409,1.87179,1.86249,1.86195,1.86844,1.85852,1.86501,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.668,-0.0634,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,4.2,4,1.03271,2.36572,1.44775,2.31689,1.44409,2.28394,33.4456,24.3414,18,421.728,444.349,18.0866,25.8677,29.9999,25.9227,25.8915,20.7239,61.5564,22.0429,18.087,420,8.49958,95.7746,100.391,2
8,1680470742,35.4000000953674,2023-04-02 16:25:42,16:25:42,5,"pas_smi4_t2_ch2","gibson",1680470739.2,0.00209783409294736,2.09783409294737,-1.17429164712158,420.100200593834,423.870176115755,37.839354806322,37.5028049629422,0.124613938117118,3.7338539807203,0.122348766319061,0.0766680660368832,0,19.9515349554548,19.99697,2.34617282566784,35.0668120981781,0.842839832358989,2.40352567549982,1.50333299330886,-92.5144834989789,78.623572696121,4.24193831064536,-9.64897249221258,-1.06563563331654,2.10390793613217,-1.17429164712158,423.584392016081,424.131236363636,0.00638351098581223,66.4860319262952,2.09783409294737,8.42290754246973,9.43789186813187,-0.00013138216290477,106.40670794499,6,1,1,0,48161,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470739.2,420.1002,420.0115,9.441352,8.424457,418.4324,9.504804,500.0583,89.17109,0.10000511,20.38755,19.99697,999.9,0,0,10018.56,0,0.7560335,0.08875729,424.1041,423.5797,1.016896,420.0115,8.424457,0.8418958,0.7512179,4.434032,2.817453,0,0,0,0,2.77726,0,-28.01314,-3.22718,33.4685,39.312,36.437,38.375,34.25,0,0,0,1680470772.6,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.107043784634146,0.1558215871777,0.0583177591179898,0,1.02346268292683,0.0406275261324055,0.00973672830922981,1,1,2,"1/2",2.87387,2.71027,0.0900187,0.0902151,0.051323,0.0469759,25470.4,22375.5,25041.3,23946.7,40545.3,37759.6,45243,42690.6,1.79288,1.85465,-0.00771508,0,20.125,999.9,39.91,28.923,17.9223,54.1401,44.6835,1,-0.113732,2.44618,20.23,5.23526,11.9912,4.95765,3.304,9999,9999,999.9,9999,1.86844,1.86409,1.8718,1.86249,1.86196,1.86844,1.85852,1.86505,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.668,-0.0635,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,4.2,4.1,1.03271,2.36816,1.44775,2.31689,1.44409,2.28638,33.4456,24.3502,18,421.72,444.233,18.0863,25.8634,29.9998,25.9196,25.8885,20.7227,61.5564,22.0429,18.0868,420,8.511,95.7753,100.391,2
9,1680470747,40.4000000953674,2023-04-02 16:25:47,16:25:47,5,"pas_smi4_t2_ch2","gibson",1680470744.5,0.00208334922639284,2.08334922639284,-1.15982289481111,420.141778365159,423.832511728642,37.8349119000108,37.5054455004553,0.123594296852887,3.72905463894079,0.121362872754412,0.076048924424361,0,19.9538223439672,20.0073666666667,2.34768379690899,35.0596667019356,0.842657974423939,2.40349682040022,1.50502582248505,-91.8757008839244,76.3932678173414,4.12712766153901,-11.3553054050439,-1.15358805685646,2.0806926941526,-1.15982289481111,423.592662589957,424.156993939394,0.00132030715795468,66.4860319262952,2.08334922639284,8.43350136754828,9.44026164835166,2.65439462871758e-05,106.40670794499,6,1,1,0,48175,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470744.5,420.141777777778,420.005444444444,9.43958444444444,8.43390111111111,418.474,9.50306666666667,500.054666666667,89.1685222222222,0.100023377777778,20.3873555555556,20.0073666666667,999.9,0,0,10000.9066666667,0,0.778986,0.1362374,424.145555555556,423.577888888889,1.00568222222222,420.005444444444,8.43390111111111,0.841713666666667,0.752038666666667,4.43094555555556,2.83284444444444,0,0,0,0,2.55002222222222,0,-27.9370333333333,-3.27783333333333,33.458,39.312,36.437,38.375,34.25,0,0,0,1680470777.4,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.116929267073171,-0.0680001909407664,0.0486956505383527,1,1.02213219512195,-0.0856053658536584,0.0107452534074909,1,2,2,"2/2",2.87407,2.71037,0.0900213,0.0901925,0.051323,0.0470076,25470.6,22376.2,25041.5,23946.8,40545.6,37758.7,45243.4,42691,1.79303,1.85473,-0.0073351,0,20.1229,999.9,39.836,28.923,17.8896,54.0901,44.5032,1,-0.11406,2.43571,20.2301,5.23526,11.9915,4.9577,3.304,9999,9999,999.9,9999,1.86844,1.86405,1.8718,1.86249,1.86191,1.86844,1.85852,1.86498,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.667,-0.0635,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,4.3,4.2,1.03271,2.36572,1.44775,2.31689,1.44409,2.31445,33.4456,24.3502,18,421.782,444.25,18.087,25.8597,29.9999,25.9167,25.8849,20.7241,61.2788,21.6574,18.0886,420,8.51799,95.7761,100.392,2
10,1680470752,45.4000000953674,2023-04-02 16:25:52,16:25:52,5,"pas_smi4_t2_ch2","gibson",1680470749.2,0.00203533917573457,2.03533917573458,-1.16527181642311,420.126100589613,424.241714854423,37.8708830706551,37.5034935822358,0.120786160998193,3.72902236896234,0.118654022663264,0.0743471933917873,0,19.9630237571745,20.00017,2.34663779815451,35.064838237127,0.84274139649546,2.40338024888749,1.50389640165906,-89.7584576498949,77.6814904484046,4.19658857112255,-7.8803786303677,-1.23571139777421,2.01882819890134,-1.16527181642311,423.509885988337,424.094393939394,-0.00227945478047706,66.4860319262952,2.03533917573458,8.46173807597309,9.44621395604396,-9.4811063682531e-05,106.40670794499,6,1,1,0,48218,0,0,0,0,2.44,0.5,"0: Broadleaf",2,TRUE,1680470749.2,420.1261,419.937,9.440658,8.464894,418.4583,9.504125,500.0632,89.16723,0.10000079,20.38657,20.00017,999.9,0,0,10000.931,0,0.778986,0.18901054,424.1301,423.5221,0.9757646,419.937,8.464894,0.8417972,0.7547912,4.432365,2.884324,0,0,0,0,2.61851,0,-28.09055,-3.2713,33.4874,39.312,36.437,38.375,34.25,0,0,0,1680470782.2,0,1680470494.6,16:21:34,1680470487.6,1680470494.6,1,0.359,0.013,1.667,-0.082,420,8,0.47,0.05,0.139419217073171,0.275631786062718,0.0660312504165979,0,1.01153851219512,-0.190152480836238,0.0202293230854063,0,0,2,"0/2",2.87399,2.71031,0.090016,0.0902212,0.0513623,0.0472069,25470.9,22375.8,25041.7,23947.1,40544.3,37751.2,45243.8,42691.5,1.79305,1.85457,-0.00700727,0,20.1207,999.9,39.763,28.923,17.8524,54.1301,44.4071,1,-0.114162,2.44504,20.23,5.23526,11.9912,4.9573,3.304,9999,9999,999.9,9999,1.86844,1.86408,1.8718,1.86249,1.86191,1.86844,1.85852,1.86504,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.668,-0.0633,1.06930645126457,0.00197157181927259,-1.54613444728524e-06,6.01190112903267e-10,-0.076379525317967,-0.0152649759196006,0.00188372033530289,-1.41623183101852e-05,1,1970,2,26,4.4,4.3,1.03271,2.3584,1.44897,2.31689,1.44409,2.35596,33.4456,24.3502,18,421.773,444.135,18.0877,25.8563,29.9998,25.9135,25.8819,20.7226,61.2788,21.2727,18.087,420,8.51509,95.7768,100.393,2
