"obs","time..2","elapsed","date","hhmmss..5","averaging","machine","id","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1678484103,0,2023-03-10 15:35:03,15:35:03,5,"albert","sch_sco16_t4_ch3",1678484095.25,0.00050867892336962,0.508678923369622,-0.743549162162491,420.54246724097,446.754000696549,40.3148512304688,37.9495359336017,0.032070032174258,3.30026897799828,0.031897903629759,0.0199515776622678,0,25.5680998327264,25.5434666666667,3.28417251560558,56.9517632007373,1.88634214395572,3.31217514250955,1.39783037164986,-22.4327405206003,25.4556011503625,1.64164829005572,4.66450891981793,-1.03214300180667,1.01271062937021,-0.743549162162491,428.632008167332,429.325375757576,-0.0281223412310528,64.6187357756842,0.508678923369622,19.7892583776837,20.5276121212121,-0.053192491931262,95.7867393216348,0,0,1,0,47911,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484095.25,420.542466666667,420.093866666667,20.9037333333333,20.17004,417.042233333333,20.6461033333333,500.032133333333,90.1393266666667,0.100158973333333,25.6865366666667,25.5434666666667,999.9,0,0,9998.502,0,0.232608266666667,0.4485067,429.520966666667,428.7416,0.733710633333333,420.093866666667,20.17004,1.88424766666667,1.81811166666667,16.5030166666667,15.9421433333333,0,0,0,0,-1.77166666666667,0,-2.935,-1.29333333333333,35.0080333333333,38.6205666666666,36.7373,37.4269333333333,35.6476,0,0,0,1678484115.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.453584268292683,-0.23950887804878,0.0474621489615669,0,0.703640756097561,0.669246083623696,0.0668169892532381,0,0,2,"0/2",2.97649,2.72846,0.0848377,0.0857728,0.0951395,0.0932349,27256.5,26921.5,30325.2,29709.3,37888.2,35475.2,46408.3,44180.8,1.8493,1.80807,-0.0724047,0,26.5361,999.9,49.1,33.2,27.8313,64.1301,16.7989,1,0.235401,9.28105,19.9855,5.23781,11.98,4.97295,3.29063,9999,9999,9999,999.9,4.97302,1.87759,1.8757,1.87853,1.87515,1.87877,1.87582,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.5,0.2488,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233600.6,11476.3,1.11938,2.57324,1.39893,2.35229,1.44897,2.49268,39.9689,23.9649,18,496.178,441.72,17.601,29.9393,30,29.4056,29.4016,22.4363,37.5588,98.0243,17.4109,419.935,19.2587,100.277,101.591,3
2,1678484108,5,2023-03-10 15:35:08,15:35:08,5,"albert","sch_sco16_t4_ch3",1678484100.15517,0.00058525945106624,0.58525945106625,-0.873064694951984,420.516690328866,447.44992502524,40.3773094179604,37.9468887381475,0.0369725266747934,3.30127232490401,0.0367440210990002,0.0229854256092136,0,25.4230542135962,25.4192827586207,3.26003430212522,56.6889831802167,1.86351424813724,3.28725996409752,1.39652005398798,-25.8099417920216,24.9187882549571,1.60451229793226,0.713358760867692,-1.04107955891583,1.08459043184369,-0.873064694951984,428.437847827203,429.205836363636,-0.0232121788109238,64.6187357756842,0.58525945106625,19.4844176056601,20.2693406060606,-0.051870215015562,95.7867393216348,0,0,1,0,47935,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484100.15517,420.516689655172,420.083827586207,20.6509379310345,19.8649724137931,417.016551724138,20.3988793103448,500.036275862069,90.1386517241379,0.100070331034483,25.5592931034483,25.4192827586207,999.9,0,0,10003.0617241379,0,0.233258172413793,0.432780344827586,429.383862068966,428.598034482759,0.785978896551724,420.083827586207,19.8649724137931,1.8614475862069,1.79060068965517,16.3117379310345,15.7036275862069,0,0,0,0,-2.34310344827586,0,-3.45689655172414,-1.65172413793103,34.9631034482759,38.5752068965517,36.7002068965517,37.3661034482759,35.5987931034483,0,0,0,1678484120.9,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.44357835,-0.168554746716698,0.0430869032889055,0,0.755152825,0.661542787992493,0.0645139833287666,0,0,2,"0/2",2.97642,2.72824,0.0848321,0.0857648,0.0942937,0.0921855,27256.7,26922.1,30325.2,29709.7,37924,35517.4,46408.3,44181.8,1.84945,1.80763,-0.0752285,0,26.4436,999.9,49,33.2,27.7736,64.1101,17.0393,1,0.234967,9.28105,19.9857,5.23736,11.98,4.97275,3.2904,9999,9999,9999,999.9,4.97298,1.87759,1.87568,1.87852,1.87515,1.87873,1.87584,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.5,0.2432,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233600.7,11476.4,1.11816,2.59399,1.39893,2.35229,1.44897,2.38037,39.9942,23.9649,18,496.267,441.444,17.4539,29.9373,29.9999,29.4062,29.4022,22.4297,38.2587,97.6462,17.2236,419.935,18.9569,100.277,101.593,3
3,1678484113,10,2023-03-10 15:35:13,15:35:13,5,"albert","sch_sco16_t4_ch3",1678484105.23214,0.00060196103438197,0.601961034381977,-0.669400035295484,420.501286231469,437.865066312759,39.5122466201631,37.9453667441144,0.0380842701887582,3.29968264198881,0.0378417485707417,0.0236727535503809,0,25.2894344897134,25.2884642857143,3.23477427972091,56.3966908251074,1.83968301691612,3.26204071551147,1.39509126280478,-26.5464816162452,25.1133370294129,1.6157015141542,0.182556927321873,-1.02986250432614,1.15408520525628,-0.669400035295484,428.36031463642,429.027963636364,-0.0346155302489859,64.6187357756842,0.601961034381977,19.2039443147844,20.0064315151515,-0.0526117166293123,95.7867393216348,0,0,1,0,47909,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484105.23214,420.501285714286,420.098321428571,20.3869178571429,19.5503392857143,417.001214285714,20.1406107142857,500.020071428571,90.1384035714286,0.100004696428571,25.4296357142857,25.2884642857143,999.9,0,0,9995.98392857143,0,0.232969464285714,0.40293775,429.2525,428.475357142857,0.836583892857143,420.098321428571,19.5503392857143,1.83764392857143,1.76223571428571,16.1098464285714,15.454525,0,0,0,0,-2.63035714285714,0,-6.22142857142857,-2.27321428571429,34.9171785714286,38.53325,36.65825,37.3078571428571,35.5353571428571,0,0,0,1678484125.7,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.4202797,-0.288983887429644,0.0390251260761576,0,0.802763425,0.603092589118198,0.0596867745831886,0,0,2,"0/2",2.97656,2.72838,0.0848277,0.0857727,0.0934388,0.0911643,27256.7,26922.1,30325.1,29709.9,37959.9,35557.6,46408.2,44181.7,1.8495,1.80665,-0.0773221,0,26.351,999.9,49,33.2,27.7727,64.2401,17.1434,1,0.234964,9.28105,19.986,5.23661,11.98,4.97265,3.29025,9999,9999,9999,999.9,4.97296,1.87759,1.87567,1.87851,1.87515,1.87876,1.87579,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.5,0.2375,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233600.8,11476.5,1.11816,2.59155,1.39893,2.35229,1.44897,2.48413,39.9942,23.9649,18,496.294,440.836,17.3165,29.9342,30.0001,29.4062,29.4022,22.4219,38.964,97.6462,17.0332,419.935,18.6627,100.276,101.593,3
4,1678484118,15,2023-03-10 15:35:18,15:35:18,5,"albert","sch_sco16_t4_ch3",1678484110.5,0.00069674182769529,0.696741827695294,-0.731830055437474,420.469556120017,436.265221523653,39.3681209295795,37.9427364728454,0.0441769586716935,3.29895665105777,0.0438509205432912,0.0274359178262243,0,25.1350177551227,25.1524333333333,3.20868930037606,56.073291699198,1.81480245756641,3.2364828291191,1.39388684280965,-30.7263146013624,25.7722679880473,1.65622338156821,-3.29782323174689,-1.01512234177468,1.22041982689121,-0.731830055437474,428.223483604595,428.895103030303,-0.0254484906372445,64.6187357756842,0.696741827695294,18.867618664197,19.7423709090909,-0.0530764874212407,95.7867393216348,0,0,1,0,48006,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484110.5,420.469555555556,420.098111111111,20.1110740740741,19.226162962963,416.969666666667,19.8707185185185,500.020925925926,90.1388888888889,0.10007352962963,25.2973407407407,25.1524333333333,999.9,0,0,9992.68592592592,0,0.232914740740741,0.371458851851852,429.099296296296,428.333518518518,0.88491337037037,420.098111111111,19.226162962963,1.81278925925926,1.73302518518519,15.8966555555556,15.1941296296296,0,0,0,0,-3.67407407407407,0,-4.77222222222222,-1.89259259259259,34.8724444444444,38.4858518518518,36.6131851851852,37.245037037037,35.4834074074074,0,0,0,1678484130.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.38365935,-0.388631369606005,0.0479478323449298,0,0.85607235,0.528808750469041,0.0517418804888989,0,0,2,"0/2",2.97659,2.72842,0.0848192,0.0857607,0.0925627,0.0900219,27257.1,26922.2,30325.2,29709.6,37997.1,35602.4,46408.4,44181.5,1.84975,1.80623,-0.0786856,0,26.2587,999.9,49,33.2,27.773,64.0701,16.7788,1,0.234886,9.28105,19.9865,5.23676,11.98,4.97275,3.29033,9999,9999,9999,999.9,4.97301,1.87759,1.87571,1.87852,1.87517,1.87878,1.87588,1.877,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.5,0.2319,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233600.9,11476.6,1.11816,2.5769,1.39893,2.35229,1.44897,2.48169,39.9942,23.9737,18,496.422,440.571,17.1855,29.9316,30,29.4042,29.4022,22.419,39.608,97.269,16.8402,419.935,18.3849,100.277,101.593,3
5,1678484123,20,2023-03-10 15:35:23,15:35:23,5,"albert","sch_sco16_t4_ch3",1678484115.21429,0.00115839681190856,1.15839681190857,-0.789073244760584,420.430929174329,426.959864058673,38.5281723573452,37.9390117600407,0.0738711003538536,3.30208144299236,0.0729651549498259,0.0456836916561893,0,24.9104118705659,25.0328535714286,3.18591095737369,55.781568856897,1.79280484357672,3.21397350471804,1.39310611379697,-51.0852994051678,26.2073543006597,1.68058622267363,-23.1973588818345,-0.997962845610787,1.28377186392633,-0.789073244760584,428.015247054654,428.736951515152,-0.0269450470122316,64.6187357756842,1.15839681190857,18.5761629205196,19.5553175757576,-0.0199292119596422,95.7867393216348,0,0,1,0,48393,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484115.21429,420.430928571429,420.091857142857,19.8674285714286,18.9363535714286,416.931142857143,19.632275,500.022714285714,90.13845,0.0999438178571429,25.1800678571429,25.0328535714286,999.9,0,0,10006.7014285714,0,0.232969464285714,0.339075357142857,428.953178571429,428.200571428571,0.931088,420.091857142857,18.9363535714286,1.79081928571429,1.70689285714286,15.7059785714286,14.9577785714286,0,0,0,0,-3.74285714285714,0,-5.86964285714286,-1.95,34.8323571428571,38.4461785714286,36.5734285714286,37.19175,35.4261071428571,0,0,0,1678484135.9,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.364183025,-0.410261617260789,0.0491389597765803,0,0.90307895,0.592588322701686,0.0581243702055988,0,0,2,"0/2",2.97638,2.72807,0.0847993,0.0857437,0.0921485,0.0891836,27258.1,26923.2,30325.7,29710.1,38015,35635.8,46408.9,44181.9,1.85158,1.8056,-0.0807866,0,26.1663,999.9,49,33.2,27.7723,63.6301,17.2356,1,0.231964,-6.60022,20.0328,5.23616,11.98,4.9726,3.29025,9999,9999,9999,999.9,4.97302,1.87759,1.87574,1.87852,1.87516,1.8788,1.8759,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.5,0.2293,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233601,11476.6,1.11816,2.59521,1.39893,2.35229,1.44897,2.41943,40.0194,23.9912,18,497.455,440.182,18.4734,29.929,29.9977,29.4045,29.4022,22.4137,41.4013,96.8902,25.6903,419.935,17.8,100.278,101.594,3
6,1678484128,25,2023-03-10 15:35:28,15:35:28,5,"albert","sch_sco16_t4_ch3",1678484120.5,0.00404241840898256,4.04241840898256,-0.616601090222317,420.302000474759,413.683809243732,37.3297292269736,37.9269372421439,0.268407672813329,3.3051499016137,0.256859548623422,0.161533365760716,0,24.1281071658287,24.9283222222222,3.16611501485889,55.9073754772915,1.78493214511861,3.19265951921427,1.38118286974028,-178.270651836131,24.9528133368737,1.59691252109291,-151.720925978164,-0.98593753847883,1.65079758055384,-0.616601090222317,427.862489947911,428.534490909091,-0.0440796391247181,64.6187357756842,4.04241840898256,18.1604539068385,20.1622836363636,0.133412245430299,95.7867393216348,0,0,1,0,47956,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484120.5,420.302,420.085851851852,19.7804148148148,18.583037037037,416.802481481482,19.5471185185185,500.020407407407,90.1376296296296,0.0997168481481482,25.0683592592593,24.9283222222222,999.9,0,0,10020.5159259259,0,0.232403962962963,0.216057681481481,428.783481481481,428.040222222222,1.19738818518519,420.085851851852,18.583037037037,1.78296037037037,1.67503074074074,15.6376703703704,14.6651777777778,0,0,0,0,-2.90555555555556,0,-6.08703703703704,-1.85,34.7891111111111,38.4048518518519,36.5298518518519,37.1385925925926,35.3723703703704,0,0,0,1678484140.7,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.28150786,-1.07050145741088,0.147890706520506,0,1.06723095,2.39836667166979,0.300204453824802,0,0,2,"0/2",2.97653,2.72792,0.084738,0.0857818,0.0941554,0.0870195,27260.9,26922.2,30326.7,29710.2,37931.5,35721.3,46410.4,44182.2,1.85325,1.80378,-0.0718087,0,26.0747,999.9,49,33.2,27.776,63.7601,16.9591,1,0.22544,-6.66667,20.0482,5.23631,11.98,4.97235,3.29033,9999,9999,9999,999.9,4.97303,1.87759,1.87568,1.87851,1.87515,1.87873,1.87583,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.498,0.2423,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233601.1,11476.7,1.11694,2.57935,1.39893,2.35229,1.44897,2.50244,40.0194,23.9999,18,498.425,439.043,22.142,29.9264,29.9956,29.4076,29.4016,22.3996,44.2128,96.103,25.7787,419.935,16.7169,100.281,101.595,3
7,1678484133,30,2023-03-10 15:35:33,15:35:33,5,"albert","sch_sco16_t4_ch3",1678484125.21429,0.0038013884693487,3.8013884693487,-0.964485978387784,420.127286458185,416.05475510867,37.5432657330041,37.9107561288798,0.254449851184911,3.30495425603664,0.244045942016577,0.15342801651629,0,24.1566752971902,24.915125,3.16362340928583,56.3676121226905,1.79668645133461,3.18744467554155,1.36693695795121,-167.641231498278,22.4152644318476,1.43430780181548,-143.791659264615,-1.02186851666917,2.50925001647057,-0.964485978387784,427.779456812485,428.522163636364,-0.00337040166254025,64.6187357756842,3.8013884693487,17.2170583094004,20.1976357575758,-0.0322122095154486,95.7867393216348,0,0,1,0,47877,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484125.21429,420.127285714286,420.151214285714,19.9108928571429,18.0910178571429,416.62825,19.6748071428571,499.999607142857,90.1367714285714,0.0995863392857143,25.0409285714286,24.915125,999.9,0,0,10019.7360714286,0,0.233215714285714,-0.0240620214285714,428.662321428571,427.892357142857,1.81989110714286,420.151214285714,18.0910178571429,1.79470428571429,1.63066428571429,15.7393035714286,14.2451,0,0,0,0,-3.04107142857143,0,-6.175,-1.97321428571429,34.74525,38.3658214285714,36.4908214285714,37.0890714285714,35.319,0,0,0,1678484145.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.0670798634146341,-2.90933997073171,0.330252890422158,0,1.57700707317073,7.33206844599303,0.80046892993683,0,0,2,"0/2",2.97641,2.72821,0.0847332,0.0857706,0.0940307,0.0836452,27261.5,26923.5,30327.2,29711.3,37937.3,35855.6,46411.1,44183.9,1.85317,1.80273,-0.0557899,0,25.9922,999.9,48.9,33.2,27.7167,63.7701,17.0954,1,0.223244,-6.66667,20.0557,5.23586,11.98,4.9724,3.29028,9999,9999,9999,999.9,4.97305,1.87759,1.87565,1.87851,1.87515,1.87873,1.8758,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.498,0.2415,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233601.1,11476.8,1.11572,2.58423,1.39893,2.35229,1.44897,2.41089,40.0447,23.9999,18,498.39,438.369,24.5614,29.9237,29.9971,29.4086,29.3984,22.3871,44.97,96.103,25.8657,419.935,16.4504,100.283,101.598,3
8,1678484138,35,2023-03-10 15:35:38,15:35:38,5,"albert","sch_sco16_t4_ch3",1678484130.5,0.00342983346079987,3.42983346079987,-0.840207730989983,419.93070435218,415.623028660818,37.5050715373427,37.8937884125476,0.227336553348474,3.30224515719499,0.218986050447777,0.137590985804849,0,24.3059094395255,25.0103407407407,3.18163840703369,56.4889239399582,1.80736708701456,3.19950702005866,1.37427132001913,-151.255655621274,16.7309240095172,1.07231221178608,-133.452419399971,-1.12517277054117,3.59051187611538,-0.840207730989983,427.385808272516,428.259618181818,-0.0513113650475185,64.6187357756842,3.42983346079987,16.6324363567997,19.7510787878788,-0.0905798538191101,95.7867393216348,0,0,1,0,47904,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484130.5,419.930703703704,420.213814814815,20.0288481481482,17.4251592592593,416.432296296296,19.7902555555556,500.014148148148,90.138474074074,0.099720037037037,25.1043185185185,25.0103407407407,999.9,0,0,10007.4307407407,0,0.232403962962963,-0.283197392592593,428.513296296296,427.666111111111,2.60368925925926,420.213814814815,17.4251592592593,1.80536962962963,1.57067555555556,15.8326333333333,13.6644592592593,0,0,0,0,-2.18703703703704,0,-5.07407407407408,-1.72592592592593,34.6919259259259,38.3261111111111,36.4419259259259,37.0368518518518,35.2635925925926,0,0,0,1678484150.9,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-0.10344769,-3.23847029043152,0.345322076337624,0,2.11784825,9.49920992870544,0.946691844759258,0,0,2,"0/2",2.97662,2.72816,0.0847244,0.0857532,0.0925763,0.0825617,27262.5,26924.5,30328,29711.8,37999.6,35899.1,46412.2,44184.9,1.85325,1.80235,-0.0369474,0,25.9249,999.9,48.9,33.2,27.7147,63.6001,17.2636,1,0.222104,-6.66667,20.0614,5.23601,11.98,4.9723,3.29025,9999,9999,9999,999.9,4.97304,1.87759,1.87569,1.87852,1.87515,1.8788,1.87581,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.498,0.2319,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233601.2,11476.9,1.11572,2.58789,1.39893,2.35229,1.44897,2.48535,40.0194,24.0087,18,498.416,438.145,26.5647,29.9204,29.9984,29.4062,29.3997,22.3798,44.97,95.7077,25.339,419.935,16.6551,100.285,101.601,3
9,1678484143,40,2023-03-10 15:35:43,15:35:43,5,"albert","sch_sco16_t4_ch3",1678484135.21429,0.00212317292431348,2.12317292431349,-1.04070502221589,419.819572234792,421.614361068835,38.0468441845328,37.8848808895922,0.133981720893534,3.30061189841924,0.131031968722896,0.0821545950279181,0,24.755288199691,25.19485,3.21680322936542,55.6248227247963,1.79519373486895,3.22732486492707,1.42160949449646,-93.6319259622247,9.76269302539613,0.62705646849545,-83.2421764683331,-1.23803110999572,4.11438675125519,-1.04070502221589,427.040480273019,428.007133333333,-0.0390455640984798,64.6187357756842,2.12317292431349,16.5580846321729,19.1585715151515,-0.152228257575491,95.7867393216348,0,0,1,0,47762,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484135.21429,419.819571428571,420.181607142857,19.8933571428571,16.9094714285714,416.321571428571,19.6576214285714,500.032214285714,90.1410785714286,0.09978535,25.2497142857143,25.19485,999.9,0,0,9999.84035714286,0,0.235678392857143,-0.362083357142857,428.340714285714,427.409,2.98388928571429,420.181607142857,16.9094714285714,1.79320785714286,1.52423642857143,15.7256107142857,13.2093,0,0,0,0,-2.40178571428571,0,-4.78571428571428,-1.7125,34.6538214285714,38.2876785714286,36.4015714285714,36.9885714285714,35.2185,0,0,0,1678484155.7,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-0.250741307317073,-1.15890914843206,0.2367330029572,0,2.6146712195122,5.44944940766551,0.708874727259544,0,0,2,"0/2",2.97675,2.72817,0.0847232,0.0857222,0.0904177,0.0828825,27262.7,26925.5,30328.1,29711.9,38091.3,35886.5,46412.9,44184.9,1.85185,1.8035,-0.0188947,0,25.8746,999.9,48.8,33.2,27.6574,63.91,16.883,1,0.213028,1.18295,20.198,5.23706,11.9767,4.97225,3.29055,9999,9999,9999,999.9,4.97305,1.87759,1.87567,1.87854,1.87515,1.87877,1.87584,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.498,0.2185,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233601.3,11477,1.11572,2.57324,1.39893,2.35229,1.44897,2.48779,40.0447,24.07,18,497.61,438.876,27.5657,29.9166,29.9928,29.4042,29.4022,22.38,42.1852,95.7077,25.0822,419.935,17.5366,100.287,101.601,3
10,1678484148,45,2023-03-10 15:35:48,15:35:48,5,"albert","sch_sco16_t4_ch3",1678484140.5,0.00082202416708072,0.822024167080725,-0.760619504674938,419.811778367408,433.573855372828,39.1269578721757,37.8850282665225,0.0479812739564515,3.29969976514074,0.0475970135932906,0.0297824010958902,0,25.2510653786022,25.4339222222222,3.26287176089365,53.532787746133,1.74759869231982,3.26453892258966,1.51527306857383,-36.25126576826,1.52922449365447,0.0984626119487503,-34.6235786626568,-1.25426831597671,3.57134447819965,-0.760619504674938,427.060000573037,427.7966,-0.0349953897828412,64.6187357756842,0.822024167080725,17.1768509513128,18.49436,-0.103592153766527,95.7867393216348,0,0,1,0,47751,0,0,0,0,3.7,0.5,"0: Broadleaf",2,TRUE,1678484140.5,419.811777777778,419.993074074074,19.3655,16.7741925925926,416.313814814815,19.1408,500.059518518518,90.1429666666667,0.0999236444444444,25.4425185185185,25.4339222222222,999.9,0,0,9995.55444444444,0,0.236081555555556,-0.181339855555556,428.102259259259,427.158296296296,2.59130481481482,419.993074074074,16.7741925925926,1.7456637037037,1.51207481481481,15.3034518518519,13.0893037037037,0,0,0,0,-2.73703703703704,0,-3.51666666666667,-1.46111111111111,34.6085925925926,38.2427777777778,36.3562592592593,36.935,35.1617777777778,0,0,0,1678484160.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-0.255477465853659,1.98036586620209,0.220600755559189,0,2.66840121951219,-3.92157783972125,0.637885179086732,0,0,2,"0/2",2.9765,2.72885,0.0847306,0.0856749,0.0883808,0.085885,27262.7,26927.3,30328.3,29712.3,38177.4,35768.7,46413.1,44185.6,1.85063,1.8047,-0.00586361,0,25.8408,999.9,48.8,33.2,27.6594,64.01,17.2997,1,0.216039,6.72938,20.0778,5.23721,11.9797,4.97255,3.29055,9999,9999,9999,999.9,4.973,1.87759,1.8757,1.87852,1.87515,1.87878,1.87583,1.87698,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.498,0.2062,1.91415259709097,0.00456897603284527,-2.05775566446841e-06,5.30206532978197e-10,-0.0105569447518529,0.00321531751820501,0.00047887915667416,-2.65961143815948e-07,-1,2110,1,23,233601.4,11477.1,1.11694,2.59521,1.39893,2.35229,1.44897,2.43164,40.0447,24.0087,18,496.913,439.658,26.1941,29.9119,30.0016,29.4037,29.4073,22.3947,38.6305,95.7077,24.5798,419.935,18.8396,100.287,101.602,3
