"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1677800173.1,0,2023-03-02 17:36:13,17:36:13,5,"poa_pra17_t1_ch4","stan",1677800165.1,6.25083546889994e-05,0.0625083546889994,3.81351505007148,418.697480864695,-1345.83318593275,-119.997174825265,37.3319036381152,0.00343336735952988,3.27361661696284,0.00343136810988185,0.00214478459203639,0,27.6080813350457,27.5466870967742,3.69570363653849,57.2299342707035,2.12447470090737,3.71217393131779,1.57122893563113,-2.75661844178487,13.4204297250094,0.889918977281965,11.5537302605065,3.81351505007148,0.0625083546889994,3.7655397510486,430.370924231636,428.938466666666,0.00225327772245303,64.8923524884626,0.0530733675914292,23.804003963429,23.8231739393939,-1.0022966489428e-07,85.6908683486085,0,0,1,0,46939,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800165.1,418.697483870968,420.118193548387,23.8271322580645,23.8045548387097,422.272387096774,23.9307225806452,999.982096774194,89.0620193548387,0.0999778967741936,27.6227290322581,27.5466870967742,999.9,0,0,9999.1935483871,0,0.281038,-1.42077064516129,428.917419354839,430.362903225806,0.0225875032258064,420.118193548387,23.8045548387097,2.12209290322581,2.12008161290323,18.3859935483871,18.3708677419355,0,0,0,0,-7.69354838709677,0,-10.8548387096774,-2.64516129032258,35.4270322580645,41.7013548387097,38.1770967741935,41.5279677419355,36.6006129032258,0,0,0,1677800173.9,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.42044756097561,0.0047333101045277,0.0148503778026159,1,0.0241783951219512,-0.0332342425087108,0.00343216275780647,1,2,2,"2/2",3.92127,2.72094,0.0928501,0.0916139,0.104824,0.102705,28740.6,28867.4,29461.9,29400.9,34952.1,35067,41512,41899.1,2.59917,2.07845,0.0529066,0,26.6766,999.9,46.4,33.3,26.7667,62.2474,27.0873,3,0.119284,0.666623,20.3552,5.22672,12.0107,4.9913,3.29,9999,9999,9999,999.9,1.86783,1.8669,1.8663,1.86615,1.868,1.87042,1.86916,1.87053,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1036,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39293.9,82.8,1.58203,2.24243,2.64648,3.00049,3.04443,2.49268,40.2474,24.1313,18,1148.57,582.627,26.7127,29.1375,29.9993,29.0412,28.9766,31.6488,0,100,26.6946,420.1,24.9968,100.768,100.625,4
2,1677800178.1,5,2023-03-02 17:36:18,17:36:18,5,"poa_pra17_t1_ch4","stan",1677800170.25517,5.59170490971606e-05,0.0559170490971606,3.80600802359691,418.708307349844,-1547.64727006677,-137.989187979091,37.3322916977149,0.00307259149481408,3.27377655408583,0.00307099030204114,0.00191951272661111,0,27.6067043286006,27.5419172413793,3.69467263912315,57.2322631307969,2.12419824185599,3.71153983025521,1.57047439726716,-2.46594186518478,13.7472002403329,0.911507857273801,12.1927662324219,3.80600802359691,0.0559170490971606,3.96980230959855,430.366786321237,428.909181818182,-0.0203576664624442,64.8923524884626,0.0514806883487113,23.8040654137791,23.8226587878788,2.79082110142246e-07,85.6908683486085,0,0,1,0,47019,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800170.25517,418.708310344828,420.125206896552,23.8244,23.8042034482759,422.283206896552,23.928024137931,999.992379310345,89.0605103448276,0.10010825862069,27.6198068965517,27.5419172413793,999.9,0,0,10000.0827586207,0,0.281038,-1.41703517241379,428.927206896552,430.369931034483,0.0202027172413793,420.125206896552,23.8042034482759,2.12181448275862,2.12001586206897,18.3838931034483,18.3703655172414,0,0,0,0,-5.46551724137931,0,-13.051724137931,-2.41379310344828,35.458724137931,41.7411379310345,38.2130689655172,41.5773793103448,36.6206551724138,0,0,0,1677800178.7,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.4189187804878,0.0541068292682911,0.0156558180870948,1,0.0218999512195122,-0.0273155895470383,0.00281497373267837,1,2,2,"2/2",3.9213,2.7208,0.0928452,0.0916094,0.104827,0.102706,28741.2,28868.3,29462.4,29401.7,34952.8,35067.9,41513.1,41900.2,2.59998,2.07868,0.0529997,0,26.6715,999.9,46.4,33.3,26.7681,62.0774,27.0994,3,0.118587,0.658355,20.3551,5.22687,12.011,4.99125,3.29,9999,9999,9999,999.9,1.86783,1.86691,1.8663,1.86615,1.86801,1.87042,1.86917,1.87049,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294,82.9,1.58081,2.24121,2.64648,3.00049,3.04443,2.50732,40.2474,24.1313,18,1149.43,582.738,26.6681,29.1275,29.9994,29.0337,28.9704,31.6503,0,100,26.6547,420.1,24.9968,100.77,100.628,4
3,1677800183.1,10,2023-03-02 17:36:23,17:36:23,5,"poa_pra17_t1_ch4","stan",1677800175.33214,5.29895559214452e-05,0.0529895559214452,3.80662833187133,418.697389862593,-1655.47048266536,-147.602228527817,37.331180754729,0.00291236357259379,3.27464312094198,0.00291092536022819,0.00181945750552496,0,27.6036507450365,27.5395892857143,3.69416954598852,57.2416241920358,2.12408087626904,3.71072782481349,1.57008866971948,-2.33683941613573,13.5010922711237,0.894925667301139,12.0591785222891,3.80662833187133,0.0529895559214452,3.8147405212729,430.331570947927,428.884127272727,0.00067267397057691,64.8923524884626,0.0474622309378678,23.8039406305493,23.8211036363636,-6.58487230275054e-06,85.6908683486085,0,0,1,0,47015,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800175.33214,418.697392857143,420.114071428571,23.8231714285714,23.8040321428571,422.272214285714,23.9268107142857,999.987964285714,89.0602642857143,0.100025839285714,27.6160642857143,27.5395892857143,999.9,0,0,10004.0107142857,0,0.281038,-1.41676821428571,428.915428571429,430.358357142857,0.01915225,420.114071428571,23.8040321428571,2.12169892857143,2.11999464285714,18.3830214285714,18.3702,0,0,0,0,-2.96428571428571,0,-15.125,-2.48214285714286,35.47975,41.78325,38.2408928571429,41.6314285714286,36.6405,0,0,0,1677800183.5,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.41645682926829,0.00416404181184457,0.0114980820116427,1,0.0198249487804878,-0.0148592655052264,0.00170558461075659,1,2,2,"2/2",3.92134,2.7205,0.092845,0.0916138,0.104821,0.10271,28741,28868.6,29462.1,29402.1,34952.6,35068.3,41512.5,41900.8,2.59977,2.07882,0.0531822,0,26.6658,999.9,46.4,33.3,26.7679,62.2074,27.0833,3,0.117861,0.659654,20.3552,5.22672,12.0108,4.991,3.29,9999,9999,9999,999.9,1.86783,1.86691,1.8663,1.86615,1.868,1.87042,1.86917,1.87051,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.574,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.1,83,1.58203,2.24243,2.64648,3.00049,3.04443,2.51831,40.2474,24.1225,18,1149.05,582.779,26.6293,29.1162,29.9994,29.0275,28.9631,31.6492,0,100,26.6166,420.1,24.9968,100.769,100.629,4
4,1677800188.1,15,2023-03-02 17:36:28,17:36:28,5,"poa_pra17_t1_ch4","stan",1677800180.6,4.89748234704813e-05,0.0489748234704813,3.8251704115936,418.684552545099,-1834.21560696085,-163.539688075501,37.3301485743587,0.00269305549117927,3.27429002179879,0.00269182554334423,0.00168250142104448,0,27.5999146615438,27.5350296296296,3.69318433459857,57.2530276481804,2.12392338615566,3.70971365777748,1.5692609484429,-2.15978971504822,13.4792055081473,0.893530065141911,12.212945858241,3.8251704115936,0.0489748234704813,3.83684632076376,430.359629205892,428.900793939394,0.00198895942618548,64.8923524884626,0.0449187996102455,23.8029776532986,23.8192193939394,-5.82724475374686e-06,85.6908683486085,0,0,1,0,47002,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800180.6,418.684555555556,420.107444444444,23.8213333333333,23.8036444444444,422.25937037037,23.9249925925926,1000.00774074074,89.060537037037,0.100021544444444,27.6113888888889,27.5350296296296,999.9,0,0,10002.3907407407,0,0.281038,-1.42288185185185,428.901592592593,430.351222222222,0.0176961074074074,420.107444444444,23.8036444444444,2.12154111111111,2.1199662962963,18.381837037037,18.3699888888889,0,0,0,0,-1.31481481481481,0,-16.462962962963,-2.66666666666667,35.5114814814815,41.8261481481481,38.2775555555556,41.6896666666667,36.6617407407407,0,0,0,1677800188.9,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.4215015,-0.0822265666041238,0.0152511952892224,1,0.018622125,-0.0143762363977486,0.0016210565282787,1,2,2,"2/2",3.92134,2.72076,0.0928505,0.0916155,0.104818,0.102709,28741.5,28868.7,29462.7,29402.2,34953.4,35068.5,41513.4,41901,2.5991,2.07917,0.053145,0,26.6602,999.9,46.4,33.3,26.7697,62.1274,27.0753,3,0.117111,0.661174,20.3552,5.22657,12.0108,4.99115,3.28998,9999,9999,9999,999.9,1.86783,1.86691,1.8663,1.86616,1.86799,1.87043,1.86915,1.8705,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.1,83,1.58081,2.24243,2.64648,3.00171,3.04443,2.5061,40.2474,24.1225,18,1148.08,582.985,26.5937,29.1056,29.9994,29.0207,28.9569,31.6491,0,100,26.5818,420.1,24.9968,100.771,100.63,4
5,1677800193.1,20,2023-03-02 17:36:33,17:36:33,5,"poa_pra17_t1_ch4","stan",1677800185.31429,4.64049290555463e-05,0.0464049290555463,3.78040273410956,418.696747023105,-1929.33102850095,-172.019184874327,37.3310085560631,0.00255311574570867,3.27383348528321,0.00255201011840107,0.00159510561792362,0,27.5969978518185,27.5306285714286,3.69223360915635,57.2629748807146,2.12385557914901,3.70895082481001,1.56837803000734,-2.04645737134959,13.6332801573197,0.903833909383865,12.4906566953539,3.78040273410956,0.0464049290555463,3.63990473965552,430.363957221218,428.986581818182,-0.00096060258376572,64.8923524884626,0.0404801379528332,23.8052792138294,23.8198945454545,1.7875705453343e-06,85.6908683486085,0,0,1,0,46985,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800185.31429,418.69675,420.102678571429,23.8207178571429,23.8039571428571,422.271642857143,23.9243821428571,1000.00667857143,89.0600464285714,0.0999693142857143,27.6078714285714,27.5306285714286,999.9,0,0,10000.3910714286,0,0.281038,-1.4058575,428.913857142857,430.346571428571,0.0167779928571428,420.102678571429,23.8039571428571,2.12147428571429,2.11998035714286,18.3813357142857,18.3701107142857,0,0,0,0,-4.01785714285714,0,-11.5,-1.92857142857143,35.531,41.8569642857143,38.30325,41.7430357142857,36.6871071428571,0,0,0,1677800193.7,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.40752853658537,0.121733310104531,0.0312688238378082,0,0.0171521414634146,-0.0130289560975609,0.00147599746777091,1,1,2,"1/2",3.92139,2.721,0.0928583,0.0916166,0.104817,0.102711,28742,28869,29463.4,29402.5,34954.1,35068.9,41514.2,41901.6,2.5996,2.07935,0.0532195,0,26.6545,999.9,46.4,33.3,26.7685,62.2574,27.0593,3,0.116227,0.640542,20.3553,5.22702,12.0107,4.99125,3.29,9999,9999,9999,999.9,1.86783,1.86689,1.8663,1.86615,1.868,1.87043,1.86917,1.87053,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.2,83.1,1.58081,2.24487,2.64648,2.99927,3.04443,2.48413,40.2474,24.1225,18,1148.55,583.058,26.5614,29.0951,29.9993,29.0133,28.9508,31.6483,0,100,26.5551,420.1,24.9968,100.773,100.631,4
6,1677800198.1,25,2023-03-02 17:36:38,17:36:38,5,"poa_pra17_t1_ch4","stan",1677800190.6,4.36013509263012e-05,0.0436013509263012,3.78046230674866,418.707885909067,-2077.7913038458,-185.253175870168,37.3314516635857,0.00240054522032391,3.27297367910443,0.00239956750213968,0.00149981749761976,0,27.5921104336302,27.5247037037037,3.69095404462608,57.2779645017031,2.12372329949506,3.70774925046771,1.56723074513102,-1.92281957584988,13.6972931181818,0.90826429575404,12.682737838086,3.78046230674866,0.0436013509263012,3.89277090412432,430.353107125368,428.888896969697,-0.00485825058425141,64.8923524884626,0.0450637164300482,23.802947754231,23.8192242424242,-4.90612591921409e-08,85.6908683486085,0,0,1,0,46957,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800190.6,418.707888888889,420.113407407407,23.8195851851852,23.803837037037,422.282814814815,23.9232592592593,1000.00522222222,89.0586037037037,0.100098388888889,27.6023296296296,27.5247037037037,999.9,0,0,9996.6837037037,0,0.281038,-1.40549222222222,428.924777777778,430.357555555556,0.0157602777777778,420.113407407407,23.803837037037,2.12133888888889,2.11993481481481,18.3803148148148,18.3697740740741,0,0,0,0,0.12962962962963,0,-7.14814814814815,-1.66666666666667,35.5528148148148,41.8979629629629,38.34,41.7937407407407,36.715,0,0,0,1677800198.5,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.4080925,0.109823414634149,0.0328078190184901,0,0.016478635,-0.012925807879925,0.00147453578789224,1,1,2,"1/2",3.92137,2.7209,0.0928504,0.0916173,0.104822,0.10271,28742.7,28869.2,29463.8,29402.6,34954.4,35068.9,41514.8,41901.5,2.60035,2.07978,0.0525974,0,26.6489,999.9,46.4,33.3,26.7685,62.2974,27.0673,3,0.115516,0.628889,20.3552,5.22717,12.0107,4.9912,3.29,9999,9999,9999,999.9,1.86782,1.86689,1.8663,1.86615,1.86799,1.87042,1.86915,1.8705,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.3,83.2,1.58081,2.24243,2.64648,3.00049,3.04443,2.49512,40.2474,24.1313,18,1149.33,583.309,26.536,29.085,29.9994,29.0052,28.9434,31.647,0,100,26.5305,420.1,24.9968,100.775,100.631,4
7,1677800203.1,30,2023-03-02 17:36:43,17:36:43,5,"poa_pra17_t1_ch4","stan",1677800195.31429,4.13815473887737e-05,0.0413815473887737,3.74889917351979,418.716354192306,-2187.02038819942,-194.991037560823,37.3320417076047,0.0022802253604073,3.27291110990374,0.00227934315985264,0.00142466870675579,0,27.5872294420645,27.5184535714286,3.6896046537568,57.2955118758185,2.12370313522238,3.70657851844533,1.56590151853442,-1.82492623984492,13.8468496953404,0.918145521576654,12.9400689770721,3.74889917351979,0.0413815473887737,3.85017953221465,430.336498840711,428.88676969697,-0.00414115218452199,64.8923524884626,0.0359827296704642,23.8057485518052,23.8187593939394,-4.71175089670721e-06,85.6908683486085,0,0,1,0,47028,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800195.31429,418.716357142857,420.109857142857,23.8194642857143,23.8045178571429,422.29125,23.9231285714286,1000.00267857143,89.0581678571429,0.100140228571429,27.5969285714286,27.5184535714286,999.9,0,0,9996.45107142857,0,0.281038,-1.39354964285714,428.933321428572,430.354285714286,0.0149461142857143,420.109857142857,23.8045178571429,2.12131821428571,2.11998571428571,18.3801535714286,18.37015,0,0,0,0,-0.125,0,-0.0357142857142857,-0.625,35.58225,41.9283214285714,38.35925,41.8323571428571,36.73425,0,0,0,1677800203.9,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.40578634146341,0.0712467595818791,0.0324758674948328,1,0.0154166268292683,-0.00840353937282227,0.00119133010928129,1,2,2,"2/2",3.92141,2.72052,0.0928549,0.0916156,0.104823,0.102724,28742.7,28869.8,29463.8,29403.1,34954.5,35069,41515.1,41902.4,2.6004,2.07997,0.0526905,0,26.6433,999.9,46.4,33.3,26.7663,62.2174,27.0793,3,0.114888,0.590428,20.3555,5.22717,12.0104,4.99135,3.29,9999,9999,9999,999.9,1.86783,1.86689,1.8663,1.86615,1.868,1.87042,1.86916,1.87052,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.574,-0.1036,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.4,83.3,1.58203,2.24365,2.64648,3.00049,3.04443,2.49878,40.2474,24.1313,18,1149.26,583.401,26.5158,29.0744,29.9995,28.9984,28.9373,31.6484,0,100,26.5175,420.1,24.9968,100.775,100.633,4
8,1677800208.1,35,2023-03-02 17:36:48,17:36:48,5,"poa_pra17_t1_ch4","stan",1677800200.6,3.91403004530762e-05,0.0391403004530762,3.78309257116706,418.69351554077,-2357.1302856047,-210.160246357382,37.3304491956467,0.0021594063932613,3.27343399409534,0.00215861531251692,0.00134920561990526,0,27.5812941848339,27.5094185185185,3.68765476517966,57.3168448957299,2.12369127722143,3.70517826144272,1.56396348795823,-1.72608724998066,14.3031643113862,0.948177626421973,13.5252546878275,3.78309257116706,0.0391403004530762,3.77798519392701,430.337979173218,428.904824242424,0.00052174257925334,64.8923524884626,0.0336559669193571,23.8058032213211,23.8179624242424,-9.9339782906264e-07,85.6908683486085,0,0,1,0,47013,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800200.6,418.693518518519,420.099333333333,23.8190481481482,23.8049111111111,422.268333333333,23.9227148148148,999.994962962963,89.0592666666667,0.100101248148148,27.5904666666667,27.5094185185185,999.9,0,0,9998.68074074074,0,0.281038,-1.40598148148148,428.909666666667,430.343740740741,0.0141340148148148,420.099333333333,23.8049111111111,2.12130740740741,2.12004740740741,18.3800740740741,18.3706111111111,0,0,0,0,2.2037037037037,0,-4.18518518518519,-1.53703703703704,35.604,41.9696666666667,38.3956666666667,41.8816666666667,36.7706666666667,0,0,0,1677800208.7,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.39512675,-0.0860236772983059,0.0267511960842408,1,0.0144956075,-0.00979062551594748,0.00132318664677125,1,2,2,"2/2",3.92132,2.72092,0.0928598,0.091624,0.104821,0.102724,28742.5,28869.9,29463.7,29403.5,34954.2,35069.3,41514.6,41902.8,2.6006,2.07997,0.0525154,0,26.6367,999.9,46.4,33.3,26.7694,62.2274,27.0833,3,0.114233,0.545722,20.3556,5.22672,12.0105,4.9913,3.29,9999,9999,9999,999.9,1.86782,1.8669,1.8663,1.86616,1.86799,1.87043,1.86917,1.8705,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.5,83.4,1.58203,2.23755,2.64648,2.99927,3.04443,2.47803,40.2474,24.1225,18,1149.37,583.326,26.506,29.0638,29.9995,28.991,28.9299,31.648,0,100,26.5127,420.1,24.9968,100.774,100.634,4
9,1677800213.1,40,2023-03-02 17:36:53,17:36:53,5,"poa_pra17_t1_ch4","stan",1677800205.31429,3.61404737295343e-05,0.0361404737295343,3.77142218986284,418.703747029288,-2574.06632500463,-229.502977061113,37.3314997816507,0.00199604081899427,3.27311054758457,0.00199536481885961,0.00124716372715286,0,27.577301142907,27.5014357142857,3.68593271466957,57.3318894771772,2.12366555958413,3.70416112036481,1.56226715508544,-1.59379489147246,14.8818747319935,0.986576247700415,14.2746560882214,3.77142218986284,0.0361404737295343,3.78146894891092,430.383113335812,428.952793939394,-0.00127828747756654,64.8923524884626,0.0354090955461566,23.805526911937,23.8182993939394,5.54601089400024e-06,85.6908683486085,0,0,1,0,46986,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800205.31429,418.70375,420.104785714286,23.8186714285714,23.8056178571429,422.278607142857,23.9223357142857,999.992428571429,89.0595928571429,0.100105489285714,27.5857714285714,27.5014357142857,999.9,0,0,9997.18857142857,0,0.281038,-1.40120321428571,428.919964285714,430.349607142857,0.0130475571428571,420.104785714286,23.8056178571429,2.12128107142857,2.12011821428571,18.3798785714286,18.3711428571429,0,0,0,0,-1.44642857142857,0,-5.53571428571429,-1.91071428571429,35.6271785714286,41.9953928571428,38.4148571428571,41.9216071428571,36.7898571428571,0,0,0,1677800213.5,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.40304195121951,0.0126702439024412,0.0173552657672327,1,0.0136109317073171,-0.01315146271777,0.00168277195046961,1,2,2,"2/2",3.92139,2.72094,0.0928621,0.0916255,0.104824,0.102718,28743.2,28870.7,29464.5,29404.3,34954.9,35070.5,41515.6,41903.9,2.6002,2.07962,0.0531673,0,26.6305,999.9,46.4,33.3,26.7678,62.2974,27.0913,3,0.113061,-0.163984,20.3548,5.22717,12.0102,4.9912,3.29,9999,9999,9999,999.9,1.86783,1.86689,1.8663,1.86615,1.868,1.87044,1.86917,1.87049,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.575,-0.1037,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.6,83.5,1.58081,2.24365,2.64648,3.00171,3.04443,2.48535,40.2474,24.1138,18,1148.72,582.996,26.5442,29.0539,29.9991,28.9836,28.9238,31.6467,0,100,26.7088,420.1,24.9968,100.777,100.637,4
10,1677800218.1,45,2023-03-02 17:36:58,17:36:58,5,"poa_pra17_t1_ch4","stan",1677800210.6,3.76224275602471e-05,0.0376224275602471,3.72163844277773,418.728737810723,-2417.30627285622,-215.52474283495,37.3334585474875,0.00207904674511244,3.27327121884434,0.00207831339976963,0.00129901173985982,0,27.5729086967457,27.4977481481481,3.68513746990411,57.347008397659,2.12372311894591,3.70328492851705,1.5614143509582,-1.6591490554069,14.8194407034296,0.982351118634538,14.1426427666572,3.72163844277773,0.0376224275602471,3.4451355435386,430.355382463093,429.017484848485,0.013885656656771,64.8923524884626,0.0517768704979574,23.8060590650818,23.8247006060606,1.95615865721558e-05,85.6908683486085,0,0,1,0,47006,0,0,0,0,3.7,0.5,"0: Broadleaf",2,FALSE,1677800210.6,418.728740740741,420.111592592593,23.8194888888889,23.8059,422.303777777778,23.9231518518518,999.987851851852,89.0589703703704,0.100084588888889,27.5817259259259,27.4977481481481,999.9,0,0,9997.98148148148,0,0.281038,-1.38294518518519,428.945925925926,430.356666666667,0.0135907814814815,420.111592592593,23.8059,2.12133888888889,2.12012851851852,18.3803185185185,18.3712259259259,0,0,0,0,-4.81481481481481,0,-9.25925925925926,-2.48148148148148,35.6456666666667,41.9905925925926,38.4301111111111,41.8954814814815,36.7935925925926,0,0,0,1677800218.9,0,0,"--:--:--",1675442540.1,1677795205.1,0,-0.357,0,-3.225,-0.112,420,23,0.26,0.3,-1.39633,0.151632334494772,0.0240752087851545,0,0.0136427048780488,-0.00203461672473866,0.00180045171621324,1,1,2,"1/2",3.92136,2.72112,0.0928778,0.0916217,0.104845,0.102726,28743.5,28871,29465.3,29404.4,34955,35070.5,41516.7,41904.3,2.60125,2.07975,0.0534728,0,26.6246,999.9,46.4,33.3,26.7675,62.2774,27.1154,3,0.111796,0.0505855,20.3551,5.22687,12.0102,4.99115,3.29,9999,9999,9999,999.9,1.86783,1.86688,1.8663,1.86617,1.868,1.87043,1.86915,1.87049,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-3.576,-0.1036,-1.89784729924781,-0.00451174484931966,1.46505025703993e-06,-4.39761560098343e-10,-0.145262733932075,-0.0202099247742398,0.00154202759692722,-2.61068131038804e-05,2,2351,1,28,39294.6,83.5,1.58081,2.24487,2.64648,3.00171,3.04443,2.4707,40.2728,24.1138,18,1149.89,583.031,26.7051,29.0433,29.999,28.9762,28.9177,31.6469,0,100,26.7094,420.1,24.9968,100.779,100.637,4
