"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccCO2_soda","CO2_hrs","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1677709937.1,0,2023-03-01 16:32:17,16:32:17,5,"bou_cur18_t1_ch4_dr","gibson",1677709934.1,0.00026868961246418,0.268689612464187,1.30414436068448,419.598545037903,278.260568230274,24.8575138369422,37.4834878889812,0.0158535894456242,4.13634647469884,0.0158199097363814,0.00989046355132438,0,27.7039270959914,27.3869727272727,3.66131781944871,58.6446154129879,2.19380515473561,3.74084669033358,1.4675126647131,-11.8492119096707,81.9378355183342,4.29950874569188,74.3881323543554,1.46218522243338,0.0912516277977542,1.30414436068448,430.599895629916,430.190927272727,0.00111077368970931,67.4103818523499,0.268689612464187,24.531763176136,24.5667163636364,0.00606423825754641,102.141798509975,6,1,1,0,47244,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709934.1,419.598545454545,420.051545454546,24.5579454545455,24.5310727272727,420.265363636364,24.4693909090909,500.158090909091,89.2317,0.100087090909091,27.7544090909091,27.3869727272727,999.9,0,0,10004.4409090909,0,0.278209,-0.452853181818182,430.162454545455,430.615,0.0268731545454545,420.051545454546,24.5310727272727,2.19134909090909,2.18894818181818,18.8991818181818,18.8816727272727,0,0,0,0,1,0,6.68181818181818,-1.20909090909091,41.1419090909091,46.1306363636364,44.0056363636364,44.5281818181818,41.812,0,0,0,1677709937.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.411401425,-0.456358727954972,0.0591386457521169,0,-0.2172662625,1.67559578814259,0.168069975558875,0,0,2,"0/2",2.84247,2.71029,0.0897336,0.0896457,0.103047,0.102102,26279.4,22196.9,25843.3,23753.9,39614.3,35292.8,46782,42364.2,1.75025,1.7893,0.0428483,0,26.6747,999.9,57.905,33.334,33.4087,53.6866,43.4255,1,0.151413,0.837391,20.2449,5.23436,11.992,4.9559,3.304,9999,9999,999.9,9999,1.86871,1.86438,1.87195,1.86294,1.86233,1.86873,1.85883,1.86513,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0889,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37836.6,37836.5,1.0437,2.37671,1.44775,2.30103,1.44409,2.47192,40.2474,23.9562,18,421.7,431.397,25.7942,29.5282,29.9984,29.3263,29.3145,20.958,42.8043,78.2781,25.8773,419.992,24.2996,98.9653,99.6088,4
2,1677709942.1,5,2023-03-01 16:32:22,16:32:22,5,"bou_cur18_t1_ch4_dr","gibson",1677709939.6,0.00037051211771886,0.370512117718869,1.37048464151158,419.628999559267,309.599277422795,27.6558022614148,37.4845081408835,0.0219486686448055,4.13578033397481,0.021884161781732,0.0136833808981789,0,27.6771336058926,27.3689888888889,3.65746352294043,58.6929111083536,2.19463059589522,3.73917489259254,1.46283292704521,-16.3395843914021,84.2299496692125,4.41982199960809,72.3101872774185,1.21492743917437,0.443497175021766,1.37048464151158,430.613134135187,430.192854545454,-0.00080347967297696,67.4103818523499,0.370512117718869,24.4569933249627,24.5649460606061,0.00015985702374862,102.141798509975,6,1,1,0,46940,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709939.6,419.629,420.052,24.5683,24.4376888888889,420.295888888889,24.4793555555556,500.131888888889,89.2276666666667,0.1000685,27.7467555555556,27.3689888888889,999.9,0,0,10003.0555555556,0,0.278209,-0.422868444444444,430.198333333333,430.574222222222,0.130618544444444,420.052,24.4376888888889,2.19217111111111,2.18051888888889,18.9052333333333,18.8198777777778,0,0,0,0,2.57777777777778,0,2.48888888888889,-1.91111111111111,41.125,46.125,43.986,44.5,41.7706666666667,0,0,0,1677709941.9,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.42823035,-0.25682503564728,0.0540403526767498,0,-0.0903245725,1.84762245230769,0.179748846152256,0,0,2,"0/2",2.84259,2.70999,0.0897344,0.089631,0.103032,0.101764,26280,22197.9,25843.8,23754.6,39615.3,35307.1,46782.4,42365.4,1.75088,1.78873,0.0429228,0,26.6657,999.9,57.856,33.314,33.3396,54.3266,43.0609,1,0.151214,0.760463,20.2454,5.23331,11.992,4.95575,3.304,9999,9999,999.9,9999,1.86866,1.86441,1.87195,1.86295,1.86234,1.86873,1.85883,1.86511,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0888,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37836.7,37836.6,1.04492,2.38892,1.44775,2.30225,1.44409,2.41943,40.2474,23.9562,18,422.046,431.036,25.9036,29.524,29.9994,29.3251,29.3124,20.9568,43.4482,77.8748,25.9627,419.992,24.0635,98.9666,99.6116,4
3,1677709947.1,10,2023-03-01 16:32:27,16:32:27,5,"bou_cur18_t1_ch4_dr","gibson",1677709944.3,0.0006427893218853,0.642789321885307,1.61365866391049,419.577999479505,341.23135858778,30.4814806324333,37.4800215251601,0.0381146512316194,4.12320899528699,0.0379199921800629,0.0237174013900165,0,27.6251453173274,27.36788,3.65722598180627,58.640012239325,2.19259171330609,3.73907103627053,1.46463426850018,-28.347009095142,84.1147037651202,4.42719691668923,60.1948915866674,0.983986333275497,0.97184960447694,1.61365866391049,430.436874641768,430.074478787879,-0.0284795854271033,67.4103818523499,0.642789321885307,24.2798037813373,24.5176612121212,-0.00666406516193717,102.141798509975,6,1,1,0,46991,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709944.3,419.578,419.9982,24.54543,24.25921,420.2448,24.45736,500.1302,89.22792,0.09997987,27.74628,27.36788,999.9,0,0,9962.25,0,0.278209,-0.4201751,430.136,430.4404,0.2862311,419.9982,24.25921,2.190137,2.164597,18.89033,18.7026,0,0,0,0,-0.41,0,6.68,-0.97,41.0683,46.0683,43.9433,44.4622,41.7374,0,0,0,1677709946.7,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.438138682926829,0.17931512195122,0.0440592889679677,0,0.0381783682926829,1.69606698062718,0.169043416690466,0,0,2,"0/2",2.84238,2.71,0.0897205,0.0896361,0.102876,0.101095,26279.9,22197.8,25843.4,23754.7,39622.1,35333.5,46782.3,42365.5,1.75012,1.78913,0.0432432,0,26.6558,999.9,57.832,33.314,33.3284,54.5766,43.2412,1,0.151108,0.682293,20.2455,5.23331,11.992,4.95585,3.304,9999,9999,999.9,9999,1.86865,1.86439,1.87194,1.86292,1.86234,1.86871,1.85883,1.86512,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0866,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37836.7,37836.7,1.04492,2.3999,1.44775,2.30103,1.44409,2.37427,40.2474,23.9562,18,421.603,431.267,26.0029,29.5195,29.9998,29.3226,29.3111,20.9575,43.4482,77.8748,26.055,419.992,23.9999,98.9658,99.6119,4
4,1677709952.1,15,2023-03-01 16:32:32,16:32:32,5,"bou_cur18_t1_ch4_dr","gibson",1677709949.6,0.00058802024732144,0.588020247321446,1.37767941485345,419.516555113329,345.385640314742,30.8526453882474,37.4746196674994,0.0347270576263444,4.13554085064002,0.0345658635535828,0.0216180848202639,0,27.6334226617235,27.3576333333333,3.65503162444766,58.4475245954664,2.18509353091184,3.73855615962448,1.46993809353581,-25.9316929068758,86.1251467417574,4.51921096535249,64.7126648002342,1.20606771009121,1.21750537434408,1.37767941485345,430.415270741962,430.014533333333,-0.00529903011032696,67.4103818523499,0.588020247321446,24.1057644788563,24.4261933333333,-0.0202126283223292,102.141798509975,6,1,1,0,47031,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709949.6,419.516555555555,420.034888888889,24.4614333333333,24.1028444444444,420.183111111111,24.3766,500.144444444445,89.2281666666667,0.0999402,27.7439222222222,27.3576333333333,999.9,0,0,10002.2222222222,0,0.278209,-0.518517333333333,430.035777777778,430.408888888889,0.358576888888889,420.034888888889,24.1028444444444,2.18264888888889,2.15065333333333,18.8355111111111,18.5993888888889,0,0,0,0,0.744444444444445,0,5.38888888888889,-1.8,41.0344444444444,46.062,43.9094444444444,44.437,41.694,0,0,0,1677709952.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.454196097560976,-0.0892232613240425,0.052995686140963,1,0.175750173170732,1.45004624195122,0.14520323177951,0,1,2,"1/2",2.84241,2.71027,0.0897178,0.0896291,0.102623,0.100959,26280,22198.3,25843.4,23755,39633.5,35338.9,46782.4,42365.7,1.75102,1.78878,0.0432581,0,26.6468,999.9,57.807,33.314,33.312,54.4966,43.722,1,0.150635,0.607492,20.2459,5.23421,11.992,4.9559,3.304,9999,9999,999.9,9999,1.86866,1.86435,1.87195,1.86294,1.86233,1.86874,1.85883,1.86514,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0832,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37836.8,37836.8,1.04492,2.40234,1.44775,2.30103,1.44409,2.30591,40.2474,23.9474,18,422.104,431.038,26.1008,29.5149,29.9998,29.3211,29.3086,20.9574,43.7297,77.4885,26.1501,419.992,23.964,98.9661,99.6127,4
5,1677709957.1,20,2023-03-01 16:32:37,16:32:37,5,"bou_cur18_t1_ch4_dr","gibson",1677709954.3,0.00071261410986956,0.712614109869564,1.15685268223104,419.508299630526,364.48219774398,32.5584562361544,37.4738264276438,0.0419619359109379,4.13396155605732,0.0417267366735555,0.0261002320391251,0,27.6085083165857,27.35624,3.65473332630081,58.2893229149051,2.17899423892595,3.73823906327922,1.47573908737486,-31.4262822452478,86.0791323994672,4.51845785064924,59.1713080048686,1.13377594909316,1.14552153864727,1.15685268223104,430.355936257704,429.998145454545,-1.9987735404942e-05,67.4103818523499,0.712614109869564,24.0738067414666,24.3639533333333,-0.0110145986864178,102.141798509975,6,1,1,0,47293,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709954.3,419.5083,419.9957,24.39319,24.05577,420.1747,24.31098,500.1315,89.22796,0.10001387,27.74247,27.35624,999.9,0,0,9997.12,0,0.2846079,-0.4876098,429.997,430.3478,0.3373988,419.9957,24.05577,2.176555,2.146449,18.79076,18.56811,0,0,0,0,3.27,0,3.59,-1.28,41,46.0186,43.875,44.4246,41.687,0,0,0,1677709956.9,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.459993658536585,-0.311347860627179,0.0536475294730925,0,0.258140131707317,0.962622144250871,0.108290264238189,0,0,2,"0/2",2.84256,2.71023,0.0897239,0.0896301,0.102443,0.100645,26279.8,22198.1,25843.4,23754.8,39641.1,35351.3,46781.9,42365.7,1.75038,1.7888,0.0441521,0,26.6394,999.9,57.759,33.314,33.2815,53.8466,43.8381,1,0.150475,0.499504,20.2462,5.23421,11.992,4.9559,3.304,9999,9999,999.9,9999,1.86869,1.8644,1.87194,1.86292,1.86232,1.86874,1.85883,1.86515,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0808,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37836.9,37836.9,1.0437,2.39014,1.44775,2.30103,1.44409,2.3877,40.2474,23.9562,18,421.724,431.041,26.1973,29.5104,29.9998,29.3194,29.3069,20.9564,43.7297,77.4885,26.2517,419.992,23.948,98.9653,99.6123,4
6,1677709962.1,25,2023-03-01 16:32:42,16:32:42,5,"bou_cur18_t1_ch4_dr","gibson",1677709959.6,0.00074823479263365,0.74823479263365,1.57610834957754,419.516888385935,351.070201150943,31.3615164238695,37.4759399746075,0.0438011439884714,4.14037123573456,0.043545337217676,0.0272386942373055,0,27.6051825584719,27.3683555555556,3.65732785150536,58.1034184129522,2.17244603464781,3.73892981512347,1.48488181685755,-32.997154355144,84.2143210204287,4.41406338325193,55.6312300485367,0.988084804240968,1.24118507179574,1.57610834957754,430.277592253773,429.906787878788,-0.0242845851961642,67.4103818523499,0.74823479263365,23.9556978456874,24.2907109090909,-0.0157283744130465,102.141798509975,6,1,1,0,47236,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709959.6,419.516888888889,419.972444444444,24.3190111111111,23.9533666666667,420.183666666667,24.2396666666667,500.106333333333,89.2312666666667,0.0999164444444444,27.7456333333333,27.3683555555556,999.9,0,0,10017.5555555556,0,0.331069,-0.455373333333333,429.973555555555,430.279111111111,0.365626888888889,419.972444444444,23.9533666666667,2.17001333333333,2.13739,18.7426444444444,18.5006,0,0,0,0,1.01111111111111,0,4.93333333333333,-1.46666666666667,40.972,46,43.833,44.375,41.6318888888889,0,0,0,1677709961.7,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.459791975609756,-0.208987170731707,0.0548961476352806,0,0.324576658536585,0.446650264808362,0.0619551395775889,0,0,2,"0/2",2.84277,2.71046,0.0897181,0.0896334,0.10224,0.100538,26279.6,22197.9,25843,23754.7,39650,35355.3,46781.8,42365.4,1.75077,1.7889,0.0453368,0,26.6334,999.9,57.734,33.334,33.3056,54.0366,43.5337,1,0.149842,0.418783,20.2465,5.23391,11.992,4.95595,3.304,9999,9999,999.9,9999,1.86867,1.86441,1.87195,1.86295,1.86229,1.86873,1.85883,1.86513,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.078,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37837,37837,1.0437,2.37915,1.44775,2.30103,1.44409,2.47314,40.2474,23.9737,18,421.945,431.082,26.2986,29.5062,29.9997,29.3186,29.3044,20.9577,43.7297,77.1067,26.349,419.992,23.959,98.9646,99.6118,4
7,1677709967.1,30,2023-03-01 16:32:47,16:32:47,5,"bou_cur18_t1_ch4_dr","gibson",1677709964.3,0.00072875822058521,0.728758220585217,1.00919128758301,419.513199676335,370.398760176937,33.0892449708015,37.4768398953171,0.0424590331135321,4.13945023126062,0.042218562923837,0.0264080933823898,0,27.6156267097294,27.37633,3.659036442047,57.9420687835902,2.16727597293107,3.74041869479273,1.49176046911592,-32.1382375278081,83.9372112911695,4.40084248595848,56.1998162493199,1.17047543127552,1.0864326137218,1.00919128758301,430.2969715199,429.969587878788,0.0031643308283942,67.4103818523499,0.728758220585217,23.9418814018773,24.2385836363636,-0.0112573626084209,102.141798509975,6,1,1,0,47015,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709964.3,419.5132,420.0042,24.26034,23.94028,420.1801,24.18322,500.1293,89.23403,0.10008374,27.75245,27.37633,999.9,0,0,10014.255,0,0.333851,-0.4908723,429.944,430.306,0.3200664,420.0042,23.94028,2.164846,2.136287,18.70452,18.49235,0,0,0,0,2.33,0,3.25,-1.51,40.9559,45.9874,43.812,44.375,41.625,0,0,0,1677709967.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.485113390243902,0.0995387038327516,0.0302870985105733,1,0.348224707317073,-0.0812322439024388,0.0208815614676913,1,2,2,"2/2",2.84285,2.71041,0.0897265,0.0896416,0.102098,0.100506,26280.1,22198.1,25843.7,23755.1,39656.9,35357.3,46782.5,42366.3,1.75117,1.78832,0.0460371,0,26.6278,999.9,57.716,33.334,33.2959,53.9866,43.097,1,0.149715,0.370044,20.2467,5.23391,11.992,4.9561,3.304,9999,9999,999.9,9999,1.86869,1.86435,1.87195,1.86293,1.86229,1.86871,1.85883,1.86512,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0762,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37837.1,37837,1.04492,2.37915,1.44775,2.30103,1.44409,2.44385,40.222,23.9562,18,422.161,430.726,26.3954,29.5021,29.9998,29.3169,29.3029,20.9565,43.7297,77.1067,26.4374,419.992,23.9711,98.9665,99.6137,4
8,1677709972.1,35,2023-03-01 16:32:52,16:32:52,5,"bou_cur18_t1_ch4_dr","gibson",1677709969.6,0.00075708841369978,0.757088413699784,1.64781395311562,419.487555025135,348.521588662297,31.1347234361997,37.4743758651072,0.0439272255294641,4.13307453266364,0.043669497297183,0.027316465407584,0,27.6187945087829,27.3887777777778,3.66170487358207,57.8101760304266,2.16344089212078,3.74231846480127,1.4982639814613,-33.3875990441605,82.9716023994547,4.35738579890763,53.9413891542019,1.31824371268362,0.982698792539228,1.64781395311562,430.284277925074,429.876933333334,-0.0212882359048304,67.4103818523499,0.757088413699784,23.9284778376808,24.2049278787879,-0.00733247716844706,102.141798509975,6,1,1,0,46940,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709969.6,419.487555555556,420.01,24.2175222222222,23.9280222222222,420.154222222222,24.1420555555556,500.151777777778,89.2336888888889,0.100012233333333,27.7611444444444,27.3887777777778,999.9,0,0,9993.6,0,0.333851,-0.522328777777778,429.898888888889,430.306333333333,0.289498777777778,420.01,23.9280222222222,2.16101666666667,2.13518555555556,18.6762333333333,18.4841222222222,0,0,0,0,1.21111111111111,0,1.86666666666667,-2.24444444444444,40.9232222222222,45.937,43.7706666666667,44.347,41.597,0,0,0,1677709971.9,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.484175585365854,-0.0762011916376301,0.0304014859585287,1,0.33167287804878,-0.175146668989547,0.027604169645443,0,1,2,"1/2",2.84277,2.71008,0.0897186,0.0896448,0.102005,0.100488,26279.8,22198.2,25843.2,23755.3,39660.5,35358.1,46781.8,42366.4,1.7507,1.7889,0.0474155,0,26.6222,999.9,57.691,33.334,33.2807,53.7866,43.097,1,0.149355,0.332072,20.2468,5.23421,11.992,4.95625,3.304,9999,9999,999.9,9999,1.86868,1.86436,1.87192,1.86293,1.86232,1.86871,1.85883,1.86517,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0749,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37837.2,37837.1,1.04492,2.3877,1.44775,2.30103,1.44409,2.41577,40.222,23.9562,18,421.885,431.062,26.4834,29.4977,29.9999,29.3161,29.3017,20.9538,43.7297,76.7293,26.5209,419.992,23.9786,98.9649,99.6143,4
9,1677709977.1,40,2023-03-01 16:32:57,16:32:57,5,"bou_cur18_t1_ch4_dr","gibson",1677709974.3,0.00080854377089773,0.808543770897738,1.29907698579564,419.510099582971,363.975315847629,32.5152314269886,37.476354521826,0.0468036141907761,4.13338996889978,0.0465111718415603,0.0290956046504802,0,27.6142266884066,27.39756,3.66358854121901,57.7345681688713,2.16125444701488,3.74343225482054,1.50233409420413,-35.6567802965903,82.1564004988261,4.31454367228399,50.8141638745198,1.13661699320594,0.915150576446577,1.29907698579564,430.272610865271,429.887242424243,-0.00342794471480937,67.4103818523499,0.808543770897738,23.9268286534638,24.1845793939394,-0.00268070564486978,102.141798509975,6,1,1,0,47063,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709974.3,419.5101,419.9692,24.19307,23.92344,420.1767,24.11854,500.1096,89.23372,0.0998969,27.76624,27.39756,999.9,0,0,9994.62,0,0.333851,-0.4592713,429.9107,430.2626,0.2696369,419.9692,23.92344,2.158837,2.134778,18.66009,18.48108,0,0,0,0,-2.5,0,7.4,-1.63,40.875,45.9122,43.75,44.312,41.562,0,0,0,1677709976.7,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.480016317073171,-0.0619015609756103,0.0473778062333497,1,0.312873341463415,-0.376570306620209,0.0380060182061131,0,1,2,"1/2",2.84275,2.71022,0.0897165,0.0896238,0.10195,0.100441,26280.3,22198.8,25843.5,23755.3,39663.7,35360,46782.7,42366.5,1.75108,1.7889,0.047937,0,26.6182,999.9,57.667,33.334,33.2676,54.0366,43.4736,1,0.149294,0.304858,20.2469,5.23361,11.992,4.9561,3.304,9999,9999,999.9,9999,1.86867,1.86434,1.87194,1.86293,1.86231,1.86874,1.85883,1.86517,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0741,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37837.2,37837.2,1.04492,2.40234,1.44775,2.30103,1.44409,2.35107,40.222,23.9562,18,422.088,431.045,26.5634,29.4926,29.9998,29.3144,29.2994,20.9558,43.7297,76.7293,26.5948,419.992,23.9876,98.9666,99.6143,4
10,1677709982.1,45,2023-03-01 16:33:02,16:33:02,5,"bou_cur18_t1_ch4_dr","gibson",1677709979.6,0.00086972794654139,0.869727946541395,0.327064988527952,419.576444339421,397.707270675944,35.5285116244266,37.482157554507,0.0502197725503845,4.13259460378162,0.0498831833093052,0.0312070425079078,0,27.6142212368197,27.4098444444444,3.66622480683016,57.647772378405,2.15945836012138,3.74595282875201,1.50676644670878,-38.3550024424755,81.971761410678,4.3061872779566,47.9229462461591,0.923927408998526,0.924131406668337,0.327064988527952,430.28006938621,430.018212121212,0.0334297352594043,67.4103818523499,0.869727946541395,23.90103256483,24.1657187878788,-0.00116100288167571,102.141798509975,6,1,1,0,47062,0,0,0,0,1.51,0.5,"0: Broadleaf",2,TRUE,1677709979.6,419.576444444444,419.972444444444,24.1730444444444,23.9007888888889,420.243111111111,24.0992555555556,500.157444444444,89.2332777777778,0.1000441,27.7777666666667,27.4098444444444,999.9,0,0,9992.08888888889,0,0.333851,-0.396142111111111,429.970111111111,430.255888888889,0.272234,419.972444444444,23.9007888888889,2.15703777777778,2.13274777777778,18.6467666666667,18.4658888888889,0,0,0,0,2.21111111111111,0,2.97777777777778,-0.866666666666667,40.861,45.875,43.708,44.312,41.562,0,0,0,1677709982.1,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.477064292682927,0.275593630662021,0.0512519916339933,0,0.29360312195122,-0.241601707317073,0.0261352371630811,0,0,2,"0/2",2.84275,2.71024,0.0897425,0.0896273,0.101899,0.100412,26280.2,22198.6,25844.2,23755.2,39666.6,35361.2,46783.4,42366.5,1.75123,1.78852,0.0490844,0,26.6151,999.9,57.643,33.334,33.2494,53.7766,43.8662,1,0.148704,0.277328,20.247,5.23391,11.992,4.9561,3.304,9999,9999,999.9,9999,1.8687,1.86437,1.87194,1.86291,1.86232,1.86871,1.85883,1.86514,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,-0.667,0.0734,-0.449526390663492,-0.00045667247989451,-2.21365350958526e-07,1.84888403153662e-10,-0.197711437061854,-0.0333103742742511,0.00251728688622488,-2.77030255956622e-05,2,1893,1,30,37837.3,37837.3,1.04492,2.40234,1.44775,2.30103,1.44409,2.30347,40.222,23.9737,18,422.164,430.809,26.6347,29.4885,29.9998,29.3132,29.2979,20.9575,43.7297,76.7293,26.6635,419.992,23.9909,98.9685,99.6143,4
