"obs","time..2","elapsed","date","hhmmss..5","averaging","machine","id","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1677879099.1,0,2023-03-03 15:31:39,15:31:39,5,"albert","sch_sco21_t3_ch4",1677879096.35,0.0003697505089105,0.369750508910504,-1.19680100863536,420.640000813859,497.723600065631,44.440773800037,37.5581288991543,0.021380470015874,3.44203143712366,0.0213069624791671,0.013323434741103,0,27.300641792826,27.42929,3.67040124536393,59.32552714591,2.17163022353758,3.66053253635067,1.49877102182635,-16.3059974429532,-8.53236141058226,-0.537146474309764,-25.3755053278453,-1.26320246841315,0.375098944025722,-1.19680100863536,430.296963414473,431.097921212121,-0.00302304851132969,63.6583051697119,0.369750508910504,24.0863665474042,24.3188139393939,-0.00012120099774448,100.1593271064,0,0,1,0,47162,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879096.35,420.64,419.9304,24.32162,24.08669,417.2076,23.98219,500.0565,89.18824,0.09981826,27.38331,27.42929,999.9,0,0,10008.883,0,0.2537545,0.709671,431.1258,430.2946,0.2349106,419.9304,24.08669,2.169203,2.148251,18.73666,18.58153,0,0,0,0,-5.83,0,1.775,-0.815,34.9372,38.2437,36.3435,36.4685,35.1121,0,0,0,1677879102.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.697995853658537,0.0993181254355396,0.0284842181426504,1,0.251646121951219,-0.141454390243902,0.0144078432488242,0,1,2,"1/2",2.97686,2.72827,0.0841069,0.0849765,0.106095,0.106254,27307.3,26959.1,30354.9,29722.1,37459.8,34977.4,46452.6,44202.6,1.8525,1.82315,0.0255927,0,27.0185,999.9,47.3,32.6,26.2,63.1009,18.2933,1,0.16581,0.462557,20.2198,5.23945,11.974,4.97315,3.291,9999,9999,9999,999.9,4.97302,1.87741,1.87546,1.87834,1.875,1.87862,1.87563,1.87683,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3393,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.2,1392.9,1.12793,2.56348,1.39893,2.36206,1.44897,2.39624,39.1428,24.2276,18,495.469,448.652,26.5936,29.3917,29.9999,29.0313,29.0616,22.6204,14.9508,100,26.6356,419.968,24.1089,100.373,101.639,4
2,1677879104.1,5,2023-03-03 15:31:44,15:31:44,5,"albert","sch_sco21_t3_ch4",1677879101.6,0.00035957584541387,0.359575845413872,-1.27133301602724,420.632223088852,505.954110022131,45.1742711725315,37.5562797758267,0.0207761655790452,3.44396212229355,0.0207067860931145,0.0129479553687377,0,27.3053935886243,27.4317555555556,3.67093108399874,59.3054691516451,2.17120552406116,3.66105446111446,1.49972555993758,-15.8572947827518,-8.54292376294961,-0.537523071093669,-24.937741616795,-1.24490369166076,0.360542073696901,-1.27133301602724,430.30840275961,431.136963636364,0.00169015349197045,63.6583051697119,0.359575845413872,24.0923089847635,24.31754,-3.50336622889487e-06,100.1593271064,0,0,1,0,47009,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879101.6,420.632222222222,419.930444444445,24.3176111111111,24.0918,417.199888888889,23.9782888888889,500.062333333333,89.1855555555556,0.0997576333333333,27.3857444444444,27.4317555555556,999.9,0,0,10017.2777777778,0,0.249617111111111,0.701958555555555,431.115888888889,430.297111111111,0.225803333333333,419.930444444445,24.0918,2.16878222222222,2.14864222222222,18.7335444444444,18.5844444444444,0,0,0,0,-1.36666666666667,0,-5.94444444444444,-2.06111111111111,34.7637777777778,38.187,36.2357777777778,36.4372222222222,35.0831111111111,0,0,0,1677879107.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.703497219512195,0.0381623205574926,0.0235527056542288,1,0.23878412195122,-0.0970723902439024,0.00962815031547197,1,2,2,"2/2",2.97696,2.72848,0.084108,0.0849764,0.106086,0.106275,27307.4,26959.3,30354.9,29722.4,37460,34976.9,46452.4,44203,1.85228,1.8239,0.0267476,0,27.0025,999.9,47.3,32.6,26.2011,63.3209,17.9808,1,0.165244,0.427998,20.2201,5.2393,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97302,1.87738,1.87546,1.87834,1.875,1.87863,1.87563,1.87683,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3393,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.3,1393,1.12915,2.55615,1.39893,2.36206,1.44897,2.48779,39.1428,24.2276,18,495.334,449.125,26.6432,29.3861,29.9997,29.0301,29.0616,22.6228,14.9508,100,26.6829,419.968,24.1105,100.373,101.64,4
3,1677879109.1,10,2023-03-03 15:31:49,15:31:49,5,"albert","sch_sco21_t3_ch4",1677879106.3,0.00034871776168791,0.348717761687915,-1.10655697444049,420.604500752773,496.126783552724,44.2962055623774,37.5532707433965,0.0201127102751068,3.44076543356406,0.0200476234074843,0.0125355947751484,0,27.3104875105149,27.44356,3.67346873973227,59.2972691577213,2.17125313068719,3.66164101910326,1.50221560904508,-15.3784532904371,-10.2172599166712,-0.643516743055514,-26.2392299501638,-1.14797721818714,0.347997007363534,-1.10655697444049,430.336338539999,431.06963030303,-0.00118283341282535,63.6583051697119,0.348717761687915,24.1023992382841,24.3203939393939,5.96295054781104e-05,100.1593271064,0,0,1,0,47167,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879106.3,420.6045,419.9615,24.31849,24.10052,417.1721,23.97915,500.0252,89.18392,0.10012398,27.38848,27.44356,999.9,0,0,10004.062,0,0.2398255,0.6430878,431.0879,430.3327,0.2179764,419.9615,24.10052,2.16882,2.149378,18.73383,18.58993,0,0,0,0,-1.875,0,-6.58,-1.545,34.631,38.1312,36.3311,36.4371,35.0498,0,0,0,1677879112.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.694671675,-0.259800866791745,0.0387286981070804,0,0.2307057,-0.0950621088180119,0.00924305352737936,1,1,2,"1/2",2.97723,2.72812,0.0841054,0.0849865,0.106094,0.106283,27307.3,26958.8,30354.7,29722.1,37459.6,34976.2,46452.3,44202.6,1.85263,1.8231,0.0278652,0,26.9882,999.9,47.3,32.6,26.1976,63.0609,18.113,1,0.16518,0.402004,20.2203,5.2393,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97301,1.87732,1.87546,1.8783,1.87498,1.87857,1.87561,1.8768,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3394,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.4,1393.1,1.12793,2.54639,1.39893,2.36084,1.44897,2.48901,39.1428,24.2364,18,495.522,448.62,26.6902,29.3797,29.9999,29.0288,29.0616,22.6215,14.9508,100,26.7228,419.968,24.113,100.373,101.639,4
4,1677879114.1,15,2023-03-03 15:31:54,15:31:54,5,"albert","sch_sco21_t3_ch4",1677879111.6,0.00035555611753131,0.355556117531311,-1.24255385105532,420.66466751536,504.947546139557,45.0836393893005,37.5585430983378,0.0205225147201377,3.4383233709484,0.0204547053578087,0.0127902644776597,0,27.3130140277425,27.4386777777778,3.67241900036599,59.2821655271084,2.17122247391456,3.6625222014228,1.50119652645143,-15.6800247831308,-8.5433539772826,-0.538468719530129,-24.7618474799436,-1.13305828260919,0.356521822118727,-1.24255385105532,430.408695857667,431.178642424242,0.0104385759724893,63.6583051697119,0.355556117531311,24.0933948268124,24.31646,-5.01494106361537e-05,100.1593271064,0,0,1,0,47026,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879111.6,420.664666666667,420.033555555555,24.3182111111111,24.0949,417.232333333333,23.9788777777778,500.021888888889,89.1840333333333,0.0997739333333333,27.3925888888889,27.4386777777778,999.9,0,0,9993.81777777778,0,0.243947555555556,0.631293444444444,431.149777777778,430.404222222222,0.223296333333333,420.033555555555,24.0949,2.16879444444444,2.14888111111111,18.7336666666667,18.5862222222222,0,0,0,0,-4.21111111111111,0,-2.28333333333333,-1.32222222222222,34.5343333333333,38.09,36.1664444444445,36.3607777777778,34.979,0,0,0,1677879117.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.670623780487805,-0.344736857142856,0.0442163761703143,0,0.225781219512195,-0.0532284878048781,0.00669315232345605,1,1,2,"1/2",2.97689,2.72814,0.0841184,0.084996,0.106085,0.106264,27307.2,26958.8,30355,29722.4,37460,34977.2,46452.4,44203,1.85217,1.82325,0.0286847,0,26.9739,999.9,47.3,32.6,26.1986,63.3409,18.3173,1,0.164594,0.382004,20.2204,5.2396,11.974,4.97295,3.291,9999,9999,9999,999.9,4.97303,1.87731,1.87546,1.87828,1.87498,1.87855,1.87561,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3393,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.5,1393.2,1.12793,2.55859,1.39893,2.36084,1.44897,2.40479,39.1428,24.2276,18,495.269,448.715,26.7309,29.3734,29.9998,29.0288,29.0616,22.6185,14.9508,100,26.7651,419.968,24.1175,100.373,101.64,4
5,1677879119.1,20,2023-03-03 15:31:59,15:31:59,5,"albert","sch_sco21_t3_ch4",1677879116.3,0.00034993084221734,0.349930842217347,-1.06870732551798,420.648900727504,492.958962414468,44.0142085143077,37.5579507414821,0.0201663002035005,3.43995373984661,0.0201008512518729,0.0125688945606168,0,27.3165491200579,27.44764,3.67434619205104,59.2647987188286,2.17087129732514,3.66300290265804,1.5034748947259,-15.431950141785,-9.79386724985356,-0.617027760093761,-25.8428451517323,-1.14180983325361,0.353379073644989,-1.06870732551798,430.382111045551,431.101272727273,-0.00354827735483389,63.6583051697119,0.349930842217347,24.0924423327264,24.3119096969697,-3.87226877900633e-05,100.1593271064,0,0,1,0,47153,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879116.3,420.6489,420.0113,24.31375,24.0924,417.2162,23.97451,500.0075,89.18588,0.09986561,27.39483,27.44764,999.9,0,0,10000.441,0,0.262029,0.6376832,431.1314,430.3802,0.221352,420.0113,24.0924,2.168441,2.148703,18.73106,18.58489,0,0,0,0,-0.85,0,-6.94,-1.905,34.4872,38.062,36.1434,36.3497,34.9184,0,0,0,1677879122.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.656640073170732,-0.310056501742159,0.0426375200489132,0,0.222926024390244,-0.0221073031358875,0.00434404029361789,1,1,2,"1/2",2.9772,2.72841,0.0841121,0.0849817,0.106073,0.106261,27307.3,26959.1,30354.9,29722.2,37460.4,34977.2,46452.3,44202.8,1.85238,1.823,0.0303611,0,26.9607,999.9,47.3,32.6,26.1967,63.2309,17.9968,1,0.164515,0.350242,20.2204,5.23945,11.974,4.9731,3.291,9999,9999,9999,999.9,4.97301,1.87733,1.87545,1.87824,1.87494,1.87853,1.8756,1.8768,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.433,0.3392,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.6,1393.3,1.12793,2.55249,1.39893,2.36084,1.44897,2.49512,39.1428,24.2276,18,495.365,448.554,26.7714,29.3671,29.9998,29.0264,29.0611,22.6169,14.9508,100,26.8026,419.968,24.1267,100.373,101.639,4
6,1677879124.1,25,2023-03-03 15:32:04,15:32:04,5,"albert","sch_sco21_t3_ch4",1677879121.6,0.00034475292756593,0.344752927565932,-1.09228368506319,420.637445186153,496.244869705256,44.3072620972316,37.5566472714214,0.0198243685806557,3.44252489341264,0.0197611635860854,0.0123563890697139,0,27.3209762211571,27.4604111111111,3.67709395320895,59.2417608012669,2.17043593110773,3.66369247259328,1.50665802210122,-15.2036041056576,-11.5748418414146,-0.728745243365435,-27.5071911904376,-1.12916596897204,0.348881339050854,-1.09228368506319,430.384359095874,431.105963636363,-0.00068151502228526,63.6583051697119,0.344752927565932,24.0901970348007,24.3065290909091,-5.52659284036701e-05,100.1593271064,0,0,1,0,47219,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879121.6,420.637444444444,420.006777777778,24.3090555555556,24.0905333333333,417.204777777778,23.9699222222222,500.033888888889,89.1851333333333,0.0999450666666667,27.3980444444444,27.4604111111111,999.9,0,0,10011.3,0,0.246552444444444,0.630601666666667,431.117333333333,430.374666666667,0.218493888888889,420.006777777778,24.0905333333333,2.16800444444444,2.14851777777778,18.7278222222222,18.5835222222222,0,0,0,0,-1.51666666666667,0,-6.36666666666667,-1.52777777777778,34.5483333333333,38,36.0554444444444,36.2706666666667,34.9025555555556,0,0,0,1677879127.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.637871756097561,-0.0805571498257825,0.0327996041497384,1,0.220230951219512,-0.00034712195121925,0.00243086183603946,1,2,2,"2/2",2.97721,2.72825,0.0841091,0.0849853,0.106055,0.106255,27307.8,26959,30355.3,29722.2,37461.9,34977.3,46453.2,44202.7,1.85252,1.82307,0.0314787,0,26.9486,999.9,47.3,32.6,26.1994,62.9709,18.1931,1,0.16393,0.340493,20.2206,5.239,11.974,4.973,3.291,9999,9999,9999,999.9,4.97303,1.87735,1.87546,1.87826,1.87497,1.87855,1.87561,1.87682,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.433,0.3391,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.7,1393.3,1.12793,2.54761,1.39893,2.36084,1.44897,2.48047,39.1428,24.2364,18,495.445,448.586,26.8091,29.3608,29.9998,29.0257,29.0591,22.6158,14.9508,100,26.8311,419.968,24.1426,100.375,101.639,4
7,1677879129.1,30,2023-03-03 15:32:09,15:32:09,5,"albert","sch_sco21_t3_ch4",1677879126.3,0.00033765289177826,0.337652891778265,-1.13699078960243,420.614500775938,501.762460127703,44.7996314503129,37.5543730645444,0.0193996012353551,3.44289321298684,0.0193390777399001,0.0120923455544875,0,27.3267667471485,27.46396,3.677857830708,59.2162646345965,2.17003490103587,3.66459268315287,1.50782292967213,-14.8904925274215,-11.4560503392178,-0.721216925688113,-27.0677597923275,-1.14635931416043,0.341091739244994,-1.13699078960243,430.328998460999,431.079351515151,-0.00053939673742992,63.6583051697119,0.337652891778265,24.0916619004045,24.3033278787879,-2.51186031583972e-05,100.1593271064,0,0,1,0,46976,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879126.3,420.6145,419.9707,24.30471,24.09107,417.1821,23.96567,500.0436,89.18483,0.09971201,27.40224,27.46396,999.9,0,0,10012.878,0,0.2458936,0.6434906,431.0919,430.3381,0.2136219,419.9707,24.09107,2.167611,2.148558,18.72492,18.58382,0,0,0,0,-3.565,0,-7.655,-2.145,33.9872,37.9874,35.9998,36.2496,34.8372,0,0,0,1677879132.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.63598105,0.068599902439023,0.0212443837471813,1,0.2193532,-0.0326994371482177,0.00359377957866088,1,2,2,"2/2",2.97702,2.7283,0.0841044,0.0849831,0.106046,0.106264,27307.8,26959.2,30355.2,29722.4,37462,34977.4,46452.9,44203.2,1.85245,1.82342,0.0320747,0,26.9351,999.9,47.3,32.6,26.1959,63.2809,18.2492,1,0.163887,0.333815,20.2225,5.23781,11.974,4.9729,3.291,9999,9999,9999,999.9,4.97303,1.87735,1.87546,1.87831,1.87499,1.87855,1.87561,1.87681,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.339,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.7,1393.4,1.12793,2.56592,1.39893,2.36084,1.44897,2.41821,39.1428,24.2276,18,495.39,448.806,26.8371,29.3545,29.9998,29.0238,29.0591,22.6165,14.9508,100,26.8561,419.968,24.1484,100.374,101.64,4
8,1677879134.1,35,2023-03-03 15:32:14,15:32:14,5,"albert","sch_sco21_t3_ch4",1677879131.6,0.00033350983543283,0.333509835432837,-1.4151409718268,420.608667630788,525.849396791839,46.9498841227066,37.55358155158,0.0191659291290509,3.43824734408648,0.0191067729307599,0.011947032723879,0,27.3336249905851,27.4608555555556,3.67718960968166,59.18796546162,2.1697634105804,3.66588612002109,1.50742619910125,-14.7077837425881,-9.74802321027215,-0.614526086100454,-25.0703330389607,-1.17446757125712,0.334904388917284,-1.4151409718268,430.303142237007,431.13223030303,0.0224119228986266,63.6583051697119,0.333509835432837,24.0916318527334,24.3006848484848,-2.07704389135976e-05,100.1593271064,0,0,1,0,47147,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879131.6,420.608666666667,419.945111111111,24.3018444444444,24.0920666666667,417.176111111111,23.9629,500.013666666667,89.1837,0.100198411111111,27.4082666666667,27.4608555555556,999.9,0,0,9993.53666666667,0,0.246858888888889,0.663465888888889,431.084666666667,430.312111111111,0.209798555555556,419.945111111111,24.0920666666667,2.16732888888889,2.14861666666667,18.7228333333333,18.5842666666667,0,0,0,0,-4.25,0,-7.7,-1.22222222222222,34.1108888888889,38.083,36.1317777777778,36.4858888888889,34.9164444444444,0,0,0,1677879137.1,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.644791097560976,0.0850312891986069,0.0231487731970199,1,0.216043,-0.0472987735191633,0.0047433572087453,1,2,2,"2/2",2.97734,2.72821,0.0841135,0.0849854,0.106038,0.106264,27307.5,26959.5,30355.1,29722.8,37462.1,34977.8,46452.7,44203.8,1.85247,1.82327,0.0327826,0,26.9235,999.9,47.3,32.6,26.1989,63.2909,17.9247,1,0.163262,0.324308,20.2224,5.23721,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97304,1.87739,1.87546,1.87834,1.875,1.87859,1.87563,1.87683,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3389,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.8,1393.5,1.12793,2.55493,1.39893,2.36084,1.44897,2.5061,39.118,24.2364,18,495.392,448.712,26.8622,29.3482,29.9997,29.0219,29.0591,22.6146,14.9508,100,26.8836,419.968,24.161,100.374,101.642,4
9,1677879139.1,40,2023-03-03 15:32:19,15:32:19,5,"albert","sch_sco21_t3_ch4",1677879136.3,0.00032839263082082,0.328392630820821,-1.12312598346626,420.652100767492,503.298587259752,44.936441136594,37.5574437195219,0.0188552544877281,3.43818315017101,0.0187979964001006,0.0117538775827118,0,27.3374224122628,27.46574,3.67824101740518,59.1735238325888,2.16957103859968,3.66645570194153,1.50866997880549,-14.4821150191982,-10.1613984701631,-0.640621785874386,-25.2841352752356,-1.14362202108058,0.329441151715074,-1.12312598346626,430.401655641005,431.136078787878,0.00096460094220147,63.6583051697119,0.328392630820821,24.0935975908916,24.2993278787879,-5.17070068556174e-06,100.1593271064,0,0,1,0,47006,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879136.3,420.6521,420.0069,24.2997,24.09335,417.2196,23.9608,500.0286,89.18393,0.09993106,27.41092,27.46574,999.9,0,0,9993.242,0,0.2392738,0.6452209,431.1285,430.376,0.2063322,420.0069,24.09335,2.167141,2.14874,18.72147,18.58516,0,0,0,0,-1.73,0,-9.03,-1.905,34.1624,38.2185,36.2496,36.6434,34.981,0,0,0,1677879142.5,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.6457131,0.0148633170731716,0.0243044566497587,1,0.212477925,-0.0491675009380868,0.00479541992628122,1,2,2,"2/2",2.97715,2.72839,0.084113,0.0849815,0.106035,0.10627,27307.5,26959.7,30355,29722.8,37462.1,34977.5,46452.6,44203.7,1.8526,1.82342,0.0339001,0,26.9126,999.9,47.3,32.6,26.1977,63.2709,18.3333,1,0.162802,0.294589,20.2225,5.23661,11.974,4.97305,3.291,9999,9999,9999,999.9,4.97303,1.87737,1.87546,1.87832,1.87498,1.87857,1.87562,1.87681,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3389,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223517.9,1393.6,1.12793,2.55249,1.39893,2.36084,1.44897,2.44995,39.118,24.2364,18,495.454,448.803,26.8866,29.3419,29.9996,29.0207,29.0586,22.6157,14.9508,100,26.9081,419.968,24.1704,100.373,101.642,4
10,1677879144.1,45,2023-03-03 15:32:24,15:32:24,5,"albert","sch_sco21_t3_ch4",1677879141.6,0.00032259350810633,0.322593508106332,-1.15256265200225,420.643000785081,507.616591733522,45.3227741283385,37.557298212303,0.0184957815219314,3.43858915031325,0.0184406888993765,0.0115303666535371,0,27.3419418045331,27.4750666666667,3.6802493704907,59.1603041075996,2.16949448934585,3.6671456005365,1.51075488114485,-14.2263737074893,-11.2958955666878,-0.712106254730163,-26.2343755289072,-1.15740179714767,0.325164836591937,-1.15256265200225,430.367302868778,431.125309090909,4.11718653030368e-05,63.6583051697119,0.322593508106332,24.0946676946598,24.2968987878788,-2.28892439863938e-05,100.1593271064,0,0,1,0,47150,0,0,0,0,3.21,0.5,"0: Broadleaf",2,TRUE,1677879141.6,420.643,419.987777777778,24.2984111111111,24.0947333333333,417.210666666667,23.9595333333333,500.013777777778,89.1853222222222,0.100124444444444,27.4141333333333,27.4750666666667,999.9,0,0,9994.78666666666,0,0.258045111111111,0.655239444444444,431.118666666667,430.357111111111,0.203673111111111,419.987777777778,24.0947333333333,2.16706111111111,2.14889666666667,18.7208555555556,18.5863222222222,0,0,0,0,-3.45555555555555,0,-5.55555555555555,-1.10555555555556,33.8817777777778,38.3816666666667,36.3886666666667,36.7984444444444,35.0622222222222,0,0,0,1677879147.3,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.6510567,0.0450929380863035,0.0249331551414978,1,0.20873255,-0.041017530956849,0.00403418165152487,1,2,2,"2/2",2.97715,2.72844,0.0841149,0.084983,0.106029,0.106273,27307.8,26959.8,30355.4,29722.9,37462.6,34977.5,46452.8,44203.9,1.85255,1.82345,0.0350922,0,26.903,999.9,47.3,32.6,26.1975,63.2209,18.113,1,0.162566,0.287462,20.2224,5.23571,11.974,4.97295,3.291,9999,9999,9999,999.9,4.97302,1.87743,1.87549,1.87835,1.875,1.87863,1.87563,1.87683,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.432,0.3388,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223518,1393.7,1.12793,2.56592,1.39893,2.36084,1.44897,2.43896,39.118,24.2276,18,495.413,448.803,26.9118,29.3356,29.9997,29.0189,29.0566,22.6152,14.6728,100,26.9269,419.968,24.1837,100.374,101.642,4
