"obs","Comments","time..2","elapsed","date","hhmmss","averaging","machine","id","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,NA,1677862521.5,0,2023-03-03 10:55:21,10:55:21,5,"albert","sch_sco20_t2_ch4",1677862513.75,0.00150506101221034,1.50506101221034,12.8153985764335,411.723891978077,168.454526638075,15.0883901477697,36.8779090672372,0.0881923422438328,3.53646467457338,0.0869884864020475,0.054474596572834,321.5147895,28.1050794987763,27.4753233333333,3.68030465320613,61.5066496039682,2.18129534089111,3.54643823868823,1.49900931231502,-66.3731906384761,-120.420790293641,-7.36037944609358,127.360429121789,12.8153985764335,1.50506101221034,13.1264911076589,429.749032985865,421.859787878788,-0.0149198553348254,63.5216758810404,1.51792563483791,23.4655903988339,24.3426418181818,-5.18687394246023e-05,100.007422885434,0,0,1,0,47302,1999.98866666667,1681.19079,0.840600158400898,0.160758305713732,2.96,0.5,"0: Broadleaf",2,FALSE,1677862513.75,411.7239,419.676933333333,24.3531,23.48386,408.317733333333,24.0129266666667,500.033133333333,89.46948,0.10003439,26.8437166666667,27.4753233333333,999.9,0,0,9996.91133333333,0,6.29688433333334,-7.953082,422.0008,429.7696,0.869234933333333,419.676933333333,23.48386,2.17885833333333,2.10108866666667,18.80771,18.2274333333333,1999.98866666667,0.9799952,0.0200048266666667,0,1.97292,0,6238.96366666666,17338.1,40.1330666666667,40.3078666666667,38.7372666666666,38.3708,38.4874,1959.97833333333,40.0103333333333,0,1677862524.4,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-7.9327465,-0.674978611632229,0.0758706312267796,0,0.860894725,0.194021707317073,0.0204246951347964,0,0,2,"0/2",2.97731,2.72793,0.0830387,0.0852472,0.106553,0.104724,27346.2,26997.6,30360.6,29771.4,37441.7,35090.5,46455.8,44270.5,1.84745,1.81393,0.0700653,0,26.3429,999.9,50.6,33.8,29.8841,63.297,23.758,1,0.145356,1.45109,20.1913,5.23376,11.9725,4.97155,3.29038,9999,9999,9999,999.9,4.97338,1.87791,1.87607,1.87887,1.87551,1.87908,1.87613,1.87731,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.406,0.3399,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241,1116.6,1.11328,2.5647,1.39893,2.36084,1.44897,2.41333,42.1386,24.035,18,490.809,441.066,24.0018,28.965,29.9998,28.7583,28.8191,22.3314,30.5505,95.0892,24.0067,413.052,23.4426,100.385,101.8,4
2,NA,1677862526.5,5,2023-03-03 10:55:26,10:55:26,5,"albert","sch_sco20_t2_ch4",1677862518.65517,0.00152153688474594,1.52153688474594,12.669394106066,411.63978517639,173.24260109932,15.5171672451727,36.87016559909,0.0890702781965317,3.53675425912558,0.0878426137519515,0.0550105246369215,321.515938551724,28.1029403159052,27.4807206896552,3.68146734255523,61.4870384532542,2.18079800527124,3.54676052080343,1.50066933728398,-67.0997766172959,-121.165116527476,-7.40552492581199,125.84552048114,12.669394106066,1.52153688474594,13.309821733517,429.668727958732,421.739509090909,-0.0305257379249093,63.5216758810404,1.51212598950517,23.4669633893423,24.3404606060606,-2.1894323324112e-05,100.007422885434,0,0,1,0,47317,1999.99586206897,1681.19683448276,0.840600156414117,0.160758301879245,2.96,0.5,"0: Broadleaf",2,FALSE,1677862518.65517,411.639793103448,419.510413793103,24.3476862068966,23.4689172413793,408.233965517241,24.0076448275862,500.028275862069,89.4691137931034,0.0998902896551724,26.8452620689655,27.4807206896552,999.9,0,0,9998.11931034483,0,6.39603379310345,-7.8705624137931,421.912344827586,429.592517241379,0.878767620689655,419.510413793103,23.4689172413793,2.17836551724138,2.09974310344828,18.8040862068965,18.2172379310345,1999.99586206897,0.979995275862069,0.0200047482758621,0,2.00183448275862,0,6237.98344827586,17338.1724137931,40.1182068965517,40.2927586206897,38.7412068965517,38.3878275862069,38.4869655172414,1959.98551724138,40.0103448275862,0,1677862529.2,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-7.941689,-0.201734634146331,0.122046158005895,0,0.86898585,0.125115714821766,0.0162606430923718,0,0,2,"0/2",2.97735,2.72814,0.0830048,0.084845,0.106543,0.104725,27347.1,27009.2,30360.5,29771,37441.7,35089.9,46455.2,44269.8,1.84745,1.81415,0.069961,0,26.3427,999.9,50.6,33.8,29.8849,62.857,23.5817,1,0.145175,1.4615,20.1907,5.22957,11.9733,4.9704,3.2895,9999,9999,9999,999.9,4.97337,1.87791,1.87607,1.87888,1.8755,1.8791,1.87617,1.87731,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.405,0.3399,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241,1116.7,1.08765,2.54883,1.39893,2.36084,1.44897,2.52075,42.1386,24.0437,18,490.809,441.206,24.0177,28.9624,30,28.7583,28.8191,21.7993,30.5505,95.0892,24.0186,399.536,23.4358,100.384,101.799,4
3,NA,1677862531.5,10,2023-03-03 10:55:31,10:55:31,5,"albert","sch_sco20_t2_ch4",1677862523.73214,0.00151853802609536,1.51853802609537,9.145651848483,411.073137133084,235.349863913481,21.079781091665,36.818936706991,0.0887891736807328,3.53612314504846,0.0875689742497446,0.0548388419242348,321.517169678571,28.1056591560527,27.4864214285714,3.68269573414779,61.4671792667004,2.18033063712397,3.54714607557266,1.50236509702382,-66.9675269508057,-121.877856373408,-7.45069774115932,125.221088613198,9.145651848483,1.51853802609537,13.2417859712188,422.402213576041,418.302054545454,-0.861757785383208,63.5216758810404,1.51873329692898,23.4646234473424,24.3416672727273,1.67203718186377e-05,100.007422885434,0,0,1,0,47314,2000.00357142857,1681.20331071429,0.840600154285439,0.160758297770897,2.96,0.5,"0: Broadleaf",2,FALSE,1677862523.73214,411.073142857143,416.856642857143,24.3427821428571,23.4657321428571,407.669,24.0028535714286,500.023357142857,89.4681214285714,0.09972765,26.8471107142857,27.4864214285714,999.9,0,0,9995.68678571428,0,6.07223214285714,-5.78343242857143,421.329392857143,426.873571428571,0.877051321428571,416.856642857143,23.4657321428571,2.1779025,2.09943392857143,18.8006892857143,18.2148928571429,2000.00357142857,0.979995357142857,0.0200046642857143,0,2.01236071428571,0,6237.54071428571,17338.2392857143,40.1068214285714,40.281,38.7475714285714,38.3927142857143,38.4865,1959.99321428571,40.0103571428571,0,1677862534.6,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-6.6578623902439,18.7883384529617,2.55295853716204,0,0.877015609756097,-0.00462629268292708,0.00556405789311664,1,1,2,"1/2",2.9773,2.72805,0.0823941,0.0829335,0.106549,0.104719,27366.1,27066,30361.3,29771.4,37442.5,35090.4,46456.6,44270.3,1.8474,1.81415,0.0704341,0,26.3404,999.9,50.6,33.8,29.882,63.167,23.75,1,0.145119,1.47128,20.1906,5.23047,11.9727,4.9706,3.28965,9999,9999,9999,999.9,4.97338,1.8779,1.87607,1.87883,1.87552,1.87909,1.87614,1.87729,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.393,0.3399,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241.1,1116.8,1.05591,2.55981,1.39893,2.36084,1.44897,2.4231,42.1386,24.035,18,490.765,441.206,24.0283,28.9594,29.9999,28.7558,28.8191,21.1811,30.5505,95.0892,24.0274,379.501,23.4257,100.387,101.8,4
4,NA,1677862536.5,15,2023-03-03 10:55:36,10:55:36,5,"albert","sch_sco20_t2_ch4",1677862529,0.00151969945435413,1.51969945435413,12.8652619566814,408.22839936271,165.616386043004,14.8336497124801,36.5635141758285,0.0887670746012764,3.53631125253792,0.0875475419092623,0.0548253879859854,321.518610222222,28.1076190772372,27.4925592592593,3.68401870986831,61.4545348056074,2.18017319464684,3.54761971845226,1.50384551522148,-67.0187459370172,-122.621593939108,-7.49608060811402,124.382189737983,1.11608783822285,1.51638151497607,12.8652619566814,407.890068095463,409.118909090909,-1.98114352736751,63.5216758810404,1.51969945435413,23.4656955154449,24.3432884848485,1.85120945070352e-05,100.007422885434,0,0,1,0,47353,2000.01259259259,1681.21088888889,0.840600151776822,0.160758292929267,2.96,0.5,"0: Broadleaf",2,TRUE,1677862529,408.228407407407,409.255555555556,24.3414407407407,23.4656296296296,404.832740740741,24.0015407407407,500.020259259259,89.4665703703704,0.0997465074074074,26.8493814814815,27.4925592592593,999.9,0,0,9996.61814814815,0,5.08929259259259,-1.02711992592593,418.413185185185,419.089777777778,0.875805740740741,409.255555555556,23.4656296296296,2.17774407407407,2.09938814814815,18.7995222222222,18.2145444444444,2000.01259259259,0.979995444444444,0.0200045740740741,0,2.01897407407407,0,6237.99888888889,17338.3222222222,40.0668518518518,40.2660740740741,38.7404814814815,38.3933703703704,38.4766666666667,1960.00222222222,40.0103703703704,0,1677862539.4,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,-3.49474434146341,50.8640116933798,5.49828761338715,0,0.87716187804878,-0.0171699303135899,0.00265739704107391,1,1,2,"1/2",2.97754,2.72842,0.0809255,0.0804836,0.106553,0.104719,27409.8,27138.2,30361.2,29771.3,37442.1,35090.1,46456.5,44270.2,1.84765,1.8138,0.0702403,0,26.3394,999.9,50.6,33.8,29.8849,63.117,23.6939,1,0.145114,1.49607,20.1904,5.23017,11.9737,4.97065,3.2898,9999,9999,9999,999.9,4.97337,1.8779,1.87607,1.87883,1.87548,1.87907,1.87609,1.8773,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.365,0.34,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241.2,1116.9,1.01929,2.55981,1.39893,2.36084,1.44897,2.49512,42.1386,24.035,18,490.904,440.988,24.0341,28.9568,29.9999,28.7558,28.8191,20.4434,30.5505,95.0892,24.031,366.127,23.4192,100.387,101.8,4
5,NA,1677862541.5,20,2023-03-03 10:55:41,10:55:41,5,"albert","sch_sco20_t2_ch4",1677862533.71429,0.00152478031785024,1.52478031785024,13.0257969638075,401.969063279839,157.337420306645,14.0921066669421,36.0028205973517,0.0890360771878103,3.53670922267042,0.0878093329635046,0.0549896430372702,321.518594678571,28.1086768906967,27.4949607142857,3.68453644319335,61.4461025853037,2.18016895264103,3.54809965304857,1.50436749055232,-67.2428120171958,-122.654611986599,-7.49743150198729,124.123739172789,-8.40437724487035,1.51990905383515,13.0257969638075,391.555141705268,396.002387878788,-2.70884002219421,63.5216758810404,1.52478031785024,23.4600070545938,24.3407460606061,-1.49350772425071e-05,100.007422885434,0,0,1,0,47324,2000.0125,1681.21081071429,0.840600151606195,0.160758292599957,2.96,0.5,"0: Broadleaf",2,TRUE,1677862533.71429,401.969071428571,397.355714285714,24.3414392857143,23.4636214285714,398.592178571429,24.0015321428571,500.037714285714,89.4662178571428,0.0999301035714286,26.8516821428571,27.4949607142857,999.9,0,0,9998.26142857143,0,4.2377325,4.61335114285714,411.997642857143,406.903214285714,0.877807214285714,397.355714285714,23.4636214285714,2.17773428571429,2.09920035714286,18.7994642857143,18.2131142857143,2000.0125,0.979995464285714,0.0200045535714286,0,1.9899,0,6239.40321428571,17338.3107142857,40.0756428571428,40.2699285714286,38.7562857142857,38.3905,38.473,1960.00214285714,40.0103571428571,0,1677862544.8,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,0.896893951219512,71.2607461881533,7.12206781752254,0,0.87692112195122,0.0159195470383289,0.00244650661043128,1,1,2,"1/2",2.97742,2.72837,0.0788649,0.0778655,0.106546,0.104664,27471.2,27215.9,30361.1,29771.7,37442,35092.5,46456.2,44270.8,1.84745,1.81395,0.0717752,0,26.3382,999.9,50.6,33.8,29.8819,63.007,23.3053,1,0.144619,1.49755,20.1905,5.22957,11.9736,4.9706,3.2897,9999,9999,9999,999.9,4.97337,1.8779,1.87607,1.87887,1.87552,1.8791,1.87612,1.8773,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.326,0.3399,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241.3,1117,0.985107,2.55737,1.39893,2.36084,1.44897,2.44263,42.1386,24.035,18,490.793,441.081,24.0361,28.9544,30,28.7558,28.8191,19.7631,30.5505,94.7138,24.0349,346.026,23.4143,100.386,101.801,4
6,NA,1677862546.5,25,2023-03-03 10:55:46,10:55:46,5,"albert","sch_sco20_t2_ch4",1677862539,0.00156151304334523,1.56151304334523,12.6556976822806,390.862732816858,158.331842771848,14.1812706949544,35.0083098990561,0.0911341819210612,3.53715071027391,0.0898495486414763,0.0562698784935884,321.519437777778,28.103478963496,27.5004814814815,3.68572691453648,61.4334887388598,2.1801001354551,3.5487161484874,1.50562677908138,-68.8627252115248,-123.159221787314,-7.52765571571401,121.969835063225,-17.1796801084067,1.5364818342688,12.6556976822806,374.781104189064,381.001418181818,-3.04868298105638,63.5216758810404,1.56151304334523,23.4303755777337,24.3327036363636,-6.3102764156111e-05,100.007422885434,0,0,1,0,47276,2000.01777777778,1681.21524444444,0.840600150220887,0.160758289926312,2.96,0.5,"0: Broadleaf",2,TRUE,1677862539,390.862740740741,381.048407407407,24.3405037037037,23.4530925925926,387.519333333333,24.0006259259259,500.025962962963,89.4667851851852,0.0999781814814815,26.854637037037,27.5004814814815,999.9,0,0,9999.97740740741,0,3.66360851851852,9.8143537037037,400.613925925926,390.200074074074,0.887405074074074,381.048407407407,23.4530925925926,2.17766518518519,2.09827259259259,18.7989518518519,18.206062962963,2000.01777777778,0.979995555555556,0.0200044592592593,0,1.99525185185185,0,6241.50888888889,17338.3592592593,40.067,40.2775555555555,38.7565555555556,38.3887777777778,38.4673333333333,1960.00740740741,40.0103703703704,0,1677862549.6,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,5.91791395121951,62.4057419372822,6.33709325656203,0,0.883167707317073,0.0954942229965149,0.0111299427348118,1,1,2,"1/2",2.97742,2.72814,0.0765061,0.0751722,0.106532,0.104623,27541.7,27295.3,30361.2,29771.7,37442.7,35093.9,46456.5,44270.7,1.84728,1.8133,0.0713505,0,26.3361,999.9,50.5,33.8,29.8196,63.137,23.8061,1,0.144687,1.50923,20.1899,5.22642,11.9737,4.96995,3.28908,9999,9999,9999,999.9,4.97335,1.8779,1.87607,1.87885,1.87548,1.87905,1.8761,1.8773,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.281,0.3397,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241.4,1117,0.947266,2.56836,1.39893,2.36084,1.44897,2.49146,42.1386,24.035,18,490.679,440.677,24.037,28.9519,30,28.7534,28.8191,18.9983,30.5505,94.7138,24.0351,332.649,23.5023,100.387,101.801,4
7,NA,1677862551.5,30,2023-03-03 10:55:51,10:55:51,5,"albert","sch_sco20_t2_ch4",1677862543.71429,0.00154712378916609,1.5471237891661,12.2268804236771,378.059563770797,151.348144908206,13.5562916224008,33.8628907557667,0.0902624343726289,3.53605531753554,0.0890016921552186,0.0557378632148589,321.521196,28.109079802397,27.5006392857143,3.68576094760639,61.4156187051881,2.17973401153397,3.54915257305685,1.50602693607242,-68.2281591022248,-122.752443340814,-7.50520138269952,123.035392174262,-21.5996277137683,1.54752395446832,12.2268804236771,357.630701866135,364.950309090909,-3.23283403844112,63.5216758810404,1.5471237891661,23.4289592380741,24.322776969697,-3.95386996594305e-05,100.007422885434,0,0,1,0,47284,2000.02892857143,1681.2246,0.840600141319384,0.160758272746412,2.96,0.5,"0: Broadleaf",2,TRUE,1677862543.71429,378.059571428571,365.620142857143,24.3354678571429,23.4417142857143,374.755142857143,23.9957214285714,500.048142857143,89.4702142857143,0.100038660714286,26.8567285714286,27.5006392857143,999.9,0,0,9995.17964285714,0,3.833705,12.4394625,387.489357142857,374.396928571429,0.893748142857143,365.620142857143,23.4417142857143,2.17729821428571,2.097335,18.7962642857143,18.1989464285714,2000.02892857143,0.979995785714286,0.0200042214285714,0,1.99516071428571,0,6243.10642857143,17338.4642857143,40.0556071428571,40.2832142857143,38.7942857142857,38.3993571428571,38.4775,1960.01892857143,40.01,0,1677862554.4,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,10.2275975609756,37.587678815331,3.88216760795343,0,0.889011975609756,0.099569560975609,0.0115921270118103,1,1,2,"1/2",2.97743,2.72838,0.0739317,0.0723631,0.106488,0.104605,27618.5,27377.8,30361.3,29771.2,37444.6,35094,46456.8,44270.1,1.84798,1.81383,0.0710413,0,26.335,999.9,50.5,33.8,29.8259,63.327,23.734,1,0.145371,1.84019,20.1868,5.22972,11.9733,4.97045,3.28958,9999,9999,9999,999.9,4.97339,1.87793,1.87607,1.87891,1.87556,1.87912,1.87615,1.87732,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.232,0.3394,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241.5,1117.1,0.913086,2.55371,1.39893,2.36084,1.44897,2.48291,42.165,24.035,18,491.069,441.004,23.9973,28.9494,30.0004,28.7534,28.8191,18.3105,30.5505,94.7138,23.9545,312.613,23.5394,100.387,101.799,4
8,NA,1677862556.5,35,2023-03-03 10:55:56,10:55:56,5,"albert","sch_sco20_t2_ch4",1677862549,0.00152595095918127,1.52595095918127,11.6734424412004,362.225140859296,142.769830784254,12.7878092362964,32.4442914616816,0.0889688190362124,3.53622465435804,0.0877437483806821,0.0549485050863319,321.521130555556,28.1147321858549,27.4999259259259,3.68560710205517,61.3881981881396,2.178900917195,3.54938079550276,1.50670618486017,-67.294437299894,-122.413824355954,-7.48415366411163,124.328715235596,-24.3308867597893,1.5505500754423,11.6734424412004,340.790328287851,348.638660606061,-3.2752247258087,63.5216758810404,1.52595095918127,23.429654046164,24.311343030303,-4.87146912964457e-05,100.007422885434,0,0,1,0,47425,2000.02851851852,1681.22425555556,0.840600141442428,0.160758272983885,2.96,0.5,"0: Broadleaf",2,TRUE,1677862549,362.225148148148,348.154740740741,24.3263962962963,23.430862962963,358.969407407407,23.9868666666667,500.034888888889,89.4694037037037,0.100004385185185,26.8578222222222,27.4999259259259,999.9,0,0,9995.95259259259,0,3.99893444444444,14.0704666666667,371.256740740741,356.508111111111,0.895537296296296,348.154740740741,23.430862962963,2.17646740740741,2.09634481481481,18.7901518518518,18.1914296296296,2000.02851851852,0.979995777777778,0.0200042296296296,0,2.03184444444444,0,6244.87518518518,17338.4592592593,40.022962962963,40.2913333333333,38.8006666666667,38.4049259259259,38.486,1960.01851851852,40.01,0,1677862559.2,0,0,"--:--:--",1664468064.5,1677795524,0,-0.419,-0.001,3.097,0.268,400,24,0.15,0.13,12.797817804878,20.2616291289199,2.09633677593188,0,0.892002048780488,0.0289656585365875,0.00988905237007612,1,1,2,"1/2",2.97744,2.72838,0.0712723,0.069554,0.106455,0.104674,27698.1,27460.9,30361.6,29771.4,37445.9,35091.2,46457,44270.3,1.84757,1.81375,0.0712201,0,26.3337,999.9,50.5,33.8,29.8239,63.007,23.722,1,0.14513,1.61324,20.1891,5.22972,11.9733,4.9703,3.2895,9999,9999,9999,999.9,4.97338,1.8779,1.87607,1.87884,1.87548,1.87908,1.87611,1.8773,0,0,0,0,11111111,"oooooooo","on","on","on","on",0,100,100,3.182,0.3392,1.95212870609396,0.00421885156013039,-1.79545563834132e-06,4.50901206508995e-10,-0.00226003033424513,0.00193859277299023,0.00060593543594765,-3.86528600643921e-06,0,2124,1,26,223241.5,1117.2,0.874023,2.57202,1.39893,2.36084,1.44897,2.45239,42.1386,24.0262,18,490.846,440.957,23.9585,28.9469,29.9999,28.7534,28.8191,17.5367,30.2741,94.7138,23.9703,299.253,23.5762,100.388,101.8,4
NA,"sch_sco2use",NA,NA,NA,10:57:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
NA,"sch_sco2use",NA,NA,NA,10:57:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
