"obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","CO2_hrs","AccH2O_des","AccCO2_soda","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","chamber"
1,1679532050,0,2023-03-22 19:40:50,19:40:50,5,"pas_smi30_t3_ch5","gibson",1679532047,0.00027826599035881,0.278265990358811,-0.835788244100266,422.005818416362,491.258622211067,44.1550285583274,37.930487367505,0.0164043879953077,4.227145900173,0.0163691029737285,0.0102338531907804,0,20.3602525954296,19.9992545454545,2.34650477079194,35.1335678177142,0.845701422920201,2.40710373426351,1.50080334787174,-12.2715301748236,93.9813683785661,4.47942288646292,86.1892610902055,0.404372860535804,0.286393223530212,-0.835788244100266,426.513162363296,426.241660606061,0.102454283740791,66.6879505814976,0.278265990358811,9.3309596014431,9.40669285714286,-2.6091715269021e-05,108.361016075916,4,1,1,0,48715,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532047,422.005818181818,422.149727272727,9.40907818181818,9.33134727272727,420.663181818182,9.50231363636364,500.016,89.7817,0.0997322272727273,20.4116454545455,19.9992545454545,999.9,0,0,10021.4209090909,0,0.834628,-0.1438766,426.014181818182,426.126090909091,0.0777315636363636,422.149727272727,9.33134727272727,0.844763181818182,0.837784272727273,4.48259818181818,4.36414818181818,0,0,0,0,2.67246363636364,0,-22.6164454545455,-2.65308181818182,34.6984545454545,40.437,37.7442727272727,39.375,35.375,0,0,0,1679532070.7,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,-0.2486515775,6.68690011744841,1.09832009982268,0,0.0604647675,0.195423538086304,0.0219337399452463,0,0,2,"0/2",2.87494,2.71042,0.0910572,0.0912193,0.0516755,0.0511968,25609.7,22351.7,25206.4,23946.9,40798.9,37585.6,45542.7,42683.6,1.7982,1.87195,-0.00689179,0,20.1083,999.9,45.355,28.399,19.6174,53.8983,41.9912,1,-0.128913,2.48064,20.2323,5.23631,11.9884,4.9576,3.304,9999,999.9,9999,9999,1.86874,1.86447,1.87209,1.86286,1.86231,1.86874,1.85884,1.86533,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.343,-0.0933,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,7.7,7.6,1.00586,2.37305,1.44775,2.31323,1.44409,2.42188,35.4059,24.1313,18,423.755,453.716,17.9937,25.7355,29.9996,25.7926,25.7621,20.1847,64.0766,53.2448,17.9971,420,9.43643,96.4086,100.381,5
2,1679532055,5,2023-03-22 19:40:55,19:40:55,5,"pas_smi30_t3_ch5","gibson",1679532052.5,0.00025080387226079,0.250803872260794,-2.82700220946221,422.330223021692,713.424262949812,64.1245418841642,37.9602061235308,0.0147804157396823,4.21223500246926,0.0147516632859001,0.00922236813441972,0,20.3665337803993,19.9997666666667,2.34657918780042,35.1244070040057,0.84555219166832,2.40730666733218,1.5010269961321,-11.060450766701,93.8436864483179,4.48873718521245,87.2719728668293,-5.63427118755114,0.27031485943234,-2.82700220946221,424.786994668798,426.095163636364,-0.107314418705559,66.6879505814976,0.250803872260794,9.33892457294657,9.40695637362638,3.64646099757643e-06,108.361016075916,3,1,1,0,48570,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532052.5,422.330222222222,420.818,9.40727888888889,9.33392333333333,420.987222222222,9.50054111111111,500.095111111111,89.7824888888889,0.100271222222222,20.4130111111111,19.9997666666667,999.9,0,0,9974.16333333333,0,0.834628,1.51230455555556,426.340888888889,424.782777777778,0.0733571777777778,420.818,9.33392333333333,0.844609,0.838022555555556,4.47998444444444,4.36820666666667,0,0,0,0,2.77661111111111,0,-22.6863777777778,-2.62131111111111,34.687,40.437,37.736,39.375,35.375,0,0,0,1679532076.1,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,0.344219294634146,5.41338719707317,1.03883289302694,0,0.0702108804878049,0.0862112738675959,0.0150325036767604,1,1,2,"1/2",2.87508,2.71008,0.0910084,0.0907831,0.0516711,0.0511697,25611.4,22362.4,25206.6,23946.9,40799.4,37586.6,45543.1,42683.5,1.7986,1.87175,-0.00635162,0,20.108,999.9,45.233,28.399,19.568,54.4483,41.9391,1,-0.129601,2.40501,20.2334,5.23616,11.9893,4.95755,3.30398,9999,999.9,9999,9999,1.86875,1.86445,1.8721,1.86283,1.86232,1.86874,1.85884,1.86531,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.343,-0.0933,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,7.8,7.7,1.00708,2.39746,1.44775,2.31323,1.44409,2.30225,35.3827,24.1225,18,423.943,453.556,17.9994,25.7301,29.9995,25.7877,25.7576,20.2019,63.7597,53.2448,18.0111,420,9.44013,96.4095,100.381,5
3,1679532060,10,2023-03-22 19:41:00,19:41:00,5,"pas_smi30_t3_ch5","gibson",1679532057.2,0.00023092920165734,0.230929201657347,-2.73323403681383,421.461700766928,727.574027252434,65.3959955803407,37.8819288323416,0.013613533973795,4.22767095947205,0.0135892270566352,0.00849544712882811,0,20.3669447723433,19.99533,2.34593455855903,35.1352256727929,0.845634023762793,2.40679832723435,1.50030053479624,-10.183977793089,94.4190492327216,4.49958746282577,88.7346589024584,-9.24080087645797,0.151095869286656,-2.73323403681383,422.877656130773,424.878533333334,-0.253765521668988,66.6879505814976,0.230929201657347,9.35238396311993,9.41530010989011,-3.04890864984021e-05,108.361016075916,3,1,1,0,48713,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532057.2,421.4617,418.9474,9.408242,9.367235,420.1193,9.50149,500.0459,89.7824,0.09985683,20.40959,19.99533,999.9,0,0,10023.005,0,0.834628,2.514203,425.4646,422.9088,0.04100905,418.9474,9.367235,0.8446948,0.8410127,4.481437,4.419012,0,0,0,0,2.84868,0,-22.74886,-2.60863,34.6996,40.437,37.7248,39.375,35.375,0,0,0,1679532080.9,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,1.0999446395,5.70506419699813,1.02608566062012,0,0.0712729025,-0.123156381613509,0.0164379547757999,0,0,2,"0/2",2.87523,2.7105,0.0907995,0.0905145,0.0517217,0.0514191,25617.1,22369.5,25206.5,23947.3,40797.4,37577.6,45543.2,42684.5,1.79872,1.8714,-0.00691041,0,20.108,999.9,45.086,28.399,19.5042,54.3983,41.6827,1,-0.129954,2.44639,20.2329,5.23631,11.9897,4.95755,3.304,9999,999.9,9999,9999,1.86874,1.86446,1.87209,1.86282,1.8623,1.86874,1.85883,1.86527,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.342,-0.0931,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,7.8,7.8,1.01074,2.38159,1.44775,2.31201,1.44409,2.42554,35.4059,24.1225,18,423.98,453.306,18.0079,25.7239,29.9996,25.7834,25.7532,20.2858,63.7597,52.8471,18.0067,420,9.43146,96.4095,100.383,5
4,1679532065,15,2023-03-22 19:41:05,19:41:05,5,"pas_smi30_t3_ch5","gibson",1679532062.5,0.00032386080810876,0.323860808108763,-2.46194634028771,419.961000696308,612.472629267434,55.0501500592237,37.746855945229,0.0191132911203245,4.22039747825125,0.0190653324922921,0.0119201315913263,0,20.3493837955164,20.0009666666667,2.34675356948253,35.1954258012477,0.847067173946485,2.40675358988399,1.49968639553605,-14.2822616375965,92.9055833341794,4.43521382025671,83.0585355168396,-9.69399128846694,0.171956497030174,-2.46194634028771,421.187158226427,423.353509090909,-0.302809779164444,66.6879505814976,0.323860808108763,9.38101222107753,9.42671846153846,0.00529190189579887,108.361016075916,3,1,1,0,48439,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532062.5,419.961,417.325,9.42423333333333,9.37756777777778,418.619666666667,9.51724333333333,500.069555555555,89.7816777777778,0.100134777777778,20.4092888888889,20.0009666666667,999.9,0,0,10000.0666666667,0,0.834628,2.63590555555556,423.956333333333,421.275666666667,0.0466644444444444,417.325,9.37756777777778,0.846123444444444,0.841933888888889,4.50558444444444,4.43468111111111,0,0,0,0,2.75074444444444,0,-22.9019444444444,-2.63152222222222,34.687,40.437,37.722,39.375,35.375,0,0,0,1679532085.7,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,1.5024473145,11.1437895410882,1.24269416020681,0,0.060356955,-0.164821116697936,0.0202605699310502,0,0,2,"0/2",2.87516,2.71014,0.0905563,0.0903839,0.0517684,0.0513453,25624.2,22373.1,25206.7,23947.8,40795.4,37580.9,45543.3,42684.9,1.79883,1.87133,-0.00627711,0,20.108,999.9,44.964,28.399,19.451,54.4983,42.0353,1,-0.130368,2.44762,20.2329,5.23571,11.9914,4.9574,3.304,9999,999.9,9999,9999,1.86874,1.86445,1.8721,1.86281,1.8623,1.86874,1.85883,1.86532,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.34,-0.093,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,7.9,7.9,1.01685,2.39502,1.44775,2.31201,1.44409,2.2998,35.3827,24.1225,18,424.005,453.224,18.0078,25.7182,29.9996,25.7791,25.7489,20.3972,63.7597,52.4756,18.0073,420,9.43146,96.4099,100.384,5
5,1679532070,20,2023-03-22 19:41:10,19:41:10,5,"pas_smi30_t3_ch5","gibson",1679532067.2,0.00026444602767617,0.264446027676175,-1.74876703515169,418.875300493404,584.863625342853,52.56959779226,37.6499838900768,0.0156049368709582,4.21055747099246,0.0155728780629718,0.00973592360026991,0,20.3623659263407,20.0006,2.34670028498609,35.2084976973234,0.847491698328726,2.40706577603609,1.49920858665737,-11.6620698205193,93.2491551579773,4.46205854901619,86.0491438864742,-4.16236480181446,0.282382734298865,-1.74876703515169,421.741889501256,422.653339393939,-0.0872144949548011,66.6879505814976,0.264446027676175,9.36098621043869,9.42620373626374,0.00082122814668003,108.361016075916,3,1,1,0,48709,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532067.2,418.8753,417.7674,9.428778,9.352147,417.5348,9.521722,500.0805,89.78346,0.10005389,20.41139,20.0006,999.9,0,0,9968.753,0,0.834628,1.1081452,422.8626,421.7112,0.07663127,417.7674,9.352147,0.8465485,0.8396682,4.512757,4.396198,0,0,0,0,2.80694,0,-22.7669,-2.64123,34.687,40.437,37.7311,39.375,35.375,0,0,0,1679532091.1,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,1.8676665045,2.77494215797373,0.928272174616588,0,0.058025055,-0.0210459939962475,0.0195886926186761,1,1,2,"1/2",2.87515,2.71018,0.0904638,0.0906032,0.0517547,0.0512062,25627,22367.9,25206.8,23947.9,40796,37586.7,45543.3,42685.1,1.79875,1.87155,-0.00691041,0,20.108,999.9,44.842,28.409,19.4087,54.2383,41.5585,1,-0.130696,2.44938,20.2328,5.23646,11.9909,4.9575,3.304,9999,999.9,9999,9999,1.86874,1.86447,1.87208,1.86283,1.86232,1.86874,1.85883,1.86529,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.341,-0.093,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,8,8,1.01929,2.38647,1.44775,2.31201,1.44409,2.38525,35.4059,24.1225,18,423.927,453.321,18.008,25.7128,29.9997,25.7742,25.744,20.4575,63.4846,52.1044,18.0076,420,9.43147,96.4101,100.385,5
6,1679532075,25,2023-03-22 19:41:15,19:41:15,5,"pas_smi30_t3_ch5","gibson",1679532072.5,0.0002591420276425,0.259142027642501,-1.66380808283543,418.784778245967,579.62120103469,52.0982419226697,37.6417402462893,0.0152908750139589,4.23129234828627,0.0152602427851441,0.00954039875601132,0,20.3629061063987,19.9969666666667,2.3461723413636,35.1866289954712,0.846930390977004,2.40696655279485,1.49924195038659,-11.4281634190343,94.3848552562571,4.49417197042349,87.4508638076463,0.682649232588817,0.262181255412739,-1.66380808283543,422.933063037506,422.956703030303,0.088974123233071,66.6879505814976,0.259142027642501,9.34889086811096,9.42289648351649,-0.00046113293950305,108.361016075916,3,1,1,0,48519,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532072.5,418.784777777778,419.001888888889,9.42256,9.35140555555556,417.444222222222,9.51559444444444,500.044444444444,89.7833111111111,0.0999468333333334,20.4107222222222,19.9969666666667,999.9,0,0,10034.37,0,0.834628,-0.217298788888889,422.768222222222,422.957,0.0711560666666667,419.001888888889,9.35140555555556,0.845988666666667,0.8396,4.50330555555555,4.39504888888889,0,0,0,0,2.65108888888889,0,-22.7312555555556,-2.66341111111111,34.687,40.437,37.701,39.375,35.375,0,0,0,1679532095.9,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,1.6526984225,-10.2167513594747,1.1255241009488,0,0.05919981,0.111030544840525,0.0209457610875184,0,0,2,"0/2",2.8754,2.7104,0.0905306,0.0907591,0.0517427,0.0512282,25625.3,22363.9,25207,23947.8,40796.9,37585.8,45543.6,42685.1,1.79918,1.87122,-0.00661239,0,20.107,999.9,44.72,28.409,19.3566,54.1583,42.0793,1,-0.131179,2.44932,20.2329,5.23571,11.9909,4.95765,3.304,9999,999.9,9999,9999,1.86874,1.86446,1.87208,1.8628,1.86232,1.86874,1.85883,1.86531,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.341,-0.093,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,8.1,8,1.02051,2.3877,1.44775,2.31201,1.44409,2.33887,35.3827,24.1225,18,424.133,453.086,18.0078,25.7063,29.9998,25.7699,25.7397,20.4771,63.2009,52.1044,18.0078,420,9.43147,96.4108,100.384,5
7,1679532080,30,2023-03-22 19:41:20,19:41:20,5,"pas_smi30_t3_ch5","gibson",1679532077.2,0.00029157563722358,0.291575637223585,-1.54522620863925,419.294100434994,550.08647360169,49.4443218431164,37.6880971333233,0.0172074192267995,4.22083534869765,0.0171685416064834,0.0107338241164606,0,20.3554320919047,19.99601,2.34603334966508,35.1767420625343,0.846621218891862,2.4067641550966,1.49941213077321,-12.8584856015601,94.0593116931031,4.48971359892771,85.6905396904707,1.01095600730242,0.261480525489677,-1.54522620863925,423.598451278704,423.522503030303,0.102587192026588,66.6879505814976,0.291575637223585,9.33585704098712,9.41558076923077,-7.46659132137942e-05,108.361016075916,3,1,1,0,48661,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532077.2,419.2941,419.6011,9.418976,9.348015,417.9536,9.512063,500.0693,89.78464,0.0999949,20.40936,19.99601,999.9,0,0,10001.122,0,0.834628,-0.3068879,423.2809,423.5606,0.07096013,419.6011,9.348015,0.8456792,0.8393082,4.498078,4.390073,0,0,0,0,2.6495,0,-22.81442,-2.6642,34.687,40.437,37.7059,39.375,35.375,0,0,0,1679532100.7,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,0.9552689475,-12.6079304476548,1.27612290446703,0,0.065228915,0.142766967354597,0.0187516021902203,0,0,2,"0/2",2.87541,2.71022,0.0906205,0.0908034,0.0517234,0.0513824,25623.5,22363.2,25207.7,23948.1,40798.5,37579.9,45544.6,42685.4,1.79912,1.87112,-0.00689179,0,20.1063,999.9,44.598,28.409,19.3041,53.6283,41.5264,1,-0.131578,2.43905,20.2329,5.23601,11.9915,4.95755,3.304,9999,999.9,9999,9999,1.86875,1.86446,1.87208,1.86281,1.86233,1.86874,1.85883,1.86534,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.341,-0.0931,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,8.2,8.1,1.02173,2.38159,1.44775,2.31201,1.44409,2.39868,35.4059,24.1225,18,424.078,452.985,18.008,25.701,29.9996,25.7662,25.7349,20.4893,63.2009,51.7151,18.0094,420,9.43193,96.4129,100.385,5
8,1679532085,35,2023-03-22 19:41:25,19:41:25,5,"pas_smi30_t3_ch5","gibson",1679532082.5,0.00016750838099776,0.167508380997761,-1.41623893555571,419.847555955119,635.120430096769,57.0887856931797,37.7386492544022,0.00988038236035431,4.2151669680543,0.00986753393535597,0.00616836167202351,0,20.3782678837946,19.9950888888889,2.34589953056188,35.1973481209445,0.847113439444797,2.40675358988399,1.49878609111709,-7.38711960200125,94.1261553911575,4.49892327745982,91.2379590666161,-0.119179780607627,0.161185268144488,-1.41623893555571,423.817924503457,423.937624242424,0.0554373183944168,66.6879505814976,0.167508380997761,9.38608238482032,9.43046516483517,0.00013500942093386,108.361016075916,3,1,1,0,48642,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532082.5,419.847555555556,419.833444444444,9.42425111111111,9.38050777777778,418.506444444444,9.51726,500.059555555556,89.7865333333333,0.100018866666667,20.4092888888889,19.9950888888889,999.9,0,0,9982.98333333333,0,0.834628,0.0143195444444444,423.842,423.808777777778,0.0437445,419.833444444444,9.38050777777778,0.846170888888889,0.842243222222222,4.50638111111111,4.43992222222222,0,0,0,0,2.71761111111111,0,-22.7922555555556,-2.65524444444444,34.687,40.437,37.729,39.375,35.375,0,0,0,1679532106.1,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,0.2651191125,-5.97935358911821,0.788697794153977,0,0.06584911,-0.0928884630393998,0.017434681460867,1,1,2,"1/2",2.87532,2.71,0.0906835,0.0908379,0.0517752,0.0513497,25621.7,22362.8,25207.6,23948.6,40796.4,37581.9,45544.6,42686.2,1.7992,1.87127,-0.00655651,0,20.1054,999.9,44.47,28.429,19.2712,54.2683,42.1915,1,-0.131959,2.42283,20.2331,5.23526,11.9911,4.9575,3.304,9999,999.9,9999,9999,1.86875,1.86447,1.87208,1.86281,1.86233,1.86874,1.85883,1.86531,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.341,-0.0929,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,8.3,8.2,1.02173,2.3938,1.44775,2.31201,1.44409,2.33276,35.4059,24.1225,18,424.084,453.041,18.0106,25.6956,29.9997,25.7614,25.7306,20.4925,63.2009,51.3285,18.0135,420,9.43193,96.413,100.387,5
9,1679532090,40,2023-03-22 19:41:30,19:41:30,5,"pas_smi30_t3_ch5","gibson",1679532087.2,0.00022992254260048,0.22992254260049,-2.3251931994159,420.10240065997,679.657480109339,61.0914102264401,37.7611500600299,0.0135748071262129,4.21525239280681,0.0135505671061677,0.00847127865908925,0,20.3666012899119,19.99403,2.34574570335505,35.2212424215575,0.847682818324123,2.40673741198093,1.49806288503092,-10.1395841286816,94.3439530084647,4.50921497983217,88.7135838596153,-0.712917309983794,0.246043367650052,-2.3251931994159,423.919032910935,424.245563636364,0.0645174965509087,66.6879505814976,0.22992254260049,9.37089739099143,9.43310021978022,2.4465549862985e-05,108.361016075916,3,1,1,0,48348,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532087.2,420.1024,419.9354,9.430687,9.363914,418.7611,9.523603,500.0532,89.78553,0.10005504,20.40918,19.99403,999.9,0,0,9983.365,0,0.834628,0.16701042,424.1021,423.9047,0.06677282,419.9354,9.363914,0.8467392,0.8407439,4.515975,4.414479,0,0,0,0,2.751,0,-22.78511,-2.64977,34.687,40.437,37.6996,39.375,35.375,0,0,0,1679532110.9,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,-0.074562885,0.85852481651032,0.218411774706107,0,0.0638714475,-0.091905920825516,0.0163302730497072,1,1,2,"1/2",2.87557,2.70999,0.0907314,0.0908453,0.0517846,0.0512268,25620.8,22363,25208.1,23949,40796.6,37587.4,45545.3,42686.9,1.79937,1.871,-0.00672042,0,20.1041,999.9,44.347,28.429,19.216,54.8183,41.5505,1,-0.132558,2.41823,20.2332,5.23541,11.9905,4.95765,3.304,9999,999.9,9999,9999,1.86874,1.86445,1.87208,1.8628,1.86232,1.86874,1.85883,1.86527,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.341,-0.0929,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,8.3,8.3,1.02173,2.38159,1.44775,2.31201,1.44409,2.38892,35.4059,24.1313,18,424.15,452.832,18.0141,25.6902,29.9997,25.7571,25.7258,20.4939,62.9249,51.3285,18.0159,420,9.43193,96.4144,100.389,5
10,1679532095,45,2023-03-22 19:41:35,19:41:35,5,"pas_smi30_t3_ch5","gibson",1679532092.5,0.00031122218382251,0.311222183822517,-1.92422427839073,420.281889430676,574.62851841382,51.6513208962843,37.7776494591718,0.0183801541867655,4.21861778777196,0.0183357808658193,0.0114638408051362,0,20.3465649358291,19.9945777777778,2.34582527918013,35.2136465062942,0.847237173080115,2.40599102092047,1.49858810610001,-13.724898306573,93.1519623510146,4.44858949510575,83.8756535395473,-1.67417680910592,0.304090629034649,-1.92422427839073,423.783645827141,424.293757575758,0.00449396370667757,66.6879505814976,0.311222183822517,9.33617534565598,9.42151857142858,-0.00011034022516418,108.361016075916,3,1,1,0,48687,0,0,0,0,1.37,0.5,"0: Broadleaf",2,TRUE,1679532092.5,420.281888888889,419.858222222222,9.42563777777778,9.34311,418.940444444444,9.51862666666667,500.046666666667,89.7866,0.0998557555555556,20.4041555555556,19.9945777777778,999.9,0,0,9993.88888888889,0,0.834628,0.423465222222222,424.280888888889,423.818111111111,0.0825266222222222,419.858222222222,9.34311,0.846295666666667,0.838886111111111,4.50849222222222,4.3829,0,0,0,0,2.7678,0,-22.9236,-2.64965555555555,34.687,40.437,37.701,39.3887777777778,35.375,0,0,0,1679532115.7,0,1679531592.5,19:33:12,1679531589,1679531592.5,1,0.484,0.018,1.342,-0.103,421,9,0.83,0.14,0.0285445425,2.83709484765478,0.275470355057963,0,0.066290705,0.0574655437148217,0.0182378292238269,1,1,2,"1/2",2.87543,2.7102,0.0907446,0.0908488,0.0517461,0.0512907,25620.8,22363.3,25208.4,23949.3,40798.5,37585.4,45545.6,42687.5,1.79935,1.87115,-0.00637025,0,20.1028,999.9,44.225,28.429,19.1647,54.3783,42.1995,1,-0.132899,2.40374,20.2333,5.23556,11.9903,4.95765,3.304,9999,999.9,9999,9999,1.86874,1.86447,1.87208,1.86279,1.86233,1.86874,1.85883,1.86527,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,1.341,-0.093,0.845365133108495,0.00176180158330651,-1.64921818410304e-06,6.45532704107213e-10,-0.0512147415976617,-0.026005643955714,0.00250163502637948,-2.42288439936065e-05,2,2088,1,25,8.4,8.4,1.02173,2.39502,1.44775,2.31201,1.44409,2.30225,35.4059,24.1138,18,424.101,452.888,18.0177,25.6848,29.9996,25.7524,25.7215,20.4964,62.9249,50.9478,18.0206,420,9.43217,96.4152,100.39,5
