obs,Comments,time..2,elapsed,date,hhmmss,averaging,id,machine,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,chamber
1,NA,1679590202,0,20230323 11:50:01,11:50:01,5,poa_pra31_t4_ch5,stan,1679590194,0.000518764,0.518764365,3.775504406,417.8030624,212.1386117,19.13973043,37.6953442,0.030766025,3.653493626,0.030622815,0.01915207,321.514883,20.96319961,19.99489032,2.345870684,37.06170331,0.844479273,2.278576528,1.501391411,-22.87750849,-92.40681996,-5.072753742,201.1578008,3.778839243,0.500004866,3.775504406,423.8455578,421.7859758,0.000470757,64.54220034,0.518764365,9.103430604,9.379966434,0.000128231,99.94564763,0,0,1,0,48875,1999.993226,1681.194291,0.840599993,0.160757986,2.7,0.5,0: Broadleaf,2,TRUE,1679590194,417.8030645,419.9562903,9.359936452,9.092480323,420.2224516,9.566046452,500.0360645,90.12278387,0.099973194,19.52574194,19.99489032,999.9,0,0,9998.019355,0,13.33541613,-2.153142258,421.7507419,423.8097419,0.267455871,419.9562903,9.092480323,0.843543419,0.819439645,4.461942903,4.048567419,1999.993226,0.980001516,0.019998526,0,2.304093548,0,6791.870645,16749.4,38.312,39.554,38.75,38.375,36.83029032,1959.992581,39.99935484,0,1679590208,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-2.149742439,-0.134242578,0.039546591,0,0.273886878,-0.084469756,0.013373835,1,1,2,2-Jan,2.98292,2.71544,0.0940201,0.0930923,0.054425,0.0518806,28750.9,28910.6,29495.1,29482.3,36962,37166.9,41539.8,42002.8,1.9732,1.85215,0.0124648,0,19.7989,999.9,53.9,29.8,25.1907,62.4168,33.0809,1,-0.0306707,5.93323,20.2465,5.22508,12.0159,4.99235,3.28925,9999,9999,9999,999.9,1.86737,1.86646,1.86597,1.86584,1.86767,1.87018,1.86876,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.42,-0.206,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.1,908,1.02051,2.21436,1.39648,2.35352,1.49536,2.47803,34.8296,24.035,18,530.228,410.969,13.4963,26.6852,30.0008,26.5932,26.5352,20.445,57.8737,0,13.4983,419.967,9.12095,100.855,100.886,5
2,NA,1679590207,5,20230323 11:50:06,11:50:06,5,poa_pra31_t4_ch5,stan,1679590199,0.000528825,0.528825306,3.956091756,417.8096185,206.8140802,18.65921441,37.69568903,0.031379481,3.653773073,0.031230529,0.019532404,321.5184818,20.95967765,19.99892069,2.346456259,37.12067812,0.845754692,2.278392355,1.500701566,-23.32119601,-93.46398502,-5.130467168,199.6028336,3.618887526,0.505570022,3.956091756,423.9073588,421.7552909,-0.000784912,64.54220034,0.528825306,9.106730529,9.388924545,9.16E-05,99.94564763,0,0,1,0,48949,2000.015172,1681.212776,0.840600011,0.160758021,2.7,0.5,0: Broadleaf,2,TRUE,1679590199,417.8096207,419.8777931,9.374134138,9.103697586,420.229069,9.58017931,500.0222759,90.12228621,0.099880452,19.52444138,19.99892069,999.9,0,0,9999.153103,0,13.35007241,-2.068060517,421.7634483,423.7353448,0.27043669,419.8777931,9.103697586,0.844818345,0.820445966,4.483521034,4.066057586,2000.015172,0.980001069,0.019998962,0,2.345758621,0,6789.55,16749.5931,38.312,39.5342069,38.73696552,38.375,36.81634483,1960.013793,40.00103448,0,1679590213,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-2.141874878,-0.035530871,0.095622514,1,0.270439195,0.010631979,0.009197793,1,2,2,2-Feb,2.98309,2.71568,0.0940008,0.0927118,0.0544584,0.0518907,28751.1,28922.4,29494.8,29482.1,36960.1,37166.3,41539.2,42002.5,1.9733,1.8517,0.0123158,0,19.7989,999.9,54,29.8,25.2366,62.5768,33.0529,1,-0.0299441,5.96545,20.2448,5.22028,12.0159,4.9908,3.2885,9999,9999,9999,999.9,1.86737,1.86645,1.86598,1.86584,1.86768,1.87022,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.42,-0.206,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.1,908.1,0.996094,2.21558,1.39648,2.35352,1.49536,2.45361,34.8296,24.0437,18,530.371,410.77,13.498,26.6942,30.0008,26.6015,26.5435,19.9109,57.8737,0,13.4947,399.922,9.12095,100.853,100.886,5
3,NA,1679590212,10,20230323 11:50:11,11:50:11,5,poa_pra31_t4_ch5,stan,1679590204,0.000533066,0.533065661,3.740636769,417.3860694,218.8507333,19.74514075,37.65738667,0.031642243,3.654533019,0.031490824,0.019695309,321.5201504,20.95693054,20.00184286,2.346880903,37.16425867,0.846664822,2.278169544,1.500216081,-23.50819564,-94.36917962,-5.179114177,198.463661,-0.36499826,0.518107459,3.740636769,416.6789548,418.6111879,-0.830548517,64.54220034,0.533065661,9.109432128,9.394261049,4.25E-05,99.94564763,0,0,1,0,48848,2000.025357,1681.221354,0.840600019,0.160758037,2.7,0.5,0: Broadleaf,2,TRUE,1679590204,417.3860714,417.30575,9.384243929,9.107098929,419.8046071,9.590243571,500.0135714,90.12205714,0.099896664,19.52286786,20.00184286,999.9,0,0,10002.11179,0,13.36916786,0.080506036,421.3402143,421.1410714,0.27714575,417.30575,9.107098929,0.845727393,0.820750429,4.498888571,4.071341429,2000.025357,0.980000786,0.019999243,0,2.389517857,0,6787.465,16749.67857,38.2965,39.51771429,38.71625,38.375,36.8165,1960.023571,40.00178571,0,1679590219,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,-0.80036859,19.94607079,2.6473243,0,0.2727354,0.08184824,0.008065138,1,1,2,2-Jan,2.98305,2.71575,0.0933725,0.0905271,0.054483,0.0518964,28770.7,28991.2,29494.6,29481.2,36959.2,37164.8,41539.3,42001.2,1.973,1.8515,0.0119582,0,19.7989,999.9,54,29.8,25.2361,62.6768,32.8726,1,-0.0292556,5.98493,20.244,5.22043,12.0159,4.9907,3.28848,9999,9999,9999,999.9,1.86737,1.86646,1.86596,1.86584,1.86768,1.87022,1.86876,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.411,-0.206,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.2,908.1,0.966797,2.21436,1.39648,2.35352,1.49536,2.49268,34.8525,24.0437,18,530.248,410.716,13.4954,26.7027,30.0008,26.6099,26.5519,19.3302,57.8737,0,13.4916,379.887,9.12095,100.853,100.883,5
4,NA,1679590217,15,20230323 11:50:16,11:50:16,5,poa_pra31_t4_ch5,stan,1679590209,0.000537972,0.537971729,3.079266737,414.6759613,250.8189781,22.62953787,37.4131393,0.031948007,3.656028694,0.031793718,0.019884874,321.5221528,20.95376174,20.0021,2.346918274,37.19640833,0.847313894,2.277945457,1.49960438,-23.72455324,-94.77043621,-5.198972649,197.8281907,-9.680200331,0.526777412,3.079266737,401.6665748,409.532697,-1.996360729,64.54220034,0.537971729,9.111208876,9.398773077,2.66E-05,99.94564763,0,0,1,0,48970,2000.038148,1681.232078,0.840600005,0.16075801,2.7,0.5,0: Broadleaf,2,TRUE,1679590209,414.675963,409.5668519,9.391371852,9.109596667,417.0885926,9.597338148,500.0233333,90.1226963,0.099893852,19.52128519,20.0021,999.9,0,0,10007.81481,0,13.37484444,5.109255148,418.6073333,413.332,0.281775296,409.5668519,9.109596667,0.846375815,0.820981333,4.509840741,4.075348148,2000.038148,0.980001111,0.019998915,0,2.304707407,0,6785.838148,16749.78519,38.27525926,39.50459259,38.694,38.375,36.812,1960.037037,40.00111111,0,1679590223,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,2.64817691,55.62641659,5.860420056,0,0.278604725,0.054463891,0.005326535,1,1,2,2-Jan,2.98316,2.71559,0.0917344,0.0877794,0.0545033,0.0519025,28822.3,29078.8,29494.2,29481.2,36957.7,37164.5,41538.5,42001.2,1.97315,1.85128,0.0127107,0,19.7989,999.9,54,29.8,25.2339,62.6568,33.153,1,-0.028468,5.96997,20.2446,5.22014,12.0159,4.9906,3.28842,9999,9999,9999,999.9,1.86737,1.86646,1.86596,1.86584,1.86768,1.87024,1.86877,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.391,-0.2059,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.3,908.2,0.933838,2.22168,1.39648,2.35474,1.49536,2.47559,34.8525,24.0437,18,530.42,410.647,13.4943,26.7117,30.0008,26.6178,26.5602,18.6434,57.8737,0,13.4949,366.513,9.12095,100.851,100.883,5
5,NA,1679590222,20,20230323 11:50:21,11:50:21,5,poa_pra31_t4_ch5,stan,1679590214,0.00054299,0.542990427,3.133343388,408.4633554,243.5554525,21.97439228,36.85293805,0.032253112,3.657383295,0.032095927,0.020074013,321.5190992,20.9538683,20.00358929,2.347134723,37.21318381,0.847785065,2.278184715,1.499349657,-23.94587784,-94.76601005,-5.196889007,197.6103223,-20.74077219,0.53275128,3.133343388,385.230565,396.4588,-2.705859518,64.54220034,0.542990427,9.112536907,9.402628322,4.63E-05,99.94564763,0,0,1,0,48954,2000.020714,1681.217293,0.84059994,0.160757885,2.7,0.5,0: Broadleaf,2,TRUE,1679590214,408.4633571,397.38175,9.396513571,9.111554286,410.8626071,9.602456429,500.0406429,90.12339286,0.099971268,19.522975,20.00358929,999.9,0,0,10012.96786,0,13.37388214,11.08169961,412.338,401.0356429,0.28495975,397.38175,9.111554286,0.846845821,0.821164143,4.517773214,4.078516786,2000.020714,0.980003321,0.019996657,0,2.316960714,0,6785.012143,16749.64643,38.25664286,39.50442857,38.68925,38.3705,36.80314286,1960.024286,39.99642857,0,1679590228,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,7.66912479,76.29087494,7.626622344,0,0.282910805,0.042035415,0.004262378,1,1,2,2-Jan,2.98313,2.71596,0.0894346,0.0848657,0.0545185,0.0519149,28895,29171.2,29494,29480.8,36956.8,37163.6,41538.2,42000.8,1.97278,1.85117,0.0130683,0,19.8004,999.9,54,29.8,25.2353,62.3668,32.8085,1,-0.0276829,5.97724,20.244,5.22014,12.0159,4.9908,3.2885,9999,9999,9999,999.9,1.86737,1.86646,1.86596,1.86584,1.86768,1.87021,1.86877,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.362,-0.2059,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.4,908.3,0.9021,2.22534,1.39771,2.35107,1.49536,2.3938,34.8525,24.035,18,530.248,410.65,13.4954,26.7207,30.0008,26.6264,26.5686,18.0293,57.8737,0,13.4947,353.156,9.12095,100.851,100.882,5
6,NA,1679590227,25,20230323 11:50:26,11:50:26,5,poa_pra31_t4_ch5,stan,1679590219,0.000544127,0.54412654,2.887984218,397.2713688,244.9984423,22.10467565,35.84330851,0.032316626,3.65717913,0.032158815,0.020113373,321.51721,20.95476265,20.00780741,2.34774787,37.22899261,0.848201596,2.278336147,1.499546274,-23.99598042,-95.38153157,-5.231077458,196.9086206,-30.91202658,0.536887727,2.887984218,368.5387307,381.4773818,-3.035698218,64.54220034,0.54412654,9.116120158,9.407078951,1.07E-05,99.94564763,0,0,1,0,48875,2000.01,1681.2082,0.840599897,0.160757801,2.7,0.5,0: Broadleaf,2,TRUE,1679590219,397.2713704,380.6955556,9.401091111,9.113923333,399.6464074,9.607011852,500.0453333,90.12378148,0.099958074,19.52404444,20.00780741,999.9,0,0,10012.1363,0,13.36968519,16.57585741,401.0415926,384.196963,0.287167481,380.6955556,9.113923333,0.847261963,0.821381259,4.524794074,4.08228,2000.01,0.980004667,0.019995274,0,2.243,0,6784.608889,16749.56667,38.25,39.5,38.687,38.36566667,36.79362963,1960.016667,39.99333333,0,1679590234,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,12.94816894,63.32053855,6.48548801,0,0.285681585,0.02734685,0.002883786,1,1,2,2-Jan,2.9829,2.71556,0.0867862,0.0819048,0.0545364,0.0519187,28978,29264.9,29492.9,29480.2,36954.7,37162.6,41536.8,41999.9,1.97275,1.8509,0.0124872,0,19.8033,999.9,54,29.8,25.2364,62.5568,32.9447,1,-0.0268826,6.02393,20.2424,5.22058,12.0159,4.9909,3.28858,9999,9999,9999,999.9,1.86737,1.86646,1.86598,1.86584,1.86768,1.87024,1.86879,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.33,-0.2059,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.5,908.4,0.86792,2.22534,1.39771,2.35229,1.49536,2.40479,34.8525,24.035,18,530.313,410.552,13.4911,26.7295,30.0008,26.6352,26.5769,17.3286,57.8737,0,13.485,333.122,9.12095,100.847,100.879,5
7,NA,1679590232,30,20230323 11:50:31,11:50:31,5,poa_pra31_t4_ch5,stan,1679590224,0.000549678,0.54967775,2.833615273,384.3164627,236.4634654,21.33451455,34.67430011,0.03264847,3.657012231,0.032487403,0.020319032,321.516167,20.95609952,20.01005714,2.348074949,37.23925552,0.848565103,2.278684391,1.499509846,-24.24078879,-95.33589577,-5.228939392,196.7105431,-35.63758708,0.541017564,2.833615273,351.8556591,365.6022182,-3.198559863,64.54220034,0.54967775,9.117323456,9.411142238,2.51E-05,99.94564763,0,0,1,0,48843,2000.004286,1681.203332,0.840599865,0.160757739,2.7,0.5,0: Broadleaf,2,TRUE,1679590224,384.3164643,365.1862857,9.405165714,9.115791786,386.6634643,9.6110675,500.0481071,90.12329643,0.100005143,19.52650357,20.01005714,999.9,0,0,10011.54571,0,13.37192143,19.13019643,387.9653571,368.5458571,0.2893735,365.1862857,9.115791786,0.847624571,0.821545286,4.530908929,4.0851225,2000.004286,0.980005679,0.019994236,0,2.334632143,0,6784.619643,16749.52857,38.25,39.5,38.6715,38.3525,36.77878571,1960.013214,39.99107143,0,1679590238,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,16.5496222,39.96642774,4.178590087,0,0.287736683,0.02490715,0.002611314,1,1,2,2-Jan,2.98291,2.71557,0.0839404,0.0788775,0.0545535,0.0519297,29067.7,29360.8,29492.4,29479.6,36953.3,37161.4,41536,41999.1,1.9731,1.85075,0.0118017,0,19.8076,999.9,54,29.8,25.237,62.6268,33.1851,1,-0.0257927,6.06351,20.2407,5.22014,12.0159,4.9908,3.2885,9999,9999,9999,999.9,1.86737,1.86646,1.86595,1.86585,1.86768,1.87024,1.86879,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.296,-0.2059,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.6,908.5,0.836182,2.22412,1.39648,2.35474,1.49536,2.48901,34.8525,24.035,18,530.623,410.526,13.4803,26.7385,30.001,26.6436,26.5852,16.701,57.8737,0,13.4729,319.765,9.12095,100.845,100.877,5
8,NA,1679590237,35,20230323 11:50:36,11:50:36,5,poa_pra31_t4_ch5,stan,1679590229,0.000551728,0.551727836,2.896062442,368.3023688,218.4110055,19.705625,33.22922465,0.032780583,3.655918481,0.032618165,0.020400879,321.515421,20.9557854,20.00948148,2.347991252,37.256167,0.848935617,2.278644546,1.499055635,-24.33119757,-95.24937412,-5.225733877,196.7091154,-38.34295455,0.544365859,2.896062442,335.1230619,349.247297,-3.284652635,64.54220034,0.551727836,9.119785833,9.41471035,2.43E-05,99.94564763,0,0,1,0,48867,2000,1681.1997,0.84059985,0.16075771,2.7,0.5,0: Broadleaf,2,TRUE,1679590229,368.3023704,347.7070741,9.409337778,9.118169259,370.6145926,9.61522,500.0396667,90.12266667,0.100007593,19.52622222,20.00948148,999.9,0,0,10007.39259,0,13.37077778,20.59535926,371.8008148,350.9067407,0.291167074,347.7070741,9.118169259,0.847994481,0.821753778,4.537146296,4.088737037,2000,0.980006,0.0199939,0,2.36177037,0,6784.442222,16749.5037,38.236,39.5,38.65025926,38.33533333,36.76607407,1960.01,39.99,0,1679590243,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,19.59222195,17.05990244,1.80393902,0,0.290235927,0.022346843,0.002362048,1,1,2,2-Jan,2.98291,2.71586,0.0809577,0.0757795,0.0545631,0.0519347,29161.8,29459.1,29492,29479.3,36952.6,37160.6,41535.6,41998.5,1.97245,1.85078,0.0126734,0,19.8132,999.9,54,29.8,25.2374,62.6969,32.9768,1,-0.0248958,6.07179,20.2404,5.21894,12.0159,4.9904,3.28835,9999,9999,9999,999.9,1.86737,1.86646,1.86597,1.86585,1.86768,1.87023,1.86879,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.26,-0.2059,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.6,908.6,0.800781,2.23267,1.39648,2.35352,1.49536,2.43042,34.8525,24.0262,18,530.267,410.604,13.4691,26.7475,30.001,26.652,26.594,15.9892,57.8737,0,13.4652,299.726,9.12095,100.844,100.876,5
9,NA,1679590242,40,20230323 11:50:41,11:50:41,5,poa_pra31_t4_ch5,stan,1679590234,0.000552535,0.552534805,2.702918037,353.2963557,213.3117686,19.24520157,31.87475134,0.032822586,3.656252891,0.032659768,0.020426916,321.51753,20.95561737,20.01335714,2.348554794,37.26989803,0.849254677,2.278661124,1.499300116,-24.36678492,-95.99896609,-5.266485342,195.8852936,-39.49442267,0.5477079,2.702918037,318.3178759,332.7208364,-3.321074204,64.54220034,0.552534805,9.122190633,9.417563497,2.10E-05,99.94564763,0,0,1,0,48925,2000.013214,1681.2108,0.840599846,0.160757703,2.7,0.5,0: Broadleaf,2,TRUE,1679590234,353.2963571,332.0760357,9.413048571,9.120100357,355.5758929,9.618915,500.05125,90.12098929,0.100013079,19.52633929,20.01335714,999.9,0,0,10008.87,0,13.36589643,21.22031071,356.6535714,335.1325714,0.292947357,332.0760357,9.120100357,0.848313214,0.8219125,4.542517143,4.091487857,2000.013214,0.980006,0.0199939,0,2.443828571,0,6784.248571,16749.625,38.21625,39.5,38.63164286,38.321,36.75442857,1960.023214,39.99,0,1679590249,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,20.7429275,8.584485929,0.869987041,0,0.29164425,0.023073163,0.002365351,1,1,2,2-Jan,2.98302,2.71575,0.0778753,0.0725783,0.0545711,0.0519407,29259.4,29560.8,29491.8,29479,36951.9,37160.1,41535.3,41998.4,1.97235,1.85037,0.0115782,0,19.8186,999.9,54,29.8,25.2383,62.5869,33.0929,1,-0.0240244,6.09486,20.2398,5.21999,12.0159,4.9908,3.28848,9999,9999,9999,999.9,1.86737,1.86646,1.86594,1.86584,1.86768,1.87022,1.86878,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.224,-0.2058,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.7,908.6,0.769043,2.229,1.39648,2.35352,1.49536,2.49146,34.8755,24.0437,18,530.278,410.435,13.4589,26.7569,30.001,26.6604,26.6025,15.3539,57.8737,0,13.4548,286.362,9.12095,100.844,100.875,5
10,NA,1679590247,45,20230323 11:50:46,11:50:46,5,poa_pra31_t4_ch5,stan,1679590239,0.000553717,0.553716819,2.319746994,336.1276654,215.3567758,19.42922653,30.32502938,0.032895495,3.655133671,0.032731904,0.02047207,321.5147708,20.95529598,20.01422222,2.348680597,37.28286816,0.849525269,2.278594192,1.499155328,-24.41891172,-96.23318064,-5.280961506,195.5817169,-40.11053009,0.549722192,2.319746994,301.7059378,316.1887333,-3.294183553,64.54220034,0.553716819,9.123641431,9.419709021,1.24E-05,99.94564763,0,0,1,0,48871,1999.995926,1681.196278,0.840599851,0.160757713,2.7,0.5,0: Broadleaf,2,TRUE,1679590239,336.1276667,314.570037,9.416279259,9.122255556,338.3695556,9.622131111,500.0528148,90.11874815,0.100036278,19.52586667,20.01422222,999.9,0,0,10004.79778,0,13.34689259,21.55758889,339.3228519,317.4661481,0.294023333,314.570037,9.122255556,0.848583333,0.822086222,4.547067407,4.094498519,1999.995926,0.980005667,0.019994233,0,2.408655556,0,6783.772963,16749.47407,38.194,39.5,38.625,38.312,36.75,1960.005926,39.99,0,1679590253,0,0,--:--:--,1679535718,1679535723,0,-0.148,0.019,-1.284,-0.029,418,24,0.54,0.15,21.31965854,4.0242,0.428283545,0,0.293350366,0.012664035,0.001339531,1,1,2,2-Jan,2.98285,2.71559,0.0747362,0.0693801,0.054578,0.0519431,29357.9,29662.3,29490.8,29478.6,36950.4,37159.1,41533.9,41997.4,1.97237,1.85058,0.0118017,0,19.822,999.9,54,29.8,25.2392,62.6869,33.3734,1,-0.0229522,6.15492,20.2372,5.21924,12.0159,4.9908,3.28835,9999,9999,9999,999.9,1.86737,1.86646,1.86596,1.86584,1.86767,1.87024,1.86875,1.87027,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-2.188,-0.2058,-1.454491418,-0.002482763,5.24E-07,-1.89E-10,-0.169925993,-0.01425007,0.001313896,-2.30E-05,5,2359,1,26,908.8,908.7,0.732422,2.23389,1.39648,2.35352,1.49536,2.52563,34.8755,24.0437,18,530.373,410.605,13.4425,26.766,30.0011,26.669,26.6103,14.6255,57.8737,0,13.4332,266.223,9.12095,100.84,100.874,5
