"","ID","leaf.area.weight","leaf.d13c.mass.mg.","leaf.d13c","total_N","sample_weight"
"1","pas_smi1_t1_ch2","0.08",3.09,"-27.31",50.7,3.09
"2","pas_smi2_t1_ch2","0.04",3.11,"-27.06",23.03,3.11
"3","pas_smi3_t2_ch2","0.28",2.73,"-26.5",29.74,2.73
"4","pas_smi4_t2_ch2","0.12",3.25,"-27.78",29.56,3.25
"5","pas_smi5_t3_ch2","0.13",3.25,"-28.28",27.93,3.25
"6","pas_smi6_t3_ch2","0.15",3.24,"-27.51",29.16,3.24
"7","pas_smi7_t4_ch2","0.18",2.986,"-27.01",18.49,2.986
"8","pas_smi8_t4_ch2","0.18",2.82,"-25.81",25.08,2.82
"9","ely_can1_t1_ch2","0.01",3.104,"-25.35",40,3.104
"10","ely_can2_t1_ch2","0.01",2.825,"-25.98",36.29,2.825
"11","ely_can3_t2_ch2","0.02",2.806,"-28.02",32.45,2.806
"12","ely_can4_t2_ch2","0.02",2.813,"-27.87",35.9,2.813
"13","ely_can5_t3_ch2","0.06",2.791,"-27.52",32.33,2.791
"14","ely_can6_t3_ch2","0.03",2.866,"-26.71",39.12,2.866
"15","ely_can7_t4_ch2","0.02",2.778,"-26.61",38.34,2.778
"16","ely_can8_t4_ch2","0.04",2.833,"-24.89",47.13,2.833
"17","poa_pra1_t1_ch2","0.01",2.961,"-25.13",47.55,2.961
"18","poa_pra2_t1_ch2","0.03",2.918,"-24.72",60.57,2.918
"19","poa_pra3_t2_ch2","0.01",2.834,"-26.3",42.98,2.834
"20","poa_pra4_t2_ch2","0.03",2.918,"-27.38",46.48,2.918
"21","poa_pra5_t3_ch2","0.05",2.789,"-25.86",34.36,2.789
"22","poa_pra6_t3_ch2","0.03",2.907,"-25.45",32.73,2.907
"23","poa_pra7_t4_ch2","0.06",2.983,"-25.43",58.83,2.983
"24","poa_pra8_t4_ch2","0.05",3.004,"-25.43",57.51,3.004
"25","bou_cur1_t1_ch2","0.02",2.898,"-6.93",39.16,2.898
"26","bou_cur2_t1_ch2","0.09",2.904,"-7.27",39.27,2.904
"27","bou_cur3_t2_ch2","no growth",NA,NA,NA,NA
"28","bou_cur4_t2_ch2","0.03",2.801,"-9.65",91.57,2.801
"29","bou_cur5_t3_ch2","0.07",2.884,"-9.64",NA,NA
"30","bou_cur6_t3_ch2","0.05",2.874,"-8.99",74.99,2.874
"31","bou_cur7_t4_ch2","0.07",2.993,"-9.46",42.7,2.993
"32","bou_cur8_t4_ch2","no leave",NA,"NA ",NA,NA
"33","sch_sco1_t1_ch2","no growth",NA,NA,NA,NA
"34","sch_sco2_t1_ch2","0.02",2.881,"-7.42",53.72,2.881
"35","sch_sco3_t2_ch2","0.01",2.89,"-7.67",66.62,2.89
"36","sch_sco4_t2_ch2","0.02",2.902,"-7.39",57.16,2.902
"37","sch_sco5_t3_ch2","0.02",2.875,"-7.72",66.1,2.875
"38","sch_sco6_t3_ch2","no growth",NA,NA,NA,NA
"39","sch_sco7_t4_ch2","0.04",2.845,"-7.89",77.43,2.845
"40","sch_sco8_t4_ch2","0.2",NA,NA,NA,NA
"41","sor_nut1_t1_ch2","0.05",2.881,"-7.29",23.16,2.881
"42","sor_nut2_t1_ch2","0.1",2.823,"-8.32",30.85,2.823
"43","sor_nut3_t2_ch2","0.12",2.926,"-8.12",43.95,2.926
"44","sor_nut4_t2_ch2","0.11",2.786,"-8.46",43.43,2.786
"45","sor_nut5_t3_ch2","0.06",2.778,"-8.19",54.66,2.778
"46","sor_nut6_t3_ch2","0.02",2.832,"-8.46",57.47,2.832
"47","sor_nut7_t4_ch2","0.05",2.78,"-8.2",36.15,2.78
"48","sor_nut8_t4_ch2","0.2",2.83,"-9.46",30.95,2.83
"49","pas_smi25_t1_ch5","0.06",2.889,"-28.57",19.4,2.889
"50","pas_smi26_t1_ch5","0.1",2.768,"-28.49",21.76,2.768
"51","pas_smi27_t2_ch5","0.25",3.108,"-28.7",25.58,3.108
"52","pas_smi28_t2_ch5","no leave",NA,NA,NA,NA
"53","pas_smi29_t3_ch5","0.1",3.172,"-29.14",21.52,3.172
